"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAMLESH PASWAN","2 - GORAKH PRASAD PASWAN","3 - SADAL PRASAD","4 - SANJAI KUMAR","5 - ARJUN PRASAD RAW","6 - CHANDRIKA PRASAD BHARATI","7 - RAMNARESH","8 - RAMNIVAS  PASWAN","9 - RAMPRIT JAKHMEE","10 - LALCHAND PRASAD JATAV","11 - KUNJAWATI","12 - SHEO SHANKAR","13 - None of the Above","Total Votes Secured"
47,"P.V. BELWA DUBAULI R.N.2",173,127,0,300,74,53,0,127,127,0,46,39,36,0,0,0,0,1,0,3,0,0,2,127
48,"P.V. RATANPUR",437,364,0,801,205,198,0,403,403,0,195,30,120,39,2,0,2,0,0,11,1,0,3,403
49,"P.V. LALPUR PARASIYA",391,296,0,687,226,160,0,386,386,0,100,13,218,23,1,0,6,0,2,4,3,5,11,386
50,"P.V. BHAGAWANMAJHA URF BELAWA",695,503,0,1198,332,244,0,576,576,0,286,149,90,22,1,3,3,1,4,7,4,2,4,576
51,"P.V. MANGA KODAR R.N. 1",397,296,0,693,174,179,0,353,353,0,14,127,173,8,2,0,2,1,0,1,21,0,4,353
52,"P.V. MANGA KODAR 2",530,440,0,970,237,261,0,498,498,0,173,103,159,36,2,0,2,1,1,8,3,6,4,498
53,"P.V. PIDARA  R.N. -1",405,316,0,721,188,162,0,350,350,0,152,83,90,18,0,0,0,1,1,1,2,0,2,350
54,"P.V.PIDARA R.N.-2",146,112,0,258,65,71,0,136,136,0,63,21,30,12,0,1,1,1,0,1,0,2,4,136
55,"P.V. PIDARI",271,223,0,494,147,171,0,318,318,0,131,51,120,3,0,0,3,0,0,1,0,0,9,318
56,"P.V. JOGIYA BUJURG R.N. 1",521,363,0,884,250,223,0,473,473,0,143,105,175,17,7,0,2,0,1,4,3,6,10,473
57,"P.V. JOGIYA BUJURG R.N. 2",293,236,0,529,190,85,0,275,275,0,98,70,74,17,1,0,1,0,2,6,0,4,2,275
58,"P.V. GAUNARIYA",361,312,0,673,162,179,0,341,341,0,211,10,86,18,0,0,1,0,1,4,0,2,8,341
59,"P.V. SRINAGAR KOLHUAA",583,428,0,1011,262,227,0,489,489,0,157,95,165,48,1,0,1,2,1,1,4,6,8,489
60,"P.V. SRINAGAR KOLHUAA",197,171,0,368,90,79,0,169,169,0,44,40,72,5,0,1,0,0,1,1,3,0,2,169
61,"P.V. GAAJIPUR BHAISAHI",655,475,0,1130,405,139,0,544,544,0,126,60,335,13,0,1,1,1,1,4,0,1,1,544
62,"P.V. SATUAABHAR",256,213,0,469,145,137,0,282,282,0,120,72,72,8,0,0,1,0,1,2,1,1,4,282
63,"P.V. EKALA MISHROULIYA",362,298,0,660,202,135,0,337,337,0,203,59,45,12,0,0,1,3,2,3,1,7,1,337
64,"P.V. EKALA MISHROULIYA R.N.",483,358,0,841,189,154,0,343,343,0,95,92,121,8,1,3,2,2,0,2,2,1,14,343
65,"P.V. JUNGLE LALPUR",200,154,0,354,129,119,0,248,248,0,95,61,66,8,1,0,2,2,1,1,2,3,6,248
66,"P.V. PACHAMA",451,383,0,834,229,234,0,463,463,0,100,277,73,1,1,0,3,1,1,2,4,0,0,463
67,"P.V. KURAITI",543,360,0,903,219,211,0,430,430,0,193,94,122,8,1,2,0,0,1,2,1,2,4,430
68,"P.V. BOURDIH",733,550,0,1283,320,308,0,628,628,0,368,72,139,26,4,1,1,1,0,5,3,1,7,628
69,"P.V. JAAFARABAD KOTIYA",556,452,0,1008,303,276,0,579,579,0,297,59,142,43,0,2,1,13,0,5,13,1,3,579
70,"P.V. MAHESHPUR R.N. 1",377,328,0,705,227,205,0,432,432,0,173,46,161,29,1,0,1,1,3,2,4,1,10,432
71,"P.V. MAHESHPUR R.N.2",563,445,0,1008,279,232,0,511,511,0,418,11,53,16,2,1,1,0,0,2,0,2,5,511
72,"P.V. KHORAMA KHAS -1",378,299,0,677,190,170,0,360,360,0,282,16,19,14,3,0,1,11,1,5,0,1,7,360
73,"P.V. KHORAMA KHAS",694,497,0,1191,315,244,0,559,559,0,325,27,166,10,1,0,1,9,1,1,3,4,11,559
74,"P.V. NIBAHI",818,626,0,1444,347,346,0,693,693,0,248,214,153,54,2,2,1,0,0,10,0,3,6,693
75,"P.V. JUNGLE BHUSAUL",391,328,0,719,175,192,0,367,367,0,129,125,42,54,2,2,1,0,1,4,3,3,1,367
76,"KANHAULI KHAS",649,479,0,1128,259,240,0,499,499,0,248,40,72,108,6,0,1,3,0,6,3,2,10,499
77,"INTER COLLEGE KANHOULI KHAS R.N.2",295,200,0,495,123,126,0,249,249,0,128,26,27,48,1,0,0,1,1,2,3,3,9,249
78,"P.V. LUATHAHI R.N. 1",650,527,0,1177,318,362,0,680,680,0,480,13,124,15,3,0,1,9,1,12,6,5,11,680
79,"P.V. LUATHAHI R.N.2",472,378,0,850,245,208,0,453,453,0,391,15,23,12,1,0,2,0,1,5,0,1,2,453
80,"P.V. SHIVPUR R.N. 1",551,465,0,1016,293,287,0,580,580,0,308,37,166,36,1,2,4,4,0,6,2,4,10,580
81,"P.V. SHIVPUR R.N. 2",339,287,0,626,173,156,0,329,329,0,166,45,89,6,4,0,0,2,1,7,3,0,6,329
82,"P.V. KARIHAWA",252,211,0,463,145,141,0,286,286,0,179,19,50,6,2,1,1,3,2,12,2,4,5,286
83,"P.V. SURAJPUR",762,603,0,1365,403,414,0,817,817,0,493,128,119,31,2,1,6,2,0,23,2,3,7,817
84,"P.V. RAMNAGAR R.N. 1",453,381,0,834,256,217,0,473,473,0,254,40,149,18,0,0,1,0,1,5,3,1,1,473
85,"P.V. RAMNAGAR R.N. 2",629,546,0,1175,344,294,0,638,638,0,428,57,116,14,3,1,2,1,2,8,2,0,4,638
86,"P.V. RAMLAKSHAN",434,374,0,808,224,226,0,450,450,0,160,72,178,18,3,0,0,2,4,4,2,2,5,450
87,"P.V. BHRIGUSARI R.N. 1",460,403,0,863,252,264,0,516,516,0,358,100,19,12,2,0,1,6,2,7,4,1,4,516
88,"P.V. BHRIGUSARI R.N.2",670,554,0,1224,369,353,0,722,722,0,434,180,50,21,3,1,1,6,1,10,1,2,12,722
89,"P.V. LAKSHMIPUR",426,362,0,788,178,121,0,299,299,0,121,39,112,15,2,0,2,2,1,3,1,1,0,299
90,"GOVERNMENT S.S. SCHOOL LAKSHMIPUR R.N. 1",530,468,0,998,273,237,0,510,510,0,362,66,37,28,2,1,1,0,2,1,0,4,6,510
91,"GOVERNMENT S.S. SCHOOL LAKSHMIPUR R.N. 2",844,725,0,1569,475,420,0,895,895,0,661,29,166,16,1,0,0,1,6,9,1,3,2,895
92,"GOVERNMENT S.S. SCHOOL LAKSHMIPUR R.N. 3",674,549,0,1223,330,320,0,650,650,0,422,19,178,13,1,0,1,1,2,9,2,0,2,650
93,"P.V. BANIYENI R.N. 1",384,314,0,698,170,162,0,332,332,0,176,26,96,8,2,0,1,7,3,5,0,2,6,332
94,"P.V. BANIYENI R.N. 2",515,395,0,910,233,223,0,456,456,0,228,98,106,8,1,1,3,4,1,4,0,0,2,456
95,"P.V. SEKHUI R.N. 1",681,559,0,1240,326,302,0,628,628,0,180,197,180,39,1,2,1,2,3,7,3,5,8,628
96,"P.V. SEKHUI",645,524,0,1169,336,295,0,631,631,0,345,100,139,6,2,1,2,2,4,14,5,3,8,631
97,"P.V. AWADHAPUR R.N. 1",480,407,0,887,257,245,0,502,502,0,345,41,87,6,4,1,3,0,0,11,0,1,3,502
98,"P.V. AWADHAPUR R.N. 2",459,397,0,856,237,217,0,454,454,0,257,70,89,7,1,1,0,1,2,11,5,3,7,454
99,"P.V. DIWANPOKHARA",742,595,0,1337,350,369,0,719,719,0,429,77,140,34,10,0,5,3,3,6,2,4,6,719
100,"P.V. HARAKHAN GADH VIRWAA R. N. 1",653,497,0,1150,331,348,0,679,679,0,296,20,306,19,1,1,3,4,3,19,2,2,3,679
101,"P.V. HARAKHAN GADH VIRWAA R.N. 2",750,573,0,1323,326,358,0,684,684,0,317,191,135,8,3,0,2,2,4,7,3,5,7,684
102,"P.V. LEDAHA R.N. 1",469,407,0,876,287,259,0,546,546,0,307,44,159,5,1,2,3,1,5,12,1,2,4,546
103,"P.V. LEDAHA R.N. 2",483,380,0,863,202,183,0,385,385,0,320,14,34,6,0,0,1,3,1,2,1,1,2,385
104,"P.V. JUNGLE KITASEM",345,248,0,593,208,172,0,380,380,0,306,25,17,5,2,0,2,1,1,16,2,1,2,380
105,"J.H.SCHOOL JOGAM",567,483,0,1050,281,254,0,535,535,0,330,14,114,48,1,3,4,1,1,6,2,2,9,535
106,"P.V. PIPARAHAWAGHAT JOGAM",617,508,0,1125,311,279,0,590,590,0,285,91,155,15,2,3,5,5,0,10,4,6,9,590
107,"P.V. LABAKANI R.N. 1",592,480,0,1072,309,261,0,570,570,0,140,16,374,9,0,1,4,4,1,2,5,1,13,570
108,"P.V. LABAKANI R.N. 2",387,320,0,707,213,211,0,424,424,0,273,36,25,51,1,0,2,5,2,5,5,2,17,424
109,"J.H.SCHOOL LABAKANI R.N.",533,397,0,930,265,219,0,484,484,0,359,49,22,21,0,2,1,4,4,6,2,4,10,484
110,"J.H.SCHOOL LABAKANI R.N. 2",555,406,0,961,265,262,0,527,527,0,261,97,109,33,3,2,2,8,1,6,1,1,3,527
111,"J.H.SCHOOL LABAKANI R.N. 3",468,370,0,838,193,190,0,383,383,0,252,30,50,12,0,0,4,3,5,8,2,3,14,383
112,"J.H.SCHOOL LABAKANI R.N.4",448,326,0,774,222,164,0,386,386,0,210,76,56,8,4,1,3,1,2,6,4,5,10,386
113,"J.H. SCHOOL INDUPUR R.N. 1",623,556,0,1179,370,333,0,703,703,0,470,87,87,21,0,2,2,1,3,13,5,4,8,703
114,"J.H.SCHOOL INDUPUR R.N. 2",679,564,0,1243,419,357,0,776,776,0,371,35,294,17,4,2,2,1,4,12,3,6,25,776
115,"P.V. MADAINA",754,626,0,1380,424,397,0,821,821,0,458,161,125,33,3,0,3,9,1,11,7,2,8,821
116,"P.V. PANANAHA R.N. 1",443,361,0,804,198,148,0,346,346,0,178,93,9,45,1,1,1,1,3,1,0,4,9,346
117,"P.V. PANANAHA R.N. 2",670,544,0,1214,286,246,0,532,532,0,176,256,23,18,1,0,4,3,1,7,6,10,27,532
118,"P.V. KATAAI R.N. 1",505,380,0,885,300,229,0,529,529,0,219,209,59,19,0,1,1,1,1,8,4,0,7,529
119,"P.V. KATAAI R.N.",495,428,0,923,289,304,0,593,593,0,327,15,204,4,3,2,4,1,3,12,6,4,8,593
120,"P.V. USARI KHURD",394,334,0,728,205,201,0,406,406,0,258,20,80,23,1,0,1,1,1,8,4,4,5,406
121,"P.V. PARASOTIMA R.N.",432,354,0,786,228,195,0,423,423,0,152,105,124,9,1,0,1,0,0,14,1,1,15,423
122,"P.V. PARASOTIMA R.N. 2",441,345,0,786,242,211,0,453,453,0,280,26,113,12,2,0,2,2,1,8,5,0,2,453
123,"P.V. JOGIYA",601,512,0,1113,306,259,0,565,565,0,242,178,69,30,3,2,2,4,3,11,3,4,14,565
124,"P.V. KARMEL R.N. 1",398,346,0,744,214,212,0,426,426,0,230,44,130,3,1,0,4,0,1,5,1,0,7,426
125,"P.V. KARMEL R.N. 2",546,387,0,933,311,276,0,587,587,0,343,118,87,5,4,0,2,3,0,10,4,3,8,587
126,"P.V. BELKUNDA R.N. 1",709,600,0,1309,355,401,0,756,756,0,414,89,166,27,4,1,3,1,1,8,5,8,29,756
127,"P.V. BELKUNDA R.N. 2",696,574,0,1270,316,347,0,663,663,0,354,31,205,18,4,1,1,3,2,10,4,11,19,663
128,"P.V. CHHATAHI R.N. 1",538,460,0,998,320,309,0,629,629,0,198,58,335,26,2,0,1,0,0,3,2,0,4,629
129,"P.V. CHHITAHI R.N. 2",664,518,0,1182,332,313,0,645,645,0,282,7,278,21,4,2,2,6,4,12,3,5,19,645
130,"P.V. BHALICHAUR R.N.१",638,543,0,1181,348,340,0,688,688,0,475,19,129,30,5,0,2,2,3,5,3,3,12,688
131,"P.V. BHALICHAUR R.N.2",784,631,0,1415,340,287,0,627,627,0,361,128,48,45,5,0,4,5,1,19,0,6,5,627
132,"P.V. VARDGONIYA R.N.1",486,390,0,876,219,213,0,432,432,0,276,28,76,23,1,2,2,2,3,5,1,6,7,432
133,"P.V. VARDGONIYA R.N.2",382,341,0,723,195,192,0,387,387,0,227,25,101,8,2,2,1,0,2,8,2,2,7,387
134,"P.V. VARDGONIYA R.N. 3",648,583,0,1231,347,363,0,710,710,0,372,72,193,18,15,0,2,5,0,16,5,1,11,710
135,"P.V. VARDGONIYA R.N. 4",425,387,0,812,174,197,0,371,371,0,242,12,71,4,12,1,1,2,1,14,2,3,6,371
136,"GIRLS S.S. SCHOOL MISHROULIYA  R.N.",504,408,0,912,285,255,0,540,540,0,195,172,142,16,0,0,0,1,1,7,1,4,1,540
137,"GIRLS S.S. SCHOOL MISHROULIYA  R.N.2",710,556,0,1266,381,374,0,755,755,0,470,53,139,47,5,3,4,3,3,16,2,2,8,755
138,"NAVEEN S.S. SCHOOL BADHAYA BUJURG R.N 2",767,603,0,1370,371,373,0,744,744,0,525,41,46,65,3,5,8,8,4,17,2,11,9,744
139,"NAVEEN S.S. SCHOOL BADHAYA BUJURG R.N. 2",781,585,0,1366,412,356,0,768,768,0,441,112,127,23,6,2,1,4,1,17,5,7,22,768
140,"NAVEEN P.V. SHIVVRAT BADHAYA BUJURG R.N. 1",577,473,0,1050,300,313,0,613,613,0,380,72,66,36,3,2,3,5,3,14,9,6,14,613
141,"NAVEEN P.V. SHIVVRAT BADHAYA BUJURG R.N. 2",707,588,0,1295,368,296,0,664,644,0,500,38,54,24,2,2,4,1,1,17,6,2,13,664
142,"J.H.SCHOOL  RANIHAWA R.N. 1",537,444,0,981,212,233,0,445,445,0,184,24,196,6,3,1,0,1,2,14,2,2,10,445
143,"J.H.SCHOOL RANIHAWA R.N. 2",440,325,0,765,218,191,0,409,409,0,180,72,130,8,3,1,0,1,2,7,1,0,4,409
144,"J.H.SCHOOL RANIHAWA R.N.3",554,453,0,1007,230,226,0,456,456,0,225,75,48,52,2,3,8,0,2,20,6,7,8,456
145,"J.H. SCHOOL RANIHAWA R.N. 4",675,486,0,1161,292,286,0,578,578,0,237,114,169,31,3,1,4,4,1,6,2,5,1,578
146,"P.V. MAHARAJGANJ R.N. 1",472,340,0,812,188,142,0,330,330,0,86,192,37,3,0,1,2,0,0,2,1,2,4,330
147,"P.V. MAHARAJGANJ R.N. 2",331,330,0,661,152,124,0,276,276,0,95,95,59,5,1,0,0,2,0,4,3,4,8,276
148,"P.V. MAHARAJGANJ R.N. 3",561,445,0,1006,224,228,0,452,452,0,248,51,103,15,3,2,1,0,3,7,2,6,11,452
149,"P.V. JUNGLE TARAINI",325,268,0,593,156,198,0,354,354,0,193,11,117,8,4,1,1,2,0,7,0,0,10,354
150,"P.V. SARAHASBAH R.N. 1",763,629,0,1392,368,372,0,740,740,0,482,16,204,6,2,1,5,4,2,9,4,1,4,740
151,"P.V. SARAHASBAH R.N. 2",770,628,0,1398,346,272,0,618,618,0,374,82,123,14,0,2,1,3,0,10,2,1,6,618
152,"P.V. JUNGLE PIPARA",615,511,0,1126,304,333,0,637,637,0,492,27,52,17,3,1,0,2,3,12,4,5,19,637
153,"P.V. AKATAHIYA URF MATIYARI R.N. 1",815,674,0,1489,398,356,0,754,754,0,300,239,152,9,1,3,6,6,3,13,4,3,15,754
154,"P.V. AKATAHIYA URF MATIYARI R.N. 2",437,380,0,817,201,220,0,421,421,0,256,21,94,21,4,1,1,1,1,6,1,5,9,421
155,"P.V. AKATAHIYA URF MATIYARI R.N. 3",466,343,0,809,230,190,0,420,420,0,311,17,48,24,1,1,2,1,0,6,1,2,6,420
156,"P.V. NAKATAPAR R.N. 1",611,542,0,1153,294,314,0,608,608,0,313,106,55,79,2,0,1,10,1,15,3,5,18,608
157,"P.V. NAKATAPAR R.N. 2",808,625,0,1433,372,344,0,716,716,0,408,106,80,37,6,1,1,8,3,27,5,6,28,716
158,"P.V. JOKAHA KHAS R.N. 1",481,435,0,916,166,197,0,363,363,188,188,70,69,14,1,0,2,2,2,4,2,2,7,363
159,"P.V. JOKAHA KHAS R.N.2",488,388,1,877,213,179,0,392,392,0,114,203,29,8,2,0,3,5,0,6,1,5,16,392
160,"P.V. JOKAHA KHAS R.N.3",504,390,0,894,250,213,0,463,463,0,283,85,51,23,3,1,1,1,0,10,2,2,1,463
161,"P.V. PARASA JOKAHA R.N. 1",521,413,0,934,254,276,0,530,530,0,432,21,24,15,4,1,1,1,0,10,4,2,15,530
162,"P.V. PARASA JUNGLE R.N.1",517,409,0,926,265,231,0,496,496,0,147,121,177,14,1,1,3,5,1,9,4,5,8,496
163,"P.V. PARASA JUNGLE R.N. 2",509,397,0,906,236,158,0,394,394,0,142,166,49,13,3,2,1,6,0,6,2,1,3,394
164,"P.V. USARA BAJAAR",842,675,0,1517,366,303,0,669,669,0,432,131,29,15,4,3,2,4,2,17,9,6,15,669
165,"P.V. TIVAI R.N.1",516,414,0,930,228,237,0,465,465,0,313,45,23,19,2,1,0,2,2,22,6,11,19,465
166,"P.V. TIWAI R.N. 2",424,337,0,761,171,164,0,335,335,0,172,97,18,12,2,2,1,4,2,8,0,5,12,335
167,"P.V. TIWAI R.N. 3",706,533,0,1239,309,370,0,679,679,0,191,56,288,51,7,1,4,4,5,27,11,5,29,679
168,"P.V. TIWAI R.N. 4",754,625,1,1380,305,393,0,698,698,0,450,18,128,19,2,2,10,1,6,17,5,8,32,698
169,"P.V. KOILGADAHA R.N. 1",339,294,0,633,116,105,0,221,221,0,88,77,9,24,1,1,1,2,1,9,1,1,6,221
170,"P.V. KOILGADAHA R.N. 2",595,414,0,1009,233,172,0,405,405,0,134,159,26,35,3,2,4,3,2,8,7,10,12,405
171,"H.S. SCHOOL KOILGADAHA R.N. 2",540,377,0,917,230,205,0,435,435,0,268,42,67,16,1,2,2,2,2,17,3,4,9,435
172,"H.S. SCHOOL KOILGADAHA R.N. 2",446,360,0,806,209,177,0,386,386,0,129,30,199,9,0,2,1,3,1,3,0,1,8,386
173,"H.S.SCHOOL KOILGADAHA R.N. 3",812,654,0,1466,327,374,0,701,701,0,442,66,116,26,6,1,1,4,0,13,4,4,18,701
174,"P.V. JUNGLE MAAHIGANJ R.N. 1",740,622,0,1362,413,294,0,707,707,0,376,147,109,23,2,5,4,5,1,7,3,5,20,707
175,"P.V. JUNGLE MAAHIGANJ R.N. 2",516,429,0,945,260,254,0,514,514,0,379,58,35,2,1,3,5,1,1,17,4,1,7,514
176,"P.V. JUNGLE MAAHIGANJ R.N. 3",552,427,0,979,256,240,0,496,496,0,206,132,123,13,0,0,1,1,1,8,2,1,8,496
177,"P.V. JUNGLE IMILIHA",781,628,0,1409,337,336,0,673,673,0,211,332,87,19,0,0,2,2,1,6,1,6,6,673
178,"P.V. MEDANAPUR R.N. 1",620,490,0,1110,331,207,0,538,538,0,221,123,158,16,0,1,0,2,4,5,2,2,4,538
179,"P.V. MEDANAPUR R.N. 2",568,444,1,1013,270,243,0,513,513,0,267,38,162,22,1,1,1,5,0,6,2,3,5,513
180,"GIRLS J.H. SCHOOL TARASARA",664,517,0,1181,323,312,0,635,635,0,280,120,176,27,1,2,1,1,1,6,6,2,12,635
181,"P.V. GAHILA DUDHAILA",736,638,0,1374,368,415,0,783,783,0,486,53,147,48,2,1,2,24,4,7,1,1,7,783
182,"P.V. MAAFI CHHAPOULI R.N. 1",467,394,0,861,243,242,0,485,485,311,311,12,106,33,3,2,1,0,2,4,4,2,5,485
183,"P.V. MAAFI CHHAPOULI R. N. 2",512,443,0,955,230,254,0,484,484,0,239,32,161,22,4,0,0,1,0,10,1,6,8,484
184,"J.H. SCHOOL JUNGLE AKATAHA",526,443,0,969,211,238,0,449,449,0,293,50,68,10,1,0,0,2,1,2,2,7,13,449
185,"P.V. JUNGLE AKATAHA R.N. 1",331,323,0,654,163,176,0,339,339,0,169,71,61,15,1,0,2,3,2,3,3,2,7,339
186,"P.V. JUNGLE AKATAHA R.N. 2",609,548,0,1157,262,279,0,541,541,0,360,61,79,22,1,0,1,1,3,6,1,3,3,541
187,"PANCHAYAT BHAWAN AMAUNI KHAS",542,465,0,1007,274,217,0,491,491,0,267,105,59,31,1,0,1,1,1,9,4,1,11,491
188,"P.V. AARAJI AMOUNI R.N.1",555,414,0,969,277,205,0,482,482,0,150,226,64,11,2,1,1,0,2,12,3,1,9,482
189,"P.V. AARAJI AMOUNI R.N. 2",566,394,0,960,240,182,0,422,422,0,127,207,48,25,2,0,0,3,1,5,0,0,4,422
