"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASHOK KUMAR KANNAOUJIYA","2 - CHHOTELAL","3 - PAKAUDI LAL KOL","4 - BHAGWATI PRASAD CHAUDHARY","5 - SHARADA PRASAD","6 - GUN DEVI GYANI DEVI","7 - S. R. DARAPURI","8 - MANGOI","9 - RAVI SHANKAR KANNAUJIA","10 - RAJKUMAR","11 - SHANKAR KOL","12 - ARUN SINGH CHERO","13 - RAMBRIKSHA","14 - LAWRENCE ANTHONY","15 - None of the Above","Total Votes Secured"
11,"PRATHMIK VIDYALAY PARASAONA (SOUTH PART)",779,625,0,1404,326,224,0,550,546,0,13,173,168,88,75,2,0,0,1,2,4,2,9,4,9,550
12,"PURV MADHYAMIK VIDYALAY GHUAS",768,690,0,1458,436,350,0,786,786,0,15,342,145,91,139,3,1,1,5,4,3,4,12,4,17,786
13,"PRATHMIK VIDYALAY TENDUA",430,349,0,779,267,194,0,461,461,0,16,240,46,105,8,3,0,4,4,2,4,6,14,3,6,461
14,"PRATHMIK VIDYALAY AMILAODHA",812,658,0,1470,444,292,0,736,736,0,9,190,90,45,321,9,1,1,3,5,10,5,9,8,30,736
15,"PRATHMIK VIDYALAY KADIYA",833,752,0,1585,505,443,0,948,948,0,18,121,148,348,188,6,5,4,8,6,12,22,15,12,35,948
16,"PRATHMIK VIDYALAY SIRASAEE",708,613,0,1321,434,359,0,793,791,0,16,154,189,147,224,5,2,2,4,2,16,9,11,3,9,793
17,"PRATHMIK VIDYALAY REHI",705,582,0,1287,331,284,0,615,615,0,36,213,143,82,109,4,4,5,1,2,0,4,0,0,12,615
18,"PRATHMIK VIDYALAY MAHOKHAR",251,214,0,465,141,114,0,255,220,0,8,102,18,28,90,1,1,0,1,0,0,0,1,3,2,255
19,"PRATHMIK VIDYALAY KARSOTA",537,411,0,948,345,236,0,581,454,0,7,178,149,85,120,3,2,1,2,0,4,5,13,4,8,581
20,"PRATHMIK VIDYALAY MADHAKA",300,249,0,549,205,183,0,388,386,0,0,107,146,18,89,2,0,0,0,0,2,2,5,7,10,388
21,"PRATHMIK VIDYALAY PURANA",620,532,0,1152,387,314,0,701,694,0,16,317,187,33,79,0,2,0,3,2,14,11,7,10,20,701
22,"PRATHMIK VIDYALAY BHAVANA",689,614,0,1303,435,376,0,811,811,0,12,369,32,79,187,4,2,1,3,3,60,14,10,12,23,811
23,"PURV MADHYAMIK VIDYALAY NAOGAVANNANDALAL",774,671,0,1445,427,361,0,788,678,0,11,313,80,78,258,4,1,0,5,0,6,1,9,4,18,788
24,"PRATHMIK VIDYALAY DEVARI KATH",487,427,0,914,288,194,0,482,482,0,18,243,37,73,74,1,0,1,1,2,3,0,3,12,14,482
25,"PRATHMIK VIDYALAY PEDHA (NORTH PART)",584,506,0,1090,267,205,0,472,472,0,4,178,63,58,125,3,5,2,2,2,1,3,5,5,16,472
26,"PRATHMIK VIDYALAY PEDHA ( SOUTH PART)",596,545,0,1141,298,200,0,498,200,0,19,170,87,109,79,1,5,3,3,0,2,1,3,6,10,498
27,"PURV MADYAMIK VIDYALAY PEDH ROOM NO. 1",487,456,0,943,184,168,0,352,348,0,12,108,31,108,54,1,0,1,4,1,2,2,4,6,18,352
28,"PURV MADYAMIK VIDYALAY PEDH ROOM NO. 2",500,397,0,897,162,117,0,279,279,0,11,95,17,87,39,1,2,1,4,0,2,2,4,2,12,279
29,"PRATHMIK VIDYALAY DHURAKARI",486,408,0,894,267,229,0,496,490,0,20,236,59,116,21,4,0,2,2,0,6,4,3,5,18,496
30,"PRATHMIK VIDYALAY BBHASAWAR U. PA.",422,365,0,787,218,164,0,382,381,0,4,148,94,27,61,1,2,3,2,1,2,4,15,9,9,382
31,"PRATHMIK VIDYALAY BHASAWAR DA. PA.",456,422,0,878,285,248,0,533,532,0,11,142,128,81,122,1,0,3,1,2,1,5,9,9,18,533
32,"PRATHMIK VIDYALAY SEMARIHAVA",726,617,0,1343,385,294,0,679,673,0,14,201,264,42,86,0,3,4,10,2,4,7,10,15,17,679
33,"PRATHMIK VIDYALAY MAGARDAHAN NORTH PART)",535,582,0,1117,330,364,0,694,676,0,14,227,126,139,68,6,5,1,12,2,34,8,19,11,22,694
34,"PRATHMIK VIDYALAY MAGARDAHAN (SOUTH PART)",599,421,0,1020,376,236,0,612,612,0,16,158,131,101,92,6,2,4,6,2,37,8,18,9,22,612
35,"PRATHMIK VIDYALAY VISAHAR",700,604,0,1304,529,341,0,870,855,0,10,213,245,150,208,1,1,3,2,1,6,4,6,5,15,870
36,"PRATHMIK VIDYALAY JOGINI",925,816,0,1741,605,486,0,1091,1089,0,21,401,268,172,142,5,4,3,8,6,6,5,16,8,26,1091
37,"PRATHMIK VIDYALAY BAGAPOKHAR",426,368,0,794,312,255,0,567,521,0,13,108,80,166,158,2,0,2,2,2,11,2,6,6,9,567
38,"PRATHMIK VIDYALAY AMILIYA",314,280,0,594,181,166,0,347,341,0,5,93,27,37,152,6,0,1,2,3,2,4,2,5,8,347
39,"PRATHMIK VIDYALAY KHUTAHANIYA",543,455,0,998,376,216,0,592,487,0,11,170,127,41,211,3,1,3,4,1,3,2,7,4,4,592
40,"PRATHMIK VIDYALAY TILAOLI KALA KAMRA NA. 1",525,481,0,1006,297,270,0,567,365,0,19,285,142,34,75,3,0,1,1,0,1,0,3,1,2,567
41,"PRATHMIK VIDYALAY TILAOLI KALA KAMRA NA. 2",406,376,0,782,270,227,0,497,490,0,3,281,97,13,79,1,2,2,0,0,1,4,6,4,4,497
42,"PURV MADYAMIK VIDYALAY TILAOLI KALA (WAST PART)",519,514,0,1033,324,281,0,605,603,0,12,210,121,70,147,3,1,2,3,1,1,2,7,7,18,605
43,"PRATHMIK VIDYALAY SEMARA",530,462,0,992,307,265,0,572,307,0,10,236,84,31,176,2,0,0,2,2,4,4,4,8,9,572
44,"PRATHMIK VIDYALAY BELAHEE",462,379,0,841,235,177,0,412,228,0,5,84,102,33,166,2,0,2,1,3,1,1,4,2,6,412
45,"PRATHMIK VIDYALAY BIMAORI (NORTH PART)",296,283,0,579,185,149,0,334,334,0,3,93,83,36,99,0,0,0,10,0,0,0,3,3,4,334
46,"PRATHMIK VIDYALAY BIMAORI (SOUTH PART)",425,381,0,806,270,214,0,484,482,0,6,109,97,45,203,3,0,0,0,8,1,2,3,2,5,484
47,"PRATHMIK VIDYALAY PURKHAS ATIRIKT KAKCHH",837,744,0,1581,509,455,0,964,950,0,21,481,134,25,226,8,4,2,9,3,11,8,9,10,13,964
48,"PRATHMIK VIDYALAY ARUANV",433,423,0,856,259,229,0,488,470,0,12,167,173,20,94,1,3,0,3,0,5,0,4,3,3,488
49,"PURV MADHYAMIK VIDYALAY DHOVA",355,323,0,678,220,176,0,396,395,0,10,115,68,8,178,0,1,0,9,0,1,1,2,3,0,396
50,"PRATHMIK VIDYALAY PIDARIYA",501,452,0,953,253,217,0,470,458,0,14,209,104,11,115,3,0,1,5,0,2,1,1,1,3,470
51,"PRATHMIK VIDYALAY KHARUANV",465,399,0,864,312,209,0,521,521,0,11,229,142,23,76,2,0,4,0,2,3,5,10,2,12,521
52,"PURV MADYAMIK VIDYALAY KHARUANV",440,353,0,793,293,257,0,550,550,0,10,155,14,14,341,0,0,2,1,1,1,0,2,2,7,550
53,"PRATHMIK VIDYALAY DHARAMAOLI",320,284,0,604,226,201,0,427,427,0,5,102,85,8,208,1,1,2,1,0,3,0,1,5,5,427
54,"PRATHMIK VIDYALAY KANETEE",497,475,0,972,345,325,0,670,670,0,11,249,204,13,158,2,0,0,3,1,3,1,9,7,9,670
55,"PRATHMIK VIDYALAY KEVALIMAYDEVALI",380,315,0,695,253,189,0,442,442,0,7,203,76,24,108,2,0,1,8,0,1,0,5,3,4,442
56,"PRATHMIK VIDYALAY MAHUARIYA",345,281,0,626,238,200,0,438,438,0,9,174,108,16,91,3,3,0,2,3,3,1,8,8,9,438
57,"PRATHMIK VIDYALAY DEEVAN",864,668,0,1532,476,347,0,823,792,0,11,197,130,36,389,7,4,1,5,1,5,5,10,5,17,823
58,"PRATHMIK VIDYALAY BHARAOLI",833,771,0,1604,562,422,0,984,984,0,12,432,299,33,133,7,2,1,3,1,3,4,16,14,24,984
59,"PRATHMIK VIDYALAY SIRSAEE",804,667,0,1471,402,288,0,690,690,0,18,228,85,24,312,4,1,0,1,0,8,0,5,1,3,690
60,"RAJAKEEYA INTER COLLEGE GHORAWAL (PU. PART)",690,567,0,1257,385,249,0,634,634,0,10,150,46,32,385,0,0,0,0,0,2,0,0,4,5,634
61,"RAJAKEEYA INTER COLLEGE GHORAWAL (WAST PART)",674,571,0,1245,311,246,0,557,554,0,10,193,24,50,236,9,5,1,1,1,5,2,7,2,11,557
62,"PRATHMIK VIDYALAY NEVARI",859,712,0,1571,500,442,0,942,942,0,17,230,203,54,363,7,4,5,1,2,10,8,15,8,15,942
63,"PRATHMIK VIDYALAY SATAOHAN",637,544,0,1181,436,352,0,788,769,0,16,189,104,45,389,7,1,4,2,2,4,2,8,1,14,788
64,"PRATHMIK VIDYALAY BISUNDHARI PU. PA.",723,608,0,1331,416,292,0,708,707,0,15,127,128,90,314,4,3,5,4,0,0,3,2,3,10,708
65,"PRATHMIK VIDYALAY BISUNDHARI PA. PA.",493,401,0,894,238,197,0,435,435,0,12,161,70,31,139,2,2,2,1,4,0,2,3,3,3,435
66,"PRATHMIK VIDYALAY JUDIYA",465,364,0,829,199,185,0,384,384,0,6,36,206,68,49,4,0,1,1,0,0,1,2,5,5,384
67,"PRATHMIK VIDYALAY GHORAWAL U. PA.",538,493,0,1031,311,243,0,554,548,0,8,257,190,47,32,1,0,1,4,0,0,1,1,1,11,554
68,"PRATHMIK VIDYALAY GHORAWAL DA. PA.",567,452,0,1019,329,213,0,542,532,0,7,320,154,20,28,1,0,0,1,1,0,2,3,3,2,542
69,"PRATHMIK VIDYALAY GHORAWAL (WEST PART)",895,673,0,1568,412,311,0,723,680,0,4,447,105,40,94,7,0,2,3,1,2,0,2,3,13,723
70,"PURV MADHYAMIK VIDYALAY GHORAWAL (ROOM NO. 1)",554,459,1,1014,326,259,0,585,564,0,6,288,64,49,158,2,0,0,1,0,1,0,2,2,12,585
71,"PURV MADHYAMIK VIDYALAY GHORAWAL (ROOM NO. 2)",532,424,0,956,293,217,0,510,505,0,2,311,125,37,25,1,0,0,4,1,0,0,1,2,1,510
72,"PRATHMIK VIDYALAY BISAREKHI",759,712,0,1471,528,425,0,953,942,0,9,217,312,35,316,4,3,1,4,0,8,2,14,8,20,953
73,"PRATHMIK VIDYALAY MARASADA",665,607,0,1272,499,361,0,860,856,0,20,165,337,20,294,4,1,1,3,2,6,3,2,0,2,860
74,"PRATHMIK VIDYALAY NAOGAEE",270,219,0,489,212,145,0,357,357,0,1,89,16,6,224,3,0,2,1,1,2,0,6,2,4,357
75,"PRATHMIK VIDYALAY MAJHIGANVA CHAOHAN",713,640,0,1353,459,372,0,831,831,0,7,262,197,31,286,3,2,3,5,1,4,5,12,2,11,831
76,"PRATHMIK VIDYALAY KHADADEUR",763,628,0,1391,461,358,0,819,819,0,18,404,240,57,74,3,0,1,1,0,9,2,4,1,5,819
77,"PURV MADHYAMIK VIDYALAY SHIVDWAR (NORTH PART)",539,500,0,1039,288,231,0,519,516,0,9,163,100,44,130,3,29,1,3,0,5,2,13,7,10,519
78,"PURV MADHYAMIK VIDYALAY SHIVDWAR (SOUTH PART)",467,365,0,832,257,181,0,438,438,0,5,157,81,18,135,0,13,1,2,1,0,0,7,9,9,438
79,"PRATHMIK VIDYALAY SATDWARI",579,492,0,1071,324,259,0,583,583,0,7,158,159,33,180,2,1,0,2,1,5,6,8,5,16,583
80,"PRATHMIK VIDYALAY BAR KAMARA NO. 1",565,447,0,1012,403,289,0,692,690,0,16,379,47,38,161,3,2,2,0,3,4,6,13,9,9,692
81,"PRATHMIK VIDYALAY BAR KAMARA NO. 2",333,305,0,638,189,162,0,351,351,0,8,142,112,10,51,3,1,1,1,2,1,4,5,1,9,351
82,"PRATHMIK VIDYALAY BARADIYA PU. PA.",530,464,0,994,311,329,0,640,637,0,18,214,225,20,114,5,4,2,3,4,6,3,11,2,9,640
83,"PRATHMIK VIDYALAY BARADIYAN PA. PA.",475,406,0,881,237,184,0,421,407,0,8,180,107,16,87,0,0,1,2,0,3,3,1,3,10,421
84,"PRATHMIK VIDYALAY MAHANV",820,675,0,1495,478,362,0,840,838,0,20,193,350,39,203,8,2,1,1,2,3,1,7,4,6,840
85,"PRATHMIK VIDYALAY DEVAGADHA",656,577,0,1233,489,404,0,893,893,0,11,234,404,28,137,11,3,1,2,3,5,4,22,11,17,893
86,"PRATHMIK VIDYALAY BHARAKANA",640,500,0,1140,343,255,0,598,567,0,19,238,99,17,184,5,3,1,3,1,1,7,11,1,8,598
87,"PURV MADHYAMIK VIDYALAY KOHARATHA",622,508,0,1130,412,305,0,717,717,0,15,293,210,27,141,2,1,0,2,2,13,2,4,3,2,717
88,"PRATHMIK VIDYALAY SIHAVAL",608,544,0,1152,409,333,0,742,739,0,8,118,233,17,331,3,0,3,2,1,5,3,4,3,11,742
89,"PRATHMIK VIDYALAY PADAVANIYA",709,621,0,1330,481,386,0,867,867,0,33,411,56,24,292,4,5,3,4,2,9,1,3,10,10,867
90,"PRATHMIK VIDYALAY BARAYAN (HINAOTI)",774,671,0,1445,450,364,0,814,487,0,14,174,271,24,275,4,2,2,5,2,11,7,9,1,13,814
91,"PRATHMIK VIDYALAY LILAWAHEE",367,329,0,696,220,201,0,421,421,0,10,179,75,55,73,1,0,1,0,2,2,2,6,7,8,421
92,"PRATHMIK VIDYALAY KHAGIYA",390,328,0,718,272,227,0,499,499,0,14,189,39,8,210,2,3,1,2,1,10,3,2,4,11,499
93,"PRATHMIK VIDYALAY KOLDIHA",410,365,0,775,262,229,0,491,491,0,10,260,108,16,63,1,3,2,0,1,4,4,4,3,12,491
94,"PRATHMIK VIDYALAY MANDAHA",418,356,0,774,270,218,0,488,488,0,27,176,101,88,48,2,4,4,2,1,12,4,8,3,8,488
95,"PRATHMIK VIDYALAY CHINGORI",292,268,0,560,228,195,0,423,423,0,4,208,40,4,61,1,0,1,1,2,90,3,0,6,2,423
96,"PRATHMIK VIDYALAY GURUVAL",562,515,0,1077,361,301,0,662,653,0,27,158,276,17,161,2,2,3,2,0,4,1,2,0,7,662
97,"PRATHMIK VIDYALAY BELAWANIYA",553,470,0,1023,367,297,0,664,664,0,7,76,173,37,311,1,1,2,4,0,13,5,13,3,18,664
98,"PURV MADHYAMIK VIDYALAY LOHANDI",473,432,0,905,304,261,0,565,565,0,3,122,207,26,161,4,7,0,3,4,4,3,6,5,10,565
99,"PRATHMIK VIDYALAY GURETH",402,341,0,743,268,240,0,508,508,0,2,119,206,34,119,1,2,1,1,1,6,2,9,0,5,508
100,"PRATHMIK VIDYALAY DUBAKHILI",250,224,0,474,182,162,0,344,341,0,1,52,214,2,54,0,0,1,0,2,1,6,7,3,1,344
101,"PRATHMIK VIDYALAY AHARAORA ATIRIKT KAKCH",436,377,1,814,308,292,0,600,600,0,6,120,150,18,278,4,0,1,0,2,6,2,2,3,8,600
102,"PRATHMIK VIDYALAY DHANAWAL",369,294,0,663,261,174,0,435,435,0,10,189,57,9,156,2,1,0,0,0,1,1,5,2,2,435
103,"PRATHMIK VIDYALAY SOTIL",660,503,0,1163,385,287,0,672,631,0,7,205,126,142,160,3,3,1,0,3,1,3,6,3,9,672
104,"PRATHMIK VIDYALAY BARAOLI",419,338,0,757,266,210,0,476,474,0,4,184,168,10,82,2,1,1,1,0,1,4,6,5,7,476
105,"PRATHMIK VIDYALAY KHIRIHATA",629,557,0,1186,397,349,0,746,735,0,15,181,277,157,50,2,2,1,3,0,8,9,16,13,12,746
106,"PRATHMIK VIDYALAY BHAIRAWA",643,576,0,1219,403,353,0,756,752,0,22,184,207,140,144,1,0,3,6,3,7,5,10,5,19,756
107,"PRATHMIK VIDYALAY DOMAKHIRI",454,406,0,860,320,265,0,585,572,0,10,216,186,41,83,2,0,0,3,3,2,3,14,11,11,585
108,"PRATHMIK VIDYALAY BAKAOLI",526,451,0,977,331,284,0,615,575,0,7,202,73,21,284,4,2,1,1,2,7,3,2,4,2,615
109,"PRATHMIK VIDYALAY KUSUMHA",417,365,0,782,262,206,0,468,468,0,3,185,81,112,47,3,1,2,3,2,2,4,10,5,8,468
110,"PRATHMIK VIDYALAY ODAR",337,298,0,635,220,192,0,412,412,0,3,127,56,18,191,2,1,0,1,0,1,3,1,2,6,412
111,"PRATHMIK VIDYALAY MUDILADEEH STHIT PADARI KALA PU.PA.",771,669,0,1440,456,347,0,803,801,0,10,399,33,38,266,1,4,1,10,5,9,1,4,8,14,803
112,"PRATHMIK VIDYALAY MUDILADEEH STHIT PADARI KALA PA.PA.",523,458,0,981,247,208,0,455,450,0,13,239,33,28,120,3,2,0,1,0,3,0,4,2,7,455
113,"PRATHMIK VIDYALAY MORAHEE U.PA.",532,429,0,961,309,232,0,541,531,0,12,326,38,15,113,0,4,2,2,0,3,1,7,5,13,541
114,"PRATHMIK VIDYALAY MORAHEE DA.PA.",361,321,0,682,181,167,0,348,347,0,5,110,61,20,127,5,4,0,3,1,1,5,2,3,1,348
115,"PRATHMIK PATHSHALA CHORAT",371,349,0,720,257,220,0,477,477,0,10,189,81,70,99,1,1,1,2,2,2,1,4,5,9,477
116,"PURV MADHYAMIK VIDYALAY MAGUAANV PANDEY",430,392,0,822,229,193,0,422,403,0,7,123,49,25,182,6,0,0,4,1,1,4,5,4,11,422
117,"PRATHMIK VIDYALAY KHAJURAOL",396,367,0,763,259,221,0,480,475,0,11,163,43,165,60,3,4,0,2,1,4,3,2,7,12,480
118,"PRATHMIK VIDYALAY MUSARDHARA",305,284,0,589,168,142,0,310,310,0,7,111,71,66,27,2,0,1,1,1,0,0,8,12,3,310
119,"PRATHAMIK VIDYALAY MAHUAANV PANDEY STITH KEVATA",386,350,0,736,235,187,0,422,422,0,6,130,164,28,50,4,4,0,1,0,3,3,10,6,13,422
120,"PRATHAMIK VIDYALAY TENDUEE",331,266,0,597,192,156,0,348,348,0,4,153,80,10,83,1,1,2,0,2,0,1,2,4,5,348
121,"PRATHAMIK VIDYALAY SIDDHI PU. PA.",437,367,0,804,252,216,0,468,467,0,9,160,60,43,138,4,2,2,10,0,17,2,6,9,6,468
122,"PRATHAMIK VIDYALAY SIDDHI PA. PA.",500,407,0,907,289,217,0,506,504,0,9,206,33,30,210,3,1,1,2,3,2,0,3,2,1,506
123,"PRATHAMIK VIDYALAY BELKHUREE",300,263,0,563,192,173,0,365,364,0,4,133,8,5,207,1,0,0,1,0,1,3,0,0,2,365
124,"PRATHAMIK VIDYALAY SARAVAT",370,339,0,709,241,212,0,453,453,0,11,271,33,12,97,3,3,1,2,1,1,2,1,4,11,453
125,"PRATHAMIK VIDYALAY NONI",541,496,0,1037,319,279,0,598,590,0,10,230,44,17,267,3,3,0,1,3,5,1,5,2,7,598
126,"PRATHAMIK VIDYALAY KUSEENISF",490,445,0,935,348,285,0,633,633,0,10,209,94,33,212,3,8,0,3,0,37,1,3,6,14,633
127,"PRATHAMIK VIDYALAY OBARADEEH",719,648,0,1367,462,364,0,826,815,0,15,171,127,46,362,12,16,3,7,4,14,6,13,12,18,826
128,"PRATHAMIK VIDYALAY BALDEEH",566,516,0,1082,336,275,0,611,610,0,22,317,43,56,100,3,0,2,2,1,10,5,6,13,31,611
129,"PRATHAMIK VIDYALAY DUGAOLIYA",803,683,0,1486,441,349,0,790,790,0,24,308,35,49,244,6,6,9,10,6,22,7,13,13,38,790
130,"PRATHAMIK VIDYALAYJAMAGANV KAMARA NO. 1",701,570,0,1271,370,308,0,678,675,0,21,179,23,58,353,8,2,4,3,2,5,2,2,6,10,678
131,"PRATHAMIK VIDYALAYJAMAGANV KAMARA NO. 2",297,235,0,532,192,155,0,347,347,0,6,101,36,17,154,6,3,0,3,2,3,1,3,1,11,347
132,"PRATHAMIK VIDYALAY SAHUAAR",419,322,0,741,291,212,0,503,503,0,14,312,12,11,119,3,2,1,2,0,3,2,5,11,6,503
133,"PRATHAMIK VIDYALAY KOLKADEE STHIT BADAGANVA",298,252,0,550,223,196,0,419,402,0,7,191,20,14,151,4,3,1,0,3,1,5,6,4,9,419
134,"PRATHAMIK VIDYALAY MARACHI STHIT KOLKADI",329,302,0,631,215,180,0,395,395,0,6,77,15,37,212,4,2,3,0,3,1,4,13,6,12,395
135,"PRATHAMIK VIDYALAY JUDAOLI KOLANI",467,454,0,921,335,306,0,641,641,0,7,107,59,42,208,7,117,2,8,6,7,7,13,23,28,641
136,"PURV MADHYAMIK VIDYALAY MARACHI",609,497,0,1106,342,282,0,624,624,0,13,447,29,27,65,2,0,1,2,0,4,6,2,6,20,624
137,"PRATHAMIK VIDYALAY KUSAHARA",690,633,0,1323,493,404,0,897,897,0,38,410,91,91,237,4,3,2,3,1,4,2,6,1,4,897
138,"PRATHAMIK VIDYALAY SHAHAGANJ (EAST PART)",623,491,0,1114,404,235,0,639,639,0,12,363,53,52,117,1,3,2,3,2,4,1,8,7,11,639
139,"PRATHAMIK VIDYALAY SHAHAGANJ (SOUTH PART)",619,525,0,1144,356,323,0,679,672,0,18,378,37,55,137,1,2,2,1,3,5,6,7,4,23,679
140,"PRATHAMIK VIDYALAY USARI KHURD ATIRIKT KAKCHHA STSHIT USARI KALA",451,384,0,835,311,240,0,551,498,0,7,323,43,19,133,0,0,0,2,1,2,1,2,5,13,551
141,"PANCHAYAT BHAVAN AMAUD KHURD STHIT USARI KALA",213,188,0,401,137,101,0,238,238,0,2,22,107,16,79,1,0,0,1,1,0,2,0,3,4,238
142,"JANG BAHADUR INTER COLLEGE ODAHATHA",889,723,0,1612,467,331,0,798,796,0,20,485,18,61,169,6,3,0,1,2,4,2,4,11,12,798
143,"PRATHMIK VIDHAYALAY KHAJURI KHURD",233,213,0,446,142,124,0,266,266,0,11,73,9,21,136,0,0,1,9,0,1,1,1,2,1,266
144,"PRATHMIK VIDHAYALAY BELANV",431,349,0,780,261,213,0,474,408,0,5,171,8,18,249,3,2,0,3,1,2,3,1,2,6,474
145,"PRATHMIK VIDHAYALAY PIPARI NO. 1",286,232,0,518,153,121,0,274,274,0,3,115,17,19,105,1,0,1,3,1,1,2,3,2,1,274
146,"PRATHMIK VIDHAYALAY JAMAGANEE",320,268,0,588,194,148,0,342,342,0,3,93,104,13,114,0,2,1,1,1,0,3,2,3,2,342
147,"PRATHMIK VIDHAYALAY KAPURA",353,299,0,652,222,181,0,403,403,0,4,176,23,3,176,1,0,1,0,1,3,2,6,3,4,403
148,"PRATHMIK VIDHAYALAY BARWAN",573,465,0,1038,319,260,0,579,579,0,13,264,59,16,178,6,0,3,7,3,1,5,4,8,12,579
149,"PRATHMIK VIDHAYALAY CHHOTAKAPUR U.PA.",542,464,0,1006,321,261,0,582,582,0,16,200,110,68,145,4,0,3,4,4,4,3,7,3,11,582
150,"PRATHMIK VIDHAYALAY CHHOTAKAPUR DA.PA.",460,378,0,838,224,143,0,367,366,0,16,69,81,92,93,10,0,0,2,1,1,0,1,1,0,367
151,"PRATHMIK VIDHAYALAY CHAOHATA",311,269,0,580,202,187,0,389,389,0,24,180,32,10,129,0,1,1,4,1,1,2,3,0,1,389
152,"PRATHMIK VIDHAYALAY MASIPATHAN",353,279,0,632,210,177,0,387,376,0,6,78,4,5,270,1,2,1,1,0,1,3,4,3,8,387
153,"PRATHMIK VIDHAYALAY JHAKAHEEN",515,414,0,929,253,181,0,434,408,0,3,130,81,23,168,1,2,0,5,2,1,8,1,4,5,434
154,"PRATHMIK VIDHAYALAY BAHORIKA",346,323,0,669,234,215,0,449,449,0,5,252,47,25,97,2,0,0,5,1,0,1,5,5,4,449
155,"PURV MADHYAMIK  VIDHAYALAY FULAVARI(SOUTH PART)",362,331,0,693,246,217,0,463,463,0,4,191,15,7,231,3,1,0,4,0,1,0,1,1,4,463
156,"PURV MADHYAMIK VIDHAYALAY SARANGA",472,401,0,873,239,167,0,406,406,0,11,169,69,43,101,1,1,2,2,0,1,0,1,2,3,406
157,"PRATHMIK VIDHAYALAY SARANGA (EAST PART)",397,333,0,730,219,182,0,401,400,0,4,128,161,39,43,2,0,0,3,1,2,2,5,4,7,401
158,"PRATHMIK VIDHAYALAY SARANGA (WEST PART)",528,434,0,962,277,221,0,498,482,0,10,208,153,33,76,2,1,0,1,0,0,0,3,4,7,498
159,"PRATHMIK VIDHAYALAY SILAHATA",649,578,0,1227,392,366,0,758,758,0,18,252,54,63,308,7,1,3,8,3,4,2,12,8,15,758
160,"PRATHMIK VIDHAYALAY BANDARDEVA",492,447,0,939,358,286,0,644,644,0,6,268,26,80,226,3,0,0,7,1,1,2,0,5,19,644
161,"PRATHMIK VIDHAYALAY SAHADEEEYA BAIDADH PU. PA.",412,367,0,779,222,189,0,411,397,0,17,317,21,11,37,1,0,0,1,0,0,0,5,1,0,411
162,"PRATHMIK VIDHAYALAY SAHADEEEYA BAIDADH PA. PA.",597,538,0,1135,409,320,0,729,248,0,23,283,22,24,342,1,3,2,4,1,3,5,8,5,3,729
163,"PRATHMIK VIDHAYALAY JUDAVARIYA",646,514,0,1160,458,344,0,802,802,0,10,451,48,24,222,7,1,2,8,1,3,1,11,5,8,802
