"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - UMED SINGH KASHYAP","2 - KRISHNA RAJ","3 - CHETRAM","4 - MITHILESH KUMAR","5 - KISHAN LAL","6 - PYARE ALIAS RAJKUMAR GAUTAM","7 - MEVARAM","8 - RAMMURTI","9 - RAMLAL VERMA","10 - SMT REETA SINGH ALIAS REETA BHARTI","11 - SUNITA SUJATA NAGPAL","12 - RAKESH","13 - ROSHAN LAL ALIAS ROSHAN KANAUJIYA","14 - None of the Above","Total Votes Secured"
15,"PRI. SCHOOL R/NO. 1 BAKTHYARPUR",137,122,0,259,108,93,0,201,201,0,109,58,0,31,0,0,0,0,2,0,0,0,0,1,201
16,"PRI. SCHOOL R/NO. 1 AZIZPUR E.SUNAURA AJMATPUR",342,252,0,594,187,157,0,344,248,0,32,227,8,55,2,1,0,2,0,5,2,2,5,3,344
17,"PRI. SCHOOL R/NO. 1 KAPSEDA",726,590,0,1316,498,369,0,867,867,0,150,452,8,214,3,4,0,0,4,2,3,2,9,16,867
18,"PRI. SCHOOL R/NO. 1 BATHARA",647,567,0,1214,395,307,0,702,702,0,58,495,15,112,3,0,0,0,1,1,2,3,3,9,702
19,"PRI. SCHOOL KALYANPUR CHAMRORA",421,380,0,801,296,231,0,527,527,0,93,324,6,92,0,1,0,0,1,3,0,0,2,5,527
20,"PRI. SCHOOL DAKA UDHRANPUR",320,288,1,609,283,255,0,538,538,0,35,457,4,28,1,0,0,0,0,0,0,0,3,10,538
21,"PRI. SCHOOL HISHMAHA",374,326,0,700,322,214,0,536,536,0,80,394,10,39,1,0,0,2,0,1,1,1,2,5,536
22,"PRI. SCHOOL KHIRIYA UDAIT",382,293,0,675,251,183,0,434,434,0,231,130,5,51,1,1,0,0,4,0,1,2,4,4,434
23,"PRI. SCHOOL GHUSGAWARI",430,357,0,787,301,206,0,507,507,0,298,169,8,8,1,0,0,1,0,0,1,0,12,9,507
24,"PRI. SCHOOL HARNOKHA",424,360,0,784,296,228,0,524,524,0,248,220,7,37,1,1,0,0,1,0,0,1,3,5,524
25,"PRI. SCHOOL  BAMANUA",480,408,0,888,301,233,0,534,534,0,148,325,18,20,0,1,1,1,3,1,0,2,3,11,534
26,"PRI. SCHOOL HASANPUR RASKUPA",466,364,0,830,302,214,0,516,516,0,213,163,11,110,1,1,3,2,2,0,1,2,5,2,516
27,"PRI. SCHOOL MEERPUR MAAFI",415,312,0,727,275,173,0,448,448,0,53,229,11,142,1,1,0,1,0,1,0,0,5,4,448
28,"PRI. SCHOOL KHAMARIA",168,103,0,271,135,67,0,202,202,0,11,128,2,51,2,1,0,0,0,1,0,1,2,3,202
29,"PRI. SCHOOL GHANDHAR",582,514,1,1097,422,322,0,744,744,0,138,474,8,95,0,1,1,0,2,3,1,0,8,13,744
30,"PRI. SCHOOL DHAKIA E0 PARVEZPUR",372,304,0,676,278,211,0,489,489,0,33,184,183,63,0,2,0,1,0,0,2,6,8,7,489
31,"PRI. SCHOOL BHADURPUR  VIUSHUNPATTI",205,173,0,378,165,121,0,286,286,0,11,71,68,121,2,0,0,1,2,2,0,4,3,1,286
32,"PRI. SCHOOL KHANPUR HAKIMPUR",563,451,0,1014,344,257,0,601,601,0,55,481,22,21,2,1,0,1,2,1,2,1,5,7,601
33,"PRI. SCHOOL PARVEZPUR",301,227,0,528,230,161,0,391,391,0,50,291,12,29,2,0,2,0,0,1,0,0,4,0,391
34,"PRI. SCHOOL KOILHAPATTI",226,168,3,397,180,126,0,306,306,0,5,281,4,14,0,0,0,0,0,0,0,0,1,1,306
35,"PRI. SCHOOL RAHMANNAGAR  / RAI KHERA",635,551,0,1186,450,345,0,795,795,0,205,352,14,196,1,1,0,2,0,3,2,0,11,8,795
36,"PRI. SCHOOL NAGALA HAJI",293,252,0,545,221,142,0,363,363,0,70,258,2,15,0,0,0,1,0,12,0,0,1,4,363
37,"PRI. SCHOOL BAMBIAHAAR",184,167,0,351,163,140,0,303,303,0,3,229,1,66,1,0,0,0,0,0,0,0,1,2,303
38,"JR. HIGH  SCHOOL GULAMKHERA",652,603,0,1255,424,374,0,798,798,0,106,536,12,116,1,1,0,0,1,2,3,1,7,12,798
39,"PRI. SCHOOL BHEDPUR",267,249,0,516,232,204,0,436,436,0,10,363,4,52,0,0,0,1,1,0,0,0,0,5,436
40,"PRI. SCHOOL MAUJAMPUR",545,478,0,1023,405,293,0,698,698,0,125,436,10,116,1,0,1,0,0,0,3,1,4,1,698
41,"PRI. SCHOOL MAUJAMPUR",531,474,0,1005,395,312,0,707,707,0,38,552,10,84,1,0,1,0,1,1,3,1,6,9,707
42,"PRI. SCHOOL UMARGANJ AZIZGANJ DEHAT",234,193,0,427,174,137,0,311,311,0,5,236,8,48,0,1,0,0,1,1,2,1,7,1,311
43,"JR. HIGH  SCHOOL SHAHBEGPUR",384,351,0,735,349,180,0,529,529,0,10,314,7,171,2,0,0,0,3,2,4,1,11,4,529
44,"PRI. SCHOOL AKKARA RASOOLPUR",795,659,0,1454,571,438,0,1009,1009,0,78,627,16,231,7,1,2,5,2,4,9,3,11,13,1009
45,"PRI. SCHOOL RUDRA PUR E. KANENG",329,279,0,608,287,213,0,500,500,0,31,401,14,42,1,0,0,0,0,1,0,1,6,3,500
46,"PRI. SCHOOL LALPUR",571,445,0,1016,412,298,0,710,710,0,149,433,8,84,2,3,1,0,0,0,2,2,13,13,710
47,"PRI. SCHOOL DADAURAL",588,490,0,1078,392,291,0,683,683,0,162,417,11,75,0,0,0,1,0,1,1,1,7,7,683
48,"PRI. SCHOOL BAKIA",404,318,0,722,319,239,0,558,558,0,272,158,7,108,1,1,0,2,0,0,0,0,4,5,558
49,"PRI. SCHOOL SAIJANA TA.MUKLAPUR",425,369,0,794,349,261,0,610,610,0,84,352,5,157,0,1,1,1,0,0,1,1,3,4,610
50,"PRI. SCHOOL JAMOUR",570,502,0,1072,381,273,0,654,654,0,155,378,8,89,0,3,1,0,1,1,3,2,5,8,654
51,"PRI. SCHOOL JAMOUR r n0 1",551,417,0,968,385,261,0,646,646,0,170,422,8,29,0,1,1,0,2,1,3,0,8,1,646
52,"PRI. SCHOOL RAMPUR E0 AZIZGANJ",318,208,0,526,241,150,0,391,391,0,6,258,4,108,1,1,0,0,1,1,0,1,3,7,391
53,"PRI. SCHOOL AKHTAYARPUR / EKNORA",833,691,0,1524,503,378,0,881,881,0,396,366,2,69,3,0,1,2,0,9,4,4,14,11,881
54,"PRI. SCHOOL AKHTAYARPUR /  EKNORA",229,197,0,426,149,106,0,255,255,0,79,148,3,17,1,0,1,0,1,2,0,1,0,2,255
55,"PRI. SCHOOL SIMARIA SAHASPUR",724,580,0,1304,482,335,0,817,817,0,132,423,14,205,3,1,3,2,3,3,3,5,5,15,817
56,"PRI. SCHOOL BABAKKARPUR SARABAR",444,397,0,841,278,225,0,503,503,0,74,287,6,118,1,2,1,0,2,1,1,3,4,3,503
57,"PRI. SCHOOL FARUKHPAUR NARAYANPUR",347,258,0,605,224,142,0,366,366,0,80,222,7,44,1,0,0,0,0,2,1,1,3,5,366
58,"PRI. SCHOOL PARWATPUR",336,285,0,621,249,189,0,438,438,0,115,235,4,65,0,2,0,1,1,1,2,1,1,10,438
59,"PRI. SCHOOL DEENGURPUR",555,468,0,1023,425,330,0,755,755,0,109,257,16,341,8,0,0,1,1,0,4,1,9,8,755
60,"PRI. SCHOOL KURIYA DHODHO",344,263,0,607,202,102,0,304,304,0,81,76,128,14,0,0,0,0,0,0,0,0,2,3,304
61,"PRI. SCHOOL MOHANPUR MAMREJPUR",443,370,1,814,371,251,0,622,622,0,55,541,16,5,0,1,0,0,0,0,0,1,3,0,622
62,"PRI. SCHOOL MITEPUR",400,335,0,735,295,227,0,522,522,0,113,349,11,34,1,1,0,0,0,1,1,3,5,3,522
63,"PRI. SCHOOL PATIYARI",377,311,0,688,278,209,0,487,487,0,223,252,1,6,0,0,0,0,0,0,0,0,4,1,487
64,"PRI. SCHOOL ENDEPUR",626,428,0,1054,373,243,0,616,616,0,249,226,5,116,1,0,0,1,3,0,5,3,3,4,616
65,"PRI. SCHOOL RAHMANNAGAR MAPHI",119,120,0,239,92,87,0,179,179,0,80,81,1,16,0,0,0,0,1,0,0,0,0,0,179
66,"PRI. SCHOOL SIKROHI",219,156,0,375,156,119,0,275,275,0,50,197,4,10,0,1,1,0,0,0,0,1,7,4,275
67,"PRI. SCHOOL GOPALPUR THADIURA",485,350,0,835,321,209,0,530,530,0,52,438,5,24,0,0,1,0,1,1,1,2,2,3,530
68,"PRI. SCHOOL HARIYURA",341,268,0,609,232,149,0,381,381,0,18,339,9,10,0,0,0,0,0,1,0,0,1,3,381
69,"PRI. SCHOOL GANESHPUR",125,89,0,214,90,73,0,163,163,0,74,76,0,9,0,0,0,0,0,1,1,0,2,0,163
70,"PRI. SCHOOL TRILOKPUR",532,373,0,905,297,195,0,492,492,0,53,204,4,226,1,0,1,0,0,0,1,0,0,2,492
71,"PRI. SCHOOL KESHOPUR",267,213,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,"PRI. SCHOOL MAHIYABER",500,368,0,868,339,225,0,564,564,0,53,288,9,179,1,1,1,1,4,1,2,2,20,2,564
73,"PRI. SCHOOL CHAHARPUR",400,329,0,729,324,251,0,575,575,0,141,346,11,52,0,2,0,1,1,1,1,1,4,14,575
74,"PRI. SCHOOL BHED SARAI",357,293,0,650,234,173,0,407,407,0,70,243,10,64,1,1,0,0,2,1,1,4,6,4,407
75,"PRI. SCHOOL KARANPUR PARDI",705,575,0,1280,406,319,0,725,725,0,59,486,9,148,2,0,0,2,0,4,1,2,6,6,725
76,"PRI. SCHOOL RAHDEWA",506,442,0,948,345,246,0,591,591,0,104,295,12,149,2,2,0,1,3,0,3,3,5,12,591
77,"PRI. SCHOOL SAIJANA MADHU",241,174,0,415,166,138,0,304,304,0,278,16,1,0,0,1,0,0,5,0,1,0,0,2,304
78,"PRI. SCHOOL DHAURERA",89,72,0,161,60,62,0,122,122,0,106,8,0,8,0,0,0,0,0,0,0,0,0,0,122
79,"PRI. SCHOOL NAWADA RUDRAPUR",600,461,3,1064,419,290,0,709,709,0,136,226,4,327,3,0,0,1,0,1,3,0,5,3,709
80,"PRI. SCHOOL BARI KHASH",636,538,0,1174,464,299,0,763,763,0,80,599,13,43,2,1,1,1,2,1,0,4,8,8,763
81,"PRI. SCHOOL BARI KHASH",369,269,0,638,234,153,0,387,387,0,31,317,5,29,1,0,0,0,0,1,0,0,2,1,387
82,"PRI. SCHOOL BARI KHASH",227,216,0,443,150,127,0,277,277,0,18,236,3,12,0,0,0,1,0,0,3,2,1,1,277
83,"JR.HIGH SCHOOL MADNAPUR",726,621,1,1348,515,355,0,870,870,0,143,540,13,145,2,3,2,1,2,0,7,2,5,5,870
84,"JR.HIGH SCHOOL MADNAPUR",622,524,0,1146,431,261,0,692,692,0,79,310,13,268,5,0,2,1,0,0,5,0,5,4,692
85,"PRI. SCHOOL FIROZPUR DOONDA",344,296,0,640,250,188,0,438,438,0,67,265,7,83,5,1,1,1,0,1,1,2,2,2,438
86,"PRI. SCHOOL CHANDOUKHA",366,298,0,664,229,176,0,405,405,0,203,113,6,69,2,0,0,0,1,0,1,1,5,4,405
87,"PRI. SCHOOL POORANPUR",308,232,0,540,198,134,0,332,332,0,261,45,2,8,1,0,2,1,2,1,0,0,4,5,332
88,"PRI. SCHOOL MIRZABHANPUR",391,298,0,689,264,172,0,436,436,0,125,254,1,42,0,1,1,0,1,1,0,3,4,3,436
89,"PRI. SCHOOL FAZILPUR",464,386,0,850,258,199,0,457,457,0,98,276,12,47,0,2,0,1,0,2,3,4,4,8,457
90,"PRI. SCHOOL DHARMANGAD PUR / FAZILPUR",311,256,0,567,245,170,0,415,415,0,44,208,8,145,1,0,0,1,1,0,2,0,2,3,415
91,"PRI. SCHOOL NARAYANPUR / NAYAGAW",319,243,0,562,171,134,0,305,305,0,200,70,3,30,0,0,0,0,0,0,0,0,1,1,305
92,"PRI. SCHOOL AMROLI",175,142,0,317,152,133,0,285,285,0,132,122,0,24,1,1,0,0,0,0,0,0,4,1,285
93,"PRI. SCHOOL BANDHA",274,203,0,477,205,129,0,334,334,0,80,142,2,105,0,1,0,1,0,0,0,0,2,1,334
94,"SADHAN.S.SAMIT. SIKANDARPUR KALAN",465,344,0,809,272,180,0,452,452,0,21,304,3,109,1,1,1,0,0,2,1,2,6,1,452
95,"SADHAN.S.SAMIT. SIKANDARPUR KALAN",745,515,0,1260,404,222,0,626,626,0,84,446,5,75,2,1,1,0,1,0,1,2,4,4,626
96,"PRI. SCHOOL BHAISTA GUTAIYA",573,427,0,1000,424,223,0,647,637,0,172,232,6,206,0,0,2,1,1,3,3,6,5,10,647
97,"JR.HIGH SCHOOL BARUA PATTI SANAYAK",787,584,0,1371,443,248,0,691,691,0,66,394,21,177,3,4,1,1,2,7,2,5,6,2,691
98,"PRI. SCHOOL DHIPIA MAJ. BARUWA PATT.SANAYAK",317,295,0,612,213,165,0,378,378,0,101,197,3,44,2,3,0,3,2,0,0,4,8,11,378
99,"SEED GODOWN LASHKARPUR",254,190,0,444,155,106,0,261,261,0,21,208,5,22,0,0,0,0,0,0,0,1,4,0,261
100,"PRI. SCHOOL MUZZAFERPUR",451,328,0,779,367,236,0,603,603,0,102,138,2,337,2,1,2,0,1,1,3,2,8,4,603
101,"PRI. SCHOOL JHARHR HARIPUR",532,412,0,944,293,183,0,476,476,0,129,240,39,53,2,0,0,0,0,2,0,0,5,6,476
102,"PRI. SCHOOL DHUKRI KALAN",427,342,0,769,298,205,0,503,503,0,33,345,9,108,2,0,0,0,0,0,1,1,3,1,503
103,"PRI. SCHOOL DHUKRI KHURD",387,299,0,686,243,193,0,436,436,0,63,257,7,103,0,0,0,0,0,0,1,0,2,3,436
104,"PRI. SCHOOL SAIJANA TA0 AAM KHERA",576,392,0,968,335,206,0,541,541,0,210,287,5,33,0,0,0,0,0,0,0,1,3,2,541
105,"PRI. SCHOOL AKBARPUR TIRIA",277,219,0,496,219,161,0,380,380,0,72,201,4,85,0,0,0,0,0,2,0,0,5,11,380
106,"PRI. SCHOOL KUDAIYA",662,532,0,1194,412,275,0,687,687,0,104,449,14,98,0,0,0,0,0,3,1,3,10,5,687
107,"PRI. SCHOOL JHAPAKA DILAWERPUR",498,355,0,853,330,240,0,570,570,0,191,343,3,19,1,0,1,0,1,1,0,1,5,4,570
108,"PRI. SCHOOL BEHTA PATHAK",291,215,0,506,217,144,0,361,361,0,104,194,5,44,1,1,1,0,0,0,1,1,6,3,361
109,"PRI. SCHOOL PRATAPPUR LAXMI",199,160,0,359,147,120,0,267,267,0,30,151,8,69,0,1,1,0,0,0,1,0,2,4,267
110,"PRI. SCHOOL BHITTIYA PAUKI",376,274,0,650,260,194,0,454,454,0,96,202,5,134,1,1,0,0,2,0,3,0,6,4,454
111,"PRI. SCHOOL GUMATA",289,214,0,503,210,145,0,355,355,0,178,138,4,22,2,0,0,0,1,1,0,1,6,2,355
112,"PRI. SCHOOL KUNIA JAMALPUR",520,509,0,1029,368,298,0,666,666,0,233,366,10,30,0,0,1,2,0,0,0,2,11,11,666
113,"PRI. SCHOOL NARAYANPUR PATTI KARMU",394,323,0,717,297,218,0,515,515,0,165,186,5,154,1,0,0,0,0,0,0,0,0,4,515
114,"PRI. SCHOOL SUNDERPUR",266,201,0,467,196,133,0,329,329,0,60,234,6,15,1,0,1,0,5,1,0,0,3,3,329
115,"PRI. SCHOOL SAHJANPUR",235,174,0,409,195,126,0,321,321,0,57,225,1,36,1,0,0,0,1,0,0,0,0,0,321
116,"PRI. SCHOOL JAITIPUR SIMRA",666,491,0,1157,419,263,0,682,682,0,193,381,8,84,2,0,1,1,2,1,2,1,3,3,682
117,"PRI. SCHOOL KHUTARIA",550,395,0,945,417,268,0,685,685,0,29,194,4,442,3,0,0,1,2,2,1,1,3,3,685
118,"PRI. SCHOOL GANGA PATTI / CHADRIYA",409,293,0,702,347,141,0,488,488,0,83,363,4,30,0,1,0,0,1,2,0,0,4,0,488
119,"PRI. SCHOOL MADROLI",299,241,0,540,228,170,0,398,398,0,28,342,1,20,0,0,1,0,0,0,0,0,3,3,398
120,"PRI. SCHOOL SAIDAPUR SANI",286,238,0,524,201,137,0,338,338,0,23,250,7,46,0,0,0,0,4,1,1,0,2,4,338
121,"PRI. SCHOOL PATTI JHUJHAR",324,277,0,601,238,169,0,407,407,0,43,325,7,20,0,0,1,1,1,0,1,1,4,3,407
122,"PRI. SCHOOL  ATIVARA",558,416,0,974,319,216,0,535,535,0,55,257,10,191,3,0,0,0,0,0,5,3,7,4,535
123,"PRI. SCHOOL UDRAPUR",232,146,0,378,156,97,0,253,253,0,20,158,8,61,1,0,0,0,0,0,0,2,2,1,253
124,"PRI. SCHOOL CHANDAURA BHADURPUR",344,316,0,660,196,161,0,357,357,0,130,146,4,69,0,0,1,0,1,0,0,0,2,4,357
125,"PRI. SCHOOL CHANDAURA BHADURPUR",645,453,0,1098,339,233,0,572,572,0,277,202,9,46,1,1,0,0,3,1,1,2,11,18,572
126,"PRI. SCHOOL KHEDA BAHADURPUR",252,202,0,454,114,36,0,150,150,0,96,40,2,8,2,0,0,1,0,0,0,0,1,0,150
127,"PRI. SCHOOL KHAIKHERA",376,299,0,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,"PRI. SCHOOL NAGALA DAMAN",295,231,0,526,185,144,0,329,329,0,196,101,4,19,0,0,0,0,1,2,1,0,2,3,329
129,"PRI. SCHOOL PADARI LAL",162,136,0,298,134,107,0,241,241,0,14,137,5,78,0,0,0,0,0,0,0,1,0,6,241
130,"PRI. SCHOOL MAINI DHURA MAINI",418,314,0,732,265,179,0,444,444,0,138,225,5,58,1,0,2,2,0,0,0,2,5,6,444
131,"PRI. SCHOOL NARAYAN PUR PATHAK",156,117,0,273,125,99,0,224,224,0,211,8,0,2,0,0,0,0,1,0,0,0,0,2,224
132,"PRI. SCHOOL BAMROULI",447,386,0,833,312,276,0,588,588,0,95,289,8,186,0,0,0,0,0,0,3,2,3,2,588
133,"PRI. SCHOOL MUDIA AAS",759,570,0,1329,465,363,0,828,828,0,476,54,1,275,2,0,0,0,0,1,2,3,6,8,828
134,"PRI. SCHOOL HUSAINPUR DAULATPUR",757,559,0,1316,466,270,0,736,736,0,72,508,24,108,0,4,0,0,1,2,0,0,8,9,736
135,"PRI. SCHOOL HASIMPUR KHERA",521,387,0,908,329,195,0,524,524,0,139,275,46,54,3,1,0,0,1,1,0,1,3,0,524
136,"PRI. SCHOOL NAGALA BANWARI",802,607,0,1409,481,341,0,822,822,0,169,320,23,279,2,3,0,1,2,2,12,1,5,3,822
137,"PRI. SCHOOL MOHANPUR",312,217,1,530,197,160,0,357,357,0,146,130,45,33,0,0,0,0,0,0,0,1,1,1,357
138,"PRI. SCHOOL BHADERI",771,564,1,1336,386,273,0,659,659,0,319,189,6,122,0,0,1,0,0,0,4,2,5,11,659
139,"PRI. SCHOOL BHADERI",169,135,0,304,51,27,0,78,78,0,38,5,2,24,1,2,0,2,2,0,0,1,0,1,78
140,"PRI. SCHOOL RAMAPUR WEST TA0 MUNNABARGANJ",123,110,0,233,67,64,0,131,131,0,19,87,1,18,1,0,0,1,0,0,0,0,0,4,131
141,"PRI. SCHOOL RAMAPUR WEST TA0 MUNNABARGANJ",265,214,0,479,188,179,0,367,367,0,327,20,0,10,0,0,0,1,3,1,0,0,0,5,367
142,"PRI. SCHOOL PURENA",724,556,2,1282,500,380,0,880,880,0,309,417,6,101,1,1,0,2,4,0,5,3,12,19,880
143,"PRI. SCHOOL JAMUNIA DAULATPUR",495,405,0,900,327,268,0,595,595,0,320,147,8,102,3,0,1,1,1,1,3,1,3,4,595
144,"PRI. SCHOOL BHAISTA KALAN",542,475,0,1017,381,309,0,690,690,0,336,217,6,98,3,0,1,0,1,9,1,2,5,11,690
145,"PRI. SCHOOL BHAISTA KURD",241,191,0,432,206,148,0,354,354,0,42,82,0,227,0,1,0,0,0,0,1,0,0,1,354
146,"PRI. SCHOOL RASEM",336,252,0,588,247,187,0,434,434,0,13,183,9,216,1,1,2,0,0,0,3,1,2,3,434
147,"PRI. SCHOOL MITHAHA",234,196,0,430,169,122,0,291,291,0,61,199,13,15,0,1,0,0,0,0,0,0,1,1,291
148,"PRI. SCHOOL ARUA KHANPUR",293,213,0,506,117,103,0,220,220,0,41,132,3,39,0,2,0,0,0,0,0,0,2,1,220
149,"PRI. SCHOOL GAUTIA JATAV",149,128,0,277,98,87,0,185,185,0,148,9,0,26,0,0,0,0,0,0,0,0,1,1,185
150,"PRI. SCHOOL GAUTIA MUSALMAN",375,305,0,680,201,153,0,354,354,0,95,2,2,237,4,1,1,0,1,0,9,0,1,1,354
151,"PRI. SCHOOL MUNNABARGANJ / BARENDA",727,653,0,1380,452,305,0,757,757,0,261,218,16,233,3,0,2,3,2,1,3,2,3,10,757
152,"PRI. SCHOOL MUNNABARGANJ / BARENDA",282,221,0,503,142,108,0,250,250,0,115,67,3,53,0,0,0,1,0,1,4,0,4,2,250
153,"PRI. SCHOOL MUNNABARGANJ / BARENDA",486,413,0,899,281,219,0,500,500,0,111,293,8,73,1,1,2,0,1,2,0,0,4,4,500
154,"PRI. SCHOOL KUIYA E. KATAIYA",301,243,0,544,248,179,0,427,427,0,79,119,1,217,1,1,0,0,0,0,0,1,3,5,427
155,"PRI. SCHOOL CHAK KATAIYA E. KUIYA",206,192,0,398,157,134,0,291,291,0,167,98,1,21,0,0,0,0,1,0,0,0,1,2,291
156,"PRI. SCHOOL MALAHPUR",794,603,0,1397,506,316,0,822,822,0,135,475,11,169,5,1,1,1,3,2,2,2,3,12,822
157,"PRI. SCHOOL NAGALA JAJU",286,220,0,506,187,121,0,308,308,0,60,122,1,107,2,1,1,1,0,0,1,2,6,4,308
158,"PRI. SCHOOL PATHARA KHAS",277,201,0,478,216,149,0,365,365,0,191,17,0,154,0,0,0,0,0,0,0,0,0,3,365
159,"PRI. SCHOOL BHITHAULI",314,242,0,556,225,145,0,370,370,0,25,129,7,200,1,1,1,0,0,0,1,1,1,3,370
160,"PRI. SCHOOL KURIA BAHARI",465,325,0,790,307,186,0,493,493,0,91,108,3,268,2,2,1,0,0,0,4,0,5,9,493
161,"PRI. SCHOOL RATANPUR",228,175,0,403,203,140,0,343,343,0,80,187,21,52,0,0,1,0,0,0,0,1,1,0,343
162,"PRI. SCHOOL SARTHAULI",880,676,0,1556,543,395,0,938,938,0,433,283,10,171,1,3,0,2,3,2,2,1,9,18,938
163,"PRI. SCHOOL SARTHAULI",781,614,0,1395,493,334,0,827,827,0,132,513,10,146,0,0,0,0,3,1,0,2,6,14,827
164,"PRI. SCHOOL KAUDHA",520,431,0,951,364,287,0,651,651,0,147,304,12,150,3,2,1,1,1,1,5,2,9,13,651
165,"PRI. SCHOOL HARIPUR",220,147,0,367,161,100,0,261,261,0,44,181,2,32,0,1,0,0,0,0,0,0,0,1,261
166,"PRI. SCHOOL UMARAHA",729,669,0,1398,436,365,0,801,801,0,333,174,9,233,3,0,0,0,1,1,36,0,4,7,801
167,"PRI. SCHOOL BHANPUR",488,433,0,921,286,231,0,517,517,0,238,44,8,217,3,0,0,0,0,1,3,0,1,2,517
168,"PRI. SCHOOL JARAWAN",390,319,0,709,291,233,0,524,524,0,71,133,6,306,0,2,0,0,0,0,1,0,2,3,524
169,"PRI. SCHOOL BALIPUR",349,254,0,603,239,162,0,401,401,0,95,142,3,150,1,0,3,0,0,0,4,1,0,2,401
170,"PRI. SCHOOL JASANPUR HARSINGHPUR",325,273,0,598,215,190,0,405,405,0,105,185,8,84,2,1,0,0,1,1,2,6,5,5,405
171,"PRI. SCHOOL VIKRAMPUR",485,394,0,879,306,212,0,518,518,0,121,332,5,48,0,0,0,3,0,0,0,2,5,2,518
172,"PRI. SCHOOL SIKANDARPUR KHURD",396,309,0,705,321,237,0,558,558,0,515,30,0,1,0,1,0,0,2,4,0,0,2,3,558
173,"PRI. SCHOOL GURTHANA",494,420,0,914,402,236,0,638,638,0,49,240,12,321,1,3,0,2,0,1,1,1,3,4,638
174,"PRI. SCHOOL BABARPUR",379,313,1,693,246,164,0,410,410,0,99,225,2,68,2,1,0,0,0,3,2,0,4,4,410
175,"PRI. SCHOOL AUDAPUR",734,616,0,1350,526,407,0,933,933,0,51,497,188,164,2,3,0,0,2,1,3,4,10,8,933
176,"PRI. SCHOOL HATHIPUR KURRIYA",593,472,0,1065,365,274,0,639,639,0,97,467,30,28,1,2,1,0,0,0,0,3,4,6,639
