"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ABHISHEK MISRA","2 - NAKUL DUBEY","3 - RAJ NATH SINGH","4 - PROF. RITA BAHUGUNA JOSHI","5 - SYED JAVED AHMED JAFRI","6 - TARA PATKAR","7 - NAND KUMAR LODHI RAJPOOT","8 - RABI DUBEY","9 - RAJ KUMAR SINGH","10 - RADHA KRISHNAN","11 - RAMPHAL RAWAT","12 - VIJAY BAHADUR SINGH","13 - SHISHU PAL YADAV","14 - MOHD. SARWAR MALIK","15 - SUNIL SINGH","16 - SUMAN VERMA","17 - SANJEEV MEHROTRA ALIAS PIKKU BHAI","18 - HARI RAM ALIAS HARIBHAI PATEL","19 - SYED ALI HUSAIN","20 - ASOK PANDE","21 - ADARSH SHASTRI","22 - GHANSHYAM SINGH","23 - PADAM CHANDRA GUPTA","24 - MANOJ SINGH","25 - YOGESH CHANDRA BHATT","26 - RAJEEV RANJAN TIWARI ALIAS RAJ BEHARI","27 - VINAY PRAKASH MISHRA","28 - SHAILENDRA SINGH YADAV","29 - SUBHASH CHANDRA LEHRI","30 - None of the Above","Total Votes Secured"
22,"N.C. CHATURVEDI BADHIR VIDHYALAY ROOM NO. 5",554,512,0,1066,350,292,0,642,642,0,36,9,426,138,23,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,642
23,"N.C. CHATURVEDI BADHIR VIDHYALAY ROOM NO. 6",431,434,0,865,381,411,0,792,489,0,15,20,510,26,210,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,792
24,"N.C. CHATURVEDI BADHIR VIDHYALAY ROOM NO. 7",567,518,0,1085,359,331,0,690,667,0,39,137,416,78,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,2,690
25,"PRATHMIK VIDHALAYA PANDEY KA TALAB ROOM NO-1",586,528,0,1114,382,303,0,685,670,0,27,53,398,188,12,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,685
26,"PRATHMIK VIDHALAYA PANDEY KA TALAB ROOM NO-2",652,538,0,1190,365,294,0,659,646,0,15,170,319,136,10,0,1,1,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,659
27,"MADHAV KALYAN MANDAP ROOM NO-1",597,507,0,1104,330,256,0,586,578,0,15,20,388,140,10,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,1,0,0,2,0,0,0,2,0,0,586
28,"MADHAV KALYAN MANDAP ROOM NO-2",566,502,0,1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"MADHAV KALYAN MANDAP ROOM NO-3",651,556,0,1207,330,254,0,584,479,0,30,22,361,127,39,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,584
30,"SIDDHARTH SHIKSHA NIKETAN ROOM NO-1",666,589,0,1255,374,300,0,674,619,0,10,317,105,222,9,0,1,1,0,1,0,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,674
31,"SIDDHARTH SHIKSHA NIKETAN ROOM NO-2",642,599,0,1241,324,269,0,593,524,0,5,193,191,180,6,0,2,1,0,1,1,0,0,2,4,2,1,1,0,2,0,0,0,0,0,0,0,0,0,1,593
32,"SIDDHARTH SHIKSHA NIKETAN ROOM NO-3",566,486,0,1052,224,198,0,422,383,0,18,64,134,194,9,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,422
33,"CHACHA NEHRU MEMORIAL HIGH SCHOOL ROOM NO-1",688,655,1,1344,415,381,0,796,643,0,48,15,382,322,8,0,1,2,1,0,0,1,0,1,1,0,1,1,1,1,0,0,2,1,1,0,0,2,0,4,796
34,"CHACHA NEHRU MEMORIAL HIGH SCHOOL ROOM NO-2",669,595,0,1264,495,366,0,861,794,0,43,12,234,546,16,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,2,0,861
35,"AYAURVEDIC COLLEGE ROOM NO-1",846,652,0,1498,392,264,0,656,621,0,29,36,189,371,19,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,2,0,1,2,0,0,0,0,1,2,656
36,"AYAURVEDIC COLLEGE ROOM NO-2",734,614,0,1348,394,298,0,692,331,0,35,17,287,325,12,0,0,0,1,0,0,0,0,2,0,3,1,0,1,3,0,0,0,2,0,0,0,1,1,1,692
37,"AYAURVEDIC COLLEGE ROOM NO-3",746,639,0,1385,467,327,0,794,787,0,40,4,148,579,8,1,0,1,3,0,1,0,0,1,0,1,2,1,0,0,0,0,0,1,0,0,0,2,1,0,794
38,"SUNNY INTER COLLEGE ROOM NO-1",626,572,0,1198,383,236,0,619,474,0,31,1,10,564,4,0,1,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,619
39,"SUNNY INTER COLLEGE ROOM NO-2",624,474,0,1098,326,150,0,476,425,0,18,4,18,421,8,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,476
40,"SUNNY INTER COLLEGE ROOM NO-3",618,482,0,1100,407,137,0,544,544,0,25,6,14,481,3,0,1,1,0,0,1,0,0,1,0,0,0,2,0,1,0,0,2,2,1,0,1,0,0,2,544
41,"SUNNY INTER COLLEGE ROOM NO-4",728,657,0,1385,369,257,0,626,626,0,47,7,43,493,24,1,0,0,1,1,1,2,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,1,626
42,"SHIA COLLEGE CITY BRANCH ROOM NO-1",661,600,0,1261,380,291,0,671,671,0,22,3,44,517,69,1,1,2,0,1,0,0,1,0,0,2,0,0,0,1,0,2,2,1,1,0,0,0,1,0,671
43,"SHIA COLLEGE CITY BRANCH ROOM NO-2",503,509,0,1012,310,263,0,573,566,0,23,8,170,252,107,0,0,0,0,0,0,2,2,0,0,0,1,0,3,1,2,0,2,0,0,0,0,0,0,0,573
44,"SHIA COLLEGE CITY BRANCH ROOM NO-3",465,408,0,873,273,180,0,453,450,0,32,23,52,184,153,1,0,0,0,0,0,0,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,453
45,"SHIA COLLEGE CITY BRANCH ROOM NO-4",580,562,0,1142,344,291,0,635,615,0,34,9,95,372,116,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,1,0,0,0,2,635
46,"SHIA COLLEGE CITY BRANCH ROOM NO-5",667,559,0,1226,343,289,0,632,630,0,36,10,21,511,38,0,0,0,0,1,0,0,0,2,1,2,0,2,4,1,0,0,0,1,0,1,0,0,0,1,632
47,"SHIA COLLEGE CITY BRANCH ROOM NO-6",534,486,0,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,"SHIA COLLEGE CITY BRANCH ROOM NO-7",591,546,0,1137,369,254,0,623,514,0,19,12,239,270,73,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2,623
49,"ST.JYUDEAS K.G AND PRIMARY SCHOOL ROOM NO-01",666,556,0,1222,398,248,0,646,636,0,40,4,37,527,31,1,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,646
50,"RAJKIYA BALIKA VIDHALAYA INTER COLLEGE ROOM NO-01 1",742,593,0,1335,402,250,0,652,471,0,36,45,313,232,14,1,0,0,0,0,0,0,0,4,0,0,1,0,2,0,0,0,1,1,0,0,0,0,1,1,652
51,"RAJKIYA BALIKA VIDHALAYA INTER COLLEGE ROOM NO-02",460,393,0,853,301,208,0,509,497,0,17,90,224,145,23,1,0,1,1,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509
52,"RAJKIYA BALIKA VIDHALAYA INTER COLLEGE ROOM NO-03",750,576,0,1326,459,323,0,782,782,0,39,32,113,556,8,0,0,1,2,0,1,0,1,2,0,3,1,0,1,5,3,0,4,1,3,1,0,1,1,3,782
53,"RAJKIYA BALIKA VIDHALAYA INTER COLLEGE ROOM NO-04",650,547,0,1197,295,220,0,515,459,0,39,42,161,254,11,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,515
54,"SULTANUL MADARIS ROOM NO-1",664,506,0,1170,423,264,0,687,607,0,47,2,31,577,20,0,0,0,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2,687
55,"SULTANUL MADARIS ROOM NO-2",762,630,0,1392,438,284,0,722,663,0,34,17,31,575,42,0,0,0,0,0,0,0,1,0,2,8,2,0,0,2,1,0,1,1,0,2,0,1,0,2,722
56,"SULTANUL MADARIS ROOM NO-3",648,569,0,1217,325,209,0,534,534,0,47,1,41,432,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1,0,0,0,0,0,1,1,534
57,"GOVERMENT JUBLI COLLEGE ROOM NO-01",473,436,0,909,265,257,0,522,522,0,33,2,66,390,20,0,0,0,0,1,0,0,1,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,3,522
58,"GOVERMENT JUBLI COLLEGE ROOM NO-02",386,359,0,745,188,155,0,343,343,0,18,10,191,103,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,343
59,"GOVERMENT JUBLI COLLEGE ROOM NO-03",723,707,1,1431,408,387,0,795,631,0,68,15,121,555,15,2,0,0,0,0,0,0,0,2,0,2,1,2,1,3,0,0,1,0,1,0,0,0,0,6,795
60,"GOVERMENT JUBLI COLLEGE ROOM NO-04",475,440,0,915,297,223,0,520,470,0,22,9,137,310,31,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,2,520
61,"GOVERMENT JUBLI COLLEGE ROOM NO-05",625,534,0,1159,326,220,0,546,546,0,15,16,96,399,13,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,546
62,"GOVERMENT JUBLI COLLEGE ROOM NO-06",430,370,0,800,227,173,0,400,250,0,11,3,185,189,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,400
63,"GOVERMENT JUBLI COLLEGE ROOM NO-07",550,469,0,1019,351,261,0,612,605,0,25,29,262,251,34,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,3,612
64,"MANSADEEN SHUKLA INTER COLLEGE ROOM NO-01",571,543,0,1114,387,321,0,708,697,0,15,3,578,98,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,708
65,"MANSADEEN SHUKLA INTER COLLEGE ROOM NO-02",589,522,0,1111,302,207,0,509,477,0,20,3,5,455,2,0,0,0,1,0,0,0,2,0,2,1,0,1,1,3,1,2,0,2,0,1,4,0,1,2,509
66,"MANSADEEN SHUKLA INTER COLLEGE ROOM NO-03",586,580,0,1166,388,334,0,722,692,0,33,6,337,306,31,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,2,722
67,"MANSADEEN SHUKLA INTER COLLEGE ROOM NO-04",743,610,0,1353,454,310,0,764,764,0,67,1,180,497,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,7,764
68,"MANSADEEN SHUKLA INTER COLLEGE ROOM NO-05",598,513,0,1111,330,226,0,556,556,0,45,5,350,144,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,556
69,"MANSADEEN SHUKLA INTER COLLEGE ROOM NO-06",634,571,0,1205,355,267,0,622,491,0,42,2,132,410,31,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,622
70,"MANSADEEN SHUKLA INTER COLLEGE ROOM NO-07",702,686,0,1388,395,324,0,719,678,0,19,6,293,376,9,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,2,1,0,0,0,0,1,4,719
71,"PRATHMIK VIDHALAYA BHEEM NAGAR ROOM NO-01",767,681,0,1448,512,404,0,916,916,0,10,2,807,69,14,1,0,0,0,0,0,0,2,0,0,1,2,1,0,0,0,0,2,0,0,0,0,0,0,5,916
72,"PRATHMIK VIDHALAYA BHEEM NAGAR ROOM NO-02",541,505,0,1046,326,286,0,612,470,0,14,148,339,96,7,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,612
73,"PRATHMIK VIDHALAYA BHEEM NAGAR ROOM NO-03",391,312,0,703,215,154,0,369,362,0,15,149,145,47,4,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,1,0,1,369
74,"JAI HANUMAN SHIKSHA NIKETAN JUNIOR HIGH SCHOOL ROOM NO-01",696,654,0,1350,460,368,0,828,446,0,20,18,706,59,11,0,0,0,2,0,0,0,0,1,1,0,0,1,1,2,1,0,1,0,1,0,0,1,0,2,828
75,"JAI HANUMAN SHIKSHA NIKETAN JUNIOR HIGH SCHOOL ROOM NO-02",772,693,0,1465,445,359,0,804,800,0,61,35,374,304,6,0,0,0,0,0,0,0,2,2,2,2,3,1,2,0,2,0,0,1,0,1,1,1,1,3,804
76,"HANUMAN PRASAD RASTOGI INTER COLLEGE ROOM NO-1",560,547,0,1107,296,274,0,570,404,0,24,11,256,263,11,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,570
77,"HANUMAN PRASAD RASTOGI INTER COLLEGE ROOM NO-2",422,388,0,810,229,206,0,435,404,0,8,1,47,366,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,2,435
78,"HANUMAN PRASAD RASTOGI INTER COLLEGE ROOM NO-3",609,545,0,1154,419,270,0,689,489,0,16,5,451,194,12,1,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,1,0,0,0,0,1,0,2,689
79,"LAXMI NARAYAN BAGHWATI VIDHYA MANDIR ROOM NO-01",520,445,0,965,341,335,0,676,407,0,9,2,548,93,13,0,0,0,0,0,1,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,676
80,"LAXMI NARAYAN BAGHWATI VIDHYA MANDIR ROOM NO-02",672,608,0,1280,434,352,0,786,786,0,9,6,611,135,15,2,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,786
81,"LAXMI NARAYAN BAGHWATI VIDHYA MANDIR ROOM NO-03",548,592,0,1140,417,389,0,806,574,0,7,8,755,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,806
82,"LAXMI NARAYAN BAGHWATI VIDHYA MANDIR ROOM NO-04",604,570,0,1174,403,305,0,708,708,0,7,1,401,268,18,1,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,1,1,0,0,1,0,0,0,3,708
83,"COLLEGEOF TEACHER EDUCATION  C.T E ROOM NO-1",656,550,0,1206,349,228,0,577,568,0,29,6,293,209,31,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,3,0,577
84,"COLLEGEOF TEACHER EDUCATION  C.T E ROOM NO-2",783,669,0,1452,428,289,0,717,678,0,18,3,350,326,10,0,0,0,0,0,0,1,0,0,1,0,3,1,0,0,0,0,1,0,1,0,0,1,0,1,717
85,"COLLEGEOF TEACHER EDUCATION  C.T E ROOM NO-3",761,638,0,1399,434,244,0,678,655,0,18,9,379,250,12,0,0,0,1,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,3,678
86,"COLLEGEOF TEACHER EDUCATION  C.T E ROOM NO-4",484,444,0,928,227,177,0,404,404,0,29,7,134,159,68,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,404
87,"COLLEGEOF TEACHER EDUCATION  C.T E ROOM NO-5",631,587,0,1218,373,289,0,662,642,0,27,6,448,141,33,0,1,0,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662
88,"PLAY WAY SCHOOL ROOM NO-01",759,640,0,1399,374,254,0,628,611,0,41,4,63,461,46,0,1,0,0,0,0,1,0,0,0,6,1,1,0,0,0,0,0,1,0,1,0,0,0,1,628
89,"PLAY WAY SCHOOL ROOM NO-02",769,557,0,1326,284,191,0,475,475,0,16,16,51,346,34,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,2,475
90,"PLAY WAY SCHOOL ROOM NO-03",788,683,0,1471,433,328,0,761,238,0,31,38,167,494,17,0,0,0,1,1,0,1,2,1,1,2,0,0,1,1,0,0,0,1,1,0,0,0,1,0,761
91,"PLAY WAY SCHOOL ROOM NO-04",865,706,0,1571,418,284,0,702,690,0,36,7,133,481,20,0,1,0,1,1,1,0,0,0,0,0,4,3,2,2,1,1,1,2,0,1,0,1,1,2,702
92,"PLAY WAY SCHOOL ROOM NO-05",653,558,0,1211,396,243,0,639,639,0,38,14,55,514,7,1,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,1,0,0,0,0,0,3,639
93,"PLAY WAY SCHOOL ROOM NO-06",562,426,0,988,306,225,0,531,531,0,25,17,86,381,6,0,0,0,0,0,0,0,0,2,1,3,1,1,0,1,1,0,0,0,2,1,0,0,1,2,531
94,"RANI RASOOLPUR PUBLIC SCHOOL ROOM NO-01",519,405,0,924,307,214,0,521,518,0,40,81,103,269,10,1,1,0,1,0,0,0,0,3,0,2,2,2,1,0,1,1,0,0,0,0,2,0,1,0,521
95,"RANI RASOOLPUR PUBLIC SCHOOL ROOM NO-02",391,386,0,777,228,199,0,427,424,0,9,4,213,166,25,0,1,0,1,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,2,427
96,"RANI RASOOLPUR PUBLIC SCHOOL ROOM NO-03",486,449,0,935,281,165,0,446,293,0,15,4,62,319,36,0,0,0,0,0,0,0,0,0,0,1,3,0,4,1,0,0,0,1,0,0,0,0,0,0,446
97,"RANI RASOOLPUR PUBLIC SCHOOL ROOM NO-04",626,550,0,1176,343,262,0,605,601,0,23,5,174,319,70,2,0,0,0,0,0,0,1,1,0,4,0,0,1,0,0,1,0,1,0,0,0,0,0,3,605
98,"CHRISTION COLLEGE ROOM NO-01",635,567,0,1202,404,251,0,655,610,0,0,19,10,36,576,7,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,655
99,"CHRISTION COLLEGE ROOM NO-02",660,597,0,1257,430,267,0,697,572,0,26,2,148,505,6,1,0,0,0,0,0,0,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,2,697
100,"CHRISTION COLLEGE ROOM NO-03",593,523,0,1116,354,213,0,567,567,0,24,8,7,512,8,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,567
101,"CHRISTION COLLEGE ROOM NO-04",711,629,0,1340,360,260,0,620,248,0,50,21,122,367,49,0,0,0,0,0,0,0,1,1,0,1,2,0,1,3,0,0,0,1,0,0,0,0,0,1,620
102,"CHRISTION COLLEGE ROOM NO-05",338,334,0,672,134,154,0,288,288,0,48,13,29,196,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,288
103,"CHRISTION COLLEGE ROOM NO-06",307,278,0,585,194,161,0,355,352,0,8,10,130,163,36,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,355
104,"CHRISTION COLLEGE ROOM NO-07",780,644,0,1424,408,255,0,663,632,0,40,34,135,436,4,1,0,0,0,0,0,1,0,0,1,0,4,1,0,4,0,0,0,0,0,0,0,0,0,2,663
105,"LUCKNOW CHRISTION TRANING COLLEGE ROOM NO-01",439,421,0,860,249,194,0,443,439,0,19,37,38,201,138,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0,1,1,0,1,0,0,0,0,0,1,443
106,"LUCKNOW CHRISTION TRANING COLLEGE ROOM NO-02",502,475,0,977,279,224,0,503,483,0,19,14,65,273,128,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503
107,"LUCKNOW CHRISTION TRANING COLLEGE ROOM NO-03",748,671,0,1419,480,207,0,687,207,0,31,16,136,403,88,0,0,0,0,0,0,0,0,0,0,1,1,5,1,2,0,1,0,0,0,0,0,0,0,2,687
108,"LUCKNOW CHRISTION TRANING COLLEGE ROOM NO-04",402,358,0,760,230,191,0,421,409,0,23,18,263,92,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,3,421
109,"LUCKNOW CHRISTION TRANING COLLEGE ROOM NO-05",717,678,0,1395,406,325,0,731,731,0,43,22,442,194,19,0,0,0,0,1,0,0,2,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,731
