"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DIMPLE YADAV","2 - NIRMAL TIWARI","3 - SUBRAT PATHAK","4 - IMRAN BIN ZAFAR","5 - GANGA CHARAN","6 - PUSHPA DEVI","7 - SUBODH KUMAR","8 - SURENDRA NATH","9 - PRADEEP KUMAR","10 - MUHAR SINGH AMVADI","11 - RAKESH KUMAR TIWARI ADVOCATE","12 - SANJAY SHAKYA","13 - None of the Above","Total Votes Secured"
36,"PRATHMIC PATHSALA LALABHAGAT",731,611,0,1342,425,384,0,809,809,0,424,147,220,1,4,0,2,0,0,6,2,1,2,809
37,"PRATHMIC PATHSALA JAGAMMANPUR DHEER",467,382,0,849,314,243,0,557,557,0,279,46,221,1,1,0,1,0,1,4,2,1,0,557
38,"PRATHMIC PATHSALA LALU MAJRA INDALPUR LALU",508,423,0,931,329,264,0,593,465,0,107,8,462,4,1,1,0,1,1,3,1,0,4,593
39,"PRATHMIC PATHSALA LALU MAJRA INDALPUR LALU ATIRIKT KACHH",419,365,0,784,328,254,0,582,582,0,169,14,373,2,1,2,1,0,2,4,7,2,5,582
40,"PRATHMIC PATHSALA ALIPUR RAMAHAR",724,574,0,1298,451,385,0,836,836,0,241,106,454,4,4,0,1,1,1,13,6,2,3,836
41,"PRATHMIC PATHSALA RAMPUR MAJRA BAIRISAL",299,263,0,562,215,198,0,413,413,0,144,19,242,3,0,0,0,0,0,1,2,1,1,413
42,"PRATHMIC PATHSALA SISAHI",738,599,0,1337,427,528,0,955,823,0,499,100,321,7,3,0,0,0,2,7,6,3,7,955
43,"PRATHMIC PATHSALA GAMBHEERA",697,572,0,1269,440,387,0,827,601,0,320,47,419,5,0,0,3,1,0,7,12,0,13,827
44,"PRATHMIC PATHSALA PARSAURA",397,318,0,715,302,206,0,508,2,0,284,98,104,1,1,1,0,0,0,15,2,2,0,508
45,"PURWA MADHYAMIC VIDHYALAYA AJANPUR INDAUTI UTTARI KACHH",429,339,0,768,333,219,0,552,552,0,246,209,88,1,1,0,0,0,0,2,1,0,4,552
46,"PURWA MADHYAMIC VIDHYALAYA AJANPUR INDAUTI DACHHIDI KACHH",495,411,0,906,286,252,0,538,538,0,179,149,199,2,2,0,0,0,1,0,3,2,1,538
47,"PRATHMIC PATHSALA BRAHAMAN GANW MAJRA AJANPUR INDAUTI",432,379,0,811,300,265,0,565,565,0,203,249,96,2,0,0,0,0,2,0,9,3,1,565
48,"PRATHMIC PATHSALA DHAKPURWA",395,333,0,728,226,208,0,434,434,0,178,55,193,1,0,0,0,0,0,1,2,0,4,434
49,"PRATHMIC PATHSALA LALGANW",556,443,0,999,340,292,0,632,35,0,272,68,278,0,1,7,0,0,0,1,2,1,2,632
50,"PRATHMIC PATHSALA SITHAUMATANA",777,645,0,1422,495,386,0,881,74,0,451,148,260,3,0,3,1,1,1,0,3,2,8,881
51,"PRATHMIC PATHSALA KARERAMPUR",277,246,0,523,198,180,0,378,378,0,190,42,137,2,0,0,0,0,1,1,2,0,3,378
52,"PRATHMIC PATHSALA MAUJAMPUR",715,602,0,1317,487,386,0,873,873,0,311,60,475,6,1,1,1,2,3,0,6,2,5,873
53,"PURWA MADHYAMIC VIDHYALAYA PURANPURWA UATTARI KACHH",677,549,0,1226,436,356,0,792,150,0,107,55,591,5,2,3,1,0,0,6,8,0,14,792
54,"PURWA MADHYAMIK VIDHYALAYA PURANPURWA DACHHIDI KACHH",666,547,0,1213,405,338,0,743,743,0,173,145,405,1,0,8,0,1,0,2,2,3,3,743
55,"PRATHMIC PATHSALA SIHUNABHEERA",266,243,0,509,188,177,0,365,223,0,192,126,44,0,0,0,0,0,0,1,1,1,0,365
56,"JAGEWSWAR PRASAD INTER COLLAGE KATHARA",517,454,0,971,397,356,0,753,753,0,319,87,344,1,0,0,0,0,0,0,2,0,0,753
57,"PRATHMIC PATHSALA GAHILU",729,555,0,1284,452,344,0,796,796,0,138,312,337,3,1,1,0,1,0,1,2,0,0,796
58,"PURWA MADHYAMIK VIDHYALAYA RANA ITAHA",608,501,0,1109,400,331,0,731,2,0,139,121,456,0,1,4,0,0,1,1,7,1,0,731
59,"PRATHMIC PATHSALA USRI UTTARI KACHH",753,596,0,1349,464,294,0,758,758,0,285,202,240,4,0,0,2,1,2,3,7,3,9,758
60,"PRATHMIC PATHSALA USRI DACHHIDI KACHH",677,548,0,1225,362,319,0,681,678,0,314,36,316,1,1,0,1,0,0,3,2,3,4,681
61,"PURWA MADHYAMIC VIDHYALAYA BILHA",608,538,0,1146,416,376,0,792,792,0,423,188,169,0,0,1,1,1,1,0,2,2,4,792
62,"PRATHMIC PATHSALA SAJAWARPUR",587,445,0,1032,359,257,0,616,616,0,255,137,201,4,0,0,0,4,0,6,3,4,2,616
63,"PRATHMIC PATHSALA DABHARI MAJRA JOT",295,230,0,525,256,168,0,424,6,0,361,29,30,0,0,0,0,0,1,0,1,0,2,424
64,"PRATHMIC PATHSALA JOT UTTARI KACHH",688,563,0,1251,419,323,0,742,593,0,446,48,230,3,0,1,0,0,0,8,2,2,2,742
65,"PRATHMIC PATHSALA JOT DACHIDI KACHH",425,338,0,763,284,219,0,503,503,0,317,34,146,1,0,0,0,0,1,0,2,0,2,503
66,"PRATHMIC PATHSALA BAIRISAL UTTARI KACHH",717,577,0,1294,459,313,0,772,772,0,204,122,421,0,3,0,0,0,1,8,5,2,6,772
67,"PRATHMIC PATHSALA BAIRISAL DACHHIDI KACHH",701,570,0,1271,390,265,0,655,655,0,195,113,327,2,1,0,0,2,1,3,4,0,7,655
68,"PURWA MADHYAMIC VIDHYALAYA CHITAI CHAUBE URF MATERA",243,201,0,444,210,152,0,362,235,0,299,5,56,0,0,0,0,0,0,0,0,0,2,362
69,"PRATHMIC PATHSALA AMROHIYA",674,567,0,1241,537,374,0,911,205,0,359,138,399,3,1,0,0,0,0,1,6,0,4,911
70,"PRATHMIC PATHSALA MALKHANPUR JAMTHAR",729,630,0,1359,504,366,0,870,870,0,224,358,265,5,0,0,0,0,2,1,5,3,7,870
71,"PRATHMIC PATHSALA BICHAULIYA MAJRA DUNDAMAHUWA",401,335,0,736,297,216,0,513,513,0,206,47,255,2,0,0,0,0,0,0,2,0,1,513
72,"AMAR SAHEED RAJA DARIYAV CHAND INTER COLLAGE RASULABAD ROOM NO.1",696,555,0,1251,402,322,0,724,220,0,220,76,408,3,2,0,0,0,1,3,5,2,4,724
73,"AMAR SAHEED RAJA DARIYAV CHAND INTER COLLAGE RASULABAD ROOM NO.2",966,762,0,1728,596,434,0,1030,318,0,579,130,279,4,1,1,0,1,2,1,10,11,11,1030
74,"AMAR SAHEED RAJA DARIYAV CHAND INTER COLLAGE RASULABAD ROOM NO.3",604,507,1,1112,311,277,0,588,435,0,292,22,258,3,2,0,2,1,1,2,2,1,2,588
75,"AMAR SAHEED RAJA DARIYAV CHAND INTER COLLAGE RASULABAD ATIRIKT KACHH",344,323,0,667,199,149,0,348,6,0,197,26,119,1,0,0,0,0,0,1,0,2,2,348
76,"AMAR SAHEED RAJA DARIYAV CHAND INTER COLLAGE RASULABAD ROOM NO.4",778,672,0,1450,462,383,0,845,45,0,536,173,121,3,1,2,0,0,0,0,2,1,6,845
77,"RAJENDRA PRASAD SARVJANIK INTER COLLAGE RASULABAD ROOM NO.1",963,782,0,1745,538,429,0,967,967,0,421,61,469,2,0,7,0,0,0,3,3,0,1,967
78,"RAJENDRA PRASAD SARVJANIK INTER COLLAGE RASULABAD ROOM NO.2",755,690,0,1445,495,461,0,956,2,0,528,47,364,4,0,0,0,0,0,2,3,4,4,956
79,"RAJENDRA PRASAD SARVJANIK INTER COLLAGE RASULABAD ROOM NO.3",818,701,0,1519,550,441,0,991,991,0,320,63,587,9,0,1,0,0,1,3,3,1,3,991
80,"RAJENDRA PRASAD SARVJANIK INTER COLLAGE RASULABAD ROOM NO.4",783,691,0,1474,502,401,0,903,485,0,383,123,377,5,3,1,0,0,1,1,0,1,8,903
81,"PURWA MADHYAMIC VIDHYALAYA RASULABAD PURVI KACHH",866,702,0,1568,515,407,0,922,920,0,309,244,357,6,1,1,0,1,0,0,2,0,1,922
82,"PURWA MADHYAMIC VIDHYALAYA RASULABAD PACHHMI KACHH",727,606,0,1333,400,348,0,748,513,0,285,125,325,6,1,0,0,0,0,0,1,2,3,748
83,"PRATHMIK PATHSALA DEWGANW CHAKKAR URF NIBHU",833,704,0,1537,558,415,0,973,50,0,188,109,648,4,5,0,0,0,1,12,2,0,4,973
84,"PRATHMIK PATHSALA MEGHJAL",464,384,0,848,331,281,0,612,612,0,188,28,385,2,0,1,0,0,0,1,2,1,4,612
85,"PRATHMIK PATHSALA SENNAY MOHAMMAD NAGAR",385,340,0,725,204,203,0,407,407,0,266,7,129,0,0,0,0,0,1,1,2,0,1,407
86,"PRATHMIK PATHSALA TIPATIYA",570,479,0,1049,365,278,0,643,643,0,393,77,165,0,0,0,0,0,0,2,1,0,5,643
87,"GANDI FAIJEAAM INTER COLLAGE ASALATGANJ PURVI KACHH",546,463,0,1009,382,300,0,682,682,0,106,166,397,0,1,0,0,1,2,2,4,0,3,682
88,"GANDI FAIJEAAM INTER COLLAGE ASALATGANJ ATIRIKT KACHH",488,402,0,890,309,253,0,562,560,0,209,19,316,3,1,0,0,1,1,1,3,2,6,562
89,"GANDHI FAIJEAAM INTER COLLAGE ASALATGANJ PACHHIMI KACHH",547,457,0,1004,358,286,0,644,644,0,146,199,272,3,2,0,1,0,1,4,7,4,5,644
90,"GANDHI FAIJEAAM INTER COLLAGE ASALATGANJ ATIRIKT KACHH",416,351,0,767,273,225,0,498,498,0,295,97,101,0,0,0,0,0,0,0,1,0,4,498
91,"PRATHMIK PATHSALA ASALATGANJ PURWI KACHH",713,583,0,1296,458,356,0,814,814,0,368,71,341,3,0,0,0,1,3,3,11,1,12,814
92,"PRATHMIK PATHSALA ASALATGANJ PACHIMI KACHH",659,528,0,1187,420,304,0,724,10,0,194,216,281,3,2,0,0,2,3,2,3,7,11,724
93,"PRATHMIK PATHSALA BAHADURPUR PURVI KACHH",516,416,0,932,354,269,0,623,12,0,239,194,171,3,1,2,0,1,0,0,3,2,7,623
94,"PRATHMIK PATHSALA BAHADURPUR PACHIMI KACHH",572,467,0,1039,363,273,0,636,636,0,415,36,163,2,1,1,1,1,1,2,5,1,7,636
95,"PRATHMIK PATHSALA KEWLEPUR",218,192,0,410,165,127,0,292,159,0,103,170,12,0,0,0,0,0,0,1,2,2,2,292
96,"PRATHMIK PATHSALA HEEKEPUR",635,505,0,1140,433,323,0,756,756,0,456,30,254,1,0,0,0,1,0,2,3,2,7,756
97,"PRATHMIK PATHSALA DAHELI",525,447,0,972,283,231,0,514,440,0,219,154,117,0,1,0,1,1,3,3,6,3,6,514
98,"PRATHMIK PATHSALA MALKA PURWA UTTARI KACHH",594,457,0,1051,371,319,0,690,690,0,170,331,175,2,2,0,0,0,1,0,6,0,3,690
99,"PRATHMIK PATHSALA MAL KA PURWA UTTARI KACHH",476,369,0,845,253,200,0,453,453,0,87,58,288,1,0,14,1,0,0,1,2,0,1,453
100,"PRATHMIK PATHSALA GOPALPUR MAJRA MALKAPURWA DACHHIDI KACHH",501,422,0,923,342,241,0,583,583,0,74,327,165,1,0,1,0,0,1,1,8,2,3,583
101,"PRATHMIK PATHSALA GOPALPUR MAJRA MALKAPURWA ATIRIKT KACHH",417,333,0,750,315,219,0,534,434,0,327,117,69,1,3,1,1,3,0,0,2,3,7,534
102,"PRATHMIK PATHSALA ITAILI",732,615,0,1347,447,365,0,812,11,0,252,190,345,10,1,0,0,0,1,2,6,1,4,812
103,"PRATHMIK PATHSALA MANAWA RASULABAD",859,714,1,1574,512,408,0,920,35,0,136,682,77,2,0,1,0,3,1,2,5,3,8,920
104,"PRATHMIK PATHSALA MAU",325,277,0,602,193,173,0,366,302,0,132,180,50,0,0,1,0,0,0,1,0,0,2,366
105,"PRATHMIK PATHSALA GOPALPUR GADRIYA",230,221,0,451,181,159,0,340,267,0,214,104,19,0,0,0,0,0,0,0,3,0,0,340
106,"PRATHMIK PATHSALA MAKRAND PUR MAJRA",351,281,0,632,230,196,0,426,300,0,231,81,104,1,0,0,0,0,1,2,3,0,3,426
107,"PRATHMIK PATHSALA JITAI KA PURWA",255,232,0,487,209,166,0,375,375,0,274,14,86,0,0,0,0,0,0,0,0,0,1,375
108,"PRATHAMIK PATHSALA SAHBAJPUR",640,517,0,1157,468,256,0,724,724,0,646,33,37,0,1,0,1,1,1,0,1,0,3,724
109,"PURWA MADHYAMIK VIDHYALAYA BARRA THARRA",807,638,0,1445,520,362,0,882,800,0,697,95,84,0,0,1,0,0,0,0,2,2,1,882
110,"PURWA MADHYAMIK VIDHYALAYA AKUDIYA MAJRA SUNASI UTTARI KACHH",463,358,0,821,211,152,0,363,340,0,136,87,134,1,0,0,1,0,0,0,1,2,1,363
111,"PURWA MADHYAMIK VIDYALAYA AKAUDIYA MAJRA SUNASI DACHIDI KACHH",512,386,0,898,330,230,0,560,211,0,267,94,186,3,3,0,0,0,1,1,4,0,1,560
112,"PURWA MADHYAMIC VIDHYALAYA BHAVANIPUR MAJRA SUNASI",710,569,0,1279,458,330,0,788,788,0,427,116,231,0,0,0,0,1,0,1,3,2,7,788
113,"PRATHAMIK PATHSALA SURAJPUR",271,227,0,498,233,185,0,418,418,0,315,51,44,1,1,0,0,0,0,1,1,0,4,418
114,"PRATHAMIK PATHSALA TISTI UTTARI KACHH",666,546,0,1212,425,334,0,759,54,0,310,139,289,3,1,0,0,0,2,1,4,3,7,759
115,"PRATHAMIK PATHSALA TISTI DACHIDI KACHH",511,452,0,963,303,268,0,571,67,0,250,14,299,1,0,0,0,0,0,1,3,0,3,571
116,"PRATHAMIK PATHSALA KHEDA KURSI DACHIDI KACHH",579,469,0,1048,411,292,0,703,501,0,333,130,225,1,1,2,0,0,1,1,4,2,3,703
117,"PRATHAMIK PATHSALA KHEDA KURSI DACHIDI KACHH",482,388,0,870,310,256,0,566,466,0,388,34,141,0,1,0,0,0,0,0,0,0,2,566
118,"PRATHAMIK PATHSALA MAJHGANWA MAJRA THANHAMIRPUR",557,431,0,988,361,279,0,640,640,0,166,165,296,3,2,0,1,0,0,1,5,0,1,640
119,"PRATHAMIK PATHSALA AURANGPUR GAHDEWA",585,475,0,1060,388,313,0,701,41,0,405,8,274,1,1,2,0,0,1,1,4,2,2,701
120,"PRATHAMIK PATHSALA BHEETI KURSI",510,417,0,927,304,188,0,492,492,0,87,128,262,3,1,1,0,0,0,1,1,2,6,492
121,"PRATHAMIK PATHSALA BHEETAR GANW",844,695,0,1539,457,307,0,764,764,0,343,163,240,3,2,0,0,1,2,2,2,2,4,764
122,"PURW MADHYAMIK VIDHYALAY TORNA",327,274,0,601,152,106,0,258,258,0,186,20,46,0,1,0,1,1,0,0,1,1,1,258
123,"VINAY KUMAR HAYAR SEKENDRY SCHOOL DALIKPUR MAHARAJ PUR UTTARI KACHH",435,342,0,777,203,169,0,372,8,0,152,71,137,2,0,2,3,0,0,0,2,1,2,372
124,"VINAY KUMAR HYAR SECONDRY SCHOOL DALIKPUR MAHARAJPUR DACHIDI KACHH",459,354,0,813,232,170,0,402,402,0,79,62,255,2,0,1,1,0,0,0,2,0,0,402
125,"PRATHAMIK PATHSALA ORIYA",731,590,0,1321,492,329,0,821,821,0,520,62,222,1,2,1,1,1,1,2,3,0,5,821
126,"PRATHAMIK PATHSALA SINGH PUR SHIVLI",558,490,0,1048,409,294,0,703,703,0,309,120,260,3,3,0,2,0,0,1,4,0,1,703
127,"PRATHAMIK PATHSALA NIWADA KURMI",216,204,0,420,202,164,0,366,366,0,313,30,19,1,0,0,0,0,0,0,1,1,1,366
128,"PRATHMIK VIDHYALAY NIWADA DEWRAY",517,418,0,935,312,236,0,548,543,0,165,213,151,1,3,1,3,1,1,1,2,1,5,548
129,"PRATHMIK VIDHYALAY ATIRIKT DEWRAY",400,312,0,712,239,171,0,410,47,0,73,42,277,0,0,1,0,0,1,3,1,4,8,410
130,"PRATHAMIK PATHSALA KAROM UTTARI KACHH",432,374,0,806,267,231,0,498,1,0,113,50,302,4,1,0,1,0,1,4,6,4,12,498
131,"PRATHAMIK PATHSALA ASNI PURWA MAJRA  KAROM",509,418,0,927,384,243,0,627,500,0,306,191,119,2,3,0,0,1,0,0,3,1,1,627
132,"PRATHAMIK PATHSALA MAVAIYA",634,475,0,1109,345,252,0,597,597,0,84,236,260,3,2,1,0,0,1,3,3,1,3,597
133,"PRATHAMIK PATHSALA KAILEI",668,566,0,1234,431,292,0,723,723,0,212,175,320,2,0,1,0,0,0,3,5,2,3,723
134,"PURW MADHYAMIK VIDHYALAYA RAWATPUR",580,466,0,1046,381,270,0,651,300,0,261,92,274,6,0,0,3,1,0,2,4,1,7,651
135,"PURW MADHYMIK VIDHYALAY JAITPUR SHIVLI",698,568,0,1266,427,295,0,722,722,0,120,75,510,5,1,0,1,1,1,2,2,1,3,722
136,"PURW MADHYAMIC VIDHYALAY AURANGABAD",671,540,0,1211,511,335,0,846,846,0,444,105,285,3,2,0,2,0,0,0,3,0,2,846
137,"PRATHAMIK PATHSALA BHEWAN",676,567,0,1243,354,190,0,544,544,0,151,63,311,2,2,1,2,2,2,2,3,1,2,544
138,"PRATHAMIK PATHSALA BHEWAN",579,494,0,1073,334,251,0,585,13,0,125,107,343,4,0,1,0,0,0,0,2,1,2,585
139,"PRATHMIK PATHSALA KADRI",444,391,0,835,312,255,0,567,10,0,186,24,333,4,1,0,0,0,1,2,8,1,7,567
140,"PRATHMIK PATHSALA MARHAMTABAD",544,450,0,994,413,319,0,732,110,0,461,114,145,3,1,0,0,1,0,2,1,0,4,732
141,"PURWA MADHYMIK VIDHYLAY KASHIPUR UTTARI KACHH",723,581,0,1304,425,265,0,690,690,0,98,101,470,2,1,0,1,0,0,2,9,3,3,690
142,"PURWA MADHYAMIC VIDHYALAY KASHIPUR DACHIDI KACHH",730,588,0,1318,379,281,0,660,346,0,130,102,413,0,4,0,0,0,3,2,2,1,3,660
143,"PRATHMIK PATHSALA KASHIPUR",429,351,0,780,252,175,0,427,427,0,46,32,342,1,1,0,0,1,0,2,2,0,0,427
144,"PRATHMIK VIDHYALAY BAHALPUR MAJRA KASHIPUR UTTARI KACHH",851,692,0,1543,400,254,0,654,654,0,103,125,410,3,0,0,0,0,0,3,5,2,3,654
145,"PRATHMIK VIDHYALAY BAHALPUR MAJRA KASHIPUR DACHIDI KACHH",775,639,0,1414,428,226,0,654,654,0,219,128,298,0,0,1,1,0,1,2,2,0,2,654
146,"PURW MADHYAMIK VIDHYALAY BANNAPUR MAJRA WARANPUR KAHINJHARI UTTARI KACHH",636,513,0,1149,399,351,0,750,8,0,293,96,345,2,0,0,0,2,1,0,5,0,6,750
147,"PURW MADHYAMIK VIDHYALAY BANNAPUR MAJRA WARANPUR KAHINJHARI DACHHIDI KACHH",509,386,0,895,384,265,0,649,36,0,253,164,214,3,1,3,0,1,0,1,6,0,3,649
148,"PURW MADHYAMIK VIDHYALAY RAYPUR MAJRA WARANPUR KAHINJHARI",636,540,0,1176,458,360,0,818,11,0,276,30,494,4,3,2,2,1,1,2,1,0,2,818
149,"PRATHMIK PATHSALA RAMGAD",161,140,0,301,135,119,0,254,154,0,78,1,172,1,0,0,0,0,0,0,0,0,2,254
150,"PURWA MADHYAMIC VIDHYALAY BARIYAN NIWADA MAJRA JASWANTPUR",443,382,0,825,316,232,0,548,548,0,355,19,164,0,1,1,0,0,1,0,2,0,5,548
151,"PRATHMIK VIDHYALAY NUNARI BAHADURPUR UTTARI KACHH",604,528,0,1132,340,332,0,672,672,0,185,206,261,1,1,0,0,0,2,2,7,3,4,672
152,"PRATHMIC VIDYALAY NUNARI BAHADURPUR DACHIDI KACHH",498,418,0,916,317,252,0,569,560,0,159,137,249,3,1,1,0,1,0,7,1,4,6,569
153,"PRATHAMIK VIDHYALAY PANCHAMPURWA MAJRA NUNARI BAHADURPUR",147,130,0,277,125,103,0,228,1,0,49,0,178,0,0,1,0,0,0,0,0,0,0,228
154,"PRATHMIK VIDYALAY BADAGANW",484,419,0,903,273,208,0,481,470,0,246,29,200,0,1,0,0,1,0,2,1,1,0,481
155,"PRATHAMIK VIDHYALY KHALAKPUR",561,473,0,1034,331,271,0,602,13,0,420,128,36,1,0,0,0,0,0,3,6,0,8,602
156,"PRATHMIK PATHSALA BAGWANTPUR MAJRA MITRASENPUR KAHINJHARI",632,525,0,1157,419,245,0,664,664,0,131,14,503,3,3,2,0,2,0,0,0,1,5,664
157,"PRATHMIK PATHSALA BAGWANTPUR MAJRA MITRASENPUR KAHINJHARI DACHHIDI KACHH",583,507,0,1090,305,239,0,544,6,0,159,117,255,1,0,1,1,0,0,0,3,2,5,544
158,"PRATHMIK PATHSALA MAKRANDPUR KAHINJHARI UTTARI KACHH",721,582,0,1303,509,386,0,895,187,0,391,119,369,1,0,0,0,0,0,4,4,3,4,895
159,"PRATHMIK PATHSALA MAKRANDPUR KAHINJHARI DACHHIDI KACHH",708,569,0,1277,403,372,0,775,775,0,346,35,387,1,0,0,3,1,0,0,1,0,1,775
160,"KANYA PURW MADHYAMIK VIDHYALAY BHEEKHDEV UTTARI KACHH",555,458,0,1013,341,300,0,641,30,0,275,40,299,5,1,0,0,2,2,1,3,1,12,641
161,"KANYA PURW MADHYAMIK VIDHYALAY BHEEKHDEV ATIRIKT KACHH",393,327,0,720,263,234,0,497,497,0,419,38,37,1,0,0,1,0,1,0,0,0,0,497
