"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KANWAR SINGH TANWAR","2 - FARHAT HASAN","3 - RAKESH TIKAIT","4 - HUMERA AKHTAR","5 - KHAJAN SINGH","6 - BRAJLAL","7 - MAHESH","8 - RAKESH","9 - RAJPAL","10 - SARVESH KUMAR SAINI","11 - SYED KALBE RUSHAID RIZVI","12 - HUSNEIN RAZAA","13 - NARESH KUMAR","14 - NARESH CHAND","15 - SURENDRA SINGH","16 - None of the Above","Total Votes Secured"
71,"PRIMARY SCHOOL",490,459,0,949,435,388,0,823,823,0,724,28,1,63,1,0,1,0,0,1,0,0,1,0,1,2,823
72,"KANYA UCCHTAR MADHYAMIK VIDYALAYA",653,640,0,1293,551,485,0,1036,1036,0,793,10,3,205,2,0,2,1,1,3,1,1,3,1,1,9,1036
73,"RASHTRIYA INTER COLLEGE ROOM 1 DHANAURA",487,415,0,902,309,264,0,573,573,0,218,248,4,90,0,0,0,0,0,0,0,1,0,1,7,4,573
74,"GANDHI INTER COLLEGE ROOM 1",511,442,0,953,334,266,0,600,600,0,278,237,2,71,3,1,0,0,1,0,0,0,0,0,3,4,600
75,"GANDHI INTER COLLEGE",559,508,0,1067,348,297,0,645,645,0,238,285,3,103,0,0,1,1,0,0,1,1,1,0,5,6,645
76,"GANDHI INTER COLLEGE ROOM 3",767,638,0,1405,571,413,0,984,984,0,782,68,5,117,0,0,0,0,0,0,4,0,3,1,2,2,984
77,"GANDHI INTER COLLEGE ROOM 4",592,555,0,1147,434,363,0,797,797,0,564,19,8,191,2,0,0,0,0,0,0,2,2,1,1,7,797
78,"GIRLS JUNIOR HIGH SCHOOL",479,402,0,881,360,282,0,642,642,0,397,13,3,203,2,0,0,2,1,0,2,2,3,2,2,10,642
79,"GIRLS JUNIOR HIGH SCHOOL ROOM 3",411,348,0,759,268,226,0,494,494,0,406,3,1,75,0,0,0,0,0,1,1,0,3,0,0,4,494
80,"JUNIOR HIGH SCHOOL ROOM 2",503,469,0,972,352,293,0,645,645,0,543,10,2,86,1,0,0,0,0,0,2,0,0,0,0,1,645
81,"PRIMARY SCHOOL NO 2, ROOM 1",852,726,0,1578,465,387,0,852,852,0,780,17,5,40,0,0,0,6,0,1,0,0,0,0,0,3,852
82,"PRIMARY SCHOOL NO 2 ROOM 2",724,608,0,1332,354,330,0,684,684,0,619,11,5,41,0,1,0,2,0,0,2,0,0,0,0,3,684
83,"GIRLS PRIMARY SCHOOL NO 3, ROOM 1",552,480,0,1032,397,316,0,713,713,0,672,7,3,24,0,0,0,0,0,1,2,0,0,0,1,3,713
84,"GIRLS PRIMARY SCHOOL NO.1, ROOM 2",487,469,0,956,310,300,0,610,610,0,298,38,7,262,2,0,0,0,0,0,0,1,2,0,0,0,610
85,"GIRLS PRIMARY SCHOOL NO 3, ROOM 3",666,589,0,1255,427,382,0,809,809,0,429,11,3,348,2,2,0,1,0,2,0,0,2,1,3,5,809
86,"PRIMARY SCHOOL NO. -1, ROOM 1",594,481,0,1075,387,290,0,677,677,0,82,57,3,522,3,1,0,4,0,0,2,0,0,2,0,1,677
87,"PRIMARY SCHOOL NO. -1, ROOM 2",667,539,0,1206,406,333,0,739,739,0,188,38,4,497,2,0,1,1,0,1,2,1,2,0,0,2,739
88,"PRIMARY SCHOOL NO. -1, ROOM 3",317,244,0,561,208,181,0,389,389,0,27,20,4,335,0,1,0,0,0,0,0,0,0,0,1,1,389
89,"JUNIOR HIGH SCHOOL ROOM 1",775,629,0,1404,479,405,0,884,884,0,477,31,2,355,5,0,0,3,0,2,0,1,2,3,1,2,884
90,"JUNIOR HIGH SCHOOL ROOM 3",618,510,0,1128,335,366,0,701,701,0,76,25,1,591,1,0,0,4,0,0,0,0,1,1,0,1,701
91,"JUNIOR HIGH SCHOOL ROOM 4",794,660,0,1454,475,372,0,847,847,0,707,11,8,111,2,0,0,0,1,0,1,0,1,2,0,3,847
92,"PRIMARY SCHOOL ROOM 01",429,351,0,780,302,260,0,562,562,0,412,16,31,82,1,0,1,0,0,3,1,1,2,1,2,9,562
93,"JUNIOR HIGH SCHOOL BACHHRAON",522,470,0,992,287,272,0,559,559,0,2,379,6,170,0,0,0,0,0,0,0,1,0,0,1,0,559
94,"JUNIOR HIGH SCHOOL BACHHRAON ROOM 2",680,639,0,1319,403,375,0,778,778,0,131,304,5,315,2,0,0,3,0,0,7,2,2,2,2,3,778
95,"JUNIOR HIGH SCHOOL BACHHRAON ROOM 3",581,518,0,1099,327,304,0,631,631,0,46,274,7,286,0,1,0,3,0,0,1,1,2,3,2,5,631
96,"MUNICIPALITY OFFICE BACHHRON ROOM 1",867,669,0,1536,472,374,0,846,846,0,180,365,9,279,2,0,1,0,2,0,3,0,1,1,1,2,846
97,"INDRAWATI GOVERNMENT GIRLS INTER COLLEGE BACHHRAON",664,617,0,1281,376,411,0,787,787,0,92,342,6,325,2,2,0,2,0,1,2,0,1,3,2,7,787
98,"INDRAWATI GOVERNMENT GIRLS INTER COLLEGE ROOM 2",308,271,0,579,230,216,0,446,446,0,128,235,4,66,0,0,0,0,0,1,0,2,4,2,1,3,446
99,"PRIMARY SCHOOL CHAM COTI ROOM 1",844,753,0,1597,498,432,0,930,930,0,349,229,5,318,5,1,0,1,0,1,2,0,2,2,5,10,930
100,"PRIMARY SCHOOL CHAMAN COTI  ROOM 2",785,660,1,1446,415,360,0,775,775,0,266,300,29,165,0,2,1,1,1,0,2,1,0,0,1,6,775
101,"COOPERATIVE STORE  ASSOCIATION ROOM 0 1",359,346,0,705,171,167,0,338,338,0,19,134,0,179,1,1,0,0,0,0,1,0,2,0,1,0,338
102,"KANYA SCHOOLNO. ROOM 1",564,503,0,1067,289,303,0,592,592,0,57,277,3,246,0,0,0,4,0,0,0,0,2,0,2,1,592
103,"PRIMARY SCHOOL NUMBER-1, ROOM 1",741,706,0,1447,413,420,0,833,833,0,24,475,2,318,1,2,1,2,0,0,0,0,4,1,0,3,833
104,"PRIMARY SCHOOL NUMBER-1 ROOM 2",688,640,0,1328,457,465,0,922,922,0,214,387,10,291,0,0,0,5,0,1,1,2,2,1,4,4,922
105,"PRIMARY SCHOOL NUMBER-1 ROOM 3",639,577,0,1216,465,336,0,801,801,0,266,328,3,190,1,1,1,0,1,0,4,0,0,1,3,2,801
106,"ABBASIYA SCHOOL ROOM 1",616,586,0,1202,330,293,0,623,623,0,27,263,12,309,0,2,1,0,0,1,2,1,2,1,1,1,623
107,"ABBASIYA SCHOOL ROOM 2",399,387,0,786,200,215,0,415,415,0,8,165,2,225,1,0,1,0,0,1,3,1,0,0,6,2,415
108,"ABBASIYA SCHOOL ROOM 3",659,627,1,1287,332,313,0,645,645,0,76,214,4,337,1,1,0,1,1,0,0,1,4,0,0,5,645
109,"COOPERATIVE UNION OFFICE BACHHRAON",545,477,0,1022,287,271,0,558,558,0,67,188,3,277,4,0,4,0,0,2,1,0,6,0,1,5,558
110,"PRIMARY SCHOOL BANDOORKHANA  ROOM 1",273,211,0,484,121,105,0,226,226,0,28,100,2,93,0,0,0,1,0,0,0,0,0,1,1,0,226
111,"PRIMARY SCHOOL BANDOORKHANA  ROOM 2",554,554,0,1108,323,320,0,643,643,0,56,226,5,344,0,0,1,1,1,0,3,2,4,0,0,0,643
