"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJAY RAI","2 - KAILASH CHAURASIYA","3 - NARENDRA MODI","4 - VIJAY PRAKASH JAISAWAL","5 - HIRALAL YADAV","6 - A.K. AGGARWAL","7 - ABHIMANYU SINGH PATEL","8 - ARVIND KEJRIWAL","9 - ARUN","10 - INDIRA TIWARI","11 - USMAN","12 - OM GURU CHARAN DAS ALIAS VIMAL KUMAR SINGH","13 - DEVI PRASAD NAND","14 - NARENDRA NATH DUBEY ADIG","15 - BACHCHELAL","16 - RAJESH BHARTI SURYA","17 - RAM LAKHAN GUPTA","18 - LALLAN","19 - SHIVHARI AGARWAL","20 - SANTOSH KUMAR","21 - HARI LAL","22 - HEMANT KUMAR YADAV","23 - AHMED SOHEL SIDDIQUI","24 - IFTEKHAR KURAISHI","25 - GHANSHYAM","26 - JOHNSON THOMAS","27 - NARENDRA BAHADUR SINGH","28 - PRAKASH PRASAD","29 - PRABHAT KUMAR","30 - PRAMOD KUMAR","31 - BACHCHAN PRASAD YADAV","32 - BASEER KINNAR","33 - MANOJ KUMAR CHAUBEY","34 - MAHENDRA MISHRA","35 - RAVINDRA KUMAR","36 - RAJIV KUMAR MISHRA","37 - RAJENDRA PRASAD GARIB DAS","38 - RAMPYARE SINGH","39 - SHIV KUMAR SHAH","40 - SATISH SHANKAR JAYASWAL","41 - SATYAPRAKASH SRIVASTAVA","42 - SARVESH KUMAR GUPTA","43 - None of the Above","Total Votes Secured"
45,"P.V.SHIVPUR R.NO.4",825,773,0,1598,357,316,0,673,657,16,28,21,286,232,7,1,0,54,0,3,2,2,2,0,2,7,0,1,0,0,0,5,1,0,0,0,1,1,4,2,1,3,1,1,0,0,3,1,1,0,0,0,0,673
46,"P.V.SHIVPUR R.NO.5",708,790,0,1498,275,307,0,582,582,0,22,13,152,301,1,2,0,46,0,0,1,0,2,1,0,3,1,0,2,2,1,2,4,0,2,1,4,4,0,1,2,6,1,0,0,2,0,0,0,0,0,1,2,582
47,"P.V.SHIVPUR R.NO.6",655,623,0,1278,438,307,0,745,708,37,30,13,476,104,1,4,0,74,7,2,0,0,1,2,1,2,2,4,4,1,0,0,1,0,1,0,2,1,2,1,1,2,2,0,1,0,0,1,0,0,0,0,2,745
48,"P.V.SHIVPUR R.NO.7",723,597,0,1320,378,284,0,662,662,0,31,43,497,10,0,1,0,56,6,2,0,0,0,2,0,4,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,662
49,"KASTURABA GANDHI A.B.V.SHIVPUR R.NO.1",691,566,0,1257,382,245,0,627,498,129,30,52,435,16,0,1,2,52,20,0,0,0,0,2,0,1,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,6,1,627
50,"KASTURABA GANDHI A.B.V.SHIVPUR R.NO.2",624,504,0,1128,340,247,0,587,562,25,18,8,334,147,2,2,0,40,7,5,0,0,0,0,0,0,1,2,1,1,1,2,0,0,0,2,3,1,0,0,0,4,1,1,0,2,0,0,0,0,0,2,0,587
51,"KASTURABA GANDHI A.B.V.SHIVPUR R.NO.3",886,751,0,1637,483,340,0,823,739,44,49,21,475,127,2,1,0,98,5,2,0,0,1,0,0,5,0,0,1,2,0,2,3,1,0,4,1,3,0,1,0,4,1,0,0,0,4,1,0,2,1,3,3,823
52,"BHARTIY SHISHU MANDIR SHIVPUR R.NO 1",607,534,0,1141,262,226,0,488,447,41,19,8,292,12,0,1,0,135,0,1,0,0,0,0,0,4,1,0,1,1,1,1,1,4,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,488
53,"BHARTIY SHISHU MANDIR SHIVPUR R.NO2",581,476,0,1057,246,216,0,462,425,37,43,8,238,16,0,0,0,132,1,1,1,1,0,1,1,5,0,1,0,0,0,0,1,0,1,1,0,2,1,0,1,0,0,1,0,1,0,0,0,1,0,1,2,462
54,"BHARTIY SHISHU MANDIR SHIVPUR R.NO3",777,610,0,1387,414,318,0,732,699,33,32,21,520,15,1,1,1,81,7,2,2,3,5,6,1,1,0,2,1,0,0,3,0,0,0,1,0,0,0,2,1,3,1,0,1,4,2,0,0,1,0,6,5,732
55,"BHARTIY SHISHU MANDIR SHIVPUR R.NO4",757,596,0,1353,438,294,0,732,711,21,24,14,504,31,0,2,1,93,4,2,0,1,1,2,3,5,3,3,0,1,1,4,1,0,3,7,3,2,3,4,1,2,2,1,0,0,0,0,0,0,1,1,2,732
56,"BHARTIY SHISHU MANDIR SHIVPUR R.NO5",591,477,0,1068,318,225,0,543,521,2,20,13,434,16,0,0,1,46,2,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,543
57,"BHARTIY SHISHU MANDIR SHIVPUR R.NO6",488,439,0,927,258,241,0,499,455,44,10,7,437,5,2,0,0,33,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,499
58,"BHARTIY SHISHU MANDIR SHIVPUR R.NO7",734,615,0,1349,418,330,0,748,548,198,23,19,588,11,0,1,0,52,7,1,0,0,0,1,1,3,1,1,4,5,0,0,0,1,0,1,4,1,2,2,4,3,1,0,2,2,3,1,0,1,0,1,1,748
59,"TAHSIL BHAWAN RAGISTRAR KARYALAY BHOJUBIR R.NO.1",751,620,0,1371,389,313,0,702,651,51,42,3,612,3,2,2,0,31,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,702
60,"TAHSIL BHAWAN RAGISTRAR KARYALAY BHOJUBIR R.NO.2",695,532,2,1229,405,289,0,694,669,25,26,11,499,9,1,0,0,118,2,1,0,0,3,1,0,3,0,0,0,0,1,1,1,1,0,1,0,1,0,2,0,2,2,1,2,0,1,0,0,2,1,1,0,694
61,"TAHSIL BHAWAN RAGISTRAR KARYALAY BHOJUBIR R.NO.3",774,686,0,1460,493,396,0,889,873,16,64,69,541,8,1,2,1,181,5,1,0,0,0,1,0,2,0,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,1,889
62,"TAHSIL BHAWAN RAGISTRAR KARYALAY BHOJUBIR R.NO.4",819,675,0,1494,508,381,0,889,767,22,59,63,493,8,1,2,3,226,3,0,1,1,3,0,0,2,1,0,5,1,1,1,0,0,2,0,1,0,0,2,0,2,0,1,2,0,0,0,0,1,0,3,1,889
63,"TAHSIL BHAWAN RAGISTRAR KARYALAY BHOJUBIR R.NO.5",814,640,1,1455,507,361,0,868,806,62,24,21,403,17,0,1,1,335,8,3,1,0,0,0,0,3,1,0,2,2,2,1,0,6,2,2,3,0,1,0,1,5,2,1,1,1,1,2,0,2,0,9,4,868
64,"P.P. SIKRAUL SECOND (DITHORI MAHAL)",753,711,0,1464,515,397,0,912,888,24,54,13,420,22,0,0,1,378,2,0,0,2,0,2,0,3,0,0,2,0,0,0,0,2,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,3,3,912
65,"J.P.MEHATA INTER COLLEGE .SIKARAUL R.NO. 1",622,522,0,1144,402,294,0,696,672,24,25,15,532,10,2,6,0,79,4,5,3,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,4,0,1,1,0,1,0,0,0,0,0,0,0,1,696
66,"J.P.MEHATA INTER COLLEGE .SIKARAUL R.NO. 2",598,447,0,1045,340,284,0,624,610,0,22,162,281,13,2,0,1,114,4,2,1,0,1,1,1,2,0,1,0,1,1,2,0,2,0,1,2,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,624
67,"J.P.MEHATA INTER COLLEGE .SIKARAUL R.NO. 3",708,588,1,1297,405,287,0,692,639,0,23,25,511,27,0,1,0,85,3,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,1,0,0,1,0,0,0,3,0,0,0,0,1,4,0,0,0,1,0,692
68,"J.P.MEHATA INTER COLLEGE .SIKARAUL R.NO. 4",609,486,0,1095,353,273,0,626,604,0,25,14,480,28,1,0,0,46,1,3,0,0,1,3,0,3,1,0,2,0,1,1,2,0,0,1,1,2,0,1,0,4,0,0,0,0,0,0,1,0,0,2,2,626
69,"J.P.MEHATA INTER COLLEGE .SIKARAUL R.NO. 5",836,699,0,1535,410,329,0,739,664,0,27,15,552,7,0,0,1,113,6,4,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,739
70,"SANBEEM I.C. KENDRIYA JALROAD SUAR BADAWA SIKRAUL R.NO.1",463,387,0,850,281,225,0,506,478,0,19,0,114,322,3,1,1,28,0,1,0,0,0,1,0,4,0,0,0,2,0,0,0,0,0,0,2,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,2,506
71,"SANBEEM I.C. KENDRIYA JALROAD SUAR BADAWA SIKRAUL R.NO.2",454,350,0,804,246,188,0,434,382,0,18,3,152,200,0,0,1,46,0,0,0,0,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,1,0,0,0,1,0,434
72,"MADARSA KHANAM JAN ARABI SCHOOL ULFAT BIBI KA AHATA ARDALI BAZAR",836,683,0,1519,488,377,0,865,854,0,42,15,330,17,1,2,5,429,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,6,3,865
73,"SHILA SHIKSHA NIKETAN J.H.SCHOOL MAHABIR MANDIR R.NO.1",711,541,0,1252,369,256,0,625,620,0,19,10,513,30,0,0,0,45,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,625
