"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - VIPNESH","2 - RAVI PRAKASH VERMA","3 - RAMGOPAL MISHRA","4 - AJAY KUMAR","6 - ARVIND GIRI","7 - ZAFAR ALI NAQVI","10 - DINESH KUMAR","11 - KRISHNA ADHIKARI","12 - ASHRAF ALI","14 - ASHOK","16 - RAMESHWARI","17 - None of the Above","Total Votes Secured"
17,RASOOLPUR,338,282,0,620,227,167,0,394,386,0,3,39,1,239,83,23,1,0,1,1,0,3,394
18,SANIGAWAN,463,384,0,847,335,246,0,581,574,0,2,56,1,311,192,12,1,0,0,1,1,4,581
19,SANIGAWAN,471,423,0,894,304,220,0,524,524,0,7,91,4,253,84,76,2,1,0,1,2,3,524
20,PRATAPPUR,776,673,0,1449,554,404,0,958,947,0,12,147,2,261,392,115,8,5,1,2,5,8,958
21,RATSIYA,851,733,0,1584,632,409,0,1041,1039,0,13,66,6,617,234,78,3,2,2,1,3,16,1041
22,BHADURA,525,435,0,960,388,300,0,688,684,0,2,191,0,188,208,70,5,0,4,1,6,13,688
23,SANKARPUR,701,634,0,1335,533,403,0,936,863,0,5,220,1,262,404,34,1,1,3,0,3,2,936
24,ATWA,758,601,0,1359,526,390,0,916,909,0,9,115,0,349,345,84,3,0,0,1,4,6,916
25,BAMHNIYARPUR,700,584,0,1284,479,371,0,850,848,0,21,44,2,283,247,234,3,0,5,0,5,6,850
26,KOTWA,749,653,0,1402,500,371,0,871,800,0,5,137,1,378,293,34,0,0,0,20,1,2,871
27,KOTWA,223,178,0,401,164,86,0,250,248,0,1,35,1,72,117,17,0,0,0,7,0,0,250
28,"SISAWAN  KALAN",687,516,0,1203,478,280,0,758,738,0,6,141,1,382,167,47,2,0,5,0,1,6,758
29,BASHI,202,173,0,375,132,98,0,230,214,0,3,52,1,51,96,24,0,1,0,0,0,2,230
30,BASHI,246,238,0,484,164,147,0,311,310,0,1,41,0,162,101,2,1,0,0,0,2,1,311
31,"GHUGULPUR BUJURG",509,432,0,941,406,284,0,690,690,0,12,54,1,291,99,205,3,4,2,1,4,14,690
32,"GHUGULPUR BUJURG",485,440,0,925,381,300,0,681,666,0,13,24,1,269,249,116,0,0,2,2,1,4,681
33,SAKETHU,534,503,0,1037,402,251,0,653,653,0,11,67,4,191,240,126,1,1,2,3,2,5,653
34,SAKETHU,643,574,0,1217,444,301,0,745,734,0,8,158,3,195,332,23,3,3,2,1,5,12,745
35,SEMRAI,779,657,0,1436,542,370,0,912,912,0,9,83,1,453,300,38,4,2,1,0,5,16,912
36,SEMRAI,534,465,0,999,341,235,0,576,572,0,6,80,0,162,313,5,3,0,2,1,0,4,576
37,"AGAUNA M. TUSAURA",761,667,0,1428,566,440,0,1006,1002,0,9,136,1,317,449,51,8,5,5,0,7,18,1006
38,"AGAUNA M. TUSAURA",749,626,0,1375,458,302,0,760,726,0,12,153,2,223,286,67,3,1,2,1,1,9,760
39,"BHALLIA BUJURG",641,508,0,1149,280,200,0,480,450,0,11,26,1,84,121,228,2,1,1,1,0,4,480
40,"BHALLIA BUJURG",392,341,0,733,280,200,0,480,450,0,11,26,1,84,121,228,2,1,1,1,0,4,480
41,"BHALLIA BUJURG",587,447,0,1034,386,207,0,593,584,0,6,135,1,261,152,15,1,0,0,0,7,15,593
42,KETAUSA,514,465,0,979,356,246,0,602,575,0,8,95,2,234,195,36,4,2,1,11,4,10,602
43,"MUDA ARJUN",445,365,0,810,268,200,0,468,466,0,3,91,0,75,199,94,0,0,1,1,1,3,468
44,"MUDA ARJUN",476,410,0,886,325,205,0,530,527,0,6,152,3,212,114,15,0,1,0,20,1,6,530
45,"PARSEHRA BUJURG",810,735,0,1545,656,480,0,1136,1126,0,17,255,5,446,224,165,2,0,1,4,3,14,1136
46,KHAJUHA,456,376,0,832,299,223,0,522,511,0,0,79,1,174,233,29,0,0,0,0,2,4,522
47,KHAJUHA,554,414,0,968,382,226,0,608,608,0,2,152,2,129,259,56,0,1,1,1,2,3,608
48,SIYATHU,440,334,0,774,293,199,0,492,489,0,8,123,2,111,110,126,4,0,2,1,0,5,492
49,SIYATHU,614,516,0,1130,383,232,0,615,474,0,7,45,0,252,295,6,0,0,0,2,3,5,615
50,"KARMULHAPUR M. NAUVVAKHEDA",554,547,0,1101,458,370,0,828,822,0,5,103,1,392,303,12,4,0,0,1,0,7,828
51,SHAHABUDDINPUR,679,584,0,1263,483,337,0,820,820,0,8,166,0,463,115,57,2,1,0,0,0,8,820
52,"DHONGWA M. BAKKHARI",694,574,0,1268,327,275,0,602,597,0,15,85,1,205,240,42,4,1,1,0,3,5,602
53,KHAMHAUL,493,437,0,930,376,310,0,686,681,0,19,82,1,158,24,383,0,0,12,2,2,3,686
54,KHAMHAUL,456,425,0,881,317,274,0,591,581,0,8,32,0,56,155,333,0,1,0,0,4,2,591
55,SAUTHAN,552,491,0,1043,400,300,0,700,700,0,19,92,5,208,140,202,2,0,3,14,4,11,700
56,SAUTHAN,526,440,0,966,365,245,0,610,607,0,5,162,1,224,162,44,2,1,1,2,2,4,610
57,GHUGUNCHI,756,642,0,1398,535,397,0,932,932,0,18,108,2,471,145,171,2,0,7,0,1,7,932
58,KARANPUR,521,468,0,989,392,282,0,674,663,0,5,105,1,200,237,115,0,0,1,2,1,7,674
59,KARANPUR,518,475,0,993,378,301,0,679,679,0,4,99,1,242,307,8,1,0,1,3,5,8,679
60,MURTIHA,693,564,0,1257,467,319,0,786,784,0,7,362,1,259,109,42,0,1,0,0,1,4,786
61,MURTIHA,724,660,0,1384,487,360,0,847,845,0,23,128,2,125,274,278,3,3,1,2,1,7,847
62,UDYANPUR,225,209,0,434,182,153,0,335,334,0,0,69,1,131,126,3,0,0,1,0,1,3,335
63,BELBUDHI,590,488,0,1078,442,355,0,797,797,0,4,91,0,215,457,5,6,1,2,5,1,10,797
64,"MUDA BUJURG",452,374,0,826,362,245,0,607,607,0,2,8,2,195,376,10,1,0,2,1,2,8,607
65,KAIMAHRA,627,537,0,1164,382,318,0,700,700,0,17,32,0,221,125,289,1,2,1,3,3,6,700
66,KAIMAHRA,553,478,0,1031,346,250,0,596,596,0,6,34,0,245,246,59,1,0,0,0,4,1,596
67,KAIMAHRA,835,771,0,1606,499,410,0,909,900,0,32,22,5,396,37,387,4,3,1,3,5,14,909
68,KAIMAHRA,667,571,0,1238,442,276,0,718,711,0,10,19,2,235,400,34,9,2,1,1,2,3,718
69,PHARDHAN,439,397,0,836,307,227,0,534,530,0,9,154,0,199,136,26,0,1,3,0,1,5,534
70,PHARDHAN,454,413,0,867,324,206,0,530,530,0,2,60,1,185,261,13,1,0,0,0,2,5,530
71,BAUTHA,747,695,0,1442,564,490,0,1054,1038,0,15,133,3,472,160,253,1,1,0,6,1,9,1054
72,ODARAHNA,515,399,0,914,338,234,0,572,550,0,3,134,1,111,286,23,2,1,0,2,3,6,572
73,ODARAHNA,458,381,0,839,317,207,0,524,524,0,12,73,4,180,208,33,1,1,4,0,3,5,524
74,RAUSA,445,377,0,822,323,279,0,602,600,0,25,19,3,145,47,342,1,2,7,1,2,8,602
75,RAUSA,530,478,0,1008,405,318,0,723,711,0,8,41,0,371,196,90,1,0,1,2,4,9,723
76,RUKUNDIPUR,619,574,0,1193,435,400,0,835,835,0,9,103,4,259,351,91,1,0,5,0,4,8,835
77,AMANLALA,652,579,0,1231,468,362,0,830,809,0,13,240,2,299,201,54,5,1,3,2,2,8,830
78,MAUDAUDPUR,755,625,0,1380,499,417,0,916,901,0,8,269,2,382,173,72,1,1,0,1,0,7,916
79,DEVARIA,454,402,0,856,380,284,0,664,664,0,9,92,1,164,305,87,1,1,0,3,1,0,664
80,MUDADHAMU,656,560,0,1216,455,359,0,814,738,0,11,185,3,236,268,81,3,8,5,0,6,8,814
81,KODHAIYA,454,374,0,828,319,222,0,541,536,0,8,94,1,263,11,147,1,0,0,2,2,12,541
82,KODHAIYA,698,651,0,1349,443,426,0,869,869,0,7,139,3,271,375,47,1,1,3,2,7,13,869
83,KALADUND,736,681,0,1417,503,389,0,892,892,0,6,353,0,319,61,138,0,1,0,8,1,5,892
84,"PIPRIA ANDU",401,347,0,748,296,220,0,516,513,0,5,67,2,300,88,39,1,1,1,1,1,10,516
85,LAKESAR,446,455,0,901,318,269,0,587,576,0,7,36,12,173,146,195,6,0,1,0,0,11,587
86,LAKESAR,490,381,0,871,333,228,0,561,556,0,10,107,4,190,206,29,1,2,0,0,2,10,561
87,"DHASRAPUR M. MANIKAPUR",570,525,0,1095,446,393,0,839,834,0,8,175,4,210,374,44,2,0,3,2,10,7,839
88,"DHASRAPUR M. MANIKAPUR",430,365,0,795,307,229,0,536,534,0,4,143,1,113,240,24,0,1,0,1,3,6,536
89,"KORAIA JANGAL",528,441,0,969,374,276,0,650,650,0,8,109,3,277,175,71,0,1,0,0,1,5,650
90,"KORAIA JANGAL",349,319,0,668,273,224,0,497,495,0,0,100,0,334,51,4,0,0,0,0,0,8,497
91,"KORAIA JANGAL",317,293,0,610,204,157,0,361,359,0,3,20,0,150,80,102,0,0,2,1,0,3,361
92,BERIHATARNPUR,515,458,0,973,374,295,0,669,669,0,13,54,1,301,127,161,3,1,1,1,2,4,669
93,BERIHATARNPUR,625,500,0,1125,460,320,0,780,754,0,15,86,0,382,136,146,1,1,2,2,3,6,780
94,"SAIDAPUR DEVKALI",560,482,0,1042,398,322,0,720,716,0,5,44,1,135,300,223,2,2,1,1,1,5,720
95,"SAIDAPUR DEVKALI",790,660,0,1450,500,375,0,875,859,0,14,91,0,196,221,337,0,2,1,3,0,10,875
96,PEERPUR,690,563,0,1253,534,380,0,914,897,0,15,78,5,406,298,91,2,2,3,2,3,9,914
97,"SARANY M. SAIDAPUR BHAU",627,539,0,1166,451,307,0,758,753,0,10,144,2,141,280,150,4,1,4,2,4,16,758
98,"SARANY M. SAIDAPUR BHAU",569,486,0,1055,402,312,0,714,712,0,9,127,1,298,129,131,1,1,1,2,2,12,714
99,MANYAURA,566,489,0,1055,403,320,0,723,723,0,7,185,1,291,181,44,1,0,1,2,3,7,723
100,MANYAURA,569,471,0,1040,389,237,0,626,605,0,5,270,3,96,193,46,2,0,3,2,2,4,626
101,GANESHPUR,652,553,0,1205,504,364,0,868,861,0,7,129,5,322,142,240,5,1,4,1,1,11,868
102,AMBUPUR,741,519,0,1260,461,314,0,775,650,0,11,190,2,190,144,226,2,3,4,0,0,3,775
103,"KARANPUR NIBHA",551,501,0,1052,398,320,0,718,706,0,20,43,3,291,164,172,1,0,5,2,3,14,718
104,"KARANPUR NIBHA",618,528,0,1146,437,297,0,734,731,0,20,114,5,282,135,158,4,2,1,2,4,7,734
105,"UDAYPUR KAIMAHRA",530,522,0,1052,411,360,0,771,768,0,6,141,1,292,234,85,1,1,2,1,1,6,771
106,"NARDAWALPURWA M. NARDAWAL",783,716,1,1500,480,448,0,928,927,0,14,129,8,354,148,250,1,3,2,1,7,11,928
107,"DHAURAHRA KHURD",326,259,0,585,216,151,0,367,363,0,4,48,0,242,20,43,1,0,4,2,0,3,367
108,"DHAURAHRA KHURD",845,729,0,1574,552,414,0,966,958,0,9,133,1,268,417,119,1,1,1,3,3,10,966
109,"DHAURAHRA KHURD",544,477,0,1021,349,230,0,579,529,0,2,359,0,136,60,14,2,1,0,0,0,5,579
110,PACHPEDWA,731,552,0,1283,508,450,0,958,955,0,4,138,1,636,146,23,2,1,1,0,1,5,958
111,BARKHERWA,560,447,0,1007,396,281,0,677,666,0,5,44,0,240,304,76,1,1,0,2,2,2,677
112,BARKHERWA,511,436,0,947,357,270,0,627,626,0,11,59,2,388,73,76,1,1,1,1,2,12,627
113,"RAMPUR GOKUL",543,430,0,973,345,278,0,623,619,0,8,203,1,151,112,145,0,0,1,0,0,2,623
114,"RAMPUR GOKUL",409,331,0,740,298,210,0,508,505,0,10,27,0,240,173,47,1,0,0,3,3,4,508
115,"BAHERWA M. CHURHA",745,582,0,1327,556,441,0,997,968,0,11,151,2,387,406,14,2,1,7,0,3,13,997
116,BIJHHAULI,503,452,0,955,356,308,0,664,563,0,2,221,1,92,315,6,2,4,2,4,6,9,664
117,BIJHHAULI,672,571,0,1243,526,423,0,949,947,0,6,212,4,303,377,13,3,1,2,2,6,20,949
118,BEHTA,695,555,0,1250,515,278,0,793,785,0,9,106,2,226,417,23,3,1,1,2,1,2,793
119,"SONARIPUR KHALIULLA",182,151,0,333,142,131,0,273,262,0,2,71,2,103,70,13,2,0,0,2,2,6,273
120,CHAURTHIYA,516,457,0,973,393,336,0,729,729,0,24,144,1,93,29,418,0,0,3,3,2,12,729
121,CHAURTHIYA,534,471,0,1005,426,377,0,803,803,0,16,159,3,294,190,117,1,2,3,0,6,12,803
122,AMIRTAPUR,399,345,0,744,304,224,0,528,513,0,18,20,3,176,77,224,3,0,0,0,2,5,528
123,HINDOLANA,785,747,0,1532,523,469,0,992,992,0,8,66,3,141,731,29,4,2,1,0,5,2,992
124,"RANNAGAR KHURD",694,620,0,1314,538,323,0,861,861,0,15,111,3,247,174,280,2,4,4,8,2,11,861
125,GIRDHARPUR,287,275,0,562,240,233,0,473,323,0,3,37,0,215,203,9,0,0,1,2,0,3,473
126,PAKARIYA,381,316,0,697,304,231,0,535,527,0,6,82,0,213,158,67,2,0,1,1,0,5,535
127,MIRZAPUR,348,314,0,662,255,201,0,456,456,0,10,46,3,263,56,56,3,1,4,5,3,6,456
128,KORARA,608,563,0,1171,472,386,0,858,858,0,14,95,1,205,270,249,2,2,1,3,6,10,858
129,BAMHANPUR,502,450,0,952,390,327,0,717,714,0,12,176,2,243,102,166,1,3,1,1,2,8,717
130,KANCHANPUR,397,362,0,759,286,253,0,539,534,0,4,81,0,106,145,194,1,1,1,2,3,1,539
131,DALELNAGAR,624,598,0,1222,382,335,0,717,715,0,7,172,0,314,137,59,4,2,6,1,3,12,717
132,DALELNAGAR,398,347,0,745,246,216,0,462,460,0,3,68,1,260,106,21,0,0,0,0,0,3,462
133,"MUDIA MISHRA",765,649,0,1414,532,396,0,928,928,0,13,158,4,237,356,142,2,0,2,4,3,7,928
134,"FUTA KUAN",548,452,0,1000,427,338,0,765,750,0,12,65,3,322,232,105,1,2,4,1,1,17,765
135,"NAKHA PIPRI",740,675,0,1415,433,496,0,929,829,0,9,65,1,340,287,210,1,1,1,1,4,9,929
136,PIPRAWAN,501,401,0,902,354,259,0,613,608,0,7,23,2,360,109,104,1,1,2,1,2,1,613
137,PIPRAWAN,653,572,0,1225,441,311,0,752,694,0,6,35,4,100,318,267,3,5,1,1,4,8,752
138,KHANPUR,276,235,0,511,211,157,0,368,347,0,6,99,1,54,142,58,0,1,2,0,2,3,368
139,SALLIYA,427,350,0,777,366,244,0,610,610,0,17,103,6,70,162,247,1,0,0,0,2,2,610
140,"GULRIA KHURD",263,223,0,486,241,196,0,437,437,0,6,24,2,214,61,121,0,1,2,1,1,4,437
141,MOHAMMADPUR,511,459,0,970,448,372,0,820,817,0,20,15,4,299,225,237,3,2,3,1,3,8,820
142,"MOHEDIAPUR M. SEMARI",251,248,0,499,214,187,0,401,398,0,5,49,1,79,178,85,1,1,0,0,1,1,401
143,BILARIYA,366,324,0,690,288,243,0,531,482,0,4,57,3,186,163,97,5,2,2,0,3,9,531
144,PIPRI,275,250,0,525,242,213,0,455,446,0,2,29,1,57,295,59,4,0,0,1,2,5,455
145,PRATAPPUR,489,431,0,920,337,305,0,642,632,0,4,67,4,215,260,84,1,5,0,1,0,1,642
146,"SIKTIHA RAMUWAPUR",703,614,0,1317,529,431,0,960,953,0,17,295,3,323,211,75,6,4,3,13,3,7,960
147,"PADRIA KHURD",474,395,0,869,390,307,0,697,696,0,11,33,2,90,251,296,2,0,3,0,1,8,697
148,"AGGAR KHURD",693,631,0,1324,518,445,0,963,960,0,34,114,2,432,113,247,2,2,2,0,2,13,963
149,"AGGAR KHURD",639,525,0,1164,507,365,0,872,870,0,23,174,5,96,123,418,5,1,2,5,3,17,872
150,"AGGAR BUJURG",883,729,0,1612,739,470,0,1209,1209,0,42,136,3,290,412,303,5,3,3,2,3,7,1209
151,"MUDIA KHURD",430,339,0,769,331,240,0,571,566,0,6,28,1,374,115,24,3,0,3,0,5,12,571
152,AGARA,596,530,0,1126,380,272,0,652,644,0,7,52,1,383,155,43,1,2,1,0,1,6,652
153,AGARA,552,499,0,1051,399,323,0,722,711,0,11,23,4,185,342,129,2,1,4,5,5,11,722
154,SUNDARWAL,800,624,0,1424,549,357,0,906,866,0,21,93,2,62,55,651,2,2,5,3,3,7,906
155,SUNDARWAL,787,640,0,1427,535,394,0,929,903,0,14,67,1,388,282,159,2,0,1,0,0,15,929
156,"PARSEHRI KALAN",529,482,0,1011,345,359,0,704,689,0,8,45,3,329,241,58,0,3,1,1,5,10,704
157,"RAMUWAPUR JANGALI",428,409,0,837,317,307,0,624,620,0,1,20,2,119,407,58,3,1,1,4,1,7,624
158,REHUWA,491,400,0,891,324,276,0,600,577,0,6,52,2,330,118,57,3,14,4,1,2,11,600
159,REHUWA,427,321,0,748,234,202,0,436,432,0,6,8,1,225,163,15,3,3,3,1,2,6,436
160,KOLHAURI,600,493,0,1093,433,381,0,814,814,0,5,70,1,593,113,18,0,1,1,0,2,10,814
161,"PADRIA KALAN",677,601,0,1278,460,400,0,860,839,0,30,37,5,193,32,537,2,1,3,3,1,16,860
162,"PADRIA KALAN",603,552,0,1155,425,299,0,724,703,0,32,44,2,176,44,410,0,0,4,4,1,7,724
163,SIKANDARPUR,538,443,0,981,389,251,0,640,635,0,12,12,1,458,103,30,1,1,2,3,3,14,640
164,GYANPUR,722,656,0,1378,571,439,0,1010,1000,0,4,158,1,553,217,65,5,1,0,1,3,2,1010
165,"MAHEWAGANJ M. SINGARPUR",550,481,0,1031,390,301,0,691,689,0,17,31,8,131,38,440,2,4,6,3,2,9,691
166,"MAHEWAGANJ M. SINGARPUR",434,384,0,818,261,230,0,491,489,0,14,23,3,176,44,217,2,1,2,0,1,8,491
167,"MAHEWAGANJ M. SINGARPUR",467,411,0,878,317,265,0,582,582,0,18,15,1,169,62,301,1,1,9,2,0,3,582
168,"MAHEWAGANJ M. SINGARPUR",413,382,0,795,257,230,0,487,484,0,13,28,2,74,14,351,0,0,2,1,0,2,487
169,BALUDIH,545,510,0,1055,346,334,0,680,680,0,19,17,2,59,62,494,5,5,11,1,2,3,680
170,BALUDIH,740,571,0,1311,450,293,0,743,741,0,24,16,5,114,60,501,1,2,8,1,1,10,743
171,ODARAHNA,694,567,0,1261,436,358,0,794,773,0,24,27,2,486,59,172,4,1,4,3,1,11,794
172,ODARAHNA,849,714,0,1563,521,372,0,893,893,0,26,28,4,169,84,560,1,2,1,6,4,8,893
173,ODARAHNA,908,760,0,1668,608,481,0,1089,1089,0,55,72,5,248,37,626,3,1,7,3,3,29,1089
174,ODARAHNA,795,687,0,1482,480,435,0,915,915,0,20,44,4,124,24,670,4,4,7,4,1,9,915
175,MAHEWA,514,417,0,931,336,247,0,583,571,0,14,35,2,262,169,71,3,1,1,13,3,9,583
176,SISAUNA,540,445,0,985,489,279,0,768,768,0,18,32,2,283,170,243,2,2,1,2,1,12,768
177,SISAUNA,204,177,0,381,161,81,0,242,238,0,6,27,0,126,5,76,0,0,1,0,1,0,242
178,PACHKORWA,278,267,0,545,231,187,0,418,396,0,6,103,0,198,51,53,1,0,1,0,1,4,418
179,SHEETLAPUR,703,615,1,1319,516,380,0,896,851,0,33,51,3,361,286,119,3,2,3,15,4,16,896
180,CHAFANDI,324,291,0,615,234,182,0,416,414,0,7,16,0,178,172,37,2,1,1,1,0,1,416
181,PARSIA,111,98,0,209,93,76,0,169,164,0,2,134,0,22,3,5,0,0,0,3,0,0,169
182,"KHAMBHAR KHEDA",448,408,0,856,305,244,0,549,545,0,16,106,2,224,67,113,1,2,5,1,0,12,549
183,"KHAMBHAR KHEDA",498,412,0,910,319,220,0,539,539,0,8,60,3,301,83,75,0,1,1,0,2,5,539
184,"KHAMBHAR KHEDA",465,364,0,829,318,189,0,507,483,0,7,23,1,247,204,12,0,1,2,0,2,8,507
185,"KHAMBHAR KHEDA",634,507,0,1141,438,203,0,641,630,0,6,59,2,475,67,19,3,1,3,0,1,5,641
186,BIDAURA,206,137,0,343,153,99,0,252,246,0,7,23,0,108,37,72,0,1,0,1,0,3,252
187,ANJANAPUR,256,215,0,471,210,180,0,390,390,0,4,99,0,129,128,18,2,0,1,1,3,5,390
188,GANGABEHAD,471,446,0,917,396,292,0,688,673,0,34,23,5,183,72,343,3,5,5,2,1,12,688
189,GANGABEHAD,488,375,0,863,379,227,0,606,598,0,42,36,5,82,52,369,4,2,6,1,0,7,606
190,"SAKRAN PRATHAM HAJRATPUR",892,766,0,1658,625,531,0,1156,1091,0,37,127,2,207,347,410,2,5,1,2,3,13,1156
191,SAIDAPUR,549,465,0,1014,409,324,0,733,719,0,9,172,2,320,140,68,2,2,1,1,6,10,733
192,"DUDHUWA MIDANIA",893,674,0,1567,563,366,0,929,924,0,17,96,2,414,270,98,3,1,0,5,7,16,929
193,PIPRAMARODA,794,617,0,1411,543,480,0,1023,1015,0,6,42,2,359,584,15,2,6,0,1,3,3,1023
194,SAFIPUR,555,420,0,975,366,290,0,656,637,0,7,45,0,271,283,46,0,0,2,1,0,1,656
195,BALHAWAPUR,396,302,0,698,284,248,0,532,532,0,4,170,0,118,217,5,3,2,2,5,0,6,532
196,BANNI,428,333,0,761,325,235,0,560,506,0,15,24,3,219,201,84,4,0,0,3,3,4,560
197,KHETAUSA,536,452,0,988,421,307,0,728,724,0,18,15,3,227,177,258,2,2,6,3,1,16,728
198,"ANDESH NAGAR",477,366,0,843,316,204,0,520,515,0,4,18,1,285,120,84,1,1,0,2,1,3,520
199,SAIDIPUR,439,363,0,802,307,257,0,564,534,0,4,59,1,242,218,15,8,1,3,1,2,10,564
200,BALIHAN,409,328,0,737,309,198,0,507,419,0,7,109,2,180,96,99,1,2,3,1,1,6,507
201,BALIHAN,629,547,0,1176,459,411,0,870,864,0,8,12,4,242,538,27,3,6,1,4,11,14,870
202,KUSHMAURI,552,459,0,1011,330,313,0,643,640,0,5,13,1,145,436,21,2,4,0,1,5,10,643
203,KUSHMAURI,454,395,0,849,227,251,0,478,473,0,1,24,2,98,307,34,2,1,0,1,3,5,478
204,KUSHMAURI,875,743,0,1618,519,463,0,982,982,0,22,64,5,245,405,195,4,2,6,8,8,18,982
205,DEVARIA,816,720,0,1536,619,439,0,1058,1058,0,20,166,1,212,353,272,9,2,3,4,2,14,1058
206,MAUJMABAD,629,584,0,1213,462,405,0,867,867,0,7,18,2,477,226,118,2,1,1,1,7,7,867
207,MAUJMABAD,436,408,0,844,271,200,0,471,471,0,11,3,0,154,239,58,2,0,0,3,0,1,471
208,BASAIGAPUR,411,381,0,792,243,284,0,527,507,0,12,23,3,177,149,150,1,1,5,3,0,3,527
209,"ATKOHNA SALARPUR",259,258,0,517,187,186,0,373,373,0,3,55,0,208,69,29,0,0,1,4,3,1,373
210,BARAULA,732,641,0,1373,556,418,0,974,954,0,5,133,0,442,369,17,0,2,0,1,1,4,974
211,BARAULA,225,189,0,414,147,127,0,274,263,0,3,41,0,120,73,30,1,0,0,5,0,1,274
212,SISAURA,632,628,0,1260,465,415,0,880,875,0,12,36,5,513,125,166,2,0,0,1,6,14,880
213,SISAURA,509,391,0,900,413,293,0,706,695,0,8,211,3,257,182,11,5,3,1,2,4,19,706
214,SISAURA,435,454,0,889,369,345,0,714,714,0,4,136,3,251,284,24,1,2,1,0,5,3,714
215,MEHNDI,758,594,1,1353,519,351,0,870,858,0,17,78,4,274,186,293,1,1,6,1,2,7,870
216,BADAGAON,518,396,0,914,362,259,0,621,621,0,7,32,2,375,73,109,2,0,4,3,1,13,621
217,BADAGAON,411,349,0,760,310,196,0,506,506,0,5,10,1,163,144,162,2,1,2,1,2,13,506
218,"BASHA BHUD",428,340,0,768,378,253,0,631,631,0,4,86,3,282,180,63,1,0,0,0,3,9,631
219,"BASHA BHUD",450,350,0,800,357,219,0,576,565,0,9,162,1,203,114,71,3,3,5,1,1,3,576
220,SRINAGAR,633,502,1,1136,534,275,0,809,807,0,6,120,3,350,253,42,4,6,0,2,4,19,809
221,SRINAGAR,529,449,0,978,355,257,0,612,607,0,13,63,1,233,99,174,3,1,6,6,3,10,612
222,SRINAGAR,525,472,0,997,304,265,0,569,568,0,19,154,1,76,26,278,1,1,3,0,3,7,569
223,SRINAGAR,503,421,0,924,386,250,0,636,634,0,29,70,2,38,60,413,1,1,7,3,1,11,636
224,SRINAGAR,474,348,0,822,323,172,0,495,495,0,17,156,2,127,75,109,1,0,1,1,2,4,495
225,TENDUA,504,420,0,924,401,316,0,717,708,0,15,53,9,3,386,236,1,1,4,1,0,8,717
226,TENDUA,618,503,0,1121,500,359,0,859,759,0,31,129,15,155,40,443,6,3,4,5,4,24,859
227,TENDUA,338,291,0,629,310,221,0,531,525,0,3,15,0,337,130,45,0,0,0,0,0,1,531
228,TENDUA,515,422,0,937,421,324,0,745,740,0,6,21,2,466,180,53,1,0,1,3,3,9,745
229,RAJAPUR,806,703,2,1511,631,551,0,1182,1178,0,19,305,0,390,188,257,1,1,1,3,1,16,1182
