"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR.MURLI MANOHAR JOSHI","2 - SALEEM AHMAD","3 - SURENDRA MOHAN AGARWAL","4 - SRIPRAKASH JAISWAL","5 - ANIL AWASTHI","6 - ANAND MEHROTRA","7 - DEVENDRA KUMAR SHARMA","8 - MOHD.NASIR KHAN","9 - DR.NIKHIL GUPTA","10 - MAHMOOD HUSAIN RAHMANI","11 - MOHAMMAD ATEEQ","12 - RAMESH KUMAR GUPTA","13 - VINAYAK RAO TOPE","14 - HIMMAT LAL","15 - ASHOK PASWAN ADVOCATE","16 - KISHOR BAJPAI","17 - PREM CHANDRA PANDEY","18 - BETALAL DIWAKAR","19 - MUZAFFAR HUSAIN KHAN","20 - VISHWANATH KATARIA","21 - KUMARI SARASWATI","22 - None of the Above","Total Votes Secured"
11,"KENDRIYA VIDHYALAY  OEF/2 TURNER ROAD CANTT. ROOM NO.11",750,560,0,1310,404,272,0,676,647,0,445,31,48,123,1,2,0,0,2,1,3,2,1,2,1,10,3,0,0,0,0,1,676
12,"KENDRIYA VIDHYALAY  OEF/2 TURNER ROAD CANTT. ROOM NO.12",287,242,0,529,149,104,0,253,253,0,198,7,4,31,1,0,0,0,0,2,1,0,0,1,2,4,2,0,0,0,0,0,253
13,"MAHESH MEHAR PRASAD VIDHYA MANDIR INTER COLLEGE ROOM NO.1 SATTI CHAURA CANTT.",669,549,0,1218,282,218,0,500,478,0,281,27,12,155,2,2,1,0,0,5,2,2,0,2,1,3,3,0,2,0,0,0,500
14,"MAHESH MEHAR PRASAD VIDHYA MANDIR INTER COLLEGE ROOM NO.2 SATTI CHAURA CANTT.",415,355,0,770,191,158,0,349,347,0,236,16,13,76,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,2,349
15,"CANTONEMENT BOARD OFFICE MAIN BUILDING TURNER ROAD CANTT.ROOM NO.1",682,524,0,1206,282,190,0,472,450,0,205,26,8,220,2,1,1,0,0,4,0,1,0,0,0,1,0,0,2,0,0,1,472
16,"CANTONEMENT BOARD OFFICE MAIN BUILDING TURNER ROAD CANTT.ROOM NO.2",679,578,0,1257,381,292,0,673,673,0,257,34,27,313,2,0,0,1,1,23,3,1,1,0,0,3,1,1,0,2,0,3,673
17,"CANTONEMENT BOARD OFFICE MAIN BUILDING TURNER ROAD CANTT.ROOM NO.3",484,373,0,857,204,143,0,347,332,0,258,13,15,56,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,347
18,"CANTONEMENT BOARD OFFICE MAIN BUILDING TURNER ROAD CANTT.ROOM NO.4",792,652,0,1444,364,122,0,486,486,0,271,46,20,138,1,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,486
19,"CANTONEMENT BOARD OFFICE MAIN BUILDING TURNER ROAD CANTT.ROOM NO.5",402,317,0,719,137,115,0,252,243,0,119,25,7,87,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,5,252
20,"CHHAWNI KANYA PR. SCHOOL LALKURTI ROOM NO.1",597,458,0,1055,362,232,0,594,566,0,303,81,31,170,2,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,1,1,594
21,"CHHAWNI KANYA PR. SCHOOL LALKURTI ROOM NO.2",454,342,0,796,272,172,0,444,438,0,297,45,11,67,5,0,1,0,0,1,0,0,2,0,3,3,3,3,0,0,1,2,444
22,"CHHAWNI PARISHAD JU.HIGH SCHOOL LALKURTI ROOM NO.1",801,616,0,1417,381,237,0,618,614,0,346,141,5,97,4,1,0,0,0,3,0,2,3,1,0,7,0,2,0,2,1,3,618
23,"CHHAWNI PARISHAD JUNIOR HIGH SCHOOL LALKURTI ROOM NO.2",701,543,0,1244,325,178,0,503,491,0,356,40,4,85,5,0,0,0,0,0,0,0,0,3,4,3,1,1,0,1,0,0,503
24,"CHHAWNI PARISHAD JR. H. SCHOOL LALKURTI ROOM NO.3",516,429,0,945,256,199,0,455,449,0,198,81,0,158,1,0,1,0,0,10,0,0,1,0,1,1,1,1,0,0,0,1,455
25,"CHHAWNI PARISHAD JR. H. SCHOOL LALKURTI ROOM NO.4",671,542,0,1213,409,283,0,692,669,0,355,74,19,219,2,0,1,1,0,11,0,0,0,0,1,2,1,1,1,1,1,2,692
26,"CHHAWNI KANYA PRIMARY. SCHOOL LALKURTI ROOM NO.3",828,622,0,1450,438,261,0,699,668,0,298,82,14,269,2,1,0,0,1,14,0,0,1,0,3,4,3,0,2,2,0,3,699
27,"CHHAWNI KANYA PRIMARY. SCHOOL LALKURTI ROOM NO.4",650,516,0,1166,412,229,0,641,641,0,354,103,0,151,2,0,0,2,0,8,0,0,0,1,2,3,7,4,1,1,0,2,641
28,"GANGADEEN GAURI SHANJKAR INTER COLLEGE KHAPRA MOHAL ROOM NO.1",727,607,0,1334,356,309,0,665,656,0,392,12,19,208,0,0,1,0,0,23,0,0,2,0,0,3,2,0,0,0,0,3,665
29,"GANGADEEN GAURI SHANJKAR INTER COLLEGE KHAPRA MOHAL ROOM NO.2",449,332,0,781,267,201,0,468,453,0,224,2,19,213,3,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,1,1,468
30,"GANGADEEN GAURI SHANJKAR INTER COLLEGE KHAPRA MOHAL ROOM NO.3",489,387,0,876,238,150,0,388,376,0,181,6,5,180,0,0,0,0,0,8,0,0,1,0,0,1,2,0,2,0,0,2,388
31,"GANGADEEN GAURI SHANJKAR INTER COLLEGE KHAPRA MOHAL ROOM NO.4",493,406,0,899,263,203,0,466,455,0,271,17,6,159,1,0,0,0,0,2,0,1,0,1,1,2,2,0,1,1,0,1,466
32,"GANGADEEN GAURI SHANJKAR INTER COLLEGE KHAPRA MOHAL ROOM NO.5",412,354,0,766,244,192,0,436,428,0,272,14,5,132,1,0,0,0,0,6,0,0,1,0,0,1,2,0,0,2,0,0,436
33,"GANGADEEN GAURI SHANJKAR INTER COLLEGE KHAPRA MOHAL ROOM NO.6",633,456,0,1089,352,236,0,588,582,0,262,13,3,300,0,0,0,0,1,2,0,0,0,0,2,1,1,0,1,0,0,2,588
34,"GANGADEEN GAURI SHANJKAR INTER COLLEGE KHAPRA MOHAL ROOM NO.7",695,502,0,1197,357,211,0,568,557,0,223,9,18,296,1,0,0,1,1,7,0,0,2,1,0,3,2,0,2,2,0,0,568
35,"GANGADEEN GAURI SHANJKAR INTER COLLEGE KHAPRA MOHAL ROOM NO.8",532,511,0,1043,245,238,0,483,465,0,406,7,6,47,0,0,0,0,0,15,0,1,0,0,0,0,1,0,0,0,0,0,483
36,"GANGADEEN GAURI SHANJKAR INTER COLLEGE KHAPRA MOHAL ROOM NO.9",686,647,0,1333,421,389,0,810,800,0,697,24,2,74,2,0,0,1,2,0,0,0,0,1,0,4,1,0,1,1,0,0,810
37,"GANGADEEN GAURI SHANJKAR INTER COLLEGE KHAPRA MOHAL ROOM NO.10",808,628,0,1436,393,270,0,663,654,0,295,17,19,296,3,2,0,0,1,13,0,0,3,1,1,3,4,0,1,1,0,3,663
38,"BILL BONG HIGH INTERNATIONAL SCHOOL KHAPRA MOHAL ROOM NO.1",460,355,0,815,303,191,0,494,485,0,25,7,20,429,0,0,0,0,0,8,0,0,0,0,0,1,0,0,3,0,1,0,494
39,"BILL BONG HIGH INTERNATIONAL SCHOOL KHAPRA MOHAL ROOM NO.2",483,347,0,830,262,183,0,445,434,0,3,0,7,418,3,0,0,0,0,2,1,0,0,0,0,2,1,1,0,2,3,2,445
40,"BILL BONG HIGH INTERNATIONAL SCHOOL KHAPRA MOHAL ROOM NO.3",811,631,0,1442,548,316,0,864,850,0,31,11,47,761,3,0,0,0,0,6,0,0,0,0,1,1,0,0,1,1,0,1,864
41,"BILL BONG HIGH INTERNATIONAL SCHOOL KHAPRA MOHAL ROOM NO.4",882,712,0,1594,497,335,0,832,792,0,325,8,36,445,3,0,1,0,0,4,0,1,1,1,2,2,0,1,1,0,1,0,832
42,"BILL BONG HIGH INTERNATIONAL SCHOOL KHAPRA MOHAL ROOM NO.5",428,336,0,764,274,180,0,454,439,0,126,6,40,271,1,0,0,0,0,5,1,0,1,1,1,0,1,0,0,0,0,0,454
43,"CANTONEMENT BOARD PR. SCHOOL MUIR ROAD KHAPRA MOHAL ROOM NO.1",936,678,0,1614,444,294,0,738,723,0,341,43,50,285,1,1,1,0,0,4,0,0,1,0,0,7,0,0,0,1,0,3,738
44,"CANTONEMENT BOARD PR. SCHOOL MUIR ROAD KHAPRA MOHAL ROOM NO.2",110,93,0,203,65,48,0,113,104,0,33,21,3,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,113
45,"CANTONEMENT BOARD PR. SCHOOL MUIR ROAD KHAPRA MOHAL ROOM NO.3",611,540,0,1151,345,282,0,627,625,0,474,19,31,79,0,0,0,0,0,13,0,0,0,0,1,3,3,0,1,0,0,3,627
46,"CANTONEMENT BOARD PR. SCHOOL MUIR ROAD KHAPRA MOHAL ROOM NO.4",781,632,0,1413,510,346,0,856,839,0,244,11,11,562,6,0,0,0,0,7,1,1,1,0,0,1,2,0,1,5,0,3,856
47,"CANTONEMENT BOARD PR. SCHOOL MUIR ROAD KHAPRA MOHAL ROOM NO.5",720,593,0,1313,476,273,0,749,749,0,174,25,11,517,5,2,0,0,0,10,0,0,0,0,0,1,0,1,1,0,1,1,749
48,"DOSAR VAISHYA INTER COLLEGE SHANTI NAGAR KHANPRA MOHAL ROOM NO.1",859,702,0,1561,388,232,0,620,620,0,51,23,8,514,5,1,1,0,0,3,1,1,3,1,1,0,0,2,2,1,1,1,620
49,"CANTONEMENT BOARD PR. SCHOOL MUIR ROAD KHAPRA MOHAL ROOM NO.6",552,444,0,996,264,160,0,424,418,0,76,13,7,314,3,0,0,0,0,4,1,0,0,0,3,2,0,0,0,0,1,0,424
50,"CANTONEMENT BOARD PR. SCHOOL MUIR ROAD KHAPRA MOHAL ROOM NO.7",385,299,0,684,161,126,0,287,266,0,79,10,6,177,0,0,0,0,0,3,1,1,0,1,2,5,0,0,0,1,0,1,287
51,"DOSAR VAISHYA INTER COLLEGE SHANTI NAGAR KHANPRA MOHAL ROOM NO.2",642,569,0,1211,245,165,0,410,403,0,19,45,13,301,2,0,2,0,0,3,1,2,1,1,2,6,1,1,5,3,1,1,410
52,"DOSAR VAISHYA INTER COLLEGE SHANTI NAGAR KHANPRA MOHAL ROOM NO.3",300,243,0,543,145,90,0,235,232,0,46,14,6,160,1,0,0,0,0,2,0,0,0,1,1,2,0,0,0,1,0,1,235
53,"GANESH JR. H. SCHOOL FETHFULGANJ ROOM NO.1",709,574,0,1283,484,370,0,854,815,0,505,8,48,262,3,0,0,0,1,7,1,1,0,1,0,2,6,1,3,1,1,3,854
54,"GANESH JR. H. SCHOOL FETHFULGANJ ROOM NO.2",649,534,0,1183,389,312,0,701,688,0,213,6,71,389,3,2,0,0,0,6,0,0,1,0,0,3,2,0,1,1,3,0,701
55,"GANESH JR. H. SCHOOL FETHFULGANJ ROOM NO.3",719,585,0,1304,445,340,0,785,765,0,272,3,30,451,4,0,0,0,0,12,1,0,0,0,0,0,4,0,4,1,0,3,785
56,"CANTONEMENT BOARD PR. SCHOOL FAITHFULGANJ ROOM NO.1",718,567,0,1285,362,264,0,626,624,0,19,3,15,572,2,0,0,0,0,8,0,1,1,0,0,3,0,0,0,2,0,0,626
57,"CANTONEMENT BOARD PR. SCHOOL FAITHFULGANJ ROOM NO.2",677,479,0,1156,359,229,0,588,587,0,14,8,26,526,2,1,0,0,1,7,0,1,0,0,0,1,0,0,0,1,0,0,588
58,"CANTONEMENT BOARD PR. SCHOOL FAITHFULGANJ ROOM NO.3",488,398,0,886,247,170,0,417,306,0,104,11,22,274,0,0,0,0,1,3,0,0,0,0,0,1,0,0,1,0,0,0,417
59,"CANTONEMENT BOARD PR. SCHOOL FAITHFULGANJ ROOM NO.4",526,399,0,925,249,173,0,422,418,0,25,6,20,350,3,1,0,0,0,9,0,0,0,0,0,0,0,0,5,1,0,2,422
60,"CANTONEMENT BOARD PR. SCHOOL FAITHFULGANJ ROOM NO.5",831,689,0,1520,446,294,0,740,720,0,125,11,58,517,2,1,0,1,0,16,1,0,0,0,0,1,2,0,1,3,0,1,740
61,"CANTONEMENT BOARD PR. SCHOOL FAITHFULGANJ ROOM NO.6",702,503,0,1205,377,260,0,637,629,0,73,32,24,491,0,1,0,0,1,3,1,2,0,2,1,3,0,0,2,0,1,0,637
62,"CANTONEMENT BOARD PR. SCHOOL FAITHFULGANJ ROOM NO.7",660,523,0,1183,349,228,0,577,410,0,263,87,13,194,2,1,0,0,0,9,0,0,0,1,1,4,0,0,0,0,1,1,577
63,"CHHAWNI PARISHAD BALIKA JR. H. SCHOOL NEAR PANI KI TANKI MEERPUR ROOM N0.1",863,695,0,1558,465,357,0,822,803,0,309,41,13,434,4,0,0,0,0,8,0,0,0,0,0,10,1,0,1,1,0,0,822
64,"CHHAWNI PARISHAD BALIKA JR. H. SCHOOL NEAR PANI KI TANKI MEERPUR ROOM N0.2",350,256,0,606,179,139,0,318,293,0,212,36,1,64,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,318
65,"CHHAWNI PARISHAD BALIKA JR. H. SCHOOL NEAR PANI KI TANKI MEERPUR ROOM N0.3",459,418,0,877,307,273,0,580,567,0,469,11,2,79,2,0,1,0,0,6,0,0,0,0,1,3,1,0,1,1,0,3,580
66,"CHHAWNI PARISHAD BALIKA JR. H. SCHOOL NEAR PANI KI TANKI MEERPUR ROOM N0.4",542,443,0,985,372,287,0,659,656,0,522,13,1,105,0,1,0,0,0,8,0,1,0,0,1,1,1,1,0,1,0,3,659
67,"CHHAWNI PARISHAD BALIKA JR. H. SCHOOL NEAR PANI KI TANKI MEERPUR ROOM N0.5",794,595,0,1389,293,195,0,488,488,0,174,27,17,258,1,0,0,2,0,1,0,0,0,0,0,4,2,0,0,0,0,2,488
68,"CHHAWNI PARISHAD BALIKA JR. H. SCHOOL NEAR PANI KI TANKI MEERPUR ROOM N0.6",837,674,0,1511,384,261,0,645,645,0,256,59,14,302,1,0,0,0,0,2,1,1,1,1,1,5,1,0,0,0,0,0,645
69,"CHHAWNI PARISHAD BALIKA JR. H. SCHOOL NEAR PANI KI TANKI MEERPUR ROOM N0.7",703,542,1,1246,365,270,0,635,630,0,355,45,8,178,4,0,1,0,0,9,0,0,1,3,0,13,8,1,2,3,1,3,635
70,"CHHAWNI PARISHAD BALIKA JR. H. SCHOOL NEAR PANI KI TANKI MEERPUR ROOM N0.8",784,590,0,1374,435,326,0,761,719,0,459,32,14,208,3,3,0,1,0,17,2,2,0,1,0,6,6,3,0,3,0,1,761
71,"CANTONEMENT BOARD PR. SCHOOL HARRISGANJ ROOM NO.1",634,516,0,1150,332,229,0,561,520,0,303,19,12,214,2,0,0,0,0,6,0,0,1,0,0,0,1,0,1,0,0,2,561
72,"CANTONEMENT BOARD PR. SCHOOL HARRISGANJ ROOM NO.2",351,241,0,592,169,112,0,281,266,0,168,7,5,90,2,0,0,1,0,4,0,0,0,0,1,1,0,0,0,0,1,1,281
73,"CANTONEMENT BOARD PR. SCHOOL HARRISGANJ ROOM NO.3",639,461,0,1100,354,238,0,592,583,0,359,9,12,187,0,0,0,0,1,15,0,0,2,0,3,1,2,0,0,0,0,1,592
74,"CANTONEMENT BOARD PR. SCHOOL HARRISGANJ ROOM NO.4",755,635,0,1390,452,334,0,786,736,0,529,20,9,207,3,0,0,0,0,7,0,0,0,0,0,0,4,1,1,2,2,1,786
75,"CANTONEMENT BOARD PR. SCHOOL HARRISGANJ ROOM NO.5",811,635,0,1446,512,361,0,873,864,0,439,3,4,408,0,0,0,1,0,6,0,1,1,1,0,0,2,0,1,5,0,1,873
76,"CANTONEMENT BOARD PR. SCHOOL HARRISGANJ ROOM NO.6",697,509,0,1206,379,258,0,637,628,0,355,9,3,243,0,0,0,0,1,12,0,0,0,1,0,1,4,0,4,2,1,1,637
77,"CANTONEMENT BOARD PR. SCHOOL HARRISGANJ ROOM NO.8",866,618,0,1484,462,313,0,775,775,0,343,27,2,361,3,0,0,0,1,12,1,0,0,0,1,8,3,0,9,1,1,2,775
78,"INDRA NIKETAN VIDHYALAY JR. H. SCHOOL RAILBAZAR ROOM NO.1",554,416,0,970,243,155,0,398,285,0,190,29,10,157,0,0,0,0,0,3,0,0,1,1,1,3,1,0,0,1,1,0,398
79,"INDRA NIKETAN VIDHYALAY JR. H. SCHOOL RAILBAZAR ROOM NO.2",938,672,0,1610,423,285,0,708,613,0,366,53,11,232,1,0,0,0,0,15,0,0,2,3,3,4,7,2,3,1,0,5,708
80,"PURWA MADYAMIK VIDHYALAYA BABU PURWA ROOM NO.1",321,246,0,567,138,95,0,233,232,0,65,2,9,156,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,233
81,"PURWA MADYAMIK VIDHYALAYA BABU PURWA ROOM NO.2",382,334,1,717,234,147,0,381,319,0,169,40,13,147,1,0,0,0,0,8,0,0,0,0,0,1,1,0,0,0,1,0,381
82,"CHHAWNI PARISHAD PATHSHALA KAKORI GANGAGANJ ROOM NO.1",851,665,0,1516,549,379,0,928,8,0,508,248,20,118,1,1,3,0,0,9,2,1,3,2,3,5,0,2,0,0,0,2,928
83,"CHHAWNI PARISHAD PATHSHALA KAKORI GANGAGANJ ROOM NO.2",495,382,0,877,222,166,0,388,19,0,227,63,7,79,0,0,1,1,1,1,1,0,0,1,1,1,2,0,2,0,0,0,388
84,"NAGARJI VIDHYALAY KRISHNA NAGAR ROOM NO.1",456,408,0,864,336,284,0,620,60,0,564,2,3,43,0,0,0,0,0,3,0,0,0,0,1,1,1,0,0,0,0,2,620
85,"NAGARJI VIDHYALAY KRISHNA NAGAR ROOM NO.2",371,327,0,698,245,221,0,466,462,0,403,7,4,41,1,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,466
86,"NAGARJI VIDHYALAY KRISHNA NAGAR ROOM NO.3",549,496,0,1045,428,309,0,737,690,0,632,13,1,68,0,0,1,0,0,15,0,0,1,0,1,2,1,0,0,0,0,2,737
87,"NAGARJI VIDHYALAY KRISHNA NAGAR ROOM NO.4",602,562,0,1164,349,350,0,699,669,0,557,24,6,74,2,0,0,2,0,20,0,0,0,0,0,2,1,2,1,1,0,7,699
88,"JAGRATI VIDHYAPEETH OM PURWA ROOM NO.1",592,486,0,1078,337,228,0,565,511,0,361,55,12,120,0,0,0,0,0,9,0,0,0,0,0,2,1,1,0,3,0,1,565
89,"JAGRATI VIDHYAPEETH OM PURWA ROOM NO.2",676,581,0,1257,335,285,0,620,564,0,304,96,11,168,4,0,0,1,0,8,0,0,0,0,1,2,7,6,3,2,1,6,620
90,"JAGRATI VIDHYAPEETH OM PURWA ROOM NO.3",608,469,0,1077,293,228,0,521,508,0,278,55,9,142,2,0,0,0,1,6,0,1,0,1,2,2,7,3,4,1,1,6,521
91,"JAGRATI VIDHYAPEETH OM PURWA ROOM NO.4",436,333,0,769,233,176,0,409,209,0,124,62,11,196,0,0,0,0,0,5,0,1,0,1,2,3,2,0,2,0,0,0,409
92,"JAGRATI VIDHYAPEETH OM PURWA ROOM NO.5",586,452,0,1038,323,192,0,515,500,0,164,130,5,184,2,2,0,0,0,5,0,0,1,0,3,1,4,7,3,1,0,3,515
93,"SARASWATI VIDHYALAY CHANDRA NAGAR",256,195,0,451,116,102,0,218,180,0,92,24,10,88,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,218
94,"SARASWATI VIDHYALAY CHANDRA NAGAR",921,815,0,1736,554,431,0,985,964,0,561,82,23,287,1,0,0,0,0,9,1,0,1,1,4,4,5,0,1,0,1,4,985
95,"SARASWATI VIDHYALAY CHANDRA NAGAR",803,697,0,1500,427,297,0,724,706,0,521,13,10,153,2,0,0,0,0,17,1,0,0,0,0,2,4,0,0,0,0,1,724
96,"SARASWATI VIDHYALAY CHANDRA NAGAR",263,252,0,515,152,117,0,269,253,0,191,10,3,57,0,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,1,1,269
97,"NEW ASHA GIRLS INTER COLLEGE NEAR JAGAEEPURWA CHAURAHA, CHANDRANAGAR ROOM NO.1",679,570,0,1249,377,281,0,658,572,0,538,18,14,77,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,1,658
98,"NEW ASHA GIRLS INTER COLLEGE NEAR JAGAEEPURWA CHAURAHA, CHANDRANAGAR ROOM NO.2",207,163,0,370,133,89,0,222,192,0,130,6,19,61,0,0,1,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,222
99,"SARASWATI VIDHYALAY CHANDRA NAGAR",822,698,0,1520,503,369,0,872,850,0,608,27,18,191,3,0,0,0,0,14,0,0,3,0,1,2,1,0,0,2,1,1,872
100,"SARASWATI VIDHYALAY CHANDRA NAGAR ROOM NO.6",235,188,0,423,123,98,0,221,221,0,153,6,2,58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,221
101,"NEW ASHA GIRLS INTER COLLEGE NEAR JAGAEEPURWA CHAURAHA, CHANDRANAGAR ROOM NO.3",583,519,0,1102,350,294,0,644,635,0,496,40,8,87,0,1,0,0,1,6,0,0,1,0,2,0,0,0,1,1,0,0,644
102,"NEW ASHA GIRLS INTER COLLEGE NEAR JAGAEEPURWA CHAURAHA, JAGAEEPURWA ROOM NO.4",817,680,0,1497,472,379,0,851,841,0,622,35,23,145,0,0,1,0,1,16,1,0,0,1,0,1,3,0,0,0,1,1,851
103,"SHIV PRASAD GUPT H.S. BALIKA VIDHYALAY OM PURWA ROOM NO.1",670,519,0,1189,368,282,0,650,609,0,456,34,16,129,1,0,1,1,0,3,0,0,0,1,0,0,5,1,0,2,0,0,650
104,"SHIV PRASAD GUPT H.S. BALIKA VIDHYALAY OM PURWA ROOM NO.2",424,385,0,809,234,187,0,421,417,0,275,44,7,82,0,0,0,0,0,5,0,0,0,0,1,5,1,0,1,0,0,0,421
105,"SHIV PRASAD GUPT H.S. BALIKA VIDHYALAY OM PURWA ROOM NO.3",806,683,0,1489,501,370,0,871,821,0,499,135,9,191,4,2,0,0,0,5,1,0,3,2,6,8,4,0,0,1,0,1,871
106,"SARASWATI SHISHU SHIKSHA MANDIR OM PURWA ROOM NO.1",440,347,0,787,210,153,0,363,359,0,163,50,7,131,1,0,0,0,0,4,0,0,0,0,0,1,3,1,0,0,0,2,363
107,"SARASWATI SHISHU SHIKSHA MANDIR OM PURWA ROOM NO.2",512,387,0,899,217,162,0,379,363,0,219,48,6,97,0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,0,0,2,379
108,"SARASWATI SHISHU SHIKSHA MANDIR OM PURWA ROOM NO.3",482,386,0,868,235,168,0,403,392,0,226,62,4,105,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,403
109,"SARASWATI SHISHU SHIKSHA MANDIR OM PURWA ROOM NO.4",748,623,0,1371,477,383,0,860,849,0,513,140,14,173,2,0,0,0,1,9,0,0,0,1,0,3,0,0,1,0,1,2,860
110,"SAMUDAIK KENDRA POKHARPUR ROOM NO.1",738,544,0,1282,472,321,0,793,789,0,289,46,27,411,3,0,0,0,1,12,0,0,0,0,0,1,1,0,2,0,0,0,793
111,"SAMUDAIK KENDRA POKHARPUR ROOM NO.2",343,245,0,588,216,136,0,352,351,0,69,14,3,250,2,0,0,0,0,8,0,0,1,0,0,0,0,1,0,2,1,1,352
112,"SAMUDAIK KENDRA POKHARPUR ROOM NO.3",743,573,0,1316,389,280,0,669,659,0,22,31,10,592,5,1,0,0,1,3,0,0,1,0,0,1,0,0,1,1,0,0,669
113,"ARSI PUBLIC EDUCATION CENTRE MOTI NAGAR ROOM NO.1",782,575,0,1357,410,266,0,676,676,0,388,62,9,185,2,1,1,1,1,6,1,0,1,1,5,3,4,1,1,2,0,1,676
114,"ARSI PUBLIC EDUCATION CENTRE MOTI NAGAR ROOM NO.2",394,309,0,703,206,156,0,362,356,0,130,24,2,196,1,0,0,0,1,3,1,0,0,0,0,2,0,1,0,1,0,0,362
115,"ARSI PUBLIC EDUCATION CENTRE MOTI NAGAR ROOM NO.3",482,396,0,878,242,204,0,446,446,0,244,52,6,128,1,0,0,0,0,3,2,1,1,1,2,3,1,0,0,1,0,0,446
