"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAMLA PRASAD RAWAT","2 - P. L. PUNIA","3 - PRIYANKA SINGH RAWAT","4 - RAJRANI RAWAT","5 - KISHAN LAL","6 - P. C. KUREEL","7 - DINESH CHANDRA GAUTAM","8 - NITIN SINGH","9 - BABU LAL","10 - MEDI LAL","11 - RAJESH KUMAR VIDYARTHI","12 - ABHILAKH RAWAT","13 - KHANJAN LAL","14 - MAHESH","15 - None of the Above","Total Votes Secured"
67,"W.I.C. DEWA ROOM NO. 3",781,648,0,1429,390,246,0,636,268,0,20,542,46,18,0,1,0,1,0,0,0,0,3,0,5,636
68,"W.I.C. DEWA ROOM NO. 4",595,514,0,1109,330,216,0,546,246,0,7,491,21,17,2,0,1,1,0,0,0,0,1,1,4,546
69,"W.I.C. DEWA ROOM NO. 5",739,572,0,1311,460,272,0,732,300,0,30,404,247,24,3,2,1,1,2,2,0,2,9,2,3,732
70,"W.I.C. DEWA ROOM NO. 6",258,298,0,556,186,130,0,316,75,0,28,78,197,3,1,1,0,1,1,0,0,0,3,1,2,316
71,"P. S. MAMAPUR DEWA DEHAT ROOM NO. 1",549,543,0,1092,379,337,0,716,423,0,57,308,255,69,2,0,1,1,4,1,0,1,6,3,8,716
72,"P. S. KUSUMBHA ROOM NO. 1",485,448,0,933,393,316,0,709,460,0,227,115,304,46,2,0,0,1,0,2,0,2,5,2,3,709
73,"KANYA P. S. DEWA ROOM NO. 1",668,519,1,1188,405,235,0,640,158,0,68,172,364,21,1,1,3,0,1,0,0,1,6,1,1,640
74,"P. S. USRI MAJRE FATEHPUR KHATIBAHAR ROOM NO. 1",311,246,0,557,256,190,0,446,401,0,30,100,277,15,1,5,0,0,4,3,1,2,2,3,3,446
75,"P.S. GANGWARA ROOM NO. 1",492,432,0,924,407,239,0,646,230,0,85,149,235,158,1,1,2,1,2,0,2,1,3,2,4,646
76,"P.S. BHITAULI KHURD ROOM NO. 1",341,285,0,626,264,150,0,414,157,0,7,27,236,122,1,3,0,0,1,2,1,2,7,1,4,414
77,"P.S. TASPUR ROOM NO. 1",392,337,0,729,294,217,0,511,52,0,154,57,172,94,4,0,1,0,2,3,0,2,7,2,13,511
78,"J.H.S. TIPHAR ROOM NO. 1",691,544,0,1235,520,310,0,830,221,0,95,106,181,413,5,3,2,1,2,3,1,2,2,4,10,830
79,"P.S. TIPHAR ROOM NO.1",197,155,0,352,168,117,0,285,170,0,6,35,65,168,4,0,1,0,0,0,0,2,3,1,0,285
80,"P.S. UMARI ROOM NO. 1",292,285,0,577,244,212,0,456,7,0,29,25,206,171,5,2,1,2,3,1,1,2,3,1,4,456
81,"J.H.S. KHEWLI ROOM NO. 1",562,458,0,1020,365,228,0,593,550,0,102,193,164,116,1,2,2,1,3,1,1,0,6,0,1,593
82,"J.H.S. KHEWLI ROOM NO. 2",304,259,0,563,199,169,0,368,53,0,88,47,128,96,1,2,1,1,0,1,0,0,3,0,0,368
83,"P.S. KHEWLI ROOM NO. 1",456,396,0,852,341,239,0,580,9,0,62,312,110,78,2,0,2,0,0,1,0,1,4,2,6,580
84,"P.S. KHEWLI ROOMNO. 2",328,288,0,616,213,152,0,365,300,0,4,198,83,62,0,2,0,2,0,1,0,4,3,2,4,365
85,"P.S. KHEWLI EXTRA ROOMNO. 2",608,491,0,1099,434,267,0,701,4,0,97,133,245,190,6,3,3,0,4,0,1,2,5,4,8,701
86,"P.S. MURTAZANAGAR ROOM NO. 1",172,159,0,331,170,125,0,295,20,0,204,4,72,8,0,0,0,0,1,0,0,1,0,3,2,295
87,"P.S. IBRAHIMPUR KALA ROOM NO. 1",661,566,0,1227,438,352,0,790,718,0,168,325,231,40,2,4,0,0,3,1,0,2,4,5,5,790
88,"J.H.S. MITTAI ROOM NO. 1",480,449,0,929,316,264,0,580,65,0,103,145,215,103,0,0,3,0,1,1,1,1,2,0,5,580
89,"J.H.S. MITTAI  ROOM NO. 2",529,504,0,1033,363,254,0,617,590,0,50,84,246,221,2,3,1,1,1,0,1,2,2,0,3,617
90,"P.S. CHAK KARIMABAD ROOM NO. 1",601,487,0,1088,339,224,0,563,50,0,115,30,198,194,3,3,2,0,1,1,1,1,6,2,6,563
91,"J.H.S KONAGAO ROOM NO. 1",453,392,0,845,339,224,0,563,50,0,115,30,198,194,3,3,2,0,1,1,1,1,6,2,6,563
92,"P.S. HUSAINMAU ROOM NO. 1",218,190,0,408,148,110,0,258,69,0,75,82,23,70,1,1,0,0,0,0,1,1,2,0,2,258
93,"J.H.S. BABURIGAO ROOM NO. 1",802,642,0,1444,612,380,0,992,256,0,214,88,491,173,3,0,2,0,0,2,1,2,4,4,8,992
94,"J.H.S. BABURIGAO ROOM NO. 2",577,519,0,1096,419,305,0,724,518,0,340,35,183,151,1,0,0,0,0,0,2,0,6,1,5,724
95,"J.H.S. BABURIGAO ROOM NO. 3",743,538,0,1281,524,277,0,801,169,0,127,99,262,283,5,3,1,6,1,2,1,1,3,1,6,801
96,"P.S. TAIKALA U.BHAG",510,407,0,917,391,275,0,666,10,0,77,61,372,135,3,0,0,1,0,1,2,4,4,3,3,666
97,"P.S. TAIKHURD ROOM NO. 1",484,428,1,913,342,228,0,570,169,0,81,92,209,108,2,3,3,1,53,1,3,4,5,0,5,570
98,"J.H.S. MAHRAUD ROOM NO. 1",646,614,0,1260,425,281,0,706,385,0,35,54,260,335,2,2,0,2,8,0,1,0,3,1,3,706
99,"P.S. GAURIYA ROOM NO. 1",573,465,0,1038,468,339,0,807,469,0,77,247,189,274,5,2,0,0,2,0,0,2,4,1,4,807
100,"P.S. SHAHPUR ROOM NO. 1",433,412,0,845,333,247,0,580,6,0,116,88,273,83,2,1,3,0,0,0,2,2,3,1,6,580
101,"P.S. GUWARI MAJRE SHAHPUR ROOM NO. 1",378,345,0,723,284,181,0,465,115,0,41,130,148,135,2,0,0,1,2,1,0,0,1,1,3,465
102,"P.S. GUWARI MAJRE SHAHPUR ROOM NO. 2",420,324,0,744,308,180,0,488,88,0,74,138,140,116,3,3,1,0,0,0,1,2,3,4,3,488
103,"P.S. KARAUDA ROOM NA 1",636,573,0,1209,505,365,0,870,53,0,98,197,129,422,5,2,3,0,1,1,1,2,1,2,6,870
104,"P.S. RAMPUR ROOM NO. 1",320,248,0,568,249,169,0,418,3,0,16,56,82,236,12,1,3,1,2,0,0,1,5,0,3,418
105,"P.S. ISMAILPUR ROOM NO. 1",428,385,0,813,320,234,0,554,133,0,13,159,333,31,0,1,2,1,1,0,0,1,3,5,4,554
106,"J.H.S KARANJWARA ROOM NO. 1",339,298,0,637,275,228,0,503,20,0,32,89,263,99,2,1,2,1,1,3,4,2,3,1,0,503
107,"P.S. PALTA ROOM NO. 1",372,325,0,697,275,215,0,490,355,0,40,91,312,15,0,2,0,4,1,1,2,4,5,0,13,490
108,"P.S. GOPALPUR ROOM NO. 1",443,353,0,796,354,228,0,582,32,0,23,88,306,141,1,3,0,0,2,2,1,3,5,2,5,582
109,"P.S. BATEHTA ROOM NO. 1",613,528,0,1141,464,341,0,805,268,0,126,92,390,166,3,1,3,0,2,2,3,5,4,2,6,805
110,"P.S. SIPAHIYA EAST PART",584,516,0,1100,429,330,0,759,300,0,104,370,222,36,2,0,2,1,3,1,2,3,6,1,6,759
111,"P.S. SIPAHIYA WEST PART",489,408,0,897,354,228,0,582,164,0,9,171,291,80,1,3,0,2,2,1,1,1,12,2,6,582
112,"P.S. SALEMPUR ROOM NO. 1",284,278,0,562,237,226,0,463,152,0,119,64,220,53,0,1,0,0,1,0,0,0,3,1,1,463
113,"P.S. ATVATMAU ROOM NO. 1",327,295,0,622,258,208,0,466,400,0,18,76,342,16,0,2,1,0,1,1,0,5,0,1,3,466
114,"P.S. SHEKHPUR ROOM NO. 1",488,422,0,910,394,297,0,691,122,0,125,179,301,54,2,3,1,0,1,11,2,4,2,1,5,691
115,"P.S. RASOOLPUR  ROOM NO. 1",818,677,1,1496,568,393,0,961,110,0,125,107,158,526,4,4,3,1,2,3,4,2,12,4,6,961
116,"P.S. KAMARKHA MAJRE RASOOLPUR KIDWAI ROOM NO. 1",677,584,0,1261,468,362,0,830,30,0,69,255,220,246,5,6,1,1,5,4,2,2,8,3,3,830
117,"P.S. VATIAMAU MAJRE JIYANPUR ROOM NO. 1",306,283,0,589,208,221,0,429,28,0,65,95,156,101,0,1,1,0,0,2,1,0,2,3,2,429
118,"P.S. BANDHAULI MAJRE BAHADURPUR NORTH PART",603,514,0,1117,411,289,0,700,139,0,88,251,320,14,0,0,7,0,1,1,4,1,6,3,4,700
119,"P.S. BHANDHAULI MAJRE BAHADURPUR SOUTH PART",923,652,0,1575,544,208,0,752,37,0,33,235,337,129,1,0,6,0,2,0,1,0,2,1,5,752
120,"P.S. BANDHAULI MAJRE BAHADURPUR MIDDLE PART",821,479,0,1300,273,137,0,410,298,0,23,161,185,27,1,0,3,1,0,0,1,0,1,3,4,410
121,"P.S. DHAKAULI NORTH PART",903,604,0,1507,474,283,0,757,158,0,35,413,176,103,4,3,1,1,1,1,2,2,4,2,9,757
122,"P.S. DHAKAULI SOUTH  PART",429,383,0,812,228,186,0,414,317,0,16,95,177,106,2,1,1,0,2,0,4,1,2,3,4,414
