"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKBAR AHMAD DUMPY","2 - OM PRAKASH","3 - KIRTI VARDHAN SINGH","4 - NANDITA SHUKLA","5 - BENI PRASAD VERMA","6 - AJAY  KUMAR  PRABHAKAR","7 - PREM KUMAR","8 - MASOOD ALAM KHAN","9 - MAHESH KUMAR","10 - MASHOOQ AHMAD","11 - RAJENDRA PRASAD","12 - RAJESH  KUMAR  MAURYA","13 - SATYA PRAKASH","14 - TILAK RAM","15 - BRIJNANDAN TIWARI","16 - None of the Above","Total Votes Secured"
13,ISLAMPUR,606,566,0,1172,286,268,0,554,554,0,43,2,11,439,38,0,2,14,1,0,0,0,1,2,0,1,554
14,ISLAMPUR,429,360,0,789,193,204,0,397,397,0,67,4,34,166,96,0,2,24,0,0,0,0,2,0,1,1,397
15,MAJHARI,323,266,0,589,181,162,0,343,343,0,50,1,140,79,32,32,0,6,0,0,0,0,0,1,0,2,343
16,BADHARA,498,381,0,879,264,209,0,473,473,0,46,10,271,95,20,4,0,9,0,3,0,3,3,6,1,2,473
17,SAIDAPUR,537,419,0,956,283,224,0,507,507,0,304,6,105,40,35,2,0,0,1,2,1,0,2,3,1,5,507
18,"MADHA BUZURG",602,564,0,1166,235,201,0,436,436,0,72,10,172,36,34,2,3,87,1,1,2,0,9,1,2,4,436
19,"MADHA BUZURG",355,283,0,638,136,97,0,233,233,0,72,9,76,41,12,0,1,15,1,1,0,0,4,0,0,1,233
20,KAROHA,780,717,0,1497,385,367,0,752,752,0,140,9,220,311,31,3,1,29,1,2,0,2,1,0,0,2,752
21,BADHYA,568,547,0,1115,296,277,0,573,573,0,185,5,149,126,62,4,1,29,2,3,0,2,4,1,0,0,573
22,BADHYA,566,496,0,1062,167,136,0,303,303,0,74,3,35,131,21,1,0,31,0,0,0,1,3,1,0,2,303
23,BADHYA,312,256,0,568,141,116,0,257,257,0,33,2,123,44,12,1,0,32,0,1,0,3,3,1,2,0,257
24,DEVARIYA,738,635,0,1373,425,330,0,755,755,0,142,15,325,205,28,4,1,16,0,0,0,1,8,3,1,6,755
25,MANNIJOT,635,528,0,1163,362,248,0,610,610,0,83,12,318,131,24,0,2,31,0,1,0,0,4,3,0,1,610
26,KASBAKHAS,558,506,0,1064,245,240,0,485,485,0,28,12,103,224,98,0,2,7,1,1,0,0,1,2,0,6,485
27,KASBAKHAS,505,451,0,956,235,242,0,477,477,0,67,5,91,169,134,0,0,5,1,3,0,0,0,0,2,0,477
28,KULHIYA,558,476,0,1034,286,255,0,541,541,0,70,7,232,153,43,2,0,22,1,0,0,1,3,3,0,4,541
29,MAHUWAPAKAR,599,552,0,1151,250,267,0,517,517,0,269,6,59,82,17,4,1,56,2,0,1,2,3,4,4,7,517
30,MAHUWAPAKAR,572,437,0,1009,276,225,0,501,501,0,149,10,86,158,76,3,1,4,0,2,0,0,1,3,3,5,501
31,AURADEEH,565,463,0,1028,236,208,0,444,444,0,102,6,92,138,52,4,3,32,1,1,1,1,3,2,1,5,444
32,AURADEEH,380,287,0,667,135,127,0,262,262,0,53,0,34,79,13,1,0,74,1,0,0,1,2,0,1,3,262
33,AHIRAULI,635,530,0,1165,278,271,0,549,549,0,119,8,115,245,30,1,1,20,1,2,0,1,0,3,1,2,549
34,NATHPUR,370,345,0,715,184,226,0,410,410,0,151,4,53,170,26,0,0,0,3,0,0,0,0,1,0,2,410
35,SOTIYA,377,363,0,740,216,209,0,425,425,0,78,9,115,208,11,0,0,0,0,0,1,0,1,0,1,1,425
36,MAJHVAKHAS,772,683,0,1455,325,339,0,664,663,0,127,10,70,331,96,4,0,0,1,1,0,3,4,5,2,10,664
37,ALAUDDINPUR,492,439,1,932,252,243,0,495,495,0,16,12,183,218,55,0,2,0,0,0,1,1,1,2,1,3,495
38,ALAUDDINPUR,610,568,0,1178,261,302,0,563,563,0,53,12,102,289,88,1,1,6,0,0,0,2,2,1,1,5,563
39,BAIJPUR,765,627,0,1392,455,327,0,782,782,0,157,23,343,187,32,10,1,2,0,1,0,5,4,3,6,8,782
40,KHAMHARIYA,483,422,0,905,229,190,0,419,419,0,59,8,125,151,55,2,3,1,0,0,4,1,1,2,1,6,419
41,KHAMHARIYA,486,431,0,917,251,253,0,504,504,0,38,15,172,219,46,2,2,1,1,2,0,1,0,2,0,3,504
42,KHOJWA,499,451,0,950,234,233,0,467,467,0,158,4,42,213,20,0,1,5,2,1,1,1,4,3,2,10,467
43,KHOJWA,349,324,0,673,131,159,0,290,290,0,44,3,32,155,30,0,1,12,0,1,0,1,3,1,3,4,290
44,"DHADUWA KUTUBJOT",326,253,0,579,171,146,0,317,317,0,149,5,98,27,29,0,0,0,0,1,0,0,2,0,1,5,317
45,"DHADUWA KUTUBJOT",573,493,0,1066,293,274,0,567,567,0,150,7,159,115,103,3,1,7,1,1,1,3,1,6,3,6,567
46,BABHANJOT,688,571,0,1259,334,319,0,653,653,0,123,8,177,293,23,1,1,19,0,0,0,1,2,1,3,1,653
47,GAZIPUR,550,515,0,1065,254,271,0,525,525,0,70,1,21,330,41,0,0,44,2,2,0,1,1,2,3,7,525
48,GAZIPUR,318,283,0,601,154,153,0,307,307,0,55,4,52,159,14,0,1,14,0,1,0,0,1,2,1,3,307
49,"KOLHAI GAREEB",588,589,0,1177,243,280,0,523,523,0,290,8,10,64,13,0,2,128,3,0,1,0,2,1,0,1,523
50,"KOLHAI GAREEB",476,458,0,934,192,194,0,386,386,0,174,2,8,112,32,1,1,46,0,2,0,0,2,2,0,4,386
51,"KOLHAI GAREEB",686,631,0,1317,263,306,0,569,569,0,213,3,5,202,52,0,1,77,1,2,0,0,3,2,3,5,569
52,BANGAWA,620,551,0,1171,323,290,0,613,613,0,118,11,269,71,83,3,5,37,2,1,0,1,4,2,1,5,613
53,"PIPRA MAHEEM",491,462,0,953,180,216,0,396,396,0,97,1,10,224,33,0,0,25,0,0,0,0,1,1,1,3,396
54,"PIPRA SHAREEF",523,476,0,999,227,216,0,443,443,0,150,2,47,209,25,0,1,7,0,0,0,0,0,1,1,0,443
55,BAIJALPUR,779,720,0,1499,353,404,0,757,757,0,162,7,196,288,57,5,1,15,1,2,2,5,4,5,2,5,757
56,"NAVVA GAONV",663,603,0,1266,259,253,0,512,512,0,78,13,156,144,103,1,1,11,0,1,0,0,2,0,0,2,512
57,BHANPUR,674,657,0,1331,278,357,0,635,635,0,166,14,135,65,220,3,0,24,2,2,0,0,0,2,0,2,635
58,BHANPUR,595,555,0,1150,252,227,0,479,479,0,82,8,120,158,90,2,5,2,0,1,3,1,1,6,0,0,479
59,"GAURA BUZURG",981,797,0,1778,534,409,0,943,943,0,100,8,290,419,50,2,1,58,1,0,1,0,2,4,0,7,943
60,"GAURA BUZURG",531,450,0,981,307,225,0,532,532,0,21,0,23,454,17,0,1,10,0,0,0,4,1,1,0,0,532
61,"GAURA BUZURG",723,614,0,1337,470,373,0,843,843,0,46,6,212,500,33,1,1,27,0,1,0,0,6,1,2,7,843
62,CHANDPUR,711,558,0,1269,416,306,0,722,722,0,176,7,80,425,20,1,2,1,3,0,1,0,2,1,2,1,722
63,RAGHAVPUR,230,227,0,457,156,166,0,322,322,0,47,2,65,181,9,0,0,16,0,0,0,0,1,1,0,0,322
64,BUKKANPUR,409,354,0,763,224,222,0,446,446,0,36,8,182,206,8,0,1,3,0,0,0,0,1,0,0,1,446
65,"FARENDA KHURD",784,670,0,1454,424,344,0,768,768,0,31,8,125,535,48,1,1,2,2,0,1,3,7,2,0,2,768
66,"RASOOLPUR KHAN",689,544,0,1233,324,294,0,618,618,0,135,7,113,229,119,1,0,3,1,0,1,1,5,1,2,0,618
67,"BAKWA DARGAH",735,634,0,1369,336,283,0,619,619,0,76,1,139,353,32,1,1,10,1,1,0,1,1,1,1,0,619
68,"ITWA KHURD",308,292,0,600,158,182,0,340,340,0,38,3,196,89,4,1,0,2,0,0,0,1,4,1,0,1,340
69,"KHARHI BHARI",291,225,0,516,159,136,0,295,295,0,3,7,137,116,22,1,0,0,0,0,0,4,2,2,1,0,295
70,HINCHAPUR,600,479,0,1079,317,255,0,572,572,0,113,14,242,132,53,1,1,2,0,3,0,2,3,4,0,2,572
71,BANGHUSRA,516,459,0,975,317,255,0,572,572,0,113,14,242,132,53,1,1,2,0,3,0,2,3,4,0,2,572
72,"DAULATPUR GRANT",754,582,0,1336,373,294,0,667,667,0,67,21,233,154,151,1,3,23,3,1,0,1,1,4,0,4,667
73,"DAULATPUR GRANT",761,641,0,1402,367,335,0,702,702,0,90,20,183,271,69,4,1,16,10,1,4,1,5,4,7,16,702
74,"DAULATPUR GRANT",829,677,0,1506,313,403,0,716,716,0,105,12,99,256,174,7,2,29,3,1,0,0,3,8,3,14,716
75,"BAKSARIYA GRANT",468,428,0,896,277,253,0,530,530,0,133,11,132,106,105,2,1,1,0,4,3,1,8,4,5,14,530
76,"BAKSARIYA GRANT",408,366,0,774,229,239,0,468,468,0,99,11,166,88,93,1,2,2,1,1,0,1,0,0,2,1,468
77,BABHANGAON,654,494,0,1148,303,279,0,582,582,0,198,9,111,135,64,4,3,23,2,4,1,2,6,5,2,13,582
78,BABHANGAON,277,238,0,515,124,117,0,241,241,0,73,1,45,33,65,4,1,3,1,0,0,1,3,4,1,6,241
79,NARHARPUR,765,672,0,1437,395,313,0,708,708,0,80,15,262,178,104,4,1,15,1,9,4,2,10,6,5,12,708
80,"SEMRA BUZURG",449,334,0,783,216,179,0,395,395,0,49,9,61,143,102,6,0,6,0,1,1,1,3,5,3,5,395
81,ALLIPUR,768,672,0,1440,424,395,0,819,819,0,95,18,332,128,179,10,2,10,11,6,3,3,4,5,3,10,819
82,ALLIPUR,260,185,0,445,156,135,0,291,291,0,69,4,105,57,39,2,1,0,0,1,0,1,2,3,0,7,291
83,MARAILA,677,564,0,1241,311,285,0,596,596,0,122,16,97,163,131,5,0,29,1,1,2,5,8,2,7,7,596
84,PIKAURA,525,439,0,964,177,256,0,433,433,0,49,3,18,249,59,2,0,42,1,1,0,1,3,2,0,3,433
85,"PIPRA ISMAIL",499,449,0,948,242,260,0,502,502,0,151,9,136,141,43,0,2,1,2,0,0,2,1,5,0,9,502
86,"PIPRA ISMAIL",714,566,0,1280,380,287,0,667,667,0,323,8,171,109,20,2,1,6,0,0,4,1,5,4,4,9,667
87,TARAINI,474,426,0,900,294,287,0,581,581,0,157,7,229,96,70,3,0,1,1,3,1,0,2,3,2,6,581
88,MAJHAUVATOG,586,524,0,1110,285,238,0,523,523,0,39,14,161,155,123,5,0,0,0,2,3,0,1,9,1,10,523
89,MAJHAUVATOG,514,420,0,934,285,226,0,511,511,0,29,8,192,48,210,3,0,2,0,2,1,2,2,3,1,8,511
90,FATEHPUR,465,406,0,871,271,248,0,519,519,0,54,12,209,186,36,3,0,0,2,2,0,3,1,4,1,6,519
91,"PIPRA BARA KHAN",802,643,0,1445,388,403,0,791,791,0,67,15,301,233,161,1,3,3,1,1,0,1,1,3,0,0,791
92,"PANDRI HATHI RAI",674,547,0,1221,292,333,0,625,625,0,163,16,217,87,81,2,2,37,0,1,0,4,2,4,3,6,625
93,GHANSHYAMPUR,798,686,0,1484,391,330,0,721,721,0,111,16,228,205,131,3,1,4,1,4,2,2,2,5,1,5,721
94,TURKADEEHA,499,461,0,960,290,331,0,621,621,0,174,11,249,152,12,1,0,1,1,0,3,0,3,5,4,5,621
95,ISMAILA,453,330,0,783,219,182,0,401,401,0,146,7,50,77,93,2,1,15,0,1,0,0,2,0,0,7,401
96,KACHRAULI,429,380,0,809,258,233,0,491,491,0,108,12,129,187,41,1,0,4,0,1,0,1,0,4,0,3,491
97,SABNA,789,715,0,1504,431,330,0,761,761,0,85,18,247,156,210,1,2,8,2,8,1,2,4,11,2,4,761
98,KHODARA,250,203,0,453,172,110,0,282,282,0,16,4,80,93,51,1,1,32,0,1,0,0,1,0,2,0,282
99,"AUSANI BUZURG",542,427,0,969,214,207,0,421,421,0,60,4,72,141,101,5,2,19,0,4,2,1,1,2,4,3,421
100,"AUSANI BUZURG",589,461,0,1050,287,225,0,512,512,0,104,14,108,62,182,4,2,21,0,3,0,7,0,0,0,5,512
101,"AGYA BUZURG",529,400,0,929,271,221,0,492,492,0,104,15,227,56,66,8,1,1,0,1,1,0,1,2,0,9,492
102,"KOOKNAGAR GRANT",593,459,0,1052,344,266,0,610,610,0,24,15,200,189,154,6,0,2,2,0,1,2,2,3,3,7,610
103,"KESHAVNAGAR GRANT",340,286,0,626,198,151,0,349,349,0,25,7,85,125,84,2,0,2,4,3,1,4,1,0,0,6,349
104,"KOOKNAGAR GRANT",798,672,0,1470,518,408,0,926,926,0,173,35,291,225,153,13,2,1,1,1,1,1,9,7,4,9,926
105,"KOOKNAGAR GRANT",655,494,0,1149,393,283,0,676,676,0,101,10,188,121,227,5,4,3,1,3,0,4,4,1,0,4,676
106,"KOOKNAGAR GRANT",654,517,0,1171,338,211,0,549,549,0,71,13,174,77,184,4,6,1,2,2,0,1,3,3,2,6,549
107,"KOOKNAGAR GRANT",628,526,0,1154,356,273,0,629,629,0,70,10,171,196,157,5,0,0,3,1,2,0,2,2,1,9,629
108,"KOOKNAGAR GRANT",819,642,0,1461,497,306,0,803,23,0,36,19,376,143,163,2,3,3,3,2,10,9,3,6,11,14,803
109,"KOOKNAGAR GRANT",732,624,0,1356,405,340,0,745,745,0,105,6,255,179,176,4,2,1,0,3,1,0,4,1,2,6,745
110,"KOOKNAGAR GRANT",824,622,0,1446,443,293,0,736,736,0,56,25,284,163,175,6,0,2,2,5,1,2,5,0,1,9,736
111,GHARIGHAT,844,691,0,1535,419,323,0,742,742,0,101,17,220,231,83,4,4,56,0,2,3,4,2,3,2,10,742
112,GHARIGHAT,891,712,0,1603,416,317,0,733,733,0,62,20,173,214,234,2,2,4,4,2,1,2,3,5,1,4,733
113,GHARIGHAT,856,664,0,1520,402,360,0,762,762,0,88,12,126,287,183,10,0,11,2,10,3,4,6,3,5,12,762
114,"KESHAVNAGAR GRANT",599,524,0,1123,277,278,0,555,555,0,0,29,19,205,77,187,3,2,2,2,7,1,3,3,6,9,555
115,"KESHAVNAGAR GRANT",498,446,0,944,230,200,0,430,430,0,52,7,95,124,116,5,1,1,4,1,0,2,3,4,4,11,430
116,"KESHAVNAGAR GRANT",420,371,0,791,207,166,0,373,373,0,95,10,43,94,119,2,0,1,1,0,1,2,0,1,2,2,373
117,"KESHAVNAGAR GRANT",848,733,0,1581,466,380,0,846,846,0,49,17,259,148,321,8,1,3,3,8,3,5,6,3,3,9,846
118,"KESHAVNAGAR GRANT",786,670,0,1456,413,319,0,732,732,0,149,18,114,124,285,9,3,1,8,4,2,6,4,1,2,2,732
119,"KESHAVNAGAR GRANT",654,535,0,1189,357,261,0,618,618,0,53,17,162,110,245,5,2,1,2,4,3,2,3,0,1,8,618
120,"KESHAVNAGAR GRANT",836,717,0,1553,453,367,0,820,820,0,84,12,268,196,165,9,3,4,2,10,5,9,12,11,12,18,820
121,"KESHAVNAGAR GRANT",798,689,0,1487,437,331,0,768,768,0,159,21,201,182,174,4,1,6,3,4,2,0,3,1,1,6,768
122,"KESHAVNAGAR GRANT",640,523,0,1163,285,309,0,594,594,0,127,12,164,137,122,7,2,0,1,0,3,2,1,8,2,6,594
123,"KESHAVNAGAR GRANT",306,256,0,562,176,137,0,313,313,0,24,4,124,32,112,4,0,1,1,1,0,2,3,1,1,3,313
124,"KESHAVNAGAR GRANT",513,430,0,943,280,212,0,492,492,0,20,11,106,82,221,6,3,1,1,4,5,1,7,11,3,10,492
125,"KESHAVNAGAR GRANT",352,312,0,664,188,155,0,343,343,0,66,9,54,116,48,3,3,2,26,1,1,3,4,3,0,4,343
126,MADHAIPUR,582,471,0,1053,326,265,0,591,591,0,101,16,174,212,31,3,0,24,1,5,2,2,4,3,5,8,591
127,"MUBARAKPUR GRANT",761,720,0,1481,379,380,0,759,759,0,202,14,197,199,101,1,0,24,1,1,2,1,5,4,0,7,759
128,"DAULATPUR MAFI",794,702,0,1496,347,357,0,704,704,0,84,8,179,126,276,3,1,10,1,3,0,0,1,5,2,5,704
129,"DAULATPUR MAFI",613,501,0,1114,225,152,0,377,377,0,78,8,67,140,55,2,2,8,1,0,0,2,3,2,2,7,377
130,BADHAULIPUR,643,626,0,1269,245,313,0,558,558,0,27,8,170,315,10,1,0,17,0,1,1,2,0,3,1,2,558
131,MOKALPUR,558,504,0,1062,280,261,0,541,541,0,79,13,246,143,27,1,1,11,3,0,0,2,3,3,3,6,541
132,MOKALPUR,351,305,0,656,228,160,0,388,388,0,57,9,152,111,45,0,0,5,1,2,0,1,1,0,1,3,388
133,MOKALPUR,290,245,0,535,178,108,0,286,286,0,99,8,89,33,49,1,0,2,0,1,0,0,1,0,1,2,286
134,SINGARGHAT,304,254,0,558,153,164,0,317,317,0,37,8,189,59,19,0,0,0,0,0,0,0,1,0,0,4,317
135,HATHIYAGARH,771,669,0,1440,324,363,0,687,687,0,93,9,231,277,26,2,2,13,0,3,12,1,4,2,3,9,687
136,HATHIYAGARH,818,777,0,1595,465,392,0,857,857,0,105,14,504,164,20,3,0,10,2,7,10,0,2,6,0,10,857
137,HATHIYAGARH,541,469,0,1010,290,282,0,572,572,0,34,5,312,169,20,0,1,9,1,2,0,4,8,4,0,3,572
138,SABBANJOT,298,278,0,576,146,150,0,296,296,0,42,4,88,119,31,0,0,1,0,6,1,2,0,0,1,1,296
139,DHODAUPUR,267,236,0,503,181,170,0,351,351,0,43,8,138,103,48,1,0,0,0,1,3,2,0,1,1,2,351
140,"KACHVAN BUZURG",208,193,0,401,144,132,0,276,276,0,26,3,91,57,79,2,0,0,0,0,0,11,2,0,2,3,276
141,KAMALPUR,578,461,0,1039,322,255,0,577,577,0,135,18,209,124,71,0,1,0,0,4,1,2,1,4,3,4,577
142,DHODAUPUR,330,286,0,616,205,163,0,368,368,0,34,7,197,69,41,0,0,0,2,8,0,0,2,1,1,6,368
143,KAKRGHATA,708,604,0,1312,383,360,0,743,743,0,203,24,280,92,92,7,1,3,0,4,2,2,3,12,5,13,743
144,TURKAULI,394,336,0,730,222,188,0,410,410,0,55,4,160,115,47,2,1,0,1,1,2,0,3,6,1,12,410
145,SUMERPUR,561,461,0,1022,282,210,0,492,492,0,81,16,163,147,78,2,0,1,1,0,0,1,1,0,0,1,492
146,SUMERPUR,423,350,0,773,227,165,0,392,392,0,35,22,231,45,47,1,1,0,1,1,0,0,1,4,2,1,392
147,BANDRAHI,401,312,0,713,212,152,0,364,364,0,59,8,182,81,11,1,1,0,1,3,2,0,3,5,4,3,364
148,BANDRAHI,671,557,0,1228,363,255,0,618,618,0,196,20,227,80,78,3,0,0,0,1,2,1,5,1,2,2,618
149,TAMAPAR,615,456,0,1071,383,273,0,656,656,0,49,13,272,213,92,2,1,0,0,1,0,1,2,6,1,3,656
150,TAMAPAR,416,334,0,750,249,183,0,432,432,0,98,5,201,82,36,2,1,2,1,1,0,0,0,2,0,1,432
151,AMGHATI,726,551,0,1277,389,257,0,646,646,0,70,24,344,177,14,2,1,5,0,1,0,2,1,1,2,2,646
152,AMGHATI,343,281,0,624,204,151,0,355,355,0,71,5,146,109,8,1,1,2,0,1,0,1,2,2,4,2,355
153,MADHAIPUR,622,485,0,1107,320,259,0,579,579,0,26,22,360,99,46,2,0,1,3,2,2,2,2,9,2,1,579
154,MADHAIPUR,323,289,0,612,166,141,0,307,307,0,74,11,127,69,14,0,0,1,0,1,1,1,2,3,0,3,307
155,KALENIYA,566,479,0,1045,320,211,0,531,531,0,54,9,256,171,21,1,0,0,0,0,1,3,4,2,3,6,531
156,KALENIYA,707,503,0,1210,331,193,0,524,524,0,155,13,234,96,10,1,1,0,1,0,0,4,1,2,2,4,524
157,JANAKPUR,759,616,1,1376,436,318,0,754,754,0,149,22,308,144,14,6,5,89,1,0,1,2,5,4,1,3,754
158,"DULAHIYA TIWARI",320,254,1,575,170,138,0,308,262,0,43,7,105,148,2,0,0,1,0,0,0,0,0,1,0,1,308
159,PURESEER,633,509,0,1142,354,219,0,573,105,0,147,9,206,184,6,1,1,1,0,1,1,3,1,4,1,7,573
160,MAHEWANANKAR,575,489,0,1064,448,309,0,757,757,0,24,19,560,116,7,3,0,3,0,3,1,1,5,7,2,6,757
161,DHUNAHI,697,554,0,1251,401,266,0,667,298,0,80,21,288,96,127,6,0,6,1,0,2,2,6,15,1,16,667
162,SHAMSHAPUR,215,182,0,397,129,116,0,245,45,0,36,4,128,48,9,0,0,0,0,2,0,0,2,4,3,9,245
163,"MISHRAULIYA KALA",307,270,0,577,170,151,0,321,240,0,36,5,102,167,4,0,0,0,1,1,1,0,0,1,0,3,321
164,AMWA,558,502,0,1060,329,328,0,657,514,0,114,25,242,115,134,2,2,10,1,4,0,1,2,1,1,3,657
165,AMWA,619,555,0,1174,286,317,0,603,603,0,103,23,200,154,86,4,5,12,1,0,0,0,1,5,3,6,603
166,"ALANPUR GRANT",862,682,0,1544,493,368,0,861,861,0,137,25,451,128,36,3,3,3,4,3,3,5,13,17,6,24,861
167,"ALANPUR GRANT",691,543,0,1234,384,246,0,630,630,0,170,17,226,137,25,2,1,3,3,0,2,2,8,18,3,13,630
168,GADRAHI,709,565,0,1274,414,317,0,731,731,0,112,20,377,95,94,6,1,3,0,2,2,4,5,1,3,6,731
169,GADRAHI,785,651,0,1436,457,338,0,795,795,0,113,16,303,113,216,5,1,3,4,4,0,1,3,5,3,5,795
170,GOPALPUR,325,287,0,612,202,173,0,375,375,0,55,4,237,71,4,0,0,1,0,1,0,0,0,1,0,1,375
171,JAGANNATHPUR,647,594,0,1241,360,374,0,734,734,0,108,13,326,236,13,3,2,2,2,3,1,1,6,8,3,7,734
172,"MSHRTAULIYA KANUNGO",654,541,0,1195,336,264,0,600,600,0,22,21,313,163,48,3,1,2,4,1,0,4,7,6,1,4,600
173,BAKHARWA,415,317,0,732,211,182,0,393,393,0,65,17,140,82,63,4,0,3,0,3,1,2,1,4,1,7,393
174,"VASDEVPUR GRANT",744,636,0,1380,430,379,0,809,809,0,69,25,457,111,66,4,1,3,4,2,10,10,12,17,4,14,809
175,"VASDEVPUR GRANT",647,555,0,1202,373,345,0,718,718,0,170,24,324,90,38,6,1,0,4,4,4,6,4,10,7,26,718
176,"MAHULI KHORI",479,438,0,917,248,243,0,491,491,0,86,21,129,37,189,4,0,0,3,1,0,0,7,5,1,8,491
177,"MAHULI KHORI",439,358,0,797,237,201,0,438,438,0,21,16,137,143,101,3,2,2,1,1,0,2,3,4,0,2,438
178,"MANIPUR GRANT",376,322,0,698,182,182,0,364,364,0,38,9,124,109,59,0,1,2,1,0,2,3,6,3,3,4,364
179,PATKHAULI,637,513,0,1150,347,309,0,656,656,0,170,11,177,190,79,1,5,8,0,4,0,3,0,1,0,7,656
180,PATKHAULI,305,266,0,571,179,158,0,337,337,0,79,5,136,94,9,1,0,1,0,4,1,0,3,2,0,2,337
181,KHAPRIPARA,760,649,0,1409,393,368,0,761,761,0,202,18,283,183,29,2,3,3,4,5,1,2,8,3,4,11,761
182,RANIJOT,675,541,0,1216,448,313,0,761,761,0,12,9,589,130,7,1,1,0,2,1,0,0,3,5,0,1,761
183,RANIJOT,385,314,0,699,251,181,0,432,432,0,5,5,309,90,9,1,1,2,0,1,0,1,2,4,0,2,432
184,RANIJOT,848,721,0,1569,506,388,0,894,894,0,273,10,490,79,17,1,1,1,1,1,2,0,3,5,3,7,894
185,RANIJOT,198,171,0,369,87,80,0,167,167,0,58,2,85,14,2,0,0,0,0,0,0,1,1,1,0,3,167
186,"NARYANPUR NANKAR",730,543,0,1273,377,338,0,715,715,0,94,8,140,375,78,3,0,5,1,0,1,1,0,5,1,3,715
187,BEERAPUR,679,596,0,1275,314,344,0,658,658,0,42,6,225,309,45,2,0,16,0,2,1,1,3,4,1,1,658
188,BEERAPUR,469,410,0,879,243,244,0,487,487,0,27,5,123,268,34,2,0,12,1,2,2,0,3,3,0,5,487
189,BHARTHIPUR,525,474,0,999,287,266,0,553,553,0,67,10,295,52,119,1,0,2,2,1,1,1,2,0,0,0,553
190,BHARTHIPUR,566,496,0,1062,315,302,0,617,617,0,69,12,283,215,11,1,1,7,0,0,2,1,5,2,2,6,617
191,TEJPUR,727,563,0,1290,425,330,0,755,755,0,140,19,304,111,139,5,1,0,3,7,2,1,3,6,4,10,755
192,TEJPUR,436,378,0,814,222,240,0,462,462,0,100,12,129,129,69,3,1,1,1,1,3,2,3,5,2,1,462
193,"GHANSHYAMPUR GRANT",779,633,0,1412,392,382,0,774,774,0,144,15,273,181,106,5,6,8,2,3,1,0,6,12,3,9,774
194,"GHANSHYAMPUR GRANT",624,539,0,1163,347,334,0,681,681,0,202,26,252,96,71,4,1,3,3,2,2,2,5,4,4,4,681
195,GAIGHAT,693,626,0,1319,412,377,0,789,789,0,187,16,231,273,46,1,3,5,1,7,0,0,7,3,2,7,789
196,"TALAGANJ GRANT",614,490,0,1104,330,245,0,575,575,0,90,17,164,80,190,7,1,2,2,1,1,3,1,3,3,10,575
197,"TALAGANJ GRANT",421,350,0,771,194,113,0,307,307,0,49,2,124,45,79,2,1,0,1,1,0,0,1,0,1,1,307
