"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - GHANSHAYAM ANURAGI","2 - BRIJLAL KHABRI","3 - BHANU PRATAP SINGH VERMA","4 - VIJAY CHAUDHARI","5 - GANGASINGH","6 - JAYRAM","7 - DALCHANDRA ANURAGI","8 - MANOJ KUMAR","9 - RAJKUMAR","10 - RAMNARAYAN","11 - RAM SINGH","12 - None of the Above","Total Votes Secured"
127,"JUNIOR HIGH SCHOOL  NORTH KAKSH JAHANGIRPUR",390,317,0,707,193,155,0,348,348,0,112,139,70,26,0,0,0,0,0,1,0,0,348
128,"JUNIOR HIGH SCHOOL  SOUTH KAKSH JAHANGIRPUR",249,205,0,454,155,116,0,271,151,0,163,4,98,2,0,0,1,0,0,1,0,2,271
129,"JUNIOR HIGH SCHOOL NORTH FIRST  KAKSH SHAHAJAHANPUR",466,357,0,823,291,232,0,523,2,0,8,397,77,18,0,1,1,0,1,2,8,10,523
130,"JUNIOR HIGH SCHOOL NORTH SECOND  KAKSH SHAHAJAHANPUR",433,351,0,784,261,196,0,457,422,0,45,120,244,33,2,0,2,0,1,1,3,6,457
131,"JUNIOR HIGH SCHOOL NORTH THIRD  KAKSH SHAHAJAHANPUR",661,608,0,1269,403,289,0,692,692,0,72,21,523,54,0,2,0,3,1,2,7,7,692
132,"PRIMARY SCHOOL NORTH PART  OF WEST KAKSH SATTI",522,422,0,944,314,271,0,585,585,0,318,172,10,67,1,1,1,2,2,0,2,9,585
133,"PRIMARY SCHOOL NORTH PART  OF EAST KAKSH  SATTI",483,422,0,905,279,260,0,539,539,0,356,39,29,98,2,1,0,1,0,1,0,12,539
134,"PRIMARY SCHOOL SOUTH PART  OF EAST KAKSH  SATTI",476,421,0,897,291,276,0,567,68,0,255,80,179,41,3,0,1,0,1,1,2,4,567
135,"PRIMARY SCHOOL SOUTH  PART OF WEST KAKSH  SATTI",519,418,0,937,284,251,0,535,500,0,250,104,111,59,1,0,0,0,2,1,2,5,535
136,"PRIMARY SCHOOL EAST  KAKSH KAMALPUR",498,421,0,919,309,223,0,532,16,0,322,58,147,4,0,0,0,0,0,0,0,1,532
137,"PRIMARY SCHOOL WEST  KAKSH KAMALPUR",516,429,0,945,325,261,0,586,11,0,437,7,132,3,2,0,1,0,0,3,0,1,586
138,"JUNIOR HIGH SCHOOL NABIPUR H. KAMALPUR",357,313,0,670,230,158,0,388,388,0,306,1,76,2,0,0,0,0,0,1,0,2,388
139,"PRIMARY SCHOOL KHARAKA",273,253,0,526,173,131,0,304,275,0,30,2,256,13,0,1,0,0,1,1,0,0,304
140,"PRIMARY SCHOOL KISHUNPUR",486,392,0,878,228,134,0,362,300,0,25,70,247,7,2,0,1,2,0,3,1,4,362
141,"JUNIOR HIGH SCHOOL KHARATALA",294,258,0,552,177,165,0,342,342,0,44,24,259,3,1,0,0,3,0,2,1,5,342
