"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANURADHA SHARMA","2 - UMA BHARATI","3 - DR. CHANDRAPAL SINGH YADAV","4 - PRADEEP JAIN ADITYA","5 - ARCHANA","6 - CHINTAMANI","7 - NARESH KUMAR","8 - MAULANA MOHAMMAD","9 - SUNIL MASSEY","10 - KULDEEP KUMAR","11 - TULA RAM","12 - DILSHAD AHMAD","13 - RACHNA SHARMA","14 - RAJENDRA KUMAR","15 - RAM KUMAR ANK SHASTRI","16 - None of the Above","Total Votes Secured"
17,"PRIMARY SCHOOL JAMUNJHERI PAWA",736,620,0,1356,560,500,0,1060,1060,0,69,644,263,39,5,2,11,3,4,0,0,2,3,2,10,3,1060
18,"PRIMARY SCHOOL REKNA KADESRAKALAN",602,499,0,1101,543,389,0,932,932,0,38,483,300,29,7,4,7,4,6,1,3,8,6,17,11,8,932
19,"GIRLS PRIMARY SCHOOL KADESRAKALAN",417,404,0,821,363,332,0,695,64,0,33,379,148,74,3,3,9,6,6,2,3,3,1,7,7,11,695
20,"PRIMARY SCHOOL BAJAR KADESRAKALN",446,391,0,837,383,307,0,690,689,0,123,335,96,23,3,4,11,3,7,3,9,8,13,14,17,21,690
21,"J.H. SCHOOL KADESRAKALN",732,656,0,1388,545,462,0,1007,1007,0,396,319,206,36,0,2,3,0,1,4,2,0,1,5,15,17,1007
22,"NEW PRIMARY SCHOOL THANA",679,542,0,1221,549,440,0,989,989,0,97,352,447,28,3,3,3,2,0,3,2,7,10,9,9,14,989
23,"PRIMARY SCHOOL MATATEELA",552,450,0,1002,379,354,0,733,713,0,82,382,176,41,3,4,8,0,2,3,6,1,6,3,6,10,733
24,"PRIMARY SCHOOL BIGARI",393,356,0,749,321,289,0,610,245,0,151,315,88,13,1,1,2,1,0,2,2,2,4,5,10,13,610
25,"PRIMARY SCHOOL BANGUWAKALAN",523,456,0,979,373,322,0,695,197,0,263,211,139,39,0,1,1,0,1,1,2,1,2,4,10,20,695
26,"GIRLS PRIMARY SCHOOL BANGUWAKALAN",813,737,0,1550,559,478,0,1037,650,0,144,560,190,55,4,3,7,5,5,2,6,2,2,13,26,13,1037
27,"PRIMARY SCHOOL GADARYANA KHANDI",589,539,0,1128,507,451,0,958,958,0,29,431,386,23,5,2,11,6,5,7,7,6,7,13,7,13,958
28,"PRIMARY SCHOOL BANDESHRA KHANDI",600,583,0,1183,523,443,0,966,966,0,41,270,584,17,2,2,9,1,6,0,5,2,3,10,7,7,966
29,"HIGHER PRIMARY SCHOOL NORTH PART KHANDI",657,595,0,1252,583,434,0,1017,954,0,36,589,306,20,3,7,10,2,2,5,9,0,3,9,11,5,1017
30,"HIGHER PRIMARY SCHOOL SOUTH PART KHANDI",565,503,0,1068,463,379,0,842,24,0,34,434,243,50,2,3,12,4,3,5,8,1,4,14,10,15,842
31,"PRIMARY SCHOOL GANESHPURA EAST PART KHANDI",541,497,0,1038,475,335,0,810,43,0,72,415,236,16,2,3,11,4,6,4,8,4,5,3,9,12,810
32,"PRIMARY SCHOOL GANESHPURA NAYA BHAWAN KHANDI",424,343,0,767,363,259,0,622,97,0,35,214,316,14,1,1,3,4,3,2,0,4,4,9,4,8,622
33,"PRIMARY SCHOOL GANESHPURA WEST PART KHANDI",259,243,0,502,225,210,0,435,133,0,8,19,388,12,1,2,0,0,0,1,0,0,1,1,1,1,435
34,"PRIMARY SCHOOL KARILA",464,463,0,927,392,338,0,730,728,0,137,316,203,23,1,1,3,1,2,2,0,5,6,8,11,11,730
35,"J.H. SCHOOL KARILA KHANDI",471,415,0,886,379,284,0,663,377,0,41,317,253,28,2,2,2,1,1,1,4,6,1,2,0,2,663
36,"MARDAN SINGH INTER COLLEGE ROOM NO.3 KHANDI TALBEHAT",647,576,0,1223,471,413,0,884,884,0,56,510,241,48,2,0,1,1,1,2,2,0,3,4,7,6,884
37,"MARDAN SINGH INTER COLLEGE ROOM NO 16 KHANDI",513,454,0,967,329,280,0,609,400,0,39,296,194,55,1,2,2,0,1,1,0,1,3,2,7,5,609
38,"MARDAN SINGH INTER COLLEGE ROOM NO 4 KHANDI",480,433,0,913,382,313,0,695,695,0,43,509,62,17,2,3,8,3,2,2,5,3,3,10,13,10,695
39,"MARDAN SINGH INTER COLLEGE ROOM NO 15 KHANDI TALBEHAT",822,725,0,1547,543,463,0,1006,110,0,23,795,83,83,6,0,1,1,1,0,1,3,1,2,3,3,1006
40,"PRIMARY SCHOOL NAYA BAJAR NORTH PART TALBEHAT",651,626,0,1277,430,504,0,934,902,0,38,577,149,154,4,0,0,0,0,0,0,0,1,1,5,5,934
41,"PRIMARY SCHOOL NAYA BAJAR SOUTH PART TALBEHAT",400,346,0,746,275,238,0,513,396,0,35,296,136,27,2,0,1,0,2,0,0,2,2,3,4,3,513
42,"GIRLS PRIMARY SCHOOL TALBEHAT",531,448,0,979,395,311,0,706,706,0,20,465,140,62,1,1,3,0,2,2,2,0,1,0,5,2,706
43,"D.C. ROAD PRIMARY SCHOOL EAST PART TALBEHAT",871,810,0,1681,577,505,0,1082,868,0,363,451,126,104,6,1,3,1,0,1,1,3,1,2,13,6,1082
44,"D.C.ROAD PRIMARY SCHOOL WEST PART TALBEHAT",840,749,0,1589,578,481,0,1059,49,0,224,402,274,98,9,2,5,0,2,2,4,2,2,7,17,9,1059
45,"GOVI. GIRLS INTER COLLEGE NEW BHAWAN ROOM NO 1 TALBEHAT",535,507,0,1042,370,349,0,719,719,0,54,319,240,55,6,1,5,0,2,3,4,5,2,7,4,12,719
46,"GOVI. GIRLS INTEL COLLEGE NEW BHAWAN ROOM NO 2 TALBEHAT",690,636,0,1326,523,408,0,931,931,0,22,480,301,105,5,0,0,1,0,1,1,2,1,3,3,6,931
47,"NEW  PRIMARY SCHOOL PIPRAI",475,416,0,891,407,325,0,732,730,0,97,191,375,19,0,1,5,2,0,3,5,1,4,2,7,20,732
48,"PRIMARY SCHOOL SUNORI",610,522,0,1132,470,401,0,871,253,0,125,372,252,23,3,4,5,5,5,3,8,3,7,18,20,18,871
49,"PRIMARY SCHOOL KHAIRA SUNORI",357,305,0,662,333,238,0,571,571,0,79,38,394,14,1,1,2,2,1,0,1,2,7,13,5,11,571
50,"J.H.S CHOOL PURAKALAN",829,746,0,1575,635,493,0,1128,1126,0,35,458,480,24,7,4,8,5,9,9,10,4,14,15,22,24,1128
51,"PRIMARY SCHOOL EAST PART PURAKALAN",451,375,0,826,362,239,0,601,62,0,15,130,409,13,0,1,0,1,3,1,4,4,2,12,1,5,601
52,"PRIMARY SCHOOL WEST PART PURAKALAN",465,426,0,891,366,287,0,653,652,0,253,228,100,15,2,0,2,4,2,0,2,4,1,6,19,15,653
53,"GIRLS PRIMARY SCHOOL EAST PART PORAKALAN",534,445,0,979,366,279,0,645,645,0,57,465,73,22,3,0,4,0,1,2,4,1,0,3,3,7,645
54,"GIRLS PRIMARY SCHOOL WEST PART PURAKALAN",451,368,0,819,337,251,0,588,19,0,88,256,152,35,4,1,2,3,3,5,7,3,7,3,9,10,588
55,"PRIMARY SCHOOL DHAMNA",344,285,0,629,306,243,0,549,549,0,45,79,414,3,1,0,0,0,0,0,1,1,1,1,3,0,549
56,"PRIMARY SCHOOL SARAIND",378,285,0,663,338,217,0,555,553,0,48,233,220,16,3,1,1,1,1,0,3,2,3,4,11,8,555
57,"PRIMARY SCHOOL VIJAYPURA",596,536,0,1132,485,416,0,901,30,0,175,421,250,13,6,5,5,2,1,2,1,2,1,4,4,9,901
58,"J.H..SCHOOL VIJAYPURA",561,530,0,1091,466,371,0,837,837,0,29,500,207,13,4,5,10,5,8,7,3,6,9,12,7,12,837
59,"PRIMARY SCHOOL HASARKALANKHURD",687,605,0,1292,547,456,0,1003,4,0,307,385,197,24,4,4,8,2,4,8,4,6,5,7,20,18,1003
60,"PRIMARY SCHOOL HINGORA",354,317,0,671,314,270,0,584,584,0,269,65,211,7,3,0,2,1,0,1,1,1,3,3,5,12,584
61,"PRIMARY SCHOOL CHURAVNI",480,409,0,889,426,332,0,758,58,0,100,495,92,15,1,2,3,3,2,3,2,2,7,5,14,12,758
62,"PRIMARY SCHOOL CHANDRAPUR",319,264,0,583,254,191,0,445,445,0,59,179,174,11,0,1,3,3,3,1,0,1,2,1,2,5,445
63,"PRIMARY SCHOOL BAMHORISAR",850,734,0,1584,708,519,0,1227,10,0,175,719,225,23,4,1,6,0,8,4,4,6,3,4,24,21,1227
64,"PRIMARY SCHOOL MAAU",526,462,0,988,408,377,0,785,27,0,296,292,164,6,1,2,1,1,1,1,1,0,2,6,7,4,785
65,"PRIMARY SCHOOL BHADONA",368,299,0,667,304,245,0,549,545,0,103,297,97,17,1,1,1,0,2,0,0,3,5,4,11,7,549
66,"PRIMARY SCHOOL RAJAWAN",486,427,0,913,396,311,0,707,707,0,99,244,289,11,1,2,6,1,2,2,2,2,14,12,12,8,707
67,"PRIMARY SCHOOL BEDORA",228,180,0,408,219,176,0,395,217,0,20,114,242,5,1,2,2,0,0,0,2,1,2,2,1,1,395
68,"PRIMARY SCHOOL MUKTORA",257,237,0,494,238,205,0,443,366,0,68,153,183,12,2,1,0,1,1,2,3,0,4,2,6,5,443
69,"PRIMARY SCHOOL TARGUWAN",615,579,0,1194,518,468,0,986,986,0,58,617,185,33,6,5,9,5,7,5,2,5,11,9,15,14,986
70,"J.H. SCHOOL UDGUWAN",247,232,0,479,210,190,0,400,400,0,42,239,49,53,0,0,3,0,0,1,0,2,1,2,4,4,400
71,"PRIMARY SCHOOL BUDAWNI",577,552,0,1129,511,467,0,978,970,0,103,476,289,83,1,1,2,1,3,1,1,0,2,3,6,6,978
72,"PRIMARY SCHOOL SUNORA",283,248,0,531,224,177,0,401,264,0,60,262,22,25,2,2,3,0,1,2,0,4,0,2,5,11,401
73,"NEW  PRIMARY SCHOOL KARENGA",324,280,0,604,279,231,0,510,310,0,178,135,158,16,1,0,0,1,0,0,0,1,4,4,5,7,510
74,"PRIMARY SCHOOL RADHAPUR",258,243,0,501,227,196,0,423,423,0,88,241,64,3,1,1,0,0,1,1,1,0,5,2,12,3,423
75,"PRIMARY SCHOOL EWANI",457,427,0,884,384,356,0,740,733,0,262,224,171,10,2,3,8,4,0,5,5,4,10,8,17,7,740
76,"J.H. SCHOOL BHUCHERA",383,332,0,715,325,257,0,582,582,0,14,305,236,12,1,1,0,1,0,0,1,1,1,2,5,2,582
77,"PRIMARY SCHOOL BHUCHERA",444,392,0,836,370,330,0,700,700,0,169,117,373,15,3,2,1,1,1,1,1,4,0,6,2,4,700
78,"PRIMARY SCHOOL CHOBARO",583,466,0,1049,440,315,0,755,44,0,55,266,352,14,2,3,7,3,3,5,3,3,9,8,11,11,755
79,"PRIMARY SCHOOL BAGHORA",399,323,0,722,338,262,0,600,285,0,118,137,300,6,6,2,1,2,3,1,1,2,4,6,6,5,600
80,"PRIMARY SCHOOL HAJARIYA",266,239,0,505,210,170,0,380,380,0,32,143,162,8,3,4,1,3,3,2,0,0,1,5,7,6,380
81,"PRIMARY SCHOOL KAKRELA",387,326,0,713,300,219,0,519,1,0,25,298,127,15,3,2,7,3,2,1,5,6,4,7,9,5,519
82,"NEW  PRIMARY SCHOOL CHANDRO",372,330,0,702,348,277,0,625,503,0,164,103,304,16,2,2,1,0,3,0,1,2,4,2,10,11,625
83,"NEW PRIMARY SCHOOL KADESRAKHURD",213,204,0,417,200,186,0,386,386,0,10,95,263,8,0,0,1,1,0,0,0,0,0,5,2,1,386
84,"PRIMARY SCHOOL HASGUWAN",260,235,0,495,204,173,0,377,377,0,30,141,180,12,1,0,1,0,0,1,0,0,1,3,3,4,377
85,"NEW PRIMARY SCHOOL KADESRABANSI",358,332,0,690,325,285,0,610,7,0,173,192,208,6,2,2,1,1,1,2,0,2,2,10,5,3,610
86,"PRIMARY SCHOOL NORTH PART RAMPUR",481,381,0,862,391,239,0,630,12,0,63,159,366,14,2,3,4,2,1,1,1,0,2,6,4,2,630
87,"PRIMARY SCHOOL SOUTH PART RAMPUR",461,404,0,865,386,279,0,665,665,0,30,199,380,16,3,1,3,2,1,1,5,2,3,3,7,9,665
88,"PRIMARY SCHOOL TERAI",676,606,0,1282,560,498,0,1058,1058,0,174,553,240,14,2,5,7,1,4,4,6,1,3,7,20,17,1058
89,"J,H, SCHOOL TERAI",300,273,0,573,249,225,0,474,474,0,115,55,287,3,0,1,2,0,0,0,1,0,0,4,2,4,474
90,"PRIMARY SCHOOL TINDRA",200,167,0,367,194,155,0,349,349,0,2,17,314,4,3,0,0,1,0,0,0,0,2,3,0,3,349
91,"J.H. SCHOOL NORTH PART SERWASKALAN",475,476,0,951,362,347,0,709,652,0,133,116,389,25,4,3,4,1,0,0,2,1,4,8,8,11,709
92,"J.H. SCHOOL SOUTH PART SERWANSKALAN",543,455,0,998,432,334,0,766,766,0,7,319,403,8,3,1,6,1,0,1,0,1,4,7,2,3,766
93,"PRIMARY SCHOOL KAKDARI",648,539,0,1187,532,430,0,962,8,0,138,467,245,41,4,3,6,3,5,2,5,3,3,5,18,14,962
94,"PRIMARY SCHOOL RARA",347,311,0,658,293,231,0,524,423,0,10,244,197,20,1,1,4,1,2,1,6,3,5,4,16,9,524
95,"GIRLS PRIMARY SCHOOL NORTH PART MYANW",438,400,0,838,376,324,0,700,643,0,66,265,306,8,0,0,4,1,0,3,2,1,7,13,11,13,700
96,"GIRLS PRIMARY SCHOOL SOUTH PART MYANW",463,392,0,855,402,291,0,693,693,0,33,316,273,12,4,3,7,1,1,2,1,3,9,9,9,10,693
97,"J.H. SCHOOL RAJPUR",351,324,0,675,289,247,0,536,531,0,139,72,210,9,69,2,3,1,0,2,2,2,2,10,8,5,536
98,"PRIMARY SCHOOL VADIWARKALAN",316,273,0,589,265,218,0,483,92,0,76,30,336,14,2,3,1,0,2,0,0,1,1,5,2,10,483
99,"PRIMARY SCHOOL VIGHA",459,389,0,848,398,305,0,703,703,0,209,229,220,18,1,2,4,1,0,1,0,0,2,2,9,5,703
100,"PRIMARY SCHOOL KHADRI BIJROTHA",686,640,0,1326,575,507,0,1082,1082,0,128,609,215,27,3,5,7,3,5,2,7,5,12,11,24,19,1082
101,"PRIMARY SCHOOL BOLAI",358,320,0,678,288,246,0,534,534,0,81,196,216,15,1,0,2,3,3,1,2,0,2,2,4,6,534
102,"GIRLS PRIMARY SCHOOL BIJROTHA",743,675,0,1418,583,473,0,1056,740,0,227,485,263,18,3,1,4,0,8,1,4,2,5,10,13,12,1056
103,"J.H. SCHOOL EAST PART BIJROTHA",441,422,0,863,384,323,0,707,707,0,186,201,262,8,3,3,4,3,1,2,4,1,6,8,8,7,707
104,"J.H. SCHOOL WEST PART BIJROTHA",395,363,0,758,343,237,0,580,580,0,39,208,306,6,0,3,4,2,1,2,1,0,1,0,2,5,580
105,"PRIMARY SCHOOL DOLTA",330,301,0,631,302,236,0,538,509,0,65,73,341,53,1,0,0,0,0,0,0,0,0,1,2,2,538
106,"PRIMARY SCHOOL DHAMKANA",421,354,0,775,365,301,0,666,22,0,102,163,363,11,0,2,3,0,1,0,1,1,1,9,5,4,666
107,"PRIMARY SCHOOL BARIKHURD",490,410,0,900,381,284,0,665,7,0,100,273,244,5,1,1,3,4,2,3,4,0,6,4,9,6,665
108,"PRIMARY SCHOOL BARIKALAN",239,194,0,433,178,164,0,342,307,0,37,100,182,10,0,1,0,0,0,0,2,0,3,2,5,0,342
109,"PRIMARY SCHOOL BARODADANG",821,721,0,1542,670,527,0,1197,1055,0,108,629,313,15,4,6,15,7,8,7,14,9,14,15,14,19,1197
110,"J.H. SCHOOL BARODADANG",771,654,0,1425,582,428,0,1010,575,0,225,526,140,15,1,3,8,3,4,5,4,3,4,12,19,38,1010
111,"PRIMARY SCHOOL KHAIRADANG",442,388,0,830,333,273,0,606,60,0,23,268,251,8,0,3,10,1,3,1,1,7,7,8,9,6,606
112,"PRIMARY SCHOOL KHAIRIDANG",198,161,0,359,128,112,0,240,20,0,21,132,65,4,0,1,1,1,0,1,2,0,1,3,5,3,240
113,"J.H. SCHOOL PARON",428,367,0,795,298,243,0,541,541,0,62,295,109,20,1,4,5,3,2,3,4,1,4,9,10,9,541
114,"GIRLS PRIMARY SCHOOL PARON",398,366,0,764,325,285,0,610,560,0,21,338,150,10,1,3,8,4,4,1,6,7,10,15,13,19,610
115,"PRIMARY SCHOOL BHAILONISUBA",439,393,0,832,382,320,0,702,702,0,21,409,231,12,0,2,3,1,1,2,1,2,2,5,5,5,702
116,"PRIMARY SCHOOL DEVGRH BHILONISUBA",394,360,0,754,320,268,0,588,99,0,43,149,335,20,2,2,0,0,1,0,4,3,3,15,7,4,588
117,"NEW PRIMARY SCHOOL RAJPURA",565,498,0,1063,465,355,0,820,193,0,124,186,387,48,5,4,6,1,1,2,6,6,9,9,15,11,820
118,"PRIMARY SCHOOL RAMPURAKATHWAR",661,506,0,1167,442,309,0,751,751,0,99,206,400,18,1,2,3,2,2,0,1,3,2,5,4,3,751
119,"PRIMARY SCHOOL MAVLAIN",233,178,0,411,180,129,0,309,6,0,0,17,283,6,1,0,1,0,0,0,0,0,0,1,0,0,309
120,"PRIMARY SCHOOL CHUNGI",416,356,0,772,345,272,0,617,617,0,0,8,606,2,0,1,0,0,0,0,0,0,0,0,0,0,617
121,"J.H.S SCHOOL DHANGOL",637,582,0,1219,529,435,0,964,964,0,66,384,386,37,6,2,18,2,4,2,2,5,6,13,17,14,964
122,"PRIMARY SCHOOL BAMANGUWAN",322,279,0,601,279,230,0,509,509,0,6,128,342,8,3,0,2,0,1,0,1,0,4,5,5,4,509
123,"PRIMARY SCHOOL LADWARI",372,324,0,696,290,215,0,505,505,0,54,247,155,22,0,1,1,1,0,0,1,3,2,4,8,6,505
124,"PRIMARY SCHOOL NEEMKHEDA LADWARI",470,443,0,913,330,271,0,601,371,0,47,377,100,9,2,3,5,7,5,5,5,5,9,4,7,11,601
125,"NEW PRIMARY SCHOOL BAMHORIKHADET",496,435,0,931,368,298,0,666,525,0,299,235,88,11,1,1,2,1,3,5,2,1,3,2,8,4,666
126,"J.H. SCHOOL SEMRADANG",668,545,0,1213,402,333,0,735,20,0,71,275,331,13,0,1,6,1,4,1,2,2,3,5,10,10,735
127,"PRIMARY SCHOOL MATHRADANG",408,343,0,751,308,287,0,595,18,0,65,264,214,8,0,2,4,0,1,4,0,2,2,10,13,6,595
128,"PRIMARY SCHOOL KASAR  MATHRADANG",447,372,0,819,369,292,0,661,535,0,49,327,231,8,0,1,4,0,0,2,1,2,3,9,14,10,661
129,"J.H. SCHOOL NORTH PART JAMALPUR",538,500,0,1038,458,386,0,844,844,0,72,542,124,11,3,7,5,2,5,7,4,7,4,9,25,17,844
130,"J.H.SCHOOL SOUTH PART JAMALPUR",524,491,0,1015,386,303,0,689,689,0,231,238,150,11,0,0,3,1,4,2,2,2,3,5,20,17,689
131,"PRIMARY SCHOOL TETA",518,449,0,967,434,386,0,820,820,0,85,508,118,41,0,2,6,3,3,2,4,3,11,5,15,14,820
132,"J.H. SCHOOL ASAUPURA",702,636,0,1338,521,446,0,967,120,0,277,220,376,41,2,5,6,1,2,2,3,2,7,7,11,5,967
133,"NEW PRIMARY SCHOOL HARSHPUR",616,534,0,1150,486,374,0,860,80,0,110,256,388,12,0,2,7,5,5,6,6,6,12,18,10,17,860
134,"J.H. SCHOOL NORTH PART HARSHPUR",604,521,0,1125,374,300,0,674,674,0,67,285,250,44,3,0,4,0,2,1,0,0,1,2,4,11,674
135,"J,H, SCHOOL SOUTH PART HARSHPUR",569,489,0,1058,356,250,0,606,1,0,84,354,85,7,2,5,5,3,4,2,6,4,14,6,14,11,606
136,"PRIMARY SCHOOL LALON",511,402,0,913,382,218,0,600,522,0,91,238,219,19,0,1,4,0,3,1,3,0,2,9,5,5,600
137,"PRIMARY SCHOOL KOTRA",492,422,0,914,436,308,0,744,280,0,112,202,332,60,3,1,3,2,1,3,2,0,2,5,6,10,744
138,"PRIMARY SCHOOL BUDHEDI",291,244,0,535,255,213,0,468,468,0,11,44,373,21,3,0,1,0,0,1,0,1,2,5,2,4,468
139,"J.H. SCHOOL DHURWARA",442,404,0,846,368,325,0,693,8,0,219,295,113,14,3,2,2,2,0,3,5,2,3,12,7,11,693
140,"PRIMARY SCHOOL BANDRON",334,281,0,615,269,215,0,484,482,0,26,42,365,32,2,0,1,1,0,1,0,0,0,1,5,8,484
141,"NEW PRIMARY SCHOOL GULENDA",597,491,0,1088,469,366,0,835,835,0,113,192,462,17,2,2,9,3,2,3,0,2,1,4,9,14,835
142,"PRIMARY SCHOOL NORTH PART JAKHORA",778,686,0,1464,579,476,0,1055,1029,0,36,607,307,51,3,3,9,0,5,2,3,1,5,6,9,8,1055
143,"PRIMARY SCHOOL SOUTH PART JAKHORA",715,642,0,1357,518,470,0,988,988,0,166,216,476,77,2,1,2,1,5,0,3,3,6,13,7,10,988
144,"NEW J.H. SCHOOL JAKHORA",805,707,0,1512,629,533,0,1162,1162,0,76,532,399,38,3,2,4,5,8,2,7,9,18,16,26,17,1162
145,"GIRLS PRIMARY SCHOOL JAKHORA",860,753,0,1613,632,542,0,1174,1174,0,222,413,411,53,5,0,2,2,1,3,3,2,8,16,12,21,1174
146,"PRIMARY SCHOOL NAGWAS",521,466,0,987,413,356,0,769,769,0,96,224,402,17,1,2,2,3,0,2,1,2,1,5,2,9,769
147,"NEW PRIMARY SCHOOL BUDERA",218,175,0,393,189,155,0,344,295,0,12,15,302,1,1,0,1,1,0,1,0,1,1,2,2,4,344
148,"J.H. SCHOOL NORTH PART PIPRA",477,437,0,914,395,296,0,691,312,0,88,101,459,13,0,0,1,0,2,0,1,2,1,6,2,15,691
149,"J.H. SCHOOL SOUTH PART PIPRA",503,461,0,964,378,304,0,682,73,0,66,146,403,18,2,1,4,2,5,3,4,2,2,5,4,15,682
150,"NEW PRIMARY SCHOOL CHHIPAI",689,541,0,1230,491,342,0,833,13,0,318,330,128,9,1,0,4,0,2,0,1,1,2,4,18,15,833
151,"PRIMARY SCHOOL KARIPAHADI",352,334,0,686,283,248,0,531,531,0,135,108,249,6,2,1,4,2,1,0,1,3,1,3,9,6,531
152,"PRIMARY SCHOOL KHIRIYA KHURD",185,179,0,364,173,155,0,328,328,0,63,63,187,5,1,0,0,0,0,0,0,1,1,2,2,3,328
153,"PRIMARY SCHOOL SORAI",408,330,0,738,361,263,0,624,4,0,156,54,353,24,0,1,3,4,1,2,2,1,3,7,8,5,624
154,"PRIMARY SCHOOL WEST PART BANSI",515,432,0,947,409,323,0,732,732,0,99,244,324,22,2,1,1,0,1,1,2,0,3,10,8,14,732
155,"PRIMARY SCHOOL GOVINDPURA BANSI",376,351,0,727,342,286,0,628,628,0,173,63,341,17,0,0,1,0,1,1,1,3,7,8,2,10,628
156,"PRIMARY SCHOOL WEST PART BANSI",731,629,0,1360,517,408,0,925,8,0,29,516,285,49,6,0,2,0,2,6,4,0,4,11,4,7,925
157,"INTER COLLEGE TULSI BHAVAN BANSI",509,443,0,952,408,334,0,742,742,0,144,385,169,10,1,1,1,0,1,0,1,2,2,4,8,13,742
158,"INTER COLLEGE SAMNE KA ROOM BANSI",410,371,0,781,321,253,0,574,574,0,28,346,168,8,1,3,2,0,2,1,0,0,3,5,7,0,574
159,"INTER COLLEGE ROOM NO 4 BANSI",607,559,0,1166,468,413,0,881,29,0,188,427,191,31,1,0,0,3,2,4,5,1,4,4,12,8,881
160,"J.H. SCHOOL EAST PART VASATGUWAN",692,596,0,1288,596,491,0,1087,380,0,31,248,731,12,4,2,3,2,1,2,3,2,8,24,7,7,1087
161,"J.H. SCHOOL WEST PART VASATGUWAN",534,470,0,1004,446,368,0,814,814,0,195,258,312,3,0,0,2,1,1,0,2,1,4,13,11,11,814
162,"J.H. SCOOL PULWARA",616,551,0,1167,473,361,0,834,780,0,81,478,168,24,1,2,5,1,3,3,3,5,5,12,23,20,834
163,"PRIMARY SCHOOL DHAMNA",339,304,0,643,281,262,0,543,7,0,142,163,164,48,2,0,0,0,1,0,1,1,2,1,3,15,543
164,"PRIMARY SCHOOL NORTH PART",770,690,0,1460,606,502,0,1108,21,0,60,387,263,331,12,2,3,1,3,2,1,3,12,7,15,6,1108
