"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KUNWAR RATANJIT PRATAP NARAIN SINGH","2 - RAJESH PANDEY URF GUDDU","3 - RADHE SHYAM SINGH","4 - DR. SANGAM MISHRA","5 - AKHAND","6 - AMEERUDDIN","7 - ARVIND","8 - KASHEEM ALI","9 - GOBARDHAN PRASAD","10 - JAHID","11 - BACHCHOOLAAL","12 - MARKANDE","13 - RAMDHANEE","14 - RAMPRATAP","15 - None of the Above","Total Votes Secured"
20,"PRIMARY SCHOOL CHHAPIYA",684,556,0,1240,382,354,0,736,6,0,159,278,62,205,3,2,4,1,3,3,2,4,4,2,4,736
21,"PRIMARY SCHOOL MUNDERA ROOM-1",301,260,0,561,134,130,0,264,264,0,105,104,48,2,0,3,0,0,0,0,0,0,0,0,2,264
22,"PRIMARY SCHOOL MUNDERA ROOM-2",687,584,0,1271,316,306,0,622,29,0,115,273,121,84,1,2,2,1,3,0,2,3,5,3,7,622
23,"NEW PRIMARY SCHOOL AHIRAULI ROOM-1",625,458,0,1083,276,227,0,503,200,0,137,226,36,78,4,3,3,0,0,2,2,2,1,2,7,503
24,"NEW PRIMARY SCHOOL AHIRAULI ROOM-2",667,449,0,1116,285,220,0,505,311,0,115,270,79,23,0,1,1,1,1,0,4,4,2,1,3,505
25,"NEW PRIMARY SCHOOL AHIRAULI ROOM-3",570,466,0,1036,284,264,0,548,2,0,155,230,84,41,1,7,1,3,0,1,3,2,7,6,7,548
26,"NEW PRIMARY SCHOOL AHIRAULI ROOM-4",541,438,0,979,240,211,0,451,200,0,94,167,97,84,2,1,0,0,2,0,0,1,1,0,2,451
27,"K.P.P.SENDUAAR ROOM-1",561,486,0,1047,306,281,0,587,587,0,218,180,108,58,6,2,5,0,2,4,0,1,3,0,0,587
28,"K.P.P.SENDUAAR ROOM-2",549,515,0,1064,335,295,0,630,6,0,111,237,81,168,4,1,2,1,1,0,2,8,4,3,7,630
29,"PRIMARY SCHOOL RAMPUR",574,490,0,1064,336,310,0,646,6,0,212,225,109,71,3,1,2,0,1,1,2,3,2,4,10,646
30,"PRIMARY SCHOOL ROOM-1",540,454,0,994,281,247,0,528,500,0,176,199,59,75,1,3,1,0,3,0,0,4,4,3,0,528
31,"PRIMARY SCHOOL KHOTTHA ROOM-2",422,369,0,791,192,188,0,380,377,0,151,142,55,19,2,1,1,0,0,0,1,0,3,1,4,380
32,"PRIMARY SCHOOL KHOTTHA ROOM-3",546,463,0,1009,224,214,0,438,438,0,108,199,45,64,1,7,2,0,1,1,0,1,4,2,3,438
33,"PRIMARY SCHOOL KHOTTHA ROOM-4",453,409,0,862,268,257,0,525,2,0,148,146,50,168,1,2,3,0,1,0,0,2,2,1,1,525
34,"PRIMARY SCHOOL KHOTTHA ROOM-5",881,703,0,1584,483,406,0,889,889,0,448,151,68,175,5,2,4,3,0,1,4,5,3,4,16,889
35,"PRIMARY SCHOOL LOHJHAR",824,705,0,1529,471,415,0,886,3,0,341,247,64,203,3,0,4,1,2,2,3,3,4,2,7,886
36,"SUBHASH I.C.BEDUPAR",513,432,0,945,276,270,0,546,6,0,330,111,57,32,0,2,3,4,0,0,0,0,2,1,4,546
37,"PRIMARY SCHOOL BARVA",576,415,0,991,299,263,0,562,12,0,234,235,58,23,0,2,0,1,1,1,0,0,0,2,5,562
38,"PRIMARY SCHOOL TURKDIHA ROOM-1",473,415,0,888,274,280,0,554,544,0,239,209,38,43,3,2,1,0,1,1,0,2,9,2,4,554
39,"PRIMARY SCHOOL TURKDIHA ROOM-2",525,443,0,968,296,299,0,595,595,0,208,172,37,149,2,1,0,1,1,0,4,4,4,3,9,595
40,"PRIMARY SCHOOL BHALUHA ROOM-1",648,548,0,1196,290,310,0,600,300,0,95,183,80,218,3,1,0,0,1,0,0,2,0,8,9,600
41,"PRIMARY SCHOOL BHALUHA ROOM-2",689,543,0,1232,380,307,0,687,187,0,249,142,28,227,5,1,4,0,2,2,1,5,4,4,13,687
42,"ADARSH HARI.P.P. BHALUHI ROOM-1",456,390,0,846,270,238,0,508,10,0,172,164,59,95,4,3,0,0,0,0,0,1,1,4,5,508
43,"ADARSH HARI.P.P. BHALUHI ROOM-2",461,404,0,865,254,224,0,478,475,0,234,143,35,52,5,1,0,0,0,1,0,0,1,1,5,478
44,"ADARSH HARI.P.P. BHALUHI ROOM-3",469,365,0,834,231,239,0,470,28,0,139,132,3,181,0,1,3,0,0,1,2,1,2,2,3,470
45,"MATRI SHISHU KALYAN KENDRA",584,420,0,1004,300,240,0,540,250,0,227,176,22,104,1,2,0,0,0,0,0,1,2,1,4,540
46,"PRIMARY SCHOOL MAHUI",951,684,0,1635,549,326,0,875,875,0,202,371,177,111,3,3,2,0,1,2,0,1,1,0,1,875
47,"JUNIOR HIGH SCHOOL ASNA ROOM-1",463,378,0,841,243,236,0,479,477,0,148,162,124,20,1,1,0,0,1,2,4,3,2,6,5,479
48,"JUNIOR HIGH SCHOOL ASNA ROOM-2",493,408,1,902,242,203,0,445,444,0,174,184,56,18,0,0,1,1,3,1,2,0,2,1,2,445
49,"JUNIOR HIGH SCHOOL ASNA ROOM-3",563,426,1,990,299,245,0,544,4,0,161,192,74,102,2,3,6,1,0,0,0,0,2,0,1,544
50,"JUNIOR HIGH SCHOOL ASNA ROOM-4",562,447,0,1009,264,255,0,519,50,0,185,144,51,120,1,0,0,1,2,1,0,3,3,3,5,519
51,"PRIMARY SCHOOL DOMBARVA",505,418,0,923,246,253,0,499,400,0,106,272,19,76,2,2,0,0,0,0,2,4,3,2,11,499
52,"PRIMARY SCHOOL KHOKHIYA URF MUBARAKPUR",567,499,1,1067,359,258,0,617,300,0,296,187,34,66,0,1,4,1,1,0,3,3,3,4,14,617
53,"PRIMARY SCHOOL BANKATA ROOM-1",696,559,0,1255,332,347,0,679,501,0,272,198,27,144,1,1,5,1,2,16,0,3,3,3,3,679
54,"PRIMARY SCHOOL BANKATA ROOM-2",628,593,0,1221,326,348,0,674,351,0,340,143,101,22,1,2,1,0,3,57,1,1,1,0,1,674
55,"PRIMARY SCHOOL POKHARBHINDA ROOM-1",458,389,0,847,267,250,0,517,517,0,224,92,65,130,0,0,1,2,0,0,0,0,1,1,1,517
56,"PRIMARY SCHOOL POKHARBHINDA ROOM-2",535,482,0,1017,271,310,0,581,390,0,159,125,27,239,2,6,2,2,3,2,1,5,0,6,2,581
57,"PRIMARY SCHOOL TURKAHA",541,444,0,985,331,308,0,639,334,0,413,90,32,71,0,1,2,1,2,1,1,2,3,1,19,639
58,"PRIMARY SCHOOL BELWA URF BELVANIYA",879,672,0,1551,485,416,0,901,802,0,492,199,62,115,0,2,5,0,2,0,7,2,2,3,10,901
59,"PRIMARY SCHOOL KODHARA",486,410,0,896,259,257,0,516,514,0,236,203,33,4,4,1,0,2,1,17,3,0,2,5,5,516
60,"JUNIOR HIGH SCHOOL KHAIRATWA ROOM-1",580,499,0,1079,311,322,0,633,633,0,129,247,219,7,1,2,3,1,1,2,0,5,8,7,1,633
61,"JUNIOR HIGH SCHOOL KHAIRATWA ROOM-2",601,547,0,1148,332,381,0,713,3,0,104,247,142,173,3,2,3,1,0,0,0,11,6,12,9,713
62,"PRIMARY SCHOOL RANIKAF",337,291,0,628,181,195,0,376,376,0,82,169,94,25,0,1,0,0,1,0,0,0,1,2,1,376
63,"JUNIOR HIGH SCHOOL SODHRA",671,588,0,1259,367,399,0,766,766,0,206,245,215,84,0,0,4,1,1,1,3,1,3,1,1,766
64,"PRIMARY SCHOOL SITUHIYA ROOM-1",502,412,0,914,231,269,0,500,2,0,275,157,10,28,4,3,3,1,0,4,1,1,1,3,9,500
65,"PRIMARY SCHOOL SITUHIYA ROOM-2",623,531,0,1154,319,290,0,609,205,0,223,196,54,110,2,2,3,4,1,0,4,2,0,3,5,609
66,"PRIMARY SCHOOL PAKADI",555,506,0,1061,283,353,0,636,6,0,255,262,23,79,2,6,0,4,0,0,0,0,2,1,2,636
67,"PRIMARY SCHOOL TELGAVA",553,443,0,996,265,278,0,543,3,0,236,152,108,24,4,0,0,1,0,1,1,1,6,2,7,543
68,"PRIMARY SCHOOL DUMARI",516,478,0,994,278,286,0,564,511,0,373,101,8,60,2,2,2,0,0,0,1,2,6,0,7,564
69,"PRIMARY SCHOOL ROHUAMACHHARGAWA ROOM-1",450,373,0,823,232,237,0,469,68,0,216,84,11,129,1,0,4,1,0,0,3,2,1,3,14,469
70,"PRIMARY SCHOOL ROHUAMACHHARGAWA ROOM-2",430,396,0,826,241,226,0,467,467,0,273,123,24,36,0,0,2,1,0,1,1,1,0,1,4,467
71,"PRIMARY SCHOOL MADHWALIA",774,613,0,1387,380,407,0,787,746,0,174,351,94,122,5,0,6,1,0,2,1,5,7,8,11,787
72,"PRIMARY SCHOOL JAMUAN ROOM-1",563,479,0,1042,291,309,0,600,90,0,236,175,44,124,1,1,0,1,3,0,1,3,3,3,5,600
73,"PRIMARY SCHOOL JAMUAN ROOM-2",105,93,0,198,58,57,0,115,115,0,35,28,21,26,1,1,1,0,0,0,0,1,1,0,0,115
74,"PRIMARY SCHOOL MUDADIH",438,422,0,860,262,284,0,546,250,0,13,234,273,19,0,0,0,0,0,0,0,0,4,2,1,546
75,"PRIMARY SCHOOL CHIURAPALI",418,352,0,770,206,219,0,425,425,0,66,118,200,32,1,0,0,0,0,0,1,2,5,0,0,425
76,"PRIMARY SCHOOL BISHUNPURA ROOM-1",449,351,0,800,241,219,0,460,8,0,186,174,54,23,2,1,0,1,0,3,0,0,2,1,13,460
77,"PRIMARY SCHOOL BISHUNPURA ROOM-2",459,373,0,832,247,240,0,487,417,0,139,97,113,110,2,3,4,1,1,1,2,3,6,1,4,487
78,"PRIMARY SCHOOL ROHUA SATBHARIYA",816,667,0,1483,420,408,0,828,500,0,353,205,65,156,8,6,3,2,0,5,3,3,2,5,12,828
79,"PRIMARY SCHOOL SONIA",580,483,0,1063,293,308,0,601,570,0,179,190,51,137,6,4,1,0,3,4,1,4,7,7,7,601
80,"PRIMARY SCHOOL PAIKAULI ROOM-1",496,412,0,908,264,258,0,522,168,0,123,221,136,10,0,2,0,2,2,3,2,2,6,6,7,522
81,"PRIMARY SCHOOL PAIKAULI ROOM-2",541,419,0,960,290,212,0,502,40,0,96,238,128,7,1,9,1,0,0,0,1,5,3,5,8,502
82,"PRIMARY SCHOOL PAIKAULI ROOM-3",795,674,0,1469,395,446,0,841,469,0,129,311,305,41,2,4,1,3,1,3,2,1,6,10,22,841
83,"PRIMARY SCHOOL PAIKAULI ROOM-4",548,423,0,971,265,265,0,530,490,0,120,114,159,115,3,1,0,0,0,1,1,2,5,1,8,530
84,"PRIMARY SCHOOL SIKATA ROOM-1",486,417,0,903,302,261,0,563,563,0,64,205,165,115,1,1,0,0,0,0,2,1,4,2,3,563
85,"PRIMARY SCHOOL SIKATA ROOM-2",264,215,0,479,143,127,0,270,9,0,62,62,111,19,0,6,0,2,0,0,0,0,1,3,4,270
86,"PRIMARY SCHOOL SONBARSA",730,606,0,1336,395,382,0,777,776,0,301,255,69,125,1,2,1,1,2,1,2,1,5,3,8,777
87,"PRIMARY SCHOOL MANGALPUR ROOM-1",524,453,0,977,249,277,0,526,6,0,103,249,136,12,2,4,2,0,1,1,0,2,2,4,8,526
88,"PRIMARY SCHOOL MANGALPUR ROOM-2",501,422,0,923,259,266,0,525,350,0,133,230,46,91,2,0,2,0,1,0,1,1,5,4,9,525
89,"PRIMARY SCHOOL BHAISAHI",747,566,0,1313,472,348,0,820,110,0,319,308,67,104,1,3,4,1,2,0,0,2,1,6,2,820
90,"PRIMARY SCHOOL HANSKHOR",786,683,0,1469,417,423,0,840,836,0,279,307,109,112,2,1,1,1,0,3,2,4,2,4,13,840
91,"PRIMARY SCHOOL PATTAN",642,526,0,1168,340,321,0,661,661,0,293,184,69,80,1,3,8,3,1,1,4,0,7,1,6,661
92,"PRIMARY SCHOOL PAGARA",345,268,0,613,183,192,0,375,372,0,16,169,170,11,3,1,0,0,0,0,0,1,2,1,1,375
93,"M.B.U.M.PIPARAICHA ROOM-1",804,690,0,1494,381,420,0,801,44,0,198,423,80,43,3,6,4,1,5,3,3,5,14,5,8,801
94,"M.B.U.M.PIPARAICHA ROOM-2",309,241,0,550,128,160,0,288,250,0,28,105,23,125,0,0,0,0,1,0,1,1,0,2,2,288
95,"PRIMARY SCHOOL LEHANI",461,384,0,845,279,261,0,540,515,0,245,156,18,109,1,2,3,0,1,0,1,1,1,0,2,540
96,"PRIMARY SCHOOL PATNI",575,448,0,1023,339,297,0,636,336,0,174,347,37,52,3,6,2,2,2,1,2,4,1,2,1,636
97,"JUNIOR HIGH SCHOOL BALUA",332,263,0,595,202,166,0,368,10,0,100,131,10,104,1,2,2,0,3,0,4,1,1,4,5,368
98,"PRIMARY SCHOOL CHILUA",585,542,0,1127,324,318,0,642,629,0,210,305,38,71,4,1,0,0,0,2,0,1,5,2,3,642
99,"PRIMARY SCHOOL BELWA",470,376,0,846,258,233,0,491,491,0,210,146,21,84,2,0,6,0,0,0,4,4,5,2,7,491
100,"PRIMARY SCHOOL MAHUI",620,496,0,1116,333,340,0,673,500,0,179,166,32,265,7,5,2,0,1,2,2,0,5,2,5,673
101,"PRIMARY SCHOOL SIHULIYA",611,513,0,1124,327,310,0,637,637,0,162,307,78,68,2,6,5,3,1,0,0,1,2,0,2,637
102,"PRIMARY SCHOOL BELWA KHURD",517,432,0,949,236,252,0,488,165,0,26,100,222,124,4,2,3,1,0,1,0,2,2,0,1,488
103,"PRIMARY SCHOOL KHOTTHA",324,287,0,611,183,177,0,360,352,0,182,62,37,65,1,1,3,0,0,1,3,1,0,3,1,360
104,"PRIMARY SCHOOL BAIRIYA",501,457,0,958,298,290,0,588,120,0,118,216,69,168,1,0,6,0,0,0,1,0,3,0,6,588
105,"JUNIOR HIGH SCHOOL DHANAHA",451,361,0,812,228,237,0,465,7,0,189,180,10,69,2,0,2,1,1,0,0,1,3,6,1,465
106,"PRIMARY SCHOOL MAHUAWA",769,597,0,1366,399,393,0,792,789,0,133,327,75,202,0,6,4,3,1,0,2,25,5,2,7,792
107,"PRIMARY SCHOOL BAGRADEUR ROOM-1",425,368,0,793,255,247,0,502,90,0,112,265,94,13,2,3,1,0,1,2,2,4,0,1,2,502
108,"PRIMARY SCHOOL BAGRADEUR ROOM-2",444,416,0,860,261,262,0,523,523,0,136,197,66,110,2,0,1,0,1,0,0,2,1,1,6,523
109,"PRIMARY SCHOOL NAWAPAR",887,728,0,1615,495,436,0,931,500,0,245,357,60,228,4,7,3,2,2,2,1,3,2,4,11,931
110,"PRIMARY SCHOOL BARSAINA ROOM-1",797,675,0,1472,433,437,0,870,150,0,175,282,151,204,2,11,5,6,4,1,4,5,5,5,10,870
111,"PRIMARY SCHOOL BARSAINA ROOM-2",704,623,0,1327,385,345,0,730,730,0,90,270,124,205,0,3,7,2,2,2,2,5,6,3,9,730
112,"PRIMARY SCHOOL BASANTPUR",460,375,0,835,280,288,0,568,568,0,31,222,42,258,1,1,1,1,2,0,0,3,2,3,1,568
113,"PRIMARY SCHOOL PAGARA",424,395,0,819,233,230,0,463,462,0,50,163,118,125,0,1,1,0,0,0,0,0,3,0,2,463
114,"PRIMARY SCHOOL RAMPUR POKHARIHAWA TOLA",788,654,0,1442,412,357,0,769,60,0,114,356,169,92,2,3,2,2,3,4,1,4,5,7,5,769
115,"PRIMARY SCHOOL RAMPUR KHAS",604,514,0,1118,308,303,0,611,605,0,122,176,104,184,3,1,3,2,1,1,0,5,5,2,2,611
116,"PRIMARY SCHOOL SIRSIYA",455,375,0,830,249,219,0,468,468,0,135,212,59,46,1,0,1,2,1,1,0,3,2,0,5,468
117,"PRIMARY SCHOOL BISHUNPUR KAITHWALIYA",439,393,0,832,204,206,0,410,9,0,132,186,66,22,0,2,0,0,0,0,0,0,0,0,2,410
118,"P.BHAWAN BELWA BUJURG",790,666,0,1456,498,339,0,837,7,0,157,466,71,129,3,5,3,0,1,0,0,1,1,0,0,837
119,"PRIMARY SCHOOL MORWAN URF GOPALA",421,362,0,783,235,218,0,453,3,0,107,200,21,117,1,0,3,0,1,0,0,0,1,0,2,453
120,"PRIMARY SCHOOL SUBUDHIYA BUJURG",224,228,0,452,128,161,0,289,1,0,84,44,36,113,3,1,4,0,1,1,0,0,2,0,0,289
121,"PRIMARY SCHOOL BIJAIKAF",789,680,0,1469,389,377,0,766,396,0,251,350,18,117,4,1,1,4,3,1,2,0,6,3,5,766
122,"PRIMARY SCHOOL PIPARIYA",750,631,0,1381,400,417,0,817,5,0,234,319,23,199,2,4,1,1,2,3,1,2,9,6,11,817
123,"PRIMARY SCHOOL BHAGWANPUR KHURD",609,501,0,1110,363,357,0,720,20,0,129,135,275,152,1,2,1,0,0,2,1,4,7,4,7,720
124,"PRIMARY SCHOOL BHAGWANPUR BUJURG",693,590,0,1283,353,412,0,765,5,0,150,338,30,210,2,1,3,4,1,3,2,2,7,5,7,765
125,"PRIMARY SCHOOL SUBUDHIYA KHURD",528,516,0,1044,324,349,0,673,598,0,113,334,24,161,3,5,4,3,1,4,1,3,4,1,12,673
126,"HARIJAN PRIMARY SCHOOL ANANTPUR ROOM-1",495,381,0,876,285,241,0,526,526,0,122,270,41,53,3,4,2,0,1,3,1,3,5,9,9,526
127,"HARIJAN PRIMARY SCHOOL ANANTPUR ROOM-2",565,410,0,975,261,270,0,531,531,0,78,152,67,194,2,2,8,3,0,5,2,2,1,3,12,531
128,"JUNIOR HIGH SCHOOL BHATGAVA",542,424,0,966,416,162,0,578,578,0,133,175,29,206,1,17,10,3,1,0,1,0,1,1,0,578
129,"PRIMARY SCHOOL GANESHPUR",474,371,0,845,275,227,0,502,502,0,110,244,29,73,6,3,9,3,2,2,2,0,8,1,10,502
130,"PRIMARY SCHOOL DEVTAHA",686,565,0,1251,346,317,0,663,600,0,131,221,236,37,2,2,2,19,3,1,3,1,1,2,2,663
131,"PRIMARY SCHOOL BRINDAVAN",343,315,0,658,229,217,0,446,400,0,25,242,8,167,0,1,0,0,0,0,0,2,0,0,1,446
132,"PRIMARY SCHOOL KOHRAULI",385,307,0,692,222,178,0,400,367,0,98,165,21,98,1,0,2,1,0,1,0,0,1,3,9,400
133,"PRIMARY SCHOOL NAIPUR",407,355,0,762,204,225,0,429,1,0,110,119,134,42,2,2,1,0,0,3,0,4,0,3,9,429
134,"PRIMARY SCHOOL MOHANPUR ROOM-1",502,450,0,952,288,247,0,535,110,0,237,188,41,49,0,2,2,1,1,0,0,0,3,6,5,535
135,"PRIMARY SCHOOL MOHANPUR ROOM-2",186,180,0,366,114,126,0,240,240,0,4,3,14,213,1,0,1,0,1,1,0,0,2,0,0,240
136,"PRIMARY SCHOOL BHARWALIA",360,303,0,663,192,211,0,403,403,0,147,56,157,23,1,2,0,1,1,0,1,4,2,1,7,403
137,"HARIJAN PRIMARY SCHOOL BHAGWANPUR",459,387,0,846,205,306,0,511,511,0,271,107,22,98,0,2,1,2,0,0,1,1,2,1,3,511
138,"PRIMARY SCHOOL KOTWA",424,336,0,760,227,184,0,411,50,0,147,134,52,62,2,1,1,1,0,1,1,2,4,3,0,411
139,"PRIMARY SCHOOL MAHUAWA",399,316,0,715,234,197,0,431,1,0,126,196,12,77,0,4,2,2,0,0,1,1,0,6,4,431
140,"PRIMARY SCHOOL PAKADI",481,375,0,856,260,253,0,513,1,0,57,164,41,232,5,5,0,0,0,0,0,0,3,3,3,513
141,"PRIMARY SCHOOL MISHRAULI ROOM-1",665,543,0,1208,354,283,0,637,637,0,235,284,51,33,0,0,0,5,2,3,1,10,3,6,4,637
142,"PRIMARY SCHOOL MISHRAULI ROOM-2",629,507,0,1136,293,269,0,562,545,0,189,172,83,87,3,1,1,0,1,0,1,5,3,5,11,562
143,"PRIMARY SCHOOL MUNDERA KHAGI ROOM-1",486,395,0,881,245,231,0,476,476,0,123,231,55,48,0,4,1,0,0,4,1,1,2,3,3,476
144,"PRIMARY SCHOOL MUNDERA KHAGI ROOM-2",494,475,0,969,267,276,0,543,3,0,66,349,74,16,2,4,1,2,0,2,1,0,2,9,15,543
145,"PRIMARY SCHOOL PIPARA HUMEL",713,617,0,1330,444,339,0,783,783,0,24,218,472,21,2,1,3,2,0,3,2,6,16,2,11,783
146,"PRIMARY SCHOOL  DUMARI MALAV ROOM-1",712,601,0,1313,359,368,0,727,619,0,219,263,179,17,7,6,4,2,0,0,2,5,7,4,12,727
147,"PRIMARY SCHOOL DUMARI MALAV ROOM-2",643,542,0,1185,368,375,0,743,243,0,69,395,99,151,6,5,3,1,1,1,0,1,1,6,4,743
148,"PRIMARY SCHOOL PIPARA URF TITALA ROOM-1",533,440,0,973,288,250,0,538,538,0,95,345,33,36,2,1,2,6,1,1,4,2,2,2,6,538
149,"PRIMARY SCHOOL PIPARA URF TITALA ROOM-2",547,446,0,993,292,281,0,573,9,0,91,300,9,142,2,3,2,1,1,2,1,6,3,2,8,573
150,"PRIMARY SCHOOL BISHUNPUR URF THUTHI",771,544,0,1315,362,320,0,682,450,0,201,254,100,100,1,0,3,1,0,1,3,4,3,2,9,682
151,"PRIMARY SCHOOL SEMARI MAHESHPUR",801,623,0,1424,409,322,0,731,8,0,81,424,94,72,5,5,4,3,3,2,3,4,11,9,11,731
152,"PRIMARY SCHOOL SUKRAULI ROOM-1",669,572,0,1241,412,315,0,727,715,0,111,258,81,225,3,0,10,0,2,3,2,6,8,4,14,727
153,"PRIMARY SCHOOL SUKARAULI ROOM-2",463,387,0,850,255,219,0,474,250,0,94,274,62,22,3,1,2,1,2,0,1,3,3,2,4,474
154,"PRIMARY SCHOOL SUKRAULI ROOM-3",536,380,0,916,346,207,0,553,260,0,90,402,35,15,0,2,0,0,0,1,0,2,2,0,4,553
155,"PANCHAYAT BHAWAN BADHAYA KHURD",757,592,0,1349,455,390,0,845,500,0,233,309,78,193,6,1,7,0,4,1,0,2,6,1,4,845
156,"PRIMARY SCHOOL CHAKNILKANTH",350,298,0,648,202,227,0,429,10,0,114,140,59,76,8,12,4,3,0,1,4,2,1,2,3,429
157,"PRIMARY SCHOOL BADHYA BUJURG ROOM-1",628,485,0,1113,323,246,0,569,102,0,178,302,49,23,2,1,1,0,1,2,1,0,1,1,7,569
158,"PRIMARY SCHOOL BADHYA BUJURG ROOM-2",328,250,0,578,182,143,0,325,19,0,176,77,32,19,2,1,0,1,1,0,0,0,2,3,11,325
159,"PRIMARY SCHOOL BADHYA BUJURG ROOM-3",469,381,0,850,186,200,0,386,37,0,165,145,55,4,0,4,3,1,1,0,1,2,0,1,4,386
160,"PRIMARY SCHOOL BADHYA BUJURG ROOM-4",553,430,0,983,287,269,0,556,471,0,130,211,108,90,1,1,1,2,1,1,1,0,3,1,5,556
161,"PRIMARY SCHOOL BADHYA BUJURG ROOM-5",295,250,0,545,131,114,0,245,40,0,75,105,49,3,1,2,0,1,0,1,0,1,0,3,4,245
162,"PRIMARY SCHOOL PARSIYA",462,391,0,853,256,221,0,477,474,0,69,168,66,161,2,2,0,1,1,0,2,1,1,1,2,477
163,"HARIJAN PRIMARY SCHOOL SANKHAPAR MAFI",574,533,0,1107,307,353,0,660,660,0,93,295,106,142,3,3,2,1,0,4,0,2,2,3,4,660
164,"PRIMARY SCHOOL AHIRAULI",278,262,0,540,140,202,0,342,342,0,39,180,18,81,3,0,1,0,1,1,1,3,4,4,6,342
165,"PRIMARY SCHOOL PIDARA ROOM-1",451,395,0,846,252,229,0,481,453,0,40,192,139,88,1,5,1,0,1,1,0,3,1,5,4,481
166,"PRIMARY SCHOOL PIDARA ROOM-2",591,486,0,1077,306,313,0,619,617,0,46,230,149,170,1,4,5,1,1,0,1,4,2,2,3,619
167,"PRIMARY SCHOOL PIDARA ROOM-3",536,478,0,1014,313,197,0,510,9,0,48,212,214,17,3,3,0,3,0,0,0,2,2,1,5,510
