"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR.BHOLA PANDEY","2 - RAVINDRA KUSHAWAHA","3 - RAVI SHANKER SINGH","4 - HARIBANSH SAHAI KUSHWAHA","5 - ONKAR SINGH","6 - OM PRAKASH RAJBHAR","7 - CHANDRA PRATAP SINGH","8 - FIROZ AKHTAR","9 - SHRIRAM CHAUDHARY","10 - DR SANJAY KR. SINGH","11 - RAM KRIPAL","12 - SIYARAM DAS","13 - SUSHANT RAJ PATHAK","14 - None of the Above","Total Votes Secured"
29,"PASHUNATH JR.H.S.RANGWANMATHIA",360,265,0,625,159,125,0,284,281,0,6,181,36,48,0,0,4,0,1,1,0,2,3,2,284
30,"P.P.RIGWAN,WEST",689,586,0,1275,316,281,0,597,534,0,22,318,118,84,7,27,0,1,1,1,5,3,4,6,597
31,"P.P.KAKARGHATTAKHAS,NORTH",557,449,0,1006,239,180,0,419,415,0,8,101,75,104,3,101,5,1,3,2,4,2,2,8,419
32,"P.P.KAKARGHATTAKHAS,SOUTH",478,352,0,830,322,208,0,530,530,0,3,57,12,416,4,16,7,1,1,1,0,1,2,9,530
33,"P.P.MANIKPUR,EAST",617,483,0,1100,263,223,0,486,460,0,15,287,127,46,1,3,1,0,1,1,0,1,1,2,486
34,"P.P.PINDARI NORTH STHIT GRAM-MANIKPUR",655,542,0,1197,300,282,0,582,582,0,15,260,137,132,3,11,6,1,2,1,2,0,1,11,582
35,"P.P.PINDARI SOUTH STHIT GRAM-MANIKPUR",573,405,0,978,255,204,0,459,439,0,6,114,177,132,1,3,1,1,0,1,5,4,2,12,459
36,P.P.BIJULIPUR,457,407,0,864,232,208,0,440,403,0,16,156,80,150,3,21,1,1,2,0,3,3,1,3,440
37,P.P.KOTWA,471,354,0,825,201,178,0,379,379,0,14,233,89,29,2,0,5,0,2,0,2,1,1,1,379
38,P.P.KHADIPUR,403,365,0,768,185,220,0,405,405,0,13,158,27,111,5,68,4,1,2,2,3,1,3,7,405
39,"P.P.MUDIYARI,EAST",715,539,0,1254,316,279,0,595,595,0,11,373,54,126,2,18,1,1,0,0,2,2,0,5,595
40,"P.P.MUDIYARI,MIDDLE",555,429,0,984,243,234,0,477,477,0,15,246,102,36,2,54,3,1,1,2,6,3,0,6,477
41,"P.P.MUDIYARI,WEST",555,475,0,1030,261,300,0,561,550,0,16,190,138,84,8,92,5,2,2,2,12,2,1,7,561
42,"U.M.V.SULTANPUR,NORTH",411,351,0,762,185,195,0,380,348,0,5,103,44,115,2,90,4,3,0,1,2,1,3,7,380
43,"U.M.V.SULTANPUR,MIDDLE",542,446,0,988,251,251,0,502,498,0,12,88,157,157,5,73,3,0,1,0,4,0,0,2,502
44,"U.M.V.SULTANPUR,MIDDLE",395,323,0,718,198,191,0,389,389,0,9,144,25,204,2,3,0,0,0,1,0,0,1,0,389
45,"U.M.V.SULTANPUR,MIDDLE",489,419,0,908,268,274,0,542,527,0,31,235,28,165,8,56,3,2,1,0,2,0,3,8,542
46,"U.M.V.SULTANPUR,EAST",485,416,0,901,223,230,0,453,450,0,64,181,133,38,1,14,2,1,3,0,4,1,2,9,453
47,"K.P.P.SULTANPUR,NORTH",467,378,0,845,194,186,0,380,372,0,18,116,52,133,4,31,1,1,2,1,6,1,5,9,380
48,"K.P.P.SULTANPUR,SOUTH",207,191,0,398,62,77,0,139,129,0,1,10,25,71,1,28,0,1,1,0,1,0,0,0,139
49,P.P.TAHIRPUR,365,304,0,669,190,186,0,376,373,0,19,127,29,72,5,118,1,1,1,0,0,0,1,2,376
50,P.P.BHOJPURWA,561,427,0,988,352,307,0,659,659,0,4,43,66,519,10,3,3,1,0,0,2,2,2,4,659
51,"P.P.PARVATPUR,WEST",889,797,0,1686,413,450,0,863,861,0,8,209,254,283,16,41,7,1,3,4,5,7,5,20,863
52,"P.P.PARVATPUR,EAST",619,569,0,1188,361,328,0,689,689,0,25,165,156,193,6,119,5,0,0,2,4,0,3,11,689
53,"P.P.SHANKARPURA,EAST",559,434,0,993,271,260,0,531,531,0,41,211,168,89,3,9,0,0,0,2,0,3,1,4,531
54,"P.P.SHANKARPURA,WEST",528,417,0,945,400,320,0,720,609,0,123,149,17,90,1,327,1,3,1,1,2,1,1,3,720
55,"P.P.KEWATLIA CHAUBEY",751,629,0,1380,423,422,0,845,845,0,8,407,40,145,4,200,4,6,5,0,6,2,3,15,845
56,P.P.RUKUNPURA,844,765,0,1609,425,411,0,836,836,0,108,269,158,135,7,133,5,1,0,0,7,2,0,11,836
57,P.P.MANGALPURA,552,440,0,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,"JR.H.S. SAIDPUR",200,184,0,384,150,126,0,276,276,0,51,17,79,53,2,66,5,0,0,0,0,0,1,2,276
59,P.P.GOSAIPUR,287,247,0,534,182,148,0,330,330,0,48,82,15,155,6,4,8,0,1,0,2,1,5,3,330
60,"P.P.HALPUR,NORTH",610,426,0,1036,292,254,0,546,546,0,82,163,31,105,4,132,10,1,2,1,9,1,1,4,546
61,"P.P.HALPUR,MIDDLE",523,443,0,966,244,202,0,446,446,0,55,204,23,106,5,35,0,1,1,3,2,3,2,6,446
62,"P.P.HALPUR,SOUTH",671,587,0,1258,372,214,0,586,586,0,58,263,76,118,0,60,5,1,0,0,0,0,1,4,586
63,"P.P.BALAPUR PURVA HALPUR",754,623,0,1377,461,360,0,821,761,0,21,209,56,227,16,253,5,2,5,3,13,3,3,5,821
64,P.P.ACHCHHUHI,821,625,0,1446,415,355,0,770,770,0,26,286,39,57,4,326,5,0,8,0,5,1,6,7,770
65,"P.P.DHANAUTI,EAST",500,408,0,908,236,207,0,443,437,0,13,290,56,29,2,48,1,1,0,0,0,1,1,1,443
66,"P.P.DHANAUTI,WEST",462,411,0,873,219,240,0,459,459,0,23,140,179,113,4,0,0,0,0,0,0,0,0,0,459
67,"P.P.SEMARI RAMPUR,EAST",442,366,0,808,165,155,0,320,320,0,83,47,33,102,2,40,3,0,1,1,1,1,3,3,320
68,"P.P.SEMARI RAMPUR,WEST",513,427,0,940,267,206,0,473,471,0,80,117,86,122,7,52,1,0,2,2,2,1,0,1,473
69,"PANCHAYAT BHAWAN GOPALPURKALA",509,433,0,942,280,250,0,530,530,0,7,171,8,245,4,85,1,1,2,1,2,1,1,1,530
70,P.P.CHHITARAULI,268,210,0,478,120,111,0,231,231,0,12,127,8,78,0,0,0,0,0,1,0,3,0,2,231
71,P.P.PAHIA,210,200,1,411,132,150,0,282,282,0,10,89,74,82,2,20,1,1,0,1,0,0,1,1,282
72,"P.P.MALHAUWA,EAST",451,383,0,834,182,192,0,374,368,0,6,288,40,19,2,15,1,0,1,0,0,1,0,1,374
73,"P.P.MALHAUWA,WEST",488,426,0,914,238,230,0,468,468,0,13,145,207,37,2,39,8,2,10,0,0,4,1,0,468
74,"JR.H.S.CHORKAIND,EAST",731,556,0,1287,336,283,0,619,619,0,23,173,41,128,4,211,11,1,17,0,2,1,3,4,619
75,"JR.H.S.CHORKAIND,WEST",779,633,0,1412,333,285,0,618,599,0,8,161,78,264,9,43,4,1,21,2,3,3,2,19,618
76,"P.P.DEORAR,WEST",485,374,0,859,241,225,0,466,455,0,11,189,38,96,1,111,6,0,1,1,5,1,1,5,466
77,"P.P.DEORAR,EAST",571,463,0,1034,282,257,0,539,539,0,9,159,75,78,3,204,1,0,1,0,8,1,0,0,539
78,"P.P.CHHITAUNI,NORTH",599,467,0,1066,307,295,0,602,602,0,11,321,97,105,4,48,2,3,3,0,4,1,0,3,602
79,"P.P.CHHITAUNI,MIDDLE",541,476,0,1017,228,265,0,493,435,0,24,59,61,269,6,69,1,0,0,0,2,0,0,2,493
80,P.P.DURGIPUR,173,152,0,325,124,103,0,227,111,0,0,185,17,18,2,5,0,0,0,0,0,0,0,0,227
81,"P.P.GAURI SHAHPUR",500,380,0,880,253,224,0,477,477,0,4,197,19,72,3,152,5,1,4,1,7,2,2,8,477
82,P.P.DIGHERA,657,492,0,1149,349,324,0,673,673,0,10,252,218,110,4,43,8,1,8,3,2,1,3,10,673
83,"P.P.RAMPUR,EAST",380,384,0,764,191,209,0,400,400,0,7,166,44,123,1,49,3,0,2,1,0,0,2,2,400
84,"P.P.RAMPUR,WEST",431,449,0,880,194,206,0,400,400,0,13,186,27,113,0,57,0,0,1,0,1,0,0,2,400
85,P.P.SURYPURA,603,469,0,1072,347,293,0,640,640,0,11,341,124,34,4,87,5,2,17,3,2,2,0,8,640
86,"PANCHAT BHAWAN DHASAKA",428,395,0,823,251,252,0,503,490,0,5,144,35,80,9,195,5,5,14,3,2,2,1,3,503
87,"JR.H.S.BADASARI JAGIR,NORTH",625,492,0,1117,243,279,0,522,522,0,10,225,22,110,1,57,1,3,87,5,0,0,1,0,522
88,"JR.H.S.BADASARI JAGIR,SOUTH",565,458,0,1023,266,263,0,529,529,0,12,203,229,12,0,39,5,0,15,4,1,1,1,7,529
89,"KANYA P.P.BADASARI JAGIR",494,363,0,857,234,198,0,432,432,0,16,292,23,11,2,17,3,1,61,2,2,0,0,2,432
90,"P.P.PANICHA,EAST",495,418,0,913,210,200,0,410,410,0,6,150,47,182,6,17,0,0,0,0,1,0,0,1,410
91,"P.P.PANICHA,WEST",387,319,0,706,206,217,0,423,423,0,7,130,194,45,3,33,1,0,1,2,2,2,0,3,423
92,P.P.CHAKFUL,490,414,0,904,201,201,0,402,402,0,3,16,32,315,1,33,0,0,1,0,0,0,0,1,402
93,P.P.MAHALIPUR,483,406,0,889,262,256,0,518,517,0,7,155,27,123,0,177,2,1,18,4,2,0,0,2,518
94,"P.P.BARAGON,EAST",719,571,0,1290,394,287,0,681,572,0,29,322,26,68,3,187,3,2,12,4,4,1,4,16,681
95,"P.P.BARAGON,WEST",670,536,0,1206,370,299,0,669,669,0,24,383,18,107,4,107,5,1,7,1,1,4,1,6,669
96,"P.P.BARAGON,MIDDLE",617,506,0,1123,332,262,0,594,584,0,33,393,102,38,3,4,1,0,3,1,6,2,1,7,594
97,"JR.H.S. BADAGAON, EAST",531,463,0,994,271,189,0,460,440,0,31,106,77,231,0,7,1,0,0,1,6,0,0,0,460
98,"P.P.AHIRAULI PANDEY",423,331,0,754,229,211,0,440,401,0,30,147,211,34,0,13,1,0,0,0,2,1,1,0,440
99,"P.P..JIGANI,EAST",802,674,0,1476,439,389,0,828,828,0,31,421,31,84,6,229,6,4,1,1,5,1,3,5,828
100,P.P.BASWARIA,525,422,0,947,249,233,0,482,482,0,10,84,13,93,5,255,5,1,6,1,3,1,0,5,482
101,P.P.BAHELIA,465,433,0,898,276,249,0,525,524,0,7,178,13,217,3,77,0,0,6,3,5,3,6,7,525
102,"PANCHAYAT BHAWAN KARMMAR",382,361,0,743,231,211,0,442,439,0,5,46,14,333,4,21,7,0,4,1,2,1,1,3,442
103,"P.P.KARMMAR,EAST",633,457,0,1090,290,231,0,521,425,0,10,243,46,19,1,191,4,2,0,1,0,0,3,1,521
104,"P.P.KARMMAR,WEST",751,664,0,1415,383,378,0,761,761,0,23,370,65,56,7,213,9,1,0,2,4,1,4,6,761
105,"P.P.GANDHINAGAR KARMMAR",554,428,0,982,336,271,0,607,607,0,27,194,15,216,4,140,4,0,0,0,1,1,2,3,607
106,"RASTRIY I.C.KARMMAR,WEST",602,498,0,1100,257,264,0,521,511,0,32,286,119,22,1,52,3,0,0,0,2,1,1,2,521
107,"RASTRIY I.C.KARMMAR,EAST",816,652,0,1468,320,353,0,673,645,0,20,273,194,30,4,132,6,0,0,1,1,1,4,7,673
108,P.P.TARDILA,247,204,0,451,140,138,0,278,264,0,3,119,11,132,0,7,0,0,1,0,1,1,0,3,278
109,P.P.DURGIPUR,393,332,0,725,173,149,0,322,315,0,32,73,98,72,3,34,1,2,2,0,1,1,1,2,322
110,P.P.DHANIDHARA,447,330,0,777,216,182,0,398,398,0,17,231,87,13,3,36,3,0,0,0,3,1,2,2,398
111,"P.P.BERUARBARI,EAST",920,698,0,1618,403,443,0,846,846,0,66,492,155,65,1,38,1,2,2,1,3,2,2,16,846
112,P.P.KARIHARA,203,168,0,371,121,86,0,207,205,0,8,177,14,6,0,1,0,0,0,0,1,0,0,0,207
113,P.P.BARWAN,446,371,0,817,254,247,0,501,485,0,9,142,79,188,1,75,2,1,0,0,1,0,1,2,501
114,"P.P.SULTANPUR,EAST",433,391,0,824,236,202,0,438,432,0,15,208,79,75,2,43,1,2,2,0,2,1,3,5,438
115,"P.P.SULTANPUR,WEST",605,503,0,1108,321,330,0,651,651,0,6,62,193,106,8,245,4,5,1,0,10,2,0,9,651
116,P.P.BANSPALI,146,129,0,275,94,98,0,192,192,0,2,58,3,42,1,77,0,1,3,0,2,1,0,2,192
117,P.P.KUMHIA,701,532,0,1233,391,334,0,725,725,0,16,277,41,90,7,277,0,0,1,2,8,0,3,3,725
118,"P.P.BHARAKHARA,EAST",649,532,0,1181,333,278,0,611,605,0,36,184,11,195,8,148,6,2,1,2,5,3,3,7,611
119,"P.P.BHARAKHARA,WEST",635,512,1,1148,370,282,0,652,652,0,21,267,281,51,3,22,1,0,2,0,0,1,1,2,652
120,P.P.JAINAGAR,362,315,0,677,218,213,0,431,390,0,10,58,81,168,6,99,1,0,0,2,3,1,2,0,431
121,"P.P.HARIPUR,EAST",558,468,0,1026,306,292,0,598,598,0,6,143,61,190,3,184,5,0,1,0,2,1,2,0,598
122,"P.P.HARIPUR,WEST",425,354,0,779,178,181,0,359,359,0,3,174,68,110,1,0,0,0,0,0,0,0,2,1,359
123,"P.P.BHOJPOUR MATHIA",399,350,0,749,205,195,0,400,400,0,34,215,38,65,1,34,3,0,0,1,1,3,0,5,400
124,"P.P.MATHIA BHOJPOUR",506,444,0,950,305,299,0,604,604,0,12,263,138,150,4,19,2,1,0,0,2,2,2,9,604
125,P.P.KARAMPUR,793,652,0,1445,429,416,0,845,845,0,8,352,209,168,3,89,2,4,0,0,4,2,1,3,845
126,"I.C.SUKHAPURA,NORTH",599,465,0,1064,330,262,0,592,589,0,7,157,122,146,6,125,5,2,2,2,7,2,2,7,592
127,"I.C.SUKHAPURA,NORTH-MIDDLE",495,420,0,915,254,221,0,475,475,0,19,314,30,97,4,6,2,0,1,0,0,0,0,2,475
128,"I.C.SUKHAPURA,MIDDLE",750,633,0,1383,360,290,0,650,490,0,27,430,60,93,3,20,6,1,1,0,2,2,2,3,650
129,"I.C.SUKHAPURA,MIDDLE",482,415,0,897,277,176,0,453,451,0,9,332,43,58,1,0,0,1,1,0,1,1,3,3,453
130,"I.C.SUKHAPURA,MIDDLE",507,441,0,948,250,201,0,451,451,0,29,239,43,23,1,105,2,1,0,0,1,0,1,6,451
131,"JR.H.S.SUKHAPURA,EAST",584,520,0,1104,283,257,0,540,513,0,9,305,28,85,5,92,2,0,2,1,1,1,2,7,540
132,"JR.H.S.SUKHAPURA,WEST",566,500,0,1066,317,253,0,570,470,0,19,343,36,91,3,67,3,0,0,0,2,0,3,3,570
133,"P.P.SUKHAPURA,EAST",658,610,0,1268,467,344,0,811,771,0,25,572,135,35,1,26,7,1,0,1,4,3,0,1,811
134,"P.P.SUKHAPURA,WEST",706,574,1,1281,339,285,0,624,621,0,25,99,188,250,7,28,4,4,1,3,4,3,3,5,624
135,"P.P.APAIL,NORTH",520,441,0,961,247,214,0,461,459,0,4,155,64,174,1,54,1,0,0,2,1,0,3,2,461
136,"P.P.APAIL,MIDDLE",594,489,0,1083,355,206,0,561,532,0,13,315,26,169,2,11,4,2,1,2,5,2,2,7,561
137,"P.P.APAIL,SOUTH",374,256,0,630,171,123,0,294,290,0,10,171,21,70,2,15,0,1,0,2,0,1,0,1,294
138,"APAIL, P.P. APAIL,NEW BUILDING",501,431,0,932,244,196,0,440,412,0,7,188,41,146,2,47,4,1,0,0,1,1,1,1,440
139,"SHRI RAMSARAN I.C.SHIVPUR,EAST",457,427,0,884,216,236,0,452,452,0,29,248,18,56,4,87,2,1,0,1,3,1,2,0,452
140,"SHRI RAMSARAN I.C.SHIVPUR,MIDDLE",379,284,0,663,191,180,0,371,371,0,17,143,129,30,3,35,3,0,3,0,5,1,2,0,371
141,"SHRI RAMSARAN I.C.SHIVPUR,WEST",711,615,0,1326,340,341,0,681,500,0,38,369,46,53,11,141,2,3,5,2,4,0,1,6,681
142,P.P.DATIVARH,381,298,0,679,173,163,0,336,321,0,11,236,35,44,2,1,1,1,1,0,2,0,1,1,336
143,P.P.MAHUI,320,245,0,565,186,171,0,357,357,0,16,55,11,100,6,152,1,1,6,0,3,1,1,4,357
144,P.P.KHADAILA,648,514,0,1162,330,300,0,630,528,0,27,435,52,54,1,34,1,0,2,0,5,4,11,4,630
145,P.P.BHAWARPUR,426,341,0,767,269,194,0,463,400,0,8,101,123,202,3,20,0,2,2,0,1,0,1,0,463
146,P.P.MIDDHA,661,577,0,1238,356,297,0,653,653,0,37,352,100,48,2,92,1,3,1,2,6,3,2,4,653
147,"P.P.SURYPURA,EAST",782,646,0,1428,345,318,0,663,662,0,21,332,16,89,4,189,3,0,4,0,5,0,0,0,663
148,"P.P.SURYPURA,MIDDLE",394,325,0,719,174,160,0,334,334,0,28,240,15,20,2,21,3,0,1,0,1,1,0,2,334
149,"P.P.SURYPURA,WEST",454,341,0,795,211,166,0,377,377,0,42,158,71,44,0,45,3,1,1,0,1,1,4,6,377
150,P.P.DELHUWA,429,359,0,788,218,211,0,429,408,0,4,241,50,107,2,19,0,1,0,0,3,1,1,0,429
151,P.P.JAGDISHPUR,231,210,0,441,187,149,0,336,333,0,8,218,38,7,6,42,2,0,0,0,3,1,2,9,336
152,P.P.ASEGA,590,527,0,1117,289,313,0,602,588,0,64,238,118,138,3,27,1,1,1,1,2,2,1,5,602
153,"NEW P.P. BABHANAULI",641,534,0,1175,318,284,0,602,602,0,67,273,71,50,3,108,7,8,1,4,2,2,3,3,602
154,"P.P.KAITHAWALI,SOUTH",495,460,0,955,231,214,0,445,445,0,19,275,66,25,2,47,5,1,0,0,0,0,0,5,445
155,"P.P.KATHAWALI,MIDDLE",326,263,0,589,139,123,0,262,197,0,3,109,42,33,1,66,3,1,1,1,1,0,0,1,262
156,"P.P.KAITHAWALI,NORTH",802,643,0,1445,384,404,0,788,768,0,46,329,47,81,3,239,6,2,2,2,8,5,4,14,788
157,"YAMUNA PRASAD I.C.NARANIPUR,EAST",477,390,0,867,245,224,0,469,469,0,18,133,44,26,3,215,10,0,4,1,6,3,0,6,469
158,"YAMUNA PRASAD I.C.NARANIPUR,MIDDLE",386,334,0,720,187,197,0,384,383,0,14,165,32,63,1,91,10,1,2,2,1,1,0,1,384
159,"YAMUNA PRASAD I.C.NARANIPUR,WEST",426,370,0,796,205,194,0,399,390,0,12,151,41,49,2,132,1,1,0,0,4,3,1,2,399
160,P.P.ASEGI,512,425,0,937,295,253,0,548,548,0,6,195,129,187,3,3,7,0,1,3,4,5,2,3,548
161,"P.P.MISHRAWALIA,NORTH",771,616,0,1387,352,289,0,641,600,0,36,288,98,95,1,113,4,1,1,1,2,0,1,0,641
162,"P.P.GANHABHEW,SOUTH",565,444,0,1009,252,229,0,481,481,0,4,82,17,143,9,197,5,1,3,1,7,1,4,7,481
163,"P.P.ADAR,EAST",742,571,0,1313,326,224,0,550,516,0,30,411,38,55,2,1,3,0,1,0,2,1,1,5,550
164,"P.P.ADAR,WEST",527,434,0,961,249,194,0,443,443,0,19,338,27,12,4,33,4,0,2,0,1,2,0,1,443
165,"P.P.DEODIH,EAST",713,564,0,1277,312,250,0,562,560,0,15,270,95,77,7,74,4,2,2,3,2,1,1,9,562
166,"P.P.DEODIH,WEST",511,352,0,863,195,160,0,355,300,0,9,179,43,23,0,92,1,1,1,1,3,0,1,1,355
167,"P.P.KEWATLIA KALA",576,429,0,1005,241,246,0,487,487,0,4,153,25,91,2,194,3,1,1,0,3,2,2,6,487
168,"P.P.KAKARKUNDA,EAST",658,523,0,1181,296,260,0,556,525,0,16,192,72,187,7,54,1,3,4,2,5,4,4,5,556
169,"P.P.KAKARKUNDA,WEST",270,195,0,465,130,147,0,277,267,0,1,16,11,165,1,67,2,1,3,0,2,0,2,6,277
170,"P.P.DUHIMUSI,EAST",366,276,0,642,167,177,0,344,341,0,4,173,49,13,5,92,1,1,1,0,1,1,0,3,344
171,"P.P.DUHIMUSI,WEST",671,523,0,1194,315,300,0,615,600,0,27,329,42,78,1,115,3,1,0,4,3,2,1,9,615
172,"P.P.KANAKPURA GRAM HARDATTPUR",428,391,0,819,221,212,0,433,433,0,14,171,118,88,6,9,1,2,2,1,5,2,4,10,433
173,P.P.DIWAKARPUR,176,144,0,320,100,103,0,203,203,0,0,13,16,15,3,154,0,0,0,0,2,0,0,0,203
174,"MAHARSHI RAMCHARAN S.S.SARANGPUR, EAST",267,180,0,447,23,25,0,48,48,0,3,25,5,12,1,0,0,0,0,0,1,0,0,1,48
175,"MAHARSHI RAMCHARAN S.S.SARANGPU,R EAST",377,333,0,710,229,218,0,447,447,0,6,84,173,150,4,5,2,0,5,1,4,4,1,8,447
176,"MAHARSHI RAMCHARAN S.S.SARANGPUR,WEST",769,659,0,1428,432,330,0,762,762,0,16,156,249,281,7,31,1,1,1,4,3,1,3,8,762
177,P.P.GODADHAPPA,705,597,0,1302,344,340,0,684,684,0,10,287,166,164,12,2,1,1,3,2,6,4,5,21,684
178,"JR.H.S.BANSDIH NEW BUILDING,EAST",573,482,1,1056,260,220,0,480,480,0,9,172,176,36,8,63,1,1,1,0,4,0,3,6,480
179,"JR.H.S.BANSDIH NEW BUILDING,MIDDLE",395,273,0,668,141,96,0,237,237,0,6,146,16,27,3,25,4,0,1,0,1,3,2,3,237
180,"JR.H.S.BANSDIH NEW BUILDING,MIDDLE",746,559,0,1305,371,234,0,605,590,0,74,357,40,72,3,41,4,0,1,0,4,1,2,6,605
181,"JR.H.S.BANSDIH NEW BUILDING,WEST",520,487,0,1007,263,245,0,508,508,0,24,373,23,76,1,4,1,0,1,1,1,0,0,3,508
182,"P.P.BANSDIH NO.1,WEST",336,277,0,613,148,107,0,255,248,0,16,160,26,16,1,21,3,1,1,0,1,2,1,6,255
183,"P.P.BANSDIH NO.1,WEST",703,568,0,1271,317,275,0,592,512,0,24,387,45,50,6,55,4,4,1,1,4,1,3,7,592
184,"P.P.BANSDIH NO.1,MIDDLE",385,368,3,756,240,234,0,474,472,0,23,168,69,68,6,122,2,0,2,1,3,0,4,6,474
185,"INTER COLLEGE BANSDIH,MIDDLE",763,631,0,1394,272,204,0,476,445,0,16,327,24,94,4,1,0,0,1,0,2,0,0,7,476
186,"INTER COLLEGE BANSDIH,MIDDLE",498,406,0,904,230,155,0,385,385,0,25,285,11,53,1,4,3,1,1,0,0,0,0,1,385
187,"INTER COLLEGE BANSDIH,MIDDLE",406,382,0,788,227,145,0,372,372,0,26,266,8,58,0,6,4,0,0,0,0,0,1,3,372
