"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KU. DEVENDRA SINGH YADAV","2 - NOOR MOHAMMAD KHAN","3 - RAJVEER SINGH RAJU BHAIYA","4 - TH. JOGINDRA SINGH BHADORIYA","5 - RAJENDRA","6 - VINAY","7 - THAKUR HEMENDRA VEER SINGH","8 - HANS  RAJ SINGH","9 - DANVEER","10 - RAKESH GANDHI","11 - RAJVEER SINGH","12 - None of the Above","Total Votes Secured"
58,"PANCHAYATGHAR NAUJARPUR",628,538,0,1166,322,243,0,565,320,0,475,3,71,2,0,1,0,3,0,4,1,5,565
59,P.P.BHURIGAWAN,872,703,0,1575,557,482,0,1039,34,0,255,75,670,10,0,1,1,3,3,7,4,10,1039
60,"P.P.PIDAURA R.N0-1",824,682,0,1506,520,414,0,934,45,0,64,140,706,9,0,0,1,2,0,5,3,4,934
61,"P.P.PIDAURA R.N0-2",294,255,0,549,188,180,0,368,355,0,23,24,311,3,0,0,0,0,0,2,3,2,368
62,"PANCHAYAT BHAWAN SARAY JARELIYA",578,519,0,1097,417,388,0,805,492,0,30,23,732,6,1,2,0,2,2,1,5,1,805
63,P.P.SAMASPUR,417,358,0,775,296,274,0,570,227,0,12,50,503,1,0,0,0,1,1,0,1,1,570
64,"J.H.SCH.TRILOKPUR R.N0-1",695,626,0,1321,505,392,0,897,888,0,140,71,661,9,1,1,0,0,0,9,2,3,897
65,"J.H.SCH.TRILOKPUR R.N0-2",680,566,0,1246,427,375,0,802,686,0,268,24,491,4,1,1,3,0,1,3,0,6,802
66,"P.P.LALPUR DEHAMAFI",423,363,0,786,282,247,0,529,1,0,22,98,387,9,0,2,1,1,0,3,3,3,529
67,P.P.KHAKRAI,824,735,0,1559,520,374,0,894,840,0,164,138,568,3,2,0,1,1,1,4,4,8,894
68,"P.P.BADAMPUR M0-HIMMATPUR KAKAMAI",721,668,0,1389,354,279,0,633,15,0,332,34,249,1,0,2,1,0,0,2,6,6,633
69,P.P.ADHAPUR,849,702,0,1551,503,345,0,848,29,0,163,85,565,15,1,1,0,2,0,2,7,7,848
70,P.P.BHADWAS,656,583,0,1239,297,212,0,509,90,0,39,180,269,3,0,4,0,1,0,9,4,0,509
71,"P.P.BADAMPUR M0 BHADWAS",298,234,0,532,162,132,0,294,95,0,2,81,206,2,0,1,0,0,0,1,1,0,294
72,"P.P.NAGLA GULAR",241,185,0,426,198,110,0,308,20,0,235,2,65,1,0,0,0,0,0,1,2,2,308
73,P.P.BHADUA,476,422,1,899,258,238,0,496,45,0,89,27,363,1,0,0,2,1,0,6,4,3,496
74,"P.P.BARAI R.N0-1",593,515,0,1108,354,221,0,575,1,0,305,4,245,3,0,0,0,2,1,8,3,4,575
75,"P.P.BARAI R.N0-2",440,358,0,798,168,120,0,288,131,0,84,58,124,2,0,1,2,1,0,3,8,5,288
76,P.P.GADUA,421,359,0,780,279,197,0,476,54,0,360,2,67,1,1,0,0,0,0,44,1,0,476
77,P.P.BAHTA,572,482,0,1054,330,258,0,588,1,0,304,3,260,0,0,0,0,2,1,5,6,7,588
78,"P.P.PUTHIYA M0-BARAI",581,498,0,1079,300,160,0,460,444,0,291,17,138,2,0,1,1,0,0,3,2,5,460
79,"P.P.BARA M0-BARAI",373,262,0,635,205,113,0,318,1,0,34,21,236,11,1,3,0,0,1,3,7,1,318
80,"P.P.DARABPUR M0-BARAI",657,571,0,1228,376,186,0,562,180,0,441,14,91,0,0,1,0,3,2,9,0,1,562
81,"P.P.BHADONGADHI M0-BARAI",322,287,0,609,219,144,0,363,47,0,252,1,109,1,0,0,0,0,0,0,0,0,363
82,"P.P.MUHIUDDINPUR R.NO-1",537,439,0,976,256,157,0,413,111,0,132,84,180,1,1,1,1,1,3,2,5,2,413
83,"P.P.MUHIUDDINPUR R.NO-2",424,337,0,761,226,128,0,354,2,0,201,0,146,1,0,1,0,0,0,2,3,0,354
84,"P.P.KANCHANGADHI M0-MUHIUDDINPUR",472,381,0,853,333,205,0,538,21,0,366,20,142,1,0,0,0,2,0,2,1,4,538
85,P.P.KARUAMAI,342,292,0,634,233,206,0,439,2,0,47,4,373,4,0,0,0,1,0,5,3,2,439
86,"P.P.BAHADURPUR M0-KARUAMAI",390,329,0,719,276,233,0,509,273,0,227,5,271,0,0,0,1,0,0,1,3,1,509
87,P.P.PACHPEDA,551,458,0,1009,325,259,0,584,1,0,255,90,207,1,0,1,1,4,2,10,3,10,584
88,J.H.SCH.MUHARA,331,278,0,609,199,168,0,367,10,0,149,55,153,4,0,0,0,0,0,2,1,3,367
89,P.P.MOHKAMPUR,324,277,0,601,182,140,0,322,214,0,171,1,140,2,0,0,0,0,1,6,1,0,322
90,"P.P.KAPRAITA R.NO-1",756,628,0,1384,366,219,0,585,32,0,275,71,225,4,1,1,1,0,0,1,2,4,585
91,"P.P.KAPRAITA R.NO-2",311,268,0,579,121,56,0,177,9,0,59,32,81,0,0,0,0,1,0,4,0,0,177
92,P.P.KAJIKHEDA,397,318,0,715,201,121,0,322,1,0,208,34,70,1,1,0,1,0,1,3,2,1,322
93,P.P.AKHTAULI,328,294,0,622,236,167,0,403,28,0,211,17,159,1,1,2,0,2,3,3,1,3,403
94,"P.P.AKHTAULI NAYA BANS",668,589,0,1257,435,297,0,732,190,0,613,59,55,1,1,0,0,1,0,1,1,0,732
95,"PANCHAYATGHAR AKHTAULI NAYA BANS",350,318,0,668,266,210,0,476,1,0,378,11,77,2,0,0,0,0,0,7,1,0,476
96,"P.P.RATANPUR MAFI",284,272,0,556,246,210,0,456,1,0,418,1,36,0,0,0,0,0,0,0,1,0,456
97,"P.P.SIRSA TIPPU",459,399,0,858,296,234,0,530,365,0,51,6,447,6,1,1,1,6,0,3,3,5,530
98,P.P.NAGLA.GANGARAM,255,238,0,493,180,135,0,315,2,0,4,13,290,4,0,2,0,0,0,1,0,1,315
99,P.P.SAUSPUR,520,446,0,966,332,206,0,538,1,0,370,0,151,6,1,0,0,1,0,5,2,2,538
100,P.P.SINGHAWALI,264,250,0,514,184,148,0,332,4,0,69,1,254,4,0,0,1,0,0,0,1,2,332
101,P.P.ALAMPUR,355,290,0,645,111,164,0,275,20,0,122,1,140,1,1,0,1,1,0,2,1,5,275
102,"P.P.RAMAI TODAR SHAH",280,254,0,534,154,128,0,282,3,0,69,1,196,1,0,1,0,8,0,2,1,3,282
103,P.P.HEERAPUR,506,448,0,954,357,248,0,605,31,0,487,18,78,1,0,1,2,1,0,2,2,13,605
