"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AYESHA ISLAM","2 - UMESH GAUTAM","3 - PRAVEEN SINGH ARON","4 - MASSARAT WARSI PAPPU BHAI","5 - SANTOSH KUMAR GANGWAR","6 - ASLAM ADVOCATE","7 - LAEEK AHMAD","8 - SUNIL KUMAR","9 - KAMAL KISHORE ENGINEER","10 - JAVED KHAN","11 - NETRAM","12 - MANOJ VIKAT","13 - LOTAN SINGH PATEL","14 - SAYAD RASHID ALI","15 - None of the Above","Total Votes Secured"
11,"SHUSHILA GIRISH U0 M0 BAREILLY KAMRA NO.10",565,508,0,1073,274,251,0,525,525,0,12,26,37,2,442,0,0,1,0,0,0,2,0,0,3,525
12,"SHUSHILA GIRISH U0 M0 BAREILLY KAMRA NO.7",640,504,0,1144,260,210,0,470,470,0,25,28,72,3,329,0,0,7,0,0,1,0,0,1,4,470
13,"SHUSHILA GIRISH U0 M0 BAREILLY KAMRA NO.9",573,550,0,1123,269,237,0,506,506,0,33,15,52,0,389,0,0,10,0,0,0,0,0,0,7,506
14,"HARET MAN COLLGE KAMRA NO. 4",532,482,0,1014,175,141,0,316,316,0,8,3,45,2,251,0,0,5,0,0,0,1,0,0,1,316
15,"HARET MAN COLLGE KAMRA NO. 5",814,685,0,1499,353,308,0,661,661,0,6,24,41,3,579,0,0,4,0,0,0,0,0,0,4,661
16,"HARET MAN COLLGE KAMRA NO. 6",287,208,0,495,141,104,0,245,245,0,2,14,33,1,189,0,0,6,0,0,0,0,0,0,0,245
17,"GULABRAI INTER COLLEGE KAMRA NO. 1",459,405,0,864,259,194,0,453,453,0,348,6,25,1,66,0,0,1,2,0,0,1,0,0,3,453
18,"GULABRAI INTER COLLEGE KAMRA NO. 8",491,450,0,941,280,244,0,524,524,0,179,9,41,5,282,1,1,1,1,2,0,0,0,0,2,524
19,"GULABRAI INTER COLLEGE KAMRA NO. 2",529,445,0,974,313,247,0,560,560,0,351,11,41,2,145,0,0,1,1,1,0,0,0,2,5,560
20,"GULABRAI INTER COLLEGE KAMRA NO.10",497,456,0,953,286,246,0,532,532,0,217,2,31,0,270,0,0,3,0,0,0,2,0,1,6,532
21,"BRIJBHUSHAR LAL PABLIC SCHOOL KAMRA NO.1",872,682,0,1554,451,298,0,749,749,0,314,42,85,1,303,2,0,0,0,0,0,0,0,1,1,749
22,"BRIJBHUSHAR LAL PABLIC SCHOOL KAMRA NO.2",874,655,0,1529,530,360,0,890,890,0,339,53,62,2,419,4,0,1,0,0,0,1,1,2,6,890
23,"GULABRAI INTER COLLEGE KAMRA NO.3",637,525,0,1162,372,276,0,648,648,0,241,23,127,1,244,1,0,2,0,1,0,0,2,2,4,648
24,"GULABRAI INTER COLLEGE KAMRA NO.4",508,405,0,913,312,262,0,574,574,0,433,34,84,0,14,0,0,0,1,0,3,0,0,0,5,574
25,"GULABRAI INTER COLLEGE KAMRA NO.5",597,505,0,1102,280,227,0,507,207,0,34,6,91,3,368,2,0,0,0,0,0,0,0,0,3,507
26,"GULABRAI INTER COLLEGE KAMRA NO. 1",844,677,0,1521,523,409,0,932,932,0,187,330,32,1,362,3,0,0,1,0,0,1,1,3,11,932
27,"GULABRAI INTER COLLEGE KAMRA NO. 2",817,666,0,1483,490,353,0,843,843,0,308,44,53,1,419,0,0,3,1,2,0,1,2,3,6,843
28,"GULABRAI INTER COLLEGE PASCHIM BLOK KAMRA NO. 6",623,471,0,1094,359,253,0,612,612,0,134,8,47,3,417,0,0,1,0,0,0,0,1,1,0,612
29,"GULABRAI INTER COLLEGE PASCHIM BLOK KAMRA NO. 9",355,334,0,689,235,229,0,464,464,0,31,31,31,2,355,0,0,10,0,0,0,0,0,0,4,464
30,"GULABRAI INTER COLLEGE PASCHIM BLOK KAMRA NO. 7",688,564,0,1252,326,285,0,611,611,0,56,16,33,2,489,1,0,9,1,0,0,0,1,0,3,611
31,"BRIJBHUSHAR LAL PABLIC SCHOOL KAMRA NO.3",460,367,1,828,279,207,0,486,486,0,210,27,41,1,201,0,0,1,0,0,0,1,1,1,2,486
32,"BRIJBHUSHAR LAL PABLIC SCHOOL KAMRA NO.4",683,538,0,1221,433,272,0,705,705,0,213,7,42,2,433,0,0,1,0,2,0,1,0,2,2,705
33,"BRIJBHUSHAR LAL PABLIC SCHOOL KAMRA NO.5",621,562,0,1183,312,237,0,549,549,0,3,2,32,3,501,0,0,3,1,0,2,0,0,0,2,549
34,"NEHRU C0 ACEDMY KAMRA NO.1",449,391,0,840,265,215,0,480,480,0,7,9,74,3,369,3,0,8,1,0,1,0,1,3,1,480
35,"NEHRU C0 ACEDMY KAMRA NO.2",393,352,0,745,266,218,0,484,484,0,23,5,51,6,394,0,0,0,0,2,2,0,0,0,1,484
36,"NEHRU CHI. ACEDAMY GULABNAGAR KAMRA NO. 1",724,632,0,1356,400,280,0,680,680,0,104,21,166,3,380,2,0,3,1,0,0,0,0,0,0,680
37,"DRAUPADI KANYA INTER COLLEGE JATWARA KAMRA NO.1",710,588,0,1298,439,338,0,777,777,0,81,19,84,8,562,0,0,12,3,1,2,1,1,0,3,777
38,"DRAUPADI KANYA INTER COLLEGE JATWARA KAMRA NO.2",381,307,1,689,260,201,0,461,461,0,31,15,96,4,303,5,0,1,0,0,2,0,0,2,2,461
39,"DRAUPADI KANYA INTER COLLEGE JATWARA KAMRA NO.3",537,436,0,973,372,272,0,644,644,0,83,69,30,8,433,3,1,0,2,0,1,1,4,1,8,644
40,"SANATAN DHARAM PRATHMIC PATHSHALA BAJARIYA MOTILAL KAMRA NO. 1",332,278,0,610,241,191,0,432,432,0,30,0,38,2,358,0,0,1,0,0,0,0,0,1,2,432
41,"SANATAN DHARAM PRATHMIC PATHSHALA BAJARIYA MOTILAL KAMRA NO. 2",315,240,0,555,154,113,0,267,267,0,88,4,55,3,109,1,0,4,0,1,1,1,0,0,0,267
42,"SANATAN DHARAM PRATHMIC PATHSHALA BAJARIYA MOTILAL KAMRA NO. 3",757,595,0,1352,452,291,0,743,743,0,173,13,187,6,345,2,0,5,1,1,2,1,1,1,5,743
43,"DRAUPADI KANYA INTER COLLEGE JATWARA KAMRA NO.4",733,586,0,1319,557,283,0,840,840,0,202,87,51,6,477,5,1,2,0,1,2,1,0,0,5,840
44,"NAVEEN PRIMARY SCHOOL  SAHUKARA KAMRA NO. 1",609,573,0,1182,391,345,0,736,736,0,17,16,104,5,582,0,0,4,0,3,1,0,0,0,4,736
45,"NAVEEN PRIMARY SCHOOL  SAHUKARA KAMRA NO. 2",539,511,0,1050,364,269,0,633,633,0,21,15,125,4,457,1,0,4,0,1,0,1,0,0,4,633
46,"SANATAM DHARAM JUNIYAR HIGHSCHOOL SAHUKARA KAMRA NO. 1",422,365,0,787,292,200,0,492,492,0,3,5,68,1,407,0,0,6,0,0,0,0,1,0,1,492
47,"SANATAM DHARAM JUNIYAR HIGHSCHOOL SAHUKARA KAMRA NO. 2",572,504,0,1076,330,260,0,590,590,0,2,6,67,4,508,0,0,1,0,0,0,0,1,0,1,590
48,"PRIMARY  PATHSHALA JAKATI MOHALLA KAMRA NO. 1",467,413,0,880,325,229,0,554,554,0,79,5,115,2,345,0,0,2,1,0,1,1,0,0,3,554
49,"PRIMARY  PATHSHALA JAKATI MOHALLA KAMRA NO. 2",538,485,0,1023,380,304,0,684,684,0,3,13,38,1,619,0,0,4,0,1,0,2,0,0,3,684
50,"PRIMARY  PATHSHALA JAKATI MOHALLA KAMRA NO. 3",503,466,0,969,310,258,0,568,568,0,39,7,124,3,390,0,0,3,0,0,1,0,0,0,1,568
51,"LAKSHMINARAYAN INTER COLLEGE, BAJARIYA PURANMAL, GALI NAWABAN KAMRA NO. 1",431,346,0,777,289,216,0,505,505,0,50,4,111,2,333,0,0,0,1,0,1,0,0,1,2,505
52,"LAKSHMINARAYAN INTER COLLEGE, BAJARIYA PURANMAL, GALI NAWABAN KAMRA NO. 2",518,424,0,942,291,231,0,522,522,0,71,3,103,2,335,0,1,1,0,1,1,0,0,0,4,522
53,"LAKSHMINARAYAN INTER COLLEGE, BAJARIYA PURANMAL, GALI NAWABAN KAMRA NO. 3",503,389,0,892,299,199,0,498,498,0,77,8,180,2,225,0,0,0,1,0,0,0,0,0,5,498
54,"BRAJBHUSHAN LAL PUBLIC SCHOOL CHAUDHARY MOHALLA, BANKHANA",590,526,2,1118,394,290,0,684,684,0,141,8,136,2,387,0,0,5,2,0,0,1,0,0,2,684
55,"BRAJBHUSHAN LAL PUBLIC SCHOOL CHAUDHARY MOHALLA, BANKHANA KAMRA NO. 7",700,562,0,1262,400,293,0,693,693,0,67,12,182,4,419,0,0,5,2,0,0,1,1,0,0,693
56,"BRAJBHUSHAN LAL PUBLIC SCHOOL CHAUDHARY MOHALLA, BANKHANA KAMRA NO. 8",753,606,0,1359,445,299,0,744,744,0,69,24,109,6,526,0,0,5,0,1,1,0,2,0,1,744
57,"KUWAR DAYA SHANKAR INTER COLLEGE, CHAHBAI KAMRA NO, 1",421,354,0,775,281,217,0,498,498,0,7,4,37,1,443,0,0,2,0,0,0,0,0,0,4,498
58,"KUWAR DAYA SHANKAR INTER COLLEGE, CHAHBAI KAMRA NO, 2",330,281,0,611,211,174,0,385,385,0,1,2,28,1,342,2,0,7,0,0,0,0,0,0,2,385
59,"KUWAR DAYA SHANKAR INTER COLLEGE, CHAHBAI KAMRA NO, 3",755,618,0,1373,533,374,0,907,907,0,276,11,139,5,472,0,0,2,0,0,0,0,0,0,2,907
60,"KUWAR DAYA SHANKAR INTER COLLEGE, CHAHBAI KAMRA NO, 4",802,667,0,1469,506,396,0,902,902,0,88,4,56,2,739,3,0,5,1,1,0,1,1,0,1,902
61,"AGARSEN PUBLIC SCHOOL BAJARIYA PURANMAL",564,458,0,1022,385,304,0,689,689,0,4,5,32,5,633,0,0,1,0,1,2,0,0,0,6,689
62,"SHRI AGARSEN PUBLIC SCHOOL, BAJARIYA PURANMAL KAMRA NO. 2",566,529,0,1095,367,311,0,678,678,0,61,8,76,5,507,0,0,16,0,0,2,1,1,0,1,678
63,"BALIKA JUNIYAR HIGH SCHOOL KOHARAPEER KAMRA NO. 1",833,688,0,1521,527,365,0,892,892,0,250,20,188,7,409,0,1,6,4,1,0,1,1,0,4,892
64,"BALIKA JUNIYAR HIGH SCHOOL KOHARAPEER KAMRA NO. 2",490,457,0,947,310,250,0,560,560,0,51,7,87,4,405,0,0,3,0,0,0,1,1,0,1,560
65,"HAFIZ SIDDKI PANJABI HIGH SCHOOL, ZAKHEERA",572,437,0,1009,326,194,0,520,520,0,381,24,57,31,16,0,0,2,1,0,0,2,0,2,4,520
66,"HAFIZ SIDDKI PANJABI HIGH SCHOOL, ZAKHEERA KAMRA NO. 5",328,271,0,599,192,130,0,322,322,0,203,25,58,4,28,0,0,0,0,0,0,0,1,2,1,322
67,"HAFIZ SIDDKI PANJABI HIGH SCHOOL, ZAKHEERA KAMRA NO. 2",769,638,0,1407,511,309,0,820,820,0,510,76,157,4,47,3,0,6,1,0,0,0,2,8,6,820
68,"HAFIZ SIDDKI PANJABI HIGH SCHOOL, ZAKHEERA KAMRA NO. 3",702,593,0,1295,397,204,0,601,601,0,275,31,225,6,49,1,0,4,0,0,1,1,1,5,2,601
69,"TILAK INTER COLLEGE, KILA KAMRA NO. 3",868,631,0,1499,416,241,0,657,657,0,423,22,190,1,9,0,0,3,3,0,1,0,0,0,5,657
70,"TILAK INTER COLLEGE, KILA KAMRA NO. 4",472,354,0,826,254,127,0,381,381,0,250,11,88,1,24,2,0,2,0,0,0,1,0,0,2,381
71,"TILAK INTER COLLEGE, KILA KAMRA NO. 5",821,604,0,1425,333,158,0,491,491,0,354,24,80,4,23,0,0,3,0,0,1,0,0,1,1,491
72,"TILAK INTER COLLEGE, KILA KAMRA NO. 6",745,576,0,1321,337,168,0,505,505,0,309,42,125,5,15,0,0,6,1,0,0,0,0,0,2,505
73,"TILAK INTER COLLEGE, KILA KAMRA NO. 7",676,531,0,1207,283,164,0,447,447,0,59,10,182,3,187,0,0,0,1,1,2,0,1,1,0,447
74,"TILAK INTER COLLEGE, KILA KAMRA NO. 8",336,246,0,582,170,96,0,266,266,0,87,30,132,2,6,0,0,7,0,1,0,0,0,0,1,266
75,"TILAK INTER COLLEGE, KILA KAMRA NO. 9",626,537,1,1164,305,166,0,471,471,0,159,69,220,3,12,2,0,0,1,0,0,0,0,4,1,471
76,"TILAK INTER COLLEGE, KILA KAMRA NO. 10",540,421,0,961,302,175,0,477,477,0,106,15,196,2,151,0,0,4,0,1,1,1,0,0,0,477
77,"HAFIZ SIDDKI PANJABI HIGH SCHOOL, ZAKHEERA KAMRA NO. 4",586,526,0,1112,326,199,0,525,525,0,90,12,228,3,189,0,0,2,0,0,0,0,0,0,1,525
78,"EETO WALI, DHARAMSHALA, ALAMGIRI GANJ KAMRA NO. 2",490,454,0,944,287,250,0,537,537,0,26,5,60,3,438,0,0,1,1,0,0,1,0,0,2,537
79,"EETO WALI, DHARAMSHALA, ALAMGIRI GANJ KAMRA NO. 3",735,631,0,1366,419,327,0,746,746,0,6,18,41,7,667,1,0,4,0,1,0,0,0,0,1,746
80,"EETO WALI, DHARAMSHALA, ALAMGIRI GANJ  HALL ME",726,619,0,1345,406,399,0,805,805,0,80,13,107,2,582,2,0,4,1,1,3,2,1,0,7,805
81,"EETO WALI, DHARAMSHALA  NAYA TOLA ALAMGIRI GANJ HALL M",143,133,0,276,77,68,0,145,145,0,19,2,16,0,107,0,0,0,0,0,1,0,0,0,0,145
82,"PRIMARY PATHSHALA PURANI KOTWALI  FARRASHI TOLA",638,519,0,1157,332,262,0,594,594,0,125,15,121,0,325,2,2,2,0,0,0,0,1,0,1,594
83,"JUNIYAR BESIC SCHOOL KANYA PATHSHALA SHAHBAD",427,394,0,821,283,227,0,510,510,0,53,10,109,2,331,1,0,3,0,0,1,0,0,0,0,510
84,"JUNIYAR BESIC SCHOOL KANYA PATHSHALA SHAHBAD KAMRA NO. 2",701,571,0,1272,480,328,0,808,808,0,377,7,353,5,58,0,0,0,0,0,0,0,0,1,7,808
85,"KALAKENDRA BALIKA INRER COLLEGE SHAHBAD KAMRA NO. 1",389,342,0,731,165,130,0,295,295,0,62,5,116,3,105,1,0,1,1,0,0,0,0,1,0,295
86,"KALAKENDRA BALIKA INRER COLLEGE SHAHBAD KAMRA NO. 6",349,311,0,660,163,129,0,292,292,0,116,13,105,1,56,0,0,0,0,0,0,0,0,0,1,292
87,"KALAKENDRA BALIKA INRER COLLEGE SHAHBAD KAMRA NO. 2",540,428,0,968,312,201,0,513,513,0,310,8,53,0,132,0,0,5,1,0,0,0,1,1,2,513
88,"KALAKENDRA BALIKA INRER COLLEGE SHAHBAD KAMRA NO. 3",445,425,0,870,241,229,0,470,470,0,196,6,46,0,219,0,0,1,0,1,0,0,0,0,1,470
89,"KALAKENDRA BALIKA INRER COLLEGE SHAHBAD KAMRA NO. 4",434,388,0,822,258,203,0,461,461,0,9,13,44,1,379,1,1,5,0,0,4,0,0,0,4,461
90,"KALAKENDRA BALIKA INRER COLLEGE SHAHBAD KAMRA NO. 7",425,380,0,805,240,172,0,412,412,0,129,15,81,1,180,0,0,3,0,1,0,0,0,1,1,412
91,"KALAKENDRA BALIKA INRER COLLEGE SHAHBAD KAMRA NO 5",584,518,0,1102,331,214,0,545,545,0,136,24,301,1,82,0,0,1,0,0,0,0,0,0,0,545
92,"MAHOHAR BHUSHAN INTER COLLEGE TIBRI PREMNAGAR",679,575,0,1254,391,321,0,712,712,0,4,22,43,3,622,0,1,4,1,1,0,1,0,2,8,712
93,"MANOHAR BHUSHAN INTER COLLEGE TIBRI PREMNAGAR KAMRA NO 2",492,425,0,917,259,226,0,485,485,0,2,6,36,2,432,0,0,3,0,0,1,0,0,0,3,485
94,"MANOHAR BHUSHAN INTER COLLEGE TIBRI PREMNAGAR KAMRA NO 3",529,499,0,1028,264,246,0,510,510,0,5,9,38,2,444,0,0,5,0,0,0,1,1,1,4,510
95,"MANOHAR BHUSHAN INTER COLLEGE TIBRI PREMNAGAR KAMRA NO 4",497,449,1,947,277,244,0,521,521,0,4,12,47,1,447,0,0,7,0,0,0,0,0,0,3,521
96,"MANOHAR BHUSHAN INTER COLLEGE TIBRI PREMNAGAR KAMRA NO 5",482,409,0,891,241,212,0,453,453,0,3,7,32,3,392,1,0,11,0,1,0,1,0,0,2,453
97,"MANOHAR BHUSHAN INTER COLLEGE TIBRI PREMNAGAR KAMRA NO 6",81,90,0,171,50,55,0,105,105,0,0,7,5,1,91,0,0,0,0,0,0,0,0,0,1,105
98,"MANOHAR BHUSHAN INTER COLLEGE TIBRI PREMNAGAR KAMRA NO 7",523,521,0,1044,264,253,0,517,517,0,2,30,32,1,442,1,0,6,0,0,0,0,0,0,3,517
99,"MANOHAR BHUSHAN INTER COLLEGE TIBRI PREMNAGAR KAMRA NO 8",608,593,0,1201,344,331,0,675,675,0,4,11,51,2,589,0,0,12,1,0,0,0,0,0,5,675
100,"MANOHAR BHUSHAN INTER COLLEGE TIBRI PREMNAGAR KAMRA NO 9",642,587,0,1229,413,374,0,787,787,0,7,36,52,2,671,0,0,16,3,0,0,0,0,0,0,787
101,"MANOHAR BHUSHAN INTER COLLEGE TIBRI PREMNAGAR KAMRA NO 10",539,444,0,983,209,181,0,390,390,0,2,24,22,1,328,0,0,9,1,0,1,0,0,0,2,390
102,"SURAJBHAN PUBLIC SCHOOL  RAJENDRA NAGAR PREMNAGAR KAMRA NO. 1",542,493,0,1035,216,248,0,464,464,0,9,79,40,4,326,0,0,2,0,0,1,0,0,0,3,464
103,"SURAJBHAN PUBLIC SCHOOL  RAJENDRA NAGAR PREMNAGAR KAMRA NO. 2",472,407,0,879,208,190,0,398,398,0,1,61,50,2,277,0,1,5,0,0,0,0,0,1,0,398
104,"SURAJBHAN PUBLIC SCHOOL  RAJENDRA NAGAR PREMNAGAR KAMRA NO. 3",786,700,0,1486,420,365,0,785,785,0,10,16,76,1,662,2,0,17,0,0,0,0,0,0,1,785
105,"SARASWATI VIDYA MANDIR BRAJLOK COLONY PREMNAGAR KAMRA NO.",581,502,0,1083,243,234,0,477,477,0,11,13,15,4,422,1,0,2,1,0,3,3,0,0,2,477
106,"SARASWATI VIDYA MANDIR BRAJLOK COLONY PREMNAGAR KAMRA NO. 2",529,468,0,997,296,234,0,530,530,0,9,6,18,2,482,2,0,10,0,1,0,0,0,0,0,530
107,"SARASWATI VIDYA MANDIR BRAJLOK COLONY PREMNAGAR KAMRA NO. 3",627,552,0,1179,361,314,0,675,675,0,6,11,38,3,601,0,0,7,0,2,1,1,1,1,3,675
108,"SARASWATI VIDYA MANDIR BRAJLOK COLONY PREMNAGAR KAMRA NO. 4",479,403,0,882,195,174,0,369,369,0,6,5,23,2,318,0,0,11,1,0,0,0,0,0,3,369
109,"BANKE BIHARI COMNUNITY HALL RAJENDRA NAGAR KAMRA NO. 1",560,450,0,1010,342,230,0,572,572,0,3,21,63,0,474,0,0,6,0,0,0,0,1,0,4,572
110,"BANKE BIHARI COMNUNITY HALL RAJENDRA NAGAR KAMRA NO. 2",502,482,0,984,234,211,0,445,445,0,10,23,50,1,354,0,0,4,0,0,0,0,0,1,2,445
111,"BANKE BIHARI COMNUNITY HALL RAJENDRA NAGAR KAMRA NO. 3",597,537,0,1134,298,253,0,551,551,0,3,19,40,3,474,0,0,9,0,0,0,0,0,0,3,551
112,"BANKE BIHARI COMNUNITY HALL RAJENDRA NAGAR KAMRA NO. 4",827,701,0,1528,388,331,0,719,719,0,12,27,58,4,598,0,0,10,0,1,0,0,0,0,9,719
113,"WUDRO SINIYAR SECENDRY SCHOOL RAJENDRA NAGAR",681,618,0,1299,391,352,0,743,743,0,19,39,82,4,586,2,0,8,0,0,0,0,0,1,2,743
114,"BANKE BIHARI COMNUNITY HALL RAJENDRA NAGAR KAMRA NO. 5",611,464,0,1075,269,220,0,489,489,0,12,11,37,3,410,3,0,4,4,1,0,0,0,1,3,489
115,"BANKE BIHARI COMNUNITY HALL RAJENDRA NAGAR KAMRA NO. 8",378,381,0,759,201,192,0,393,393,0,7,18,22,1,341,0,0,1,0,0,0,0,0,0,3,393
116,"BANKE BIHARI COMNUNITY HALL RAJENDRA NAGAR KAMRA NO. 6",417,407,0,824,187,190,0,377,377,0,8,7,26,0,330,1,1,3,1,0,0,0,0,0,0,377
117,"BANKE BIHARI COMNUNITY HALL RAJENDRA NAGAR KAMRA NO. 5",408,348,0,756,178,142,0,320,320,0,2,28,29,0,256,0,0,4,0,0,0,0,0,0,1,320
118,"SURAJBHAN KANYA INTER COLLEGE RAJENDRA KAMRA NO.1",639,588,0,1227,316,283,0,599,599,0,10,35,79,1,457,0,1,12,0,0,0,0,0,0,4,599
119,"SURAJBHAN KANYA INTER COLLEGE RAJENDRA KAMRA NO.2",663,553,0,1216,296,303,0,599,599,0,8,54,61,0,471,0,0,3,0,0,0,0,0,0,2,599
120,"SURAJBHAN KANYA INTER COLLEGE RAJENDRA KAMRA NO.3",510,543,0,1053,242,243,0,485,485,0,5,19,65,2,386,0,0,5,0,0,0,0,1,0,2,485
121,"SURAJBHAN KANYA INTER COLLEGE RAJENDRA KAMRA NO.10",548,494,0,1042,230,230,0,460,460,0,7,25,50,2,360,0,0,10,0,0,0,0,0,1,5,460
122,"SURAJBHAN KANYA INTER COLLEGE RAJENDRA KAMRA NO.4",636,535,0,1171,277,210,0,487,487,0,13,10,55,3,395,2,0,9,0,0,0,0,0,0,0,487
123,"SURAJBHAN KANYA INTER COLLEGE RAJENDRA KAMRA NO.5",611,557,0,1168,244,239,0,483,483,0,0,43,50,1,381,2,0,3,0,0,0,0,0,1,2,483
124,"SURAJBHAN KANYA INTER COLLEGE RAJENDRA KAMRA NO.6",726,671,0,1397,282,269,0,551,551,0,8,18,69,3,441,0,0,9,0,0,0,0,0,0,3,551
125,"SURAJBHAN KANYA INTER COLLEGE RAJENDRA KAMRA NO.7",633,565,0,1198,300,324,0,624,624,0,22,26,94,4,468,1,0,5,0,0,0,0,2,0,2,624
126,"SURAJBHAN KANYA INTER COLLEGE RAJENDRA KAMRA NO.8",360,290,0,650,159,141,0,300,300,0,0,48,44,5,199,2,0,1,1,0,0,0,0,0,0,300
127,"SURAJBHAN KANYA INTER COLLEGE RAJENDRA KAMRA NO.9",394,353,0,747,131,93,0,224,224,0,9,17,20,1,172,0,0,4,0,0,0,1,0,0,0,224
128,"MAHAVEER KANYA INTER COLLEGE  BHUR",455,360,0,815,244,199,0,443,443,0,47,1,40,5,345,1,0,2,0,0,0,0,1,0,1,443
129,"MAHAVEER KANYA INTER COLLEGE  BHUR KAMRA NO 6",404,384,0,788,246,207,0,453,453,0,12,5,54,0,378,1,0,1,0,0,0,0,0,0,2,453
130,"MAHAVEER KANYA INTER COLLEGE  BHUR KAMRA NO, 2",693,592,0,1285,375,308,0,683,683,0,40,15,138,4,465,2,0,10,3,1,0,1,2,0,2,683
131,"MAHAVEER KANYA INTER COLLEGE  BHUR KAMRA NO 5",235,183,0,418,106,65,0,171,171,0,38,5,87,4,31,0,0,1,1,1,0,0,0,1,2,171
132,"MAHAVEER KANYA INTER COLLEGE  BHUR KAMRA NO 3",443,344,0,787,242,145,0,387,387,0,126,4,130,1,122,0,0,1,0,0,0,0,0,1,2,387
133,"MAHAVEER KANYA INTER COLLEGE  BHUR KAMRA NO 7",460,368,0,828,262,177,0,439,436,0,123,19,133,2,150,0,1,3,2,0,0,3,0,0,3,439
134,"RAGHUVEER SAHAY ADARSH VIDYAPITH BHUR KAMRA NO. 1",535,512,0,1047,224,217,0,441,441,0,113,4,28,0,292,0,0,3,0,0,0,0,0,0,1,441
135,"RAGHUVEER SAHAY ADARSH VIDYAPITH BHUR KAMRA NO. 2",565,467,0,1032,293,221,0,514,514,0,35,1,40,2,424,0,0,5,0,0,0,2,1,0,4,514
136,"RAGHUVEER SAHAY ADARSH VIDYAPITH BHUR KAMRA NO. 3",520,451,0,971,285,223,0,508,508,0,73,13,22,1,389,2,0,2,0,0,0,2,0,1,3,508
137,"BHUR KANYA DIGREE COLLEGE BRAHAMPURA KANOON GOYAN KAMRA NO. 1",473,413,0,886,213,170,0,383,383,0,2,6,12,0,361,0,0,0,0,0,0,0,0,0,2,383
138,"BHUR KANYA DIGREE COLLEGE BRAHAMPURA KANOON GOYAN KAMRA NO. 2",375,347,0,722,164,161,0,325,325,0,0,1,8,0,310,2,0,2,1,0,0,0,0,0,1,325
139,"BHUR KANYA DIGREE COLLEGE BRAHAMPURA KANOON GOYAN KAMRA NO. 3",386,304,0,690,192,162,0,354,354,0,2,6,17,0,317,1,0,7,0,0,0,0,0,0,4,354
140,"BHUR KANYA DIGREE COLLEGE BRAHAMPURA KANOON GOYAN KAMRA NO. 3A",345,364,0,709,170,142,0,312,312,0,2,2,22,0,280,1,0,5,0,0,0,0,0,0,0,312
141,"BHUR KANYA DIGREE COLLEGE BRAHAMPURA KANOON GOYAN KAMRA NO. 4",739,698,0,1437,370,352,0,722,722,0,4,24,54,5,604,5,0,14,1,1,1,0,1,3,5,722
