"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - BAL KUMAR PATEL ALIAS RAJKUMAR","2 - BHAIRON PRASAD MISHRA","3 - RAMCHANDRA SARAS","4 - VIVEK KUMAR SINGH","5 - R. K. SINGH PATEL","6 - AMAR SINGH RATHAUR","7 - PAPPU YADAV","8 - PRABHAKAR PRASAD","9 - VISHVAMBHAR NATH","10 - MO. SAGEER","11 - SUSHEELA SINGH","12 - NARENDRA KUMAR SHRIVASTAVA","13 - VIJAY PRAKASH","14 - None of the Above","Total Votes Secured"
64,"PRATHMIK VIDYALAY SAKHAUHA",539,408,0,947,281,254,0,535,245,0,17,247,20,6,195,5,1,0,1,4,0,7,10,22,535
65,"PRATHMIK VIDYALAY CHAKAUR",778,631,0,1409,399,317,0,716,572,0,56,212,17,19,347,8,3,6,3,4,0,7,13,21,716
66,"PRATHMIK VIDYALAY RENDI BHUSAULI",498,348,0,846,276,238,0,514,19,0,90,155,6,12,227,2,3,0,2,3,4,3,1,6,514
67,"PRATHMIK VIDYALAY BASREHI",239,178,0,417,113,101,0,214,34,0,40,87,8,4,51,1,0,2,4,2,3,6,1,5,214
68,"PRATHMIK VIDYALAY BIYAVAL WEST ROOM",467,370,0,837,256,237,0,493,222,0,203,76,7,13,174,4,1,0,1,1,1,1,3,8,493
69,"PRATHMIK VIDYALAY BIYAWAL EAST ROOM",382,342,0,724,183,184,0,367,130,0,182,81,7,10,75,6,2,1,0,0,1,0,2,0,367
70,"PRATHMIK VIDYALAY KASHINATH KA PURWA MAZRA BIYAWAL",427,353,0,780,225,215,0,440,139,0,93,11,1,11,282,5,1,2,1,2,0,6,2,23,440
71,"PRATHMIK VIDYALAY TADI",657,565,0,1222,432,328,0,760,760,0,269,286,21,15,119,2,0,4,5,2,2,16,6,13,760
72,"PRATHMIK VIDYALAY CHAKALAIYA",233,190,0,423,147,138,0,285,17,0,61,112,7,7,80,2,1,1,0,1,3,2,3,5,285
73,"PRATHMIK VIDYALAY BARVAR",552,508,0,1060,324,326,0,650,470,0,171,231,19,46,120,0,2,4,6,5,4,5,12,25,650
74,"PURV MADYAMIK VIDYALAY MAVAI KLA EAST PART",486,408,0,894,276,232,0,508,174,0,34,271,16,5,134,10,5,3,4,0,0,5,13,8,508
75,"PURV MADYMIK VIDYALAY MAVAI KLA WEST PART",480,373,0,853,263,234,0,497,350,0,81,139,5,4,257,3,2,0,0,2,0,1,1,2,497
76,"PURV MADYAMIK VIDYALAY MAVAI KLA SOUTH PART",242,198,0,440,156,145,0,301,133,0,14,41,8,5,213,3,0,1,0,1,1,3,5,6,301
77,"PRATHMIK VIDYALAY  MANDAUR EAST PART",828,638,0,1466,413,356,0,769,559,0,96,478,15,11,113,5,0,5,5,5,2,5,13,16,769
78,"PRATHMIK VIDYALAY MANDAUR WEST PART",459,352,0,811,212,176,0,388,354,0,39,43,4,9,255,6,1,2,5,1,2,2,2,17,388
79,"PRATHMIK VIDYALAY DUBARI",273,216,0,489,179,154,0,333,296,0,82,38,6,5,190,4,0,0,4,2,0,1,0,1,333
