"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAPIL MUNI KARWARIYA","2 - KESHAV PRASAD MAURYA","3 - MOHD. KAIF","4 - DHARAM RAJ SINGH PATEL","5 - GYANENDRA KUMAR SRIVASTAVA GYANI BHAI","6 - GANESHJI TRIPATHI","7 - DAKKHINI PRASAD KUSHWAHA","8 - NATHU RAM BOUDHA","9 - PARVEZ ASHFAQUE SIDDIQUI","10 - SHIMALA SHRI","11 - SURENDRA KUMAR MISHRA","12 - ZIAOUL HAQUE","13 - DR. NEERAJ","14 - MITHILESH KUMAR","15 - MILAN MUKERJEE","16 - None of the Above","Total Votes Secured"
16,"BHARTIYA BA.VI.JUNIAR HIGHSCHOOL TALAB TIWARI ROOM NO. 3",576,417,0,993,290,165,0,455,185,0,40,200,29,167,0,1,0,1,1,6,1,1,0,2,1,5,455
17,"BHARTIYA BA.VI.JUNIAR HIGHSCHOOL TALAB TIWARI ROOM NO. 4",445,399,0,844,194,136,0,330,22,0,33,162,9,98,2,0,2,1,3,7,3,0,1,2,2,5,330
18,"ZILA PARISHAD PRA. PA. BAMRAULI ROOM NO. 1",683,509,0,1192,441,232,0,673,29,0,34,540,40,14,1,1,2,1,2,2,5,8,1,8,10,4,673
19,"ZILA PARISHAD PRA. PA. BAMRAULI ROOM NO. 2",453,349,0,802,230,173,0,403,180,0,18,223,100,48,1,0,0,0,0,2,2,1,0,1,5,2,403
20,"ZILA PARISHAD PRA. PA. BAMRAULI ROOM NO. 3",871,686,0,1557,448,384,0,832,426,0,36,161,377,216,5,1,1,2,3,10,1,2,3,4,5,5,832
21,"ZILA PARISHAD PRA. PA. BAMRAULI ROOM NO. 4",365,333,0,698,193,158,0,351,244,0,195,46,46,49,0,0,1,0,1,3,1,3,0,2,1,3,351
22,"ZILA PARISHAD PRA. PA. BAMRAULI ROOM NO. 5",737,576,0,1313,408,287,0,695,512,0,278,369,14,14,1,1,0,1,1,5,1,2,0,1,4,3,695
23,"ZILA PARISHAD PRA. PA. BAMRAULI ROOM NO. 6",681,525,0,1206,329,208,0,537,202,0,33,418,30,43,0,0,0,0,0,4,0,4,1,1,1,2,537
24,"JUNIAR HIGH SCHOOL BAMRAULI ROOM NO. 1",874,648,0,1522,382,218,0,600,416,0,57,407,34,91,0,0,1,0,3,4,0,0,0,1,0,2,600
25,"JUNIAR HIGH SCHOOL BAMRAULI ROOM NO. 2",784,599,0,1383,370,224,0,594,468,0,245,238,36,33,0,1,1,0,0,7,1,10,2,4,3,13,594
26,"C0 A0 T0 C0 KANYA PRA0 PATH0 BAMRAULI KAMRA NO. 1",827,638,0,1465,272,245,0,517,47,0,46,381,22,45,1,0,0,0,0,11,1,3,0,0,5,2,517
27,"C0 A0 T0 C0 KANYA PRA0 PATH0 BAMRAULI KAMRA NO. 2",749,562,0,1311,297,216,0,513,4,0,55,285,23,123,2,2,0,0,1,7,2,5,1,0,3,4,513
28,"C0 A0 T0 C0 KANYA PRA0 PATH0 BAMRAULI KAMRA NO. 3",987,829,0,1816,452,337,0,789,561,0,93,484,41,128,1,7,3,1,1,10,1,3,0,3,7,6,789
29,"ZILA PARISHAD PRA. PA. LAHURPARK BAMRAULI",815,584,0,1399,390,254,0,644,281,0,34,407,38,136,2,0,0,0,0,11,3,0,2,3,2,6,644
30,"C.A.T.C. KANYA PRA.PA. BAMRAULI",458,370,0,828,210,131,0,341,229,0,10,251,22,48,1,0,0,0,0,8,0,0,0,0,0,1,341
31,"C.A.T.C. KANYA PRA.PA. BAMRAULI",440,374,0,814,221,116,0,337,237,0,19,115,26,168,1,0,0,1,1,5,0,0,0,1,0,0,337
32,"MOTHER PUBLIC SCHOOL CHAK MUNDERA ROOM NO. 1",406,349,0,755,139,114,0,253,98,0,24,154,15,48,0,0,0,0,0,11,0,0,0,0,1,0,253
33,"MOTHER PUBLIC SCHOOL CHAK MUNDERA ROOM NO. 2",896,681,0,1577,361,268,0,629,105,0,58,481,26,41,0,0,0,1,0,16,1,0,1,1,0,3,629
34,"MADRASHA ISLAMIYA IMDADIYA MARIYADEEH ROOM NO. 1",672,571,0,1243,279,171,0,450,389,0,46,7,46,336,5,2,0,0,0,0,2,1,1,0,1,3,450
35,"MADRASHA ISLAMIYA IMDADIYA MARIYADEEH ROOM NO. 2",529,455,0,984,209,145,0,354,312,0,23,3,42,277,3,0,1,0,1,1,0,0,1,0,1,1,354
36,"ZILA PARISHAD PRA. PA. BHARETHA TA. MOHIUDDINPUR",947,712,0,1659,403,269,0,672,470,0,80,354,19,186,3,2,1,0,0,3,1,3,1,6,3,10,672
37,"N.M.PA.PRA.PA. BEGUMSARAY ROOM NO. 1",652,552,0,1204,265,171,0,436,425,0,38,122,100,160,1,0,1,1,1,7,0,1,1,0,0,3,436
38,"N.M.PA.PRA.PA. BEGUMSARAY ROOM NO. 2",464,414,0,878,221,166,0,387,374,0,27,218,38,96,0,1,1,1,0,4,0,0,0,1,0,0,387
39,"N.M.PA.PRA.PA. BEGUMSARAY ROOM NO. 3",722,614,0,1336,312,226,0,538,434,0,25,327,33,142,1,1,2,0,0,6,0,0,0,0,1,0,538
40,"N.M.PA.PRA.PA. BEGUMSARAY ROOM NO. 4",530,438,1,969,213,210,0,423,309,0,25,106,81,198,2,0,0,0,0,9,0,1,0,1,0,0,423
41,"N.M.PA.PRA.PA. BEGUMSARAY ROOM NO. 5",706,572,0,1278,273,225,0,498,400,0,37,325,50,59,0,1,0,0,0,20,0,1,0,0,2,3,498
42,"N.M.PA.PRA.PA. BEGUMSARAY ROOM NO. 6",516,436,0,952,232,183,0,415,400,0,37,247,66,54,0,1,0,0,0,9,0,0,0,1,0,0,415
43,"N.M.PA.PRA.PA. BEGUMSARAY ROOM NO. 7",745,646,0,1391,308,219,0,527,475,0,35,336,67,65,0,1,0,0,0,16,0,1,0,0,0,6,527
44,"N.M.PA.PRA.PA. BEGUMSARAY ROOM NO. 8",563,445,0,1008,214,214,0,428,400,0,26,315,34,28,1,0,0,0,0,17,0,0,2,0,0,5,428
45,"N.M.PA.JUNIAR HIGHSCHOOL BEGUMSARAY ROOM NO. 1",801,711,0,1512,405,342,0,747,418,0,81,548,26,65,2,0,0,0,0,16,1,0,1,1,2,4,747
46,"N.M.PA.JUNIAR HIGHSCHOOL BEGUMSARAY ROOM NO. 1",426,334,0,760,182,154,0,336,130,0,47,253,12,12,0,0,0,0,0,9,0,0,0,1,1,1,336
47,"N.M.PA.JUNIAR HIGHSCHOOL BEGUMSARAY ROOM NO. 2",823,680,0,1503,348,252,0,600,493,0,39,473,21,31,1,0,1,0,1,17,2,2,4,3,2,3,600
48,"N.M.PA.JUNIAR HIGHSCHOOL BEGUMSARAY ROOM NO. 3",949,718,0,1667,463,250,0,713,711,0,60,387,40,186,6,2,2,2,3,7,0,8,0,4,3,3,713
49,"N.M.PA.JUNIAR HIGHSCHOOL BEGUMSARAY ROOM NO. 4",684,562,0,1246,274,193,0,467,430,0,57,262,12,113,2,2,1,0,1,5,1,0,3,0,3,5,467
50,"N.M.PA.JUNIAR HIGHSCHOOL BEGUMSARAY ROOM NO. 4",628,544,0,1172,226,115,0,341,22,0,39,150,8,132,1,0,0,2,1,2,2,0,1,1,2,0,341
51,"N.M.PA.JUNIAR HIGHSCHOOL BEGUMSARAY ROOM NO. 5",929,698,0,1627,440,323,0,763,630,0,22,596,33,96,1,0,0,1,0,4,2,0,0,1,5,2,763
52,"N.M.PA.JUNIAR HIGHSCHOOL BEGUMSARAY ROOM NO. 6",579,469,1,1049,198,154,0,352,168,0,19,217,31,82,0,0,0,1,0,1,0,1,0,0,0,0,352
53,"KISHOR GIRLS INTER COLLAGE MEERAPATTI",890,690,0,1580,484,338,0,822,325,0,63,513,79,150,2,1,0,0,1,7,2,1,1,0,0,2,822
54,"MUNNI DEVI RAMBALAK GIRLS INTER COLLAGE MUBARAKPUR KOTWA",357,261,0,618,155,96,0,251,175,0,35,66,21,118,2,0,0,0,0,2,0,1,1,0,1,4,251
55,"MUNNI DEVI RAMBALAK GIRLS INTER COLLAGE MUBARAKPUR KOTWA",670,525,0,1195,392,282,0,674,450,0,80,535,11,29,0,2,1,0,2,4,1,1,1,3,3,1,674
56,"MUNNI DEVI RAMBALAK GIRLS INTER COLLAGE MUBARAKPUR KOTWA",562,431,0,993,260,163,0,423,36,0,36,195,16,166,0,0,0,0,0,9,0,0,0,0,0,1,423
57,"N.M.PA.PRA.PA. GAYASUDDINPUR PASCHIMI BHAG 1 ROOM NO.1",727,601,0,1328,322,261,0,583,450,0,110,246,61,148,0,1,0,3,1,1,0,5,0,3,0,4,583
58,"N.M.PA.PRA.PA. GAYASUDDINPUR PASCHIMI BHAG 1 ROOM NO.1",456,345,0,801,186,136,0,322,248,0,27,191,18,76,0,0,1,0,1,4,0,2,1,0,0,1,322
59,"N.M.PA.PRA.PA. GAYASUDDINPUR PASCHIMI BHAG 1 ROOM NO.2",859,660,1,1520,375,256,0,631,308,0,98,326,59,119,4,2,1,0,1,8,1,4,3,1,0,4,631
60,"N.M.PA.PRA.PA. GAYASUDDINPUR PASCHIMI BHAG 1 ROOM NO.2",761,532,0,1293,339,211,0,550,27,0,64,398,24,48,1,0,0,1,1,6,0,1,0,1,2,3,550
61,"N.M.PA.PRA.PA. GAYASUDDINPUR PASCHIMI BHAG 1 ROOM NO.3",872,656,0,1528,421,304,0,725,325,0,59,577,13,49,0,1,0,0,1,14,1,0,2,2,1,5,725
62,"N.M.PA.PRA.PA. ABUBAKARPUR",648,516,0,1164,296,228,0,524,395,0,36,349,38,83,1,0,1,0,0,10,0,0,0,1,0,5,524
63,"N.M.PA.PRA.PA. ABUBAKARPUR",867,705,0,1572,384,288,0,672,604,0,60,500,56,35,0,1,0,4,1,13,0,0,0,1,0,1,672
64,"N.M.PA.PRA.PA. KANDHAIPUR MODH ROOM NO. 1",958,717,1,1676,500,330,0,830,690,0,32,427,39,298,4,0,2,1,0,14,0,0,3,5,1,4,830
65,"N.M.PA.PRA.PA. KANDHAIPUR MODH ROOM NO. 2",768,582,0,1350,334,212,0,546,257,0,60,238,8,229,1,0,0,0,0,5,1,1,1,0,1,1,546
66,"N.M.PA.PRA.PA. KANDHAIPUR MODH ROOM NO. 3",695,592,0,1287,333,238,0,571,261,0,38,293,13,204,3,1,0,1,1,7,2,3,1,1,1,2,571
67,"R.P.M.P.JUNIAR HIGH SCHOOL BHOLA KA PURA ROOM NO.1",1084,902,0,1986,392,267,0,659,480,0,164,354,77,37,0,0,0,1,3,8,0,3,0,1,3,8,659
68,"R.P.M.P.JUNIAR HIGH SCHOOL BHOLA KA PURA ROOM NO.2",730,613,0,1343,341,234,0,575,1,0,163,306,55,29,2,0,0,2,1,9,0,2,0,0,1,5,575
69,"R.P.M.P.JUNIAR HIGH SCHOOL BHOLA KA PURA ROOM NO.3",279,279,0,558,133,102,0,235,152,0,81,127,14,4,0,0,1,2,0,3,0,0,0,1,0,2,235
70,"R.P.M.P.JUNIAR HIGH SCHOOL BHOLA KA PURA ROOM NO.3",701,542,0,1243,230,140,0,370,358,0,13,292,25,32,0,0,0,0,0,6,0,0,0,0,0,2,370
71,"BALLMITRA HIGH SCHOOL KANDHAIPUR MODH ROOM NO. 1",849,734,0,1583,403,345,0,748,347,0,40,565,67,56,3,0,0,2,0,9,0,0,1,2,1,2,748
72,"BALLMITRA HIG SCHOOL KANDHAIPUR MODH ROOM NO. 2",844,700,0,1544,396,303,0,699,500,0,50,473,90,63,0,0,0,0,2,19,0,0,0,0,0,2,699
73,"BALLMITRA HIGH SCHOOL KANDHAIPUR MODH ROOM NO. 3",731,563,0,1294,333,234,0,567,360,0,30,406,58,55,1,0,0,0,0,13,1,0,0,1,0,2,567
74,"BALLMITRA HIGH SCHOOL KANDHAIPUR MODH ROOM NO. 4",524,423,0,947,227,164,0,391,391,0,27,295,25,32,0,0,0,0,0,12,0,0,0,0,0,0,391
75,"BALLMITRA HIGH SCHOOL KANDHAIPUR MODH ROOM NO. 5",505,414,0,919,210,178,0,388,328,0,14,325,24,17,0,0,0,0,0,7,0,0,0,0,0,1,388
76,"BALLMITRA HIGH SCHOOL KANDHAIPUR MODH ROOM NO. 6",732,618,0,1350,330,278,0,608,199,0,35,454,52,42,0,1,0,0,1,19,0,0,0,0,0,4,608
77,"BALLMITRA HIGH SCHOOL KANDHAIPUR MODH ROOM NO. 7",417,334,0,751,216,161,0,377,204,0,38,242,56,33,0,0,0,0,0,5,0,0,1,0,0,2,377
78,"BALLMITRA HIGH SCHOOL KANDHAIPUR MODH ROOM NO. 8",470,349,1,820,206,134,0,340,276,0,26,205,52,46,0,0,0,0,0,8,0,0,0,0,0,3,340
79,"ARYA KANYA PRIMARY PATHSALA RAMMAN KA PURA ROM NO.1",755,685,0,1440,313,229,0,542,199,0,82,391,17,37,0,1,0,2,1,8,1,0,0,0,1,1,542
80,"ARYA KANYA PRIMARY PATHSALA RAMMAN KA PURA ROM NO.2",925,722,0,1647,326,252,0,578,410,0,93,425,25,19,0,0,0,0,0,10,0,0,0,0,0,6,578
81,"ARYA KANYA PRIMARY PATHSALA RAMMAN KA PURA ROM NO.3",905,748,0,1653,362,283,0,645,157,0,92,460,47,29,2,2,0,0,1,6,0,0,2,0,0,4,645
82,"ARYA KANYA PRIMARY PATHSALA RAMMAN KA PURA ROM NO.3",994,765,0,1759,439,349,0,788,321,0,84,616,35,28,0,1,0,0,0,20,0,0,0,0,2,2,788
83,"ARYA KANYA PRIMARY PATHSALA RAMMAN KA PURA ROM NO.4",410,359,0,769,204,140,0,344,293,0,124,165,13,15,0,1,1,0,5,6,0,1,2,2,1,8,344
84,"KANYA JUNIAR HIGH SCHOOL UMARPUR NEEWA ROOM NO. 1",643,543,0,1186,192,124,0,316,1,0,76,189,22,17,0,1,0,0,0,3,0,1,2,1,0,4,316
85,"KANYA JUNIAR HIGH SCHOOL UMARPUR NEEWA ROOM NO. 2",551,442,0,993,175,120,0,295,1,0,32,185,8,61,0,0,1,1,0,1,1,0,0,2,2,1,295
86,"KANYA JUNIAR HIGH SCHOOL UMARPUR NEEWA ROOM NO. 3",796,583,0,1379,206,201,0,407,124,0,45,200,34,118,0,0,1,1,0,5,0,1,1,0,1,0,407
87,"KANYA JUNIAR HIGH SCHOOL UMARPUR NEEWA ROOM NO. 4",590,445,0,1035,180,103,0,283,164,0,89,149,16,16,0,0,0,0,2,7,0,1,0,0,1,2,283
88,"KANYA JUNIAR HIGH SCHOOL UMARPUR NEEWA ROOM NO. 5",507,352,0,859,132,87,0,219,98,0,43,137,15,16,0,0,0,0,0,2,0,1,0,0,0,5,219
89,"KANYA JUNIAR HIGH SCHOOL UMARPUR NEEWA ROOM NO. 6",413,342,0,755,127,100,0,227,180,0,63,106,29,24,0,1,0,0,0,0,0,3,1,0,0,0,227
90,"KANYA JUNIAR HIGH SCHOOL UMARPUR NEEWA ROOM NO. 7",797,610,1,1408,282,157,0,439,1,0,134,184,72,21,0,2,1,1,2,6,3,2,3,2,2,4,439
91,"KANYA JUNIAR HIGH SCHOOL UMARPUR NEEWA ROOM NO. 8",595,468,0,1063,284,144,0,428,153,0,69,189,18,145,0,0,0,0,0,1,1,1,0,1,0,3,428
92,"POLICE MODERN SCHOOL CHATURTH VAHINI P.A.C DHOOMANGANJ ROOM NO. 1",688,550,0,1238,302,225,0,527,229,0,15,328,48,126,2,0,0,0,0,4,1,0,0,0,2,1,527
93,"POLICE MODERN SCHOOL CHATURTH VAHINI P.A.C DHOOMANGANJ ROOM NO. 2",642,468,0,1110,324,215,0,539,239,0,43,281,24,177,0,0,0,0,1,11,0,1,0,0,0,1,539
94,"N.M.PA. JUNIAR HIGSCHOOL HARWARA ROOM NO. 1",842,680,0,1522,408,308,0,716,512,0,79,403,71,126,0,0,0,0,0,26,1,1,1,0,4,4,716
95,"N.M.PA.JUNIAR HIGHSCHOOL HARWARA ROOM NO. 01",302,262,0,564,167,126,0,293,92,0,44,160,35,31,0,1,1,0,1,13,1,2,0,2,0,2,293
96,"N.M.PA. JUNIAR HIGSCHOOL HARWARA ROOM NO. 2",672,533,0,1205,279,190,0,469,444,0,42,228,54,131,0,0,0,0,0,9,2,0,1,1,0,1,469
97,"N.M.PA. JUNIAR HIGSCHOOL HARWARA ROOM NO. 3",694,543,0,1237,382,258,0,640,533,0,103,428,31,67,0,0,0,0,1,6,0,0,1,0,1,2,640
98,"N.M.PA. JUNIAR HIGSCHOOL HARWARA ROOM NO. 3",710,597,0,1307,344,252,0,596,549,0,56,432,24,70,0,0,0,0,0,7,1,1,0,1,0,4,596
99,"PITAMBER MEMORIAL PUBLIC SCHOOL PREETAM NAGAR ROOM NO. 1",602,442,0,1044,286,205,0,491,83,0,36,377,28,36,0,0,0,1,0,11,1,0,0,0,0,1,491
100,"PITAMBER MEMORIAL PUBLIC SCHOOL PREETAM NAGAR ROOM NO. 2",591,477,0,1068,278,194,0,472,72,0,52,240,72,99,1,0,0,0,0,6,0,1,1,0,0,0,472
101,"PITAMBER MEMORIAL PUBLIC SCHOOL PREETAM NAGAR ROOM NO. 3",759,587,0,1346,286,219,0,505,187,0,69,316,65,38,0,0,0,3,0,12,0,0,1,1,0,0,505
102,"PITAMBER MEMORIAL PUBLIC SCHOOL PREETAM NAGAR ROOM NO. 4",368,302,0,670,170,119,0,289,200,0,33,197,22,26,1,0,0,0,1,7,0,0,0,0,0,2,289
103,"PITAMBER MEMORIAL PUBLIC SCHOOL PREETAM NAGAR ROOM NO. 5",638,568,0,1206,266,195,0,461,183,0,32,317,51,45,1,0,0,1,0,11,0,0,0,1,0,2,461
104,"PITAMBER MEMORIAL PUBLIC SCHOOL PREETAM NAGAR ROOM NO. 6",290,234,0,524,120,100,0,220,1,0,19,155,7,34,0,0,0,1,0,3,0,0,0,0,1,0,220
105,"PITAMBER MEMORIAL PUBLIC SCHOOL PREETAM NAGAR ROOM NO. 7",255,236,0,491,106,88,0,194,22,0,15,158,4,9,1,0,0,1,0,0,1,0,0,0,2,3,194
106,"ZILA PARISHAD PRA. PA. MANDAR DEHMAAFI",619,504,0,1123,341,265,0,606,67,0,126,327,15,87,3,4,4,5,1,3,4,5,4,4,4,10,606
107,"ZILA PARISHAD PRA. PA. MANDAR DEHMAAFI",401,320,0,721,209,148,0,357,11,0,61,149,14,125,1,1,0,0,2,2,0,1,0,0,0,1,357
108,"ZILA PARISHAD PRA. PA. AHMADPUR PAWAN ROOM NO. 1",687,547,0,1234,378,256,0,634,264,0,109,375,19,113,1,0,0,0,0,1,1,3,1,4,3,4,634
109,"ZILA PARISHAD PRA. PA. AHMADPUR PAWAN ROOM NO. 2",803,632,0,1435,380,267,0,647,246,0,107,365,11,132,3,0,0,1,2,0,4,2,4,2,8,6,647
110,"ZILA PARISHAD PRA. PA. AHMADPUR PAWAN ROOM NO. 3",823,665,1,1489,425,252,0,677,226,0,141,385,10,112,8,0,0,0,2,1,1,5,5,2,3,2,677
111,"ZILA PARISHAD PRA. PA. AHMADPUR PAWAN ROOM NO. 4",626,500,0,1126,297,183,0,480,480,0,63,206,7,193,2,0,0,0,1,2,2,1,0,1,1,1,480
112,"SAMUDAYIK KENDRA KESHAWPUR",1047,801,0,1848,522,325,0,847,268,0,289,485,14,5,2,2,0,0,3,1,2,16,3,4,10,11,847
113,"ZILA PARISHAD PRA. PA. BHAGWATPUR ROOM NO. 1",543,425,0,968,332,217,0,549,321,0,199,295,11,7,2,1,1,1,0,6,4,7,1,2,6,6,549
114,"ZILA PARISHAD PRA. PA. BHAGWATPUR ROOM NO. 2",502,315,0,817,287,161,0,448,1,0,48,320,9,58,1,0,3,0,0,1,0,1,1,2,3,1,448
115,"ZILA PARISHAD PRA. PA. KADILPUR TA. AADAMPUR BISAUNA",627,473,0,1100,345,218,0,563,332,0,128,278,19,100,4,2,1,2,3,4,0,5,1,2,5,9,563
116,"ZILA PARISHAD PRA. PA. KADILPUR TA. AADAMPUR BISAUNA",451,375,1,827,241,124,0,365,242,0,89,183,6,64,0,1,3,1,0,3,0,4,3,1,5,2,365
117,"ZILA PARISHAD PRA. PA. KHATAGI",504,372,0,876,244,120,0,364,353,0,70,242,7,24,0,2,0,2,0,2,1,3,2,3,2,4,364
118,"ZILA PARISHAD PRA. PA. GAJA ROOM NO. 1",804,546,0,1350,91,30,0,121,121,0,27,62,1,30,0,0,0,0,1,0,0,0,0,0,0,0,121
119,"ZILA PARISHAD PRA. PA. GAJA ROOM NO. 2",495,371,0,866,102,52,0,154,1,0,45,80,1,27,0,0,0,0,0,0,0,0,0,0,1,0,154
120,"ZILA PARISHAD PRA. PA. CHIRLA MUNJAFTA",725,485,0,1210,398,230,0,628,23,0,78,459,9,71,1,0,0,0,0,2,1,1,0,2,2,2,628
121,"ZILA PARISHAD PRA. PA. CHANDRASEN",496,354,0,850,260,184,0,444,29,0,24,331,5,70,0,0,0,1,0,2,0,1,1,0,6,3,444
122,"ZILA PARISHAD PRA. PA. TIYARA",435,262,0,697,199,147,0,346,141,0,83,132,14,100,1,0,0,2,2,0,0,1,0,0,4,7,346
123,"ZILA PARISHAD PRA. PA. ASRAWE KHURD ROOM NO. 1",839,683,0,1522,387,225,0,612,2,0,60,358,59,98,1,2,2,1,1,2,5,2,3,2,7,9,612
124,"ZILA PARISHAD PRA. PA. ASRAWE KHURD ROOM NO. 2",662,523,0,1185,264,121,0,385,1,0,95,197,41,37,0,1,0,0,0,3,1,2,0,3,3,2,385
125,"ZILA PARISHAD PRA. PA. MAINAPUR",521,381,1,903,260,167,0,427,293,0,44,246,10,94,3,3,3,0,0,4,1,6,3,1,8,1,427
126,"ZILA PARISHAD PRA. PA. FULWA",739,521,0,1260,462,297,0,759,1,0,262,126,10,326,3,2,2,0,1,0,0,6,3,5,1,12,759
127,"ZILA PARISHAD PRA. PA. ASRAWE KALA ROOM NO. 2",970,628,0,1598,445,242,0,687,601,0,73,312,18,259,4,1,0,0,2,3,2,2,1,5,1,4,687
128,"ZILA PARISHAD PRA. PA. ASRAWE KALA ROOM NO. 2",954,679,0,1633,362,178,0,540,154,0,86,153,36,247,3,1,0,0,0,4,0,3,1,3,0,3,540
129,"GIRDHARI SINGH SINGRAUR I. BA. MAKAN KA PURA",916,641,0,1557,416,269,0,685,148,0,118,339,21,186,5,0,1,1,0,0,1,3,4,1,2,3,685
130,"GIRDHARI SINGH SINGRAUR I. BA. MAKAN KA PURA ROOM NO. 2",757,516,0,1273,435,248,0,683,1,0,31,375,10,254,5,0,0,0,0,0,1,0,1,2,2,2,683
131,"ZILA PARISHAD PRA. PA JALALPUR DHOSI",856,649,0,1505,375,252,0,627,13,0,69,343,123,67,0,3,2,2,2,7,0,0,0,2,5,2,627
132,"ZILA PARISHAD PRA. PA. RAWATPUR",241,189,0,430,109,78,0,187,13,0,45,128,1,7,1,0,0,0,0,0,2,0,0,2,1,0,187
133,"ZILA PARISHAD PRA. PA. SHERPUR",868,581,0,1449,470,289,0,759,1,0,23,449,13,212,3,3,2,3,3,4,2,3,3,6,26,4,759
134,"ZILA PARISHAD PRA. PA. KATHULA GAUSPUR ROOM NO. 1",563,460,0,1023,309,181,0,490,65,0,82,336,18,14,0,4,0,1,1,1,3,5,5,7,6,7,490
135,"ZILA PARISHAD PRA. PA. KATHULA GAUSPUR ROOM NO. 2",464,314,0,778,228,115,0,343,1,0,85,215,24,7,0,0,1,1,0,1,1,1,2,1,0,4,343
136,"ZILA PARISHAD PRA. PA. KATHULA GAUSPUR ROOM NO. 3",594,468,0,1062,236,142,0,378,35,0,43,115,150,60,2,0,2,0,0,1,0,1,1,0,1,2,378
137,"SAMUDAYIK KENDRA KATHULA GAUSPUR",687,503,0,1190,300,228,0,528,300,0,43,293,81,91,0,1,1,0,2,1,0,3,2,2,5,3,528
