"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANJU URF MUSKAN","2 - KAMLESH","3 - PRADEEP KUMAR JATAV","4 - BHOLA SINGH","5 - PYARE LAL","6 - RAGHURAJ PRATAP SINGH","7 - DR. RAHUL DIPANKAR","8 - VIJAI PAL","9 - SURESH","10 - HARVIR","11 - None of the Above","Total Votes Secured"
67,"FAIZULLAPUR AJNARA PRIMARY SCHOOL R.NO.1",471,433,0,904,368,308,0,676,676,0,1,15,172,458,7,0,7,3,0,4,9,676
68,"FAIZULLAPUR AJNARA PRIMARY SCHOOL R.NO.2",356,312,0,668,244,209,0,453,453,0,10,6,14,404,0,1,7,3,1,2,5,453
69,"JALALPUR KARIRA PRIMARY SCHOOL",745,680,0,1425,438,348,0,786,786,0,108,36,63,521,4,1,40,3,1,4,5,786
70,"TAYYIBPUR PRIMARY SCHOOL",660,577,0,1237,489,373,0,862,862,0,16,47,154,640,0,0,0,1,1,3,0,862
71,"KUTUBPUR PRIMARY SCHOOL",780,694,0,1474,496,422,0,918,918,0,18,35,256,543,6,0,44,2,2,6,6,918
72,"JAKHOUTA JUNIOR HIGH SCHOOL R.NO. 1",484,429,0,913,331,276,0,607,607,0,48,7,53,475,6,0,1,3,5,4,5,607
73,"JAKHOUTA JUNIOR HIGH SCHOOL R.NO. 2",385,353,0,738,221,230,0,451,451,0,18,13,10,383,5,3,1,2,2,8,6,451
74,"DALNA PRIMARY SCHOOL",713,639,0,1352,383,320,0,703,703,0,29,293,236,122,0,0,4,2,7,3,7,703
75,"LOHRA PRIMARY SCHOOL R.NO.1",428,382,1,811,281,262,0,543,543,0,0,10,381,117,2,2,17,2,4,4,4,543
76,"LOHRA PRIMARY SCHOOL R.NO.2",379,342,0,721,231,186,0,417,417,0,11,33,148,190,2,0,15,2,4,3,9,417
77,"AURNGABAD CHANDOUK KALYANKARI HIGHER SECONDARY SCHOOL R.NO. 1",733,651,0,1384,388,315,0,703,703,0,10,10,432,204,4,1,4,3,7,8,20,703
78,"AURNGABAD CHANDOUK KALYANKARI HIGHER SECONDARY SCHOOL R.NO. 2",664,589,0,1253,425,335,0,760,760,0,15,79,48,572,2,1,7,5,7,16,8,760
79,"AURNGABAD CHANDOK PRIMARY SCHOOL NEAR OLD TEMPLE",730,643,0,1373,409,317,0,726,726,0,16,81,3,596,3,2,10,5,2,2,6,726
80,"JANIPUR KHURD PRIMARY SCHOOL",108,94,0,202,69,74,0,143,143,0,0,0,136,1,0,1,1,0,3,1,0,143
81,"RAZAPUR PRIMARY SCHOOL",264,225,0,489,197,179,0,376,376,0,1,0,368,5,0,0,0,2,0,0,0,376
82,"SURKHURU PRIMARY SCHOOL R.NO.1",555,487,0,1042,336,218,0,554,554,0,25,141,265,111,0,0,4,1,2,2,3,554
83,"SURKHURU PRIMARY SCHOOL R.NO. 2",412,371,0,783,262,180,0,442,442,0,12,113,14,292,2,0,6,0,0,2,1,442
84,"CHAKLA PRIMARY SCHOOL",774,687,0,1461,438,378,0,816,816,0,2,8,282,509,2,6,0,1,1,3,2,816
85,"NAGLA FATTAPU PRIMARY SCHOOL",513,460,0,973,320,275,0,595,595,0,2,11,154,395,9,1,5,2,5,4,7,595
86,"RIVARA PRIMARY SCHOOL R.NO. 1",697,628,0,1325,437,341,0,778,778,0,15,238,284,212,4,0,3,3,2,4,13,778
87,"RIVARA PRIMARY SCHOOL R.NO. 2",666,599,0,1265,334,327,0,661,661,0,10,349,17,259,2,2,3,4,0,9,6,661
88,"DHAMNI PRIMARY SCHOOL",658,542,0,1200,304,215,0,519,519,0,11,212,13,242,5,1,1,6,3,14,11,519
89,"SIDHNAGLA PRIMARY SCHOOL",586,532,0,1118,412,386,0,798,798,0,2,169,531,79,2,1,0,1,2,5,6,798
90,"KALYANPUR PRIMARY SCHOOL",244,220,0,464,160,132,0,292,292,0,0,15,10,264,2,0,0,1,0,0,0,292
91,"ASRFABAD URF MUND NAGAL PRIMARY SCHOOL",257,230,0,487,195,161,0,356,356,0,2,3,6,326,4,2,1,3,1,4,4,356
92,"NAGLA JAGAT PRIMARY SCHOOL",405,361,0,766,222,194,0,416,416,0,2,209,31,170,1,0,1,1,0,1,0,416
93,"KHELIYA KALYANPUR PRIMARY SCHOOL R.NO.1",546,482,0,1028,358,307,0,665,665,0,4,117,98,416,5,1,2,5,2,9,6,665
94,"KHELIYA KALYANPUR PRIMARY SCHOOL R.NO.2",603,539,1,1143,393,236,0,629,629,0,4,572,28,3,2,1,7,1,0,6,5,629
95,"MAMOU PRIMARY SCHOOL",710,635,0,1345,432,347,0,779,779,0,44,20,212,484,10,1,2,1,0,3,2,779
96,"DARVESHPUR PRIMARY SCHOOL",716,649,0,1365,479,349,0,828,828,0,20,122,109,548,6,0,8,2,0,7,6,828
97,"SHIVNAGAR URF DHUSRI PRIMARY SCHOOL",541,487,0,1028,360,242,0,602,602,0,121,39,26,377,7,0,22,2,2,4,2,602
98,"JAMALPUR PRIMARY  SCHOOL",399,347,0,746,341,237,0,578,578,0,4,1,129,427,4,0,5,1,0,6,1,578
99,"HATIMPUR PRIMARY  SCHOOL",258,228,0,486,182,148,0,330,330,0,8,13,48,255,0,0,1,2,1,0,2,330
100,"MUSTFABAD DADUA D.S.J.K.UCHATTR MADHYAMIK VIDHYALAYA R.NO. 1",392,350,0,742,235,205,0,440,440,0,3,78,237,105,2,1,8,0,2,3,1,440
101,"MUSTFABAD DADUA D.S.J.K.UCHATTR MADHYAMIK VIDHYALAYA R.NO. 2",641,585,0,1226,389,335,0,724,724,0,20,26,7,630,7,3,11,5,0,3,12,724
102,"PAHADPUR HAVELI PRIMARY SCHOOL",653,589,0,1242,463,431,0,894,894,0,18,26,525,291,5,2,15,3,3,2,4,894
103,"AMBEDKAR NAGAR ,DR. BHIMRAO AMBEDKAR JUNIOR HIGH SCHOOL",532,472,0,1004,297,294,0,591,591,0,3,85,396,87,1,0,3,3,3,3,7,591
104,"SHEKHUPUR PRIMARY SCHOOL",226,195,0,421,156,144,0,300,300,0,3,8,10,267,1,0,1,2,1,5,2,300
105,"SHIKARPUR ISLAMIYA PRIMARY SCHOOL R.NO. 1",732,673,0,1405,245,386,0,631,631,0,19,303,93,191,2,0,5,3,0,8,7,631
106,"SHIKARPUR ISLAMIYA PRIMARY SCHOOL R.NO. 2",668,586,0,1254,388,285,0,673,673,0,6,294,181,163,2,1,5,1,2,8,10,673
107,"SHIKARPUR D.A.P. INTER COLLEGE R.NO. 1",721,625,0,1346,348,281,0,629,629,0,52,106,101,352,0,0,14,1,0,3,0,629
108,"SHIKARPUR D.A.P. INTER COLLEGE R.NO. 2",479,455,0,934,273,222,0,495,495,0,4,13,263,207,0,1,1,1,0,2,3,495
109,"SHIKARPUR D.A.P. INTER COLLEGE R.NO. 3",405,349,0,754,225,167,0,392,392,0,3,25,119,226,0,0,2,7,4,5,1,392
110,"SHIKARPUR D.A.P. INTER COLLEGE R.NO. 4",791,680,0,1471,432,409,0,841,841,0,14,102,317,380,3,0,5,2,2,6,10,841
111,"SHIKARPUR D.A.P. INTER COLLEGE R.NO. 5",844,733,0,1577,500,362,0,862,862,0,16,97,29,674,5,3,5,7,7,8,11,862
112,"SHIKARPUR NATIONAL HIGH SCHOOL R.NO. 1",571,548,1,1120,378,319,0,697,697,0,4,181,14,473,3,0,8,3,1,3,7,697
113,"SHIKARPUR NATIONAL HIGH SCHOOL R.NO. 2",710,623,0,1333,441,361,0,802,802,0,6,23,28,718,2,1,9,3,0,7,5,802
114,"SHIKARPUR NATIONAL HIGH SCHOOL R.NO.3",477,430,0,907,205,154,0,359,359,0,22,263,32,27,0,1,10,1,0,0,3,359
115,"SHIKARPUR NATIONAL HIGH SCHOOL R.NO. 4",629,548,0,1177,310,226,0,536,536,0,12,434,32,37,0,0,10,0,0,0,11,536
116,"SHIKARPUR GOVERNMENT GIRLS INTER COLLEGE R.NO.1",698,621,0,1319,401,360,0,761,761,0,4,36,417,282,5,2,4,0,2,2,7,761
117,"SHIKARPUR GOVERNMENT GIRLS INTER COLLEGE R.NO.2",825,716,0,1541,406,361,0,767,767,0,14,56,169,502,4,1,8,0,2,3,8,767
118,"SHIKARPUR GOVERNMENT GIRLS INTER COLLEGE R.NO.3",478,423,1,902,283,226,0,509,509,0,4,19,64,407,2,1,2,1,1,3,5,509
119,"SHIKARPUR GOVERNMENT GIRLS INTER COLLEGE R.NO.4",696,620,0,1316,359,231,0,590,590,0,43,197,125,210,1,0,4,2,3,2,3,590
120,"SHIKARPUR GOVERNMENT GIRLS INTER COLLEGE R.NO.5",380,345,0,725,250,197,0,447,447,0,2,19,5,409,2,0,9,1,0,0,0,447
121,"SHIKARPUR GOMATIDEVIISMARAK SCHOOL R.NO. 1",429,399,0,828,237,190,0,427,427,0,5,204,25,173,0,1,11,3,0,2,3,427
122,"SHIKARPUR GOMATIDEVIISMARAK SCHOOL R.NO. 2",379,343,0,722,203,161,0,364,364,0,6,206,19,124,1,0,5,0,0,0,3,364
123,"SHIKARPUR GOMATIDEVIISMARAK SCHOOL R.NO. 3",466,404,0,870,270,206,0,476,476,0,13,321,58,72,0,2,4,1,0,3,2,476
124,"SHIKARPUR GOMATIDEVIISMARAK SCHOOL R.NO. 4",444,397,0,841,289,238,0,527,527,0,12,43,1,459,3,0,2,0,1,4,2,527
125,"SHIKARPUR SHAMBHUNATH INTER COLLEGE R.NO. 1",563,477,0,1040,334,303,0,637,637,0,10,130,129,356,1,0,5,0,1,2,3,637
126,"SHIKARPUR SHAMBHUNATH INTER COLLEGE R.NO. 2",418,357,0,775,267,211,0,478,478,0,3,158,158,153,0,0,2,0,1,2,1,478
127,"SHIKARPUR SHAMBHUNATH INTER COLLEGE R.NO. 3",321,277,0,598,234,181,0,415,415,0,11,109,13,277,0,0,2,0,0,1,2,415
128,"SHIKARPUR SHAMBHUNATH INTER COLLEGE R.NO. 4",558,498,0,1056,295,248,0,543,543,0,12,461,24,24,0,0,9,0,1,4,8,543
129,"SHIKARPUR SHAMBHUNATH INTER COLLEGE R.NO. 5",471,421,0,892,239,194,0,433,433,0,11,328,33,40,0,0,17,0,2,1,1,433
130,"SHIKARPUR PRIMARY SCHOOL NO.2",355,309,0,664,198,164,0,362,362,0,11,174,14,157,0,1,2,0,0,3,0,362
131,"CHIKHAL PRIMARY SCHOOL",406,372,0,778,250,225,0,475,475,0,64,1,5,388,10,0,2,1,0,1,3,475
132,"KHANDWAYA PRIMARY SCHOOL R.NO. 1",487,441,0,928,317,248,0,565,565,0,5,37,45,465,0,1,5,3,0,2,2,565
133,"KHANDWAYA PRIMARY SCHOOL R.NO. 2",473,430,0,903,308,253,0,561,561,0,6,18,176,355,1,1,1,0,0,2,1,561
134,"FAREEDPUR HAVELI PRIMARY SCHOOL",350,305,0,655,188,174,0,362,362,0,2,33,49,265,1,1,4,4,1,2,0,362
135,"SUJAPUR POOTHA PRIMARY SCHOOL",355,320,0,675,225,204,0,429,429,0,18,28,109,260,0,0,10,2,1,1,0,429
136,"JANIPUR KALAN PRIMARY SCHOOL",645,574,0,1219,456,407,0,863,863,0,14,44,232,542,9,2,4,3,2,5,6,863
137,"MAHMOODPUR PRIMARY SCHOOL R.NO. 1",553,496,0,1049,352,314,0,666,666,0,20,28,62,546,2,0,2,3,1,2,0,666
138,"MAHMOODPUR PRIMARY SCHOOL R.NO. 2",781,675,0,1456,425,520,0,945,945,0,15,15,289,582,3,1,4,7,11,8,10,945
139,"SEHATPUR BAIRI PRIMARY SCHOOL",815,707,0,1522,426,391,0,817,817,0,8,107,228,430,6,1,11,3,3,12,8,817
140,"NAWADA PRIMARY SCHOOL",399,356,0,755,271,257,0,528,528,0,3,4,386,121,1,2,0,2,2,1,6,528
141,"BRASAU PRIMARY SCHOOL",518,457,0,975,330,272,0,602,602,0,80,44,37,416,5,2,5,1,0,3,9,602
142,"DARGAHPUR BNASOUTI PRIMARY SCHOOL",601,535,0,1136,393,345,0,738,738,0,50,35,223,407,4,0,9,3,2,3,2,738
143,"SARGAON PRIMARY SCHOOL",774,704,0,1478,515,498,0,1013,1013,0,23,148,371,443,4,1,2,3,8,4,6,1013
144,"JALALPUR KATOURA PRIMARY SCHOOL",389,353,0,742,242,208,0,450,450,0,2,83,104,258,0,0,0,2,1,0,0,450
145,"SAMANPUR PRIMARY SCHOOL",518,469,0,987,435,321,0,756,756,0,3,13,64,652,7,0,3,6,2,2,4,756
146,"MEERAPUR PRIMARY SCHOOL",359,319,0,678,278,229,0,507,507,0,6,13,5,482,0,0,1,0,0,0,0,507
147,"NAGLA LUTFALIPUR PRIMARY SCHOOL",522,470,0,992,316,339,0,655,655,6,6,6,292,330,5,1,0,4,0,6,5,655
148,"BAROULI PRIMARY SCHOOL",711,636,0,1347,320,363,0,683,683,0,24,15,39,587,4,1,3,2,0,7,1,683
149,"RANOU RAHMALIPUR PRIMARY SCHOOL",399,346,0,745,230,223,0,453,453,0,14,47,72,306,2,0,1,3,1,3,4,453
150,"KHAKHUDA PRIMARY SCHOOL R.NO. 1",709,612,0,1321,405,350,0,755,755,0,6,32,85,618,6,1,3,1,1,1,1,755
151,"KHAKHUDA PRIMARY SCHOOL R.NO. 2",487,428,0,915,327,281,0,608,608,0,5,9,88,492,2,3,1,5,1,1,1,608
152,"RAHMAPUR PRIMARY SCHOOL",245,230,0,475,159,126,0,285,285,0,4,18,28,226,1,0,3,0,0,1,4,285
153,"BOHICH JANTA INTER COLLEGE R.NO. 1",635,544,0,1179,435,384,0,819,819,0,2,22,113,672,2,2,1,1,0,3,1,819
154,"BOHICH JANTA INTER COLLEGE R.NO. 2",240,204,0,444,138,113,0,251,251,0,5,15,2,222,0,0,2,4,0,0,1,251
155,"HAJRATPUR PRIMARY SCHOOL",796,712,0,1508,538,463,0,1001,1001,0,8,19,395,541,4,1,5,4,4,7,13,1001
156,"DOMLA HASANGARH KISAN JUNIOR HIGH SCHOOL R.NO. 1",692,593,0,1285,433,330,0,763,763,0,17,54,148,521,1,0,5,4,3,9,1,763
157,"DOMLA HASANGARH KISAN JUNIOR HIGH SCHOOL R.NO. 2",779,668,0,1447,542,436,0,978,978,0,5,193,50,695,7,3,6,6,2,7,4,978
158,"AHAMDGARH PRIMARY SCHOOL R.NO. 1",489,435,0,924,359,265,0,624,624,0,1,126,117,335,2,6,4,1,4,8,20,624
159,"PAPDI PRIMARY SCHOOL",241,218,0,459,173,173,0,346,346,0,0,12,1,320,4,0,1,3,2,2,1,346
160,"AHAMDGARH PRIMARY SCHOOL R.NO. 2",478,430,0,908,282,265,0,547,547,0,39,279,20,192,4,1,2,2,0,2,6,547
161,"AHAMDGARH PRIMARY SCHOOL R.NO. 3",444,392,1,837,289,273,0,562,562,0,6,148,19,357,12,1,6,2,2,5,4,562
162,"AHMEDGARH JANTA INTER COLLEGE R.NO. 1",479,438,0,917,350,308,0,658,658,0,8,326,7,297,3,2,2,1,2,3,7,658
163,"AHMEDGARH JANTA INTER COLLEGE R.NO. 2",606,540,0,1146,387,316,0,703,703,0,4,184,14,475,5,3,2,6,5,1,4,703
164,"AHMEDGARH JANTA INTER COLLEGE R.NO. 2",604,543,0,1147,407,355,0,762,762,0,2,151,1,578,7,1,3,2,0,5,12,762
165,"DARAPUR PRIMARY SCHOOL",258,249,0,507,181,142,0,323,323,0,12,8,61,233,0,0,2,2,1,3,1,323
166,"DALELGARI PRIMARY SCHOOL",350,332,0,682,248,259,0,507,507,0,1,67,2,423,0,2,2,4,1,4,1,507
167,"JIRAJPUR PRIMARY SCHOOL R.NO. 1",538,483,0,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,"JIRAJPUR PRIMARY SCHOOL R.NO. 2",634,554,0,1188,380,323,0,703,703,0,0,100,7,589,4,0,1,1,0,0,1,703
169,"GANGAVASH PRIMARY SCHOOL",410,374,0,784,240,200,0,440,440,0,1,35,9,364,5,2,5,1,0,7,11,440
170,"FATEHGARH PRIMARY SCHOOL",518,470,0,988,337,321,0,658,658,0,2,72,104,464,1,1,0,4,2,7,1,658
171,"RANIVALA PRIMARY SCHOOL",185,180,0,365,164,156,0,320,320,0,1,12,3,302,0,0,0,1,0,0,1,320
172,"AURNGABAD PRIMARY SCHOOL",444,410,0,854,305,280,0,585,585,0,121,15,5,429,2,1,0,3,1,3,5,585
173,"JAGDISH PUR JUNIOR HIGH SCHOOL",649,589,0,1238,502,346,0,848,848,0,11,44,106,668,8,1,0,6,1,1,2,848
174,"AKBARBAS PRIMARY SCHOOL",233,211,0,444,175,150,0,325,325,0,2,27,2,283,0,3,3,0,2,2,1,325
175,"KANOINI PRIMARY SCHOOL",701,642,0,1343,515,382,0,897,897,0,13,106,311,431,1,1,4,4,9,5,12,897
176,"ASROULI PRIMARY SCHOOL R.NO. 1",704,620,0,1324,381,419,0,800,800,0,5,22,366,387,5,0,5,0,2,6,2,800
177,"ASROULI PRIMARY SCHOOL R.NO. 2",222,208,0,430,153,144,0,297,297,0,5,0,5,280,2,0,2,0,0,1,2,297
178,"UTRAWALI PRIMARY SCHOOL",827,736,0,1563,487,431,0,918,918,0,7,127,339,411,4,3,11,2,4,6,4,918
179,"JALPI PRIMARY SCHOOL",406,364,0,770,181,178,0,359,359,0,6,14,36,278,2,1,9,3,0,3,7,359
