"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KANWAR SINGH TANWAR","2 - FARHAT HASAN","3 - RAKESH TIKAIT","4 - HUMERA AKHTAR","5 - KHAJAN SINGH","6 - BRAJLAL","7 - MAHESH","8 - RAKESH","9 - RAJPAL","10 - SARVESH KUMAR SAINI","11 - SYED KALBE RUSHAID RIZVI","12 - HUSNEIN RAZAA","13 - NARESH KUMAR","14 - NARESH CHAND","15 - SURENDRA SINGH","16 - None of the Above","Total Votes Secured"
11,"PRATHMIK VIDHYALAYA ARIFPUR R.N.-1",738,642,0,1380,461,398,0,859,735,0,9,109,15,709,5,1,3,2,0,0,2,1,0,1,0,2,859
12,"PRATHMIK VIDHYALAYA ARIFPUR R.N.-2",499,439,0,938,310,280,0,590,589,0,177,145,5,251,2,0,0,1,1,0,1,0,1,0,4,2,590
13,"JANHIT INTER COLLIGE SHYAMPUR JATT  R.N.-1",770,626,0,1396,499,387,0,886,886,0,606,102,96,76,0,0,1,0,0,0,0,0,3,0,1,1,886
14,"JANHIT INTER COLLIGE SHYAMPUR JATT R.N.-2",616,487,0,1103,449,343,0,792,792,0,170,490,53,68,0,0,0,1,0,1,0,0,2,3,2,2,792
15,"PRA. VIDHYALAYA MUKTESHWARA",836,606,0,1442,778,365,0,1143,1143,0,1131,1,0,8,0,0,0,0,0,1,0,0,1,0,0,1,1143
16,"PRA. VIDHYALAYA SALARPUR",667,459,0,1126,525,282,0,807,805,0,705,37,15,46,0,0,0,0,0,1,0,0,0,0,0,3,807
17,"PURVA MADHYAMIK VIDHYALAYA   BIRSINGHPUR",454,323,0,777,370,231,0,601,601,0,466,90,1,38,0,1,0,0,0,0,1,0,1,0,2,1,601
18,"PURVA MADHYAMIK  VIDHYALAYA MADHAPUR R.N.-1",499,373,0,872,343,240,0,583,582,0,410,158,12,2,0,0,0,0,0,0,1,0,0,0,0,0,583
19,"PURVA MADHYAMIK  VIDHYALAYA MADHAPUR R.N.-2",579,478,0,1057,403,324,0,727,726,0,682,5,13,13,0,0,0,0,0,0,1,0,0,2,1,10,727
20,"PRA. VIDHYALAYA ORANGABAD R.N.-1",418,361,0,779,293,259,0,552,552,0,456,50,12,19,0,0,0,0,0,1,1,0,1,1,4,7,552
21,"PRA. VIDHYALAYA ORANGABAD R.N.-2",447,379,1,827,327,264,0,591,591,0,171,407,7,4,0,0,0,0,0,1,0,0,0,0,1,0,591
22,"PRA. VIDHYALAYA N.-1 GOHRA ALAMGIRPUR R.N.-1",577,441,0,1018,280,236,0,516,509,0,233,200,1,78,0,0,0,1,0,1,1,0,0,0,1,0,516
23,"PRA. VIDHYALAYA N.-1 GOHRA ALAMGIRPUR R.N.-2",473,370,0,843,312,274,0,586,584,0,235,329,2,10,0,0,0,0,0,2,0,0,0,3,1,4,586
24,"JANTA INTER COLLEGE GOHRA ALAMGIRPUR R.N.-1",796,677,0,1473,490,344,0,834,834,0,696,46,1,77,1,2,0,0,0,1,0,0,3,0,2,5,834
25,"JANTA INTER COLLEGE GOHRA ALAMGIRPUR R.N.-2",725,555,0,1280,494,358,0,852,850,0,742,37,3,60,0,0,0,0,0,1,3,0,1,2,1,2,852
26,"PRA. VI. HARNATHPUR KOTA R.N.-1",622,510,0,1132,317,265,0,582,567,0,336,231,3,1,3,0,1,1,0,1,0,1,0,0,0,4,582
27,"PRA. VI. HARNATHPUR KOTA R.N.-2",487,391,0,878,326,257,0,583,510,0,558,15,4,2,0,0,0,0,1,0,1,0,0,1,0,1,583
28,"PRA. VI. AGAPUR SARAI",171,128,0,299,141,98,0,239,239,0,231,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0,239
29,"ADARSH INTER COLLEGE FATAHPUR MATNOURA R.N.-1",621,446,0,1067,471,327,0,798,798,0,579,3,7,189,3,0,1,1,0,0,1,1,1,1,0,11,798
30,"ADARSH INTER COLLEGE FATAHPUR MATNOURA R.N.-2",519,372,0,891,355,231,0,586,581,0,458,59,3,56,0,0,0,0,0,0,0,0,1,0,3,6,586
31,"PRATHMIK VIDHYALAYA GOUSMAHIUDDINPUR CHHATNOURA",776,572,0,1348,590,315,0,905,905,0,710,127,2,49,2,0,3,1,0,1,2,1,0,1,0,6,905
32,"PRATHMIK VIDHYALAYA  TIGARI",605,462,0,1067,447,349,0,796,790,0,476,285,3,15,2,0,0,0,0,1,3,0,1,0,4,6,796
33,"PRATHMIK VIDHYALAYA MO.PUR AZAMPUR",727,582,0,1309,476,402,0,878,813,0,573,211,26,47,1,0,0,0,0,1,2,0,2,0,2,13,878
34,"PRATHMIK VIDHYALAYA   KANIYA KALYANPUR R.N.-1",705,533,0,1238,443,362,0,805,789,0,437,317,16,20,2,0,0,0,1,0,4,0,1,0,1,6,805
35,"PRATHMIK VIDHYALAYA   KANIYA KALYANPUR R.N.-2",537,405,0,942,332,249,0,581,579,0,479,9,20,48,0,0,0,1,1,2,0,0,3,4,1,13,581
36,"PRATHMIK VIDHYALAYA   HAVASPUR VIGAS R.N.-1",723,571,0,1294,418,294,0,712,708,0,455,197,15,18,1,0,1,1,2,2,8,0,3,1,5,3,712
37,"PRATHMIK VIDHYALAYA   HAVASPUR VIGAS R.N.-2",527,431,0,958,358,282,0,640,639,0,559,23,10,37,0,0,0,0,0,0,3,1,2,0,0,5,640
38,"PRATHMIK VIDHYALAYA  JAINUDDINPUR GAJALPUR",331,279,0,610,244,194,0,438,438,0,288,130,8,6,0,0,0,0,0,0,1,0,0,2,2,1,438
39,"PRATHMIK VIDHYALAYA  ATUTA  R.N.-1",516,413,0,929,347,267,0,614,613,0,399,33,27,146,1,1,0,0,0,0,1,0,1,1,2,2,614
40,"PRATHMIK VIDHYALAYA  ATUTA  R.N.-2",602,417,0,1019,369,269,0,638,550,0,407,144,14,53,1,0,0,0,0,1,6,1,2,2,2,5,638
41,"PRATHMIK VIDHYALAYA N0 - 1 UPAIDA  R.N.-1",668,549,0,1217,438,322,0,760,753,0,506,117,75,47,2,0,0,0,0,0,0,0,1,3,0,9,760
42,"PRATHMIK VIDHYALAYA N0- 1 UPAIDA  R.N.-2",386,309,0,695,264,201,0,465,460,0,357,40,35,27,0,0,0,0,0,0,1,1,3,0,0,1,465
43,"PRATHMIK VIDHYALAYA N0- 2  UPAIDA R.N.-1",713,532,0,1245,451,347,0,798,798,0,485,249,7,34,1,1,0,0,3,0,9,0,1,0,2,6,798
44,"PRATHMIK VIDHYALAYA N0 - 2 UPAIDA  R.N.-2",739,581,0,1320,534,407,0,941,941,0,289,591,13,26,0,0,0,2,0,0,0,2,5,1,6,6,941
45,"PRATHMIK VIDHYALAYA KANHI URF DAYANAGAR",201,178,0,379,146,128,0,274,274,0,258,6,0,8,0,0,0,0,0,1,0,0,0,0,0,1,274
46,"PRATHMIK VIDHYALAYA   MUBARAKPUR SALAMATPUR R.N.-1",455,400,1,856,279,255,0,534,525,0,28,448,4,36,2,0,0,0,0,0,0,1,0,0,13,2,534
47,"PRATHMIK VIDHYALAYA   MUBARAKPUR SALAMATPUR R.N.-2",714,608,0,1322,520,370,0,890,887,0,564,77,1,220,1,0,0,3,2,1,0,0,6,2,3,10,890
48,"PRATHMIK VIDHYALAYA  SHAKARPUR",240,174,0,414,184,129,0,313,265,0,294,6,1,8,0,0,0,0,0,0,0,1,0,0,0,3,313
49,"PRATHMIK VIDHYALAYA  SHAHPUR JATT",588,514,0,1102,476,419,0,895,895,0,228,640,10,5,2,1,0,0,0,0,5,0,0,0,2,2,895
50,"HARIHARNATH SHASTRI SHAMARAK INTER COLLEGE UPAIDA R.N.-1",842,714,0,1556,515,448,0,963,958,0,824,39,26,50,2,1,1,4,0,0,0,2,0,3,3,8,963
51,"HARIHARNATH SHASTRI SHAMARAK INTER COLLEGE UPAIDA R.N.-2",978,752,0,1730,595,467,0,1062,1059,0,725,139,25,146,3,0,1,1,0,1,6,0,5,0,1,9,1062
52,"PRATHMIK VIDHYALAYA N.2 ALLIPUR MUGALPUR R.N.-1",604,472,0,1076,396,267,0,663,662,0,104,519,6,18,1,0,0,1,0,1,1,1,1,0,9,1,663
53,"PRATHMIK VIDHYALAYA N.2 ALLIPUR MUGALPUR R.N.-2",616,473,0,1089,305,227,0,532,532,0,227,73,17,204,0,0,1,0,0,0,0,1,1,1,3,4,532
54,"PRATHMIK VIDHYALAYA RASOOLPUR BAHALOLPUR R.N.-1",747,565,1,1313,454,361,0,815,733,0,398,370,14,19,0,0,0,0,0,0,2,0,0,2,4,6,815
55,"PRATHMIK VIDHYALAYA RASOOLPUR BAHALOLPUR R.N.-2",826,592,0,1418,582,426,0,1008,996,0,239,562,60,122,1,0,1,2,0,1,0,0,4,5,8,3,1008
56,"PURVA MADHYAMIK  VIDHYALAYA RASOOLPUR BAHALOLPUR",526,427,0,953,359,277,0,636,632,0,487,30,30,82,2,0,0,0,0,0,0,0,1,2,0,2,636
57,"PURVA MADHYAMIK  VIDHYALAYA BANKHANDA R.N.-1",752,656,0,1408,487,417,0,904,904,0,673,129,56,26,1,1,0,0,0,1,4,0,5,2,2,4,904
58,"PURVA MADHYAMIK VIDHYALAYA BANKHANDA R.N.-2",598,515,1,1114,373,341,0,714,714,0,308,348,6,30,0,0,1,0,0,1,4,0,3,3,6,4,714
59,"PRATHMIK VIDHYALAYA N.2 BANKHANDA",640,560,0,1200,358,309,0,667,649,0,525,35,13,68,3,0,0,1,2,0,4,2,1,1,1,11,667
60,"PRATHMIK VIDHYALAYA HAJIPUR",332,299,0,631,221,187,0,408,408,0,320,1,4,77,3,0,0,0,0,0,0,0,0,0,0,3,408
61,"PRATHMIK VIDHYALAYA HAJIPUR",441,358,0,799,270,237,0,507,478,0,153,299,7,33,1,0,1,0,0,0,1,1,2,0,5,4,507
62,"PRATHMIK VIDHYALAYA N.-2 SHIKHEDA MURADABAD R.N. -1",632,564,0,1196,410,352,0,762,762,0,73,470,1,205,3,0,2,0,0,0,0,0,1,1,5,1,762
63,"PRATHMIK VIDHYALAYA N.-2 SHIKHEDA MURADABAD R.N. -2",569,472,1,1042,341,293,0,634,634,0,105,284,0,222,2,0,1,0,1,1,3,0,2,4,5,4,634
64,"PRATHMIK VIDHYALAYA N.-1 SHIKHEDA MURADABAD",697,541,0,1238,455,335,0,790,790,0,497,136,6,140,1,0,0,0,0,1,0,0,0,0,1,8,790
65,"PRATHMIK VIDHYALAYA NAYA BAS SHIKHEDHA",338,222,0,560,260,178,0,438,438,0,185,33,0,203,6,1,0,0,0,0,4,1,1,0,0,4,438
66,"PRATHMIK VIDHYALAYA FARIDPUR SIMBHOLI R.N.-1",677,528,0,1205,472,372,0,844,844,0,409,378,11,26,1,0,0,1,0,0,2,1,1,2,5,7,844
67,"PRATHMIK VIDHYALAYA FARIDPUR SIMBHOLI R.N.-2",356,284,0,640,246,198,0,444,437,0,297,49,0,94,0,0,0,0,1,0,0,0,2,0,0,1,444
68,"PRATHMIK VIDHYALAYA RAJPUR R.N.-1",684,580,2,1266,461,384,0,845,845,0,33,312,2,470,7,3,1,0,0,0,6,0,4,3,1,3,845
69,"PRATHMIK VIDHYALAYA RAJPUR R.N.-2",624,544,0,1168,449,371,0,820,820,0,350,89,3,360,1,0,0,0,0,0,2,1,2,4,5,3,820
70,"PRATHMIK VIDHYALAYA RAJPUR MANDHAIYA",455,355,0,810,364,274,0,638,636,0,515,30,1,78,0,0,0,0,0,0,0,0,2,1,2,9,638
71,"PRATHMIK VIDHYALAYA RAJPUR HIGHCOURT",276,245,0,521,243,200,0,443,243,0,316,111,0,10,1,0,1,0,0,0,0,0,1,0,1,2,443
72,"PRATHMIK VIDHYALAYA HIMMATPUR R.N.-1",696,629,0,1325,508,483,0,991,991,0,25,415,2,536,2,0,0,0,0,0,0,1,4,0,3,3,991
73,"PRATHMIK VIDHYALAYA HIMMATPUR R.N.-2",721,644,0,1365,567,486,0,1053,1053,0,594,268,5,165,0,0,0,0,0,0,1,1,3,1,3,12,1053
74,"PRATHMIK VIDHYALAYA  PEERNAGER",599,514,0,1113,453,349,0,802,802,0,729,30,8,23,0,1,0,0,0,3,1,0,1,0,2,4,802
75,"PRATHMIK VIDHYALAYA DATTIYANA R.N.-1",684,553,0,1237,443,350,0,793,793,0,601,48,6,123,3,0,1,1,0,1,1,0,2,0,1,5,793
76,"PRATHMIK VIDHYALAYA DATTIYANA R.N.-2",686,547,0,1233,457,339,0,796,796,0,553,187,10,35,0,0,0,0,0,1,0,0,2,3,1,4,796
77,"PRATHMIK VIDHYALAYA  FARIDPUR GOSAI",494,415,1,910,354,298,0,652,652,0,331,103,3,208,2,0,0,1,0,1,0,0,1,0,1,1,652
78,"PRATHMIK VIDHYALAYA AKBARPUR  BUKLANA",815,640,0,1455,570,414,0,984,980,0,700,201,2,57,0,2,0,1,0,2,4,0,1,3,1,10,984
79,"PRATHMIK VIDHYALAYA BHAGWANPUR  R.N.-1",501,383,0,884,376,287,0,663,663,0,337,272,0,44,0,0,1,0,0,0,0,0,1,1,2,5,663
80,"PRATHMIK VIDHYALAYA BHAGWANPUR  R.N.-2",407,356,0,763,323,272,0,595,595,0,535,3,2,49,1,0,0,0,0,1,0,0,1,0,0,3,595
81,"PRATHMIK VIDHYALAYA DHANPURA",408,310,0,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,"PRATHMIK VIDHYALAYA NYAJPUR KHAIYYA",535,420,0,955,437,288,0,725,725,0,537,133,33,12,0,0,0,0,0,0,0,0,1,2,3,4,725
83,"PRATHMIK VIDHYALAYA SHARIFPUR R.N.-1",589,452,0,1041,436,292,0,728,726,0,657,10,0,46,1,0,1,1,0,1,1,1,2,2,1,4,728
84,"PRATHMIK VIDHYALAYA SHARIFPUR R.N.-2",456,348,0,804,308,214,0,522,519,0,241,244,3,20,2,0,0,1,0,1,0,0,3,1,4,2,522
85,"PRATHMIK VIDHYALAYA  ANOOPPUR DIBAI R.N.-1",775,639,0,1414,452,434,0,886,886,0,7,548,5,304,1,1,1,0,0,0,0,1,5,1,7,5,886
86,"PRATHMIK VIDHYALAYA  ANOOPPUR DIBAI R.N.-2",337,304,0,641,206,195,0,401,400,0,32,208,3,156,1,1,0,0,0,0,0,0,0,0,0,0,401
87,"PRATHMIK VIDHYALAYA SUKLAMPURA MAJRA",269,206,0,475,228,175,0,403,403,0,379,17,0,5,0,0,0,0,0,0,0,0,0,0,0,2,403
88,"PURVA MADHYAMIK  VIDHYALAYA RASOOLABAD NANPUR",655,487,0,1142,486,315,0,801,799,0,425,307,5,44,0,2,0,0,0,0,2,1,4,3,1,7,801
89,"PRATHMIK VIDHYALAYA  RASOOLABAD NANPUR R.N.1",835,625,0,1460,589,441,0,1030,1030,0,595,29,3,400,2,0,0,0,0,0,0,0,0,1,0,0,1030
90,"PRATHMIK VIDHYALAYA  RASOOLABAD NANPUR R.N.2",704,503,1,1208,459,365,0,824,824,0,480,35,2,292,3,0,0,0,1,2,0,2,1,2,0,4,824
91,"LALA BABU BAIZAL MEMORIAL INTER COLLEGE LODHIPUR SOBHAN",491,447,0,938,448,362,0,810,810,0,755,44,3,2,0,0,1,0,0,0,1,0,0,0,1,3,810
92,"PRATHMIK VIDHYALAYA MURADPUR PAWTI R.N.1",351,329,0,680,287,260,0,547,547,0,486,1,16,43,0,0,0,0,0,0,0,0,0,0,0,1,547
93,"PRATHMIK VIDHYALAYA  MURADPUR PAWTI R.N.2",420,338,0,758,323,227,0,550,548,0,431,3,37,72,0,0,0,0,1,0,2,1,0,0,0,3,550
94,"PRATHMIK VIDHYALAYA HAIDARPUR R.N.1",359,264,0,623,251,173,0,424,424,0,357,9,0,56,0,0,0,0,1,1,0,0,0,0,0,0,424
95,"PRATHMIK VIDHYALAYA HAIDARPUR R.N.2",646,501,0,1147,451,357,0,808,803,0,425,307,0,56,0,0,0,0,0,1,0,1,3,3,9,3,808
96,"PRATHMIK VIDHYALAYA LODHIPUR CHHAPKA R.N.1",532,418,0,950,389,308,0,697,697,0,654,16,1,19,0,0,0,0,0,0,0,1,0,1,0,5,697
97,"PRATHMIK VIDHYALAYA LODHIPUR CHHAPKA R.N.2",439,341,0,780,349,255,0,604,604,0,520,48,4,24,0,0,0,0,1,0,0,0,2,1,0,4,604
98,"PRATHMIK VIDHYALAYA SADULLAPUR LODHI R.N.-1",626,542,0,1168,459,410,0,869,869,0,543,209,3,104,2,0,1,0,0,0,0,0,1,0,1,5,869
99,"PRATHMIK VIDHYALAYA SADULLAPUR LODHI  R.N.-2",561,503,0,1064,413,369,0,782,768,0,643,67,38,28,0,0,0,0,0,0,2,0,1,0,1,2,782
100,"PRATHMIK VIDHYALAYA NIJAMPUR URF HIRANPURA",311,266,0,577,273,240,0,513,512,0,508,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513
101,"PRATHMIK VIDHYALAYA POPAI",630,544,0,1174,335,299,0,634,634,0,125,179,6,298,2,3,0,0,1,2,4,1,2,2,5,4,634
102,"PRATHMIK VIDHYALAYA MURADPUR JANUPURA  R.N.-1",507,433,0,940,299,270,0,569,569,0,270,289,2,3,0,0,0,0,0,0,0,0,0,0,1,4,569
103,"PRATHMIK VIDHYALAYA MURADPUR JANUPURA R.N.-2",570,491,0,1061,365,338,0,703,703,0,501,175,4,16,0,1,0,0,0,0,1,0,0,0,3,2,703
104,"PRATHMIK VIDHYALAYA  JHADINA R.N.-1",446,403,0,849,334,308,0,642,642,0,176,445,5,4,0,0,0,0,0,0,3,0,0,2,4,3,642
105,"PRATHMIK VIDHYALAYA  JHADINA R.N.-2",489,416,0,905,340,301,0,641,641,0,482,122,3,22,0,0,0,0,1,0,0,0,0,1,0,10,641
106,"PRATHMIK VIDHYALAYA JHADINA R.N.-3",483,414,0,897,343,270,0,613,613,0,408,177,5,16,1,0,0,0,0,2,2,0,0,1,1,0,613
107,"PRATHMIK VIDHYALAYA SAIDPUR",180,155,0,335,158,132,0,290,290,0,282,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,290
108,"PRATHMIK VIDHYALAYA ALAMPUR BHAGAWANTPUR",164,154,0,318,141,105,0,246,246,0,157,30,5,52,0,0,0,0,0,0,1,0,0,0,0,1,246
109,"PRATHMIK VIDHYALAYA  LADPURA",586,458,0,1044,432,332,0,764,762,0,565,143,2,42,1,0,1,0,1,0,1,0,0,1,0,7,764
110,"PRATHMIK VIDHYALAYA KALYANPUR",603,554,0,1157,478,430,0,908,870,0,432,405,5,48,1,0,0,0,0,1,4,0,1,1,5,5,908
111,"PRATHMIK VIDHYALAYA N.-2  KHILWAI R.N. -1",537,458,0,995,328,273,0,601,598,0,523,16,1,52,1,0,0,0,0,0,0,0,2,0,1,5,601
112,"PRATHMIK VIDHYALAYA N.-2  KHILWAI R.N. -2",579,472,0,1051,420,359,0,779,778,0,383,366,1,17,1,0,0,0,0,0,0,0,0,1,5,5,779
113,"PRATHMIK VIDHYALAYA SHOGARH",164,138,0,302,119,104,0,223,221,0,17,45,0,155,2,0,1,0,0,0,0,0,2,1,0,0,223
114,"PRATHMIK VIDHYALAYA SHAHPUR CHAUDHARI  R.N.-1",533,387,0,920,467,316,0,783,783,0,555,119,0,99,1,0,0,0,0,0,1,0,0,0,2,6,783
115,"PRATHMIK VIDHYALAYA SHAHPUR CHAUDHARI  R.N.-2",411,362,0,773,305,264,0,569,568,0,311,74,3,163,2,0,0,0,0,1,0,0,2,2,4,7,569
116,"PRATHMIK VIDHYALAYA INAYATPUR R.N.-1",556,489,0,1045,448,364,0,812,812,0,396,340,3,41,1,0,0,0,2,1,0,1,2,1,9,15,812
117,"PRATHMIK VIDHYALAYA INAYATPUR R.N.-2",637,536,0,1173,492,393,0,885,885,0,808,13,9,24,0,0,1,0,0,0,1,2,3,2,1,21,885
118,"PRATHMIK VIDHYALAYA RAMPUR NEYAMATPUR R.N-.1",160,146,0,306,135,109,0,244,243,0,239,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,244
119,"PRATHMIK VIDHYALAYA RAMPUR NEYAMATPUR R.N-.2",469,366,0,835,343,247,0,590,590,0,539,11,3,12,3,0,0,0,0,1,3,0,2,4,3,9,590
120,"PRATHMIK VIDHYALAYA ABDULLAPUR",189,174,0,363,176,147,0,323,323,0,310,2,0,3,0,0,0,0,0,0,0,0,0,1,0,7,323
121,"PRATHMIK VIDHYALAYA DOTAI R.N.1-",446,379,0,825,326,308,0,634,634,0,108,141,7,362,3,0,3,1,0,1,1,1,3,0,3,0,634
122,"PRATHMIK VIDHYALAYA DOTAI R.N.2",394,388,0,782,271,279,0,550,550,0,207,79,2,252,3,1,1,0,0,0,0,1,1,0,0,3,550
123,"PRATHMIK VIDHYALAYA DOTAI R.N.3",446,382,0,828,331,281,0,612,599,0,49,198,4,350,2,1,1,1,0,1,0,0,1,0,1,3,612
124,"PRATHMIK VIDHYALAYA DOTAI R.N.4",497,400,0,897,319,245,0,564,560,0,31,224,3,300,0,2,0,0,0,0,0,0,0,0,1,3,564
125,"MADERSHA ISLAMIA ARBIYA ANVAR ULULUM DOTAI R.N.1",480,395,0,875,368,280,0,648,648,0,97,191,8,337,1,0,2,0,0,0,0,1,2,4,3,2,648
126,"MADERSHA ISLAMIA ARBIYA ANVAR ULULUM DOTAI R.N.2",526,415,1,942,340,280,0,620,605,0,17,190,2,403,0,1,0,1,1,0,0,0,2,0,3,0,620
127,"MADERSHA ISLAMIA ARBIYA ANVAR ULULUM DOTAI R.N.3",852,655,0,1507,552,417,0,969,871,0,35,352,11,558,2,0,0,0,0,0,2,1,2,1,1,4,969
128,"PRATHMIK VIDHYALAYA N.2 ATHASAINI R.N.-1",421,383,0,804,279,252,0,531,529,0,137,288,3,90,1,3,0,0,0,0,0,0,1,0,6,2,531
129,"PRATHMIK VIDHYALAYA N.2 ATHASAINI R.N.-2",439,366,0,805,290,246,0,536,536,0,52,430,2,30,4,2,0,1,0,2,0,0,1,4,5,3,536
130,"PURVA MADHYAMIK  VIDHYALAYA ATHASAINI R.N.-1",451,377,0,828,263,213,0,476,474,0,15,124,5,327,2,0,0,0,1,0,0,0,0,1,1,0,476
131,"PURVA MADHYAMIK  VIDHYALAYA ATHASAINI R.N.-2",468,380,0,848,302,265,0,567,567,0,54,139,1,365,0,0,0,0,0,1,1,1,1,0,2,2,567
132,"TALIM O TARAKKI INTER COLLEGE ATHASAINI R.N.-1",916,746,0,1662,587,447,0,1034,1032,0,83,357,8,558,3,2,0,0,0,0,7,0,1,3,4,8,1034
133,"TALIM O TARAKKI INTER COLLEGE ATHASAINI R.N.-2",856,698,0,1554,557,437,0,994,989,0,103,287,3,583,2,1,1,0,0,0,0,2,3,1,3,5,994
134,"PRATHMIK VIDHYALAYA  HASHUPURA R.N.-1",570,492,0,1062,402,346,0,748,739,0,445,20,8,261,1,0,0,0,0,0,0,1,1,0,1,10,748
135,"PRATHMIK VIDHYALAYA  HASHUPURA R.N.-2",608,465,0,1073,454,354,0,808,808,0,455,305,12,10,1,1,0,0,0,0,5,1,1,2,6,9,808
136,"PRATHMIK VIDHYALAYA MANKCHOWK",767,672,1,1440,548,461,0,1009,997,0,624,284,53,30,0,1,1,0,0,3,0,1,0,1,3,8,1009
137,"PRATHMIK VIDHYALAYA  DEWALI",849,664,0,1513,597,425,0,1022,1019,0,435,450,2,120,0,1,0,0,1,0,1,0,1,0,9,2,1022
138,"PRATHMIK VIDHYALAYA DHANA R.N.-1",653,571,0,1224,348,247,0,595,595,0,389,43,5,147,1,3,0,0,0,0,0,1,4,0,0,2,595
139,"PRATHMIK VIDHYALAYA DHANA R.N.-2",434,362,0,796,216,180,0,396,396,0,212,10,8,158,3,0,1,0,0,0,0,0,1,0,0,3,396
140,"PRATHMIK VIDHYALAYA LISDI",384,339,0,723,261,207,0,468,468,0,406,22,0,29,1,0,1,2,0,1,0,2,0,0,0,4,468
141,"PRATHMIK VIDHYALAYA AKKHAPUR",619,527,0,1146,459,360,0,819,818,0,383,239,145,44,1,1,0,0,0,1,0,0,1,0,3,1,819
142,"PRATHMIK VIDHYALAYA FATTHAPUR",529,451,0,980,359,295,0,654,652,0,370,224,37,12,0,0,0,0,0,0,0,0,1,0,5,5,654
143,"PRATHMIK VIDHYALAYA PHULDAHRA",615,510,0,1125,422,341,0,763,689,0,438,250,11,43,3,2,0,0,0,0,4,1,4,1,3,3,763
144,"PRATHMIK VIDHYALAYA  NAWADA KALAN",672,580,0,1252,556,429,0,985,985,0,734,122,26,92,1,1,0,0,0,1,0,0,1,1,1,5,985
145,"PRATHMIK VIDHYALAYA  TODARPUR",582,497,0,1079,394,361,0,755,755,0,70,305,6,354,3,1,1,1,0,0,0,2,1,2,5,4,755
146,"PRATHMIK VIDHYALAYA   BHOWAPUR",616,490,0,1106,416,320,0,736,736,0,443,117,2,149,1,0,2,0,0,1,1,1,2,1,3,13,736
147,"PRATHMIK VIDHYALAYA  BHOWAPUR MASTANNAGAR R.N.-1",419,291,0,710,247,144,0,391,391,0,339,10,6,26,2,0,0,1,0,2,5,0,0,0,0,0,391
