"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ARUN SHANKAR SHUKLA","2 - BRAJESH PATHAK","3 - SUKHDEV","4 - SWAMI SACHCHIDANAND HARI SAKSHI","5 - SUMIT TEWARI","6 - ANIL KUMAR MISHRA","7 - SHALU DHARMENDRA","8 - ANIL KUMAR CHAUDHARY","9 - ANNU TANDON","10 - ARVIND KUMAR","11 - ROOP NARAYAN SINGH","12 - GIRJA SHANKAR RAJU","13 - SHIVNATH","14 - RAKESH KUMAR","15 - ANIL KUMAR","16 - RAMESHWAR","17 - MOHAMMAD AMIR KHAN","18 - RAJNIKANT","19 - SHIVKANT","20 - AKHILESH KUMAR","21 - CHETRAM PASI","22 - None of the Above","Total Votes Secured"
52,"PRAIMARI PATHSALA RAMPUR KHALSA",626,508,0,1134,435,308,0,743,743,0,148,196,2,247,1,6,3,7,86,2,3,11,3,3,2,9,1,1,0,6,4,2,743
53,"PRAIMARI PATHSALA JHAJHARI",392,333,0,725,280,227,0,507,507,0,190,30,0,227,0,0,1,1,38,2,0,3,1,0,0,1,3,3,1,4,0,2,507
54,"PRAIMARI PATHSALA TIKARGADI",568,464,0,1032,386,238,0,624,624,0,170,22,3,371,1,0,2,2,35,2,0,5,1,0,0,1,3,1,1,2,0,2,624
55,"PRAIMARI PATHSALA MAIKUWA KHERA M0 TIKARGADI",589,484,0,1073,138,102,0,240,240,0,39,62,0,113,1,0,0,4,9,0,1,2,0,0,2,0,0,1,3,0,2,1,240
56,"PRAIMARI VIDHALAY BHADESH",612,439,0,1051,395,247,0,642,642,0,214,65,1,248,1,1,1,9,58,1,1,9,3,2,3,1,5,6,5,3,4,1,642
57,"PRAIMARI VIDHALAY SHANKAR KHEDA",499,378,0,877,378,227,0,605,605,0,78,74,1,382,1,0,1,6,33,4,0,4,1,2,4,4,3,3,1,1,0,2,605
58,"PRAIMARI PATHSALA MAVAIYA",578,440,0,1018,393,270,0,663,663,0,201,76,4,298,2,1,3,6,27,3,1,5,7,3,1,5,0,9,2,3,3,3,663
59,"PRAIMARI PATHSALA SINGHPUR",478,386,1,865,336,299,0,635,635,0,15,166,3,368,7,1,2,10,41,0,2,7,2,1,0,2,2,1,3,1,1,0,635
60,"PRAIMARI PATHSALA PURW DOSTINAGAR",857,674,0,1531,571,429,0,1000,1000,0,141,283,2,422,2,0,0,0,107,7,0,7,2,3,0,1,7,3,3,2,3,5,1000
61,"PRAIMARI PATHSALA PASHCHIM DOSTI NAGAR",279,272,0,551,232,221,0,453,453,0,90,47,0,274,0,0,2,2,24,6,0,1,0,0,0,2,0,1,0,2,1,1,453
62,"UCH PRATHIMIC VIDHALAY PATIYARA",444,333,0,777,293,223,0,516,516,0,119,70,0,246,0,1,0,0,66,0,0,2,1,0,1,2,3,0,1,2,2,0,516
63,"PRAIMARI PATHSALA BHATAWA",840,692,0,1532,593,470,0,1063,1063,0,305,26,2,655,1,1,6,10,20,1,1,13,2,0,0,3,2,2,1,6,4,2,1063
64,"PRAIMARI PATHSALA SAIYADPUR",709,583,0,1292,514,418,0,932,932,0,328,112,1,358,2,1,5,16,80,0,1,6,0,1,5,6,3,0,0,3,2,2,932
65,"PRAIMARI PATHSALA UTTAR BARWAT",709,626,0,1335,274,200,0,474,473,0,70,159,2,124,2,1,6,8,62,1,0,3,5,1,1,5,3,2,3,3,2,11,474
66,"PRAIMARI PATHSALA DACHHIDN BARWAT",446,384,0,830,294,212,0,506,506,0,141,32,1,276,1,2,0,6,32,2,1,3,0,0,1,0,0,0,1,3,4,0,506
67,"PARIMARI PATHSALA RAJEPUR",573,445,0,1018,400,280,0,680,680,0,70,150,0,364,1,1,2,6,63,1,0,3,1,0,0,7,2,0,1,5,1,2,680
68,"PARIMARI PATHSALA RAJEPUR",505,401,0,906,295,216,0,511,511,0,127,64,1,178,0,0,0,3,111,0,2,6,3,0,0,5,2,3,1,1,1,3,511
69,"JUNIAR HIGH SCHOOL PURW PATARI",810,630,0,1440,545,378,0,923,923,0,96,132,0,503,1,2,2,1,151,2,2,6,0,0,1,3,8,2,0,7,1,3,923
70,"JUNIAR HIGH SCHOOL PASHCHIM PATARI",741,609,1,1351,440,338,0,778,778,0,78,52,1,551,3,4,3,2,51,1,1,6,1,5,0,4,6,1,1,3,2,2,778
71,"PRAIMARI PATHSALA PATKAPUR M0 PATARI",473,332,0,805,320,217,0,537,537,0,163,28,1,311,0,0,0,3,11,0,0,7,3,0,0,2,3,0,2,2,0,1,537
72,"PRAIMARI PATHSALA LALAKHERA M0 PATARI",393,298,0,691,263,216,0,479,479,0,104,63,0,267,0,3,0,1,17,0,0,3,3,2,0,1,3,3,0,3,2,4,479
73,"PRAIMARI PATHSALA BUDHIKHERA M0 PATARI",774,576,0,1350,475,332,0,807,807,0,162,96,3,422,2,2,2,4,93,1,2,6,0,1,1,2,0,0,3,4,1,0,807
74,"PRAIMARI PATHSALA SATHRA",818,636,0,1454,505,355,0,860,860,0,230,109,5,423,2,1,1,10,42,0,2,6,3,1,1,7,1,0,4,9,1,2,860
75,"PRAIMARI PATHSALA MOHIDDENPUR",799,640,0,1439,558,240,0,798,798,0,155,157,1,369,3,1,2,2,44,0,2,6,8,0,3,10,10,5,12,2,2,4,798
76,"PRAIMARI PATHSALA PIYAREPUR",496,412,0,908,367,266,0,633,633,0,133,64,1,348,0,3,0,8,58,0,1,3,1,0,0,3,2,0,1,4,0,3,633
77,"PRAIMARI PATHSALA SIHURA",398,302,0,700,260,199,0,459,459,0,96,47,1,244,2,0,0,4,52,1,0,2,1,1,0,1,1,0,0,2,4,0,459
78,"PRAIMARI PATHSALA PURW SAROSI",466,342,0,808,294,164,0,458,458,0,77,119,1,219,3,0,0,1,22,2,1,0,3,1,0,2,1,0,1,2,1,2,458
79,"PRAIMARI PATHSALA PASHCHIM SAROSI",810,600,0,1410,368,275,0,643,643,0,106,140,1,259,0,2,1,3,114,0,0,2,2,0,2,3,0,1,1,3,2,1,643
80,"JUNIAR HIGH SHCOOL PASHCHIM SAROSI",564,431,0,995,340,213,0,553,553,0,191,118,0,172,0,0,1,2,54,1,0,0,2,0,0,5,0,2,1,1,1,2,553
