"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASHOK SINGH","2 - RAKESH PANDEY","3 - RAM MURTI VERMA","4 - HARI OM PANDEY","5 - GOPAL NISHAD","6 - JAHAR SINGH KASHYAP","7 - BALMUKUND DHURIYA","8 - BRIJESH KUMAR","9 - RAM BAHAL VERMA","10 - SREERAM","11 - SURENDRA KUMAR","12 - SURESH KUMAR BAUDDH","13 - TIGER RAMNIHOR PATEL","14 - VINOD KUMAR TIWARI","15 - None of the Above","Total Votes Secured"
42,"P.V. CHITWAI",850,720,0,1570,448,494,0,942,942,0,14,272,289,323,6,1,0,4,2,3,2,11,4,3,8,942
43,"P.M.V. BALRAMPUR",813,658,0,1471,413,407,0,820,820,0,7,179,218,390,4,0,2,1,0,1,3,5,1,1,8,820
44,"P.V. YADAVPUR",407,307,0,714,275,182,0,457,457,0,1,132,3,304,2,0,2,0,0,0,2,3,1,4,3,457
45,"P.V. FOOLPUR",277,222,0,499,161,140,0,301,301,0,4,55,60,173,1,0,0,0,0,1,1,3,1,2,0,301
46,"P.V. FOOLPUR NAYA KAKSH",714,628,0,1342,489,389,0,878,878,0,14,305,109,413,2,2,0,2,1,4,1,7,6,3,9,878
47,"P.V. AMEENPUR",761,670,0,1431,360,424,0,784,784,0,11,485,247,26,1,1,0,0,0,1,1,3,2,1,5,784
48,"P.V. ALANPUR PURVI KAKSH",601,537,0,1138,219,326,0,545,545,0,47,376,110,4,0,2,3,0,0,0,0,1,0,0,2,545
49,"P.V. ALANPUR PASCHIMI KAKSH",505,451,0,956,210,265,0,475,464,0,14,319,132,1,0,0,0,0,0,0,0,3,2,2,2,475
50,"P.V. KHURKHURI",403,364,0,767,212,234,0,446,426,0,14,143,154,126,2,0,0,1,0,0,0,3,1,0,2,446
51,"P.V. DARIYAPUR BANJARA",601,479,0,1080,360,281,0,641,641,0,10,102,42,445,4,8,1,3,1,2,3,7,2,3,8,641
52,"P.V. NAIPURA UTTARI KAKSH",781,655,0,1436,485,399,0,884,884,0,16,200,133,473,9,1,4,1,3,5,1,10,15,4,9,884
53,"P.V. NAIPURA DAKSHINI KAKSH",310,241,0,551,173,139,0,312,312,0,11,47,76,164,0,0,0,0,0,1,0,2,4,2,5,312
54,"P.V. DHELMAU",448,371,0,819,137,168,0,305,299,0,19,172,80,30,0,0,0,0,0,0,1,1,0,1,1,305
55,"P.V. SALARPUR",456,375,0,831,272,245,0,517,517,0,7,119,91,283,2,3,0,0,0,1,0,0,7,2,2,517
56,"P.V. MAHESHPUR",389,337,0,726,168,216,0,384,380,0,7,224,42,94,3,1,0,0,0,0,1,1,3,4,4,384
57,"SHAHARYAR BEG I.C. AAMDEEH",133,111,0,244,51,55,0,106,106,0,13,56,35,0,0,1,0,0,0,0,1,0,0,0,0,106
58,"P.V. TAJPUR SEMARIYA UTTARI KAKSH",324,283,0,607,170,187,0,357,355,0,11,115,28,184,1,0,0,0,0,0,1,4,9,3,1,357
59,"P.V. TAJPUR SEMARIYA DAKSHINI KAKSH",638,629,0,1267,400,386,0,786,781,0,11,249,98,401,3,0,0,2,1,0,2,7,4,2,6,786
60,"HA.NURULLAH V. ILTIFATGANJ UTTARI KAKSH",600,517,0,1117,259,270,0,529,529,0,11,183,317,10,0,0,0,0,0,0,1,5,0,0,2,529
61,"HA.NURULLAH V. ILTIFATGANJ PURVI DAKSHINI KAKSH",741,584,0,1325,309,300,0,609,609,0,13,94,416,79,0,1,0,0,0,0,0,2,1,3,0,609
62,"HA.NURULLAH V. ILTIFATGANJ MADHYA-1",503,371,0,874,239,237,0,476,476,0,7,71,350,42,0,2,0,0,0,0,1,0,0,0,3,476
63,"HA.NURULLAH V. ILTIFATGANJ MADHYA-2",816,642,0,1458,480,388,0,868,865,0,14,160,251,416,1,8,1,1,1,1,1,6,0,3,4,868
64,"HA.NURULLAH V. ILTIFATGANJ MADHYA-3",593,449,0,1042,287,236,0,523,518,0,6,137,244,126,0,2,0,1,1,2,0,3,0,0,1,523
65,"HA.NURULLAH V. ILTIFATGANJ MADHYA-4",452,368,0,820,261,214,0,475,465,0,12,99,207,150,0,2,0,0,0,0,0,3,1,1,0,475
66,"HA.NURULLAH V. ILTIFATGANJ DAKSHINI-1",577,480,0,1057,268,268,0,536,536,0,8,80,377,53,2,1,0,0,0,1,0,7,0,1,6,536
67,"HA.NURULLAH V. ILTIFATGANJ DAKSHINI-2",378,298,0,676,179,169,0,348,348,0,16,26,277,20,0,1,1,2,0,0,0,2,1,1,1,348
68,"HA.NURULLAH V. ILTIFATGANJ DAKSHINI KAKSH",802,617,0,1419,438,358,0,796,791,0,14,124,179,434,3,17,2,1,0,2,0,2,6,4,8,796
69,"TANDA T.I.C. VIDYUTNAGAR PURVI KAKSH",538,367,0,905,227,165,0,392,360,0,22,39,36,273,3,1,1,10,1,1,5,0,0,0,0,392
70,"TANDA T.I.C. VIDYUTNAGAR PASCHIMI KAKSH",510,439,0,949,176,163,0,339,339,0,14,34,32,242,0,0,0,15,0,1,0,0,0,0,1,339
71,"TANDA T.I.C. VIDYUTNAGAR MADHYA KAKSH",675,485,0,1160,407,321,0,728,715,0,7,64,37,567,6,4,0,4,2,6,1,8,6,4,12,728
72,"P.V. SALAHPUR RAJAUR",464,448,0,912,330,317,0,647,647,0,13,201,119,292,4,0,3,0,0,0,0,3,2,6,4,647
73,"P.V. RAIPUR DWITIY",436,362,0,798,297,235,0,532,532,0,5,103,143,272,1,0,0,1,0,0,0,2,1,3,1,532
74,"P.V. MAKHDOOM NAGAR",829,685,0,1514,569,460,0,1029,1019,0,24,254,203,506,3,2,1,1,2,2,4,9,6,5,7,1029
75,"P.M.V. FATEHPUR PURVI KAKSH",752,641,0,1393,503,435,0,938,938,0,18,192,177,505,3,0,1,4,1,5,4,9,6,6,7,938
76,"P.M.V. FATEHPUR MADHYA KAKSH",259,230,0,489,200,119,0,319,319,0,7,186,11,101,1,0,0,1,0,0,5,1,2,2,2,319
77,"P.V. DARMUPUR",824,642,0,1466,438,381,0,819,750,0,16,171,340,261,2,1,2,2,0,4,2,8,4,2,4,819
78,"K.P.V. KAREEM PATTI",657,583,0,1240,447,380,0,827,827,0,18,283,97,388,2,2,0,3,2,2,11,1,12,2,4,827
79,"P.V. FARIDPUR KALA",739,682,0,1421,433,437,0,870,870,0,22,207,182,414,2,2,2,2,1,0,1,14,8,7,6,870
80,"P.V. HUNSEPUR",358,351,0,709,239,239,0,478,475,0,5,99,86,268,2,8,0,1,0,2,0,1,1,2,3,478
81,"P.V. JIYAPUR",534,547,0,1081,340,291,0,631,627,0,6,191,139,275,1,1,2,0,0,3,2,3,3,2,3,631
82,"P.V. DIHWA DAULATPUR UTTARI KAKSH",743,695,0,1438,434,418,0,852,785,0,14,229,136,430,6,7,3,0,0,3,2,6,5,6,5,852
83,"P.V. DIHWA DAULATPUR DAKSHINI KAKSH",209,232,0,441,125,130,0,255,247,0,3,102,33,104,1,2,0,0,1,1,0,3,3,1,1,255
84,"P.V. MOHIUDDINPUR",242,216,0,458,150,139,0,289,288,0,3,132,100,42,0,0,0,0,1,0,1,1,6,1,2,289
85,"P.V. HUSENPUR SUDHANA PURVI KAKSH",866,698,0,1564,612,420,0,1032,1000,0,24,187,176,605,5,2,4,0,0,3,3,5,8,4,6,1032
86,"P.V. HUSENPUR SUDHANA PASCHIMI KAKSH",405,335,0,740,234,187,0,421,421,0,6,150,86,163,2,1,0,1,0,4,1,4,0,3,0,421
87,"P.V. KANAUDHA",249,227,0,476,168,164,0,332,332,0,9,179,27,111,0,1,0,0,0,1,0,1,2,1,0,332
88,"P.V. VIHRA",480,391,0,871,296,259,0,555,550,0,6,119,25,396,1,0,0,2,0,1,0,2,2,1,0,555
89,"P.V. MUKUNDPUR",449,398,0,847,327,290,0,617,617,0,3,308,26,253,1,0,1,0,3,0,3,6,6,3,4,617
90,"P.V. NANDAPUR UTTARI KAKSH",660,637,0,1297,465,405,0,870,870,0,11,243,203,395,1,3,1,4,0,2,0,3,0,1,3,870
91,"P.V. NANDAPUR DAKSHINI KAKSH",315,300,0,615,212,187,0,399,399,0,5,104,80,199,2,0,0,2,0,0,1,3,1,1,1,399
92,"P.V. BADAGAON IBRAHIMPUR",405,392,0,797,252,224,0,476,476,0,19,173,96,177,1,2,0,1,0,1,0,1,1,2,2,476
93,"P.M.V. IBRAHIMPUR BADAGAON",458,429,0,887,311,294,0,605,605,0,6,150,98,311,0,5,1,4,0,5,3,8,9,1,4,605
94,"P.V. MUJAHIDPUR",405,346,0,751,258,237,0,495,489,0,15,164,51,257,0,1,1,0,0,0,0,2,3,0,1,495
95,"U.M.V. SHADIPUR",524,441,0,965,350,257,0,607,591,0,4,100,124,355,3,2,0,1,0,1,1,8,2,1,5,607
96,"P.V. ALIGANJ",307,273,0,580,204,187,0,391,391,0,3,136,73,162,2,3,0,0,1,1,0,2,4,2,2,391
97,"P.V. KEDARNAGAR PURVI KAKSH",644,623,0,1267,422,406,0,828,792,0,7,280,99,425,0,0,2,0,0,3,0,6,5,1,0,828
98,"P.V. KEDARNAGAR PASCHIMI KAKSH",436,381,0,817,276,227,0,503,503,0,10,61,43,376,2,0,0,3,0,0,0,3,1,2,2,503
99,"P.V. KHANSAPUR",865,734,0,1599,510,498,0,1008,980,0,18,258,323,374,15,1,0,0,1,2,3,4,3,3,3,1008
100,"P.V. NANDPUR",285,256,0,541,167,174,0,341,321,0,4,132,17,179,1,1,0,1,0,0,0,3,1,0,2,341
101,P.V.DADI,631,555,0,1186,408,373,0,781,781,0,16,164,268,306,2,1,1,0,1,1,1,4,8,2,6,781
102,"P.V. MUSTAFABAD",403,350,1,754,198,214,0,412,387,0,5,87,45,248,1,0,0,0,0,4,1,6,7,4,4,412
103,"P.V. BIRSINGHPUR",596,549,0,1145,408,362,0,770,770,0,12,307,178,224,4,0,0,6,0,1,2,9,10,6,11,770
104,"P.V. KALESAR",372,347,0,719,239,206,0,445,445,0,4,150,48,211,4,1,0,0,0,1,1,8,4,3,10,445
105,"P.M.V. GUVANV",718,637,0,1355,484,410,0,894,894,0,3,178,358,309,2,0,0,3,0,1,5,13,10,5,7,894
106,"P.V. KESHAVPUR",388,322,0,710,255,233,0,488,483,0,10,224,24,225,0,2,1,0,0,0,0,1,0,1,0,488
107,"P.V. CHANDPUR JUDAWAN",277,262,0,539,170,163,0,333,333,0,2,172,27,119,2,2,0,1,0,2,0,1,2,2,1,333
108,"P.P. CHANDAINI",482,412,0,894,339,318,0,657,608,0,13,280,74,260,4,9,0,0,0,1,0,6,5,1,4,657
109,"P.P. KORARA",753,642,0,1395,550,402,0,952,932,0,9,237,278,389,4,1,0,1,1,6,3,9,9,2,3,952
110,"P.P. HAIDRABAD",218,218,0,436,136,142,0,278,278,0,4,142,39,88,0,1,0,0,0,0,0,2,1,1,0,278
111,"P.P. BHARTPUR GIRANT",513,416,0,929,326,271,0,597,562,0,8,72,133,344,6,1,0,1,1,1,0,11,14,2,3,597
112,"P.P. MARTHUA SARAIYA",377,334,0,711,253,240,0,493,493,0,12,106,101,255,1,1,2,0,1,1,2,3,4,0,4,493
113,"P.P. MARTHUA SARAIYA",807,676,0,1483,507,414,0,921,911,0,21,183,203,473,7,6,1,7,3,0,1,5,4,2,5,921
114,"P.P. MEDIPUR",684,618,0,1302,457,327,0,784,784,0,4,286,233,229,4,1,1,1,1,1,1,6,4,7,5,784
115,"P.P. SARANGPUR UTTARI",691,623,0,1314,324,335,0,659,659,0,11,140,58,411,6,1,1,1,0,3,4,11,4,3,5,659
116,"P.P. SARANGPUR DAKHINI",636,503,0,1139,349,320,0,669,619,0,8,209,14,419,4,0,3,1,0,0,1,7,3,0,0,669
117,"P.P. YARKIBATTUGARH",744,673,0,1417,469,411,0,880,880,0,6,288,164,373,3,1,0,6,1,2,2,7,6,8,13,880
118,"P.P. YARKIBATTUGARH",425,391,0,816,295,228,0,523,523,0,10,307,57,120,1,3,1,3,0,0,2,4,4,3,8,523
119,P.P.YARKI,623,592,0,1215,347,315,0,662,662,0,4,133,114,372,4,2,3,0,3,5,0,7,8,0,7,662
120,"P.P. YARKI",711,644,0,1355,439,312,0,751,751,0,7,278,202,238,5,1,0,1,0,3,2,4,5,1,4,751
121,P.P.KHAJAWAN,781,629,1,1411,479,405,0,884,884,0,22,274,268,301,0,1,1,2,1,0,1,3,3,3,4,884
122,"PURV.M.V.ASHARFPUR BARWAN",422,375,0,797,251,284,0,535,535,0,2,142,219,161,0,0,0,0,0,2,1,1,2,3,2,535
123,"PURV.M.V.ASHARFPUR BARWAN",512,432,0,944,325,293,0,618,618,0,5,59,85,452,6,0,0,1,2,0,0,2,1,2,3,618
124,"P.P. TIKAMPARA",414,352,0,766,279,239,0,518,518,0,4,160,120,223,1,0,1,0,0,2,0,3,2,0,2,518
125,"P.P. TIKAMPARA",524,497,0,1021,343,325,0,668,668,0,3,182,178,265,3,1,0,0,0,3,1,9,3,11,9,668
126,"P.P. KHEWAR UTTARI PASCHIMI",488,440,0,928,297,254,0,551,551,0,4,122,81,321,1,7,1,1,0,5,1,2,2,1,2,551
127,"P.P. KHEWAR ATIRIKT KAKSH",371,291,0,662,228,195,0,423,423,0,14,149,30,212,0,0,1,0,1,0,2,4,6,1,3,423
128,"P.P. KHEWAR DAKHINI PASCHIMI",648,592,0,1240,393,335,0,728,728,0,14,245,108,349,2,1,0,2,0,0,1,4,1,0,1,728
129,"P.P. MAURAPARA",478,422,0,900,305,276,0,581,572,0,4,171,52,326,9,1,0,0,0,1,3,4,5,3,2,581
130,"P.P. NANDUPUR BHARTHUA",424,382,0,806,269,238,0,507,507,0,7,119,74,290,2,0,1,0,0,3,1,5,1,2,2,507
131,"P.P. NANDUPUR",494,472,0,966,320,280,0,600,600,0,8,145,114,294,2,0,0,0,1,4,0,6,14,8,4,600
132,"P.P. NANDUPUR",652,568,0,1220,351,331,0,682,682,0,16,250,115,266,4,1,3,3,0,1,3,4,4,5,7,682
133,"P.P. RAMNAGARJAMDARA",359,299,0,658,236,214,0,450,450,0,2,113,111,204,2,0,1,0,0,1,1,5,4,3,3,450
134,HATHPAKAR,762,722,0,1484,450,475,0,925,925,0,18,174,134,510,9,17,4,7,0,6,5,5,13,12,11,925
135,"P.P. JALALPUR CHANDPUR",610,494,0,1104,308,369,0,677,677,0,18,257,98,269,4,4,0,0,1,1,2,4,4,3,12,677
136,"P.P.SHAHPUR PALASHI",737,623,0,1360,415,400,0,815,815,0,17,183,104,470,3,2,1,2,2,0,1,9,7,2,12,815
137,"P.P. CHANDPUR MAHAMUDPUR",462,401,0,863,335,273,0,608,608,0,10,262,48,257,1,1,0,2,0,3,5,7,9,2,1,608
138,"P.P. PILKHAWAN",429,371,0,800,274,270,0,544,543,0,10,171,124,217,5,0,2,0,1,2,0,3,6,1,2,544
139,"P.P. JARUKHA UTTARI",460,403,0,863,298,247,0,545,545,0,6,138,103,281,3,1,1,1,0,0,3,2,2,1,3,545
140,"P.P. JARUKHA DAKHINI",496,408,0,904,201,300,0,501,491,0,10,122,220,131,1,6,1,3,0,0,0,2,2,1,2,501
141,"P.P. KATEHARI UTTARI PASCHIMI",828,737,0,1565,545,484,0,1029,1029,0,11,457,124,391,6,11,4,2,1,0,1,9,5,3,4,1029
142,"P.P. KATEHARI PASCHIMI DAKHINI",477,421,0,898,312,264,0,576,562,0,9,32,67,450,3,1,0,7,0,0,2,2,2,0,1,576
143,"P.P. KATEHARI PASCHIMI UTTARI",421,404,0,825,242,233,0,475,474,0,7,189,30,219,5,0,2,18,0,1,0,0,2,0,2,475
144,"J.H.S. KATEHARI PASCHIMI",416,346,0,762,257,200,0,457,457,0,3,57,105,279,2,0,1,2,0,0,0,1,1,0,6,457
145,"J.H.S. KATEHARI PASCHIMI DAKHINI",489,417,0,906,349,287,0,636,634,0,3,182,240,188,4,1,2,5,0,2,2,3,3,0,1,636
146,"J.H.S. KATEHARI PURVI",382,339,0,721,213,228,0,441,441,0,2,79,203,139,0,10,0,1,0,0,0,3,0,2,2,441
147,"J.H.S. KATEHARI PASCHIMI UTTARI",458,421,0,879,265,238,0,503,503,0,5,38,217,226,1,2,0,5,0,0,0,2,3,2,2,503
148,"P.P. LAKHAICHANPUR PURVI",486,422,0,908,241,243,0,484,484,0,3,158,30,252,1,16,0,2,0,4,1,4,7,0,6,484
149,"P.P. LAKHAICHANPUR PASCHIMI",414,379,0,793,261,244,0,505,505,0,9,147,107,219,3,9,2,1,1,2,0,2,3,0,0,505
150,"P.P. BARAHANIYAMATCHAK PURVI",398,345,0,743,254,242,0,496,496,0,2,46,232,200,3,0,0,2,1,1,2,1,3,0,3,496
151,"P.P. BARAHANIYAMTCHAK PASCHIMI",544,451,0,995,370,276,0,646,616,0,16,132,116,336,7,3,1,1,3,3,4,7,7,2,8,646
152,"P.P. GOPALPUR KALA",557,474,0,1031,349,337,0,686,686,0,15,227,88,325,2,0,0,9,0,2,2,4,2,3,7,686
153,"P.P. AMA",327,283,0,610,204,206,0,410,385,0,7,89,66,214,6,1,2,4,0,4,3,4,6,1,3,410
154,"P.P. BHURA",453,388,0,841,252,250,0,502,502,0,9,99,100,270,5,0,2,0,0,2,2,3,4,2,4,502
155,"P.P. AHIRAULI",584,494,0,1078,297,312,0,609,609,0,14,97,161,314,4,1,0,3,0,0,2,6,4,2,1,609
156,"P.P. AHIRAULI",342,295,0,637,217,201,0,418,407,0,7,160,24,218,2,0,0,0,1,0,0,1,3,2,0,418
157,"P.P. KURMIDIHA",626,556,0,1182,376,412,0,788,765,0,12,215,57,451,3,3,7,5,2,3,1,10,9,4,6,788
158,"P.P. NAKTAHA",463,423,0,886,308,289,0,597,577,0,8,200,94,239,2,14,4,7,2,3,1,8,6,1,8,597
159,"P.P. DARWAN",269,252,0,521,146,164,0,310,310,0,3,96,86,111,0,2,0,0,0,0,0,2,4,2,4,310
160,"P.P. DARWAN",686,599,0,1285,437,399,0,836,836,0,10,325,221,203,3,3,1,20,0,1,5,8,9,7,20,836
161,"P.P. LOKAPUR",661,581,0,1242,329,310,0,639,639,0,13,188,24,353,0,1,17,0,1,2,1,14,10,7,8,639
162,"P.P. ATAWAI",307,284,0,591,156,203,0,359,250,0,10,39,100,197,1,0,1,1,0,0,0,3,5,1,1,359
163,"P.P. ATAWAI",631,611,1,1243,405,417,0,822,822,0,7,205,225,350,8,1,1,3,0,1,2,7,7,1,4,822
164,"P.P. BHAGOLA",381,343,0,724,269,243,0,512,512,0,10,50,137,269,2,3,1,0,1,5,5,5,7,5,12,512
165,"PANCHAYAT GHAR DHANWARI",476,449,1,926,340,318,0,658,658,0,11,202,112,299,3,5,3,1,2,4,1,9,0,3,3,658
166,"KHEMRAJ I. C. KHEMAPUR",326,297,0,623,167,161,0,328,328,0,5,21,71,230,0,1,0,0,0,0,0,0,0,0,0,328
167,"KHEMRAJ I. C. KHEMAPUR",664,610,0,1274,409,393,0,802,802,0,12,353,105,294,0,3,12,0,0,2,0,2,3,8,8,802
168,"P.P. SONAWAN",538,511,0,1049,352,333,0,685,685,0,8,210,71,340,4,2,3,7,1,5,2,11,15,1,5,685
169,"P.P. JAITPURKHAS",666,591,0,1257,382,325,0,707,707,0,17,121,140,387,7,1,1,4,1,2,2,5,8,6,5,707
170,P.P.RAIMALPUR,610,509,0,1119,350,317,0,667,667,0,13,256,63,313,4,1,0,0,0,1,0,4,4,4,4,667
171,"P.P. NARAYANPUR",497,449,0,946,242,233,0,475,475,0,22,125,20,264,2,0,12,0,2,0,4,3,8,6,7,475
172,"P.P. KARAMPUR",416,348,0,764,234,234,0,468,431,0,15,89,86,229,2,2,3,1,0,4,5,8,12,3,9,468
173,"P.P. KARAMPUR",683,537,0,1220,386,302,0,688,688,0,32,203,111,302,3,2,1,1,1,2,2,14,4,5,5,688
174,"P.P. BAHORIKPUR",260,203,0,463,156,140,0,296,296,0,3,68,50,163,3,1,0,1,0,0,0,2,2,0,3,296
175,"P.P.  TIWARIPUR SABANA",612,537,0,1149,351,298,0,649,649,0,8,157,119,325,6,3,0,7,3,2,1,7,7,1,3,649
176,"P.P.  TIWARIPUR SABANA",459,371,0,830,266,243,0,509,459,0,10,90,92,300,0,0,0,0,0,2,0,4,5,1,5,509
177,"P.P.  RANIPUR MOHAN",324,289,0,613,201,198,0,399,396,0,7,110,9,248,2,1,1,0,1,2,0,6,3,6,3,399
178,"P.P.  BAIJPUR",587,500,0,1087,369,344,0,713,713,0,12,303,173,212,2,0,0,0,1,1,1,4,1,1,2,713
179,"P.P.  PITHAPUR SARAIYA",696,635,1,1332,385,383,0,768,755,0,21,230,44,424,0,9,1,0,3,4,3,6,8,7,8,768
