"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NARENDRA BHATI","2 - DR.MAHESH  SHARMA","3 - RAMESH CHAND TOMAR","4 - SATISH KUMAR","5 - UDAYVEER","6 - KISHAN PAL SINGH","7 - GAJENDRA","8 - DHARMENDER","9 - RAVINDER SHARMA","10 - RAM VILAS","11 - RUVEZ ALAM RAHI","12 - MOHD. SABIR ANSARI","13 - LT COL SP SINGH","14 - SEEMA","15 - SONIA SHARMA","16 - KADEEM","17 - KADIR KHAN JAISWAL","18 - GRISA KUMAR","19 - MAHESH","20 - RAKESH","21 - SAFRUDDIN","22 - SAVITRI","23 - SUNIL GAUTAM","24 - SUMITI","25 - None of the Above","Total Votes Secured"
39,"AULEDHA PRIMARY SCHOOL R. N.-2",686,615,0,1301,385,328,0,713,606,0,346,241,3,100,0,4,0,0,0,0,0,0,0,2,2,6,3,1,1,0,0,1,1,2,0,713
40,"CHIDAWAK PRIMARY SCHOOL R.N.-1",481,470,0,951,270,224,0,494,22,0,466,9,2,3,0,1,0,0,0,1,0,0,0,1,3,3,1,0,1,0,0,0,1,0,2,494
41,"CHIDAWK PRIMARY SCHOOL R. N. -2",465,438,0,903,250,232,0,482,223,0,427,26,0,7,2,3,0,0,0,0,0,1,1,0,3,7,4,0,0,0,0,0,1,0,0,482
42,"CHIDAWAK PRIMARY SCHOOL R. N. -3",607,551,0,1158,307,247,0,554,425,0,484,18,1,36,1,3,0,1,0,1,0,0,0,0,1,3,2,0,0,0,1,1,0,1,0,554
43,"SAGDA PRIMARY SCHOOL",305,277,0,582,208,198,0,406,65,0,383,4,0,8,0,1,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,1,1,406
44,"MAKHDOOM NAGAR URF MITTHEPUR PRIMARY SCHOOL R.N.-1",651,547,0,1198,430,324,0,754,54,0,701,26,2,10,0,0,0,0,0,0,0,2,0,1,1,7,3,0,0,0,0,0,0,0,1,754
45,"MAKHDOOM NAGAR URF MITTHEPUR PRIMARY SCHOOL R.N.-2",771,688,0,1459,435,446,0,881,55,0,861,8,3,3,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,881
46,"BHAMRA PRIMARY SCHOOL R. N.-1",794,644,0,1438,513,374,0,887,885,764,764,63,3,7,1,7,2,2,0,0,0,3,0,0,0,11,11,4,0,0,1,1,4,1,2,887
47,"BHAMAR PRIMARY SCHOOL R.N.-2",657,616,0,1273,383,353,0,736,36,0,667,27,1,16,0,1,1,0,2,0,0,1,0,0,1,8,7,0,1,0,0,1,2,0,0,736
48,"DEVNAGAR URF DEVLI PRIMARY SCHOOL",667,645,0,1312,398,335,0,733,733,0,159,434,3,112,0,3,1,2,0,0,0,2,1,0,1,3,2,4,1,4,0,0,0,1,0,733
49,"GULAOTHI D. N. INTER COLLEGE NEW BHAWAN R.N.-1",428,392,0,820,308,243,0,551,431,0,21,520,1,1,0,1,0,0,0,0,0,2,0,0,2,1,0,2,0,0,0,0,0,0,0,551
50,"GULAOTHI D.N INTER COLLEGE NEW BHAWAN R.N.-2",429,398,0,827,251,198,0,449,127,0,14,425,4,2,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,449
51,"GULAOTHI D.N. INTER COLLEGE NEW BHAWAN R.N.-3",421,358,0,779,237,192,0,429,429,0,7,413,2,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,429
52,"GULAOTHI D.N. INTER COLLEGE NEW BHAWAN R.N.-4",414,388,0,802,243,208,0,451,294,0,18,421,4,1,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,451
53,"GULAOTHI D.N. INTER COLLEGE NEW BHAWAN R.N.-5",709,608,0,1317,414,370,0,784,753,0,61,680,6,18,0,5,0,0,0,2,0,3,0,0,1,0,2,5,0,0,0,0,0,1,0,784
54,"GULAOTHI D.N. INTER COLLEGE OLD BHAWAN R.N.-6",588,527,1,1116,382,318,0,700,700,0,43,627,6,4,1,6,0,0,0,1,0,0,0,0,0,4,0,5,0,0,0,0,0,2,1,700
55,"GULAOTHI D.N. INTER COLLEGE OLD BHAWAN R.N.-7",878,754,0,1632,421,364,0,785,564,0,279,461,1,28,0,12,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,785
56,"GULAOTHI D.N. INTER COLLEGE OLD BHAWAN R.N.-8",552,464,0,1016,346,286,0,632,632,0,239,365,0,18,0,4,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,1,632
57,"GULAOTHI D.N. INTER COLLEGE OLD BHAWAN R.N.-9",386,353,0,739,275,220,0,495,15,0,24,454,4,4,1,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2,495
58,"GULAOTHI D.N. INTER COLLEGE OLD BHAWAN R.N.-10",595,524,0,1119,347,295,0,642,642,0,74,545,1,11,0,4,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,0,0,1,642
59,"GULAOTHI D.N. INTER COLLEGE OLD BHAWAN R.N.-11",317,248,0,565,192,140,0,332,332,0,161,159,2,4,0,0,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,332
60,"GULAOTHI D.N. DEGREE COLLEGE R.N.-1",442,374,0,816,294,210,0,504,290,0,166,167,2,149,3,1,0,1,1,0,0,2,2,0,0,2,3,1,0,2,0,0,0,1,1,504
61,"GULAOTHI D.N. DEGREE COLLEGE R.N.-2",421,392,0,813,281,223,0,504,41,0,152,270,1,56,1,3,1,0,0,0,0,3,1,0,1,3,0,5,1,0,2,0,0,0,4,504
62,"GULAOTHI D.N. DEGREE COLLEGE R.N.-3",833,700,0,1533,456,398,0,854,848,0,435,176,9,206,0,1,1,5,0,1,0,3,0,1,2,3,2,1,0,0,0,1,1,2,4,854
63,"GULAOTHI D.N. DEGREE COLLEGE R.N.-4",767,770,0,1537,433,389,0,822,502,0,491,191,3,112,3,1,0,0,0,0,0,3,2,0,1,2,4,4,0,1,0,2,1,0,1,822
64,"GULAOTHI D.N. DEGREE COLLEGE R.N.-5",528,471,0,999,221,197,0,418,208,0,46,343,2,10,0,5,0,1,1,1,0,5,0,0,0,0,0,2,0,0,0,0,0,1,1,418
65,"GULAOTHI PRIMARY SCHOOL BHIMNAGAR R.N.-1",543,492,0,1035,367,333,0,700,700,0,53,64,7,551,3,3,0,0,0,0,0,0,2,0,2,5,1,2,0,1,1,0,1,0,4,700
66,"GULAOTHI PRIMARY SCHOOL BHIMNAGAR R.N.-2",456,386,0,842,304,254,0,558,20,0,155,34,3,326,2,5,0,0,0,0,0,2,2,2,1,0,9,0,0,16,0,0,0,0,1,558
67,"GULAOTHI PRIMARY SCHOOL BHIMNAGAR R.N.-3",486,436,0,922,297,287,0,584,584,0,334,86,1,146,1,2,0,1,0,0,0,2,0,0,0,3,4,1,1,0,0,0,0,2,0,584
68,"GULAOTHI MUFEED-E-AAM HIGHER SEC SCHOOL R.N.-1",784,705,0,1489,407,299,0,706,465,0,572,76,8,30,0,3,0,3,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,1,5,706
69,"GULAOTHI MUFEED-E-AAM HIGHER SEC SCHOOL R.N.-2",555,466,0,1021,313,256,0,569,561,0,478,54,0,4,1,2,0,2,0,1,2,3,0,1,0,4,12,1,1,0,0,0,0,0,3,569
70,"GULAOTHI MUFEED-E-AAM HIGHER SEC SCHOOL R.N.-3",457,417,0,874,256,182,0,438,385,0,275,103,3,44,1,6,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,1,438
71,"GULAOTHI MUFEED-E-AAM HIGHER SEC SCHOOL R.N.-4",459,426,0,885,272,242,0,514,452,0,216,254,5,25,1,1,0,0,0,0,0,1,0,0,2,3,1,3,0,0,0,0,2,0,0,514
72,"GULAOTHI MUFEED-E-AAM HIGHER SEC SCHOOL OLD BHAWAN R.N.-5",546,490,0,1036,262,203,0,465,5,0,410,9,1,36,0,0,0,0,0,0,0,1,1,1,1,4,0,1,0,0,0,0,0,0,0,465
73,"GULATHI ZILA PARISHADIYA JUNIOR HIGH SCHOOL R.N.-1",318,292,0,610,178,161,0,339,316,0,260,55,1,19,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,339
74,"GULAOTHI ZILA PARISHADIYA JUNIOR HIGH SCHOOL R.N.-2",513,434,0,947,307,229,0,536,215,0,226,286,4,15,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,536
75,"GULAOTHI ZILA PARISHADIYA JUNIOR HIGH SCHOOL R.N.-3",742,649,0,1391,521,402,0,923,15,0,430,298,2,176,1,2,0,2,0,0,2,0,1,1,0,3,1,2,0,0,0,0,0,1,1,923
76,"GULAOTHI ARYA KANYA INTER COLLEGE EASTER PART R.N.-2",623,582,0,1205,355,273,0,628,28,0,569,35,1,15,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,628
77,"GULAOTHI ARYA KANYA INTER COLLEGE EASTER PART R.N.-2",455,405,0,860,273,226,0,499,485,0,78,387,6,1,0,7,0,1,0,1,2,3,0,2,1,2,0,4,0,0,0,1,0,1,2,499
78,"GULAOTHI ARYA KANYA INTER COLLEGE EASTER ART R.N.-3",520,473,0,993,291,252,0,543,422,0,482,10,0,29,0,11,1,1,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,1,543
79,"GULAOTHI ARYA KANYA INTER COLLEGE EASTER PART R.N.-4",460,403,0,863,274,187,0,461,431,0,391,13,2,39,0,10,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,461
80,"GULAOTHI ARYA KANYA INTER COLLEGE WEASTERN PART R.N.-5",657,541,0,1198,339,216,0,555,40,0,418,6,0,120,0,4,0,0,0,0,0,0,1,0,1,3,1,0,0,1,0,0,0,0,0,555
81,"GULAOTHI ARYA KANYA INTER COLLEGE WESTERN PART R.N.-6",694,564,0,1258,308,199,0,507,209,0,449,12,1,29,1,10,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,507
82,"GULAOTHI ARYA KANYA INTER COLLEGE WESTERN PART R.N.-7",431,354,0,785,207,125,0,332,229,0,249,47,3,21,0,7,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,332
83,"GULAOTHI ARYA KANYA INTER COLLEGE WESTERN PART R.N.-8",490,418,0,908,306,207,0,513,495,0,391,40,1,56,1,8,0,0,1,0,2,1,1,1,0,5,1,0,1,0,0,0,0,0,3,513
84,"HUSAINPUR PRIMARY SCHOOL",438,413,0,851,322,305,0,627,500,0,553,2,1,51,1,3,1,0,0,0,0,0,0,0,0,0,8,5,1,0,0,0,0,0,1,627
85,"KYAMPUR PRIMARY SCHOOL",167,152,0,319,150,135,0,285,285,0,2,280,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,285
86,"SOHANPUR PRIMARY SCHOOL",734,650,0,1384,451,399,0,850,630,0,665,15,6,147,1,2,1,1,0,1,0,1,2,1,0,3,2,0,0,0,0,0,1,0,1,850
87,"BHOGPUR PRIMARY SCHOOL",320,286,0,606,308,225,0,533,129,0,7,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,533
88,"BHATAUNA PRIMARY SCHOOL R.N.-1",712,640,0,1352,438,388,0,826,823,0,22,519,4,243,2,3,0,3,0,1,2,5,2,3,1,3,1,1,2,2,1,1,1,0,4,826
89,"BHATAUNA PRIMARY SCHOOL R.N.-2",674,590,0,1264,391,310,0,701,51,0,43,579,6,41,2,5,0,2,1,1,0,3,0,2,2,1,2,2,1,2,0,2,1,1,2,701
90,"BHATAUNA CH. CHARAN SINGH INTER COLLEGE R.N.-1",668,548,0,1216,391,306,0,697,680,0,10,664,3,8,0,4,0,0,0,0,0,3,0,0,3,0,0,0,1,0,0,1,0,0,0,697
91,"BHATAUNA CH. CHARAN SINGH INTER COLLEGE R.N.-2",628,523,0,1151,414,309,0,723,20,0,30,672,6,4,0,2,0,0,1,0,0,2,0,0,2,1,0,1,0,0,0,0,0,0,2,723
92,"JIRAVATI PRIMARY SCHOOL",441,392,0,833,244,233,0,477,470,0,299,81,1,78,3,0,0,0,0,0,1,2,0,0,2,5,1,0,0,0,1,0,0,0,3,477
93,"BISAECH PRIMARY SCHOOL",536,476,0,1012,356,330,0,686,6,0,124,549,1,4,0,2,0,1,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,686
94,"KOTA PRIMARY SCHOOL R.N.-1",781,669,1,1451,465,343,0,808,356,0,337,367,7,76,0,0,0,0,1,1,1,5,0,0,1,3,3,1,1,0,1,2,0,0,1,808
95,"KOTA PRIMARY SCHOOL R.N.-2",435,357,0,792,254,190,0,444,444,0,248,186,1,2,0,3,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,444
96,"KURLI PRIMARY SCHOOL R.N.-1",673,628,1,1302,483,381,0,864,614,0,27,653,5,172,0,1,0,1,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,864
97,"KURLI PRIMARY SCHOOL R.N.-2",674,591,0,1265,456,365,0,821,45,0,47,699,1,58,1,1,0,0,0,1,0,3,0,0,1,1,1,6,0,0,0,1,0,0,0,821
98,"AURANGABAD PRIMARY SCHOOL R.N.-1",703,628,0,1331,371,287,0,658,655,0,387,245,0,3,0,3,0,1,0,0,0,5,0,1,0,3,3,4,0,0,1,0,0,0,2,658
99,"AURNGABAD PRIMARY SCHOOL R.N.-2",376,355,0,731,224,183,0,407,195,0,148,113,3,124,0,2,1,0,0,1,0,3,0,2,0,2,3,1,0,1,0,0,2,1,0,407
100,"GESUPUR KANYA PATHSHAHLA R.N.-1",487,451,0,938,286,275,0,561,300,0,82,105,3,361,1,2,0,0,0,0,0,1,0,0,4,0,0,1,0,1,0,0,0,0,0,561
101,"GESUPUR KANYA PATHSHALA R.N.-2",452,407,0,859,251,213,0,464,464,0,183,255,2,14,0,1,0,1,0,0,0,2,0,0,0,4,1,1,0,0,0,0,0,0,0,464
102,"GESUPUR MAHATMA GANDHI INTER COLLEGE R.N.-1",731,698,0,1429,453,433,0,886,886,0,447,410,0,16,1,3,0,0,0,0,0,0,0,0,3,2,1,2,0,0,0,0,0,0,1,886
103,"GESUPUR MAHATMA GANDHI INTER COLLEGE R.N.-2",656,592,0,1248,310,312,0,622,622,0,347,247,3,5,0,1,0,0,0,0,0,5,0,0,1,0,4,5,1,0,1,0,0,1,1,622
104,"GESUPUR MAHATMA GANDHI INTER COLLEGE R.N.-3",220,194,0,414,148,117,0,265,254,0,2,98,2,146,1,3,0,2,0,0,0,4,0,0,2,1,1,1,0,1,0,0,0,1,0,265
105,"GESUPUR MAHATMA GANDHI INTER COLLEGE R.N.-4",170,145,0,315,96,72,0,168,126,0,10,115,0,34,0,0,0,0,0,1,0,1,2,0,0,0,1,2,0,2,0,0,0,0,0,168
106,"MOLABAD MAZRA GESUPUR PRIMARY SCHOOL",416,372,1,789,371,294,0,665,665,0,6,6,3,633,4,2,0,0,0,0,0,1,6,0,0,0,0,0,0,2,0,0,0,0,2,665
107,"AGWANA PRIMARY SCHOOL",252,232,0,484,179,168,0,347,19,0,57,147,3,136,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,347
108,"SANOTA SHRI KRISHNA INTER COLLEGE R.N.-1",731,654,0,1385,513,423,0,936,931,0,525,242,2,132,0,2,0,1,0,0,1,5,2,1,0,7,4,1,0,1,0,0,0,1,9,936
109,"SANOTA SHRI KRISHNA INTER COLLEGE R.N.-2",425,391,1,817,287,244,1,532,531,0,225,199,4,82,0,2,1,2,0,0,0,2,1,1,1,5,3,0,0,1,0,1,0,0,2,532
110,"BHARANA SWAMI ANANTANAND INTER COLLEGE R.N.-1",656,561,0,1217,521,347,0,868,8,0,480,174,4,140,1,1,0,0,1,2,2,4,3,1,3,5,12,15,2,2,0,5,4,6,1,868
111,"BHARANA SWAMI ANANTANAND INTER COLLEGE R.N.-2",607,543,0,1150,471,395,0,866,12,0,494,255,1,89,0,1,0,2,0,0,1,1,1,1,2,0,6,3,2,3,0,2,0,0,2,866
112,"LATHOR PRIMARY SCHOOL",222,203,1,426,204,163,0,367,132,0,8,304,5,42,1,1,0,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,367
113,"MURADABAD PRIMARY SCHOOL",835,722,0,1557,558,450,0,1008,183,0,38,873,7,47,0,2,0,3,0,0,0,7,0,0,9,7,0,3,1,0,0,1,1,3,6,1008
114,"PEER BIYAVANI PRIMARY SCHOOL",684,566,4,1254,474,382,0,856,856,0,322,437,6,57,0,1,0,2,1,0,0,4,0,2,7,6,6,2,0,1,0,1,0,0,1,856
115,"GAZIVIRUPUR PRIMARY SCHOOL",637,562,0,1199,440,367,0,807,807,0,305,334,1,147,0,2,1,1,1,0,1,1,1,0,3,4,4,0,0,0,0,1,0,0,0,807
116,"BAINIPUR PRIMARY SCHOOL",573,509,0,1082,402,353,0,755,2,0,209,416,4,111,1,1,0,1,0,0,0,1,1,0,2,3,1,2,0,1,0,0,1,0,0,755
117,"LADLAVAS PRIMARY SCHOOL",436,410,0,846,424,313,0,737,228,0,689,22,2,21,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,737
118,"MUHANA DAYANAND CHOBISA KANYA INTER COLLEGE R.N.-1",601,549,0,1150,329,266,0,595,575,0,261,315,0,4,0,1,0,0,0,0,0,1,0,0,1,1,3,4,0,0,0,0,0,1,3,595
119,"MUHANA DAYANAND CHOBISA KANYA INTER COLLEGE R.N.-2",460,424,0,884,280,245,0,525,324,0,235,140,1,133,1,2,0,1,0,0,0,2,2,2,0,2,2,0,0,1,0,1,0,0,0,525
120,"ISEPUR PRIMARY SCHOOL R.N.-1",439,391,0,830,328,203,0,531,531,0,261,174,1,85,0,2,0,0,0,0,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,531
121,"ISEPUR PRIMARY SCHOOL R.N.-2",562,483,1,1046,394,342,0,736,48,0,347,363,2,9,0,4,0,0,2,0,0,2,0,0,0,0,3,3,0,0,0,0,0,0,1,736
122,"PITOBAS PRIMARY SCHOOL",445,370,0,815,267,223,0,490,490,0,36,207,1,230,2,6,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,490
123,"MANOVAS PRIMARY SCHOOL",399,330,0,729,281,210,0,491,291,0,332,144,1,2,0,3,0,0,0,0,0,0,1,0,2,3,1,0,0,1,0,0,0,0,1,491
124,"FAKANA PRIMARY SCHOOL",635,541,0,1176,359,312,0,671,5,0,141,387,10,95,0,1,0,2,2,3,0,3,3,2,6,3,5,5,0,3,0,0,0,0,0,671
125,"DADUPUR NEELA PRIMARY SCHOOL",820,727,0,1547,424,358,0,782,12,0,146,518,3,51,3,39,0,6,1,0,1,3,1,1,4,2,1,0,0,0,1,0,0,1,0,782
