"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KRISHNA PRATAP","2 - PARASNATH YADAV","3 - RAVI KISHAN","4 - SUBHASH PANDEY","5 - ANUPATI RAM YADAV","6 - ARVIND","7 - GULAB CHAND DUBEY","8 - PRAMOD KUMAR ALIAS PRAMOD BHAI PATEL","9 - PREMCHAND BIND","10 - DR. K. P. YADAV","11 - RAVISHANKAR MAURYA","12 - RAJESH PRAJAPATI","13 - SHAHABUDDIN","14 - SARFARAJ","15 - ANIL KUMAR SINGH","16 - JOGENDRA PRASAD","17 - DHANANJAY SINGH","18 - YOGISH CHANDRA DUBEY","19 - RAVIKANT YADAV","20 - VIMAL KUMAR YADAV","21 - DR. SANJIVAN BIND","22 - None of the Above","Total Votes Secured"
114,"P S DACHHIN PATTI",591,494,1,1086,293,257,0,550,386,0,38,63,31,149,2,0,0,0,4,120,1,1,50,3,1,8,74,0,3,1,0,1,550
115,"P S DACHHIN PATTI SOUTH SIDE",697,615,0,1312,383,292,0,675,27,0,43,186,61,114,2,1,1,1,4,136,1,3,7,0,1,0,110,0,3,0,1,0,675
116,"P S DACHHIN PATTI SOUTH SIDE",369,300,0,669,186,196,0,382,33,0,33,128,14,114,1,1,0,1,0,77,0,0,1,0,0,2,8,0,0,0,1,1,382
117,"P S MAHIMAPURDEEH",249,227,0,476,155,151,0,306,250,0,47,96,4,11,1,0,0,4,1,133,0,0,0,0,0,1,6,1,1,0,0,0,306
118,"P S BARREPATTI",388,369,0,757,206,217,0,423,357,0,49,207,34,82,1,0,1,1,0,13,0,0,4,0,0,1,17,1,5,2,2,3,423
119,"JHS BARPUR NORTH SIDE",665,567,0,1232,346,335,0,681,581,0,112,76,30,291,3,0,1,0,0,31,0,3,6,0,2,5,115,1,0,3,1,1,681
120,"JHS BARPUR NORTH SIDE",455,406,0,861,221,213,0,434,386,0,53,68,16,26,0,0,0,0,0,200,0,0,3,1,0,2,62,2,0,0,0,1,434
121,"P S BELAHATA NORTH SIDE",780,705,0,1485,384,389,0,773,773,0,219,30,27,171,2,4,2,2,12,132,2,3,14,1,2,6,132,1,5,1,3,2,773
122,"P S NEWADA KAZI",439,382,0,821,254,235,0,489,470,0,70,53,7,176,0,2,3,5,51,50,1,0,4,1,2,6,53,2,0,3,0,0,489
123,"P S KARTIHA NORTH SIDE",612,473,0,1085,324,287,0,611,611,0,61,87,21,223,2,1,1,0,5,21,2,4,9,1,3,4,154,6,0,4,1,1,611
124,"P S UTTARPATTI",410,380,0,790,181,228,0,409,409,0,89,114,50,44,1,0,0,3,10,11,0,0,10,1,1,2,61,0,5,1,3,3,409
125,"P S SADARUDDINPUR",693,540,0,1233,315,303,0,618,618,0,120,51,127,103,5,0,1,3,3,61,1,2,7,3,0,2,100,9,9,5,4,2,618
126,"P S MAGRESAR SOUTH SIDE",679,624,0,1303,422,423,0,845,45,0,205,136,10,296,8,1,1,1,5,99,3,4,7,1,3,6,55,2,1,1,0,0,845
127,"H S SCHOOL NEPAL NAGAR WEST SIDE",494,436,0,930,260,276,0,536,515,0,14,151,3,271,5,1,0,4,2,23,0,1,2,0,0,1,12,3,36,4,2,1,536
128,"H S SCHOOL NEPAL NAGAR EAST SIDE",673,544,0,1217,332,286,0,618,616,0,279,168,16,16,1,0,2,4,3,17,0,1,8,2,1,2,77,3,14,0,0,4,618
129,"P S PURA HEMU",554,440,0,994,237,198,0,435,435,0,206,97,24,14,0,0,0,1,25,4,0,3,0,0,2,6,47,2,2,1,0,1,435
130,"P S DARIYAONGANJ EAST SIDE",481,400,1,882,304,261,0,565,563,0,112,126,5,7,1,0,1,0,0,4,0,1,16,0,9,4,267,3,1,0,4,4,565
131,"P S DARIYAONGANJ EAST SIDE",347,308,0,655,259,189,0,448,141,0,21,389,1,1,0,0,2,5,0,5,1,1,1,0,0,2,5,0,13,0,0,1,448
132,"P S DARIYAONGANJ WEST SIDE",457,432,0,889,303,272,0,575,575,0,131,375,16,2,2,0,1,0,1,4,1,3,3,3,6,7,7,5,5,0,1,2,575
133,"P S DARIYAONGANJ WEST SIDE",535,430,0,965,362,240,0,602,602,0,35,467,11,1,0,0,0,7,0,19,0,1,0,0,1,1,19,8,29,0,0,3,602
134,"P S DARIYAONGANJ MIDDLE SIDE",584,511,0,1095,334,269,0,603,593,0,110,385,5,24,0,0,0,8,0,19,1,0,4,1,3,1,31,1,8,2,0,0,603
135,"P S SULTANPUR NORTH SIDE",688,569,0,1257,309,348,0,657,648,0,362,124,12,6,3,0,0,1,0,1,1,0,3,2,1,6,126,3,4,0,0,2,657
136,"P S SULTANPUR NORTH SIDE",528,448,0,976,234,218,0,452,300,0,236,85,7,21,2,0,0,1,1,2,2,1,8,0,1,2,76,3,1,0,0,3,452
137,"DR BHAGWANDAS INTER COLLEGE HINDI BAGHAILA",704,664,0,1368,387,455,0,842,182,0,156,356,16,89,1,0,1,17,21,4,1,5,10,2,6,4,17,3,130,2,0,1,842
138,"P S TURKI BAGHAILA",266,226,0,492,156,155,0,311,311,0,31,194,10,48,0,0,1,4,0,0,1,0,0,0,0,4,3,0,15,0,0,0,311
139,"P S SALHADIPUR",615,578,0,1193,348,348,0,696,666,0,139,273,16,95,2,0,2,20,0,5,0,1,3,0,1,3,18,6,110,0,1,1,696
140,"P S UTTARPATTI NORTH SIDE",457,392,0,849,286,225,0,511,309,0,36,217,11,11,0,0,4,36,3,13,0,1,7,1,1,0,21,2,146,0,0,1,511
141,"P S UTTARPATTI SOUTH SIDE",454,438,0,892,215,273,0,488,482,0,25,144,45,174,6,0,0,1,0,1,1,4,8,1,0,1,59,3,13,1,1,0,488
142,"P S BARAIYAKAZI EAST SIDE",627,508,0,1135,320,303,0,623,500,0,239,92,124,68,3,0,0,7,2,2,0,1,36,2,2,4,7,5,25,3,1,0,623
