"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANIS AHMAD KHAN ALIAS PHOOL BABU","2 - BUDHSEN VERMA","3 - MANEKA SANJAY GANDHI","4 - SANJAY KAPOOR","5 - NILIMA SHARMA","6 - RAJEEV AGRAWAL","7 - RAM AUTAR","8 - SANJAY KUMAR","9 - ARAMAN KHAN","10 - MOHD NAEEM ANSARI","11 - MUNESH SINGH","12 - RAVINDRA KUMAR DEVNATH","13 - None of the Above","Total Votes Secured"
128,"BHILAIYA GANVAKHEDA",441,398,0,839,339,250,0,589,589,0,190,23,349,4,1,6,0,0,1,0,6,0,9,589
129,GAYABOJH,365,336,0,701,279,254,0,533,532,0,50,60,398,6,1,6,1,0,0,2,3,0,6,533
130,SANTOSHPURA,449,399,0,848,351,305,0,656,580,0,42,212,373,10,0,2,0,0,0,3,5,3,6,656
131,IGDHARA,432,391,0,823,344,322,0,666,3,0,28,20,607,4,0,1,1,0,2,0,2,1,0,666
132,"MUDIYA RAMKISHAN",332,300,0,632,260,205,0,465,19,0,25,34,390,5,2,1,1,0,1,0,1,1,4,465
133,"SARAYA SURANDERPUR",626,561,0,1187,415,324,0,739,734,0,146,59,483,15,2,4,1,1,1,0,10,2,15,739
134,"BANJARIYA JAMUNIA",341,294,0,635,250,212,0,462,11,0,2,212,220,7,1,0,10,0,2,1,3,1,3,462
135,"NAVADIYA DAHLA",370,348,0,718,296,263,0,559,312,0,14,61,456,4,1,14,0,0,0,0,4,1,4,559
136,SISAIIYA,619,519,0,1138,430,370,0,800,570,0,45,120,611,9,1,1,0,0,1,0,7,1,4,800
137,VASTHANA,737,635,0,1372,536,480,0,1016,1015,0,27,55,894,9,3,2,2,0,2,2,8,1,11,1016
138,"PRATAP PUR",407,353,0,760,324,285,0,609,189,0,74,32,463,8,0,4,1,1,3,4,7,4,8,609
139,ALAKTHAAN,651,602,0,1253,509,428,0,937,342,0,68,117,698,28,1,1,1,0,1,5,5,2,10,937
140,MAKTUL,491,438,0,929,303,349,0,652,37,0,55,66,493,7,0,1,1,0,0,6,13,1,9,652
141,"HATUA BIJULAHAI",535,492,0,1027,443,373,0,816,3,0,34,33,693,12,4,2,5,0,2,1,10,5,15,816
142,"KURIYA NAVIDIYA",426,374,0,800,296,233,0,529,528,0,19,205,279,7,0,1,1,2,0,1,6,1,7,529
143,LAUKHA,642,561,0,1203,451,325,0,776,774,0,26,218,474,11,4,1,16,0,5,1,7,4,9,776
144,SANDIYA,762,618,0,1380,559,413,0,972,844,0,111,61,746,12,4,13,1,0,0,2,10,0,12,972
145,"JUNGAROLI PUL",633,552,0,1185,423,332,0,755,754,0,178,94,431,11,2,0,4,0,2,4,12,4,13,755
146,"JUNGAROLI PUL",294,263,0,557,140,105,0,245,179,0,45,152,34,5,0,1,0,0,2,0,1,2,3,245
147,KHAJURHA,570,531,0,1101,458,336,0,794,1,0,41,88,609,14,0,4,12,1,3,2,3,2,15,794
148,MATHUDANDI,540,435,0,975,427,271,0,698,577,0,9,17,665,5,0,0,0,0,1,0,1,0,0,698
149,SHARIFGANG,300,256,0,556,218,177,0,395,106,0,4,11,324,8,2,32,1,0,1,2,4,3,3,395
150,AMARGANJ,467,398,0,865,320,240,0,560,7,0,18,135,372,11,1,1,5,0,2,1,5,3,6,560
151,"UJHANIYA RAMPURA",501,400,0,901,356,264,0,620,40,0,45,18,489,44,1,0,1,1,0,3,8,0,10,620
152,UMRASAD,355,261,0,616,240,173,0,413,251,0,99,117,179,2,0,0,0,1,1,0,2,2,10,413
153,UMRASAD,569,480,0,1049,365,300,0,665,500,0,121,176,323,17,0,1,0,4,3,2,6,2,10,665
154,"RAMPURA UJHAINIYA",607,479,0,1086,371,257,0,628,13,0,101,23,467,10,0,1,0,1,1,1,6,3,14,628
155,JIRAUNIYA,658,531,0,1189,475,352,0,827,727,0,54,90,632,10,1,2,2,0,4,3,14,5,10,827
156,JIRAUNIYA,462,373,0,835,305,230,0,535,225,0,100,63,351,5,1,0,1,2,0,3,3,3,3,535
157,CHINAURA,613,489,0,1102,408,294,0,702,699,0,155,86,423,12,2,1,2,0,2,1,6,3,9,702
158,"PAUTA KALAN",516,455,0,971,283,192,0,475,62,0,13,349,102,3,1,1,0,0,2,0,0,3,1,475
159,"PAUTA KALAN",334,292,0,626,130,82,0,212,3,0,12,180,9,5,0,2,0,0,0,0,0,1,3,212
160,"PAUTA KALAN",326,284,0,610,164,114,0,278,66,0,20,226,31,0,0,1,0,0,0,0,0,0,0,278
161,"PAUTA KALAN",554,466,0,1020,306,228,0,534,186,0,43,402,76,3,1,0,0,0,1,4,0,1,3,534
162,"PAUTA KALAN",758,626,0,1384,372,261,0,633,492,0,27,354,238,6,2,1,0,0,0,1,3,0,1,633
163,"NARAYAN THER",523,412,0,935,287,193,0,480,376,0,23,162,273,11,0,1,1,0,0,1,4,0,4,480
164,ALIYAPUR,604,530,0,1134,479,420,0,899,899,0,2,76,770,11,1,5,0,0,3,2,5,8,16,899
165,BHUDA,337,302,0,639,211,274,0,485,454,0,86,6,350,3,0,4,0,0,1,1,16,2,16,485
166,"SIMIRIYA TARACHAND",427,332,0,759,291,190,0,481,231,0,12,119,322,7,1,2,0,2,2,2,3,1,8,481
167,"GAJIPUR MUGAL",580,481,0,1061,377,295,0,672,666,0,233,44,361,5,1,1,0,1,0,2,11,2,11,672
168,RAYAPUR,584,461,0,1045,392,285,0,677,11,0,33,19,588,4,0,2,1,1,1,1,11,1,15,677
169,"MOHAMMAD YAAR KHAN",594,523,0,1117,384,252,0,636,609,0,190,274,105,60,0,3,0,1,0,1,0,0,2,636
170,"BHETAR GOWN",432,429,0,861,299,205,0,504,141,0,38,213,1,242,3,1,0,0,1,0,1,0,4,504
171,"MOHAMMAD YAAR KHAN",583,528,0,1111,318,167,0,485,414,0,112,238,89,39,1,0,0,1,0,1,0,2,2,485
172,TIGRI,742,667,0,1409,431,282,0,713,568,0,112,347,36,207,1,0,0,0,1,0,0,6,3,713
173,KHEDA,796,671,0,1467,438,347,0,785,352,0,57,346,147,221,4,2,3,1,2,1,1,0,0,785
174,"THAKUR DWARA",479,412,0,891,247,116,0,363,300,0,34,70,174,82,0,0,1,0,0,0,0,1,1,363
175,"THAKUR DWARA",392,303,0,695,151,73,0,224,133,0,45,63,54,60,0,0,0,0,0,0,0,0,2,224
176,"THAKUR DWARA",819,654,0,1473,387,225,0,612,600,0,120,142,118,214,0,1,1,2,1,1,2,3,7,612
177,"ABDUL RAHEEM",395,415,0,810,250,200,0,450,412,0,79,290,8,62,0,2,0,1,1,0,2,0,5,450
178,"ABDUL RAHEEM",454,474,0,928,256,180,0,436,330,0,108,257,11,52,1,0,0,0,0,0,0,2,5,436
179,"MIYA KHAN",598,514,0,1112,309,164,0,473,441,0,50,203,10,201,0,1,1,0,1,0,1,2,3,473
180,"KHABBAPUR MIYA KHAN",815,689,0,1504,373,195,0,568,118,0,71,303,92,84,2,2,0,1,0,1,4,1,7,568
181,KHABBAPUR,766,558,0,1324,315,156,0,471,423,0,64,231,30,130,2,1,0,1,3,3,1,0,5,471
182,"KHAMITIYA PANDARI",762,577,0,1339,329,235,0,564,98,0,155,390,2,4,0,1,0,0,0,6,2,1,3,564
183,"KHAMITIYA PANDARI",344,249,0,593,150,98,0,248,248,0,54,177,7,5,0,1,0,0,0,3,0,0,1,248
184,"KHAMITIYA PANDARI",841,673,0,1514,389,254,0,643,92,0,114,457,30,30,0,0,0,1,0,1,1,0,9,643
185,"KHAMITIYA PANDARI",613,505,0,1118,300,159,0,459,458,0,164,249,5,21,2,0,0,0,2,6,0,2,8,459
186,"KHAMITIYA PANDARI",285,276,0,561,69,54,0,123,92,0,31,76,3,3,0,1,0,2,0,1,0,1,5,123
187,"PANDARI KHAMITIYA",617,483,0,1100,335,286,0,621,11,0,74,150,367,4,0,0,0,0,0,6,6,1,13,621
188,"PANDARI KHAMITIYA",349,306,0,655,137,130,0,267,267,0,38,191,25,4,0,2,0,1,0,0,1,1,4,267
189,KAISHOPUR,241,220,0,461,175,140,0,315,266,0,33,14,243,15,0,3,0,0,1,1,2,1,2,315
190,"PRATHVI PUR",363,319,0,682,222,174,0,396,68,0,44,234,101,5,0,0,0,0,1,1,3,3,4,396
191,VIKRAMPUR,727,646,0,1373,454,387,0,841,840,0,95,354,353,11,4,0,1,0,3,5,5,1,9,841
192,"KHAJURIYA PACHPARA",441,370,0,811,293,254,0,547,547,0,63,67,391,9,2,2,0,0,1,0,5,1,6,547
193,"KHAJURIYA PACHPARA",484,420,0,904,384,245,0,629,629,0,16,59,522,9,2,1,1,1,0,0,10,1,7,629
194,"KURIYA THA. FUTAKUAN",866,703,1,1570,481,389,0,870,868,0,89,27,692,26,3,5,2,0,3,2,8,2,11,870
195,"JYORHA KALYANPUR",721,636,0,1357,372,461,0,833,828,0,161,188,406,40,1,10,2,2,5,0,5,2,11,833
196,"JYORHA KALYANPUR",543,459,0,1002,333,256,0,589,588,0,62,182,308,12,0,4,1,0,2,1,2,3,12,589
197,"IMALIYA THA FUTAKUAN",272,238,0,510,191,162,0,353,352,0,44,19,269,8,1,1,1,1,0,0,1,3,5,353
198,"GULDA MACHVAPUR",502,416,0,918,342,225,0,567,567,0,150,35,354,11,0,4,0,0,1,0,3,0,9,567
199,"NAKTA URF MURADABAD",303,274,0,577,237,189,0,426,7,0,65,175,162,16,0,0,0,0,0,0,2,0,6,426
200,BHOPATPUR,588,491,0,1079,357,262,0,619,578,0,114,44,405,34,2,1,0,0,1,3,8,1,6,619
201,"PRATAP DANDI",246,200,0,446,191,145,0,336,12,0,52,17,235,18,0,0,1,0,1,1,4,0,7,336
202,"DANDIYA RANJHE",328,306,0,634,233,200,0,433,2,0,66,20,317,7,1,6,1,0,2,0,4,0,9,433
203,BARGADA,357,338,0,695,290,229,0,519,189,0,31,84,380,5,0,0,1,0,0,4,8,0,6,519
204,"GAJIPUR KUNDA",614,529,0,1143,452,340,0,792,792,0,53,183,524,5,0,1,3,4,2,3,7,0,7,792
205,"GAJIPUR KUNDA",344,270,0,614,236,154,0,390,390,0,17,126,218,6,1,2,1,0,1,4,5,4,5,390
206,"BAHADURPUR HUKMI",491,421,0,912,382,290,0,672,672,0,257,129,266,4,1,1,1,1,2,2,4,1,3,672
207,"BHAINSA GWALPUR",751,701,0,1452,531,463,0,994,2,0,72,417,463,16,3,2,1,1,2,1,6,1,9,994
208,SHEKHAPUR,369,285,0,654,269,192,0,461,417,0,84,87,262,16,0,1,0,0,1,1,4,2,3,461
209,"NAVADA MAHESH",689,597,0,1286,483,334,0,817,817,0,119,124,535,8,1,0,6,3,2,0,6,1,12,817
210,"PATRASA KUVARNPUR",546,461,0,1007,399,313,0,712,712,0,38,179,464,10,0,1,0,1,2,2,4,1,10,712
211,PATRASIYA,771,626,0,1397,480,298,0,778,1,0,93,20,617,15,0,7,4,0,3,1,5,3,10,778
212,"DANDIYA LACHI",256,212,0,468,175,155,0,330,253,0,51,74,190,8,0,0,0,1,0,0,2,0,4,330
213,NARAYANPUR,682,566,0,1248,382,401,0,783,780,0,172,140,416,21,1,6,2,0,3,2,5,2,13,783
214,"DANDIYA BHAGAT",709,633,0,1342,506,377,0,883,800,0,243,188,418,3,1,2,1,3,0,0,5,5,14,883
215,ITARODA,714,634,0,1348,503,369,0,872,5,0,364,178,283,4,2,5,2,0,1,11,6,3,13,872
216,"MUSEPUR JAISINGH",421,377,0,798,199,246,0,445,3,0,27,14,385,4,1,0,0,0,1,1,3,0,9,445
