"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR.BHOLA PANDEY","2 - RAVINDRA KUSHAWAHA","3 - RAVI SHANKER SINGH","4 - HARIBANSH SAHAI KUSHWAHA","5 - ONKAR SINGH","6 - OM PRAKASH RAJBHAR","7 - CHANDRA PRATAP SINGH","8 - FIROZ AKHTAR","9 - SHRIRAM CHAUDHARY","10 - DR SANJAY KR. SINGH","11 - RAM KRIPAL","12 - SIYARAM DAS","13 - SUSHANT RAJ PATHAK","14 - None of the Above","Total Votes Secured"
103,"MD.HUSAIN I.C.DEORIA URF SHAMPUR R.N.1",395,364,0,759,138,171,0,309,307,0,93,67,54,73,3,7,0,1,0,1,1,3,1,5,309
104,"MD.HUSAIN I.C.DEORIA URF SHAMPUR R.N.2",577,545,0,1122,173,286,0,459,458,0,209,16,91,128,0,9,3,0,1,0,0,1,1,0,459
105,"MD.HUSAIN I.C.DEORIA URF SHAMPUR R.N.3",651,543,0,1194,297,306,0,603,600,0,279,147,91,48,3,16,3,3,1,1,3,3,1,4,603
106,"ISLAMIYA P.V.DEORIA URF SHAMPUR",791,705,0,1496,379,255,0,634,632,0,263,23,87,222,2,30,1,0,1,0,1,1,0,3,634
107,P.S.NIZAMABAD,739,579,0,1318,393,376,0,769,768,0,230,163,109,220,5,25,0,0,0,4,2,3,3,5,769
108,"P.S. NADGHAT R.N. 1",669,533,0,1202,278,282,0,560,557,0,25,267,197,12,1,45,1,1,2,2,2,0,3,2,560
109,"P.S. NADGHAT R.N. 2",271,248,0,519,141,145,0,286,284,0,7,246,25,4,1,1,0,0,1,0,0,1,0,0,286
110,"P.S.KAURIYA KAJI",476,438,0,914,202,193,0,395,394,0,41,203,140,4,0,3,1,0,0,0,0,0,0,3,395
111,"J.H.S.SALEMPUR KASBA R.N.1",367,307,1,675,140,133,0,273,270,0,34,0,31,186,2,2,0,0,1,3,3,2,1,8,273
112,"J.H.S.SALEMPUR KASBA R.N.2",343,308,0,651,179,187,0,366,364,0,56,45,112,142,2,0,5,1,1,1,1,0,0,0,366
113,"J.H.S.SALEMPUR KASBA R.N.3",610,559,0,1169,312,292,0,604,602,0,95,268,72,143,1,2,4,1,0,4,1,0,4,9,604
114,"P.S. SALEMPUR KASBA",923,748,0,1671,400,349,0,749,748,0,87,157,258,215,5,5,4,0,6,1,1,3,0,7,749
115,"P.S. BIRAJBHAR",562,512,0,1074,358,325,0,683,680,0,11,364,264,18,0,0,4,0,0,2,7,3,3,7,683
116,"P.S. THOKA BANSHI",445,379,0,824,255,233,0,488,486,0,36,207,152,71,2,7,1,0,1,0,4,2,2,3,488
117,"P.S. TILAULI R.N.1",382,329,0,711,210,206,0,416,415,0,44,161,88,109,2,4,0,1,1,0,1,1,1,3,416
118,"P.S.TILAULI R.N.2",309,262,0,571,163,165,0,328,326,0,53,100,130,39,1,0,2,0,0,0,0,0,2,1,328
119,P.S.CHAKIYA,245,197,0,442,144,115,0,259,256,0,10,61,15,170,2,0,0,0,0,0,1,0,0,0,259
120,"P.S. BACHHAUR R.N.1",675,574,0,1249,322,308,0,630,628,0,79,312,79,83,0,61,5,1,0,0,5,0,2,3,630
121,"P.S.BACHHAUR R.N. 2",173,176,0,349,93,94,0,187,186,0,15,68,32,68,0,0,0,1,1,0,1,0,0,1,187
122,P.S.HICHHAURA,327,250,0,577,192,168,0,360,355,0,19,132,151,21,2,7,0,1,2,0,3,4,5,13,360
123,P.S.GOPALPUR,749,580,0,1329,366,320,0,686,684,0,14,278,250,112,6,6,3,0,1,0,2,3,4,7,686
124,"P.S.LOHRAULI DHAMAUR",490,441,0,931,286,197,0,483,480,0,35,225,13,190,2,5,2,0,0,0,3,1,2,5,483
