"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NAGMA","2 - RAJENDRA AGARWAL","3 - MOHD.SHAHID AKHLAK","4 - SHAHID MANZOOR","5 - MOHD.USMAN GHAZI","6 - MOHD. SAJID SAIFI","7 - DR. EX. MAJ HIMANSHU SINGH","8 - ATUL KHODAWAL","9 - ANIL","10 - APHAJAL","11 - IQRA CHOUDHARY","12 - MUKESH KUMAR","13 - SUNIL DUTT","14 - None of the Above","Total Votes Secured"
99,"PRATHMIK VIDHALAYA  NAGLA SHER KHA URF JAINPUR",646,436,1,1083,460,297,0,757,757,0,4,429,292,21,0,0,1,0,0,1,2,2,1,4,757
100,"PRATHMIK VIDHALAYA ROOM N0 1 NOORNAGAR",664,535,0,1199,524,402,0,926,926,0,7,438,384,74,1,2,5,1,0,0,1,1,1,11,926
101,"PRATHMIK VIDHALAYA ROOM N0 2 NOORNAGAR",748,597,0,1345,574,431,0,1005,1005,0,5,262,722,8,0,0,2,1,0,0,0,3,0,2,1005
102,"PRATHMIK VIDHALAYA ROOM N0 1 LISARI",786,656,0,1442,551,459,0,1010,1010,0,7,443,442,113,1,0,2,0,0,0,0,0,0,2,1010
103,"PRATHMIK VIDHALAYA ROOM N0 2 LISARI",735,537,0,1272,466,311,0,777,773,0,4,1,139,619,4,0,1,0,0,0,1,1,2,5,777
104,"PRATHMIK VIDHALAYA ROOM N0 3 LISARI",740,607,0,1347,562,461,0,1023,1023,0,2,180,776,48,1,3,3,1,1,1,1,3,1,2,1023
105,"PRATHMIK VIDHALAYA ROOM N0 4 LISARI",873,637,0,1510,606,444,0,1050,20,0,3,242,414,368,2,0,3,1,1,1,3,2,3,7,1050
106,"DIWAIEN INTER COLLEGE ROOM N0 1 BHOPAL KI KOTHI KE PICHHE GALI N0 3 SHYAMNAGAR",749,568,0,1317,484,301,0,785,785,0,18,4,352,404,0,2,3,0,0,0,0,1,0,1,785
107,"DIWAIEN INTER COLLEGE ROOM N0 2 BHOPAL KI KOTHI KE PICHHE GALI N0 3 SHYAMNAGAR",563,417,0,980,324,184,0,508,508,0,9,1,204,285,1,0,3,1,1,0,0,1,0,2,508
108,"DIWAIEN INTER COLLEGE ROOM N0 3 BHOPAL KI KOTHI KE PICHHE GALI N0 3 SHYAMNAGAR",889,702,0,1591,518,300,0,818,818,0,13,4,229,552,2,0,6,1,0,0,0,3,1,7,818
109,"DIWAIEN INTER COLLEGE ROOM N0 4 BHOPAL KI KOTHI KE PICHHE GALI N0 3 SHYAMNAGAR",808,572,0,1380,436,268,0,704,523,0,6,4,130,554,2,2,2,0,0,0,1,1,1,1,704
110,"NATIONAL PUBLIC SCHOOL ROOM N0 1 SHYAMNAGAR PILOKHERI ROAD",797,679,0,1476,505,319,0,824,813,0,11,5,188,604,3,0,8,0,0,1,0,1,0,3,824
111,"NATIONAL PUBLIC SCHOOL ROOM N0 2 SHYAMNAGAR PILOKHERI ROAD",471,434,0,905,255,184,0,439,436,0,2,2,83,345,4,1,1,0,0,0,0,0,0,1,439
112,"NATIONAL PUBLIC SCHOOL ROOM N0 3 SHYAMNAGAR PILOKHERI ROAD",629,472,0,1101,352,197,0,549,549,0,5,6,139,393,0,0,2,0,0,0,1,0,0,3,549
113,"NATIONAL PUBLIC SCHOOL ROOM N0 4 SHYAMNAGAR PILOKHERI ROAD",525,372,0,897,270,160,0,430,290,0,3,3,109,307,3,2,1,0,0,0,0,0,0,2,430
114,"FALAH-A- AAM J.H.S. VIKASPURI",830,640,0,1470,506,338,0,844,361,0,29,25,342,420,4,0,16,0,0,1,0,1,0,6,844
115,"SWAMI NARADANAND PUBLIC SCHOOL SHYAMNAGAR",944,655,0,1599,575,350,0,925,925,0,26,13,509,370,0,1,2,1,0,0,0,2,0,1,925
116,"HAIDAR PUBLIC SHCOOL ROOM N0 1 KANJAR VALA PUL SHYAMNAGAR",766,599,0,1365,497,319,0,816,816,0,19,8,194,585,4,2,2,0,0,1,0,0,1,0,816
117,"HAIDAR PUBLIC SHCOOL ROOM N0 2 KANJAR VALA PUL SHYAMNAGAR",332,250,0,582,207,123,0,330,263,0,6,6,66,244,1,1,2,1,0,1,1,0,0,1,330
118,"HAIDAR PUBLIC SHCOOL ROOM N0 3 KANJAR VALA PUL SHYAMNAGAR",708,527,0,1235,448,266,0,714,658,0,6,3,312,385,0,0,4,0,0,0,0,0,1,3,714
119,"R.A.B.JUNIOR HIGH SHCOOL ROOM N0 1 LISARI ROAD",501,408,0,909,360,228,0,588,583,0,4,1,180,392,2,2,1,0,0,0,2,0,2,2,588
120,"R.A.B.JUNIOR HIGH SHCOOL ROOM N0 2 LISARI ROAD",609,487,0,1096,351,237,0,588,580,0,4,1,202,369,1,1,4,0,0,1,0,1,1,3,588
121,"R.A.B.JUNIOR HIGH SHCOOL ROOM N0 3 LISARI ROAD",793,554,0,1347,507,311,0,818,810,0,5,2,325,472,1,3,1,0,0,0,0,2,1,6,818
122,"B.R.A.INTER COLLEGE ROOM N0 1 KALE JADU VALI GALI",710,565,0,1275,367,230,0,597,448,0,5,3,191,386,2,1,1,1,0,1,0,1,1,4,597
123,"B.R.A.INTER COLLEGE ROOM N0 2 KALE JADU VALI GALI",631,504,0,1135,344,237,0,581,581,0,6,10,157,405,0,0,0,1,0,0,1,0,0,1,581
124,"B.R.A.INTER COLLEGE ROOM N0 3 KALE JADU VALI GALI",610,456,0,1066,353,227,0,580,363,0,7,4,192,358,2,1,3,2,0,0,0,2,1,8,580
125,"B.R.A.INTER COLLEGE ROOM N0 4 KALE JADU VALI GALI",770,590,0,1360,384,236,0,620,620,0,5,6,232,371,0,1,3,0,0,0,0,0,0,2,620
126,"PRATHMIK VIDHALAYA TARAPURI TANKI KA NICHE ROOM N0 1",712,520,0,1232,432,270,0,702,702,0,8,5,305,371,2,0,3,0,1,0,0,0,1,6,702
127,"PRATHMIK VIDHALAYA TARAPURI TANKI KA NICHE ROOM N0 2",805,569,0,1374,506,318,0,824,817,0,5,3,415,379,3,2,1,1,0,1,1,4,4,5,824
128,"SARDAR NISHA H0 SEC0 SCHOOL ROOM N0 1 SAMAR COLONY",1708,1169,1,2878,1021,613,0,1634,1634,0,18,10,334,1234,7,0,16,3,0,0,1,1,2,8,1634
129,"SARDAR NISHA H0 SEC0 SCHOOL ROOM N0 2 SAMAR COLONY",918,671,0,1589,551,360,0,911,911,0,5,2,260,640,2,0,1,0,1,0,0,0,0,0,911
130,"SARDAR NISHA H0 SEC0 SCHOOL ROOM N0 3 SAMAR COLONY",566,440,0,1006,345,240,0,585,584,0,6,1,252,320,1,0,2,1,1,0,0,0,0,1,585
131,"R.A.B.PRATHMIK VIDHALAYA PRANGAN JUNIOR HIGH SCHOOL LISARI ROAD ROOM N0 1",639,504,0,1143,439,303,0,742,740,0,22,7,233,459,1,0,4,1,0,2,2,2,0,9,742
132,"R.A.B.PRATHMIK VIDHALAYA PRANGAN JUNIOR HIGH SCHOOL LISARI ROAD ROOM N0 2",662,533,0,1195,459,337,0,796,56,0,7,7,314,457,1,0,3,0,0,0,0,2,1,4,796
133,"A.S.S.PUBLIC SCHOOL 20 FUTA SANTAR SOKAT COLONY ROAD ROOM NO. 1",593,480,0,1073,369,238,0,607,607,0,11,6,288,295,0,1,2,1,1,0,1,0,0,1,607
134,"A.S.S.PUBLIC SCHOOL 20 FUTA SANTAR SOKAT COLONY ROAD ROOM NO. 2",656,500,0,1156,396,234,0,630,630,0,12,1,232,374,3,0,2,0,0,0,0,1,1,4,630
135,"AJAM PUBLIC SCHOOL ROOM NO. 1 MAJID NAGAR GALI NO.1 PILOKHARI ROAD",661,491,0,1152,409,260,0,669,669,0,6,3,204,437,11,1,1,1,0,0,1,1,1,2,669
136,"AJAM PUBLIC SCHOOL ROOM NO. 2 MAJID NAGAR GALI NO.1 PILOKHARI ROAD",413,320,0,733,244,138,0,382,382,0,3,1,120,254,2,0,0,0,0,0,0,1,0,1,382
