"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMBIKA SINGH","2 - BRIJ KISHOR SINGH","3 - RAM PRASAD CHAUDHARY","4 - HARISH CHANDRA  ALIAS  HARISH DWIVEDI","5 - ANAND RAJPAL","6 - PURUSHOTTAM PANDEY","7 - BHAGWANDAS","8 - RAM KARAN ALIAS R.K. GAUTAM","9 - SHIVPOOJAN RAJBHAR","10 - SITA RAM","11 - ARUN KUMAR","12 - KRISHNA  KUMAR UPADHYAY ADVOCATE","13 - RAM SHANKAR GUPTA","14 - None of the Above","Total Votes Secured"
30,"P.S. JIVNRAINPUR",335,285,0,620,210,181,0,391,242,0,13,168,106,79,2,0,0,1,2,1,5,3,4,7,391
31,"P.S. KAKRAKHURD KALA",465,419,0,884,267,292,0,559,500,0,11,189,132,195,3,3,2,2,3,4,4,3,3,5,559
32,"P.S. NEVRIRAMBAK‍SH",404,340,0,744,207,186,0,393,30,0,7,175,71,122,5,0,2,1,0,2,0,4,2,2,393
33,P.S.DHARAMPUR,781,608,0,1389,432,397,0,829,829,0,30,418,126,235,2,1,1,1,0,1,2,1,7,4,829
34,"P.S. RAGHUPUR",455,401,0,856,306,262,0,568,566,0,6,266,124,146,5,2,0,0,2,0,3,5,2,7,568
35,"P.S.RAMPUR NAUNIDHIRAI",581,530,0,1111,329,288,0,617,615,0,18,183,76,316,8,1,2,1,2,1,2,0,2,5,617
36,"P.S. MAJGAVA MAFFI",469,398,0,867,257,244,0,501,405,0,7,113,203,147,11,2,3,2,1,0,1,4,3,4,501
37,"J.H.S. JAGDISHPUR",751,671,0,1422,357,370,0,727,720,0,26,417,183,67,11,0,1,1,2,2,1,1,4,11,727
38,"J.H.S.SUKRAULI PAN‍DEYA",675,594,0,1269,357,318,0,675,31,0,11,207,146,279,11,0,1,5,1,0,1,3,5,5,675
39,"J.H.S. TIRUKHA",717,659,0,1376,347,417,0,764,310,0,17,370,53,303,4,5,2,4,1,2,1,0,0,2,764
40,J.H.S.MARWATIYA,263,215,0,478,146,148,0,294,273,0,8,135,63,78,0,0,0,1,1,1,1,0,5,1,294
41,"P.S. ITWA",475,439,0,914,256,257,0,513,63,0,14,199,65,212,3,1,3,1,2,0,5,2,2,4,513
42,"P.S. ITWA",399,361,0,760,228,210,0,438,15,0,4,243,72,99,2,1,1,0,0,1,6,2,2,5,438
43,"P.S. SIRSIHWA",301,262,0,563,173,161,0,334,200,0,10,74,65,160,3,1,3,1,0,1,6,1,8,1,334
44,"P.S. RATANPUR",244,233,0,477,176,158,0,334,310,0,6,211,42,72,0,0,1,1,0,1,0,0,0,0,334
45,"P.S. SEHRIYA",612,520,0,1132,358,245,0,603,531,0,20,187,131,249,3,1,3,0,0,0,2,3,1,3,603
46,"P.S. ROHDA",819,738,0,1557,476,390,0,866,800,0,39,389,287,131,5,3,3,0,1,1,0,2,3,2,866
47,P.S.PARASPUR,627,538,0,1165,395,331,0,726,720,0,13,175,190,328,4,2,4,1,0,1,1,5,0,2,726
48,"P.S. NARAYANPUR",687,579,0,1266,358,372,0,730,730,0,33,372,103,199,3,2,0,2,4,2,3,0,0,7,730
49,"P.S. NARAYANPUR",430,375,0,805,241,229,0,470,354,0,3,133,43,280,4,2,1,0,0,0,2,1,1,0,470
50,"P.S. GAURA PANDEY",757,662,0,1419,428,390,0,818,818,0,18,256,99,406,5,5,1,5,3,2,2,4,4,8,818
51,"P..S NAGPURTIKAIT",514,393,0,907,268,298,0,566,551,0,18,389,39,104,0,1,1,1,1,0,1,1,5,5,566
52,"P.S. NAGPUR TIKAIT",425,397,0,822,171,251,0,422,375,0,19,234,56,100,1,2,0,1,2,1,0,0,1,5,422
53,"P.S. KODRI",500,418,0,918,286,237,0,523,523,0,7,28,130,331,11,1,2,3,0,0,1,5,1,3,523
54,"P.S. DEBRAHIYA RAUT",734,617,0,1351,417,343,0,760,758,0,12,181,143,402,6,0,5,0,2,1,3,1,1,3,760
55,"P.S. NATHPUR PANDEY",672,621,0,1293,331,345,0,676,628,0,7,146,87,408,5,0,2,3,1,2,2,5,2,6,676
56,"P.S. SALEMPUR PANDEY",747,688,0,1435,391,375,0,766,766,0,13,216,242,268,3,0,4,2,2,3,2,3,3,5,766
57,P.S.GOPINATHPUR,512,462,0,974,356,348,0,704,704,0,7,352,264,67,2,2,1,2,0,0,2,0,1,4,704
58,"P..S. BHATINIYA",723,641,0,1364,499,389,0,888,888,0,8,353,212,282,5,5,4,1,2,1,3,3,3,6,888
59,"P.S. NAGAR BEHRA",467,409,0,876,303,254,0,557,557,0,9,236,138,145,7,1,3,1,1,1,2,2,3,8,557
60,"P.S. DUHWA PANDEY",585,460,0,1045,286,244,0,530,477,0,10,126,176,202,2,2,2,0,1,1,1,4,1,2,530
61,"P.S. KARMI PATTI",432,346,0,778,235,183,0,418,200,0,7,92,179,127,5,0,1,0,1,0,0,3,1,2,418
62,"P.S. KARMIYA",400,349,0,749,238,242,0,480,480,0,4,214,174,74,0,0,3,0,0,2,2,2,1,4,480
63,"P.S. KHAMHARIYA",536,451,0,987,373,300,0,673,372,0,9,314,225,108,2,0,2,1,2,0,1,0,2,7,673
64,"P.S. MEDHAYE",429,370,0,799,238,257,0,495,495,0,9,149,267,51,3,3,0,1,2,1,1,2,3,3,495
65,"P.S. FARENDA",475,406,0,881,229,237,0,466,300,0,19,150,55,210,5,0,1,0,1,1,7,3,3,11,466
66,"P.S. RANIGAUN",218,173,0,391,125,117,0,242,241,0,2,104,6,118,3,1,1,0,2,1,0,2,2,0,242
67,"P.S. BEMHANA",222,191,0,413,134,100,0,234,160,0,5,106,38,79,2,0,0,0,0,1,0,0,1,2,234
68,"P.S. BASEWA PANDEY",274,246,0,520,176,174,0,350,350,0,1,134,66,136,4,0,0,1,0,0,3,0,3,2,350
69,"P.S. KARANPUR",632,513,0,1145,435,265,0,700,700,0,12,240,85,345,2,4,3,2,3,0,0,0,2,2,700
70,P.S.SONHATI,602,512,0,1114,419,388,0,807,743,0,16,337,245,174,5,2,2,4,1,1,4,5,8,3,807
71,"P.S. VICHNAIYA PANDEY",551,484,0,1035,300,282,0,582,582,0,17,91,169,271,6,0,3,0,1,1,3,3,7,10,582
72,"PANCHAYAT BHAWAN KANDSARA",373,331,0,704,179,171,0,350,350,0,12,103,48,178,2,2,1,0,1,1,1,0,0,1,350
73,P.S.JAGARNATHPUR,669,535,0,1204,285,264,0,549,547,0,19,245,93,158,8,1,4,3,0,2,3,2,5,6,549
74,P.S.JAGARNATHPUR,829,655,0,1484,299,272,0,571,571,0,35,317,130,70,4,1,1,0,0,1,1,5,0,6,571
75,"P.S. SHANKARPUR",562,462,0,1024,320,243,0,563,528,0,25,205,98,219,0,4,2,1,2,1,1,1,2,2,563
76,"P.S. BICCHIYA MISRH",338,281,0,619,200,183,0,383,382,0,6,99,52,209,3,1,0,1,8,0,1,0,2,1,383
77,"P.S. BASTHANWA",429,363,0,792,251,195,0,446,19,0,9,68,145,214,6,0,0,0,0,0,1,1,0,2,446
78,"P.S. BASTHANWA",457,386,0,843,291,275,0,566,4,0,8,190,194,145,2,0,2,3,2,3,2,6,2,7,566
79,"P.S. ITAI KHAJURI",512,442,0,954,297,259,0,556,556,0,21,281,108,133,4,3,2,0,0,1,0,1,2,0,556
80,"P.S. NINDAUR MAFI",224,188,0,412,158,126,0,284,274,0,4,114,34,124,1,1,0,0,0,0,2,2,1,1,284
81,"P.S. GHURANPUR",753,682,0,1435,365,389,0,754,711,0,38,401,136,160,7,1,1,3,0,1,3,1,0,2,754
82,"P.S. BADHAKUNIYA",308,260,0,568,182,149,0,331,331,0,3,97,63,150,3,3,1,0,1,1,3,2,2,2,331
83,"J.H.S. MISHRAULIYA DURVASA",605,540,0,1145,359,273,0,632,630,0,9,167,207,217,3,2,4,2,2,3,3,5,1,7,632
84,"P.S. MISHRAULIYA DURVASA",591,489,0,1080,346,287,0,633,628,0,23,131,187,269,5,1,3,1,3,1,1,3,0,5,633
85,"P.S. KOP",207,178,0,385,125,114,0,239,239,0,13,42,36,147,1,0,0,0,0,0,0,0,0,0,239
86,"P.S. RAGHWAPUR",311,282,0,593,216,200,0,416,416,0,15,198,133,59,6,2,1,0,0,0,0,0,2,0,416
87,"P.S. GANNIPUR",347,332,0,679,276,252,0,528,527,0,5,299,110,95,1,1,1,1,1,4,5,1,3,1,528
88,"J.H.S. SRINGINARI",491,428,0,919,332,246,0,578,578,0,7,195,240,122,5,0,0,2,2,0,1,1,0,3,578
89,"J.H.S. SRINGINARI",509,465,0,974,327,259,0,586,586,0,16,180,185,185,9,1,2,2,1,1,1,1,2,0,586
90,"J.H.S. BASEWARAI",380,311,0,691,213,208,0,421,421,0,2,127,131,150,2,1,1,3,1,0,0,1,1,1,421
91,"PANCHAYAT BHAWAN DAHDA MISHR",261,222,0,483,156,135,0,291,18,0,6,155,17,103,1,1,1,3,0,0,0,1,0,3,291
92,"P.S. SHERWADEEH",631,547,0,1178,377,373,0,750,740,0,13,328,313,61,2,0,3,4,1,2,1,5,7,10,750
93,"P.S. KOHAL MISHR",361,317,0,678,185,173,0,358,200,0,8,85,35,219,2,1,2,0,0,1,0,4,0,1,358
94,"P.S. SENDURIYA MISHR",282,244,0,526,162,142,0,304,304,0,18,145,70,66,0,0,1,0,1,1,0,1,0,1,304
95,"P.S. AMARI",825,672,0,1497,389,388,0,777,760,0,16,218,137,374,8,0,3,2,2,0,5,3,2,7,777
96,"P.S. PUREBECHU",754,640,0,1394,367,348,0,715,657,0,15,269,112,297,4,4,2,0,1,0,1,3,1,6,715
97,"P.S. PAKHERI",633,538,0,1171,371,293,0,664,623,0,18,179,189,254,2,3,1,1,1,1,4,3,2,6,664
98,"P.S. PAKHERI",276,239,0,515,169,157,0,326,324,0,9,109,46,155,1,0,1,1,0,0,1,0,1,2,326
99,"P.S. PAKHERWA KALA",313,263,0,576,219,191,0,410,300,0,6,174,84,140,1,0,0,0,0,0,3,1,0,1,410
100,"P.S. LAJGHATA",426,373,0,799,247,221,0,468,236,0,94,38,118,199,5,0,1,3,1,0,1,2,2,4,468
101,"N.K.I.C. BHAGWANPUR",581,531,0,1112,314,318,0,632,632,0,24,189,176,222,2,1,3,2,1,2,2,2,5,1,632
102,"P.S. NAGRABADLI",590,524,0,1114,337,297,0,634,350,0,16,142,122,305,6,2,3,3,2,1,3,2,8,19,634
103,"P.S. NAGRABADLI",646,584,0,1230,357,329,0,686,686,0,12,103,210,306,4,2,5,4,6,4,3,6,1,20,686
104,"P.S. RAJWAPUR",680,614,0,1294,322,398,0,720,720,0,29,350,138,164,6,1,7,0,2,1,1,4,7,10,720
105,"P.S. RAJWAPUR",428,379,0,807,224,213,0,437,410,0,20,118,29,252,6,0,0,2,1,1,1,0,0,7,437
106,"P.S TEDHAGHAT",252,232,0,484,147,147,0,294,294,0,6,96,125,47,4,0,0,1,2,3,1,3,2,4,294
107,"P.S. KOHRAYEN",608,468,0,1076,340,308,0,648,648,0,13,313,96,195,6,1,6,4,0,0,3,1,3,7,648
108,"P.S. KOHRAYEN",360,354,0,714,186,199,0,385,383,0,12,205,48,107,0,3,0,2,2,1,0,2,0,3,385
109,"P.S. NEDULA",697,618,0,1315,374,385,0,759,759,0,22,305,113,276,9,3,2,2,1,2,2,3,5,14,759
110,"P.S NEDULA",293,243,0,536,146,117,0,263,258,0,4,81,51,119,2,1,0,0,1,0,1,1,2,0,263
111,"P.S. MAJGANVA",211,178,0,389,142,140,0,282,272,0,2,38,143,84,0,0,0,0,0,2,2,5,2,4,282
112,"P.S. DUFEDI",457,459,0,916,289,259,0,548,316,0,6,156,235,124,6,1,0,1,1,1,0,8,3,6,548
113,P.S.TAKKIPUR,256,212,0,468,147,135,0,282,282,0,1,169,53,44,2,0,1,0,0,1,2,1,5,3,282
114,"P.S. AHIRAULA",317,267,0,584,214,182,0,396,164,0,8,197,90,72,2,1,3,1,1,9,1,2,3,6,396
115,"P.S. UJAINI",380,333,0,713,194,201,0,395,385,0,4,70,111,177,4,2,3,2,2,3,3,4,2,8,395
116,"AADARSH U.M.V. SANDHSI",412,377,0,789,246,242,0,488,468,0,6,113,56,300,4,1,0,1,1,0,1,1,2,2,488
117,"P.S. BERTA",322,306,0,628,157,190,0,347,323,0,4,83,38,213,3,0,1,0,2,0,1,0,1,1,347
118,"P.S. JAMAULIYA PANDEY",580,522,0,1102,339,327,0,666,666,0,24,291,79,244,4,2,3,5,1,4,5,0,2,2,666
119,"P.S. JAMAULIYA PANDEY",632,532,0,1164,364,254,0,618,610,0,3,93,209,280,7,1,3,0,2,0,4,1,9,6,618
120,"P.S. ACHRAUL",529,435,0,964,283,276,0,559,554,0,17,185,40,289,4,2,2,4,1,2,2,5,2,4,559
121,"P.S. GOVINDAPUR LALA",382,354,0,736,207,214,0,421,100,0,4,103,46,243,7,3,0,0,0,4,1,1,3,6,421
122,"P.S. GORYALALA",660,573,0,1233,306,323,0,629,112,0,16,190,103,276,5,1,1,4,5,3,5,2,2,16,629
123,"P.S. JATAULIYA",693,603,0,1296,380,317,0,697,600,0,11,142,123,378,14,2,7,1,1,2,2,2,4,8,697
124,"P.S. JATAULIYA",728,633,0,1361,344,287,0,631,631,0,34,130,73,348,15,0,4,3,0,6,5,5,2,6,631
125,"P.S. CHAUBEPUR",353,284,0,637,233,172,0,405,405,0,10,226,58,93,2,1,1,1,0,2,3,0,2,6,405
126,"P.M.V MADHUKARPUR",555,513,1,1069,300,276,0,576,576,0,15,305,42,164,11,1,1,3,1,4,4,5,6,14,576
127,"P.S. CHAUBEPUR",335,305,1,641,270,200,0,470,14,0,10,348,7,102,0,0,0,0,0,0,0,1,1,1,470
128,P.S.MAHADEVA,479,423,0,902,292,253,0,545,200,0,25,162,39,277,9,1,6,5,3,0,4,4,3,7,545
129,"P.S. NEWADA",494,433,0,927,305,271,0,576,124,0,25,338,18,160,1,0,3,1,2,4,3,3,10,8,576
130,P.S.NEWADA,628,570,0,1198,346,369,0,715,715,0,12,224,68,362,11,0,7,2,2,4,2,4,8,9,715
131,"P.S. NANDNAGAR",508,431,0,939,277,280,0,557,554,0,9,81,15,441,2,1,1,0,0,0,1,0,2,4,557
132,"P.S. NANDNAGAR`",515,443,0,958,245,265,0,510,510,0,11,139,128,191,7,0,3,0,2,1,4,4,6,14,510
133,"P.S. CHAURI",503,414,0,917,322,262,0,584,84,0,7,112,27,421,8,0,1,1,0,0,2,1,1,3,584
134,"P.S. CHAURI",465,392,0,857,279,251,0,530,185,0,16,159,19,308,8,1,0,1,1,0,0,4,5,8,530
135,"P.S. CHHERIYA PARA",764,649,0,1413,380,360,0,740,720,0,4,144,84,466,7,4,4,1,3,3,7,2,2,9,740
136,"P.S. SIKANDARPUR",634,526,0,1160,419,314,0,733,410,0,16,455,33,220,4,0,0,0,0,0,0,1,2,2,733
137,"P.S. SIKANDARPUR",473,399,0,872,296,224,0,520,520,0,22,207,46,233,5,1,0,0,0,0,2,1,0,3,520
138,"P.S. SIKANDARPUR",794,675,0,1469,374,396,0,770,765,0,19,96,28,586,13,2,1,2,0,1,5,3,5,9,770
139,"P.S. HAIDRABAD",736,637,0,1373,324,242,0,566,564,0,79,329,69,71,4,1,3,1,0,0,1,1,4,3,566
140,"P.S. HAIDRABAD",759,691,0,1450,394,432,0,826,825,0,28,298,43,428,10,6,6,1,1,1,0,1,2,1,826
141,"P.S. RIDHAURA",555,509,0,1064,263,294,0,557,557,0,10,235,37,232,8,7,2,3,0,1,1,2,4,15,557
142,"P.S. RIDHAURA",798,710,0,1508,395,419,0,814,814,0,19,280,45,311,14,102,5,0,4,1,3,6,7,17,814
143,"P.S. DHENUGANVA KHURD",618,530,0,1148,413,278,0,691,691,0,17,231,61,345,6,1,5,4,2,3,2,3,0,11,691
144,"P.S. DHENUGANVA KHURD",428,314,1,743,220,205,0,425,65,0,9,109,63,224,5,0,1,1,0,1,6,1,1,4,425
145,"J.H.S. RAIPUR",626,540,0,1166,360,298,0,658,658,0,9,178,70,364,9,4,3,1,2,2,4,0,3,9,658
146,"P.S. RANIPUR",365,316,0,681,228,204,0,432,426,0,6,128,62,211,4,0,1,0,3,2,2,5,2,6,432
147,"P.S. MALHANI",390,357,0,747,266,240,0,506,306,0,9,77,51,349,6,1,7,1,0,0,2,1,2,0,506
148,"P.S. MUNIYAUN KHURD",324,292,0,616,322,196,0,518,518,0,14,362,17,121,0,0,1,1,0,0,0,1,1,0,518
149,"P.S.MUNIYAUN KALA",224,196,0,420,151,138,0,289,252,0,5,107,55,116,0,0,1,1,0,1,1,1,0,1,289
150,"PANCHAYAT BHAWAN BADAURA",338,286,0,624,236,193,0,429,16,0,7,172,10,216,0,3,1,1,0,2,5,1,3,8,429
151,"P.S. RANIPUR STHIT LALPUR",561,435,0,996,405,200,0,605,605,0,19,110,32,405,13,9,2,0,3,0,0,1,6,5,605
152,"P.S. RANIPUR STHIT LALPUR",567,483,0,1050,356,278,0,634,634,0,19,169,52,367,6,2,3,3,2,1,2,1,0,7,634
153,"P.S. KHATAM SARAI",517,452,0,969,386,313,0,699,699,0,18,466,49,138,3,2,0,2,1,1,1,4,5,9,699
154,"P.S. TIKRIYA",246,200,0,446,198,159,0,357,317,0,0,164,26,161,3,1,0,0,0,0,1,0,1,0,357
155,P.S.IMILIYA,456,385,0,841,283,251,0,534,533,0,7,285,36,180,5,1,5,1,1,0,1,3,6,3,534
156,"P.S. IMILIYA",346,304,0,650,260,210,0,470,469,0,7,147,84,222,4,0,0,0,0,0,1,1,1,3,470
157,"P.S. MUKUNDPUR",301,264,0,565,185,187,0,372,372,0,0,130,133,96,3,0,2,1,3,0,3,1,0,0,372
158,"I.C. BASTHANWA",709,608,0,1317,450,355,0,805,804,0,6,236,208,323,10,1,2,2,1,2,2,3,4,5,805
159,"P.S. KUNWARAPUR",627,495,0,1122,290,323,0,613,613,0,10,99,218,257,6,2,2,3,1,1,2,2,5,5,613
160,"P.S. MEDHIYA SHUK‍L",305,297,0,602,171,175,0,346,346,0,1,83,76,177,0,1,0,0,1,0,1,2,2,2,346
161,"P.S. AURANGABAD",685,628,0,1313,433,387,0,820,816,0,11,180,341,229,11,1,4,4,2,3,10,10,7,7,820
162,"P.S.HAREWA SHUKL",762,757,0,1519,451,440,0,891,450,0,16,250,278,313,3,1,5,2,1,1,4,2,6,9,891
163,"P.S. AKWARA",627,573,0,1200,328,315,0,643,643,0,6,173,137,296,5,2,5,1,3,1,1,1,6,6,643
164,"P.S. AKWARA",434,403,0,837,281,274,0,555,123,0,13,287,61,181,3,2,2,2,1,0,0,0,2,1,555
165,"P.S. TALAGAUN",560,487,0,1047,319,326,0,645,643,0,12,334,111,172,2,2,1,0,0,0,0,3,1,7,645
166,P.S.NIYAMATPUR,352,300,0,652,242,218,0,460,460,0,2,144,47,248,5,0,0,1,2,0,2,3,2,4,460
167,"P.S. PANVAD",447,427,0,874,249,287,0,536,5,0,32,132,52,282,9,3,4,3,2,2,1,3,3,8,536
168,"P.S. BACHAIPUR",391,341,0,732,237,216,0,453,453,0,10,159,45,220,1,1,1,0,1,2,1,5,1,6,453
169,"P.S. BACHHAIPUR",262,251,0,513,143,151,0,294,41,0,3,68,66,144,1,1,1,0,1,1,0,1,2,5,294
170,"P.S. KALANDARHA",274,243,0,517,179,172,0,351,351,0,7,156,19,161,1,0,1,0,0,0,0,0,3,3,351
171,"P.S. FOOLDEEH",539,473,0,1012,414,322,0,736,736,0,11,416,85,198,7,2,1,0,0,1,1,3,4,7,736
172,P.S.SHANKARPUR,424,367,0,791,242,232,0,474,474,0,4,212,82,158,2,0,1,0,1,1,1,3,2,7,474
173,"P.S. SHANKARPUR",767,670,0,1437,458,390,0,848,847,0,38,298,199,276,4,1,4,2,3,2,2,3,6,10,848
174,"I.C. KAULPUR",598,444,0,1042,462,310,0,772,766,0,8,316,69,365,6,0,0,1,0,0,1,1,1,4,772
175,"J.H.S SITARAMPUR STHIT GRAM KALYANPUR",395,348,0,743,96,159,0,255,255,0,14,99,31,102,1,1,1,0,1,0,1,0,0,4,255
176,"J.H.S. SITARAMPUR STHIT GRAM KALYANPUR",233,205,0,438,138,143,0,281,207,0,8,121,47,85,1,3,3,0,0,0,2,1,2,8,281
177,"J.H.S. BAGHANALA",421,376,0,797,301,256,0,557,11,0,7,332,14,187,5,0,3,0,1,0,1,0,2,5,557
178,"P.S. GAURIYA NAIN",426,385,0,811,311,271,0,582,570,0,22,231,59,251,6,0,0,0,1,2,1,3,4,2,582
179,"P.S. BHADOAI",397,315,0,712,297,205,0,502,491,0,5,289,34,156,7,0,1,3,1,0,1,1,1,3,502
180,"P.S. VIKRAMJOT",710,649,0,1359,430,392,0,822,810,0,7,339,119,312,5,5,1,3,1,7,5,4,1,13,822
181,"P.S. NETWAR PATTI",508,438,0,946,271,303,0,574,564,0,17,162,75,305,3,1,1,0,2,4,0,0,3,1,574
182,"P.S. PADRIYA",680,573,0,1253,431,355,0,786,786,0,17,131,94,509,5,2,3,1,1,5,6,1,6,5,786
183,P.S.CHANDRAPALIYA,379,334,0,713,211,202,0,413,413,0,11,93,33,245,10,3,3,1,3,5,1,0,1,4,413
184,"P.S. KHEMRAJPUR",244,206,0,450,137,108,0,245,130,0,1,74,38,125,2,1,1,0,1,0,1,0,1,0,245
185,"P.S. KHEMRAJPUR",341,303,0,644,160,157,0,317,317,0,7,159,35,107,0,0,2,0,2,2,0,1,0,2,317
186,"P.S. PAKDI SANGRAM",328,249,0,577,122,86,0,208,207,0,12,92,14,74,1,0,2,1,2,0,4,1,3,2,208
187,"P.S. PAKDI SANGRAM",356,285,0,641,179,165,0,344,344,0,6,97,59,175,6,0,0,1,0,0,0,0,0,0,344
188,"G.P.S. RAIPUR STHIT DHIRAULI PANDEY",311,284,0,595,176,172,0,348,241,0,1,110,19,201,4,0,2,2,3,0,1,1,2,2,348
189,"P.S. MALAULI GOSAI",685,619,0,1304,379,326,0,705,680,0,17,239,93,324,14,3,5,0,1,1,1,0,2,5,705
190,"P.S. MALAULI GOSAI",433,394,0,827,211,207,0,418,418,0,11,82,58,242,3,0,5,1,4,2,2,3,1,4,418
191,"P.S. SAURI",358,328,0,686,180,206,0,386,386,0,15,112,71,175,5,0,2,1,0,0,0,0,2,3,386
192,"P.S. RAMHATIYA STHIT GODSARA TIWARI",415,356,0,771,207,263,0,470,410,0,7,217,43,189,5,0,0,0,1,0,0,3,4,1,470
193,"P.S. RAMHATIYA STHIT GODSARA TIWARI",248,223,0,471,150,138,0,288,200,0,7,90,57,125,1,0,1,2,2,1,0,0,0,2,288
194,"P.S. RAIPUR",278,231,0,509,168,140,0,308,280,0,5,70,32,187,2,1,1,1,1,2,2,1,1,2,308
195,"P.S. ATRAURAJHAM",313,300,0,613,173,182,0,355,47,0,8,158,28,152,4,0,1,1,0,0,0,1,1,1,355
196,"P.S. ATRAURAJHAM",597,549,1,1147,341,316,0,657,657,0,6,272,70,269,4,3,2,2,0,1,4,11,7,6,657
