"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAMLA PRASAD RAWAT","2 - P. L. PUNIA","3 - PRIYANKA SINGH RAWAT","4 - RAJRANI RAWAT","5 - KISHAN LAL","6 - P. C. KUREEL","7 - DINESH CHANDRA GAUTAM","8 - NITIN SINGH","9 - BABU LAL","10 - MEDI LAL","11 - RAJESH KUMAR VIDYARTHI","12 - ABHILAKH RAWAT","13 - KHANJAN LAL","14 - MAHESH","15 - None of the Above","Total Votes Secured"
44,"PRATHMIK VIDYALAYA  PATTIAJMAL",566,512,0,1078,374,292,0,666,10,0,98,160,342,26,2,6,1,0,0,4,2,3,8,6,8,666
45,"PRATHMIK VIDYALAYA  SHANKHAPUR H/O SEMARI",752,620,1,1373,352,180,0,532,25,0,64,114,265,65,2,3,3,0,1,2,0,0,2,2,9,532
46,"PRATHMIK VIDYALAYA  BIBIYAPUR GHAT",517,432,0,949,332,233,0,565,295,0,144,91,283,7,1,3,1,0,4,4,3,5,5,6,8,565
47,"PRATHMIK VIDYALAYA  SARAYMEER",708,593,0,1301,416,338,0,754,12,0,277,163,247,25,2,2,1,2,2,4,0,5,12,5,7,754
48,"PRATHMIK VIDYALAYA  RASOOLABAD BHORAI",574,470,0,1044,382,269,0,651,51,0,170,10,403,33,4,1,2,3,0,0,2,2,11,2,8,651
49,"PRATHMIK VIDYALAYA  MOHAMMADPUR HUSEN BUX",378,337,0,715,252,222,0,474,222,0,276,23,151,11,0,1,0,0,1,1,0,0,3,2,5,474
50,"POORV MADH‍YMIK VIDYALAYA KESARGANJ EAST PART",662,594,0,1256,450,313,0,763,763,0,138,177,309,93,1,4,3,3,2,0,1,3,7,6,16,763
51,"POORV MADH‍YMIK VIDYALAYA KESARGANJ MID PART",683,567,0,1250,468,315,0,783,16,0,279,227,197,46,1,3,1,0,2,2,10,3,4,4,4,783
52,"POORV MADH‍YMIK VIDYALAYA KESARGANJ NORTH PART",787,635,0,1422,444,264,0,708,355,0,88,315,179,81,1,2,0,1,0,1,15,2,9,6,8,708
53,"PRATHMIK VIDYALAYA  BUDHNAI",760,671,0,1431,509,377,0,886,806,0,274,131,391,31,0,1,5,0,3,2,3,5,12,6,22,886
54,"PRATHMIK VIDYALAYA  RASOOLPUR H/O PASCHIMBELANW EAST PART",667,623,0,1290,395,352,0,747,50,0,66,123,371,156,2,1,1,1,4,2,2,4,6,5,3,747
55,"PRATHMIK VIDYALAYA  RASOOLPUR H/O PASCHIMBELANW WEST PART",667,608,0,1275,435,346,0,781,1,0,189,151,359,57,6,2,1,1,2,1,0,2,3,3,4,781
56,"PRATHMIK VIDYALAYA  PAIGAMBARPUR NORTH PART",818,665,0,1483,450,326,0,776,645,0,99,320,262,53,2,2,2,2,0,1,4,2,10,6,11,776
57,"PRATHMIK VIDYALAYA  PAIGAMBARPUR SOUTH PART",681,571,0,1252,404,285,0,689,504,0,19,171,412,50,1,1,0,1,3,3,0,5,7,6,10,689
58,"PRATHMIK VIDYALAYA  PAIGAMBARPUR ATRIKTKACH",415,324,0,739,242,182,0,424,300,0,90,163,120,26,1,1,1,1,1,1,2,1,4,3,9,424
59,"NA. NI. PRATHKIM VIDYALYA  PURABBELANW N.PART",589,497,0,1086,381,353,0,734,556,0,68,180,290,176,2,1,1,0,1,2,0,3,6,2,2,734
60,"NA. NI. PRATHKIM VIDYALYA  PURABBELANW S. PART",421,369,0,790,276,248,0,524,524,0,92,127,222,61,0,0,1,1,0,2,1,2,6,4,5,524
61,"PRATHMIK VIDYALAYA  ALAMPUR ROOM NO-1",508,493,0,1001,256,222,0,478,1,0,81,193,155,34,2,0,1,1,0,3,2,1,2,1,2,478
62,"PRATHMIK VIDYALAYA  ALAMPUR ROOM NO-2",338,291,0,629,202,147,0,349,117,0,31,175,71,68,1,0,1,0,0,0,0,1,0,0,1,349
63,"SARVODAYA INTER COLLAGE NASIPUR MANSARA N.PART",816,701,0,1517,520,427,0,947,386,0,67,189,626,28,2,4,2,2,2,1,2,3,12,1,6,947
64,"SARVODAYA INTER COLLAGE NASIPUR MANSARA S.PART",391,323,0,714,267,200,0,467,257,0,31,141,228,36,2,0,0,0,1,2,2,6,9,2,7,467
65,"SARVODAYA INTER COLLAGE NASIPUR MANSARA MID.PART",485,427,0,912,322,265,0,587,7,0,20,473,51,15,1,2,0,0,0,2,4,1,4,5,9,587
66,"PRATHMIK VIDYALAYA  MOTIKPUR EAST PART",590,534,0,1124,319,284,0,603,1,0,120,279,138,35,1,2,7,1,0,2,2,1,2,4,9,603
67,"PRATHMIK VIDYALAYA  MOTIKPUR WEST PART",442,342,0,784,260,147,0,407,403,0,49,55,265,21,0,2,0,0,0,0,1,2,10,2,0,407
68,"NA. NI.PRATHKIM VIDYALYA  KADIRPUR",751,634,0,1385,532,462,0,994,141,0,22,268,522,130,7,0,3,2,1,1,3,8,13,7,7,994
69,"PRATHMIK VIDYALAYA  JALALPUR",617,526,0,1143,377,338,0,715,690,0,22,113,458,70,5,5,3,1,0,4,3,2,15,6,8,715
70,"PRATHMIK VIDYALAYA BABURIHA",203,196,0,399,137,111,0,248,200,0,13,5,212,8,2,0,0,0,1,0,0,0,4,1,2,248
71,"POORV MADH‍YMIK VIDYALAYA PALAULI",394,329,0,723,232,218,0,450,438,0,140,21,254,17,1,0,1,0,1,2,1,1,1,3,7,450
72,"PRATHMIK VIDYALAYA CHAKTARA",319,308,0,627,237,213,0,450,400,0,35,35,280,78,1,3,2,2,1,1,1,2,3,1,5,450
73,"PRATHMIK VIDYALAYA BHEDIYA",388,352,0,740,247,240,0,487,457,0,33,54,346,20,2,1,2,0,1,1,7,2,11,1,6,487
74,"PRATHMIK VIDYALAYA MENAHUWAN",505,410,0,915,327,269,0,596,213,0,32,96,393,45,4,2,0,0,2,2,3,3,3,1,10,596
75,"POORV MADH‍YMIK VIDYALAYA MANJHAR ROOM NO-1",465,371,0,836,334,204,0,538,208,0,97,60,35,328,3,0,1,0,1,0,1,3,5,1,3,538
76,"POORV MADH‍YMIK VIDYALAYA MANJHAR ROOM NO-2",372,289,0,661,263,158,0,421,205,0,51,15,36,252,7,1,49,0,1,1,0,0,3,3,2,421
77,"NA.NI.PRATHKIM VIDYALYA  MAULABAD",293,265,0,558,243,195,0,438,20,0,86,51,261,25,2,2,1,0,0,0,2,1,4,1,2,438
78,"NA.NI. PRATHKIM VIDYALYA  LAKHAURA",341,280,0,621,264,190,0,454,17,0,115,23,157,143,0,1,1,0,1,0,0,2,6,4,1,454
79,"NA.NI.PRATHKIM VIDYALYA  DULATPUR",680,612,0,1292,481,375,0,856,139,0,264,69,281,200,6,1,0,0,0,2,2,4,9,10,8,856
80,"NA.NI.PRATHKIM VIDYALYA  JAURAS N.PART",704,587,0,1291,487,347,0,834,34,0,48,110,327,337,3,1,1,0,0,0,0,0,5,1,1,834
81,"NA.NI.PRATHKIM VIDYALYA JAURAS S.PART",659,530,0,1189,408,294,0,702,110,0,279,60,308,33,2,2,2,0,1,1,0,0,7,2,5,702
82,"NA.NI. PRATHKIM VIDYALYA  JAURAS ATI. KAKCH",504,393,0,897,302,184,0,486,76,0,64,119,230,60,0,1,0,0,0,0,2,4,0,3,3,486
83,"PRATHMIK VIDYALAYA MAKANPUR",421,365,0,786,270,157,0,427,25,0,143,131,102,38,0,1,1,0,2,0,1,0,2,1,5,427
84,"PRATHMIK VIDYALAYA MAKANPUR",379,340,0,719,265,224,0,489,3,0,149,95,211,18,1,0,1,1,0,2,0,1,3,0,7,489
85,"PRATHMIK VIDYALAYA MAKANPUR",378,343,0,721,221,160,0,381,11,0,5,138,192,29,1,1,0,0,1,0,3,2,5,1,3,381
86,"PRATHMIK VIDYALAYA KARMEMAU",272,234,0,506,200,147,0,347,10,0,20,68,130,108,1,1,2,0,1,0,2,2,4,2,6,347
87,"PRATHMIK VIDYALAYA SHAHPURSIDVI",628,535,0,1163,452,299,0,751,708,0,195,205,48,281,0,0,1,1,10,0,0,1,1,3,5,751
88,"PRATHMIK VIDYALAYA DUNDIPUR E.PART",575,494,0,1069,358,264,0,622,222,0,216,96,178,108,3,2,0,0,2,1,1,1,7,2,5,622
89,"PRATHMIK VIDYALAYA DUNDIPUR W.PART",577,486,0,1063,433,293,0,726,35,0,206,38,242,211,2,3,0,3,5,1,0,3,6,1,5,726
90,"PRATHMIK VIDYALAYA BHILWAL EAST PART",649,571,0,1220,453,347,0,800,405,0,49,89,501,136,4,0,1,1,4,2,0,4,5,4,0,800
91,"PRATHMIK VIDYALAYA BHILWAL WEST PART",462,395,0,857,277,253,0,530,500,0,17,66,357,81,3,0,0,0,1,2,0,0,2,0,1,530
92,"PRATHMIK VIDYALAYA BHILWAL MID PART",391,327,0,718,261,203,0,464,210,0,7,143,158,146,0,0,1,1,1,0,2,2,1,1,1,464
93,"OFFICE & GODAM SADHAN SHAKARI SAMITI LT. BHILWAL",335,290,0,625,215,158,0,373,263,0,26,61,191,76,4,0,0,2,0,0,1,2,1,3,6,373
94,"PRATHMIK VIDYALAYA KHANPUR",168,171,0,339,133,125,0,258,30,0,101,14,111,22,1,1,0,0,1,2,0,3,1,0,1,258
95,"NA.NI. PRATHKIM VIDYALYA PAIGAMBARPUR",305,291,0,596,183,164,0,347,7,0,79,90,69,101,3,0,0,1,0,0,0,1,2,0,1,347
96,"PRATHMIK VIDYALAYA KHWAJAPUR",825,681,0,1506,554,355,0,909,434,0,252,68,284,273,6,3,5,2,0,1,2,0,6,2,5,909
97,"OFFICE & GODAM SADHAN SHAKARI SAMITI LT. HUSENABAD",394,351,0,745,240,177,0,417,69,0,113,28,247,17,0,0,0,0,1,1,0,2,3,2,3,417
98,"PRATHMIK VIDYALAYA PATTIYAKOOB",224,192,0,416,151,122,0,273,7,0,81,50,117,15,0,0,1,0,0,1,2,1,2,1,2,273
99,"NA.NI.PRATHKIM VIDYALYA RAMIPUR",350,310,0,660,249,183,0,432,10,0,123,28,243,25,1,2,3,1,1,0,0,2,2,1,0,432
100,"PRATHMIK VIDYALAYA JARAULI",386,355,0,741,312,232,0,544,412,0,179,70,245,26,1,1,2,1,1,1,6,2,0,3,6,544
101,"NA.NI. PRATHKIM VIDYALYA RUKNAPUR H/O JAGATKHERA",639,598,0,1237,409,279,0,688,275,0,255,76,129,205,0,2,2,0,0,2,7,1,4,1,4,688
102,"SAMUDAYIK MILN KEN‍DRA DAHILA",490,415,0,905,339,289,0,628,23,0,156,48,310,83,2,1,2,1,2,3,0,4,8,2,6,628
103,"PANCHAYT BHAVAN DAHILA",330,284,0,614,197,148,0,345,20,0,23,82,156,69,0,2,3,0,1,0,1,0,5,0,3,345
104,"PRATHMIK VIDYALAYA CHHAN‍DRAULI",725,610,0,1335,502,368,0,870,76,0,267,52,350,143,2,4,18,2,1,4,1,5,9,5,7,870
105,"U.P.S. ILIYASPUR",715,678,0,1393,511,440,0,951,714,0,286,384,255,4,1,1,3,1,2,1,1,1,2,5,4,951
106,"NA. NI. PRATHKIM VIDYALYA BHAWANIYAPUR H/O SARAYPANDEY",765,643,0,1408,492,337,0,829,9,0,138,269,387,10,1,3,1,0,2,3,0,1,2,3,9,829
107,"PRATHMIK VIDYALAYA SARANY PANDEY NORTH PART",769,639,0,1408,457,337,0,794,608,0,200,66,416,92,1,1,1,0,0,2,3,1,6,0,5,794
108,"PRATHMIK VIDYALYA SADROODDINPUR",636,582,0,1218,422,274,0,696,696,0,240,72,123,228,1,2,4,0,0,1,1,3,4,2,15,696
109,"PRATHMIK VIDYALYA KABOOLPUR",744,700,0,1444,525,412,0,937,167,0,334,61,342,164,4,1,1,0,3,2,1,3,6,3,12,937
110,"PRATHMIK VIDYALYA SHIVNAM NORTH PART",649,589,0,1238,446,287,0,733,730,0,369,42,285,19,3,1,0,0,3,0,1,1,2,2,5,733
111,"PRATHMIK VIDYALYA SHIVNAM SOUTH PART",634,515,0,1149,432,279,0,711,660,0,226,92,352,27,2,0,2,1,1,0,1,1,2,1,3,711
112,"PRATHMIK VIDYALYA SHIVNAM MID PART",593,494,0,1087,357,250,0,607,500,0,183,32,342,16,4,4,0,2,1,4,0,1,4,3,11,607
113,"PRATHMIK VIDYALYA JAGANNATHPUR",208,170,0,378,141,86,0,227,20,0,47,35,58,76,2,1,0,0,1,0,0,1,1,0,5,227
114,"PRATHMIK VIDYALYA DEVIPUR",323,282,0,605,226,164,0,390,19,0,47,41,278,11,1,0,0,1,0,1,0,0,5,2,3,390
115,"PRATHMIK VIDYALYA KHEMIPUR",437,366,0,803,302,212,0,514,257,0,164,132,155,25,2,1,0,1,0,1,2,3,9,5,14,514
116,"PRATHMIK VIDYALYA KHAIRABIRU ROOM NO-1",509,451,0,960,359,284,0,643,298,0,220,91,243,69,2,3,2,0,0,0,1,1,3,2,6,643
117,"PRATHMIK VIDYALYA KHAIRABIRU ROOM NO-2",697,657,0,1354,474,363,0,837,195,0,318,75,336,52,4,3,3,2,3,4,4,4,8,5,16,837
118,"PRATHMIK VIDYALYA RAGHAUPUR",305,261,0,566,195,145,0,340,217,0,65,43,86,135,2,0,1,0,0,0,0,0,2,2,4,340
119,"PRATHMIK VIDYALYA JAHANPUR",129,100,0,229,100,83,0,183,183,0,120,9,19,28,2,0,0,0,0,0,0,1,0,2,2,183
120,"PRATHKIM VIDYALYA FATEHPUR JAMARWA",201,168,0,369,135,102,0,237,132,0,73,4,131,22,0,0,1,1,0,0,0,2,3,0,0,237
121,"PRATHMIK VIDYALYA FATEHPUR",404,354,0,758,246,158,0,404,397,0,178,23,118,64,0,2,2,0,2,2,0,1,4,2,6,404
122,"NA.NI. PRATHKIM VIDYALYA KANHUPUR",546,485,0,1031,364,290,0,654,1,0,239,61,316,13,4,2,0,1,3,2,3,3,1,2,4,654
123,"PRATHMIK VIDYALYA PARIWAN NORTH PART",582,499,0,1081,377,241,0,618,1,0,171,97,300,34,0,0,2,0,2,1,1,0,3,1,6,618
124,"PRATHMIK VIDYALYA PARIWAN SOUTH PART",308,261,0,569,248,101,0,349,349,0,36,122,165,10,0,0,1,1,0,0,1,3,2,2,6,349
125,"PRATHMIK VIDYALYA BALLASAINKHERA",448,408,0,856,331,251,0,582,37,0,167,74,219,105,0,4,1,1,0,0,0,0,1,1,9,582
126,"NA. NI.PRATHKIM VIDYALYA PAIKAULI",504,434,0,938,369,289,0,658,19,0,215,38,255,129,2,1,2,0,1,1,2,2,3,3,4,658
127,"PU.MA.VID. POORE DEVIDAS",320,279,0,599,221,174,0,395,225,0,65,90,216,7,0,1,2,1,2,3,4,0,1,0,3,395
128,"POORV MADH‍YMIK VIDYALAYA MANJHUPUR",428,395,0,823,320,225,0,545,85,0,114,59,295,51,2,4,4,2,0,1,1,4,2,0,6,545
129,"PRATHMIK VIDYALYA NARDAHI",612,552,0,1164,402,269,0,671,13,0,164,102,350,21,1,1,2,1,1,0,2,7,9,0,10,671
130,"NA.NI.PRATHKIM VIDYALYA SHUMBHA",620,549,0,1169,432,278,0,710,60,0,231,168,261,27,0,0,1,4,0,0,1,2,4,2,9,710
131,"BABA KHILADHIDAS VIDYAPITH HASVAPUR  EAST PART",523,452,0,975,330,213,0,543,529,0,181,108,99,134,3,1,1,0,1,1,3,0,4,2,5,543
132,"BABA KHILADHIDAS VIDYAPITH HASVAPUR  MID PART",302,259,0,561,167,120,0,287,40,0,39,60,135,48,0,1,0,1,0,0,0,0,1,1,1,287
133,"BABA KHILADHIDAS VIDYAPITH HASVAPUR  WEST PART",467,440,0,907,290,186,0,476,325,0,164,56,194,42,1,1,0,1,1,1,1,3,6,1,4,476
134,"PRATHMIK VIDYALYA RABADAHIYA",281,267,0,548,204,147,0,351,101,0,53,75,140,75,1,1,0,0,1,0,0,2,1,1,1,351
135,"PRATHMIK VIDYALYA BADWAL",642,586,0,1228,387,369,0,756,56,0,76,197,327,133,2,2,3,0,1,3,1,2,3,2,4,756
136,"NA.NI PRATHKIM VIDYALYA GANHARI",595,528,0,1123,389,304,0,693,691,0,150,187,265,60,1,2,1,0,0,2,3,3,3,3,13,693
137,"PRATHMIK VIDYALYA FIROJABAD",541,477,0,1018,356,324,0,680,1,0,154,197,252,55,1,1,1,1,2,0,3,2,3,1,7,680
138,"NAV NIRMIT PRATHKIM VIDYALYA HASNAPUR EAST PART",598,520,0,1118,350,280,0,630,472,0,31,232,321,26,0,2,5,0,1,2,1,1,3,5,0,630
139,"NA.NIR. PRATHKIM VIDYALYA HASNAPUR WEST PART",368,303,0,671,196,137,0,333,323,0,94,138,75,8,1,1,0,1,2,2,0,2,4,2,3,333
140,"PRATHMIK VIDYALYA NRAINPUR",294,237,0,531,199,156,0,355,7,0,80,47,140,74,2,0,2,0,0,1,0,2,2,2,3,355
141,"PANCHAYT GHAR MANODHARPUR",550,488,0,1038,337,229,0,566,280,0,43,155,297,56,0,0,0,0,0,3,0,3,4,1,4,566
142,"PRATHMIK VIDYALYA BEDAURA",205,198,0,403,131,118,0,249,178,0,141,20,67,18,0,0,0,0,0,0,0,0,0,0,3,249
143,"PRATHMIK VIDYALYA GAURI",325,302,0,627,226,188,0,414,283,0,63,83,111,132,3,2,0,2,0,0,1,4,4,1,8,414
144,"POORV MADH‍YMIK VIDYALAYA KANHI TILOKPUR",450,368,0,818,240,209,0,449,130,0,51,107,207,69,1,0,0,0,0,0,2,2,7,0,3,449
145,"PRATHMIK VIDYALYA SADULLAPUR",241,225,0,466,180,171,0,351,344,0,53,147,119,28,1,0,0,0,0,1,0,1,1,0,0,351
146,"PRATHMIK VIDYALYA GAURWA USMANPUR",603,538,0,1141,414,312,0,726,626,0,296,77,253,70,2,4,1,0,0,0,4,3,3,2,11,726
147,"PU.MA.VI. KANHI TRILOKPUR",417,375,0,792,240,204,0,444,434,0,39,38,245,112,1,1,0,0,0,0,0,0,5,2,1,444
148,"PRATHMIK VIDYALYA ALADADPUR",389,344,0,733,257,210,0,467,310,0,79,105,211,61,2,1,1,0,0,0,1,0,2,0,4,467
149,"POORV MADH‍YMIK VIDYALAYA NARENDRAPUR MADARAHA",564,470,0,1034,333,239,0,572,572,0,126,30,212,177,4,1,1,1,2,0,1,2,1,4,10,572
150,"PRATHMIK VIDYALYA MUBARAKPUR",204,192,0,396,160,138,0,298,298,0,94,18,143,38,0,0,3,0,0,0,0,0,0,1,1,298
151,"PRATHMIK VIDYALYA LALAIKHERA",352,322,0,674,243,233,0,476,70,0,16,232,26,181,4,2,0,1,0,1,2,1,1,3,6,476
152,"POORV MADH‍YMIK VIDYALAYA  AKAIYAPUR",659,608,0,1267,467,403,0,870,32,0,73,54,439,278,3,5,3,1,1,1,1,1,7,0,3,870
153,"PRATHMIK VIDYALYA KAKARI NORTH PART",548,441,0,989,323,234,0,557,220,0,232,69,109,125,1,2,3,1,0,0,1,0,8,1,5,557
154,"PRATHMIK VIDYALYA KAKARI SOUTH PART",515,430,0,945,380,259,0,639,8,0,158,41,146,275,4,1,3,1,1,0,0,1,4,2,2,639
155,"POORV MADH‍YMIK VIDYALAYA TEJWAPUR ROOM NO-1",551,512,0,1063,339,280,0,619,72,0,232,60,285,16,1,1,4,0,0,1,2,3,6,1,7,619
156,"POORV MADH‍YMIK VIDYALAYA TEJWAPUR ROOM NO-3",301,274,0,575,210,159,0,369,238,0,28,23,283,20,2,0,7,0,0,0,1,1,2,0,2,369
157,"POORV MADH‍YMIK VIDYALAYA TEJWAPUR ROOM NO-2",664,611,0,1275,443,273,0,716,415,0,104,97,430,50,1,1,11,2,2,3,0,4,4,2,5,716
158,"POORV MADH‍YMIK VIDYALAYA TEJWAPUR ROOM NO-4",227,181,0,408,139,60,0,199,138,0,50,14,123,2,0,0,2,0,1,0,0,2,1,0,4,199
159,"NAV NIRMIT PRATHKIM VIDYALYA JASKAPUR",281,239,0,520,194,161,0,355,99,0,91,29,204,10,6,3,1,2,1,0,1,1,2,4,0,355
