"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - COMANDO KAMAL KISHOR","2 - DR.VIJAY KUMAR","3 - SHABBIR AHMAD","4 - SADHVI SAVITRI BAI FOOLE","5 - JAGAT RAM","6 - MADHAV","7 - RAMASHANKER GOND","8 - VINOD KUMAR","9 - HIRA LAL RAO","10 - RAM NARESH","11 - None of the Above","Total Votes Secured"
21,RUPAIDIHA(KEVALPUR),607,600,0,1207,250,207,0,457,457,0,1,16,355,66,1,1,3,2,1,4,7,457
22,RUPAIDIHA(KEVALPUR),617,509,0,1126,295,216,0,511,511,0,8,7,262,219,5,0,1,3,1,2,3,511
23,RUPAIDIHA(KEVALPUR),667,569,0,1236,253,189,0,442,442,0,11,4,161,257,3,1,0,1,0,1,3,442
24,KEVALPUR,827,732,0,1559,445,413,0,858,858,0,15,41,252,504,7,1,3,1,7,7,20,858
25,KEVALPUR,392,328,0,720,225,163,0,388,388,0,7,29,92,250,2,3,0,1,0,0,4,388
26,SAHJANA,786,709,0,1495,545,449,0,994,994,0,14,62,211,623,16,7,5,7,9,10,30,994
27,SAHAJANA,783,660,0,1443,447,328,0,775,775,0,9,20,500,221,5,0,2,1,3,5,9,775
28,JAITAPUR,715,650,0,1365,445,331,0,776,776,0,18,158,57,479,7,1,3,4,7,11,31,776
29,JAITAPUR,452,405,0,857,284,169,0,453,453,0,7,54,96,278,7,1,0,1,0,2,7,453
30,SORHIYAA,442,406,0,848,247,176,0,423,423,0,13,61,87,256,4,0,2,0,0,0,0,423
31,SORHIYAA,699,666,0,1365,429,311,0,740,740,0,11,60,255,393,3,1,1,3,3,3,7,740
32,SORHIYAA,558,487,0,1045,368,230,0,598,598,0,19,15,186,345,6,6,4,5,1,1,10,598
33,SORHIYAA,607,526,0,1133,351,308,0,659,659,0,10,34,127,469,3,1,1,2,3,1,8,659
34,"MURLIDHAR DADUALI",383,354,0,737,279,221,0,500,500,0,23,6,41,410,6,1,0,1,3,2,7,500
35,"NIDHINAGAR SANKALPA",636,608,0,1244,393,329,0,722,722,0,12,44,187,451,7,3,2,2,2,3,9,722
36,"NIDHINAGAR SANKALPA",497,414,0,911,342,206,0,548,548,0,9,45,52,424,4,3,2,0,1,5,3,548
37,"RAMPUR HUSAIN BAKHAS",719,666,0,1385,488,380,0,868,868,0,15,277,199,289,11,7,5,10,11,15,29,868
38,KHAIRHANIYA,492,440,0,932,382,357,0,739,739,0,12,62,253,362,9,4,2,4,2,6,23,739
39,SIRSIYA,549,494,0,1043,394,328,0,722,722,0,18,27,211,418,6,4,5,9,6,3,15,722
40,SIRSIYA,348,317,0,665,216,207,0,423,423,0,10,12,99,277,7,6,2,2,3,3,2,423
41,GOPALPUR,773,694,0,1467,478,366,0,844,844,0,19,85,151,544,10,7,7,4,7,3,7,844
42,LAKHAIHIYA,257,233,0,490,135,114,0,249,249,0,4,17,109,114,1,0,0,0,1,2,1,249
43,LAKHAIHIYA,757,635,0,1392,359,313,0,672,672,0,7,11,308,323,6,5,1,0,1,2,8,672
44,LAKHAIHIYA,247,211,0,458,133,117,0,250,250,0,3,3,58,179,2,0,0,0,0,0,5,250
45,CHARDA,417,367,0,784,258,231,0,489,489,0,8,10,265,180,4,2,2,2,3,1,12,489
46,CHARDA,524,467,0,991,335,285,0,620,620,0,16,10,175,372,7,4,2,1,1,11,21,620
47,CHARDA,522,465,0,987,227,210,0,437,437,0,12,28,71,268,17,4,4,5,5,7,16,437
48,CHARDA,340,322,0,662,182,125,0,307,307,0,3,44,44,190,4,0,1,2,5,2,12,307
49,GANGAPUR,423,359,0,782,283,212,0,495,495,0,1,22,32,415,7,4,1,2,3,5,3,495
50,"LAXMANPUR SALARPUR",434,437,0,871,337,301,0,638,638,0,10,68,51,475,11,5,2,2,0,2,12,638
51,"LAXMANPUR SALARPUR",460,470,0,930,267,307,0,574,574,0,1,3,315,245,2,1,0,2,1,1,3,574
52,KALYAANPUR,543,470,0,1013,364,312,0,676,676,0,22,48,203,383,3,4,3,1,6,3,0,676
53,KALYAANPUR,365,333,0,698,291,212,0,503,503,0,4,18,126,333,5,1,1,1,0,2,12,503
54,"NAWWA GAAVN",771,688,0,1459,536,294,0,830,830,0,30,54,165,515,7,4,8,5,5,9,28,830
55,"BHAWANIYAPUR TIKURI",700,620,1,1321,421,355,0,776,776,0,20,224,128,354,10,1,4,7,3,3,22,776
56,SUMERPUR,377,358,0,735,266,229,0,495,495,0,3,14,240,225,4,0,2,0,0,0,7,495
57,SUMERPUR,431,406,0,837,319,272,0,591,591,0,21,30,258,256,2,0,2,4,4,2,12,591
58,MAKANPUR,639,579,0,1218,360,321,0,681,681,0,6,17,207,420,7,0,0,3,5,3,13,681
59,MAKANPUR,649,645,0,1294,401,364,0,765,765,0,7,15,165,538,8,1,1,3,1,6,20,765
60,BANKURI,704,628,1,1333,383,376,0,759,759,0,18,100,518,106,4,1,3,1,1,3,4,759
61,BANKURI,435,387,1,823,260,213,0,473,473,0,8,12,348,97,2,1,0,1,1,1,2,473
62,BANKURI,329,309,0,638,180,159,0,339,339,0,9,16,250,56,1,0,2,0,2,1,2,339
63,"JAMUNAHA BABAGANJ",688,689,0,1377,487,441,0,928,928,0,7,13,605,285,2,1,3,2,2,1,7,928
64,"JAMUNAHA BABAGANJ",418,342,0,760,317,229,0,546,546,0,7,17,140,373,1,0,1,0,4,1,2,546
65,"JAMUNAHA BABAGANJ",461,402,0,863,302,249,0,551,551,0,4,12,316,210,4,0,2,1,0,2,0,551
66,DUBIDHAPUR,450,397,0,847,339,268,0,607,607,0,11,14,112,433,9,2,5,2,3,0,16,607
67,DUVIDHAPUR,418,398,0,816,275,206,0,481,481,0,5,24,102,307,10,2,2,1,4,6,18,481
68,"BASANTAPUR UDAL",661,580,0,1241,471,346,0,817,817,0,12,93,328,349,7,0,5,2,1,4,16,817
69,"BASANTAPUR UDAL",469,445,0,914,288,229,0,517,517,0,5,145,167,187,0,2,1,3,2,1,4,517
70,"RAMPUR MUNNA PATHAK",411,365,0,776,326,249,0,575,575,0,5,22,103,422,7,1,0,0,3,3,9,575
71,SHANKARPUR,619,541,0,1160,394,328,0,722,722,0,10,37,150,511,5,0,0,1,2,5,1,722
72,"IMAAMPUR GADRAHWA",658,558,0,1216,520,394,0,914,914,0,9,301,81,475,6,4,1,5,0,8,24,914
73,"BAKHATAWAR GAANV",499,436,0,935,305,289,0,594,594,0,5,17,372,182,2,2,1,2,0,3,8,594
74,"BAKHATAWAR GAANV",518,462,0,980,345,278,0,623,623,0,8,92,241,251,3,3,1,5,8,5,6,623
75,"MIRJAAPUR CHAHLAHAA",780,701,0,1481,552,458,0,1010,1010,0,21,36,365,548,11,5,3,3,3,3,12,1010
76,GABRAKHA,473,411,0,884,316,241,0,557,557,0,8,85,143,307,3,0,0,3,2,2,4,557
77,VISHUNAPUR,370,375,0,745,280,278,0,558,558,0,6,26,201,291,11,3,2,1,2,5,10,558
78,"BARGADAHA CHILBILA",773,618,0,1391,510,304,0,814,814,0,22,40,135,581,8,1,2,5,4,4,12,814
79,KALVAARI,871,671,0,1542,493,368,0,861,861,0,12,34,361,403,8,11,4,4,5,6,13,861
80,KALVAARI,370,330,0,700,259,187,0,446,446,0,7,14,87,325,2,1,3,0,1,0,6,446
81,"PARSA AGAIYA",780,679,0,1459,509,383,0,892,892,0,20,36,212,585,3,0,5,6,5,6,14,892
82,"PARSA AGAIYA",762,675,0,1437,414,250,0,664,664,0,10,57,304,281,3,0,1,2,1,2,3,664
83,LAKHAIYAKALAN,540,457,0,997,326,192,0,518,518,0,16,49,101,321,4,3,3,4,4,3,10,518
84,LAKHAIYAKALAN,652,567,0,1219,345,246,0,591,591,0,21,19,145,369,6,2,2,2,4,6,15,591
85,LALBOJHI,809,636,0,1445,456,332,0,788,788,0,16,44,296,401,1,4,3,5,2,8,8,788
86,"IMALIYA GANGAPUR",627,542,0,1169,451,276,0,727,727,0,13,76,122,468,5,5,5,3,3,5,22,727
87,SISVARA,418,408,0,826,280,233,0,513,513,0,19,14,213,249,6,0,3,3,1,1,4,513
88,SISVARA,453,367,0,820,216,162,0,378,378,0,18,6,103,225,4,4,2,5,3,5,3,378
89,TAAJPUR,623,557,0,1180,345,318,0,663,663,0,25,170,159,284,3,2,6,1,5,3,5,663
90,TAAJPUR,723,665,0,1388,427,373,0,800,800,0,30,14,429,310,7,2,1,1,4,0,2,800
91,"HADA BASAHARI",716,630,0,1346,331,276,0,607,607,0,9,67,434,68,0,3,2,3,8,1,12,607
92,"HADA BASAHARI",558,493,0,1051,276,215,0,491,491,0,8,3,253,221,2,1,0,0,0,2,1,491
93,"HADA BASAHARI",411,434,1,846,288,240,0,528,528,0,14,62,91,343,3,2,1,3,1,5,3,528
94,"HADA BASAHARI",679,546,0,1225,375,296,0,671,671,0,14,40,344,262,5,1,0,1,1,1,2,671
95,TULSIPUR,711,590,0,1301,422,305,0,727,727,0,14,53,326,297,11,1,4,1,5,2,13,727
96,MADHUBAN,718,511,0,1229,385,237,0,622,622,0,17,113,411,68,2,1,0,3,1,2,4,622
97,MADHUBAN,411,310,0,721,200,154,0,354,354,0,6,62,264,16,1,2,1,0,0,1,1,354
98,AABAPOKHAR,698,620,0,1318,401,356,0,757,757,0,12,73,402,245,6,0,2,2,3,4,8,757
99,AABAPOKHAR,566,484,0,1050,293,261,0,554,554,0,9,118,383,20,2,1,0,3,5,9,4,554
100,AABAPOKHAR,542,465,0,1007,296,258,0,554,554,0,8,86,418,30,1,1,2,3,1,0,4,554
101,RAJVAPUR,467,471,0,938,251,208,0,459,459,0,11,55,173,191,4,4,0,5,2,5,9,459
102,RAJVAPUR,441,409,0,850,305,237,0,542,542,0,17,58,86,338,5,2,3,4,3,7,19,542
103,"NIBIYASHAH MOHMMADPUR",578,505,0,1083,316,259,0,575,575,0,6,55,483,23,0,0,2,0,0,2,4,575
104,"NIBIYASHAH MOHMMADPUR",518,442,0,960,261,224,0,485,485,0,8,34,345,87,0,1,0,5,0,2,3,485
105,BAHADURPURWA,615,488,0,1103,315,231,0,546,546,0,13,48,263,197,4,3,1,1,2,4,10,546
106,BANKATWA,559,515,0,1074,259,225,0,484,484,0,12,71,248,108,7,2,0,5,4,6,21,484
107,"BHOPATPUR BELWA",310,273,0,583,118,87,0,205,205,0,7,16,132,38,1,1,1,2,2,1,4,205
108,"BHOPATPUR BELWA",621,512,0,1133,288,205,0,493,493,0,17,33,336,89,6,2,4,1,1,2,2,493
109,"BHOPATPUR BELWA",606,536,0,1142,323,304,0,627,627,0,21,29,230,319,2,4,1,3,2,3,13,627
110,"NANPARA DEHATI",737,646,0,1383,351,301,0,652,652,0,25,37,216,346,8,2,2,6,3,2,5,652
111,"NANPARA DEHATI",441,365,0,806,258,232,0,490,490,0,17,18,54,383,6,2,3,2,0,0,5,490
112,"NANPARA DEHATI",443,362,0,805,236,224,0,460,460,0,8,2,238,195,3,1,1,1,0,1,10,460
113,"NANPARA DEHATI",544,469,0,1013,267,207,0,474,474,0,14,25,191,217,5,0,3,1,2,5,11,474
114,"NANPARA DEHATI",529,482,0,1011,213,178,0,391,391,0,6,13,193,166,3,0,0,0,1,4,5,391
115,"NANPARA DEHATI",573,457,1,1031,204,156,0,360,360,0,10,15,233,91,4,0,0,0,2,1,4,360
116,"NANPARA DEHATI",702,611,0,1313,375,327,0,702,702,0,3,64,567,49,3,0,1,1,3,1,10,702
117,"NANPARA DEHATI",569,463,1,1033,291,205,0,496,496,0,13,18,236,202,13,2,1,3,1,1,6,496
118,"NANPARA DEHATI",561,477,1,1039,284,223,0,507,507,0,11,7,247,230,1,0,1,1,3,0,6,507
119,"NANPARA DEHATI",664,504,0,1168,193,146,0,339,339,0,6,6,131,190,3,0,0,1,0,1,1,339
120,"NANPARA DEHATI",576,468,0,1044,224,209,0,433,433,0,21,16,277,112,1,1,1,2,0,0,2,433
121,"NANPARA DEHATI",546,465,0,1011,198,157,0,355,355,0,3,3,184,151,0,0,3,0,1,3,7,355
122,"NANPARA DEHATI",650,567,0,1217,236,181,0,417,417,0,15,11,263,91,3,1,0,2,5,2,24,417
123,"NANPARA DEHATI",947,811,0,1758,340,235,0,575,575,0,14,16,241,278,2,0,3,3,2,5,11,575
124,"MAJHAUWAA BHULAURA",811,717,0,1528,515,401,0,916,916,0,10,24,540,310,7,3,3,2,3,4,10,916
125,"MAJHAUWAA BHULAURA",543,394,0,937,270,195,0,465,465,0,10,13,291,116,10,1,2,0,5,6,11,465
126,"MAJHAUWAA BHULAURA",516,470,0,986,281,202,0,483,483,0,16,13,297,130,6,1,1,0,2,6,11,483
127,KOYLAHWAA,497,407,0,904,333,255,0,588,588,0,5,52,176,319,5,2,0,4,7,6,12,588
128,BALHA,824,647,0,1471,414,311,0,725,725,0,12,51,231,395,9,3,3,2,1,5,13,725
129,BALHA,469,350,0,819,269,166,0,435,435,0,14,13,267,135,1,0,2,1,1,1,0,435
130,BALHA,685,587,0,1272,331,325,0,656,656,0,13,14,560,52,1,2,2,1,6,1,4,656
131,"SILETAN GANJ",556,490,0,1046,371,282,0,653,653,0,14,54,190,370,4,2,3,2,2,3,9,653
132,"SILETAN GANJ",521,427,1,949,230,178,0,408,408,0,6,31,218,125,4,2,2,2,1,4,13,408
133,BHATEHATA,888,673,0,1561,464,205,0,669,669,0,12,43,255,292,14,4,1,5,5,7,31,669
134,"MEHARBAAN NAGAR",476,425,0,901,306,236,0,542,542,0,12,44,207,237,6,2,8,7,3,8,8,542
135,"MEHARBAAN NAGAR",561,452,0,1013,264,210,0,474,474,0,13,27,156,264,3,0,1,2,3,2,3,474
136,NANPARA,711,584,0,1295,383,270,0,653,653,0,25,9,601,13,0,0,1,1,0,1,2,653
137,NANPARA,751,599,0,1350,408,265,0,673,673,0,4,4,634,21,1,1,0,0,3,2,3,673
138,NANPARA,821,687,0,1508,400,349,0,749,749,0,9,12,685,35,0,0,0,1,1,2,4,749
139,NANPARA,438,374,0,812,245,191,0,436,436,0,6,14,400,13,2,0,0,0,0,1,0,436
140,NANPARA,769,677,0,1446,339,359,0,698,698,0,12,9,539,129,0,0,0,0,2,2,5,698
141,NANPARA,454,384,0,838,239,209,0,448,448,0,9,5,422,7,0,0,0,0,1,1,3,448
142,NANPARA,532,491,0,1023,251,201,0,452,452,0,8,4,405,29,1,0,0,1,3,1,0,452
143,NANPARA,813,633,0,1446,289,270,0,559,559,0,10,9,420,99,3,1,1,2,4,1,9,559
144,NANPARA,552,471,0,1023,252,193,0,445,445,0,9,4,368,63,0,0,0,0,0,0,1,445
145,NANPARA,623,532,1,1156,293,260,0,553,553,0,4,4,520,21,0,0,0,0,1,1,2,553
146,NANPARA,779,725,0,1504,410,310,0,720,720,0,12,1,684,19,2,0,0,0,1,0,1,720
147,NANPARA,376,345,0,721,139,124,0,263,263,0,13,1,245,2,0,0,0,0,2,0,0,263
148,NANPARA,654,581,0,1235,298,259,0,557,557,0,12,5,520,12,2,0,0,0,1,1,4,557
149,NANPARA,752,623,0,1375,307,256,0,563,563,0,9,2,490,51,1,0,3,1,2,1,3,563
150,NANPARA,904,721,0,1625,278,178,0,456,456,0,8,4,360,76,2,1,0,1,1,1,2,456
151,NANPARA,787,727,0,1514,462,376,0,838,838,0,14,13,241,559,1,0,0,3,0,0,7,838
152,NANPARA,657,591,1,1249,313,285,0,598,598,0,12,3,543,30,0,1,0,0,1,1,7,598
153,NANPARA,478,414,0,892,205,175,0,380,380,0,7,1,179,190,0,0,0,0,0,2,1,380
154,NANPARA,611,531,0,1142,239,169,0,408,408,0,14,56,279,48,0,0,1,2,0,2,6,408
155,NANPARA,676,580,0,1256,274,244,0,518,518,0,14,33,391,74,0,0,0,0,1,2,3,518
156,NANPARA,209,165,0,374,67,46,0,113,113,0,10,8,63,31,0,0,0,0,1,0,0,113
157,NANPARA,580,511,0,1091,300,258,0,558,558,0,5,1,450,101,0,0,1,0,0,0,0,558
158,NANPARA,324,284,0,608,163,116,0,279,279,0,13,3,136,124,3,0,0,0,0,0,0,279
159,NANPARA,675,631,1,1307,284,250,0,534,534,0,4,4,443,82,0,0,0,0,1,0,0,534
160,NANPARA,649,486,0,1135,281,242,0,523,523,0,9,5,437,56,1,0,1,1,1,5,7,523
161,NANPARA,705,622,0,1327,327,248,0,575,575,0,6,5,59,495,6,0,0,0,1,1,2,575
162,NANPARA,415,396,0,811,207,184,0,391,391,0,23,1,231,127,1,0,0,0,2,1,5,391
163,NANPARA,557,462,0,1019,263,189,0,452,452,0,20,14,276,134,6,0,1,0,0,0,1,452
164,NANPARA,539,477,0,1016,267,197,0,464,464,0,28,15,66,342,12,0,0,0,0,0,1,464
165,NANPARA,642,523,0,1165,330,276,0,606,606,0,27,43,222,294,5,0,2,1,2,2,8,606
166,NANPARA,504,411,4,919,256,237,0,493,493,0,26,5,295,162,1,0,0,0,0,1,3,493
167,NANPARA,816,650,0,1466,417,369,0,786,786,0,15,10,748,7,1,0,0,0,0,1,4,786
168,NANPARA,633,485,0,1118,342,272,0,614,614,0,13,4,550,35,1,0,1,1,6,2,1,614
169,NANPARA,777,642,0,1419,413,266,0,679,679,0,27,8,84,554,4,0,0,0,0,0,2,679
170,NANPARA,543,483,0,1026,254,223,0,477,477,0,10,3,61,370,7,1,1,4,5,5,10,477
171,NANPARA,596,489,0,1085,268,239,0,507,507,0,13,12,72,394,4,3,1,3,1,2,2,507
172,PATRAHIYA,575,489,0,1064,399,207,0,606,606,0,15,29,129,405,6,7,2,4,2,1,6,606
173,PATRAHIYA,336,295,0,631,183,107,0,290,290,0,7,68,43,158,1,0,2,2,0,3,6,290
174,PATRAHIYA,497,417,0,914,252,156,0,408,408,0,15,3,76,286,9,2,2,0,2,1,12,408
175,PATRAHIYA,434,411,0,845,266,127,0,393,393,0,9,27,109,234,6,0,1,2,1,3,1,393
176,KAKRAHA,309,263,0,572,196,119,0,315,315,0,11,13,73,205,4,1,2,3,2,1,0,315
177,KAKRAHA,756,621,0,1377,472,259,0,731,731,0,38,17,194,457,9,4,2,3,2,5,0,731
178,KAKRAHA,184,167,0,351,83,83,0,166,166,0,2,15,102,34,0,2,1,1,0,3,6,166
179,"BADHAIYA KALAN",612,464,0,1076,316,87,0,403,403,0,6,43,169,180,1,0,1,0,0,0,3,403
180,"BADHAIYA KALAN",718,598,0,1316,482,242,0,724,724,0,19,36,140,452,14,3,5,2,5,8,40,724
181,"BADHAIYA KALAN",353,317,0,670,202,119,0,321,321,0,3,14,13,266,7,0,0,4,2,4,8,321
182,DALJEETPURWA,798,675,0,1473,452,260,0,712,712,0,24,88,297,273,6,1,6,2,3,3,9,712
183,DALJEETPURWA,517,422,0,939,325,170,0,495,495,0,12,193,104,166,2,0,2,3,3,4,6,495
184,KOTAWA,689,600,0,1289,479,316,0,795,795,0,39,75,88,537,19,2,6,5,5,7,12,795
185,BARDAHA,663,546,0,1209,372,248,0,620,620,0,11,96,81,406,6,5,3,1,2,8,1,620
186,BARDAHA,453,384,0,837,318,250,0,568,568,0,16,22,91,405,5,1,2,2,5,6,13,568
187,BARDAHA,440,372,0,812,264,187,0,451,451,0,22,11,120,275,4,2,1,1,2,2,11,451
188,BARDAHA,449,410,0,859,281,169,0,450,450,0,6,12,76,347,5,0,0,0,3,1,0,450
189,BASANTAPUR,721,639,0,1360,363,346,0,709,709,0,5,16,530,144,1,0,0,1,1,3,8,709
190,BASANTAPUR,386,306,0,692,203,146,0,349,349,0,2,9,211,121,2,0,1,0,0,1,2,349
191,BASANTAPUR,511,410,0,921,298,230,0,528,528,0,9,10,116,361,10,2,3,3,4,4,6,528
192,BASANTAPUR,465,440,0,905,276,233,0,509,509,0,7,25,150,292,8,1,0,0,2,9,15,509
193,BAHORIKAPUR,833,694,0,1527,425,477,0,902,902,0,17,109,248,486,8,5,3,2,5,7,12,902
194,"KHAIRA KALAN",430,339,0,769,234,156,0,390,390,0,23,17,111,222,5,3,1,3,1,0,4,390
195,"KHAIRA KALAN",531,407,0,938,244,181,0,425,425,0,16,14,168,223,2,1,0,0,1,0,0,425
196,"KHAIRA KALAN",968,755,0,1723,331,437,0,768,768,0,22,75,251,378,15,0,6,2,5,6,8,768
197,SANKALPA,508,441,0,949,336,279,0,615,615,0,8,17,289,266,8,2,1,4,4,4,12,615
198,SOHBATIYA,693,596,0,1289,381,363,0,744,744,0,8,34,487,198,4,4,2,0,3,3,1,744
199,SOHBATIYA,734,618,0,1352,392,256,0,648,648,0,22,66,326,221,1,1,3,2,4,0,2,648
200,SOHBATIYA,671,565,0,1236,360,219,0,579,579,0,17,10,109,402,8,3,3,10,5,3,9,579
201,BITNIYAA,721,648,0,1369,420,345,0,765,765,0,23,7,134,543,14,3,4,5,4,7,21,765
202,BITNIYAA,580,496,0,1076,306,147,0,453,453,0,13,56,148,209,4,2,2,0,1,6,12,453
203,BITNIYAA,309,272,0,581,137,47,0,184,184,0,6,13,134,29,0,0,0,0,1,0,1,184
204,BITNIYAA,474,388,0,862,272,164,0,436,436,0,23,10,135,252,1,3,3,0,1,5,3,436
205,"NEWADA PUREKASBATI",620,504,0,1124,380,196,0,576,576,0,7,14,278,255,3,3,1,4,4,5,2,576
206,"NEWADA PUREKASBATI",459,365,0,824,290,152,0,442,442,0,14,4,89,310,16,2,1,1,4,0,1,442
207,"RAM DHOBIYAHAAR",558,494,0,1052,315,210,0,525,525,0,10,60,194,206,10,1,1,5,1,11,26,525
208,"RAM DHOBIYAHAAR",511,501,0,1012,292,204,0,496,496,0,18,160,108,164,8,3,7,1,4,8,15,496
209,"RAM DHOBIYAHAAR",475,391,0,866,323,190,0,513,513,0,13,8,78,399,6,0,0,1,4,1,3,513
210,"RAM DHOBIYAHAAR",433,453,0,886,223,159,0,382,382,0,14,11,147,189,3,0,2,0,5,6,5,382
211,"RAM DHOBIYAHAAR",568,495,0,1063,342,259,0,601,601,0,11,22,212,337,5,0,3,1,3,4,3,601
212,RAYGANJ,837,697,0,1534,416,193,0,609,609,0,11,16,85,451,8,2,5,2,9,5,15,609
213,YAKGHARA,522,474,0,996,328,211,0,539,539,0,7,42,259,204,5,2,4,2,0,2,12,539
214,YAKGHARA,542,470,0,1012,326,216,0,542,542,0,10,17,69,403,5,3,1,0,2,10,22,542
215,PIPRIYA,614,471,0,1085,217,397,0,614,614,0,12,77,47,403,12,5,4,6,4,14,30,614
216,PIPRIYA,650,536,0,1186,382,210,0,592,592,0,12,18,252,274,13,1,0,7,1,5,9,592
217,SAIYYADNAGAR,577,519,0,1096,351,180,0,531,531,0,19,8,112,372,5,3,2,1,2,4,3,531
218,SAIYYADNAGAR,492,404,0,896,229,352,0,581,581,0,12,6,127,424,2,1,3,1,1,2,2,581
219,SHIVPUR,475,418,0,893,320,289,0,609,609,0,6,18,447,133,0,3,0,0,0,1,1,609
220,SHIVPUR,539,426,0,965,334,173,0,507,507,0,8,35,204,244,3,1,1,1,2,1,7,507
221,SHIVPUR,876,727,0,1603,504,326,0,830,830,0,20,44,86,600,15,3,2,6,7,13,34,830
222,SHIVPUR,555,456,0,1011,370,280,0,650,650,0,18,8,247,360,1,3,0,2,3,3,5,650
223,AMBARPUR,580,497,0,1077,325,160,0,485,485,0,22,39,37,351,10,2,3,5,3,3,10,485
224,TIGDA,625,545,0,1170,366,276,0,642,642,0,19,60,244,289,5,5,2,6,5,4,3,642
225,TIGDA,596,517,0,1113,301,92,0,393,393,0,8,12,78,284,2,0,2,0,2,4,1,393
226,"BALDU PURWA",651,544,0,1195,333,193,0,526,526,0,7,43,95,348,8,3,1,4,0,7,10,526
227,BAUDI,831,675,0,1506,460,301,0,761,761,0,15,15,349,343,14,4,4,2,1,7,7,761
228,BAUDI,794,694,0,1488,443,346,0,789,789,0,19,6,78,640,16,4,1,4,6,5,10,789
229,BAGDI,668,547,0,1215,348,292,0,640,640,0,28,21,307,259,4,1,2,2,3,5,8,640
230,BAUDI,229,213,0,442,132,87,0,219,219,0,10,1,28,176,0,0,0,1,1,2,0,219
231,BARHU,846,655,0,1501,610,447,0,1057,1057,0,11,106,90,801,19,4,3,8,2,5,8,1057
232,BARHI,454,403,0,857,304,250,0,554,554,0,11,60,189,272,5,3,3,1,3,5,2,554
233,GUJRATIPURWA,382,338,0,720,287,215,0,502,502,0,8,9,115,338,9,3,3,1,2,5,9,502
234,RAKHAUNA,738,660,0,1398,475,315,0,790,790,0,13,76,296,363,6,2,1,5,4,10,14,790
235,RAKHAUNA,282,269,0,551,196,168,0,364,364,0,13,77,78,186,2,0,0,1,1,2,4,364
236,CHAUKSAHAAR,899,736,0,1635,388,133,0,521,521,0,7,98,252,137,6,1,7,3,3,2,5,521
