"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - TUFANI","2 - TUFANI NISHAD","3 - BHOLANATH ALIAS B.P. SAROJ","4 - RAM CHARITRA NISHAD","5 - SUBAS CHANDRA","6 - RAJ ALIAS VIRENDRA KUMAR SONKAR","7 - RAJESH","8 - LALJI","9 - SIKANDAR","10 - SURESH GAUTAM","11 - HARI","12 - OMPRAKASH ALIAS AMBEDKAR","13 - RAJESH SONKAR","14 - SHRAVAN KUMAR PASWAN","15 - HARINATH","16 - None of the Above","Total Votes Secured"
29,"P S KUKUHA EAST SIDE",743,593,0,1336,407,395,0,802,802,0,306,63,132,245,19,3,0,1,2,5,2,2,1,7,3,11,802
30,"P S KUKUHA MIDDLE SIDE",759,663,0,1422,408,358,0,766,766,0,79,83,313,254,11,10,4,2,0,0,3,1,2,0,2,2,766
31,"FATIMA GIRLS JHS CHORSAND EAST SIDE",372,311,0,683,159,154,0,313,313,0,111,9,69,104,6,2,2,1,1,1,2,0,0,1,2,2,313
32,"FATIMA GIRLS JHS CHORSAND EAST SIDE",359,342,0,701,152,161,0,313,313,0,119,17,110,47,1,15,0,1,0,0,0,0,2,0,1,0,313
33,"FATIMA GIRLS JHS CHORSAND MIDDLE SIDE",836,642,0,1478,343,255,0,598,598,0,157,35,292,39,3,63,1,1,1,1,0,0,1,1,3,0,598
34,"FATIMA GIRLS JHS CHORSAND WEST SIDE",482,415,0,897,281,272,0,553,553,0,116,6,344,57,4,1,4,2,0,1,0,2,1,6,1,8,553
35,"P S NAINSAND NORTH SIDE",659,548,0,1207,327,314,0,641,641,0,19,19,394,183,8,1,2,0,0,0,0,0,4,5,2,4,641
36,"P S NAINSAND SOUTH SIDE",584,488,0,1072,311,294,0,605,605,0,164,12,200,195,12,0,0,0,0,1,2,4,5,1,6,3,605
37,"P S BANZAREPUR EAST SIDE",517,460,0,977,269,241,0,510,510,0,101,8,263,123,5,0,1,0,0,0,0,0,2,3,1,3,510
38,"P S BANZAREPUR WEST SIDE",826,660,0,1486,425,365,0,790,790,0,108,23,260,375,5,2,1,2,3,1,1,0,2,1,5,1,790
39,"P S BANZAREPUR",629,525,0,1154,346,337,0,683,683,0,115,23,184,330,14,4,1,0,0,0,0,0,4,5,1,2,683
40,"P S BAMALA",481,423,0,904,246,271,0,517,517,0,80,19,212,150,15,6,1,3,6,1,3,2,1,1,5,12,517
41,"K P S SAKHAILA",595,499,0,1094,292,317,0,609,609,0,113,8,144,258,31,2,2,3,0,4,5,3,7,13,5,11,609
42,"K P S GAURA EAST SIDE",655,553,0,1208,387,384,0,771,771,0,45,10,140,526,21,1,0,1,2,1,2,2,3,10,4,3,771
43,"JHS GAURA WEST SIDE",666,502,0,1168,339,268,0,607,607,0,130,24,210,223,9,4,0,1,0,0,0,0,3,0,2,1,607
44,"JHS GAURA WEST SIDE",357,301,0,658,214,152,0,366,366,0,39,17,83,223,2,0,1,0,0,0,0,0,0,1,0,0,366
45,"JHS GAURA MIDDLE SIDE",547,505,0,1052,353,323,0,676,676,0,23,29,259,330,11,6,0,0,1,0,2,2,1,5,1,6,676
46,"P S DAKHAN",685,598,0,1283,363,365,0,728,728,0,127,46,321,174,14,5,2,0,5,2,0,13,5,5,5,4,728
47,"P S CHAUKI PILKHUWA",569,541,0,1110,243,331,0,574,574,0,57,42,239,192,16,2,0,2,3,0,0,1,3,8,9,0,574
48,"P S PILKHINI EAST SIDE",671,565,0,1236,325,363,0,688,688,0,16,10,377,233,11,3,3,1,2,0,0,16,2,4,4,6,688
49,"P S PILKHINI WEST SIDE",533,493,0,1026,353,350,0,703,703,0,15,8,246,408,6,3,0,0,0,1,1,0,6,6,1,2,703
50,"H S SCHOOL GOVINDPUR MANIHA NORTH SIDE",586,515,0,1101,288,260,0,548,548,0,65,33,153,249,13,2,0,1,4,1,1,7,3,4,4,8,548
51,"K J H S SARSAUDA",635,541,0,1176,273,295,0,568,568,0,75,32,207,236,10,5,0,1,0,0,0,0,0,1,0,1,568
52,"P S SONARI EAST SIDE",529,499,0,1028,330,288,0,618,618,0,147,26,111,281,18,5,2,1,3,1,2,3,1,10,2,5,618
53,"P S BISUNPUR BASWAT",658,571,0,1229,339,369,0,708,708,0,347,11,258,66,5,2,0,1,6,2,0,0,3,3,0,4,708
54,"P S KURETHU",728,610,0,1338,421,358,0,779,779,0,221,22,327,177,4,2,1,0,2,0,1,3,2,9,5,3,779
55,"P S MAGRAWA SOUTH SIDE",785,675,0,1460,411,394,0,805,805,0,280,19,292,182,3,3,0,2,4,0,1,2,1,3,4,9,805
56,"PANCHAYAT BHAWAN GOPALPUR",439,376,0,815,293,254,0,547,547,0,54,13,108,333,7,2,1,0,0,0,0,26,0,0,1,2,547
57,"P S GADDOPUR",633,563,0,1196,318,357,0,675,675,0,227,45,64,281,26,4,0,2,1,3,1,2,3,3,5,8,675
58,"P S SAREMU EAST SIDE",797,690,0,1487,365,368,0,733,733,0,222,81,189,178,11,6,1,2,1,2,3,10,3,2,8,14,733
59,"P S SAREMU WEST SIDE",319,281,0,600,171,152,0,323,323,0,43,49,116,102,3,6,0,0,0,0,0,0,1,1,1,1,323
60,"P S KHATOLIYA",509,417,0,926,229,242,0,471,471,0,223,15,99,99,4,2,0,1,2,0,1,10,3,1,5,6,471
61,"P S GAJANA NORTH SIDE",774,671,0,1445,385,364,0,749,749,0,277,13,288,145,8,2,1,2,2,2,0,0,2,3,3,1,749
62,"P S GAJANA MIDDLE SIDE",850,651,0,1501,401,395,0,796,796,0,310,23,176,247,11,3,0,0,2,1,2,2,2,2,6,9,796
63,"P S GAJANA MIDDLE SIDE",435,356,0,791,199,196,0,395,395,0,108,22,84,155,6,6,1,0,0,0,0,2,0,1,2,8,395
64,"P S MOHIUDDINPUR",739,612,0,1351,421,419,0,840,840,0,393,42,156,214,15,7,1,2,1,0,1,0,0,0,2,6,840
65,"P S TARSAND",599,515,0,1114,316,255,0,571,571,0,22,15,258,221,12,1,0,1,2,3,1,0,1,9,11,14,571
66,"P S TARSAND",323,304,0,627,165,151,0,316,305,0,58,15,79,135,7,1,0,4,1,2,0,0,5,2,3,4,316
67,"P S NARENDRAPUR",253,205,0,458,184,156,0,340,340,0,135,9,137,44,3,3,0,1,0,0,1,2,0,0,3,2,340
68,"P S KUCHHMUCHH",690,586,0,1276,386,342,0,728,115,0,223,17,236,216,15,4,4,0,0,1,1,0,1,3,5,2,728
69,"P S KUCHHMUCHH EAST SIDE",671,536,0,1207,325,285,0,610,610,0,176,11,121,235,17,8,3,1,0,1,2,1,10,11,7,6,610
70,"P S BITHAR EAST SIDE",494,424,0,918,260,252,0,512,10,0,193,22,107,151,14,1,0,2,0,2,2,1,4,2,4,7,512
71,"P S BITHAR WEST SIDE",585,537,0,1122,357,317,0,674,2,0,77,21,444,104,6,1,2,3,3,0,1,1,1,2,7,1,674
72,"P S SARAIYA NORTH SIDE",648,566,0,1214,335,285,0,620,50,0,52,33,216,297,7,0,0,0,2,0,0,0,2,3,1,7,620
73,"P S SARAIYA",629,537,0,1166,332,279,0,611,18,0,210,10,178,163,5,16,1,0,2,1,2,3,0,6,5,9,611
74,"P S KABIRUDDINPUR NORTH SIDE",789,711,0,1500,456,335,0,791,396,0,319,29,231,170,11,2,0,0,0,0,1,4,4,5,3,12,791
75,"P S KABIRUDDINPUR SOUTH SIDE",805,730,0,1535,359,332,0,691,109,0,109,37,314,173,5,4,0,0,3,0,2,3,4,13,4,20,691
76,"P S UTTARGAWA EAST SIDE",656,590,0,1246,363,344,0,707,57,0,59,21,232,314,16,39,2,0,3,1,0,2,6,7,1,4,707
77,"P S UTTARGAWA MIDDLE SIDE",625,512,0,1137,320,305,0,625,624,0,135,64,29,336,17,27,1,2,0,1,0,2,2,4,2,3,625
78,"P S UTTARGAWA WEST SIDE",386,356,0,742,232,238,0,470,25,0,318,5,80,44,5,0,0,0,1,0,0,1,0,1,5,10,470
79,"P S BIHROJPUR",403,346,0,749,216,233,0,449,449,0,117,23,36,259,8,2,2,0,0,0,1,0,0,0,1,0,449
80,"PURANA P S KIRTAPUR EAST SIDE",464,396,0,860,256,231,0,487,487,0,105,13,142,202,9,4,3,0,0,2,0,0,2,1,0,4,487
81,"PURANA P S KIRTAPUR EAST SIDE",443,382,0,825,221,199,0,420,420,0,94,71,42,188,14,1,1,0,1,0,0,1,2,1,1,3,420
82,"PURANA P S KIRTAPUR WEST SIDE",729,645,0,1374,416,395,0,811,811,0,153,28,252,332,14,11,0,0,1,0,0,1,2,8,4,5,811
83,"P S KARMAHI EAST SIDE",656,557,2,1215,350,304,0,654,654,0,138,11,128,331,13,9,0,0,1,2,1,2,3,6,3,6,654
84,"P S KARMAHI WEST SIDE",584,500,0,1084,313,305,0,618,618,0,83,17,275,220,6,4,2,0,1,0,0,1,0,5,1,3,618
85,"P S IMALO EAST SIDE",723,677,0,1400,370,342,0,712,712,0,238,63,97,261,7,8,0,0,2,1,1,4,0,6,5,19,712
86,"P S KADIPUR",506,445,0,951,270,301,0,571,571,0,77,40,278,152,13,3,1,1,0,0,0,0,0,1,2,3,571
87,"P S SULTANPUR MIDDLE SIDE",523,440,0,963,264,308,0,572,572,0,47,97,22,351,23,4,1,0,1,1,5,2,2,8,2,6,572
88,"P S MOHAMMADPUR KANDH",540,457,0,997,294,261,0,555,555,0,35,33,254,199,10,4,1,0,2,1,1,2,1,3,0,9,555
89,"P S RATTIPUR",517,461,0,978,255,267,0,522,522,0,111,24,183,180,8,0,1,0,0,1,0,0,1,4,6,3,522
90,"P S RATTIPUR",457,389,0,846,244,180,0,424,424,0,204,13,89,109,4,1,0,1,0,0,0,0,0,2,0,1,424
91,"JHS PANDEPATTI EAST SIDE",553,484,0,1037,295,269,0,564,564,0,72,26,100,338,10,3,0,1,2,1,0,1,0,2,3,5,564
92,"JHS PANDEPATTI MIDDLE SIDE",314,297,0,611,190,199,0,389,114,0,178,6,69,111,4,9,0,0,0,2,0,1,0,2,2,5,389
93,"P S KALANDARPUR",312,276,0,588,196,179,0,375,374,0,22,55,31,244,7,8,0,1,0,1,0,0,2,1,1,2,375
94,"P S SAMOPUR KALA EAST SIDE",507,456,0,963,250,270,0,520,520,0,263,12,67,132,8,3,0,0,0,1,1,2,4,2,6,19,520
95,"P S SAMOPUR KALA WEST SIDE",651,556,0,1207,326,336,0,662,502,0,177,39,168,214,16,6,0,1,2,5,1,0,5,7,9,12,662
96,"P S PINDARA",589,554,0,1143,326,318,0,644,644,0,200,11,110,268,20,6,0,3,1,2,1,4,9,3,4,2,644
97,"P S KALYANPUR EAST SIDE",704,624,0,1328,311,395,0,706,580,0,57,24,179,405,19,3,0,2,1,0,1,1,5,5,1,3,706
98,"P S MOTHAHA",580,532,0,1112,300,321,0,621,621,0,24,57,52,425,24,6,0,1,3,1,3,4,5,7,3,6,621
99,"P S KALYANPUR(HUSEPUR)",530,459,0,989,290,261,0,551,551,0,188,25,144,147,6,2,1,2,0,2,2,2,6,7,5,12,551
100,"P S SUNGULPUR",536,472,0,1008,252,277,0,529,529,0,62,12,167,264,6,4,0,0,1,0,2,0,0,5,3,3,529
101,"P S BIBIPUR NORTH SIDE",416,374,1,791,175,209,0,384,384,0,45,45,63,216,9,1,0,0,0,0,1,0,1,1,1,1,384
102,"P S BIBIPUR SOUTH SIDE",706,635,0,1341,294,318,0,612,612,0,153,23,164,245,9,4,1,0,4,0,0,1,1,1,1,5,612
103,"P S KADIPUR NORTH SIDE",398,353,0,751,201,202,0,403,403,0,16,10,23,333,12,1,0,0,0,0,0,1,2,4,1,0,403
104,"P S KADIPUR WEST SIDE",671,534,0,1205,267,275,0,542,542,0,46,23,70,383,11,2,1,0,0,0,0,0,2,1,2,1,542
105,"P S HIRAPUR",479,359,0,838,212,210,0,422,422,0,21,18,63,279,19,1,3,0,1,0,2,1,4,4,6,0,422
106,"P S SAMOPUR",898,749,0,1647,400,450,0,850,50,0,40,25,154,577,24,6,1,1,3,1,3,2,1,6,3,3,850
107,"P S RASIPUR SOUTH SIDE",299,279,0,578,195,176,0,371,8,0,269,5,48,41,1,1,0,0,0,1,1,1,0,1,1,1,371
108,"PANCHAYAT BHAWAN JAMALPUR",486,370,0,856,253,217,0,470,7,0,40,26,169,217,7,4,0,3,1,0,0,0,0,3,0,0,470
109,"P S LADANPUR",896,652,0,1548,460,323,0,783,782,0,34,57,194,437,24,3,3,0,1,0,5,0,1,3,7,14,783
110,"P S JAFARABAD TOWN AREA EAST SIDE",634,543,0,1177,352,302,0,654,17,0,156,114,46,313,11,1,1,1,0,0,2,0,1,3,3,2,654
111,"P S JAFARABAD TOWN AREA EAST SIDE",462,344,0,806,191,174,0,365,365,0,84,36,88,137,9,7,1,0,0,0,0,1,1,0,0,1,365
112,"P S JAFARABAD TOWN AREA EAST SIDE",530,451,0,981,236,262,0,498,498,0,122,26,35,282,11,5,0,0,1,0,0,1,1,2,3,9,498
113,"J U M V JAFARABAD TOWN AREA NORTH SIDE",801,667,0,1468,453,365,0,818,794,0,169,87,151,367,16,5,0,0,1,1,2,3,5,3,2,6,818
114,"J U M V JAFARABAD TOWN AREA NORTH SIDE",497,397,0,894,189,197,0,386,386,0,162,63,88,52,1,4,0,1,1,2,3,4,2,2,1,0,386
115,"J U M V JAFARABAD TOWN AREA NORTH SIDE",742,608,0,1350,430,337,0,767,765,0,250,60,62,356,16,8,0,0,0,1,0,3,2,2,2,5,767
116,"G G I COLLEGE DAUDPUR EAST SIDE",519,438,0,957,235,216,0,451,451,0,44,58,74,245,9,8,1,1,1,1,0,0,3,1,1,4,451
117,"G G I COLLEGE DAUDPUR EAST SIDE",459,392,0,851,212,222,0,434,100,0,8,28,51,314,9,3,1,1,0,0,0,0,3,6,4,6,434
118,"HARGOVIND SMARAK M V JAFARABAD",526,413,0,939,267,216,0,483,431,0,58,29,85,279,15,4,1,0,1,1,0,0,1,3,2,4,483
119,"HARGOVIND SMARAK M V JAFARABAD SOUTH SIDE",688,562,0,1250,326,302,0,628,628,0,62,8,121,408,13,1,0,1,0,0,0,3,2,3,1,5,628
120,"HARGOVIND SMARAK M V JAFARABAD SOUTH SIDE",646,506,0,1152,313,244,0,557,11,0,133,90,60,233,17,9,0,0,3,0,0,0,0,1,4,7,557
121,"HARGOVIND SMARAK M V JAFARABAD SOUTH SIDE",345,279,0,624,165,154,0,319,176,0,95,8,95,86,6,8,0,0,0,2,0,1,1,2,3,12,319
122,"P S BASHIRPUR WEST SIDE",346,301,0,647,132,167,0,299,299,0,3,5,215,56,2,0,1,0,2,0,1,1,2,8,1,2,299
123,"P S BASHIRPUR WEST SIDE",378,325,0,703,187,201,0,388,91,0,22,24,17,279,8,4,1,0,16,1,1,1,4,5,2,3,388
124,"P S BASHIRPUR WEST SIDE",525,439,0,964,281,234,0,515,511,0,113,57,201,129,3,2,1,0,1,0,0,1,0,3,1,3,515
125,"P S NATHUPUR NORTH SIDE",819,661,0,1480,418,385,0,803,51,0,212,41,154,346,14,2,2,1,4,1,0,2,2,7,4,11,803
126,"P S NATHUPUR NORTH SIDE",350,287,0,637,203,173,0,376,376,0,55,9,221,75,3,2,0,0,0,0,1,1,2,4,2,1,376
127,"P S NATHUPUR NORTH SIDE",598,481,0,1079,284,262,0,546,513,0,240,47,188,50,3,6,1,0,0,0,0,1,0,4,1,5,546
128,"JHS JAMAITHA WEST SIDE",461,373,0,834,260,179,0,439,129,0,29,17,20,349,10,8,0,0,0,1,0,0,0,3,2,0,439
129,"JHS JAMAITHA EAST SIDE",614,482,0,1096,341,277,0,618,4,0,25,15,345,203,9,1,1,2,3,0,1,0,0,7,4,2,618
130,"P S JAMAITHA WEST SIDE",878,684,0,1562,488,375,0,863,400,0,75,44,93,592,24,7,2,2,5,1,1,3,1,1,5,7,863
131,"P S JAMAITHA EAST SIDE",683,498,0,1181,351,242,0,593,35,0,232,11,229,81,11,5,1,0,7,0,2,0,1,2,8,3,593
132,"P S JAMAITHA EAST SIDE",447,307,0,754,276,177,0,453,51,0,285,4,52,84,5,5,0,0,11,1,1,1,2,0,0,2,453
133,"P S HUSENABAD DEHATI",443,386,0,829,231,224,0,455,5,0,109,58,106,158,5,1,0,1,2,1,2,2,1,1,2,6,455
134,"P S HUSENABAD DEHATI",539,467,0,1006,280,298,0,578,578,0,207,24,103,204,8,8,0,1,4,0,1,2,4,3,2,7,578
135,"P S GOPALGANJ",840,674,0,1514,483,330,0,813,405,0,100,50,150,448,16,16,1,2,3,1,16,0,3,2,2,3,813
136,"P S BHUWALAPATTI",881,748,0,1629,472,421,0,893,891,0,28,31,356,430,2,25,0,2,0,0,1,1,6,5,2,4,893
137,"P S SULTANPUR",570,500,0,1070,305,277,0,582,76,0,59,36,88,347,13,16,0,0,1,3,3,1,5,1,0,9,582
138,"P S HARJUUR SOUTH SIDE",274,247,1,522,168,143,0,311,250,0,47,3,82,158,1,5,1,2,1,0,1,1,1,3,4,1,311
139,"P S MAHARUPUR SOUTH SIDE",378,320,0,698,176,180,0,356,356,0,28,17,115,177,7,3,0,0,1,0,0,0,0,2,4,2,356
140,"P S MAHARUPUR SOUTH SIDE",510,400,0,910,270,231,0,501,379,0,183,21,48,226,5,3,0,2,2,0,1,1,1,3,2,3,501
141,"P S MAHARUPUR",505,392,0,897,243,191,0,434,200,0,32,38,72,251,13,1,0,3,2,0,1,2,5,2,5,7,434
142,"P S MAHARUPUR",384,338,0,722,205,181,0,386,386,0,56,17,51,246,4,1,2,1,2,2,0,0,1,1,1,1,386
143,"P S CHAKTALI",399,336,0,735,225,187,0,412,395,0,251,15,42,79,3,8,0,0,0,0,2,1,2,1,2,6,412
144,"P S CHANDPUR",593,441,0,1034,297,190,0,487,487,0,130,16,46,269,7,6,1,1,1,1,1,0,0,4,1,3,487
145,"P S CHANDPUR",914,732,0,1646,534,372,0,906,906,0,577,7,159,95,3,11,2,2,4,3,1,2,3,8,3,26,906
146,"P S HAUJ UCHAWA",268,229,0,497,169,160,0,329,20,0,4,3,286,32,0,0,0,0,1,0,0,0,0,2,0,1,329
147,"DAYANAND I VAIDIK COLLEGE HAUJ NORTH SIDE",746,546,0,1292,394,337,0,731,79,0,168,30,74,422,19,2,1,0,1,0,1,1,3,1,3,5,731
148,"DAYANAND I VAIDIK COLLEGE HAUJ  WEST SIDE",438,375,0,813,208,244,0,452,135,0,84,6,53,279,14,2,1,0,0,1,0,0,3,3,1,5,452
149,"DAYANAND I VAIDIK COLLEGE HAUJ  EAST SIDE",598,451,0,1049,237,263,0,500,221,0,68,4,41,354,14,4,0,0,0,0,2,2,3,2,2,4,500
150,"DAYANAND I VAIDIK COLLEGE HAUJ  EAST SIDE",744,571,0,1315,307,354,0,661,37,0,104,27,121,364,11,6,0,2,4,0,2,6,2,5,4,3,661
151,"P S SURHURPUR EAST SIDE",679,548,0,1227,380,304,0,684,610,0,86,16,221,334,8,5,0,0,1,0,0,2,4,4,3,0,684
152,"P S SURHURPUR WEST SIDE",161,131,0,292,75,75,0,150,148,0,5,5,18,117,4,1,0,0,0,0,0,0,0,0,0,0,150
153,"JHS BANDIPUR",390,332,0,722,232,208,0,440,437,0,17,8,142,234,12,14,0,1,2,0,1,2,0,3,2,2,440
154,"P S SADIPUR SOUTH SIDE",604,575,0,1179,294,300,0,594,594,0,235,18,138,144,6,3,2,0,0,2,6,4,6,10,9,11,594
155,"P S SADIPUR EAST SIDE",504,464,0,968,250,298,0,548,548,0,19,23,171,310,16,3,0,0,1,0,1,1,0,2,1,0,548
156,"JHS DHANEJA NORTH SIDE",805,680,0,1485,426,450,0,876,876,0,77,150,275,278,25,7,1,2,12,1,1,5,6,10,13,13,876
157,"JHS DHANEJA MIDDLE SIDE",274,260,0,534,116,150,0,266,265,0,87,21,44,94,3,8,0,2,2,1,0,1,0,0,1,2,266
158,"P S BISHUNPUR MAJHWARA",663,575,0,1238,302,326,0,628,20,0,200,23,112,257,17,2,0,0,0,3,1,2,2,4,2,3,628
159,"P S RAJEPUR",594,575,0,1169,291,333,0,624,24,0,310,13,116,135,10,1,0,0,2,1,2,3,2,5,9,15,624
160,"P S RAJEPUR",615,530,0,1145,349,347,0,696,696,0,149,39,187,285,8,2,1,2,0,0,0,2,7,7,2,5,696
161,"P S GOPIPUR",742,644,0,1386,363,386,0,749,672,0,36,16,170,440,31,3,0,4,7,4,8,7,7,5,4,7,749
162,"P S DULHEPUR",608,513,0,1121,321,292,0,613,17,0,80,10,234,265,15,0,1,0,0,0,0,0,2,4,2,0,613
163,"P S SALKHAPUR",680,548,0,1228,375,334,0,709,709,0,47,68,269,288,9,3,1,0,9,1,2,1,1,3,3,4,709
164,"P S SALKHAPUR",598,488,0,1086,307,276,0,583,49,0,111,136,99,199,10,7,0,0,0,1,2,4,2,5,2,5,583
165,"JHS NEHARU NAGAR MIDDLE SIDE",471,410,0,881,241,256,0,497,18,0,31,5,281,146,8,2,1,0,1,1,1,1,1,8,4,6,497
166,"P S GAYASPUR",293,248,0,541,152,156,0,308,308,0,51,14,167,65,3,0,0,0,0,0,0,0,0,2,1,5,308
167,"P S JAGDISHPUR",320,276,0,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,"UMV NEHARU NAGAR EAST SIDE",309,226,0,535,157,136,0,293,293,0,13,5,111,152,1,2,0,0,1,0,2,0,1,1,3,1,293
169,"P S KESHAVPUR",724,646,0,1370,309,354,0,663,663,0,62,25,282,268,12,4,3,2,0,1,0,0,0,2,1,1,663
170,"K J H S SHIVPUR EAST SIDE",518,475,0,993,264,252,0,516,112,0,19,6,65,414,6,0,1,0,0,0,0,1,0,1,2,1,516
171,"K J H S SHIVPUR WEST SIDE",476,403,0,879,205,228,0,433,433,0,64,13,199,145,2,0,0,0,0,0,0,1,3,3,1,2,433
172,"P S NAWABAD JANGAL SHIVPUR",242,195,0,437,110,122,0,232,13,0,23,25,16,158,4,2,0,1,0,0,0,0,0,2,1,0,232
173,"P S KHARCHALPUR",474,459,0,933,211,270,0,481,481,0,94,9,120,229,10,1,1,0,0,0,2,0,4,2,4,5,481
174,"P S RAJEPUR NORTH SIDE",585,491,0,1076,308,258,0,566,500,0,34,47,177,262,9,4,0,0,0,0,0,1,11,12,5,4,566
175,"P S RAJEPUR SOUTH SIDE",821,685,0,1506,351,365,0,716,712,0,80,57,307,209,4,1,0,2,1,1,3,26,5,10,5,5,716
176,"P S RAJEPUR MIDDLE SIDE",367,316,0,683,179,195,0,374,210,0,41,219,60,38,4,2,0,0,0,1,1,2,0,2,2,2,374
177,"P S BAHARIPUR",517,465,0,982,312,228,0,540,440,0,188,7,157,160,4,2,4,0,1,0,0,1,3,6,3,4,540
