"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - COMANDO KAMAL KISHOR","2 - DR.VIJAY KUMAR","3 - SHABBIR AHMAD","4 - SADHVI SAVITRI BAI FOOLE","5 - JAGAT RAM","6 - MADHAV","7 - RAMASHANKER GOND","8 - VINOD KUMAR","9 - HIRA LAL RAO","10 - RAM NARESH","11 - None of the Above","Total Votes Secured"
69,MAIKUPURVA,499,442,0,941,342,236,0,578,578,0,12,147,147,229,3,0,7,6,3,9,15,578
70,"POORE HINDU SINGH",554,515,0,1069,368,347,0,715,713,0,20,178,226,264,6,2,0,1,1,5,12,715
71,"PIPARI MOHAN",816,722,0,1538,500,401,0,901,901,0,33,380,252,217,5,1,2,1,1,7,2,901
72,BANSHPURVA,574,486,0,1060,338,331,0,669,609,0,5,10,422,220,3,1,1,1,2,2,2,669
73,BANSHPURVA,583,510,0,1093,303,309,0,612,612,0,28,67,376,122,4,2,1,3,2,2,5,612
74,"SIGIYA NASIRPUR",635,520,0,1155,494,241,0,735,705,0,13,79,498,110,5,1,4,0,4,7,14,735
75,"POORE GANGA PRASAD",604,485,0,1089,353,306,0,659,659,0,16,29,292,304,7,0,1,2,1,1,6,659
76,KOTIYA,670,551,0,1221,468,322,0,790,790,0,25,144,57,522,22,5,3,3,3,3,3,790
77,KOTIYA,410,381,0,791,276,176,0,452,452,0,26,39,8,357,7,2,3,6,1,2,1,452
78,"AGRAURA DUBAHAA",347,308,0,655,234,194,0,428,428,0,5,176,97,132,2,0,8,5,1,1,1,428
79,"POORE SEETARAM",940,703,0,1643,538,308,0,846,816,0,26,349,123,306,10,1,3,5,3,11,9,846
80,AURAHI,591,515,0,1106,310,261,0,571,571,0,7,31,167,346,9,1,1,1,0,0,8,571
81,AURAHI,783,661,0,1444,501,470,0,971,971,0,9,41,199,656,22,5,12,2,6,6,13,971
82,"POORE BASTI GADARIYA",440,365,0,805,278,207,0,485,469,0,9,63,144,233,5,4,2,6,3,6,10,485
83,"POORE BASTI GADARIYA",442,379,0,821,269,183,0,452,452,0,13,42,197,180,3,2,2,2,3,2,6,452
84,NAKWA,566,504,0,1070,380,323,0,703,703,0,28,148,45,455,2,1,3,0,4,6,11,703
85,MAHSI,567,485,0,1052,335,270,0,605,605,0,32,57,107,371,5,0,0,5,3,8,17,605
86,MAHSI,510,463,0,973,267,198,0,465,465,0,16,50,99,284,5,1,1,0,1,4,4,465
87,MAHSI,658,568,0,1226,325,286,0,611,606,0,15,59,182,315,6,1,1,5,3,5,19,611
88,MAHSI,646,559,0,1205,268,231,0,499,498,0,10,17,319,124,7,1,4,1,1,3,12,499
89,MAHSI,470,383,0,853,262,165,0,427,427,0,10,63,110,197,9,2,2,5,5,6,18,427
90,MAHSI,416,354,0,770,188,114,0,302,300,0,1,55,93,130,1,4,1,0,1,5,11,302
91,"POORE KUBER PANDEY",362,309,0,671,209,186,0,395,395,0,7,9,145,226,2,0,1,1,2,2,0,395
92,PADOHIYA,564,499,0,1063,377,353,0,730,730,0,15,9,193,493,1,3,0,1,4,5,6,730
93,AASMANPUR,556,447,0,1003,346,260,0,606,568,0,16,56,221,254,16,3,3,4,8,7,18,606
94,"RAMAVAPUR KALA",547,558,0,1105,347,413,0,760,539,0,14,11,675,53,1,1,1,1,2,1,0,760
95,"RAMAVAPUR KALA",300,302,0,602,211,218,0,429,414,0,8,33,163,201,6,0,2,2,2,4,8,429
96,BANJARIYA,515,518,0,1033,370,340,0,710,652,0,8,70,244,360,6,1,3,2,3,3,10,710
97,BANJARIYA,319,264,0,583,186,211,0,397,363,0,6,18,310,38,2,4,0,2,2,3,12,397
98,NAUTALA,486,446,0,932,339,301,0,640,640,0,11,24,213,382,3,1,1,0,2,1,2,640
99,NAUTALA,473,420,0,893,263,230,0,493,490,0,10,16,215,217,9,3,4,1,5,4,9,493
100,NAUTALA,656,565,0,1221,430,326,0,756,754,0,13,23,236,466,7,2,2,0,2,1,4,756
101,GADAVA,433,378,1,812,339,252,0,591,591,0,7,108,170,296,3,0,2,0,1,2,2,591
102,GADAVA,447,412,0,859,315,247,0,562,429,0,7,12,146,353,11,1,0,2,7,7,16,562
103,PARSOHANA,507,453,0,960,348,315,0,663,663,0,21,26,162,420,6,1,3,1,5,7,11,663
104,PARSOHANA,472,473,0,945,292,269,0,561,561,0,20,14,58,422,11,5,3,4,7,6,11,561
105,"SIPAHIYA PYULI",800,725,0,1525,497,401,0,898,898,0,7,23,92,750,10,2,1,0,3,2,8,898
106,"SIPAHIYA PYULI",546,473,0,1019,378,241,0,619,614,0,12,40,9,537,9,0,1,3,0,3,5,619
107,"REHUAA MANSOOR",814,657,0,1471,419,201,0,620,610,0,3,41,157,377,13,3,2,4,2,3,15,620
108,"REHUAA MANSOOR",456,428,0,884,292,238,0,530,529,0,12,29,53,408,9,0,0,3,4,6,6,530
109,"REHUAA MANSOOR",459,437,0,896,234,195,0,429,429,0,11,58,56,282,4,2,1,2,4,3,6,429
110,"REHUAA MANSOOR",584,527,0,1111,342,222,0,564,564,0,9,43,151,325,7,1,1,2,7,2,16,564
111,"REHUAA MANSOOR",672,552,0,1224,306,162,0,468,468,0,12,52,195,194,0,2,0,1,2,6,4,468
112,"REHUAA MANSOOR",297,266,0,563,158,112,0,270,270,0,5,20,88,148,1,2,1,0,1,2,2,270
113,"JOT CHANDPARA",455,407,0,862,320,280,0,600,598,0,8,14,68,475,10,2,2,3,3,4,11,600
114,"JOT CHANDPARA",570,468,0,1038,329,245,0,574,574,0,6,11,173,370,7,1,2,0,0,3,1,574
115,"JOT CHANDPARA",472,393,0,865,324,225,0,549,549,0,13,3,439,79,4,2,1,0,4,0,4,549
116,"JOT CHANDPARA",512,431,1,944,308,240,0,548,398,0,4,8,418,103,4,0,1,0,2,1,7,548
117,"JOT CHANDPARA",539,440,0,979,351,255,0,606,568,0,4,8,431,152,2,0,0,0,1,3,5,606
118,"JOT CHANDPARA",490,552,0,1042,320,280,0,600,598,0,5,9,413,157,7,0,2,0,1,2,4,600
119,CHANDPAIYA,607,554,0,1161,387,323,0,710,710,0,11,70,281,320,8,0,1,4,4,5,6,710
120,CHANDPAIYA,692,639,0,1331,471,373,0,844,830,0,9,47,399,360,7,5,1,0,5,2,9,844
121,BELHAURA,569,508,1,1078,414,358,0,772,771,0,4,55,67,588,22,3,2,3,3,5,20,772
122,SIKANDARPUR,703,530,0,1233,445,328,0,773,773,0,12,9,66,668,6,1,4,0,0,2,5,773
123,SIKANDARPUR,342,290,0,632,263,194,0,457,447,0,5,12,14,419,4,0,0,0,0,0,3,457
124,SIKANDARPUR,480,388,0,868,332,250,0,582,582,0,5,16,20,534,3,0,0,1,1,0,2,582
125,SIKANDARPUR,507,439,0,946,319,217,0,536,535,0,7,34,60,424,1,1,0,2,0,3,4,536
126,BAHORIKPUR,668,602,0,1270,473,364,0,837,836,0,19,265,93,440,4,1,5,1,1,5,3,837
127,BAHORIKPUR,743,664,0,1407,538,438,0,976,976,0,16,187,16,729,7,2,2,0,3,3,11,976
128,CHANDPARA,764,675,0,1439,475,352,0,827,763,0,3,11,67,725,3,5,0,3,1,2,7,827
129,CHANDPARA,697,633,1,1331,391,338,0,729,656,0,6,148,183,345,8,1,1,19,2,10,6,729
130,SADHUVPUR,643,595,1,1239,435,352,0,787,749,0,18,110,158,473,6,3,5,4,2,4,4,787
131,LAKHANAPUR,708,683,0,1391,461,376,0,837,834,0,21,47,90,656,3,3,6,3,2,1,5,837
132,MASADEEH,639,569,0,1208,306,244,0,550,550,0,13,15,208,291,5,2,0,1,3,1,11,550
133,MASADEEH,858,760,0,1618,410,382,0,792,792,0,12,41,333,366,7,1,1,7,6,6,12,792
134,KAPOORPUR,495,483,1,979,302,281,0,583,583,0,11,50,221,259,11,4,4,2,0,4,17,583
135,KAPOORPUR,457,430,0,887,212,206,0,418,418,0,6,28,265,99,2,2,2,1,2,3,8,418
136,KAPOORPUR,502,468,0,970,288,332,0,620,538,0,11,138,312,151,0,1,2,0,2,3,0,620
137,KAPOORPUR,506,431,0,937,246,267,0,513,513,0,7,93,254,148,1,0,1,1,2,3,3,513
138,DEVRAYPUR,675,613,0,1288,453,347,0,800,800,0,28,240,313,197,4,1,2,1,5,0,9,800
139,"SISAIYA CHURAMAN",430,362,0,792,332,240,0,572,572,0,12,36,176,305,9,3,3,5,3,5,15,572
140,"SISAIYA CHURAMAN",454,401,0,855,345,266,0,611,611,0,13,59,134,378,7,2,3,1,5,4,5,611
141,"SISAIYA CHURAMAN",587,520,0,1107,372,263,0,635,635,0,12,45,51,459,18,1,5,6,3,13,22,635
142,BAMBHAURI,518,449,0,967,345,271,0,616,606,0,8,19,237,332,3,3,2,4,2,3,3,616
143,BAMBHAURI,423,400,0,823,255,244,0,499,499,0,14,161,61,247,2,3,2,1,1,3,4,499
144,BAMBHAURI,482,493,0,975,251,171,0,422,422,0,15,66,60,251,5,3,0,1,3,3,15,422
145,GANGAPURVA,581,450,0,1031,369,295,0,664,664,0,19,92,129,403,5,1,1,4,4,2,4,664
146,GANGAPURVA,488,428,0,916,302,220,0,522,522,0,10,76,108,298,6,1,1,3,2,6,11,522
147,REVATIPURVA,560,434,1,995,371,286,0,657,656,0,11,22,259,343,7,0,3,3,1,4,4,657
148,HARDIGAURA,942,751,0,1693,444,390,0,834,833,0,61,133,137,439,9,4,3,7,9,9,23,834
149,HARDIGAURA,193,189,0,382,86,101,0,187,105,0,3,39,62,74,2,1,0,0,0,2,4,187
150,HARDIGAURA,778,666,0,1444,411,302,0,713,711,0,26,154,76,409,14,1,2,4,3,4,20,713
151,HARDIGAURA,151,127,0,278,67,56,0,123,123,0,7,18,25,67,1,0,0,1,2,1,1,123
152,NATHUVAPUR,568,471,0,1039,406,314,0,720,720,0,6,98,120,467,10,1,0,2,5,1,10,720
153,NATHUVAPUR,350,335,0,685,243,224,0,467,461,0,5,36,89,314,3,1,0,4,2,3,10,467
154,BHAGVANPUR,649,538,0,1187,456,323,0,779,451,0,9,110,207,425,4,2,3,4,5,5,5,779
155,"GADAMAR KHURD",422,378,0,800,252,221,0,473,473,0,7,68,222,163,1,1,2,4,0,4,1,473
156,"GADAMAR KALAN",636,535,0,1171,377,308,0,685,683,0,50,233,206,153,5,5,2,3,4,11,13,685
157,METHAURA,689,575,0,1264,489,351,0,840,840,0,16,127,274,352,13,5,5,5,11,7,25,840
158,BAIKUNTHA,831,742,0,1573,596,413,0,1009,1009,0,11,115,450,399,13,3,3,0,5,2,8,1009
159,ARIYA,771,697,0,1468,463,395,0,858,857,0,21,80,225,507,6,0,1,2,4,5,7,858
160,FATEHPURAVA,731,632,0,1363,465,381,0,846,846,0,4,79,197,541,9,0,1,2,3,4,6,846
161,"BABHNAUTI SHANKARPUR",812,643,0,1455,340,509,0,849,849,0,20,170,273,364,4,2,2,3,4,4,3,849
162,"BABHNAUTI SHANKARPUR",605,535,0,1140,399,363,0,762,761,0,12,177,100,440,12,5,2,2,0,3,9,762
163,KOLAILA,284,241,0,525,177,165,0,342,342,0,7,106,26,189,3,0,1,3,2,2,3,342
164,PIPARA,219,195,1,415,147,129,0,276,276,0,1,34,40,188,7,1,0,0,1,1,3,276
165,KAYAMPUR,402,364,0,766,215,163,0,378,378,0,14,25,37,268,5,0,4,4,4,3,14,378
166,KAREHANA,693,598,0,1291,409,360,0,769,769,0,11,84,190,447,10,3,0,5,5,6,8,769
167,KAREHANA,289,248,0,537,145,117,0,262,260,0,12,14,174,46,1,2,0,1,3,2,7,262
168,KAREHANA,366,317,0,683,247,222,0,469,468,0,9,28,32,382,4,2,0,3,1,3,5,469
169,KAPARVAL,655,536,0,1191,294,212,0,506,506,0,13,87,42,345,5,3,1,1,2,5,2,506
170,"BARUAA BEHAD",418,344,0,762,300,218,0,518,518,0,19,174,24,261,5,2,7,5,5,9,7,518
171,MURAUVVA,979,800,0,1779,456,326,0,782,762,0,17,113,175,446,11,2,0,1,1,4,12,782
172,MURAUVVA,500,406,0,906,227,166,0,393,393,0,12,94,119,150,2,1,0,1,1,7,6,393
173,MUNSARI,783,684,1,1468,406,325,0,731,727,0,5,25,119,555,7,1,0,1,5,4,9,731
174,TIKURI,344,291,1,636,229,170,0,399,399,0,7,23,100,244,4,0,1,3,6,2,9,399
175,KODHAVA,254,258,0,512,135,151,0,286,286,0,5,100,80,91,1,2,0,2,0,3,2,286
176,GOLAGANJ,792,669,0,1461,390,211,0,601,601,0,26,86,143,328,0,3,0,2,1,4,8,601
177,GOLAGANJ,740,577,0,1317,221,107,0,328,328,0,4,40,33,232,8,2,1,2,2,3,1,328
178,BAUNDI,848,704,0,1552,460,305,0,765,765,0,20,84,204,424,7,3,5,2,3,2,11,765
179,BAUNDI,594,500,0,1094,300,291,0,591,278,0,11,20,283,267,2,0,0,2,2,1,3,591
180,BAUNDI,473,415,0,888,201,207,0,408,405,0,6,13,144,239,2,1,1,1,0,0,1,408
181,BAUNDI,573,509,0,1082,309,244,0,553,552,0,18,61,159,300,2,1,2,2,1,3,4,553
182,BAUNDI,456,379,0,835,236,187,0,423,423,0,12,74,56,271,3,0,1,1,1,2,2,423
183,BAUNDI,394,383,0,777,194,138,0,332,332,0,10,27,43,234,4,3,0,0,2,3,6,332
184,"GHAREHARA NAKDIL PUR",492,424,0,916,287,257,0,544,544,0,15,128,34,338,8,1,0,5,4,5,6,544
185,ATODAR,483,417,0,900,236,197,0,433,433,0,11,70,87,244,5,3,0,1,1,4,7,433
186,"BEHATA CHURAMAN",517,434,0,951,331,271,0,602,602,0,13,109,9,428,10,4,2,4,3,7,13,602
187,DHARMAPUR,492,449,0,941,320,260,0,580,579,0,8,25,28,469,15,1,4,6,1,5,18,580
188,DHARMAPUR,414,346,0,760,255,195,0,450,450,0,11,17,10,382,8,1,0,2,1,2,16,450
189,JAITAPUR,456,404,0,860,284,268,0,552,548,0,4,14,202,306,3,1,2,0,6,2,12,552
190,JAITAPUR,398,330,0,728,195,176,0,371,371,0,5,6,169,176,4,0,3,2,1,1,4,371
191,JAITAPUR,715,632,0,1347,488,402,0,890,890,0,10,13,364,483,6,4,0,3,0,0,7,890
192,NAUBASTA,461,348,0,809,242,157,0,399,388,0,15,77,49,219,13,2,4,2,2,7,9,399
193,NAUBASTA,499,485,1,985,312,218,0,530,530,0,18,57,88,351,4,1,4,2,0,1,4,530
194,GHUREHARIPUR,434,372,0,806,259,240,0,499,498,0,21,30,246,190,2,1,1,1,1,2,4,499
195,BAHORAVA,328,295,0,623,256,224,0,480,480,0,6,19,90,356,3,1,0,1,2,0,2,480
196,BISVAN,634,537,0,1171,448,366,0,814,814,0,19,44,111,594,8,5,6,2,3,6,16,814
197,BISVAN,206,169,0,375,148,131,0,279,279,0,3,9,36,222,1,0,0,0,2,1,5,279
198,BHADVANI,730,669,0,1399,447,393,0,840,840,0,10,57,233,496,10,3,4,2,5,6,14,840
199,HEMANAPUR,424,371,0,795,290,254,0,544,544,0,10,44,31,442,5,2,4,1,1,2,2,544
200,BHAURI,835,732,0,1567,509,454,0,963,963,0,21,70,242,580,9,3,2,3,7,9,17,963
201,BHAURI,733,596,0,1329,456,318,0,774,774,0,12,155,238,301,15,7,5,4,6,10,21,774
202,"SIPAHIYA HULAS",574,476,0,1050,367,293,0,660,649,0,13,167,90,349,9,3,9,3,1,6,10,660
203,"SIPAHIYA HULAS",389,305,0,694,268,176,0,444,406,0,13,77,8,278,5,5,39,2,2,5,10,444
204,SAMADA,429,347,0,776,225,176,0,401,300,0,6,41,95,237,7,2,1,1,1,1,9,401
205,SANGAVA,589,486,0,1075,274,256,0,530,530,0,9,25,119,358,3,0,0,2,6,3,5,530
206,MANERA,458,419,0,877,277,269,0,546,546,0,16,38,69,402,4,1,0,4,2,3,7,546
207,KODAHI,478,424,0,902,303,201,0,504,504,0,8,8,82,389,3,0,3,4,0,2,5,504
208,KODAHI,432,417,0,849,253,235,0,488,488,0,9,38,220,204,4,1,1,1,2,3,5,488
209,KODAHI,490,385,1,876,285,201,0,486,470,0,16,57,68,330,0,1,2,0,1,6,5,486
210,KODAHI,406,401,0,807,238,224,0,462,460,0,10,49,43,332,6,1,1,0,1,1,18,462
211,KODAHI,511,451,0,962,366,316,0,682,682,0,15,64,181,376,12,4,3,4,0,5,18,682
212,GOHANIYA,343,291,0,634,266,223,0,489,488,0,6,8,60,408,3,3,0,0,0,1,0,489
213,AMVATETARPUR,470,391,0,861,316,301,0,617,613,0,13,22,283,277,3,1,2,1,4,4,7,617
214,BMIYARI,392,375,0,767,271,276,0,547,547,0,10,27,162,308,8,2,5,1,2,6,16,547
215,"PATTI KAMALPUR",800,699,0,1499,446,370,0,816,604,0,22,195,110,402,16,3,2,11,8,7,40,816
216,"RAMAPUR KINHAULI",526,454,0,980,422,307,0,729,729,0,9,28,19,652,7,1,1,1,2,2,7,729
217,TINGAI,600,518,0,1118,476,327,0,803,783,0,13,47,17,705,9,1,2,2,0,3,4,803
218,TINGAI,305,267,0,572,224,162,0,386,386,0,11,19,17,319,9,4,1,1,0,3,2,386
219,INAMI,379,294,0,673,251,186,0,437,437,0,9,75,60,270,5,2,1,2,2,4,7,437
220,DOKARI,662,536,0,1198,430,291,0,721,640,0,9,41,141,521,1,3,3,0,0,0,2,721
221,DOKARI,487,427,0,914,331,281,0,612,402,0,16,14,321,243,3,2,2,1,2,3,5,612
222,DOKARI,412,426,0,838,255,268,0,523,523,0,8,26,197,257,10,3,3,1,4,3,11,523
223,JIHURAMAFI,525,436,0,961,300,265,0,565,565,0,25,24,194,300,4,1,2,2,2,1,10,565
224,JIHURAMAFI,447,407,1,855,208,241,0,449,446,0,14,6,286,123,4,2,1,2,5,1,5,449
225,JIHURAMAFI,361,281,0,642,198,173,0,371,364,0,4,5,288,58,4,1,0,0,2,1,8,371
226,NAUSHAHARA,681,620,0,1301,439,353,0,792,792,0,15,69,89,544,17,2,5,3,4,12,32,792
227,RAMGADHI,543,470,0,1013,371,311,0,682,679,0,7,22,320,299,8,0,2,3,3,5,13,682
228,RAMGADHI,347,294,0,641,237,207,0,444,444,0,8,47,56,323,2,0,1,1,1,2,3,444
229,RAMGADHI,614,542,2,1158,403,336,0,739,739,0,12,53,210,430,3,1,5,0,3,8,14,739
230,PARASPUR,336,306,0,642,227,204,0,431,431,0,7,18,134,256,5,0,1,3,2,1,4,431
231,KAUDAHA,457,390,0,847,297,208,0,505,505,0,14,67,185,210,5,1,5,3,6,4,5,505
232,KAUDAHA,350,344,0,694,215,168,0,383,380,0,6,60,71,211,3,3,2,2,4,10,11,383
233,KAUDAHA,627,503,0,1130,445,344,0,789,788,0,10,46,200,498,10,1,2,1,5,3,13,789
234,BAIRIYA,562,530,0,1092,400,295,0,695,695,0,17,135,79,442,9,1,4,0,1,2,5,695
235,BAIRIYA,199,196,0,395,104,58,0,162,162,0,7,10,41,92,2,0,1,0,0,3,6,162
236,UNCHGANV,443,403,0,846,394,233,0,627,627,0,13,81,73,432,12,6,3,0,0,3,4,627
237,RHUAA,516,395,0,911,312,174,0,486,486,0,14,63,102,267,14,3,0,4,4,4,11,486
238,REHUAA,494,446,0,940,246,167,0,413,412,0,11,29,87,261,8,1,2,0,3,3,8,413
239,REHUAA,520,438,0,958,311,228,0,539,539,0,9,93,199,213,8,2,1,4,2,5,3,539
240,REHUAA,525,445,0,970,222,213,0,435,435,0,5,76,210,135,2,0,0,0,0,2,5,435
