"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AQEEL UR REHMAN KHAN","2 - ACHARYA PRAMOD KRISHNAM","3 - DR SHAFIQ UR RAHMAN BARQ","4 - SATYAPAL SINGH","5 - MOHD ASLAM URF PASHA","6 - DHARAM YADAV","7 - DR. RASHID ALI","8 - REKHA DEVI YADAV","9 - AQEEL AHMAD","10 - NANAD RAM KHADAGVANSHI","11 - NUTAN VIJAY ADVOCATE","12 - FIROZ HAIDER","13 - RASHID","14 - None of the Above","Total Votes Secured"
51,"PRI. SCHOOL POTA ROOM-1",634,538,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"PRI. SCHOOL POTA ROOM-2",546,460,0,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,"PRI0 SCHOOL REHTAUL ROOM-1",694,583,0,1277,456,395,0,851,851,0,190,3,6,577,9,21,0,2,1,3,20,3,6,10,851
54,"PRI. SCHOOL REHTAUL ROOM-2",755,599,1,1355,500,354,0,854,854,0,57,9,5,702,3,52,0,0,2,3,13,5,1,2,854
55,"PRI. SCHOOL MILAK SIRSI ROOM-1",518,466,0,984,354,297,0,651,651,0,243,11,325,56,0,3,2,0,0,0,3,3,2,3,651
56,"PRI. SCHOOL MILAK SIRSI ROOM-2",490,435,0,925,265,252,0,517,517,0,56,6,219,229,2,1,0,1,0,0,2,0,1,0,517
57,"JU. HI. SCHOOL N.PAN. SIRSI ROOM-1",626,524,0,1150,438,321,0,759,759,0,174,6,304,239,3,2,5,3,3,2,6,0,3,9,759
58,"JU. HI. SCHOOL N.P. SIRSI ROOM-2",591,443,0,1034,367,173,0,540,540,0,86,9,279,147,1,3,1,0,0,0,4,6,1,3,540
59,"JU. HI. SCHOOL N.PAN. SIRSI ROOM-3",454,466,0,920,257,222,0,479,479,0,29,4,395,40,1,6,0,0,0,0,0,0,2,2,479
60,"JU. HI. SCHOOL N.P. SIRSI ROOM-4",493,433,0,926,268,171,0,439,439,0,27,5,379,14,4,1,1,1,0,0,0,1,2,4,439
61,"JU. HI. SCHOOL N.P. SIRSI ROOM-5",604,527,1,1132,280,205,0,485,485,0,20,11,324,111,1,2,2,1,0,1,5,4,1,2,485
62,"J.LAL. MEMO. INTER COLLEGE SADAK SARAI ROOM-1",399,402,0,801,195,147,0,342,342,0,17,4,286,19,0,15,0,0,0,0,1,0,0,0,342
63,"J.LAL. MEMO. INTER COLLEGE SADAK SARAI ROOM-2",537,452,0,989,275,212,0,487,487,0,122,10,311,22,2,1,1,2,0,1,2,1,1,11,487
64,"KANIYA J. HIGH SCHOOL ROOM-1",502,386,0,888,377,222,0,599,599,0,249,5,304,35,0,0,2,0,1,0,0,0,1,2,599
65,"KANIYA J. HIGH SCHOOL ROOM-2",418,374,0,792,268,186,0,454,454,0,35,1,378,28,0,6,1,0,0,1,0,1,0,3,454
66,"KANIYA J. HIGH SCHOOL ROOM-3",889,667,0,1556,573,317,0,890,890,0,458,14,320,73,1,5,3,1,0,0,7,0,2,6,890
67,"PRI. SCHOOL SHARKI ROOM-1",536,513,0,1049,275,248,0,523,523,0,35,15,465,1,1,0,0,0,0,1,0,1,2,2,523
68,"PRI. SCHOOL SHARKI ROOM-2",561,492,1,1054,258,252,0,510,510,0,56,27,416,6,0,3,0,0,0,0,0,1,1,0,510
69,"PRI. SCHOOL SHARKI ROOM-3",555,527,0,1082,254,231,0,485,485,0,8,9,457,3,0,2,1,0,0,0,1,0,1,3,485
70,"PRI. SCHOOL SHARKI ROOM-4",617,547,0,1164,272,224,0,496,496,0,26,8,438,5,3,11,0,1,0,0,0,2,0,2,496
71,"PRI. SCHOOL GINNAURI ROOM-1",503,423,0,926,279,180,0,459,459,0,45,11,373,15,1,9,0,0,0,0,1,0,0,4,459
72,"PRI. SCHOOL GINNAURI ROOM-2",428,342,0,770,223,150,0,373,373,0,50,7,229,73,1,5,0,0,0,1,3,0,1,3,373
73,"PRI. SCHOOL GINNAURI ROOM-3",582,475,0,1057,364,281,0,645,645,0,43,1,585,5,1,0,0,0,2,1,0,2,1,4,645
74,"PRI. SCHOOL GINNAURI ROOM-4",582,452,1,1035,340,215,0,555,555,0,186,5,325,29,0,0,1,0,0,0,0,3,1,5,555
75,"PRI. SCHOOL GINNAURI ROOM-5",571,471,0,1042,334,216,0,550,550,0,49,8,221,251,3,5,3,0,2,0,1,2,1,4,550
76,"PRI. SCHOOL HARATNAGAR GARI ROOM-1",496,424,0,920,293,251,0,544,544,0,191,5,296,36,0,0,1,0,1,0,4,3,2,5,544
77,"PRI. SCHOOL HARATNAGAR GARI ROOM-2",663,546,0,1209,326,290,0,616,616,0,249,4,317,41,0,1,0,0,0,1,0,2,0,1,616
78,"PRI. SCHOOL HARATNAGAR GARI ROOM-3",508,397,0,905,245,173,0,418,418,0,115,2,85,194,4,8,1,0,1,4,1,1,0,2,418
79,"KANIYA JU.HI. SCHOOL HAJRATNAGAR GARI ROOM-1",502,406,0,908,205,150,0,355,355,0,37,2,65,219,6,2,0,0,2,4,8,2,4,4,355
80,"KANIYA JU.HI. SCHOOL HAJRATNAGAR GARI ROOM-2",534,447,0,981,338,287,0,625,625,0,71,4,214,315,2,1,1,1,0,2,5,3,3,3,625
81,"KANIYA JU.HI. SCHOOL HAJRATNAGAR GARI ROOM-3",531,372,0,903,341,248,0,589,589,0,64,7,232,275,1,6,1,0,0,0,2,0,0,1,589
82,"KANIYA JU.HI. SCHOOL HAJRATNAGAR GARI ROOM-4",673,512,0,1185,401,371,0,772,772,0,112,5,222,398,8,9,2,2,3,1,3,1,1,5,772
83,"PRI. SCHOOL TIMANPUR",373,329,0,702,302,262,0,564,564,0,67,3,5,446,2,33,0,1,1,0,1,0,3,2,564
84,"PRI. SCHOOL HANDALPUR",766,663,0,1429,614,455,0,1069,1069,0,192,8,96,730,5,9,1,1,1,1,13,4,0,8,1069
85,"PRI. SCHOOL MITHAULI ROOM-1",625,510,1,1136,442,363,0,805,805,0,187,4,283,302,2,4,3,2,0,0,3,4,2,9,805
86,"PRI. SCHOOL MANGANPUR",345,250,0,595,280,182,0,462,462,0,239,6,195,10,0,0,0,0,2,0,1,1,3,5,462
87,"PRI. SCHOOL MITHAULI ROOM-2",524,426,0,950,360,286,0,646,646,0,56,5,282,274,1,10,2,0,1,1,4,3,2,5,646
88,"PRI. SCHOOL MITHAULI ROOM-3",544,393,0,937,272,156,0,428,428,0,198,3,207,7,1,2,2,0,1,0,1,1,1,4,428
89,"PRI. SCHOOL FIROZPURROOM-1",768,696,0,1464,501,406,0,907,907,0,308,12,447,101,5,12,1,0,1,1,4,5,1,9,907
90,"PRI. SCHOOL FIROZPUR ROOM-2",571,480,0,1051,385,311,0,696,696,0,59,13,160,433,2,10,0,0,0,5,5,1,2,6,696
91,"PRI. SCHOOL CHIMYAWALI ROOM-1",459,403,0,862,352,268,0,620,620,0,120,1,372,103,2,3,2,1,2,2,1,4,1,6,620
92,"PRI. SCHOOL CHIMYAWALI ROOM-2",438,378,1,817,350,305,0,655,655,0,77,8,228,328,0,0,1,0,0,1,1,2,3,6,655
93,"PRI. SCHOOL FULSINGHA ROOM-1",577,487,0,1064,456,383,0,839,839,0,387,4,363,68,4,2,1,0,0,1,2,2,0,5,839
94,"PRI. SCHOOL FULSINGHA ROOM-2",608,535,0,1143,455,345,0,800,800,0,244,3,500,29,1,2,12,0,0,2,2,2,0,3,800
95,"PRI. SCHOOL MOHD. PUR MALNI ROOM-`",486,427,0,913,330,255,0,585,585,0,79,10,446,36,0,2,2,1,2,0,3,1,1,2,585
96,"PRI. SCHOOL MOHD. PUR MALNI ROOM-2",472,414,0,886,274,206,0,480,480,0,154,3,303,3,1,0,1,1,0,1,1,1,2,9,480
97,"PRI. SCHOOL DHEEMAR KHEDI",315,269,0,584,248,217,0,465,465,0,189,4,243,18,3,0,0,0,0,0,0,2,1,5,465
98,"PRI. SCHOOL SEHRIYA ABDALNAGAR",380,307,0,687,271,194,0,465,465,0,116,7,320,13,0,1,1,0,0,1,1,0,1,4,465
99,"PRI. SCHOOL MAKHDUMPUR",278,259,0,537,211,194,0,405,405,0,20,4,377,2,1,0,0,0,0,0,1,0,0,0,405
100,"PRI. SCHOOL SHEHBAJPUR SHURANAGLA",737,602,0,1339,487,386,0,873,873,0,601,5,239,16,3,1,0,0,1,0,0,1,2,4,873
101,"PRI. SCHOOL BICHHAULI",847,699,0,1546,577,403,0,980,980,0,185,9,678,96,1,2,0,0,1,0,5,1,0,2,980
102,"PRI. SCHOOL KASAMPUR",790,674,0,1464,599,438,0,1037,1037,0,129,24,62,757,7,20,0,2,2,5,12,5,4,8,1037
103,"JU. HI. SCHOOL CHHACHHERA ROOM-1",669,517,0,1186,504,357,0,861,861,0,288,10,227,289,3,4,1,0,1,4,13,6,4,11,861
104,"JU. HI. SCHOOL CHHACHHERA ROOM-2",616,522,0,1138,383,449,0,832,832,0,130,1,289,391,0,0,4,3,2,0,3,2,1,6,832
105,"PRI. SCHOOL AROLA MAFI",845,685,0,1530,632,504,0,1136,1136,0,154,9,215,677,5,43,1,1,1,2,12,5,5,6,1136
106,"PRI. SCHOOL BHARTAL MANDAPUR ROOM-1",485,397,0,882,349,282,0,631,631,0,265,8,32,306,3,1,0,0,1,2,3,1,3,6,631
107,"PRI. SCHOOL BHARTAL MANDAPUR ROOM-2",433,346,1,780,293,241,0,534,534,0,203,4,85,231,3,2,0,0,0,0,2,1,1,2,534
108,"PRI. SCHOOL RAJABHOOD",377,325,0,702,228,214,0,442,442,0,55,3,19,349,2,2,0,0,0,0,6,3,1,2,442
109,"PRI. SCHOOL HAFIJPUR",791,584,0,1375,456,354,0,810,810,0,250,7,193,307,2,14,1,3,5,4,7,7,2,8,810
110,"PRI. SCHOOL ISAPUR SANI",213,188,0,401,183,165,0,348,348,0,175,0,20,140,1,5,1,0,0,1,1,2,0,2,348
111,"PRI. SCHOOL MAU",431,371,0,802,357,265,0,622,622,0,99,9,65,418,3,13,0,0,0,4,0,5,3,3,622
112,"PRI. SCHOOL MUBARAKPUR",283,235,0,518,251,183,0,434,434,0,77,28,7,315,1,3,0,0,0,0,0,1,0,2,434
113,"PRI. SCHOOL KHANPUR URF ALAMPUR",732,552,1,1285,636,427,0,1063,1063,0,222,2,117,698,3,9,1,0,0,1,3,1,1,5,1063
114,"PRI. SCHOOL ENGRA",541,442,0,983,370,312,0,682,682,0,340,4,12,221,0,91,0,0,2,2,4,0,4,2,682
115,"PRI. SCHOOL KARELI",585,451,0,1036,353,307,0,660,660,0,107,5,4,515,1,24,0,1,0,0,1,1,0,1,660
116,"PRI. SCHOOL SHEKHUPUR GADI",219,192,0,411,164,157,0,321,321,0,9,2,6,293,2,6,1,0,0,0,2,0,0,0,321
117,"PRI. SCHOOL DHAKARI NIKAT KHANPUR SARAI",282,201,0,483,189,162,0,351,351,0,239,0,3,96,0,5,0,0,0,1,2,0,2,3,351
118,"PRI. SCHOOL TIGRI",413,343,0,756,327,252,0,579,579,0,29,1,78,420,4,17,2,0,1,7,11,1,3,5,579
119,"PRI. SCHOOL BHAVANIPUR ROOM-1",716,637,0,1353,468,399,0,867,867,0,238,3,88,489,6,23,1,0,2,1,3,6,3,4,867
120,"PRI. SCHOOL BHAVANIPUR ROOM-1",281,234,0,515,152,141,0,293,293,0,32,1,70,161,1,19,6,0,0,0,2,0,1,0,293
121,"PRI. SCHOOL JOGIPUR",473,407,0,880,359,315,0,674,674,0,232,8,406,8,1,4,0,2,1,0,4,4,2,2,674
122,"PRI. SCHOOL HINDAULI",717,571,0,1288,444,369,0,813,813,0,469,11,124,167,0,29,0,0,0,1,1,2,1,8,813
123,"PRI. SCHOOL DEHLI",553,454,0,1007,413,346,0,759,759,0,260,3,138,313,4,19,1,0,1,5,8,3,0,4,759
124,"PRI. SCHOOL MO. PUR TANDA",712,562,0,1274,497,406,0,903,903,0,175,19,311,267,1,96,4,0,4,1,4,2,6,13,903
