"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKMAL KHAN URF CHAMAN","2 - DHARMENDRA YADAV","3 - VAGISH PATHAK","4 - AJEET PAL SINGH","5 - ANIL KUMAR SHARMA","6 - PAGLANAND","7 - MADAN LAL","8 - MAHENDRA PAL","9 - REENA","10 - VIRENDRA PAL GUPTA","11 - SANTOSH KUMAR GUPTA SATYMARGI","12 - HEMA MEHRA","13 - ATUL KUMAR","14 - MUNSHI LAL","15 - HAR BHAGWAN","16 - None of the Above","Total Votes Secured"
41,"FAIZGANJ PR. SCHOOL MIRZAPUR BEHTA ROOM NO.-1",831,637,0,1468,440,317,0,757,21,0,21,220,471,9,4,0,3,0,1,0,3,3,8,10,2,2,757
42,"FAIZGANJ PR. SCHOOL MIRZAPUR BEHTA ROOM NO.-2",547,425,0,972,237,170,0,407,108,0,69,244,65,8,0,1,0,2,0,0,1,4,6,2,2,3,407
43,"FAIZGANJ PR. SCHOOL MIRZAPUR BEHTA ROOM NO.-3",782,591,1,1374,272,263,0,535,254,0,37,384,85,2,1,3,1,0,2,2,1,3,2,1,5,6,535
44,"FAIZGANJ JR. HIGH SCHOOL MIRZAPUR BEHTA NORTH PART ROOM NO.-1",744,636,0,1380,417,324,0,741,115,0,337,112,241,16,0,1,0,3,2,2,3,3,5,7,1,8,741
45,"FAIZGANJ JR. HIGH SCHOOL MIRZAPUR BEHTA NORTH PART ROOM NO.-2",480,482,0,962,209,262,0,471,220,0,14,403,49,0,0,0,0,0,0,0,0,0,0,1,1,3,471
46,"FAIZGANJ JR. HIGH SCHOOL MIRZAPUR BEHTA NORTH PART ROOM NO.-3",394,347,0,741,163,197,0,360,360,0,1,349,3,0,1,0,0,0,0,0,1,2,0,0,1,2,360
47,"FAIZGANJ JR. HIGH SCHOOL MIRZAPUR BEHTA SOUTH PART EXTRA ROOM NO.-1",458,381,0,839,178,168,0,346,13,0,146,176,9,0,0,0,0,0,0,0,0,2,0,1,0,12,346
48,"FAIZGANJ JR. HIGH SCHOOL MIRZAPUR BEHTA SOUTH PART EXTRA ROOM NO.-2",394,360,0,754,211,205,0,416,381,0,5,219,185,2,1,0,0,0,1,0,0,0,0,2,1,0,416
49,"GANGOLI PR. SCHOOL ROOM NO.-1",535,427,0,962,335,270,0,605,10,0,33,60,490,2,1,0,0,1,2,0,3,0,4,6,2,1,605
50,"KHEDADAS NAVEEN PR. SCHOOL ROOM NO.-1",566,475,0,1041,351,242,0,593,9,0,79,225,269,4,1,0,1,1,1,3,1,0,3,4,1,0,593
51,"KHEDADAS NAVEEN PR. SCHOOL ROOM NO.-2",728,630,0,1358,463,339,0,802,26,0,209,197,378,2,0,3,0,0,1,1,0,1,1,3,2,4,802
52,"BAJHEDA PR. SCHOOL ROOM NO.-1",510,375,0,885,419,275,0,694,694,0,23,603,61,1,0,0,1,0,0,0,1,0,1,0,2,1,694
53,"TARK PARAULI PR. SCHOOL ROOM NO.-1",528,481,0,1009,371,320,0,691,40,0,80,156,395,7,2,1,0,1,6,3,1,3,11,13,4,8,691
54,"DASPUR PR. SCHOOL ROOM NO.-1",297,236,0,533,210,181,0,391,5,0,133,26,219,1,0,0,0,0,1,0,1,0,2,4,1,3,391
55,"DHANYAWALI PR. SCHOOL ROOM NO.-1",617,500,0,1117,392,280,0,672,200,0,48,477,137,1,2,0,0,1,2,1,0,0,2,1,0,0,672
56,"KHAJURIYA PR. SCHOOL ROOM NO.-1",659,468,0,1127,432,279,0,711,300,0,49,320,323,3,1,0,0,0,2,0,1,2,3,6,0,1,711
57,"JAKHAURA JAUHARPUR PR. SCHOOL ROOM NO.-1",417,355,0,772,329,265,0,594,591,0,177,267,135,2,0,0,0,1,1,0,1,0,1,4,2,3,594
58,"DAWRI PR. SCHOOL ROOM NO.-1",780,629,0,1409,476,348,0,824,400,0,193,226,364,5,3,6,0,0,5,1,1,4,2,5,5,4,824
59,"SAIDSARAY PR. SCHOOL ROOM NO.-1",487,380,0,867,315,255,0,570,100,0,49,475,33,2,1,0,1,0,1,1,1,0,0,1,4,1,570
60,"JAGATUA PR. SCHOOL ROOM NO.-1",267,244,0,511,162,124,0,286,23,0,8,111,160,1,1,0,0,0,2,0,1,1,0,0,1,0,286
61,"JAGAT PEEPRI PR. SCHOOL ROOM NO.-1",756,629,0,1385,453,360,0,813,50,0,226,362,195,4,1,0,1,1,2,0,2,1,3,6,3,6,813
62,"MAHORI PR. SCHOOL ROOM NO.-1",541,439,0,980,412,294,0,706,16,0,36,501,117,2,2,3,0,0,1,1,3,1,6,13,8,12,706
63,"PISANHARI PR. SCHOOL ROOM NO.-1",623,499,0,1122,421,293,0,714,64,0,22,393,276,3,2,2,0,0,1,0,0,0,3,9,3,0,714
64,"MUDIYA PR. SCHOOL ROOM NO.-1",703,601,0,1304,427,346,0,773,373,0,107,177,466,2,2,2,1,0,2,1,0,1,4,4,0,4,773
65,"MUDIYA JANTA INTER COLLEGE ROOM NO.-1",481,425,0,906,272,218,0,490,490,0,10,148,309,4,1,0,0,0,0,1,0,1,1,5,3,7,490
66,"MUDIYA JANTA INTER COLLEGE ROOM NO.-3",311,311,0,622,202,186,0,388,386,0,25,113,213,1,4,1,2,2,7,2,1,0,5,6,1,5,388
67,"MUDIYA JANTA INTER COLLEGE ROOM NO.-2",818,637,0,1455,409,293,0,702,50,0,195,143,323,4,2,0,1,1,1,1,1,5,3,4,9,9,702
68,"SAINDOLA PR. SCHOOL ROOM NO.-1",722,544,0,1266,646,486,0,1132,550,0,7,837,256,8,1,1,0,0,1,1,0,3,1,10,2,4,1132
69,"THIRIYA PR. SCHOOL ROOM NO.-1",293,219,0,512,262,168,0,430,4,0,3,407,11,1,0,0,0,5,0,0,0,0,1,0,1,1,430
70,"NARAUI NARAURA PR. SCHOOL ROOM NO.-1",516,376,0,892,305,243,0,548,8,0,460,75,4,0,0,0,1,0,1,1,0,0,1,0,2,3,548
71,"MOHKAMPUR JR. HIGH SCHOOL ROOM NO.-1",675,509,0,1184,507,362,0,869,734,0,12,754,64,2,1,0,0,11,0,0,0,4,4,0,12,5,869
72,"MANPUR PR. SCHOOL ROOM NO.-1",421,342,0,763,402,265,0,667,110,0,4,609,39,2,0,0,0,0,1,2,0,0,1,2,5,2,667
73,"ASAFPUR TRIVENI SAHAY INTER COLLEGE ROOM NO.-1 SOUTH PART",646,530,0,1176,336,247,0,583,583,0,218,104,235,2,1,1,0,0,3,2,1,0,1,2,3,10,583
74,"ASAFPUR TRIVENI SAHAY INTER COLLEGE ROOM NO.-2 SOUTH PART",712,585,0,1297,474,365,0,839,500,0,17,448,341,4,2,3,0,0,1,1,0,1,2,4,11,4,839
75,"ASAFPUR TRIVENI SAHAY INTER COLLEGE ROOM NO.-1 NORTH PART",710,530,0,1240,370,274,0,644,50,0,32,168,420,5,0,3,2,2,0,0,0,1,6,1,2,2,644
76,"DOONDPUR PR. SCHOOL ROOM NO.-1",592,535,0,1127,274,278,0,552,552,0,179,314,41,1,1,0,0,0,0,1,1,1,4,2,0,7,552
77,"DOONDPUR PR. SCHOOL ROOM NO.-2",434,375,0,809,204,167,0,371,20,0,64,225,74,0,0,0,0,0,1,0,0,1,2,1,1,2,371
78,"HARDASPUR PR. SCHOOL ROOM NO.-1",807,584,0,1391,560,456,0,1016,100,0,23,886,103,1,0,0,0,1,0,0,0,1,0,0,0,1,1016
79,"DAVTHARA PR. SCHOOL ROOM NO.-1",622,566,0,1188,601,468,0,1069,76,0,1,1027,39,2,0,0,0,0,0,0,0,0,0,0,0,0,1069
80,"PURUVAKHEDA PR. SCHOOL ROOM NO.-1",465,390,0,855,285,242,0,527,38,0,135,267,115,0,0,0,0,0,0,1,0,4,3,0,2,0,527
81,"KALRAWALA PR. SCHOOL ROOM NO.-1",513,402,0,915,435,264,0,699,42,0,49,579,67,0,1,0,1,0,0,0,0,1,0,1,0,0,699
82,"SIRSAVAN PR. SCHOOL ROOM NO.-1",542,396,0,938,308,228,0,536,500,0,4,174,328,6,0,2,1,0,1,2,1,2,3,5,1,6,536
83,"BIJAURI PR. SCHOOL ROOM NO.-1",420,364,0,784,253,209,0,462,50,0,155,61,216,0,1,0,0,1,2,1,0,2,9,11,0,3,462
84,"SANGRAMPUR PR. SCHOOL ROOM NO.-1 SOUTH PART",508,380,0,888,381,275,0,656,50,0,11,627,0,1,0,0,1,1,0,0,1,7,0,3,1,3,656
85,"SANGRAMPUR PR. SCHOOL ROOM NO.-3 SOUTH PART",371,397,0,768,344,303,0,647,60,0,10,624,5,1,0,0,0,0,0,0,0,5,1,0,0,1,647
86,"SANGRAMPUR PR. SCHOOL ROOM NO.-2 NORTH PART",483,428,0,911,423,326,0,749,200,0,16,704,11,1,0,0,0,0,2,2,0,7,2,1,0,3,749
87,"SANGRAMPUR JR. HIGH SCHOOL ROOM NO.-1",680,579,0,1259,453,406,0,859,2,0,53,779,6,2,0,1,0,0,0,1,1,1,4,3,3,5,859
88,"LAKSHMIPUR PR. SCHOOL ROOM NO.-1",714,535,0,1249,383,253,0,636,486,0,16,131,446,6,1,2,3,0,3,0,1,2,5,13,1,6,636
89,"LAKSHMIPUR URDU MED. SCHOOL ROOM NO.-1",339,276,0,615,115,103,0,218,50,0,36,170,4,0,0,2,0,0,1,0,0,1,0,1,1,2,218
90,"LAKSHMIPUR URDU MED. SCHOOL ROOM NO.-2",604,446,0,1050,312,244,0,556,55,0,475,47,8,2,0,1,0,0,2,0,1,0,6,2,2,10,556
91,"LAKSHMIPUR PR. SCHOOL ROOM NO.-2",655,536,0,1191,270,244,0,514,450,0,67,434,1,0,1,0,1,1,0,1,2,2,0,2,0,2,514
92,"LAKSHMIPUR JR. HIGH SCHOOL ROOM NO.-1 NORTH PART",760,614,0,1374,283,276,0,559,558,0,95,435,8,1,1,2,0,1,1,0,1,1,1,2,3,7,559
93,"LAKSHMIPUR JR. HIGH SCHOOL ROOM NO.-2 NORTH PART",518,385,0,903,180,175,0,355,26,0,78,269,2,1,0,0,0,0,0,0,0,1,1,1,0,2,355
94,"LAKSHMIPUR JR. HIGH SCHOOL ROOM NO.-3 SOUTH PART",418,335,0,753,193,169,0,362,362,0,29,320,2,0,0,0,0,0,0,0,0,4,0,2,3,2,362
95,"BAVEPUR PR. SCHOOL ROOM NO.-1",430,321,0,751,247,194,0,441,171,0,51,118,252,4,1,1,0,0,0,0,1,1,4,3,3,2,441
96,"NIZAMUDDINPUR SHAH PR. SCHOOL ROOM NO.-1 NORTH PART",721,498,1,1220,358,277,0,635,50,0,142,151,322,4,1,1,0,1,2,0,2,2,1,1,1,4,635
97,"NIZAMUDDINPUR SHAH PR. SCHOOL ROOM NO.-2 NORTH PART",625,463,0,1088,297,213,0,510,510,0,19,111,354,1,1,5,1,1,1,0,0,2,5,3,4,2,510
98,"NIZAMUDDINPUR SHAH PR. SCHOOL ROOM NO.-3 SOUTH PART",462,339,0,801,291,211,0,502,500,0,6,214,241,2,2,1,1,1,2,0,2,2,6,9,8,5,502
99,"SAHAVAR SHAH JR. HIGH SCHOOL ROOM NO.-1",523,437,0,960,328,219,0,547,500,0,11,170,301,2,5,26,0,0,3,2,1,1,6,5,4,10,547
100,"SAHAVAR SHAH JR. HIGH SCHOOL ROOM NO.-2",479,411,0,890,262,223,0,485,400,0,90,112,248,3,1,1,1,1,0,1,3,0,5,8,1,10,485
101,"MALKHANPUR PR. SCHOOL ROOM NO.-1",655,546,0,1201,455,340,0,795,400,0,169,288,309,2,2,2,1,0,1,1,0,2,5,6,3,4,795
102,"RATANPUR PR. SCHOOL ROOM NO.-1",339,266,0,605,194,149,0,343,8,0,194,26,116,1,0,0,0,0,0,0,0,1,0,1,1,3,343
103,"GAHORA PR. SCHOOL ROOM NO.-1",466,353,0,819,368,246,0,614,500,0,5,523,46,1,0,0,1,21,0,0,0,1,3,3,6,4,614
104,"MAUJAMPUR NAVEEN PR. SCHOOL ROOM NO.-1",688,544,0,1232,401,276,0,677,600,0,101,286,273,2,1,0,1,1,1,0,2,1,2,1,2,3,677
105,"KUNADADA PR. SCHOOL ROOM NO.-1",459,361,0,820,319,198,0,517,500,0,3,471,34,0,0,1,0,2,2,0,0,0,0,2,0,2,517
106,"GULADIYA PR. SCHOOL ROOM NO.-1",784,609,0,1393,604,338,0,942,2,0,47,752,138,0,0,0,0,0,1,1,0,0,1,1,1,0,942
107,"GULADIYA PR. SCHOOL ROOM NO.-2",262,219,0,481,207,165,0,372,45,0,50,287,32,0,0,0,0,0,0,0,0,0,0,0,1,2,372
108,"BHAMORI PR. SCHOOL ROOM NO.-1",348,272,0,620,242,193,0,435,400,0,110,87,218,3,0,0,3,0,1,2,1,0,2,3,1,4,435
109,"AMBIYAPUR PR. SCHOOL ROOM NO.-1",376,277,0,653,274,180,0,454,12,0,146,13,288,1,0,1,0,1,0,0,0,0,0,2,0,2,454
110,"JALAALPUR PR. SCHOOL ROOM NO.-1",781,590,0,1371,468,359,0,827,800,0,148,164,468,7,3,10,4,2,1,3,0,3,2,6,2,4,827
111,"GURIYARI PR. SCHOOL ROOM NO.-1",478,369,0,847,346,255,0,601,601,0,65,21,473,0,5,0,1,2,0,0,2,5,9,13,1,4,601
112,"DABTORA PR. SCHOOL ROOM NO.-1",679,568,0,1247,483,321,0,804,40,0,70,467,244,2,3,1,1,1,3,1,0,1,1,2,2,5,804
113,"DABTORA PR. SCHOOL ROOM NO.-2",252,208,0,460,144,115,0,259,200,0,3,55,193,0,1,2,0,0,0,0,1,0,2,1,0,1,259
114,"LALUA NAGLA PR. SCHOOL ROOM NO.-1",541,473,0,1014,366,290,0,656,600,0,36,128,473,0,1,2,0,0,0,1,0,2,3,6,0,4,656
115,"BEEDHANAGLA NAVEEN PR. SCHOOL ROOM NO.-1",362,287,0,649,227,167,0,394,133,0,163,62,151,1,0,0,0,1,2,2,0,0,3,3,1,5,394
116,"BEEDHANAGLA NAVEEN PR. SCHOOL ROOM NO.-2",566,449,0,1015,337,230,0,567,500,0,101,158,276,4,3,1,1,0,5,0,0,1,5,2,3,7,567
117,"DAULATPUR PR. SCHOOL ROOM NO.-1",461,405,0,866,248,197,0,445,400,0,195,69,160,4,2,1,0,0,0,0,1,2,5,0,1,5,445
118,"BHARATPUR JR. HIGH SCHOOL ROOM NO.-1",715,545,0,1260,408,291,0,699,600,0,167,284,232,3,2,0,1,1,0,0,0,0,3,3,0,3,699
119,"BHARATPUR JR. HIGH SCHOOL ROOM NO.-2",516,364,1,881,314,177,0,491,491,0,7,196,266,3,0,2,1,1,1,1,1,2,2,3,5,0,491
120,"MUSIYA NAGLA PR. SCHOOL ROOM NO.-1",620,507,0,1127,355,291,0,646,600,0,278,52,291,5,1,1,0,1,0,0,0,3,3,5,1,5,646
121,"DABTORY JR. HIGH SCHOOL ROOM NO.-1",596,532,0,1128,387,280,0,667,164,0,34,107,486,3,2,2,0,2,2,10,2,0,2,8,3,4,667
122,"DABTORY JR. HIGH SCHOOL ROOM NO.-2",551,444,0,995,353,268,0,621,621,0,300,93,212,1,1,0,0,0,0,2,1,0,2,2,0,7,621
123,"PARSIYA JR. HIGH SCHOOL ROOM NO.-1",920,663,0,1583,563,364,0,927,927,0,16,182,683,4,6,1,2,0,4,1,1,2,8,8,4,5,927
124,"PARSIYA JR. HIGH SCHOOL ROOM NO.-2",759,573,0,1332,456,275,0,731,700,0,154,120,438,4,0,4,0,0,0,0,1,1,2,3,0,4,731
125,"AHROLI PR. SCHOOL ROOM NO.-1",685,516,0,1201,466,320,0,786,10,0,275,316,181,1,0,1,2,0,0,0,0,0,2,2,3,3,786
126,"AADPUR PR. SCHOOL ROOM NO.-1",677,452,0,1129,426,241,0,667,600,0,275,367,17,0,1,0,0,0,0,0,0,0,1,0,2,4,667
127,"AADPUR PR. SCHOOL ROOM NO.-2",391,269,0,660,262,119,0,381,264,0,8,340,23,0,0,2,0,0,0,0,1,4,0,2,0,1,381
128,"PAPGAON PR. SCHOOL ROOM NO.-1",847,646,0,1493,459,272,0,731,31,0,107,304,279,9,4,1,0,0,1,2,2,0,7,4,3,8,731
129,"NABAWPUR PACHTAUR PR. SCHOOL ROOM NO.-1",270,223,0,493,158,154,0,312,51,0,155,4,143,0,2,0,0,0,0,0,0,1,0,5,0,2,312
130,"KARKHEDI PR. SCHOOL ROOM NO.-1",650,474,0,1124,313,273,0,586,22,0,31,274,252,3,1,0,2,1,3,2,1,1,3,5,5,2,586
131,"KARKHEDI PR. SCHOOL ROOM NO.-2",384,293,0,677,247,141,0,388,201,0,5,264,107,2,1,0,0,1,0,1,1,0,0,5,0,1,388
132,"HARRAYPUR PR. SCHOOL ROOM NO.-1",529,399,0,928,327,215,0,542,542,0,5,316,183,3,1,15,1,2,1,1,2,1,4,5,2,0,542
133,"DHARMPUR BIHARIPUR PR. SCHOOL ROOM NO.-1",584,460,0,1044,384,286,0,670,3,0,68,77,496,8,0,0,1,0,2,0,2,4,2,4,1,5,670
134,"CHANDPURA PR. SCHOOL ROOM NO.-1",627,505,0,1132,372,260,0,632,532,0,153,147,312,2,0,2,1,0,2,0,0,4,4,1,2,2,632
135,"KHAJURIYA PR. SCHOOL ROOM NO.-1",485,408,0,893,254,207,0,461,400,0,146,132,155,3,0,4,2,1,1,1,1,0,2,5,1,7,461
136,"KHAJURIYA PR. SCHOOL ROOM NO.-2",489,408,0,897,266,234,0,500,292,0,43,264,123,4,1,33,1,0,5,2,1,1,7,4,10,1,500
137,"DISAULIGANJ PR. SCHOOL ROOM NO.-1",589,482,0,1071,374,308,0,682,3,0,33,302,320,3,0,4,0,0,0,0,2,0,4,5,5,4,682
138,"LADHEDA PR. SCHOOL ROOM NO.-1",412,356,0,768,245,218,0,463,3,0,265,109,65,3,0,13,1,1,3,0,0,0,0,0,0,3,463
139,"MOHAMMADPUR MAI U. M. SCHOOL ROOM NO.-1",793,608,0,1401,390,315,0,705,20,0,51,67,549,6,0,3,1,0,0,0,0,4,5,9,3,7,705
140,"MOHAMMADPUR MAI U. M. SCHOOL ROOM NO.-2",762,596,0,1358,357,272,0,629,600,0,320,87,189,4,3,4,1,0,2,0,2,2,2,4,1,8,629
141,"MUBARIKPUR PR. SCHOOL ROOM NO.-1",207,165,0,372,198,137,0,335,35,0,2,329,3,0,0,0,0,0,0,0,0,0,0,0,1,0,335
142,"PARSERA MAZRA MOHAMMADPUR MAI PR. SCHOOL ROOM NO.-1",546,398,0,944,491,330,0,821,621,0,2,818,1,0,0,0,0,0,0,0,0,0,0,0,0,0,821
143,"SICHAULI PR. SCHOOL ROOM NO.-1",649,390,0,1039,412,199,0,611,547,0,13,345,217,1,2,2,0,0,0,0,2,4,4,16,1,4,611
144,"SICHAULI PR. SCHOOL ROOM NO.-2",342,302,0,644,247,155,0,402,40,0,6,345,45,1,0,0,0,0,0,0,0,4,1,0,0,0,402
145,"BARKHEDA PR. SCHOOL ROOM NO.-1",393,274,0,667,310,211,0,521,500,0,1,498,21,0,0,0,0,0,0,0,0,1,0,0,0,0,521
146,"BASAI PR. SCHOOL ROOM NO.-1",740,595,0,1335,427,354,0,781,700,0,46,73,627,6,3,1,0,0,2,0,1,3,3,9,2,5,781
147,"MALIKPUR MAZRA CHANDPURA NAVEEN PR. SCHOOL ROOM NO.-1",556,427,0,983,394,263,0,657,22,0,17,386,239,2,0,0,0,1,0,1,0,1,1,4,3,2,657
148,"KALUPUR PR. SCHOOL ROOM NO.-1",682,496,0,1178,678,463,0,1141,1141,0,6,1113,19,0,0,0,0,0,0,0,0,1,0,0,1,1,1141
149,"PANAUDI PR. SCHOOL ROOM NO.-1",612,497,0,1109,473,312,0,785,700,0,89,599,92,1,1,0,0,0,0,0,0,1,0,1,1,0,785
150,"PUROHITKHEDA PR. SCHOOL ROOM NO.-1",281,200,0,481,206,131,0,337,300,0,1,307,23,2,0,1,0,0,0,0,0,0,0,1,2,0,337
151,"SAHANPUR PR. SCHOOL ROOM NO.-1",636,471,0,1107,391,270,0,661,600,0,167,238,231,2,4,0,0,0,2,1,0,3,3,2,3,5,661
