"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KESHRI DEVI","2 - NAND GOPAL GUPTA NANDI","3 - SHYAMA CHARAN GUPTA","4 - KUNWAR REWATI RAMAN SINGH ALIAS MANI","5 - MOHD. AMEEN AZHAR ANSARI","6 - ADARSH SHASTRI","7 - GAYTRI PRASAD","8 - CHANDRA PRAKASH TIWARI ALIAS C. P. TIWARI ADVOCATE","9 - NISTHA DEV MAURYA","10 - MAHENDRA KUMAR","11 - SHYAM SUNDAR DAS","12 - RAJENDRA PRASAD","13 - WAHID ALI ALIAS WAJID ALI","14 - SANJAY ROBINSON","15 - AJEET KUMAR","16 - DRAUPADI DEVI","17 - PARMANAND","18 - BRIJESH KUMAR","19 - SHYAM CHARAN","20 - SHIV PRASAD AGRAHARI","21 - SHAILENDRA KUMAR PRAJAPATI","22 - HIRA LAL","23 - HANSRAJ","24 - None of the Above","Total Votes Secured"
11,"PRA0VID0TIKURI P0 BHAG",536,441,1,978,360,329,0,689,689,0,83,97,114,349,7,5,0,3,2,3,1,1,1,1,1,5,0,2,1,7,1,0,4,1,689
12,"ZILA P0PRA0PA0BEDAULI",673,591,0,1264,424,355,0,779,770,0,150,26,322,258,3,4,1,1,4,0,3,0,1,1,0,0,0,0,1,3,0,0,0,1,779
13,"ZILA P0PRA0PA0KHANPUR UTTRI",738,590,0,1328,411,316,0,727,327,0,176,36,258,221,3,5,0,0,1,2,0,0,0,3,2,6,8,0,1,0,0,0,0,5,727
14,"ZILA P0PRA0PA0KHAN PUIRVI BHAG",602,474,0,1076,309,247,0,556,196,0,153,39,152,188,2,2,1,0,1,0,2,2,0,0,1,6,2,0,0,3,0,0,0,2,556
15,"ZILA P.PR.PA.BARI",494,355,0,849,278,216,0,494,494,0,142,16,175,128,1,1,0,0,0,1,0,2,4,2,3,7,2,1,2,3,1,0,1,2,494
16,"ZILA P.PR.PA.GOSAURAKALA",731,589,0,1320,341,244,0,585,585,0,72,24,244,209,5,5,0,1,2,0,3,0,1,1,2,5,1,0,4,4,0,0,0,2,585
17,"ZILA P0PRA0PA0LOHARI MAJRA UPARAUDA UTTRI BHAG",639,540,0,1179,327,229,0,556,556,0,60,20,232,170,2,0,1,29,2,2,1,3,1,2,5,9,4,1,3,3,3,1,0,2,556
18,"ZILA P0PRA0PA0LOHARI MAJRA UPARAUDA UPARHAR-१",688,530,0,1218,364,267,0,631,204,0,23,14,205,334,5,2,0,8,2,0,1,1,2,6,2,10,0,0,2,6,1,1,1,5,631
19,"ZILA P0PRA0PA0LOHARI MAJRA UPARAUDA UPARHAR -2",455,390,1,846,259,192,0,451,451,0,43,5,116,240,7,1,0,0,1,0,1,1,2,4,5,6,5,2,1,4,1,1,3,2,451
20,"ZILA P0PRA0PA0LOHARI MAJRA UPARAUDA UPARHAR BHAG -3",513,405,0,918,266,221,0,487,440,0,13,33,124,261,3,7,0,3,0,0,0,1,2,5,0,3,4,3,8,9,2,0,3,3,487
21,"SADHAN SHKARI SAMITI UPRAUDA",735,673,0,1408,422,352,0,774,764,0,47,40,280,347,6,3,0,1,2,0,1,2,3,7,2,4,5,0,3,13,4,2,2,0,774
22,"ZILA PA0PRA0PA0 BAGHA",648,506,0,1154,365,276,0,641,238,0,111,24,199,266,3,1,0,1,2,1,2,1,2,1,3,5,5,2,3,5,1,1,1,1,641
23,"PRA0VID0AMILIYA KHURD",265,205,0,470,164,139,0,303,26,0,25,52,126,82,0,0,0,0,1,3,1,0,1,5,1,0,2,0,1,2,0,0,0,1,303
24,"ZILA P0PRA0PA0CHAUKI UPARHAR PURVI BHSG",582,418,0,1000,288,209,0,497,16,0,44,16,190,211,1,1,1,2,0,2,1,2,2,1,3,1,1,2,8,4,0,0,1,3,497
25,"ZILA PARISHAD PRA0PA0 CHAUKI UPARHAR PA.BHAG",644,481,0,1125,346,274,0,620,36,0,204,18,175,149,1,3,3,0,1,2,2,1,2,9,5,9,2,1,5,8,3,15,1,1,620
26,"LALA RAM LAL AGARVAL IN0 COLL0 SIRSA PA0BHAG-1",546,432,0,978,285,198,0,483,483,0,6,30,287,149,1,1,0,0,0,0,0,0,0,0,0,3,0,0,3,2,1,0,0,0,483
27,"LALA RAM LAL AGRAVAL IN0COLL0SIRSA PASHCHMI   BHAG -2",505,356,0,861,214,166,0,380,43,0,7,34,192,123,1,2,0,0,0,0,2,1,1,1,2,3,1,0,4,4,0,0,1,1,380
28,"LALA RAM LAL AGRAVAL IN0COLL0SIRSA DH0BHAG-1",737,618,0,1355,348,235,0,583,582,0,203,30,212,104,0,4,1,0,1,3,0,0,0,2,0,7,4,3,3,1,0,0,3,2,583
29,"LALA RAM AGRAVAL IN0COLL SIRSA DH0BHAG -2",285,196,0,481,154,112,0,266,266,0,172,2,33,55,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,266
30,"LALA RAM AGRAVAL IN0COLL SIRSA MDH0BHAG",764,616,0,1380,468,280,0,748,688,0,7,55,392,261,3,12,0,0,0,2,1,3,0,0,0,2,1,0,0,2,0,0,3,4,748
31,"LALA RAM AGRAVAL IN0COLL SIRSA DH0 MADHYBHAG",576,476,0,1052,282,245,0,527,526,0,64,12,138,260,6,3,0,0,0,1,1,4,2,1,6,3,5,1,3,8,0,0,1,8,527
32,"ZILA PA0PRA0PA0SIRSA PURVI BHAG",470,372,0,842,247,157,0,404,11,0,17,16,182,146,5,8,1,1,2,1,1,1,0,1,1,4,3,0,4,6,0,1,2,1,404
33,"ZILA PA0PRA0PA0SIRSA PURVI BHAG -1",429,319,1,749,232,158,0,390,390,0,44,10,93,226,4,4,0,0,0,0,2,0,0,2,0,2,1,0,0,1,0,0,0,1,390
34,"ZILA PA0PRA0PA0SIRSA PSHICHAM BHAG",776,570,0,1346,398,259,0,657,600,0,14,50,354,185,5,4,0,0,0,1,4,1,3,1,1,4,2,1,6,7,5,1,3,5,657
35,"ZILA PA0PRA0PA0CHATVA UPARHAR PURVI BHAG",894,717,0,1611,432,366,0,798,11,0,167,28,327,219,4,3,0,2,3,2,6,3,1,2,2,8,2,1,1,9,1,0,4,3,798
36,"ZILA PA0PRA0PA0CHATVA UPARHAR PASHICHAM BHAG",413,344,0,757,232,138,0,370,370,0,48,4,164,124,4,1,0,1,0,1,2,1,1,3,0,2,0,0,2,7,1,1,2,1,370
37,"ZILA PA.PRA.PA.CHATVA UPARHAR",927,771,0,1698,434,376,0,810,400,0,108,36,131,484,7,6,1,2,1,3,2,2,4,2,2,5,3,0,0,3,3,0,3,2,810
38,"ZILA PA0PRA0PA0 BIJAURA-1",456,375,0,831,254,219,0,473,464,0,54,25,121,234,4,3,2,0,4,0,2,2,3,1,2,4,2,0,0,5,1,3,0,1,473
39,"ZILA PA0PRA0PA0 BIJAURA BHAG-2",473,366,0,839,262,200,0,462,461,0,69,22,182,149,2,3,0,0,1,2,4,2,3,1,3,8,1,1,1,1,0,2,2,3,462
40,"SUBHASH CHANDRA JUNIOR HIGH SCHOOL PAKRI SEVAR UT0BHAG",541,407,0,948,288,211,0,499,499,0,131,18,120,187,5,0,2,0,4,0,0,1,2,3,5,10,3,0,1,4,1,0,0,2,499
41,"SUBHASH CHANDRA JUNIOR HIGH SCHOOL PAKRI SEVAR DH0BHAG",799,631,0,1430,376,348,0,724,2,0,122,34,211,283,6,4,2,0,2,2,3,3,5,7,6,10,4,3,0,7,2,4,2,2,724
42,"ZILA P0PRA0PA0PARANIPUR PURVI BHAG-1",525,457,0,982,294,270,0,564,558,0,44,9,290,188,3,1,0,2,1,1,1,0,3,2,2,2,1,0,0,3,3,2,6,0,564
43,"ZILA P0PRA0PA0PARANIPUR DHKSHINI BHAG",644,466,0,1110,274,184,0,458,458,0,108,14,183,132,6,1,1,0,0,0,1,0,1,1,4,2,1,0,1,1,0,0,0,1,458
44,"ZILA PA0PRA0KANYA PA0PARANIPUR PURVI BHAG",751,585,0,1336,329,305,0,634,332,0,136,20,201,238,9,1,3,0,3,1,3,1,4,2,2,2,3,1,1,1,0,0,2,0,634
45,"ZILA P0PRA0KANYA PA0PRANIPUR PASHICHAMI BHAG",811,650,0,1461,414,331,0,745,286,0,82,25,158,442,9,3,2,0,2,2,1,2,0,2,2,6,1,0,5,1,0,0,0,0,745
46,"ZILA P.PA.PA.BHINGARI",571,419,0,990,262,209,0,471,403,0,119,17,211,88,3,1,0,0,0,1,0,0,1,0,5,5,3,2,4,4,1,0,1,5,471
47,"ZILA P.PR.PA.DOHRIYA N.PART",497,395,0,892,241,186,0,427,427,0,110,30,98,163,0,4,1,0,1,1,2,0,1,0,4,5,1,1,0,1,0,0,1,3,427
48,"ZILA P.PR.PA.DOHRIYA N.MIDLE PART",431,349,0,780,200,155,0,355,77,0,73,19,145,100,4,1,0,4,0,0,1,1,1,1,1,3,0,0,0,0,0,0,0,1,355
49,"ZILA P.PR.PA.DOHRIYA W. PART",638,510,0,1148,365,254,0,619,619,0,299,10,152,139,0,1,0,1,0,0,1,1,0,1,1,8,2,0,2,1,0,0,0,0,619
50,"ZILA P.PR.PA.MISHRAPUR E.PART",660,544,0,1204,389,335,0,724,610,0,177,10,155,325,6,8,0,0,1,4,0,0,5,1,7,6,4,0,1,2,2,1,4,5,724
51,"ZILA P.PR.PA. W.PART",522,423,0,945,294,254,0,548,548,0,268,12,128,104,1,5,2,1,3,0,1,0,0,2,0,5,7,1,1,1,0,2,2,2,548
52,"ZILA P.PR.PA.DEVHATA",504,428,0,932,325,276,0,601,598,0,124,10,96,317,5,1,0,2,1,2,1,0,6,0,2,20,4,0,3,1,1,1,2,2,601
53,"ZILA P.PR.PA.TARWAEE EAST PART",444,383,0,827,235,212,0,447,392,0,177,6,47,187,0,4,0,1,0,0,1,0,1,3,1,9,4,1,1,0,1,0,1,2,447
54,"ZILAP.PR.PA.TARWAEE W.PART",437,400,0,837,256,253,0,509,3,0,335,8,32,94,1,0,0,0,1,1,0,0,0,0,2,10,18,0,0,4,0,0,0,3,509
55,"ZILA PR.J.HIGH SCHOOL BIGAHANI",468,363,0,831,275,236,0,511,282,0,92,18,236,136,0,6,0,0,0,5,0,0,2,1,0,6,3,0,0,4,1,0,1,0,511
56,"ZILA PR.PA.PA.BIGAHANA",410,311,0,721,273,199,0,472,404,0,87,13,156,190,1,1,0,2,1,1,0,2,0,1,2,6,1,0,0,2,0,0,1,5,472
57,"PRA.VIDALAY SIGATI",548,500,0,1048,286,254,0,540,540,0,119,24,153,226,5,2,1,0,0,2,0,0,0,2,0,2,2,0,0,2,0,0,0,0,540
58,"ZILA P.PR.PA.SAMOGRA",843,663,0,1506,439,370,0,809,809,0,342,18,205,165,2,2,2,0,3,4,5,4,2,5,8,15,6,0,5,2,1,2,0,11,809
59,"ZILA P.PR.PA.NAYA BHAWAN RAMNAGAR E.PART-1",404,335,0,739,192,150,0,342,342,0,13,22,93,203,1,2,0,0,2,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,342
60,"ZILA P,PR.PA.NAYA BHAWAN RAMNAGAR E.PART-2",298,238,0,536,192,144,0,336,315,0,31,21,98,167,5,0,1,1,1,0,0,1,1,1,0,2,1,0,2,0,1,1,0,1,336
61,"SHARI KRSHAN SANSKRIT  PA.KHADRAHN KA PURA RAM NAGR -1",718,574,0,1292,389,318,0,707,477,0,221,32,223,140,5,1,1,1,11,5,3,1,4,6,11,13,9,1,6,5,1,2,2,3,707
62,"SHARI KRSHAN SANSKRIT  PA.KHADRAHN KA PURA RAM NAGR -2",745,586,0,1331,387,276,0,663,613,0,147,69,172,230,0,4,2,0,0,1,1,0,2,5,3,13,2,2,0,2,0,0,2,6,663
63,"ZILA PA0PRA0KANYA PA0PURANA BHAVAN RAM NAGR  PURVI BHAG",698,551,0,1249,367,277,0,644,176,0,46,33,299,238,5,1,1,0,3,1,0,1,0,1,1,1,1,1,1,6,1,1,2,0,644
64,"PANCKAYT BHAVAN RAM NAGR PURVI BHAG -1",487,380,0,867,270,232,0,502,433,0,251,10,123,86,1,0,0,0,0,0,1,0,2,2,3,11,5,0,0,3,1,2,1,0,502
65,"PANCHAYT BHAVAN RAM NAGR PURVI BHAG -2",448,377,0,825,226,190,0,416,397,0,80,9,130,163,4,1,0,0,1,1,2,0,2,5,2,0,3,0,4,5,1,2,0,1,416
66,"PANCHAYT BHAVAN RAMNAGR PURVI BHAG-3",335,259,0,594,143,87,0,230,169,0,49,12,82,68,0,0,0,2,4,0,0,1,1,1,1,3,0,0,1,2,0,1,0,2,230
67,"PRA,VIDALAY GONDAURA",869,661,0,1530,474,362,0,836,624,0,185,15,433,131,3,4,2,1,4,0,3,4,5,6,8,13,3,0,6,2,2,2,0,4,836
68,"ZILA P.PR.PA.PATTINATHRAY UTTRI.BHAG-1",651,509,0,1160,299,272,0,571,571,0,172,23,174,180,1,2,0,0,1,0,0,0,2,2,0,7,1,0,1,1,0,0,0,4,571
69,"ZILA P.PR.PA,PATTINATHRAY UTTRI.BHAG-2",414,360,0,774,227,183,0,410,341,0,187,19,26,158,0,1,2,1,0,2,0,0,0,0,1,3,5,1,1,0,1,0,0,2,410
70,"ZILA PA.PRA.PA. PATTNATH RAY DH0BHAG",480,389,0,869,284,226,0,510,510,0,167,18,125,177,4,1,0,1,4,1,0,0,0,0,2,3,1,0,1,1,0,1,2,1,510
71,PR.PA.SONVARSA,490,403,0,893,315,255,0,570,568,0,220,7,19,213,4,2,0,0,3,55,2,2,2,0,5,9,7,0,2,8,3,1,0,6,570
72,"ZILA P.PR.PA.NIBAIA NARTH BHAG",763,647,0,1410,426,308,0,734,734,0,216,58,281,133,3,1,0,1,1,2,3,1,0,1,4,6,4,2,3,7,0,1,3,3,734
73,"ZILA P.PR,PA.NIBAIA S.PART",434,341,0,775,236,160,0,396,140,0,261,16,70,15,1,1,0,1,3,2,1,1,2,2,1,16,0,0,1,1,0,1,0,0,396
74,"ZILA P.PR.PA.MAWAIYA",325,253,0,578,172,138,0,310,261,0,41,9,110,138,1,0,0,0,0,1,0,0,0,0,2,1,1,0,2,2,0,1,0,1,310
75,"ZILAP.PR.PA.BAKCHUNDA W.PART",584,476,0,1060,356,332,0,688,686,0,206,19,116,308,7,6,0,1,0,0,1,0,0,1,5,4,4,0,3,2,5,0,0,0,688
76,"ZILAP.PR.PA.BAKCHUNDA E.PART",690,508,0,1198,395,297,0,692,432,0,372,17,107,165,6,0,1,2,7,0,1,0,0,2,1,5,1,0,1,1,0,0,3,0,692
77,"BADRI NATH TAWARI INTER COLLEJE MEJA ROAD",626,412,0,1038,421,236,0,657,637,0,167,44,246,180,0,5,0,0,2,0,0,0,0,2,3,4,1,0,1,2,0,0,0,0,657
78,"ZILA P.PR.PA.MEJAROAD W.PART",780,592,0,1372,423,312,0,735,735,0,23,21,427,235,5,3,1,0,1,2,1,0,0,1,3,3,0,0,4,1,1,0,2,1,735
79,"ZILA P. PR. PA.MEJAROAD W.MADHA PART-1",543,440,0,983,313,231,0,544,87,0,263,18,123,98,4,3,0,1,3,2,0,2,0,1,2,12,4,2,0,4,2,0,0,0,544
80,"ZILAP.PR.PA.MEJAROAD W.MADHYA PART-2",463,345,0,808,237,167,0,404,282,0,23,15,254,78,1,2,0,0,0,0,1,3,4,1,1,10,0,1,2,4,0,0,1,3,404
81,"ZILA P.PR.PA.LAKHANPUR",460,372,0,832,273,223,0,496,164,0,40,17,258,166,4,2,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,2,496
82,"NAND KISHOR IN0COLL0LOAHGAURA NAGAR OURVI BHAG",863,667,0,1530,430,370,0,800,79,0,210,111,183,235,4,6,1,0,2,2,3,1,2,2,7,16,5,2,1,0,0,0,3,4,800
83,"PRA0VID0VISAHIJAN KHURD",665,484,0,1149,372,266,0,638,638,0,171,8,230,187,2,1,0,1,2,3,4,4,5,3,1,6,2,0,1,5,0,0,0,2,638
84,"MHABAL SINGH IN0COLL0LEHDI PASHICHAMI BHAG-1",437,379,0,816,240,215,0,455,308,0,192,11,64,148,2,12,1,1,0,2,0,1,1,0,1,10,0,3,1,3,0,0,0,2,455
85,"MHABAL SINGH IN0COLL0LEHADI PSHISHAMI BHAG -2",444,317,0,761,219,186,0,405,405,0,80,13,90,206,2,1,0,0,2,0,0,0,1,1,0,3,1,1,0,1,1,0,2,0,405
86,"MHABAL SINGH IN0COLL0LEHADI PURVI BHAG",717,537,0,1254,363,316,0,679,672,0,128,24,206,267,3,4,1,1,2,0,0,2,1,0,2,3,3,2,6,12,0,0,6,6,679
87,"JUNIOR HIGH SCHOOL KOTHA PURVI BHAG",597,469,0,1066,277,226,0,503,72,0,112,12,211,144,0,6,0,0,0,1,0,0,0,3,2,6,1,0,0,1,0,1,1,2,503
88,"JUNIOR HIGH SCHOOL KOTHA PASHICHAMI BHAG",643,510,0,1153,285,227,0,512,112,0,110,26,165,180,1,13,1,0,0,0,1,0,2,1,2,3,2,0,1,1,1,0,0,2,512
89,"ZILAP.PR.PA.URWA W.PART",555,462,0,1017,350,276,0,626,21,0,210,11,204,163,0,0,1,2,2,4,1,1,1,4,2,5,4,0,2,1,1,0,3,4,626
90,"ZILA P.PR.PA.URUWA E.PART",654,557,0,1211,426,337,0,763,62,0,322,20,175,195,3,0,0,1,1,2,1,2,3,0,3,11,8,1,1,5,2,1,3,3,763
91,"ZILA P.PR.PA.AMILIYAKALA E.PART",785,621,0,1406,418,284,0,702,311,0,203,41,218,205,2,3,1,1,0,0,1,0,1,3,3,9,2,0,0,3,3,0,1,2,702
92,"ZILA P.PR.PA.AMILIAKALA W.PART",767,656,0,1423,388,343,0,731,731,0,280,31,107,246,8,9,1,0,0,0,1,2,0,4,5,19,7,1,2,2,2,0,1,3,731
93,"JUNIOR HIGH SCHOOL AMILIAKALA",794,639,0,1433,391,280,0,671,50,0,40,34,343,224,3,4,1,1,3,1,0,0,2,2,2,3,0,1,0,3,1,0,2,1,671
94,"ZILA P.PR.PA.SONAI N.PART",506,464,1,971,346,286,0,632,16,0,187,10,153,252,2,1,0,1,1,0,2,0,2,0,4,9,2,0,1,0,0,0,1,4,632
95,"ZILAP.PR.PA.SONAI SOUTH PART",838,658,1,1497,436,396,0,832,498,0,284,10,292,211,1,2,1,0,1,0,3,1,1,6,4,9,1,1,2,0,0,0,0,2,832
96,"ZILA PA.PRA.PA. MONAI PURVI BHAG",829,656,0,1485,500,386,0,886,883,0,396,19,254,179,3,2,0,0,2,0,1,3,1,0,4,12,5,0,1,1,0,0,2,1,886
97,"ZILA P.PR.PA.MONAI W.PART",677,566,0,1243,370,214,0,584,581,0,72,18,149,307,6,7,0,1,2,3,4,3,1,2,2,1,2,0,1,0,0,1,1,1,584
98,"ZILA P.PR.PA.MONAI NYA BHAVN",370,282,0,652,178,132,0,310,304,0,86,10,69,133,0,3,0,1,0,0,0,0,1,0,1,2,2,0,0,2,0,0,0,0,310
99,"ZILA P.PR.PA.CHAUKATHA NARVAR UPARHAR",505,417,0,922,265,219,0,484,482,0,131,19,191,122,0,1,0,0,0,2,3,0,2,0,2,3,0,0,1,3,0,0,1,3,484
100,"ZILA P.INTER COLLEJ AUTA",429,364,0,793,262,186,0,448,300,0,3,6,86,343,1,0,0,0,0,1,0,0,1,0,0,3,0,1,0,0,1,0,0,2,448
101,"PRA0VID0CHORABNA (AUATA)",433,350,0,783,320,220,0,540,235,0,118,4,97,301,3,3,0,1,0,1,0,1,0,1,1,7,1,0,0,1,0,0,0,0,540
102,PRA0VID0CHORABNA,534,405,0,939,317,186,0,503,317,0,48,8,207,187,5,2,0,3,0,0,4,2,1,1,2,6,2,1,2,16,0,1,1,4,503
103,"UCHACHTAR MA0KANYA VID0ATRAULA",515,365,0,880,244,207,0,451,430,0,175,11,94,136,1,0,0,1,3,0,1,1,3,1,2,11,4,0,0,3,0,2,1,1,451
104,"UCHACHTAR MA0KANYA VID0ATJAULA",489,380,0,869,239,197,0,436,426,0,173,5,54,147,1,2,0,1,4,2,1,3,6,4,7,16,1,0,0,2,1,1,2,3,436
105,PRA0VID0SINGARO,835,662,0,1497,583,382,0,965,88,0,173,7,165,600,2,0,0,0,0,0,0,1,3,3,4,5,1,0,0,0,0,0,0,1,965
106,"ZILA P0PRA0PA0 AKODHA PURAVI BHAG",810,669,0,1479,461,400,0,861,861,0,301,40,186,278,2,4,0,2,2,2,0,2,0,4,5,11,7,0,3,4,1,0,3,4,861
107,"ZILA P0PRA0PA0 AKODHA PASHICHAM BHAG",588,473,0,1061,334,306,0,640,453,0,323,9,116,162,3,1,0,0,1,0,2,1,1,1,0,4,8,1,0,2,1,0,1,3,640
108,"ZILA P0PRA0PA0 UACHDIH UTTRI BHAG",510,413,0,923,259,179,0,438,261,0,43,6,145,228,1,0,1,0,0,0,0,1,1,0,2,2,0,0,0,3,0,2,0,3,438
109,"ZILA P0PRA0PA0 UACHDIH UTTRI BHAG -1",623,456,0,1079,288,219,0,507,499,0,114,9,172,186,6,0,0,1,0,0,0,0,1,4,2,7,2,0,0,2,0,0,1,0,507
110,"ZILA P0PRA0PA0 NAYA BHVAN UACHDIH DACHDINI BHAG",863,709,0,1572,476,375,0,851,327,0,311,25,155,320,3,1,1,1,1,1,1,2,3,4,2,11,2,0,0,2,2,0,1,2,851
111,"ZILA P0PRA0PA0 UACHDIH PASHICHAMI BHAG",653,541,0,1194,450,382,0,832,590,0,49,67,327,351,9,2,0,1,1,1,4,0,3,2,1,6,0,0,1,3,0,0,1,3,832
112,"ZILA P0PRA0PA0 CHAUKTHA GAURA",477,341,0,818,303,224,0,527,525,0,83,3,211,207,4,2,0,0,1,1,5,0,3,0,0,0,0,0,0,6,0,1,0,0,527
113,"ZILA P0PRA0PA0 KEVTAHI",280,234,0,514,171,146,0,317,317,0,144,15,48,97,2,0,0,0,1,2,1,0,2,0,0,2,2,0,1,0,0,0,0,0,317
114,"ZILA P0PRA0PA0 NIBI UTTRI BHAG",642,488,0,1130,377,268,0,645,645,0,176,50,362,36,2,2,0,1,1,1,1,0,0,3,1,4,2,0,1,1,0,1,0,0,645
115,"ZILA P0PRA0PA0 NIBI DHADCHINI BHAG",367,246,0,613,155,115,0,270,270,0,71,16,29,133,2,1,0,0,0,0,1,0,2,1,1,2,2,1,0,4,0,0,4,0,270
116,"PURV UCHACHTR MA.VI.VARVA UTTRI BHAG",454,388,0,842,250,230,0,480,480,0,36,39,280,107,0,2,0,0,0,1,1,1,0,3,1,1,1,0,5,0,1,1,0,0,480
117,"PURV UCHACHTR MA.VI.VARVA DH. BHAG",517,440,0,957,295,296,0,591,591,0,182,9,174,198,0,3,0,0,1,0,1,3,2,3,0,7,5,0,0,0,0,1,0,2,591
118,PRA0PA0BILAUNPUR,386,299,0,685,241,183,0,424,424,0,147,9,133,115,1,1,0,1,1,1,0,0,2,0,2,5,3,0,1,0,0,1,0,1,424
119,"ZILA P0PRA0PA0 ATKHARIYA",428,339,0,767,200,237,0,437,437,0,18,43,225,120,2,3,0,0,2,5,1,3,3,5,2,1,1,0,1,1,0,0,0,1,437
120,"ZILA P0PRA0PA0 CHAUKHTA TIVARIYAN",357,294,0,651,189,202,0,391,12,0,137,22,128,84,1,0,0,0,1,1,0,1,1,2,3,8,0,1,0,0,0,0,0,1,391
121,"INTAR COLLEG SHUKULPUR-1",504,399,0,903,200,162,0,362,199,0,8,5,230,101,0,1,0,1,0,0,0,1,1,1,0,2,1,0,7,2,1,0,0,0,362
122,"INTAR COLLLEG SHUKULAPUR -2",481,327,0,808,210,157,0,367,200,0,4,16,207,118,2,1,0,0,0,0,0,1,0,3,0,0,2,0,9,2,1,0,0,1,367
123,"ZILA P0PRA0PA0 CHILAVILA -1",428,332,0,760,215,190,0,405,295,0,3,31,186,164,2,2,0,0,0,1,0,0,5,2,0,3,0,0,3,2,0,0,1,0,405
124,"ZILA P0PRA0PA0 CHILAVILA -2",472,383,0,855,256,232,0,488,9,0,235,34,98,97,0,2,0,0,2,3,0,0,1,0,0,6,3,1,2,2,0,0,0,2,488
125,"ZILA P0PRA0PA0 UARNAH",562,446,0,1008,252,238,0,490,293,0,65,19,192,186,5,2,0,1,1,0,0,1,2,2,2,4,2,0,1,2,0,0,1,2,490
126,"ZILA P0PRA0PA0 BHUIPARA",712,606,0,1318,459,411,0,870,293,0,208,5,44,583,2,0,0,0,1,0,0,1,2,0,0,5,11,0,3,2,0,0,1,2,870
