"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASTBHUJA PRASAD TRIPATHI","2 - ADITYANATH","3 - RAJMATI NISHAD","4 - RAM BHUAL NISHAD","5 - INDRA DEO YADAVA","6 - FAIZ AHAMAD FAIZI","7 - MUNNA","8 - RAJIT MISHRA","9 - RAJESH","10 - RADHE MOHAN MISRA","11 - MOHD. WASEEM KHAN","12 - SUBASH KUMAR MAURYA","13 - ACHHE LAL GUPTA","14 - ASHOK","15 - RAMKISHUN","16 - None of the Above","Total Votes Secured"
56,P.VID.JAN.MATADIN.GHOSHIPURVA.GKP,612,446,0,1058,242,196,0,438,421,0,42,270,67,47,0,3,0,0,0,5,0,0,0,1,0,3,438
57,"SEKRED HART.INT.COLL.JAN.MATADIN",641,502,2,1145,317,230,0,547,386,0,42,366,82,37,1,4,0,0,0,8,0,0,1,1,0,5,547
58,"SEKRED HART.INT.COLL.JAN.MATADIN",636,487,1,1124,304,248,0,552,54,0,41,370,83,32,1,0,0,0,1,20,0,0,1,0,1,2,552
59,"SEKRED HART.INT.COLL.JAN.MATADIN",675,483,0,1158,353,269,0,622,601,0,27,455,83,34,3,1,0,0,0,12,0,1,2,0,1,3,622
60,"SEKRED HART.INT.COLL.JAN.MATADIN",588,488,0,1076,307,228,0,535,532,0,16,400,60,32,1,0,2,0,0,5,1,2,1,6,4,5,535
61,"P.VID.JAN.TULSIRAM ROOM.NO.01",794,637,0,1431,398,293,0,691,172,0,35,373,132,129,1,1,3,0,0,12,0,0,0,0,1,4,691
62,"P.VID.JAN.TULSIRAM ROOM.NO.02",725,585,0,1310,385,286,0,671,611,0,45,241,95,268,0,2,0,1,1,5,3,0,3,1,2,4,671
63,"P.VID.JAN.TULSIRAM ROOM.NO.03",837,647,2,1486,456,331,0,787,151,0,54,240,185,253,3,2,9,2,1,20,1,3,4,4,2,4,787
64,"DIVINE PUB.SCH.GKP",870,671,0,1541,509,305,0,814,602,0,52,370,174,184,0,1,2,0,1,12,1,1,4,1,2,9,814
65,"DIVINE PUB.SCH.GKP",559,464,0,1023,327,238,0,565,308,0,32,307,72,127,0,1,1,0,0,12,1,1,5,0,1,5,565
66,"DIVINE PUB.SCH.GKP",627,474,0,1101,321,260,0,581,101,0,31,331,100,93,0,1,3,0,3,8,0,1,1,0,2,7,581
67,"DIVINE PUB.SCH.GKP",501,380,1,882,271,214,0,485,402,0,19,274,48,121,3,2,0,0,0,11,0,2,0,0,2,3,485
68,"DIVINE PUB.SCH.GKP",583,491,0,1074,354,262,0,616,519,0,24,439,81,36,1,0,0,0,0,26,0,2,2,0,2,3,616
69,"SARAVHITKARI KANYA INT.COLL.BICHHIYA .JAN.TULSIRAM",809,643,0,1452,432,368,0,800,87,0,34,600,85,46,1,1,0,1,0,19,2,0,0,4,1,6,800
70,"SARAVHITKARI KANYA INT.COLL.BICHHIYA .JAN.TULSIRAM",644,495,1,1140,326,260,0,586,258,0,33,387,98,38,1,0,0,0,2,15,1,0,3,4,0,4,586
71,"SARAVHITKARI KANYA INT.COLL.BICHHIYA .JAN.TULSIRAM",558,448,0,1006,268,235,0,503,364,0,13,368,58,47,0,1,0,0,0,12,0,0,1,1,1,1,503
72,"RAMAWADH .JAISWAL.KA.VID.SHAHPUR.GEETAVITKA ROOM.NO.1",470,395,0,865,263,192,0,455,455,0,27,303,84,21,0,0,0,1,1,12,0,0,0,2,1,3,455
73,"RAMAWADH .JAISWAL.KA.VID.SHAHPUR.GEETAVITKA ROOM.NO.2",227,204,0,431,131,126,0,257,226,0,20,141,80,6,0,0,0,0,0,6,1,0,1,0,0,2,257
74,"RAMAWADH .JAISWAL.KA.VID.SHAHPUR.GEETAVITKA ROOM.NO.3",669,548,0,1217,379,280,0,659,641,0,47,441,64,77,1,0,2,1,0,10,4,2,2,3,1,4,659
75,"RAMAWADH .JAISWAL.KA.VID.SHAHPUR.GEETAVITKA ROOM.NO.4",580,535,0,1115,292,260,0,552,6,0,35,456,23,10,2,0,0,0,0,18,0,0,1,1,1,5,552
76,"RAMAWADH .JAISWAL.KA.VID.SHAHPUR.GEETAVITKA ROOM.NO.5",373,343,0,716,153,125,0,278,221,0,20,215,21,1,0,1,0,0,0,18,1,0,0,0,0,1,278
77,"RAMAWADH .JAISWAL.KA.VID.SHAHPUR.GEETAVITKA ROOM.NO.6",273,197,0,470,129,77,0,206,185,0,11,171,10,8,0,0,0,0,0,6,0,0,0,0,0,0,206
78,"RAMAWADH .JAISWAL.KA.VID.SHAHPUR.GEETAVITKA ROOM.NO.7",516,481,0,997,247,202,0,449,59,0,34,292,76,28,0,0,0,0,0,11,0,1,2,2,1,2,449
79,"RAMAWADH .JAISWAL.KA.VID.SHAHPUR.GEETAVITKA ROOM.NO.8",384,368,0,752,196,175,0,371,26,0,28,273,40,11,1,1,0,0,0,15,0,0,0,0,1,1,371
80,"ABHAYNANDAN INT.COLL.BEDIYAGADH ROOM.NO.1",357,324,0,681,142,141,0,283,17,0,19,194,44,9,0,0,0,0,0,17,0,0,0,0,0,0,283
81,"ABHAYNANDAN INT.COLL.BEDIYAGADH ROOM.NO.2",525,433,0,958,257,231,0,488,431,0,31,367,37,25,0,1,0,0,0,17,5,1,1,0,0,3,488
82,"ABHAYNANDAN INT.COLL.BEDIYAGADH ROOM.NO.3",513,426,0,939,244,203,0,447,298,0,29,353,14,29,0,1,0,0,0,14,1,1,0,0,0,5,447
83,"ABHAYNANDAN INT.COLL.BEDIYAGADH ROOM.NO.4",343,284,0,627,164,126,0,290,251,0,16,251,8,8,0,0,0,0,0,6,0,0,0,0,0,1,290
84,"ABHAYNANDAN INT.COLL.BEDIYAGADH ROOM.NO.5",633,579,0,1212,305,282,0,587,405,0,35,458,19,45,0,0,0,0,0,20,0,0,1,1,2,6,587
85,"ABHAYNANDAN INT.COLL.BEDIYAGADH ROOM.NO.6",634,523,0,1157,292,223,0,515,130,0,28,404,30,17,0,1,5,0,0,19,0,1,0,0,0,10,515
86,"ABHAYNANDAN INT.COLL.BEDIYAGADH ROOM.NO.7",668,517,0,1185,360,271,0,631,562,0,31,100,420,58,0,0,1,1,0,11,1,3,3,1,1,0,631
87,"ABHAYNANDAN INT.COLL.BEDIYAGADH ROOM.NO.8",468,356,0,824,264,162,0,426,375,0,15,51,341,5,0,0,0,0,0,8,0,0,3,2,0,1,426
88,"ABHAYNANDAN INT.COLL.BEDIYAGADH ROOM.NO.9",454,378,0,832,247,181,0,428,363,0,35,267,108,6,0,0,0,0,0,9,0,0,1,0,0,2,428
89,"ABHAYNANDAN INT.COLL.BEDIYAGADH ROOM.NO.10",378,322,1,701,166,139,0,305,204,0,18,239,28,12,0,0,0,0,1,4,0,1,1,1,0,0,305
90,"ABHAYNANDAN INT.COLL.BEDIYAGADH ROOM.NO.11",769,591,1,1361,340,305,0,645,265,0,21,545,43,7,1,0,0,0,0,19,0,1,2,1,2,3,645
91,"ABHAYNANDAN INT.COLL.BEDIYAGADH ROOM.NO.12",283,239,0,522,146,114,0,260,255,0,45,174,15,6,0,1,0,1,0,13,0,0,0,0,0,5,260
92,"ABHAYNANDAN INT.COLL.BEDIYAGADH ROOM.NO.13",341,267,0,608,176,128,0,304,33,0,19,257,8,0,0,0,0,0,0,11,0,0,0,0,1,8,304
93,"ABHAYNANDAN INT.COLL.BEDIYAGADH ROOM.NO.14",922,791,1,1714,425,337,0,762,257,0,67,588,44,25,0,0,0,0,1,32,0,0,0,1,0,4,762
94,"BHAGAUTI PD.KANYA.INT.COLL.GORAKHPUR.ROOM.NO.1",792,619,0,1411,331,233,0,564,154,0,15,356,149,34,1,2,0,0,0,3,3,0,0,0,1,0,564
95,"BHAGAUTI PD.KANYA.INT.COLL.GORAKHPUR.ROOM.NO.2",253,221,0,474,104,73,0,177,177,0,5,119,42,1,0,0,0,0,1,8,0,0,1,0,0,0,177
