"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JAYA PRADA NAHATA","2 - KUNWAR BHARTENDRA","3 - MALOOK NAGAR","4 - SHAHNAWAZ RANA","5 - UDAY ALIES UDAYVEER","6 - GAURAV","7 - PARVEZ AQIL","8 - MOHAMAD ADEEB","9 - MOHAMMAD MOOSA","10 - UMESH ALIES PANI","11 - KAMAL","12 - GAJRESH KUMAR","13 - None of the Above","Total Votes Secured"
16,"J.H. SCHOOL AKBARPUR ROOM-2",407,301,0,708,234,202,0,436,260,0,1,76,63,170,2,1,0,1,119,3,0,0,0,436
17,"J.H. SCHOOL AKBARPUR ROOM-3",454,339,0,793,295,250,0,545,492,0,3,67,18,346,6,1,0,0,98,2,2,1,1,545
18,"DAYANEND J.I. COLLEGE HEEMPUR DEEPA",374,358,0,732,258,261,0,519,519,0,17,301,139,50,1,1,0,1,2,3,1,2,1,519
19,"P.V. SIKRONDHA ROOM-1",703,660,0,1363,510,448,0,958,829,0,128,457,286,57,1,2,0,2,3,1,5,8,8,958
20,"P.V. SIKRONDHA ROOM-2",325,289,0,614,226,186,0,412,411,0,19,124,218,45,1,0,0,0,0,1,1,1,2,412
21,"P.V. TUNGRI",862,769,1,1632,510,495,0,1005,711,0,216,296,408,56,2,0,0,0,6,5,4,5,7,1005
22,"P.V. RATANPUR KUHRD",656,567,0,1223,473,421,0,894,888,0,45,464,254,115,3,3,1,1,2,2,1,1,2,894
23,"PANCHAYATGHAR AJUPURA JAT",278,259,0,537,256,216,0,472,450,0,13,336,119,0,0,1,0,0,0,1,0,1,1,472
24,"P.V. RAVTI ROOM- 1",432,391,0,823,307,267,0,574,570,0,27,366,120,41,1,0,2,1,2,5,2,2,5,574
25,"P.V. RAVTI ROOM- 2",557,491,0,1048,428,383,0,811,807,0,57,325,369,47,2,1,0,0,4,2,3,1,0,811
26,"P.V. MUDHAL ROOM-1",571,549,0,1120,414,388,0,802,491,0,12,366,355,35,1,1,0,0,12,1,2,9,8,802
27,"P.V. MUBAREKPUR ROOM-1",412,340,0,752,312,271,0,583,524,0,11,213,323,13,2,0,0,1,1,3,4,5,7,583
28,"P.V. MUBAREKPUR ROOM-2",533,418,0,951,354,279,0,633,618,0,32,487,63,27,5,1,0,1,0,7,3,2,5,633
29,"P.V. MANOTTA",478,406,0,884,372,319,0,691,691,0,6,548,114,6,0,1,1,0,0,1,2,6,6,691
30,"P.V. BARKHADA",540,450,0,990,337,313,0,650,640,0,10,140,275,197,7,1,0,4,2,6,3,4,1,650
31,"P.V, MO.PUR KHADER",272,211,0,483,206,159,0,365,363,0,2,194,162,1,0,0,0,1,1,0,0,0,4,365
32,"P.V. PADLA",347,306,0,653,290,270,0,560,556,0,2,156,74,310,3,0,0,2,2,6,1,0,4,560
33,"P.V. AJDEV ROOM-1",420,392,0,812,309,279,0,588,588,0,2,234,214,127,1,1,0,0,1,2,4,1,1,588
34,"P.V. AJDEV ROOM-2",474,437,0,911,340,300,0,640,430,0,4,106,104,419,3,1,0,0,2,0,0,0,1,640
35,"P.V. AJDEV ROOM-3",660,487,0,1147,474,384,0,858,674,0,1,82,25,743,3,0,0,1,0,1,0,1,1,858
36,"K.C.CENTER KHANPUR KHADER ROOM-1",385,342,0,727,301,265,0,566,566,0,1,235,179,134,0,8,0,0,0,4,2,0,3,566
37,"K.C.CENTER KHANPUR KHADER ROOM-2",145,137,0,282,98,75,0,173,173,0,3,145,0,23,0,0,0,0,0,0,0,2,0,173
38,"C.BA.SCHOOL KHANPUR KHADER ROOM 1",528,473,0,1001,367,349,0,716,715,0,38,245,318,93,0,2,1,2,1,3,2,1,10,716
39,"C.BA.SCHOOL KHANPUR KHADER ROOM 2",372,333,0,705,274,235,0,509,484,0,10,363,24,96,1,1,0,1,1,5,0,3,4,509
40,"P.V. TAKHATPUR",250,227,0,477,195,183,0,378,360,0,6,305,54,0,0,0,0,0,0,2,1,6,4,378
41,"P.V. JAMALLUDEENPUR",679,622,0,1301,526,494,0,1020,1005,0,2,480,498,11,1,1,3,2,1,6,3,1,11,1020
42,"P.V. DATTYANA ROOM-1",563,463,0,1026,397,346,0,743,710,0,4,89,466,160,2,0,0,1,2,3,3,2,11,743
43,"P.V. DATTYANA ROOM-2",350,325,0,675,187,190,0,377,376,0,2,215,25,125,0,0,0,0,0,1,3,1,5,377
44,"PANCHAYATGHAR  DATTYANA",367,286,0,653,305,213,0,518,478,0,3,491,9,1,1,0,0,1,1,1,2,4,4,518
45,"P.V SHUJATPUR KHADER",320,314,0,634,271,241,0,512,507,0,3,487,21,1,0,0,0,0,0,0,0,0,0,512
46,"J.H. SCHOOL BASANTPUR ROOM-1",787,653,0,1440,551,448,0,999,763,0,8,76,733,145,1,0,2,0,1,10,10,5,8,999
47,"J.H.SCHOOL BASANTPUR ROOM-2",763,632,0,1395,550,478,0,1028,1025,0,2,64,806,124,6,1,2,0,1,5,10,1,6,1028
48,"P.V. THHET",729,614,0,1343,566,498,0,1064,961,0,14,766,220,5,2,0,1,4,4,11,3,14,20,1064
49,"P.V. ORANGPUR JOGIPURA",348,307,0,655,284,251,0,535,522,0,7,371,145,2,0,0,0,0,1,1,1,4,3,535
50,"P.V. SHEKPURI CHOHARD",435,390,0,825,334,277,0,611,611,0,26,340,218,2,1,2,0,2,1,3,3,7,6,611
51,"U.M.S. SHEKPURI CHOHARD ESTH LAGPURI",214,199,0,413,171,175,0,346,338,0,2,309,21,2,0,1,0,0,0,2,2,6,1,346
52,"P.V. MEERAPUR",400,368,0,768,293,280,0,573,553,0,3,223,313,17,0,0,1,2,0,3,4,3,4,573
53,"P.V. NAVADA",509,442,0,951,375,295,0,670,627,0,8,178,194,273,2,2,1,0,1,1,2,2,6,670
54,"P.V. RAVANA",742,596,1,1339,507,450,0,957,715,0,13,134,317,476,4,1,0,0,3,1,1,1,6,957
55,"P.V. GANDHOR ROOM-1",644,501,0,1145,409,350,0,759,747,0,22,402,48,246,3,2,3,2,6,0,5,10,10,759
56,"P.V. GANDHOR ROOM-2",501,450,0,951,370,339,0,709,709,0,15,242,404,19,1,1,0,0,1,6,6,6,8,709
57,"P.V. RAJPURPURA PARSU",405,357,0,762,343,313,0,656,528,0,64,365,105,108,0,0,1,0,2,6,0,2,3,656
58,"P.V. MUSTAFABAD URF GADANPURA",344,292,0,636,276,240,0,516,296,0,6,242,259,0,0,1,0,2,0,2,1,0,3,516
59,"P.V. LADUPURA",384,365,0,749,348,320,0,668,668,0,24,555,73,5,0,3,0,1,0,2,0,2,3,668
60,"P.V. BHAVANIPUR GANGRAN",478,379,0,857,326,248,0,574,441,0,47,365,119,27,0,0,1,1,1,5,0,4,4,574
61,"P.V. MAHU ROOM-1",677,572,0,1249,416,387,0,803,750,0,4,314,293,152,0,1,1,3,1,10,3,11,10,803
62,"P.V. MAHU ROOM-2",376,296,0,672,242,191,0,433,357,0,6,300,18,62,0,0,1,1,33,3,0,7,2,433
63,"SHREE KRISHAN INTER COLLEGE JALEELPUR",356,327,0,683,233,215,0,448,356,0,17,368,34,19,0,0,0,2,1,1,1,2,3,448
64,"P.V. JALEELPUR ROOM-1",706,618,0,1324,459,449,0,908,854,0,32,259,251,343,4,1,1,2,1,5,4,1,4,908
65,"P.V.JALEELPUR ROOM-2",345,294,0,639,256,212,0,468,373,0,4,121,299,32,2,1,1,0,0,2,0,2,4,468
66,"P.V. SHAPUR BASODHI ROOM-1",598,535,0,1133,482,434,0,916,676,0,33,673,175,4,2,2,0,2,1,8,2,7,7,916
67,"P.V. SHAPUR BASODHI ROOM-2",470,436,0,906,367,329,0,696,694,0,40,588,25,1,1,8,2,3,2,2,3,10,11,696
68,"PANCHAYATGHAR BHAGOODA",644,600,0,1244,484,416,0,900,800,0,15,755,97,15,0,0,0,0,1,1,5,5,6,900
69,"P.V. MILAK SAKTALPUR",219,197,0,416,171,157,0,328,299,0,2,268,31,22,0,0,0,2,0,2,0,1,0,328
70,"P.V. DARWAR",617,551,0,1168,496,418,0,914,504,0,2,196,391,299,1,0,2,3,4,2,3,6,5,914
71,"P.V. BADIBALA",612,521,0,1133,465,409,0,874,728,0,25,709,116,4,2,2,0,1,0,6,2,5,2,874
72,"P.V. BUNDRA KHURD",784,702,0,1486,572,500,0,1072,1050,0,13,383,573,59,6,5,3,2,2,9,4,5,8,1072
73,"P.V. SANIPURA",251,227,0,478,216,191,0,407,400,0,16,315,61,1,0,1,0,2,1,2,0,6,2,407
74,"J.H. SCHOOL RASOLPUR NAGLA ROOM-1",522,418,0,940,303,387,0,690,489,0,0,307,30,339,2,1,0,0,6,1,0,4,0,690
75,"J.H. SCHOOL RASOLPUR NAGLA ROOM-३",743,622,0,1365,429,514,0,943,943,0,3,13,86,759,6,4,2,1,50,6,2,2,9,943
76,"J.H. SCHOOL RASOLPUR NAGLA ROOM-2",808,689,0,1497,531,463,0,994,947,0,2,270,503,187,1,0,0,2,7,6,6,5,5,994
77,"P.V. LAKHMIDHAR",216,183,0,399,180,163,0,343,230,0,3,332,2,0,0,0,0,0,0,0,0,5,1,343
78,"J.H. SCHOOL SAKTALPUR MILAK",357,306,0,663,254,220,0,474,474,0,7,216,240,2,1,1,0,0,0,2,2,2,1,474
79,"P.V. SHADIPUR",323,248,0,571,267,178,0,445,430,0,3,302,124,13,0,0,0,1,0,0,0,2,0,445
80,"J.H. SCHOOL SABDALPUR KURD",191,170,0,361,130,119,0,249,247,0,1,175,68,0,0,0,0,0,0,1,1,2,1,249
81,"P.V. SABDALPUR KURD",527,480,0,1007,430,388,0,818,600,0,12,757,33,1,0,0,0,1,0,4,1,3,6,818
82,"P.V. MAHBULAPUR DHAKI",555,486,0,1041,338,302,0,640,640,0,0,104,57,423,8,4,6,16,8,3,1,3,7,640
83,"P.V. BASADI",242,230,0,472,230,210,0,440,440,0,4,432,4,0,0,0,0,0,0,0,0,0,0,440
84,"P.V. BASADA",269,207,0,476,221,166,0,387,387,0,2,269,113,0,0,0,0,2,0,0,1,0,0,387
85,"P.V. BAMNOOLI",679,551,0,1230,558,379,0,937,800,0,22,722,118,38,2,1,0,16,4,3,1,6,4,937
86,"P.V. BAMNOLA",590,524,0,1114,475,378,0,853,852,0,8,457,344,17,0,0,2,5,1,5,4,6,4,853
87,"P.V. CHAUNDHRI",431,369,0,800,339,288,0,627,627,0,4,289,255,68,0,1,0,0,2,2,3,3,0,627
88,"P.V, JHUJHAPURA URF NAIPURA",517,477,0,994,405,366,0,771,756,0,10,599,109,9,4,3,0,4,0,10,3,6,14,771
89,"P.V. AKBERPUR MAJRA SAINDWAR",489,450,0,939,352,337,0,689,492,0,49,280,338,3,0,0,0,0,3,5,5,2,4,689
90,"P.V. SABDALPUR ROOM-1",564,432,0,996,294,214,0,508,508,0,7,128,107,167,2,4,1,1,79,5,1,3,3,508
91,"P.V. SABDALPUR ROOM-2",370,276,0,646,201,166,0,367,321,0,4,3,94,214,0,0,0,1,49,1,0,1,0,367
92,"P.V. GHANSURPUR",486,417,0,903,380,279,0,659,631,0,50,357,232,14,1,1,0,0,0,0,2,2,0,659
93,"P.M.SCHOOL NAVABPURA URF SHAKUPURA",316,308,0,624,242,221,0,463,413,0,78,304,73,0,0,0,0,1,0,1,0,6,0,463
94,"P.V. PIPLI JATT ROOM-1",572,511,0,1083,308,287,0,595,559,0,4,54,287,158,3,0,0,1,80,3,1,1,3,595
95,"P.V. PIPLI JATT ROOM-2",548,485,0,1033,270,240,0,510,505,0,4,25,77,164,1,1,2,7,219,4,1,1,4,510
96,"P.V. PIPLI JATT ROOM-3",437,406,0,843,245,259,0,504,361,0,42,278,47,87,0,0,0,2,38,1,0,5,4,504
97,"P.V. PIPLI JATT ROOM-4",269,247,0,516,120,146,0,266,266,0,12,108,54,60,1,0,0,1,27,1,1,0,1,266
98,"SWASTHYA UPKENDRA RAJOPUR BAHMAN ESTIT PIPLIJATT",586,520,0,1106,300,303,0,603,437,0,24,171,163,157,3,1,2,3,71,4,3,0,1,603
99,"P.V. AKABREPUR TIGRI ROOM-1",645,599,1,1245,314,370,0,684,622,0,3,6,510,121,3,4,0,11,7,1,6,2,10,684
100,"P.V. AKABREPUR TIGRI ROOM-2",516,470,0,986,242,312,0,554,494,0,0,0,397,138,1,1,1,6,1,2,2,4,1,554
101,"P.V. UMRIPEER ROOM-1",610,576,0,1186,289,379,0,668,668,0,1,3,411,232,2,0,0,2,6,5,1,0,5,668
102,"P.V. UMRIPEER ROOM-1-2",498,482,0,980,254,282,0,536,536,0,2,0,387,133,1,1,1,2,1,2,1,2,3,536
103,"P.V.MUBAREKPUR KALA ROOM-1",619,522,0,1141,349,345,0,694,662,0,8,6,427,237,3,1,0,0,3,3,2,2,2,694
104,"P.V. MUBARKPUR KALA ROOM-2",352,302,0,654,220,195,0,415,415,0,3,9,252,132,1,2,0,1,4,0,2,2,7,415
105,"J.H. SCHOOL SISONA ROOM-1",730,594,0,1324,472,350,0,822,816,0,6,377,364,56,0,0,2,1,1,5,4,0,6,822
106,"J.H. SCHOOL SISONA ROOM-2",643,564,0,1207,428,364,0,792,786,0,5,562,121,88,1,1,1,0,3,2,0,1,7,792
107,"P.V. GANGU NAGLA ROOM-1",791,655,0,1446,394,342,0,736,710,0,11,8,207,481,2,3,1,1,7,2,2,3,8,736
108,"P.V. GANGU NAGLA ROOM-2",423,379,0,802,184,186,0,370,370,0,2,39,158,160,1,3,0,0,4,1,2,0,0,370
109,"P.V. AKLASPUR",334,306,0,640,264,248,0,512,438,0,56,419,15,10,1,1,2,0,1,3,0,4,0,512
110,"PANCAHYATGHAR FATHULLAHPUR POTTA ROOM-1",723,651,0,1374,477,423,0,900,875,0,33,585,190,46,3,1,2,1,1,7,9,9,13,900
111,"PANCAHYATGHAR FATHULLAHPUR POTTA ROOM-2",430,386,0,816,288,250,0,538,529,0,8,374,117,14,1,1,1,4,0,3,6,5,4,538
112,"J.H. SCHOOL PAVTI ROOM-1",717,695,0,1412,483,462,0,945,630,0,7,445,93,357,3,0,1,2,27,5,0,3,2,945
113,"J.H.SCHOOL PAVTI ROOM-2",776,732,0,1508,464,467,0,931,745,0,11,442,312,80,2,0,0,4,65,6,1,6,2,931
114,"P.V. MUKARPUR",602,549,0,1151,417,411,0,828,746,0,77,209,395,108,1,0,0,1,9,6,2,5,15,828
115,"P.V. SOOTKHADI",635,544,1,1180,349,329,0,678,676,0,1,14,52,165,5,3,0,8,422,3,0,0,5,678
116,"P.V, SHAREEFPUR",321,328,0,649,265,270,0,535,381,0,54,355,82,33,1,0,0,2,0,3,1,3,1,535
117,"P.V. THARPUR MADD IMAM",282,287,0,569,214,224,0,438,320,0,15,345,70,1,0,0,0,0,0,1,1,3,2,438
118,"P.V. JAGANPUR URF JAGANBALA",201,188,0,389,181,141,0,322,286,0,3,209,103,4,0,0,0,1,0,0,0,0,2,322
119,"P.V. PILLANA",734,641,0,1375,555,443,0,998,825,0,12,780,150,30,2,2,1,2,2,2,3,6,6,998
120,"P.V. KULCHANA",362,338,0,700,314,263,0,577,577,0,138,322,109,2,1,0,0,0,1,2,0,1,1,577
121,"P.V. MITTANPUR",422,360,0,782,332,278,0,610,485,0,26,454,122,3,1,2,0,0,0,2,0,0,0,610
122,"P.V. ROONIYA",720,622,0,1342,450,452,0,902,901,0,0,299,196,252,4,23,0,1,111,6,4,2,4,902
123,"PURV. MA V. SIAU ROOM-1",690,625,0,1315,442,421,0,863,695,0,20,677,139,2,2,10,0,1,0,3,2,2,5,863
124,"PURV. MA V. SIAU ROOM-2",128,108,1,237,86,64,0,150,140,0,6,123,10,5,0,1,0,0,3,0,0,2,0,150
125,"PURV. MA V. SIAU ROOM-3",481,438,0,919,319,268,0,587,570,0,12,153,96,219,3,1,1,1,95,3,0,1,2,587
126,"PURV. MA V. SIAU ROOM-4",444,393,0,837,314,244,0,558,558,0,16,447,62,15,1,0,1,0,8,1,2,0,5,558
127,"KANYA J.H. SCHOOL SIAU ROOM-1",582,516,0,1098,354,291,0,645,625,0,4,399,46,67,0,1,0,3,121,1,1,1,1,645
128,"KANYA J.H. SCHOOL SIAU ROOM-2",391,374,0,765,286,254,0,540,359,0,9,490,26,9,0,0,1,0,0,0,1,3,1,540
129,"KANYA J.H. SCHOOL SIAU ROOM-3",509,424,0,933,267,218,0,485,466,0,2,6,130,197,3,8,1,1,127,4,2,1,3,485
130,"KANYA J.H. SCHOOL SIAU ROOM-4",367,312,0,679,185,165,0,350,319,0,1,94,73,74,0,4,0,0,102,0,0,1,1,350
131,"P.V. SIAU-1",462,418,0,880,363,269,0,632,632,0,2,175,448,2,0,0,0,0,0,3,0,1,1,632
132,"N.P. BALAK SCHOOL PATEYPARA CHANDPUR  ROOM-1",753,658,0,1411,362,375,0,737,735,0,4,62,200,403,0,2,0,13,46,2,0,0,5,737
133,"N.P. BALAK SCHOOL PATEYPARA  CHANDPUR  ROOM-2",218,200,0,418,100,104,0,204,137,0,4,15,57,122,0,1,0,3,0,0,0,0,2,204
134,"N.P. BALAK SCHOOL PATEYPARA ROOM-4",449,390,0,839,203,202,0,405,300,0,4,57,114,213,1,0,0,0,14,0,0,1,1,405
135,"N.P. BALAK SCHOOL PATEYPARA CHANDPUR  ROOM-3",558,474,0,1032,307,251,0,558,358,0,10,82,203,244,0,4,0,8,6,0,1,0,0,558
136,"N.P.  BALIKA SCHOOL PATEYPA CHANDPUR RA ROOM-1",606,540,0,1146,372,350,0,722,704,0,9,83,268,281,3,0,0,1,73,3,1,0,0,722
137,"N.P.  BALIKA SCHOOL PATEYPARA CHANDPUR  ROOM-1",635,526,0,1161,247,224,0,471,314,0,7,44,135,180,1,0,1,1,96,3,0,0,3,471
138,"N.P.  BALIKA SCHOOL PATEYPARA CHANDPUR ROOM-3",496,360,0,856,262,204,0,466,346,0,12,9,133,165,0,6,0,0,135,2,0,2,2,466
139,"N.P.  BALIKA SCHOOL PATEYPARA  CHANDPUR ROOM-5",600,564,0,1164,310,285,0,595,436,0,6,3,126,264,3,4,0,3,180,0,1,2,3,595
140,"N.P.  BALIKA SCHOOL PATEYPARA CHANDPUR ROOM-5",855,715,0,1570,562,492,0,1054,963,0,10,680,60,134,1,3,0,1,137,3,1,12,12,1054
141,"BEHARI SANSKRAT MAHAVIDYLY CHANDPUR  KATARMAL  ROOM-1",635,572,2,1209,327,267,0,594,470,0,7,41,188,330,1,1,1,7,16,1,0,1,0,594
142,"BEHARI SANSKRAT MAHAVIDYLY CHANDPUR KATARMAL  ROOM-2",535,525,0,1060,314,291,0,605,405,0,12,430,91,63,0,2,0,0,2,0,0,2,3,605
143,"P.V. KAYSTAN CHANDPUR  ROOM-1",457,407,0,864,279,257,0,536,526,0,7,321,117,88,0,0,0,0,0,0,0,1,2,536
144,"P.V. KAYSTAN CHANDPUR ROOM-2",495,446,0,941,291,259,0,550,506,0,15,255,174,81,2,1,1,2,7,2,3,2,5,550
145,"P.V. KAYSTAN CHANDPUR ROOM-3",505,474,0,979,266,254,0,520,416,0,4,183,146,173,0,3,1,1,3,2,0,3,1,520
146,"BADIC K.I.COLLEGE SAHUBAN CHANDPUR  ROOM-1",535,500,0,1035,291,248,0,539,509,0,5,381,83,60,0,0,0,0,2,3,2,2,1,539
147,"BADIC K.I.COLLEGE SAHUBAN CHANDPUR  ROOM-2",632,588,0,1220,423,345,0,768,650,0,18,700,28,15,0,2,0,0,0,0,2,0,3,768
148,"N.P.P. BALIKA KAYASTAN CHANDPUR  ROOM-1",471,432,0,903,296,258,0,554,521,0,11,472,51,12,0,3,0,1,0,0,1,1,2,554
149,"N.P.P. BALIKA KAYASTAN CHANDPUR ROOM-2",587,584,0,1171,386,358,0,744,720,0,10,645,50,25,2,6,0,0,0,1,1,0,4,744
150,"M.M.I.COLLEGE CHANDPUR ROOM-1",655,592,0,1247,338,309,0,647,626,0,14,53,274,286,0,8,0,0,2,1,3,0,6,647
151,"M.M.I.COLLEGE CHANDPUR  ROOM-2",507,476,0,983,329,299,0,628,604,0,12,11,272,326,0,0,0,0,1,3,0,0,3,628
152,"M.M.I.COLLEGE CHANDPUR  ROOM-7",318,280,0,598,181,175,0,356,273,0,2,1,183,167,0,0,0,0,0,0,1,0,2,356
153,"M.M.I.COLLEGE CHANDPUR  ROOM-3",605,520,0,1125,360,289,0,649,542,0,12,412,53,156,0,2,0,3,2,2,2,2,3,649
154,"M.M.I.COLLEGE CHANDPUR ROOM-6",441,403,0,844,228,241,0,469,467,0,2,106,119,232,0,8,0,0,0,1,1,0,0,469
155,"M.M.I.COLLEGE CHANDPUR  ROOM-4",619,567,0,1186,345,287,0,632,591,0,10,412,67,132,2,0,0,4,3,0,1,1,0,632
156,"M.M.I.COLLEGE CHANDPUR  ROOM-8",461,413,0,874,251,224,0,475,460,0,6,134,217,102,1,0,0,1,9,1,1,0,3,475
157,"M.M.I.COLLEGE CHANDPUR ROOM-5",768,697,0,1465,374,316,0,690,460,0,9,53,302,311,5,1,0,1,4,2,0,0,2,690
158,"REHMANYA G.I.COLLEGE CHANDPUR ROOM-1",554,484,0,1038,322,268,0,590,500,0,10,122,335,103,1,2,0,0,2,3,3,0,9,590
159,"REHMANYA G.I.COLLEGE CHANDPUR  ROOM-9",381,364,0,745,223,209,0,432,366,0,4,135,214,76,0,1,0,0,1,1,0,0,0,432
160,"REHMANYA G.I.COLLEGE CHANDPUR  ROOM-2",558,514,0,1072,329,307,0,636,499,0,5,268,158,196,1,1,0,1,1,1,1,1,2,636
161,"REHMANYA G.I.COLLEGE CHANDPUR  ROOM-10",438,401,0,839,228,224,0,452,447,0,4,129,106,201,1,1,0,0,2,2,0,1,5,452
162,"REHMANYA G.I.COLLEGE CHANDPUR  ROOM-3",615,544,0,1159,281,235,0,516,484,0,10,191,135,171,0,0,0,0,5,0,1,2,1,516
163,"REHMANYA G.I.COLLEGE CHANDPUR  ROOM-5",439,378,0,817,224,180,0,404,270,0,5,69,115,196,1,4,0,0,8,0,0,2,4,404
164,"REHMANYA G.I.COLLEGE CHANDPUR  ROOM-7",763,694,0,1457,415,357,0,772,695,0,5,510,114,125,0,8,0,0,3,0,1,1,5,772
165,"REHMANYA G.I.COLLEGE CHANDPUR  ROOM-8",334,296,0,630,139,159,0,298,289,0,0,24,150,117,1,3,0,0,1,0,0,0,2,298
166,"GULAB SINGH H.D.COLLEGE CHANDPUR  ROOM-1",209,183,0,392,121,100,0,221,175,0,10,196,9,6,0,0,0,0,0,0,0,0,0,221
167,"GULAB SINGH H.D.COLLEGE CHANDPUR  ROOM-4",745,656,0,1401,391,334,0,725,684,0,12,582,81,32,3,3,1,1,1,4,1,1,3,725
168,"GULAB SINGH H.D.COLLEGE CHANDPUR  ROOM-2",586,483,0,1069,278,281,0,559,427,0,2,83,183,269,4,3,2,0,11,0,0,1,1,559
169,"GULAB SINGH H.D.COLLEGE CHANDPUR  ROOM-5",463,392,0,855,216,181,0,397,295,0,6,183,68,115,2,1,2,2,6,3,2,1,6,397
170,"GULAB SINGH H.D.COLLEGE CHANDPUR  ROOM-3",625,555,0,1180,284,289,0,573,425,0,4,4,159,371,6,1,1,0,14,4,1,1,7,573
171,"GULAB SINGH H.D.COLLEGE CHANDPUR  ROOM-6",580,488,0,1068,292,281,0,573,538,0,8,38,167,320,2,3,1,0,20,7,1,2,4,573
172,"ANSHAR P.V. IMAMBADA CHANDPUR  ROOM-1",783,673,0,1456,329,307,0,636,515,0,10,6,265,310,5,3,1,2,30,1,1,0,2,636
173,"ANSHAR P.V. IMAMBADA CHANDPUR  ROOM-2",551,459,0,1010,253,240,0,493,477,0,12,2,164,263,4,1,1,11,29,2,0,1,3,493
174,"ANSHAR P.V. IMAMBADA CHANDPUR  ROOM-3",580,487,0,1067,345,282,0,627,621,0,0,53,285,214,1,2,0,2,47,5,3,4,11,627
175,"ANSHAR P.V. IMAMBADA CHANDPUR  ROOM-4",296,273,1,570,207,200,0,407,376,0,5,91,243,32,1,0,0,2,22,3,1,2,5,407
176,"N.P.BA.P. SCHOOL KOTLA CHANDPUR   ROOM-1",371,330,0,701,211,180,0,391,297,0,1,62,143,181,1,1,0,0,0,0,0,0,2,391
177,"N.P.BA.P. SCHOOL KOTLA CHANDPUR  ROOM-2",547,521,0,1068,294,267,0,561,498,0,7,331,153,60,0,4,0,0,0,2,0,2,2,561
178,"HINDU I.COLLEGE CHANDPUR  ROOM-1",802,637,0,1439,438,378,0,816,816,0,24,113,350,307,3,0,0,3,4,3,2,0,7,816
179,"HINDU I.COLLEGE CHANDPUR  ROOM-2",885,747,0,1632,364,267,0,631,350,0,3,4,234,345,0,8,0,1,34,1,0,1,0,631
180,"HINDU I.COLLEGE CHANDPUR  ROOM-3",503,438,0,941,234,229,0,463,411,0,5,86,73,268,1,1,0,0,22,3,0,3,1,463
181,"HINDU I.COLLEGECHANDPUR  ROOM-7",382,314,0,696,169,136,0,305,305,0,4,224,42,22,0,1,0,1,5,3,0,2,1,305
