"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - UPENDRA SINGH","2 - NARAYAN SINGH SUMAN","3 - MAHARAJ SINGH DHANGAR","4 - DR. RAM SHANKAR KATHERIA","5 - ANIL","6 - ANITA","7 - CHANDRA PAL","8 - PREM SINGH","9 - RAMESH","10 - RAVINDRA SINGH","11 - AMAR SINGH","12 - ASHOK KUMAR","13 - OM PRAKASH","14 - DINESH KUMAR GAUTAM","15 - VINOD KUMAR SINGH","16 - None of the Above","Total Votes Secured"
35,"PRA.VI.NAGALA JAR R0NO.-1",432,373,0,805,335,274,0,609,62,0,10,557,7,28,0,0,1,0,1,0,0,0,0,1,2,2,609
36,"PRA.VI.GAGALA JAR",644,529,0,1173,450,276,0,726,64,0,16,67,216,394,11,0,0,0,3,1,3,2,4,2,4,3,726
37,PRA.VI.TARRAKPUR,602,470,0,1072,438,296,0,734,74,0,38,128,7,539,6,2,0,1,1,2,0,2,0,1,2,5,734
38,"PRA.VI.SIYAM NAGAR TEDI BAGIYA AGRA",555,447,0,1002,357,256,0,613,62,0,14,192,34,361,1,0,0,0,0,1,2,0,1,0,1,6,613
39,"PRA.VI.SIYAM NAGAR TEDI BAGIYA AGRA",550,419,0,969,360,278,0,638,64,0,11,247,114,257,1,0,0,0,0,2,1,0,0,2,2,1,638
40,PRA.VI.NANDLALPUR,756,585,0,1341,496,369,0,865,81,0,15,338,60,427,7,1,0,2,0,0,2,1,3,5,3,1,865
41,"BI.S.INTER COLLEGE GARHI JIWARAM R0N0-3(EAST)",290,233,0,523,170,121,0,291,28,0,5,54,61,159,2,0,0,0,0,5,2,0,1,1,0,1,291
42,"S.DI.GARILS INTER COLLEGE TEDI BGIYA R0N0-1",646,542,0,1188,355,288,0,643,64,0,9,437,90,84,1,0,1,1,0,12,0,0,3,1,1,3,643
43,"S.DI.GRILS INTER COLLEGE TEDI BGIYA R0N0-2",612,464,0,1076,324,248,0,572,59,0,10,277,86,186,1,0,1,0,0,4,0,0,3,3,0,1,572
44,"S.DI.GRILS INTER COLLEGE TEDI BGIYA R0N0-3",635,458,0,1093,331,225,0,556,59,0,6,100,41,388,3,0,0,0,0,8,2,0,1,4,1,2,556
45,"PRA.VI.PURA GOVERDHAN",690,594,0,1284,545,393,0,938,82,0,12,521,67,318,3,0,1,0,0,0,7,3,1,4,1,0,938
46,"JAGDMBA INTER COLLEGE TEDI BAGIYAR0N0-1",507,406,0,913,301,242,0,543,53,0,14,440,23,57,1,0,0,0,0,0,2,0,1,1,4,0,543
47,"JAGDMBA INTER COLLEGE TEDI BAGIYAR0N0-2",640,502,0,1142,410,311,0,721,73,0,13,572,17,100,2,0,5,0,1,4,0,0,0,2,4,1,721
48,"JAGDMBA INTER COLLEGE TEDI BAGIYAR0N0-3",651,500,0,1151,385,281,0,666,66,0,8,517,55,75,0,0,0,0,0,0,1,1,0,4,2,3,666
49,"JAGDMBA INTER COLLEGE TEDI BAGIYAR0N0-4",942,718,1,1661,549,388,0,937,92,0,13,711,65,138,0,0,0,0,0,2,1,0,0,1,1,5,937
50,"JAGDMBA INTER COLLEGE TEDI BAGIYAR0N0-5",214,162,0,376,160,116,0,276,38,0,1,229,23,17,0,0,0,1,0,3,0,0,0,1,0,1,276
51,"GRINKALIN INTER COLLEGE TEDI BAGIYA",884,625,0,1509,525,349,0,874,88,0,24,514,242,75,0,0,0,1,0,3,0,1,4,5,2,3,874
52,"GRINKALIN INTER COLLEGE TEDI BAGIYA R0N0-2",263,217,0,480,157,148,0,305,31,0,2,130,45,119,0,0,1,0,0,4,2,0,0,1,0,1,305
53,"GRINKALIN INTER COLLEGE TEDI BAGIYA",387,284,0,671,234,160,0,394,37,0,8,110,145,128,0,1,0,0,0,0,0,0,0,2,0,0,394
54,"GRINKALIN INTER COLLEGE TEDI BAGIYA",813,566,0,1379,532,323,0,855,55,0,26,520,185,94,4,1,0,0,1,3,1,2,7,2,0,9,855
55,"BEKUNTHIDEVI  INTER COLLEGE TERHI BAGIYA",942,729,0,1671,542,420,0,962,99,0,11,864,21,43,1,1,0,1,1,3,0,0,2,4,5,5,962
56,"BEKUNTHIDEVI  INTER COLLEGE TERHI BAGIYA R0N0-2",881,646,0,1527,512,354,0,866,86,0,16,701,62,70,0,0,1,0,1,4,1,0,2,4,3,1,866
57,"BEKUNTHIDEVI  INTER COLLEGE TERHI BAGIYA",708,579,0,1287,457,292,0,749,75,0,13,62,212,445,6,0,0,0,0,1,2,3,2,2,0,1,749
58,"PRA.VI.NAIKI SARAY",349,217,0,566,250,131,0,381,39,0,5,4,59,311,1,0,0,0,0,0,0,0,0,0,1,0,381
59,"PRA.VI.TERHI BAGIYA R0.N0-1",905,684,0,1589,616,447,0,1063,101,0,21,357,226,422,6,0,1,1,0,4,4,0,4,7,4,6,1063
60,"PRA.VI.TERHI BAGIYA",692,510,0,1202,369,213,0,582,51,0,14,41,17,495,6,1,0,0,0,4,0,0,0,1,1,2,582
61,"PRA.VI.TERHI BAGIYA",822,645,0,1467,435,289,0,724,73,0,9,190,19,486,2,0,0,0,1,3,1,1,1,3,4,4,724
62,"BABA JHHAMMANLAL  INTER COLLEGE D.AMBEDKAR NAGAR TERHI BAGIYA  AGRA",840,671,0,1511,588,398,0,986,97,0,17,592,156,182,1,0,4,2,0,3,2,5,1,8,8,5,986
63,"BI.S.INTER COLLEGE GARHI JIWARAM R0N0-1",305,250,0,555,139,93,0,232,21,0,7,22,116,80,0,0,0,0,0,3,1,0,2,1,0,0,232
64,"BI.S.INTER COLLEGE GARHI JIWARAM R0N0-2(BESTH )",361,300,0,661,200,127,0,327,32,0,6,65,196,40,0,0,0,0,1,8,1,0,2,2,4,2,327
65,"PRA.VI.ABDUL HMID PARK ISLAM NAGAR TERHI BAGIYA",603,470,0,1073,325,188,0,513,53,0,27,78,294,106,1,1,0,0,0,0,0,0,1,1,1,3,513
66,"PRA.VI.ABDUL HMID PARK ISLAM NAGAR TERHI BAGIYA",866,733,0,1599,484,314,0,798,79,0,34,135,488,114,0,0,0,0,0,5,1,0,4,6,6,5,798
67,"JAGDAMBA DIGRI COLLEGE SANJIV NAGAR NORTH R0N0-1",843,578,0,1421,450,261,0,711,72,0,12,61,100,523,1,1,0,0,0,2,3,1,1,4,1,1,711
68,"JAGDAMBA DIGRI COLLEGE SANJIV NAGAR NORTHR0N0-2",808,641,0,1449,473,374,0,847,86,0,6,15,16,790,4,0,0,0,0,2,3,1,3,3,1,3,847
69,"JAGDAMBA DIGRI COLLEGE SANJIV NAGAR NORTH R0N0-3",380,312,0,692,292,164,0,456,44,0,4,0,11,424,4,0,0,0,0,1,1,1,2,0,1,7,456
70,"JAGDAMBA DIGRI COLLEGE SANJIV NAGARNORTH R0N0-4",754,557,0,1311,422,293,0,715,70,0,11,11,32,622,6,2,0,0,1,3,4,2,4,3,1,13,715
71,"JAGDAMBA DIGRI COLLEGE SANJIV NAGAR SOUTH R.N.5",212,207,0,419,113,108,0,221,23,0,4,0,1,209,1,0,0,0,0,0,0,1,0,2,0,3,221
72,"JAGDAMBA DIGRI COLLEGE SANJIV NAGAR SOUTHR0N0-6",637,475,0,1112,410,276,0,686,69,0,12,35,37,580,6,0,0,0,0,2,1,0,7,3,0,3,686
73,"JAGDAMBA DIGRI COLLEGE SANJIV NAGAR SOUTH R0N0-7",902,707,0,1609,539,389,0,928,91,0,17,20,32,815,5,5,0,1,0,7,4,1,8,4,2,7,928
74,"MATA BIMBAI SAMUDKYIK BAWAN N.KISHAN LAL R0N0-1",581,462,0,1043,341,266,0,607,63,0,6,432,7,140,2,1,0,0,0,4,0,0,2,2,4,7,607
75,"MATA BIMBAI SAMUDKYIK BAWAN N.KISHAN LAL R0N0-3",556,471,0,1027,377,275,0,652,61,0,16,364,23,226,4,1,0,2,0,7,0,2,2,2,1,2,652
76,"MATA BIMBAI SAMUDKYIK BAWAN N.KISHAN LAL R0N0-2",742,519,0,1261,463,306,0,769,77,0,9,292,15,430,5,0,2,0,1,1,3,2,0,1,4,4,769
77,"SODAN SINGH INSTITYUT OF HAYAR EJUKESHAN S.S.NAGAR NAGALA RAMBAL AGRA R0N0-1",487,442,0,929,306,252,0,558,51,0,14,23,19,498,1,0,0,0,0,1,0,0,1,0,0,1,558
78,"SAUDAN SINGH INS.OF HIGHER EDUCATION NAGLA RAMBAL",703,554,0,1257,467,345,0,812,81,0,23,49,21,709,0,1,0,0,0,4,1,0,2,0,0,2,812
79,"SODAN SINGH INSTITYUT OF HAYAR EJUKESHAN S.S.NAGAR NAGALA RAMBAL AGRA R0N0-1",821,595,0,1416,529,315,0,844,85,0,3,19,527,270,3,0,1,0,2,5,1,0,1,3,0,9,844
80,"PRA.VI.NAGAR NIGAM NAGALA RAMBAL R0N0-1",696,504,0,1200,411,294,0,705,70,0,19,338,86,243,2,1,0,0,0,3,0,2,0,4,5,2,705
81,"PRA.VI.NAGAR NIGAM NAGALA RAMBAL R0N0-1",823,571,0,1394,529,352,0,881,81,0,16,257,163,425,2,2,0,0,0,4,0,0,1,2,3,6,881
82,"R.B.DIGRI  COLLEGE KALINDI VIHAR R0N0-1",817,601,0,1418,413,394,0,807,83,0,23,107,43,620,0,0,0,0,0,9,1,0,0,1,0,3,807
83,"R.B.DIGRI  COLLEGE KALINDI VIHAR R0N0-2",921,727,0,1648,456,367,0,823,81,0,25,150,75,558,1,1,1,0,0,10,0,1,0,1,0,0,823
84,"R.B.DIGRI  COLLEGE KALINDI VIHAR R0N0-3",641,737,0,1378,298,339,0,637,63,0,18,426,14,147,2,0,0,0,0,5,1,1,3,3,7,10,637
85,"R.B.DIGRI  COLLEGE KALINDI VIHAR AGRA R0N0-4",537,616,0,1153,219,223,0,442,42,0,22,269,24,98,2,0,1,0,0,0,2,1,9,5,5,4,442
86,"GOVIND INTER COLLEGE DURGA NAGAR",569,479,0,1048,296,201,0,497,49,0,7,206,97,177,0,0,0,0,0,2,0,0,1,3,0,4,497
87,"GOVIND INTER COLLEGE DURGA NAGAR R0NO-2",544,436,0,980,309,247,0,556,55,0,14,19,86,421,3,0,0,0,0,4,1,0,2,1,0,5,556
88,"GOVIND INTER COLLEGE DURGA NAGAR R0NO-3",676,569,0,1245,395,369,0,764,76,0,43,143,27,538,0,0,0,0,0,7,0,2,0,0,0,4,764
89,"KISHAN DEVI INT.CO.NARAICH",626,483,0,1109,395,275,0,670,67,0,31,11,100,511,2,1,0,0,0,4,2,2,2,2,0,2,670
90,"KISHAN DEVI INT.CO.NARAICH R.N.4",217,170,0,387,124,81,0,205,23,0,6,8,23,158,3,1,0,0,0,5,0,0,0,0,1,0,205
91,"BALA JI INT.CO. BALAJI NAGAR",687,583,0,1270,422,287,0,709,71,0,17,20,94,561,2,0,0,0,0,9,0,1,1,1,1,2,709
92,"BALA JI INT.CO. BALAJI NAGAR",683,534,0,1217,386,255,0,641,63,0,30,56,335,193,1,0,0,1,0,7,2,1,5,6,0,4,641
93,"BRAJ PU.INT.COLLEGE PHASE 2 R.N.1",618,517,0,1135,383,286,0,669,66,0,17,80,39,517,1,0,0,0,1,7,1,0,0,0,0,6,669
94,"BRAJ PU.INT.COLLEGE PHASE 2 R.N.2",720,586,0,1306,446,346,0,792,78,0,32,69,133,547,2,0,0,0,0,6,1,0,1,0,0,1,792
95,"BRAJ PU.INT.COLLEGE PHASE 2 R.N.3",821,653,0,1474,475,391,0,866,86,0,29,100,66,646,1,0,0,1,0,16,2,1,0,1,0,3,866
96,"BRAJ PU.INT.COLLEGE PHASE 2 R.N.4",394,288,0,682,212,175,0,387,37,0,13,55,41,268,2,0,0,0,1,6,0,0,0,0,0,1,387
97,"PRA.VI.NARAICH R.N.1",637,491,0,1128,488,379,0,867,87,0,11,789,10,45,0,0,0,0,0,4,1,0,0,1,3,3,867
98,"PRA.VI.NARAICH R.N.2",587,485,0,1072,441,346,0,787,78,0,11,738,3,24,0,0,1,0,0,0,1,1,0,1,5,2,787
99,"KANYA PRA.VI.NARAICH R.N.1",761,610,0,1371,453,361,0,814,81,0,7,545,36,198,2,1,0,2,1,1,4,1,0,3,6,7,814
100,"KANYA PRA.VI.NARAICH R.N.2",423,357,0,780,247,219,0,466,44,0,8,424,5,24,0,0,0,0,0,0,0,0,1,0,1,3,466
101,"POO.MA.VI.NARAICH R.N. 1",714,542,0,1256,400,302,0,702,71,0,6,531,7,137,2,0,4,1,0,6,0,1,1,3,1,2,702
102,"POO.MA.VI.NARAICH R.N. 2",677,556,0,1233,421,296,0,717,73,0,8,415,19,262,1,0,0,0,0,5,0,1,1,1,1,3,717
103,"POO.MA.VI.NARAICH R.N. 3",604,523,0,1127,366,333,0,699,67,0,9,531,17,115,1,1,1,0,0,10,0,0,0,5,3,6,699
104,"POO.MA.VI.NARAICH R.N. 4",628,469,0,1097,393,320,0,713,73,0,4,635,7,57,2,0,1,0,0,2,0,0,0,0,3,2,713
105,"TAJ P.H.S.SCHOOL N.DAMALI NARAICH R.N. 1",636,477,0,1113,359,260,0,619,62,0,22,127,33,417,3,0,0,0,1,1,0,0,6,2,2,5,619
106,"TAJ P.H.S.SCHOOL N.DAMALI NARAICH R.N. 2",476,381,0,857,332,251,0,583,53,0,5,400,31,135,1,0,2,0,0,4,1,1,1,1,0,1,583
107,"TAJ P.H.S.SCHOOL N.DAMALI NARAICH R.N. 3",347,248,0,595,202,136,0,338,38,0,4,8,52,260,1,0,0,0,0,4,1,2,0,3,1,2,338
108,"TAJ P.H.S.SCHOOL N.DAMALI NARAICH R.N. 4",411,350,0,761,251,192,0,443,43,0,5,21,25,375,2,1,1,0,1,6,3,1,0,0,0,2,443
109,PRA.VI.SATINAGAR,629,468,0,1097,361,225,0,586,58,0,7,17,35,513,2,0,0,0,1,0,1,1,2,2,0,5,586
110,"PRA.VI.SATI NAGAR",269,200,0,469,165,128,0,293,27,0,1,6,16,262,1,0,0,0,0,3,2,0,0,1,1,0,293
111,"PRA.VI.SATI NAGAR",847,615,0,1462,458,297,0,755,73,0,16,6,42,641,9,1,2,0,1,7,4,0,6,10,1,9,755
112,"BAL VIHAR JU.H.SCHOOL TRANS YAMUNA COLONY PHASE 1 R.N.1",482,364,0,846,205,133,0,338,33,0,0,1,230,104,0,0,0,0,0,0,1,0,0,1,0,1,338
113,"BAL VIHAR JU.H.SCHOOL TRANS YAMUNA COLONY PHASE 1 R.N.2",551,477,0,1028,412,325,0,737,73,0,20,213,40,427,4,1,0,1,3,2,7,3,3,0,5,8,737
114,"BAL VIHAR JU.H.SCHOOL TRANS YAMUNA COLONY PHASE 1 R.N.3",575,519,0,1094,364,321,0,685,69,0,15,38,21,590,0,0,0,0,0,15,1,0,0,0,0,5,685
115,"BAL VIHAR JU.H.SCHOOL TRANS YAMUNA COLONY PHASE 1 R.N.4",490,395,0,885,309,240,0,549,59,0,15,22,21,480,1,0,0,1,0,8,0,0,0,0,0,1,549
116,"JONS MERRY INT.COLLEGE MAHAVEER NAGAR R.N.1",805,665,0,1470,502,389,0,891,87,0,13,304,47,493,3,1,0,0,0,3,5,5,10,3,1,3,891
117,"JONS MERRY INT.COLLEGE MAHAVEER NAGAR R.N.1",166,132,0,298,124,102,0,226,23,0,3,2,4,214,1,0,0,0,0,0,0,1,0,0,0,1,226
118,"JONS MERRY INT.COLLEGE MAHAVEER NAGAR R.N.3",764,602,0,1366,509,247,0,756,76,0,25,37,48,620,2,1,0,0,0,5,3,3,5,0,3,4,756
119,"JONS MERRY INT.COLLEGE MAHAVEER NAGAR R.N.4",498,361,0,859,309,205,0,514,53,0,5,31,16,454,0,0,1,0,0,1,1,0,0,1,1,3,514
120,"GANGA DEVI PU.MA.VI.HATRAS ROAD R.N.1",421,359,0,780,293,240,0,533,53,0,9,1,19,495,0,0,0,0,0,5,1,0,0,0,0,3,533
121,"GANGA DEVI PU.MA.VI.HATRAS ROAD R.N.2",537,420,0,957,357,266,0,623,62,0,15,25,26,536,3,1,0,1,0,8,2,1,0,1,1,3,623
122,"GANGA DEVI POO.MA.VI.HATHARS ROD R0 N0-3",671,602,0,1273,432,387,0,819,81,0,37,55,40,668,1,0,0,0,0,7,1,7,1,1,0,1,819
123,"KEPS KINDAR GAREN JU.H.SCHOOL TRANS YAMUNACOLONY FESH-2 R0 N0-1",373,316,0,689,281,227,0,508,53,0,20,23,12,433,1,0,0,0,0,10,1,0,1,1,2,4,508
124,"KEPS KINDAR GAREN JU.H.SCHOOL TRANS YAMUNA COLONY FESH-2 R0 N0-1",347,282,0,629,244,159,0,403,40,0,9,13,7,360,3,0,0,0,0,9,0,0,1,0,0,1,403
125,"KEPS KINDAR GAREN JU.H.SCHOOL TRANS YAMUNA COLONY FESH-2 R0 N0-3",632,568,0,1200,440,325,0,765,41,0,15,55,25,658,1,1,1,0,0,6,0,0,0,0,0,3,765
126,"SHREE BHARTI VI.JU.H. SCHOOL KATRA BAJEER KHAN R.N.1",703,556,0,1259,377,281,0,658,64,0,32,87,31,484,3,0,0,0,0,4,3,4,2,4,1,3,658
127,"SHREE BHARTI VI.JU.H. SCHOOL KATRA BAJEER KHAN R.N.2",616,477,0,1093,389,288,0,677,68,0,21,245,11,377,3,2,0,0,0,5,2,1,2,2,3,3,677
128,"SHRI BHARTI VI JU.H.SCHOOL KATARA WAZIR KHAN R0.N0-3",429,327,0,756,262,167,0,429,41,0,9,143,24,244,2,0,0,0,0,2,0,0,2,1,1,1,429
129,"SHREE BHARTI VI.JU.H. SCHOOL KATRA BAJEER KHAN R.N.1",701,552,0,1253,435,300,0,735,73,0,23,299,12,367,3,0,2,0,0,4,2,0,4,12,3,4,735
130,"RAMLAKHAN INTE COLLEGE HANUMAN NAGAR R0 N0-1",664,517,0,1181,430,318,0,748,75,0,37,3,50,629,1,3,0,1,0,5,4,0,5,1,0,9,748
131,"RAMLAKHAN INTE COLLEGE HANUMAN NAGAR R0 N0-2",722,549,0,1271,456,338,0,794,78,0,24,9,39,704,2,0,0,0,0,7,0,4,3,1,0,1,794
132,"RAMLAKHAN INTE COLLEGE HANUMAN NAGAR R0 N0-3",556,423,0,979,271,180,0,451,41,0,7,13,54,358,2,1,1,0,1,7,2,0,2,0,0,3,451
133,"RAMLAKHAN INTE COLLEGE HANUMAN NAGAR R0 N0-4",626,469,0,1095,358,236,0,594,58,0,29,19,32,493,0,0,0,0,1,6,3,1,1,2,1,6,594
134,"SHAKUNTALA PABLIK SCHOOL LIK ROD NUNIHAI R0.N)-1",603,448,0,1051,413,240,0,653,65,0,25,53,51,501,3,0,0,0,1,3,3,1,2,1,4,5,653
135,"SHAKUNTALA PABLIK SCHOOL LIK ROD NUNIHAI R0.N)-1",432,360,0,792,291,203,0,494,49,0,28,45,54,354,1,1,0,3,0,2,1,0,2,0,0,3,494
136,"SHAKUNTALA PABLIK SCHOOL LIK ROD NUNIHAI R0.N)-2",557,443,0,1000,334,228,0,562,56,0,13,6,13,512,4,3,0,0,2,2,2,1,0,0,1,3,562
137,"SHAKUNTALA PABLIK SCHOOL LIK ROD NUNIHAI R0.N)-3",552,419,0,971,263,171,0,434,43,0,8,13,50,350,2,1,0,0,0,4,1,0,0,1,1,3,434
138,"SHREE BHARTI VI.JU.H. SCHOOL KATRA BAJEER KHAN R.N.4",404,314,0,718,240,136,0,376,37,0,4,23,28,304,3,1,1,1,1,4,2,1,1,1,1,0,376
139,"PRA.VI.BELAN GANJ CHINI KA ROZA R0 N0-1",498,430,0,928,285,188,0,473,49,0,18,44,57,335,3,0,1,0,2,1,2,2,2,2,0,4,473
140,"PRA.VI.BELAN GANJ CHINI KA ROZA R0 N0-2",702,579,0,1281,446,333,0,779,78,0,28,11,32,689,2,0,0,1,0,5,1,1,3,0,3,3,779
141,N.MHA.PA.PRA.VI.SITANAGAR,816,699,0,1515,498,351,0,849,89,0,26,12,53,727,4,1,1,2,2,3,5,0,3,5,2,3,849
142,"SURAJDEVI VI.MANDIR RAM BAG AGRA.R0.N0.-1",560,476,0,1036,315,210,0,525,53,0,17,14,41,442,3,0,0,0,0,0,1,1,3,2,0,1,525
143,"SURAJDEVI VI.MANDIR RAM BAG AGRA.R0.N0.-2",670,503,0,1173,422,316,0,738,72,0,30,35,34,610,2,1,1,0,0,13,0,1,2,3,1,5,738
144,"RAMLAKHAN INTE COLLEGE HANUMAN NAGAR R0 N0-1 ESAT",655,486,0,1141,412,276,0,688,69,0,26,39,71,536,2,0,0,0,0,3,3,0,4,2,1,1,688
145,"RAMLAKHAN INTE COLLEGE HANUMAN NAGAR R0 N0-2",594,466,0,1060,362,266,0,628,62,0,24,58,47,479,1,0,1,0,0,10,3,0,1,2,0,2,628
146,"DURGA DEVI POO.MA.VI.DURGA NAGAR NUNIHAI R0N0-1",818,654,0,1472,494,304,0,798,76,0,50,32,79,611,5,1,1,0,0,7,4,0,3,2,2,1,798
147,"DURGA DEVI POO.MA.VI.DURGA NAGAR NUNIHAI R0N0-2",549,469,0,1018,333,250,0,583,58,0,28,260,32,236,2,1,0,0,0,3,1,1,3,6,6,4,583
148,"DURGA DEVI POO.MA.VI.DURGA NAGAR NUNIHAI R0N0-3",592,473,0,1065,375,197,0,572,57,0,69,71,71,323,0,0,0,0,0,10,5,1,9,4,2,7,572
149,"JAHARVIR GOGAJI INTER COLLEGE PRAKASH NAGAR R0N0-1",316,240,0,556,180,132,0,312,33,0,11,15,52,219,2,0,0,0,1,1,5,2,1,1,1,1,312
