"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASIF NIZAMUDDIN SIDDIQUE","2 - PRAMOD KUMAR SINGH PATEL","3 - RAJKUMARI RATNA SINGH","4 - ASHOK SHUKLA SENANI","5 - NIRMALA DEVI","6 - FOOLCHANDRA","7 - BAL KRISHNA","8 - RAJENDRA SHARMA","9 - RAM SEWAK","10 - SHESHNATH","11 - SANTOSH KUMAR SINGH","12 - KUWAR HARIVANSH SINGH","13 - AJMAL KHAN","14 - KIRAN MISHRA","15 - HARIVANSH","16 - None of the Above","Total Votes Secured"
89,"P.S SANDAURA CLASS 2",479,482,0,961,211,276,0,487,487,0,98,19,13,5,0,0,0,0,1,0,1,341,3,1,2,3,487
90,"P.S SANDAURA CLASS 3",455,397,0,852,219,173,0,392,392,0,37,102,8,0,2,0,0,0,0,1,2,238,0,0,0,2,392
91,"P.S SANDAURA",434,447,0,881,194,232,0,426,421,0,128,167,8,2,1,0,0,0,1,0,4,107,4,0,0,4,426
92,"P.S BUDHAURA KUMBHAPUR",756,701,0,1457,318,310,0,628,577,0,468,17,13,0,1,0,1,0,1,0,1,113,3,2,2,6,628
93,"P.S THAHIPUR",414,362,0,776,159,203,0,362,235,0,208,37,14,4,1,0,1,0,1,1,2,88,1,0,0,4,362
94,"P.S SARAY JAMUNICLASS 1",482,428,0,910,230,254,0,484,484,0,86,75,6,1,1,0,1,3,0,0,4,294,2,4,4,3,484
95,"P.S SARAY JAMUNI CLASS 2",546,474,0,1020,222,236,0,458,456,0,250,45,20,1,2,1,1,0,0,0,5,115,3,1,5,9,458
96,"P.S GARAPUR",545,473,0,1018,292,273,0,565,555,0,141,121,28,0,1,1,0,3,19,0,7,235,1,3,1,4,565
97,"P.S RAMDEV PATTI",705,644,0,1349,317,350,0,667,667,0,297,64,47,2,3,0,1,1,6,3,14,213,2,4,5,5,667
98,"P.S DHANAUPUR CLASS 1",545,506,0,1051,229,240,0,469,469,0,87,112,14,2,0,1,2,1,34,0,2,204,3,0,1,6,469
99,"P.S DHANAUPUR CLASS 2",571,504,0,1075,251,258,0,509,509,0,111,118,34,2,0,1,0,3,2,3,2,227,1,1,1,3,509
