"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DHARMENDRA PRATAP SINGH","2 - RAHUL GANDHI","3 - SMRITI ZUBIN IRANI","4 - GOPAL SWAROOP GANDHI","5 - CHHAYA SINGH","6 - ZAHIDA BEGAM","7 - BABU LAL","8 - C L MAURYA","9 - RAVI KUMAR","10 - RADHE MOHAN","11 - RAM ASREY","12 - RAM NEWAJ","13 - RAMSIDDH YADAV","14 - VASDEO","15 - DR. KUMAR VISHVAS","16 - VEDPAL SHASATRI","17 - MOHD HASAN LAHRI","18 - UMAKANT","19 - GIRIJA BAKS","20 - GANGESH KUMAR GUPTA","21 - JAGAT SINGH CHAUDHARY","22 - JITENDRA SINGH","23 - TULSIRAM","24 - DWARIKA PRASAD","25 - NARESH SINGH BHADAURIYA","26 - BHAGWAN DEEN","27 - MITHILESH KUMARI","28 - RAMESH CHANDRA","29 - RAM SAJIWAN","30 - LAL BAHADUR","31 - SHIV KUMAR","32 - SWAMINATH","33 - SONAM KINNAR","34 - SANJAY KUMAR","35 - None of the Above","Total Votes Secured"
60,BIRNAWAN,559,466,0,1025,293,262,0,555,550,0,17,300,151,8,5,2,0,6,2,1,3,1,2,2,6,5,3,1,0,0,1,1,7,4,2,1,2,6,4,3,2,1,3,2,1,555
61,BIRNAWAN,508,436,0,944,263,258,0,521,521,0,49,224,169,1,2,0,0,2,1,1,0,0,0,1,5,6,5,1,0,2,2,3,5,6,2,2,6,12,4,2,1,4,0,1,2,521
62,BIRNAWAN,493,429,0,922,194,184,0,378,178,0,35,245,34,2,2,1,2,0,0,1,1,0,3,1,2,6,4,3,1,2,0,3,5,3,1,0,3,5,0,3,3,5,1,0,1,378
63,"PURE SATYA NARAYAN BIRNAWAN",459,419,0,878,263,244,0,507,507,0,29,257,176,6,1,0,2,0,0,2,2,0,3,0,2,3,0,1,2,1,1,2,3,1,1,0,0,2,4,1,2,3,0,0,0,507
64,"PURE SATYA NARAYAN BIRNAWAN",392,338,0,730,166,176,0,342,328,0,5,217,70,3,3,1,2,1,1,0,2,0,0,1,2,4,4,1,0,0,0,0,9,0,0,0,2,6,1,1,0,2,2,1,1,342
65,"PURE JALIM MAJRE ROKHA",755,654,0,1409,425,283,0,708,708,0,20,450,117,3,4,2,0,4,3,2,2,0,2,1,15,9,3,2,2,4,0,3,16,3,3,0,6,12,2,2,4,9,1,2,0,708
66,ROKHA,238,202,0,440,111,99,0,210,184,0,21,111,45,3,0,1,1,3,0,1,1,1,1,0,6,3,2,2,0,0,0,0,1,1,0,1,0,2,1,2,0,0,0,0,0,210
67,ROKHA,893,726,0,1619,435,424,0,859,859,0,9,588,189,4,2,1,0,3,1,0,1,0,0,1,33,2,5,1,1,1,2,0,1,0,0,0,0,4,2,0,2,0,0,3,3,859
68,"PURE JALIM MAJRE ROKHA",252,222,0,474,58,34,0,92,61,0,18,63,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
69,"PURE KUNJAL MAJRE ROKHA",644,535,0,1179,310,235,0,545,544,0,82,379,55,1,0,0,0,1,2,0,2,1,1,1,6,2,0,1,0,0,0,0,3,1,0,0,1,0,3,0,0,1,1,0,1,545
