"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ATUL KUMAR SINGH ANJAAN","2 - DARA SINGH CHAUHAN","3 - RAJEEV KUMAR RAI","4 - RASHTRA KUNWAR SINGH","5 - HARINARAYAN RAJBHAR","6 - BADRI NATH YADAV","7 - MANISH KUMAR RAI","8 - MOKHTAR ANSARI","9 - RAVI SHANKAR BHARAT","10 - RAJKUMAR CHAUHAN","11 - VIJAY KUMAR UPADHYAY","12 - DR. SHAMEEM ABIDI","13 - HARINATH","14 - HARISH CHANDRA","15 - HEMANT KUMAR","16 - DOODHNATH CHAUHAN","17 - VISHUN DAYAL","18 - SURYA KUMAR","19 - None of the Above","Total Votes Secured"
162,"P.P. RASULPUR JAGDEV",321,255,0,576,196,167,0,363,363,0,4,134,64,3,119,2,3,16,2,0,1,3,3,0,3,1,1,3,1,363
163,"P.P. NATHANPUR",364,292,0,656,192,196,0,388,388,0,4,15,69,6,220,14,2,44,2,0,0,1,1,1,1,7,0,0,1,388
164,"P.P. BARUHA",573,487,0,1060,281,256,0,537,537,0,10,92,268,10,125,4,2,4,2,2,1,3,1,1,0,3,0,2,7,537
165,"P.P. RAGHAULI EAST",840,744,0,1584,354,429,0,783,783,0,1,350,9,5,101,1,1,289,1,1,2,1,0,5,5,4,1,2,4,783
166,"P.P. RAGHAULI WEST",531,421,0,952,253,290,0,543,543,0,3,7,6,4,292,4,1,202,5,3,0,3,1,0,1,5,1,2,3,543
167,"P.P. MISHRAULI RAMNIDHI",254,228,0,482,142,127,0,269,269,0,5,39,68,4,88,2,2,44,1,1,4,3,1,2,0,3,0,0,2,269
168,"P.P. BARAULI CHAK ABDUL REHMAN",632,509,0,1141,315,328,0,643,643,0,6,200,238,10,140,5,1,23,0,0,1,0,1,3,2,3,1,4,5,643
169,"J.HIGH SCHOOL SARAI GANESH",735,618,0,1353,365,340,0,705,705,0,16,306,94,6,227,8,1,31,0,1,3,0,2,3,2,1,1,3,0,705
170,"J.HIGH SCHOOL SARAI GANESH M. BHAG",233,202,0,435,118,104,0,222,222,0,6,23,58,3,109,2,0,8,0,0,0,3,0,1,1,6,0,1,1,222
171,"J.HIGH SCHOOL SARAI GANESH WEST PART",795,687,0,1482,376,408,0,784,784,0,13,191,80,23,381,16,2,9,6,5,10,4,3,4,5,7,16,3,6,784
172,"P.P. CHAKRAMMANORATH",261,219,0,480,139,135,0,274,274,0,2,133,10,10,90,1,1,11,0,0,1,0,0,2,2,2,3,3,3,274
173,"PPGOVINDPUR TAGUNIYA",219,182,0,401,125,96,0,221,221,0,6,6,55,9,120,7,1,10,0,0,0,1,0,0,2,2,2,0,0,221
174,"P.P. MUNGESAR",784,628,0,1412,485,309,0,794,794,0,16,355,153,5,209,3,5,27,2,1,3,1,0,0,3,2,4,3,2,794
175,"P.P. MUNGMANS NORTH PART",721,626,0,1347,366,374,0,740,740,0,6,60,148,11,369,10,0,96,4,1,4,3,2,4,9,10,0,1,2,740
176,"P.P. MUNGMANS SOUTH PART",859,686,0,1545,438,362,0,800,800,0,6,241,150,7,290,11,8,53,2,2,2,2,0,2,3,10,3,2,6,800
177,"P.P. GORSARA",608,526,0,1134,330,264,0,594,594,0,6,129,184,13,220,7,0,7,1,1,2,1,0,4,4,3,1,4,7,594
178,"HIGH SCHOOL LUDUHI",302,277,0,579,162,147,0,309,309,0,4,74,119,13,71,1,2,10,1,1,2,2,0,6,0,1,0,1,1,309
179,"P.P. .SIKRAUR",307,306,0,613,159,208,0,367,367,0,20,185,49,1,89,1,0,3,1,1,1,0,1,0,1,2,2,6,4,367
180,"P.P. PATILA JAMIN PATILA",575,488,0,1063,341,320,0,661,661,0,32,262,36,52,161,5,1,16,1,0,0,3,2,21,5,5,7,40,12,661
181,"P.P. SARVANPUR",301,273,0,574,176,162,0,338,338,0,11,55,91,3,131,3,0,10,0,23,0,0,2,4,1,3,1,0,0,338
182,"P.P. AMADPUR",426,360,1,787,248,226,0,474,474,0,9,243,110,7,73,0,2,11,1,0,4,1,0,3,4,4,0,2,0,474
183,"P.P. KERMA MAHRUPUR",626,541,0,1167,338,308,0,646,646,0,27,195,266,5,103,2,3,15,0,0,5,0,1,1,0,0,9,6,8,646
184,"P.P. BELA SULTANPUR NORTH PART",564,486,0,1050,314,284,0,598,598,0,19,70,194,5,273,7,2,2,1,0,3,3,0,0,4,10,1,1,3,598
185,"P.P. BELA SULTANPUR SOUTH PART",595,518,0,1113,336,328,0,664,664,0,9,370,174,4,75,2,1,5,0,1,3,1,0,5,1,3,7,2,1,664
186,"P.P. MAJHWARA NORTH PART",736,629,0,1365,404,349,0,753,753,0,7,58,64,44,491,5,7,36,4,1,3,1,1,9,3,5,7,1,6,753
187,"P.P. MAJHWARA SOUTH PART",548,478,0,1026,336,306,0,642,642,0,11,256,19,32,282,3,1,8,2,3,3,3,1,2,1,8,0,3,4,642
188,"P.P. DARIYABAD",518,448,0,966,281,283,0,564,564,0,10,73,138,9,285,7,2,7,2,1,2,0,0,1,4,7,3,3,10,564
189,"P.P. SEMARI JAMAL PUR",795,713,0,1508,438,342,0,780,780,0,14,38,175,23,453,5,6,31,0,1,5,4,2,2,1,10,2,0,8,780
190,"P.P. SEMARI JAMAL PUR SOUTH PART",649,568,0,1217,334,313,0,647,647,0,3,394,62,6,101,4,0,22,4,1,9,2,4,5,6,10,4,8,2,647
191,"P.P. KHAIRA MUHAMAMADPUR",734,625,0,1359,399,372,0,771,771,0,4,268,171,9,261,4,0,23,1,0,4,0,0,1,1,3,3,14,4,771
192,"P.P. PAWANI",647,534,0,1181,291,322,0,613,613,0,16,204,125,12,171,1,3,49,2,0,7,1,3,4,4,6,2,2,1,613
193,"P.P. LAKHANI MUBARK PUR NORTH PART",694,569,2,1265,319,330,0,649,649,0,8,15,62,6,432,3,1,104,2,0,1,0,2,0,3,8,0,0,2,649
194,"P.P. LAKHANI MUBARK PUR SOUTH PART",494,413,0,907,272,264,0,536,536,0,2,365,99,4,32,2,2,12,0,0,3,2,1,1,0,3,1,3,4,536
195,J.H.S.LAKHNIMUBARKPUR.S.PART,635,520,0,1155,284,261,0,545,545,0,4,114,13,6,281,10,4,75,4,13,4,4,0,2,3,4,0,1,3,545
196,"J.H. S. LAKHANI MUBARAK PUR SOUTH PART",627,498,0,1125,248,236,0,484,484,0,8,75,31,5,301,6,7,24,1,1,5,3,1,2,0,8,3,0,3,484
197,"P.P. MISHRULI",325,273,1,599,137,139,0,276,276,0,7,69,12,3,114,1,6,57,2,0,2,1,0,0,2,0,0,0,0,276
198,"P.P. MALERI",649,519,2,1170,271,292,0,563,563,0,7,139,103,14,203,11,18,36,2,3,5,0,1,3,3,13,0,0,2,563
199,"P.P. MANIK PUR",407,319,0,726,172,198,0,370,370,0,6,107,83,5,131,5,0,20,1,0,3,1,0,2,2,2,0,1,1,370
200,P.P.BHELABANDH,624,495,0,1119,384,296,0,680,680,0,4,321,133,9,128,3,2,60,2,2,3,1,1,2,0,6,0,3,0,680
201,"P.P. FIROZPUR",525,425,0,950,246,222,0,468,468,0,9,243,20,6,143,4,0,20,1,0,1,1,0,4,2,4,2,5,3,468
202,"P.P.PYAREPURA SALAUDDINPUR",800,605,0,1405,408,331,0,739,739,0,16,196,100,14,311,6,4,51,5,3,6,0,0,2,3,13,3,3,3,739
203,"J.H.SCHOOL ALLIPUR",646,542,0,1188,345,280,0,625,625,0,8,99,164,16,271,4,1,37,1,1,1,0,1,0,1,7,5,2,6,625
204,"J.H.SCHOOL DAGAULI NORTH PART",402,331,0,733,241,195,0,436,436,0,14,153,34,3,205,1,2,14,0,0,1,0,2,2,3,1,0,1,0,436
205,"J.H.SCHOOL DAGAULI SOUTH PART",431,347,0,778,190,159,0,349,349,0,11,147,54,3,72,3,2,41,0,2,0,1,1,0,1,2,1,5,3,349
206,"J.H.SCHOOL DAGAULI EAST PART",392,302,0,694,197,163,0,360,360,0,3,6,100,10,217,3,1,6,1,1,0,1,1,1,4,2,0,0,3,360
207,"J.H.SCHOOL DAGAULI WEST PART",448,371,0,819,213,227,0,440,440,0,9,137,53,4,197,1,1,8,1,0,0,0,0,0,0,0,6,14,9,440
208,"J.H.SCHOOL BHAGWANPUR NEW BUILDING",713,551,0,1264,357,342,0,699,699,0,8,211,90,14,297,10,6,39,0,0,2,3,0,1,2,4,4,2,6,699
209,"P.P. EKAUNA EAST PART",615,483,0,1098,327,293,0,620,620,0,6,367,21,2,111,8,0,81,1,1,1,1,0,1,3,6,6,1,3,620
210,"P.P. EKAUNA WEST PART",369,287,0,656,183,129,0,312,312,0,3,6,155,4,44,0,0,93,1,0,1,0,0,1,1,2,0,0,1,312
211,"K.P.M.V.MEERPUR RAHIMABAD NORTH PART",714,534,0,1248,379,282,0,661,661,0,11,177,149,7,254,6,1,42,1,0,4,0,0,1,0,2,3,3,0,661
212,"K.P.M.V.MEERPUR RAHIMABAD MIDLE PART",693,474,0,1167,366,300,0,666,666,0,2,126,278,8,176,3,3,59,1,0,1,1,1,0,2,3,0,1,1,666
213,"J.H.SCHOOL MEERPUR RAHIMABAD",905,718,0,1623,442,438,0,880,880,0,11,391,157,7,209,15,3,39,2,1,9,3,2,7,2,9,4,2,7,880
214,"P.P. GAUHARPUR",828,718,0,1546,303,444,0,747,747,0,6,178,208,4,268,8,4,51,3,2,4,0,1,0,5,3,2,0,0,747
215,"J.H.SCHOOL DHADHACHAVAR NORTH PART",840,614,0,1454,339,331,0,670,670,0,20,195,109,9,245,23,2,46,0,1,2,2,3,1,3,1,2,2,4,670
216,"J.H.SCHOOL DHADHACHAVAR MIDLE PART",605,487,0,1092,288,280,0,568,568,0,10,112,16,3,355,5,0,41,1,1,0,1,1,0,1,3,3,10,5,568
217,"J.H.SCHOOL DHADHACHAVAR SOUTH PART",549,466,0,1015,241,266,0,507,507,0,7,331,45,3,94,1,0,12,0,0,3,0,0,0,2,0,7,1,1,507
218,P.P.KUTUBPUR,684,553,0,1237,321,330,0,651,651,0,13,232,157,4,213,10,0,11,0,2,0,1,1,0,0,4,1,2,0,651
219,P.P.ANNUPAR,601,527,0,1128,259,298,0,557,557,0,8,147,90,9,233,6,3,47,2,0,5,1,0,1,2,1,0,1,1,557
220,"J.J.H.SCHOOL KOIRIYAPAR WEST PART",733,502,0,1235,400,288,0,688,688,0,12,34,40,4,143,2,5,421,1,0,0,20,0,1,0,1,3,1,0,688
221,"J.J.H.SCHOOL KOIRIYAPAR MIDLE PART",734,578,0,1312,380,347,0,727,727,0,10,280,24,4,218,9,3,119,1,4,4,9,2,2,3,16,4,10,5,727
222,"J.J.H.SCHOOL KOIRIYAPAR EAST PART",571,475,0,1046,307,289,0,596,596,0,9,298,163,2,84,5,1,6,0,0,4,2,0,0,2,2,9,5,4,596
223,"PANCHAYAT  BHWAN MUSKURA",922,706,0,1628,460,410,0,870,870,0,25,136,175,7,379,11,4,107,4,2,7,2,1,1,2,7,0,0,0,870
224,"P.P. SHEKHBALIYA",623,494,0,1117,311,279,0,590,590,0,15,61,270,7,179,5,3,41,0,1,1,0,1,2,1,1,1,1,0,590
225,"P.P. RASULPUR WEST PART",806,646,0,1452,396,483,0,879,879,0,29,106,14,17,592,23,6,66,6,6,2,1,0,0,0,6,3,1,1,879
226,"P.P. RASULPUR ESAT PART",444,390,0,834,198,244,0,442,442,0,2,81,20,2,99,2,0,229,2,0,0,0,0,1,1,2,0,1,0,442
227,"P.P. HAMEEDPUR EAST PART",498,467,0,965,248,218,0,466,466,0,2,5,64,3,123,4,0,246,3,1,0,0,3,0,2,5,0,0,5,466
228,"P.P. HAMEEDPUR WEST PART",620,576,0,1196,305,340,0,645,645,0,6,79,67,1,19,3,5,455,2,0,2,0,2,2,0,1,0,0,1,645
229,"J.P.P.GAGUVAVARI HAMEEDPUR	NORTH PART",643,496,0,1139,361,328,0,689,689,0,15,372,18,3,231,14,0,3,0,1,2,1,2,2,7,10,5,1,2,689
230,"J.P.P.GAGUVAVARI HAMEEDPUR	SOUTH PART",537,473,0,1010,279,273,0,552,552,0,15,196,8,10,270,12,4,9,1,2,4,1,3,1,2,9,2,2,1,552
231,"KANYA P.P. FATEHPUR EAST PART",757,585,0,1342,300,372,0,672,672,0,18,131,75,12,377,10,3,16,0,0,2,0,0,1,1,3,5,10,8,672
232,"K.P.P. FATEHPUR WEST PART",604,525,0,1129,208,292,0,500,500,0,5,2,102,8,131,5,0,233,1,0,2,0,0,2,0,5,0,1,3,500
233,"K.P.P. FATEHPUR WEST PART",727,605,0,1332,282,331,0,613,613,0,2,2,178,5,197,4,4,205,3,0,2,1,1,0,0,4,1,2,2,613
234,"K.P.P. FATEHPUR EAST PART",293,206,0,499,144,137,0,281,281,0,2,7,22,2,224,3,1,6,0,0,1,0,1,1,1,2,2,1,5,281
235,"P.P.MASEENA EAST PART",542,442,0,984,260,264,0,524,524,0,19,86,55,4,281,4,1,46,2,3,3,1,1,1,0,7,4,1,5,524
236,"P.P.MASEENA WEST PART",822,668,0,1490,354,386,0,740,740,0,17,26,24,5,367,14,5,250,4,1,2,2,1,3,5,13,0,0,1,740
237,"PANCHAYAT  BHWAN TIGHARA",693,562,0,1255,437,332,0,769,769,0,8,97,86,7,461,16,3,66,2,0,1,2,1,1,1,5,9,0,3,769
238,P.P.NOKHAT,850,683,1,1534,391,384,0,775,775,0,15,198,68,6,345,9,4,99,4,0,4,3,0,5,3,10,1,0,1,775
239,"P.P.BHARTIYA KADIPUR",827,689,0,1516,442,357,0,799,799,0,11,350,26,14,331,11,3,13,1,0,4,0,1,4,4,8,8,5,5,799
240,"P.P.LILARI BHRAULI NORTH PART",778,616,0,1394,376,334,0,710,710,0,10,301,80,6,252,8,4,14,1,0,5,1,1,4,0,11,3,4,5,710
241,"P.P.LILARI BHRAULI SOUTH PART",578,470,0,1048,300,296,0,596,596,0,13,45,90,5,379,14,1,15,3,1,5,3,1,3,0,7,1,1,9,596
242,P.P.ABBUPUR,752,646,0,1398,403,375,0,778,778,0,3,387,104,6,178,0,6,45,4,1,4,0,0,9,2,17,5,3,4,778
243,"K.M.V.PARAMUBARKPUR EAST PART",697,583,0,1280,396,361,0,757,757,0,7,400,90,9,193,4,1,19,2,4,4,2,1,9,4,3,2,1,2,757
244,"K.M.V.PARAMUBARKPUR WEST PART",182,157,0,339,93,86,0,179,179,0,0,32,99,0,8,1,2,20,0,1,0,0,0,0,2,1,1,2,10,179
245,P.P.SENDURAAICH,886,759,0,1645,447,445,0,892,892,0,6,323,162,8,211,7,4,129,2,1,4,1,3,2,5,4,14,3,3,892
246,"DHNAWATI KANYA U.M.VIDYALAY DHAVARIYASATH NORTH PART",499,412,0,911,244,251,0,495,495,0,9,7,78,8,277,18,4,69,1,1,0,1,0,4,5,5,3,2,3,495
247,"DHNAWATI KANYA U.M.VIDYALAY DHAVARIYASATH MIDLEPART",486,375,1,862,239,190,0,429,429,0,1,61,17,4,306,4,0,24,1,0,2,3,1,0,0,4,0,0,1,429
248,"DHNAWATI KANYA U.M.VIDYALAY DHAVARIYASATH EAST PART",922,682,0,1604,398,320,0,718,718,0,18,98,34,11,482,12,1,40,1,0,3,4,0,2,3,7,2,0,0,718
249,"H.SCHOOL DHAVARIYASATH	NORTH PART-2",655,516,0,1171,286,258,0,544,544,0,6,166,56,6,199,6,2,73,0,1,0,1,0,3,3,9,2,4,7,544
250,"H.SCHOOL DHAVARIYASATH	WEST PART",945,696,0,1641,532,442,0,974,974,0,4,458,171,2,27,1,2,191,3,2,4,74,2,6,4,5,3,9,6,974
251,"H.SCHOOL DHAVARIYASATH	SOUTH PART",560,445,0,1005,272,190,0,462,462,0,3,124,72,24,213,3,1,10,0,0,0,2,0,0,1,2,2,3,2,462
252,"ISLAMIYA SCHOOL JOGARI MIDLE PART",776,657,0,1433,343,356,0,699,699,0,15,98,129,4,85,1,0,349,1,1,3,0,0,1,1,5,1,1,4,699
253,"P.P. KOTVAKOPDA	NORTH PART",497,370,0,867,266,210,0,476,476,0,7,45,42,9,338,9,0,13,1,0,2,2,0,1,0,4,0,0,3,476
254,"P.P.KOTVAKOPDA WEST PART",740,579,0,1319,399,270,0,669,669,0,7,210,88,4,117,6,3,199,8,1,3,3,5,1,5,6,2,1,0,669
255,"J.H.SCHOOL KURTHIJAFARPUR NORTH PART",1006,669,0,1675,522,307,0,829,829,0,7,66,45,6,409,1,2,260,1,0,3,24,1,0,0,1,1,0,2,829
256,"J.H.SCHOOL KURTHIJAFARPUR NORTH PART-2",903,642,0,1545,582,389,0,971,971,0,6,158,82,12,62,2,5,615,3,1,3,21,0,0,0,1,0,0,0,971
257,"KANYA P.P. KURTHIJAFARPUR",861,564,0,1425,523,336,0,859,859,0,2,86,24,5,38,3,0,663,4,1,0,23,0,2,0,4,1,2,1,859
258,"KANYA P.P. KURTHIJAFARPUR",775,488,0,1263,447,317,0,764,764,0,3,39,34,5,121,3,2,529,1,4,0,15,0,1,0,2,2,2,1,764
259,"PANCHAYAT  BHWAN KURTHIJAFARPUR",633,492,0,1125,294,212,0,506,506,0,6,200,33,8,170,8,0,59,1,0,4,7,0,1,0,1,2,4,2,506
260,"ISLAMIYA SCHOOL PARA NEW BUILDING NORTH PART",608,472,0,1080,358,310,0,668,668,0,0,19,17,0,35,2,3,579,0,1,1,3,0,0,1,4,1,0,2,668
261,"ISLAMIYA SCHOOL PARA NEW BUILDING NORTH PART -1",516,319,0,835,300,180,0,480,480,0,1,26,10,2,38,2,4,388,2,0,0,3,0,1,0,1,1,0,1,480
262,"ISLAMIYA SCHOOL PARA NEW BUILDING SOUTH PART",567,414,0,981,299,209,0,508,508,0,5,85,16,6,172,3,1,194,2,3,1,2,0,2,0,5,3,4,4,508
263,"ISLAMIYA SCHOOL PARA NEW BUILDING SOUTH PART -1",581,387,0,968,353,224,0,577,577,0,1,228,13,3,19,0,2,303,1,1,0,1,0,0,1,4,0,0,0,577
264,"P.P. FAIZULLAHPUR",639,473,0,1112,278,320,0,598,598,0,5,204,169,10,134,4,4,40,3,2,6,1,1,5,1,2,2,0,5,598
265,"J.H. SCHOOL FAIZULLAHPUR SOUTH PART",666,533,0,1199,366,297,0,663,663,0,12,361,70,3,174,3,0,2,0,9,3,1,1,4,1,0,11,2,6,663
266,"J.H.SCHOOL FAIZULLAHPUR NORTH PART",687,554,0,1241,374,296,0,670,670,0,6,170,179,5,264,8,7,9,0,2,5,1,1,1,0,6,2,1,3,670
267,"P.P. JAHANIYAPUR	NORTH PART",410,352,0,762,209,186,0,395,395,0,5,27,31,6,297,6,2,8,0,0,2,1,0,0,2,6,1,1,0,395
268,"P.P.JAHANIYAPUR SOUTH PART",544,392,0,936,280,206,0,486,486,0,6,133,77,4,212,6,0,19,1,0,2,2,1,13,0,8,1,1,0,486
269,"P.P. BHAVARKOL SOUTH PART",554,447,0,1001,269,206,0,475,475,0,3,11,95,5,207,7,1,127,5,1,1,0,0,0,0,2,5,2,3,475
270,"P.P.BHWARKOL NORTH PART",630,505,0,1135,273,280,0,553,553,0,4,217,181,2,85,3,3,34,2,0,2,2,0,2,3,5,4,2,2,553
271,"P.P. NAUSEMAR",951,723,0,1674,568,437,0,1005,1005,0,7,270,553,8,100,4,1,19,1,2,5,3,3,2,3,9,1,5,9,1005
272,"P.P.KACHIKLA SOUTH PART",673,526,0,1199,382,299,0,681,681,0,14,67,77,7,444,11,4,8,0,2,5,6,2,3,2,12,5,2,10,681
273,"P.P.KACHIKLA EAST  PART",442,366,0,808,241,193,0,434,434,0,9,183,102,1,126,0,1,0,0,0,2,0,0,1,2,1,2,3,1,434
274,"BALBADI KEND HIKAMA EAST PART",1019,811,0,1830,601,444,0,1045,1045,0,5,9,386,7,132,5,1,465,4,3,0,6,0,3,0,5,3,1,10,1045
275,"BALBADI KEND HIKAMA WEST PART",594,541,0,1135,317,251,0,568,568,0,11,93,166,3,145,1,5,117,6,0,1,2,1,0,0,4,3,2,8,568
276,"M.U.M.I.SCHOOL KOPAGANJ EAST PART",850,626,0,1476,442,331,0,773,773,0,18,16,344,7,206,6,2,147,1,1,0,10,1,1,3,4,1,0,5,773
277,"M.U.M.I.SCHOOL KOPAGANJ MIDLE PART",482,420,0,902,275,200,0,475,475,0,5,2,263,3,76,0,0,118,0,1,0,6,0,0,0,0,1,0,0,475
278,"M.U.M.I.SCHOOL KOPAGANJ MIDLE PART",514,439,1,954,342,246,0,588,588,0,6,3,379,1,37,0,0,155,1,1,1,2,0,0,0,0,0,2,0,588
279,"M.U.M.I.SCHOOL KOPAGANJ MIDLE PART-2",606,541,0,1147,348,304,0,652,652,0,2,12,424,9,10,1,0,180,1,0,2,2,0,1,0,0,0,0,8,652
280,"M.U.M.I.SCHOOL KOPAGANJ MIDLE PART -3",687,589,0,1276,394,344,0,738,738,0,3,12,247,1,229,2,1,218,2,3,3,1,3,2,2,8,0,0,1,738
281,"M.U.M.I.SCHOOL KOPAGANJ NORTH PART",777,602,0,1379,501,358,0,859,859,0,2,11,377,8,130,1,3,311,3,2,1,5,0,1,0,3,1,0,0,859
282,"M.U.M.I.SCHOOL KOPAGANJ MIDLE PART -5",395,340,0,735,233,179,0,412,412,0,10,2,28,5,321,2,0,37,1,0,0,0,1,1,0,3,0,0,1,412
283,"M.U.M.I.SCHOOL KOPAGANJ MIDLE PART -6",420,346,0,766,219,167,0,386,386,0,34,5,49,2,222,3,0,65,1,0,0,1,0,2,0,0,0,2,0,386
284,"M.U.M.I.SCHOOL KOPAGANJ MIDLE PART -7",805,662,0,1467,526,352,0,878,878,0,6,22,317,3,128,2,0,370,3,3,0,10,1,0,0,4,2,0,7,878
285,"M.U.M.I.SCHOOL KOPAGANJ MIDLE PART -7",625,458,0,1083,364,287,0,651,651,0,3,3,280,2,55,0,3,303,1,0,0,0,0,0,0,1,0,0,0,651
286,"M.U.M.I.SCHOOL KOPAGANJ EAST PART",884,731,0,1615,533,436,0,969,969,0,11,35,129,4,157,3,3,573,6,1,1,28,2,1,0,4,0,3,8,969
287,"KANYA P.P. KOPAGANJ WEST PART",770,586,0,1356,476,347,0,823,823,0,4,51,302,9,185,2,3,252,1,1,0,4,0,1,2,3,1,0,2,823
288,"P.P.KOTVAKOPDA MIDLE  PART",296,233,0,529,199,166,0,365,365,0,0,11,162,3,60,1,1,124,0,0,0,0,0,1,0,1,0,0,1,365
289,"P.P.KOPAGANJ EAST PART-1",690,530,0,1220,392,314,0,706,706,0,3,11,131,16,148,1,1,384,1,0,1,3,0,1,0,1,2,0,2,706
290,"P.P.KOPAGANJ EAST PART-2",575,459,0,1034,345,276,0,621,621,0,2,3,129,4,113,2,2,334,6,5,0,11,1,0,1,3,1,3,1,621
291,"SARSWATI SISHU MANDIR KOPAGANJ EAST PART",819,679,0,1498,482,484,0,966,966,0,5,21,122,3,218,0,7,558,5,2,1,15,1,1,0,6,0,0,1,966
292,"SARSWATI SISHU MANDIR KOPAGANJ WEST PART",798,623,0,1421,430,359,0,789,789,0,11,3,214,4,265,2,0,284,1,1,0,1,1,1,0,0,0,0,1,789
293,"SARSWATI SISHU MANDIR KOPAGANJ MIDLE PART",611,474,0,1085,387,308,0,695,695,0,2,22,183,9,365,1,3,98,2,0,1,0,0,2,0,3,1,0,3,695
294,"SARSWATI SISHU MANDIR KOPAGANJ MIDLE PART -2",735,590,0,1325,379,309,0,688,688,0,10,20,44,6,502,5,2,85,1,1,1,0,3,0,0,3,2,0,3,688
295,"BAPU I.C. KOPAGANJ NORTH PART",980,789,0,1769,462,388,0,850,850,0,9,84,26,10,666,15,4,16,0,0,2,1,2,1,1,5,5,0,3,850
296,"BAPU I.C. KOPAGANJ NORTH PART-1",597,470,0,1067,320,282,0,602,602,0,3,364,18,5,174,2,0,14,0,0,0,1,0,4,6,5,2,3,1,602
297,"BAPU I.C. KOPAGANJ MIDLE  PART",212,187,0,399,119,106,0,225,225,0,1,61,36,2,110,6,4,2,1,0,1,0,0,0,1,0,0,0,0,225
298,"BAPU I.C. KOPAGANJ MIDLE  PART",691,514,0,1205,398,292,0,690,690,0,15,175,51,14,361,11,7,10,1,4,8,0,1,4,6,11,5,1,5,690
299,"BAPU I.C. KOPAGANJ MIDLE  PART -1",599,500,0,1099,294,275,0,569,569,0,2,154,74,6,207,7,1,90,2,0,4,2,1,11,2,5,1,0,0,569
300,"P.P. DEVKALI BISHUNPUR",842,700,0,1542,482,488,0,970,970,0,8,512,134,9,229,7,6,38,2,0,1,1,1,3,3,7,2,4,3,970
301,"P.P. DEVKALI BISHUNPUR",85,74,0,159,35,40,0,75,75,0,0,47,4,0,19,1,0,3,0,0,0,0,0,0,0,0,0,1,0,75
302,"P.P. BHADSAMANOPUR",726,638,0,1364,407,353,0,760,760,0,7,11,214,18,331,5,2,165,1,0,1,1,0,0,0,3,0,1,0,760
303,"PANCHAYAT  BHWAN BHADSAMANOPUR",585,438,0,1023,251,349,0,600,600,0,4,207,102,8,75,0,2,169,2,2,2,2,1,3,0,8,4,0,9,600
304,"P.P. DHEKVARA",368,295,0,663,216,198,0,414,414,0,2,312,58,2,27,0,0,3,0,0,1,0,0,1,1,1,0,6,0,414
305,P.P.ALLIPUR,233,198,0,431,138,118,0,256,256,256,0,45,154,1,37,1,0,13,0,0,2,0,0,0,0,2,0,0,1,256
306,"P.P. JAIRAMGARH",705,605,0,1310,414,379,0,793,793,0,7,265,67,14,316,10,2,83,1,1,1,0,0,3,2,11,1,7,2,793
307,"J.H.SCHOOL LAIRODONVAR EAST PART",814,673,0,1487,439,399,0,838,838,0,10,292,61,17,325,3,4,98,3,3,5,1,1,3,0,6,1,5,0,838
308,"J.H.SCHOOL LAIRODONVAR MIDLE PART",524,453,0,977,288,231,0,519,519,0,4,78,109,30,250,5,1,25,3,2,1,1,0,1,1,3,3,0,2,519
309,"J.H.SCHOOL LAIRODONVAR MIDLE PART -1",712,557,0,1269,323,296,0,619,619,0,11,168,62,1,266,5,1,81,1,1,3,0,1,4,1,11,0,1,1,619
310,"P.P. PIPRAUTA",185,144,0,329,124,62,0,186,186,0,0,93,11,2,50,0,0,22,0,0,2,1,0,0,1,2,0,1,1,186
311,P.P.RAEESA,821,662,0,1483,414,402,0,816,816,0,8,250,88,10,400,10,4,14,2,9,3,2,2,2,0,3,3,4,2,816
312,"J.H.SCHOOL KASARA",888,706,0,1594,438,370,0,808,808,0,10,19,163,15,526,13,1,23,3,0,7,6,1,2,2,12,1,0,4,808
313,"P.P. KASARA EAST PART",699,564,0,1263,313,360,0,673,673,0,4,257,206,11,148,4,1,25,0,1,4,0,0,0,1,8,3,0,0,673
314,"P.P.KASARA  MIDLE PART",892,706,0,1598,452,409,0,861,861,0,10,202,126,14,446,12,0,11,3,5,6,6,4,2,6,4,0,2,2,861
315,"P.P. MAHUVARBASGITIYA EAST PART",549,467,0,1016,340,227,0,567,567,0,6,10,50,8,463,3,2,10,1,0,0,0,0,7,1,3,0,0,3,567
316,"P.P.MAHUVARBASGITIYA	 EAST PART",575,478,0,1053,299,268,0,567,567,0,3,411,9,8,78,3,2,27,2,1,2,1,0,1,1,2,4,7,5,567
317,"P.P.MAHUVARBASGITIYA	 EAST PART",319,287,0,606,209,186,0,395,395,0,2,13,40,4,275,5,0,34,1,1,1,2,2,1,0,5,2,1,6,395
318,"P.P. INDARA WEST PART",860,672,0,1532,495,400,0,895,895,0,5,228,166,9,401,11,2,32,2,0,3,3,4,12,1,7,1,5,3,895
319,"P.P.INDARA EAST PART",441,355,0,796,222,190,0,412,412,0,3,16,155,7,204,3,0,5,1,0,1,0,0,8,1,1,3,0,4,412
