"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JAGDAMBIKA PAL","2 - MATA PRASAD PANDEY","3 - MUHAMMAD MUQEEM","4 - VASUNDHARA","5 - HAMIDULLAH CHAUDHARY","6 - DR. MOHD. AYUB","7 - ARJUN SINGH","8 - PINGLE PRASAD","9 - BADRE ALAM","10 - MANOJ KUMAR","11 - RAVI KUMAR","12 - DR. SATYENDRA  NATH PANDEY","13 - SANTRAM","14 - KALI RAM","15 - DIWAKAR PRASAD","16 - MUKESH NARAYAN SHUKLA URF GYANESH NARAYAN SHUKLA","17 - RAM UGRAH","18 - None of the Above","Total Votes Secured"
30,BHAGWANPUR,694,597,0,1291,325,347,0,672,670,0,80,21,203,57,7,242,4,9,0,1,3,9,3,5,2,17,1,8,672
31,RASOOLPUR,874,693,0,1567,360,396,0,756,755,0,90,46,91,19,10,467,0,1,3,2,4,6,1,2,1,9,3,1,756
32,RASOOLPUR,889,718,0,1607,424,402,0,826,825,0,321,33,188,38,5,190,3,5,5,3,4,9,3,2,3,9,4,1,826
33,BANGAEE,237,187,0,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,PIPRASAN,621,523,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"BURDPUR NO 7",567,452,0,1019,450,117,0,567,566,0,184,30,84,22,4,216,3,7,1,2,1,7,0,2,0,2,1,1,567
36,"BURDPUR NO 7",316,276,0,592,179,155,0,334,331,0,161,53,52,19,4,11,6,1,1,1,3,3,1,2,3,7,3,3,334
37,"BURDPUR NO 7",398,337,0,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"BURDPUR NO 7",399,397,0,796,220,205,0,425,422,0,267,14,62,15,2,35,0,1,1,0,1,6,4,2,0,1,11,3,425
39,"BURDPUR NO 7",491,417,0,908,234,216,0,450,448,0,238,20,60,22,2,78,3,1,1,4,3,8,1,0,1,6,0,2,450
40,"BURDPUR NO 7",454,394,0,848,245,200,0,445,433,0,200,14,95,24,2,65,0,0,1,2,1,7,2,0,1,9,10,12,445
41,"BURDPUR NO 8",615,512,0,1127,292,246,0,538,533,0,307,59,62,18,1,28,0,2,3,2,2,13,2,2,0,15,17,5,538
42,"BURDPUR NO 8",582,476,1,1059,284,237,0,521,520,0,279,36,54,32,4,55,3,4,8,1,4,7,1,6,2,13,11,1,521
43,"BURDPUR NO 8",719,531,0,1250,283,232,0,515,515,0,65,49,53,9,15,285,1,4,1,3,3,14,0,4,3,6,0,0,515
44,"BURDPUR NO 8",609,467,0,1076,250,255,0,505,500,0,81,49,63,49,7,216,0,1,2,1,2,8,5,2,0,9,5,5,505
45,"BURDPUR NO 8",563,511,0,1074,240,224,0,464,459,0,140,64,72,5,6,151,4,3,2,0,1,4,0,2,0,4,1,5,464
46,"BURDPUR NO 9",479,374,0,853,239,211,0,450,447,0,257,33,65,18,3,26,0,0,1,4,5,10,2,4,3,10,6,3,450
47,"BURDPUR NO 9",566,444,0,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,"BURDPUR NO 9",588,524,0,1112,363,326,0,689,673,0,284,42,199,33,3,64,0,1,3,1,2,10,1,4,10,0,16,16,689
49,"BURDPUR NO 9",350,301,0,651,205,192,0,397,394,0,219,57,90,5,1,3,3,1,0,0,1,2,3,2,2,2,3,3,397
50,"BURDPUR NO 9",698,640,0,1338,425,381,0,806,798,0,156,64,494,11,3,31,5,5,0,1,3,5,3,5,3,6,3,8,806
51,"BURDPUR NO 9",689,566,0,1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"BURDPUR NO 9",614,496,0,1110,377,266,0,643,637,0,400,115,49,17,2,44,1,0,1,0,0,3,1,0,1,2,1,6,643
53,"BURDPUR NO 9",498,386,0,884,288,232,0,520,514,0,232,99,60,16,24,67,1,0,2,1,0,4,3,2,0,1,2,6,520
54,PAKDEHVA,343,289,0,632,200,187,0,387,387,0,119,22,117,12,7,92,3,0,1,0,2,4,1,1,1,5,0,0,387
55,KHALEELPUR,460,349,0,809,202,216,0,418,413,0,123,5,43,17,16,184,2,1,7,1,1,6,1,0,0,4,2,5,418
56,KHALEELPUR,448,341,0,789,158,174,0,332,330,0,50,5,71,9,1,176,3,0,0,1,4,2,0,1,0,5,2,2,332
57,KHALEELPUR,540,423,0,963,246,216,0,462,460,0,180,24,41,19,2,165,1,2,3,0,2,6,2,2,3,3,5,2,462
58,KHALEELPUR,405,332,1,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,KHALEELPUR,664,604,0,1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,SHIVPATINAGAR,690,552,0,1242,382,273,0,655,654,0,396,31,74,51,6,64,0,1,5,1,1,4,2,6,0,9,3,1,655
61,SHIVPATINAGAR,788,677,0,1465,403,335,0,738,734,0,305,66,114,55,9,149,0,1,1,2,1,15,0,0,6,6,4,4,738
62,SHIVPATINAGAR,630,518,0,1148,290,362,0,652,648,0,216,12,213,105,4,69,3,3,1,3,0,9,1,3,0,3,3,4,652
63,"MADHUBANI KHAS",528,454,0,982,203,207,0,410,409,0,54,29,64,55,10,172,2,2,2,0,0,4,1,4,2,6,2,1,410
64,"MADHUBANI KHAS",613,491,0,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,MADHUBANI,575,517,0,1092,250,244,0,494,489,0,42,70,54,166,11,115,2,0,3,1,5,5,1,3,1,7,3,5,494
66,MADHUBANI,628,576,0,1204,290,270,0,560,555,0,117,145,90,111,4,54,3,4,3,3,1,5,3,2,2,7,1,5,560
67,RAMPUR,676,560,0,1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,RAMPUR,749,651,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,HARDASHPUR,838,582,0,1420,358,328,0,686,686,0,120,71,241,22,15,200,1,1,0,0,0,10,1,1,2,1,0,0,686
70,HARDASHPUR,588,492,0,1080,294,266,0,560,557,0,146,88,108,29,2,145,3,7,3,1,2,7,0,3,2,6,5,3,560
71,"BURDPUR NO 10",516,451,0,967,251,248,0,499,494,0,175,95,48,17,3,112,0,1,2,1,2,5,3,2,3,17,8,5,499
72,"BURDPUR NO 10",437,378,0,815,256,228,0,484,478,0,220,67,106,4,3,55,1,3,0,0,1,10,0,1,0,3,4,6,484
73,"BURDPUR NO 10",361,302,0,663,161,153,0,314,312,0,133,49,24,7,3,74,1,1,1,0,0,8,1,1,0,5,4,2,314
74,"BURDPUR NO 10",709,514,0,1223,270,240,0,510,508,0,166,49,102,4,0,151,2,5,2,1,0,8,0,4,1,7,6,2,510
75,"BURDPUR NO 10",522,428,0,950,272,230,0,502,501,0,172,164,64,17,3,46,2,3,3,2,1,5,2,1,5,8,3,1,502
76,"BURDPUR NO 10",637,542,0,1179,336,295,0,631,630,0,338,126,76,32,1,13,1,1,1,0,4,12,3,5,2,11,4,1,631
77,"BURDPUR NO 10",566,498,0,1064,265,277,0,542,536,0,112,78,154,14,2,145,0,3,3,4,1,8,1,3,2,6,0,6,542
78,"BURDPUR NO 11",404,294,0,698,300,40,0,340,339,0,147,45,105,7,0,27,1,2,0,0,0,2,1,1,0,1,0,1,340
79,"BURDPUR NO11",662,509,0,1171,224,182,0,406,405,0,110,126,66,21,2,71,1,1,0,0,2,1,0,0,2,1,1,1,406
80,"BURDPUR NO 11",759,545,0,1304,325,278,0,603,600,0,142,127,169,34,4,74,1,6,0,1,0,15,4,2,5,16,0,3,603
81,"BURDPUR NO 11",670,539,0,1209,315,295,0,610,607,0,279,31,188,8,3,45,2,9,4,1,2,9,3,7,4,8,4,3,610
82,"BURDPUR NO 11",513,487,0,1000,204,249,0,453,449,0,49,151,68,10,2,161,2,0,1,0,1,1,0,0,1,1,1,4,453
83,"BURDPUR NO 11",326,289,0,615,136,130,0,266,266,0,6,109,45,19,3,75,1,1,0,1,2,0,0,1,1,2,0,0,266
84,"BURDPUR NO 12",636,498,2,1136,243,202,0,445,443,0,127,25,33,13,1,221,3,0,0,1,0,5,1,1,1,7,4,2,445
85,"BURDPUR NO 12",560,500,0,1060,334,230,0,564,563,0,363,53,57,18,1,42,1,2,0,3,1,10,0,2,1,6,3,1,564
86,"BURDPUR NO 12",652,548,0,1200,283,215,0,498,497,0,117,123,79,25,3,127,0,2,1,3,0,4,2,1,1,4,5,1,498
87,"BURDPUR NO 12",673,599,0,1272,366,255,0,621,618,0,322,59,130,16,2,70,2,1,4,1,0,4,0,2,0,1,4,3,621
88,BURDPURNO12,530,448,0,978,198,220,0,418,418,0,19,16,33,8,1,309,2,4,2,2,2,9,0,1,5,5,0,0,418
89,"BURDPUR NO12",593,522,0,1115,261,241,0,502,499,0,177,61,92,17,1,107,3,0,2,1,2,15,3,5,4,8,1,3,502
90,"BURDPUR NO 12",743,646,0,1389,388,330,0,718,714,0,68,303,128,35,3,138,6,5,1,0,3,5,1,4,8,5,1,4,718
91,"BURDPUR NO 12",387,373,0,760,242,217,0,459,457,0,99,80,59,35,4,149,5,1,2,1,4,0,0,0,2,7,9,2,459
92,"BURDPUR NO 13",438,416,0,854,209,202,0,411,406,0,166,44,78,21,1,57,1,5,5,0,2,8,2,2,3,1,10,5,411
93,"BURDPUR NO 13",521,478,0,999,273,325,0,598,571,0,41,315,135,31,1,30,0,3,0,0,1,7,0,2,0,2,3,27,598
94,"BURDPUR NO13",563,504,0,1067,253,257,0,510,509,0,76,120,155,10,8,104,2,4,8,1,5,8,1,1,4,1,1,1,510
95,"BURDPUR NO 13",471,398,0,869,231,208,0,439,433,0,185,64,55,4,1,62,1,6,5,5,3,10,4,6,3,9,10,6,439
96,"BURDPUR NO 13",353,273,0,626,150,127,0,277,277,0,147,11,47,2,0,49,0,2,2,0,0,5,0,2,0,7,3,0,277
97,"BURDPUR NO 13",770,644,0,1414,365,343,0,708,708,0,198,188,103,19,5,111,5,10,3,2,1,20,3,3,26,8,3,0,708
98,"BURDPURNO 14",650,491,0,1141,314,262,0,576,568,0,77,32,59,24,4,319,7,1,2,3,2,9,4,2,4,9,10,8,576
99,"BURDPURNO 14",528,329,0,857,177,155,0,332,330,0,29,10,46,29,3,191,1,2,1,0,0,3,1,2,4,6,2,2,332
100,"BURDPURNO 14",779,691,0,1470,493,389,0,882,875,0,478,140,117,34,2,82,1,3,2,0,3,5,1,0,1,0,6,7,882
101,BURDPURNO14,669,612,0,1281,407,368,0,775,772,0,591,63,56,13,1,10,1,2,1,4,1,4,2,5,0,9,9,3,775
102,BURDPURNO14,461,366,0,827,292,214,0,506,506,0,324,80,38,31,1,20,0,2,1,1,0,1,1,0,3,3,0,0,506
103,BURDPURNO14,454,405,0,859,299,235,0,534,529,0,251,153,58,7,0,44,0,0,1,0,0,3,0,0,1,6,5,5,534
104,"BURDPUR NO 14 NAUGAR",464,359,0,823,260,254,0,514,509,0,79,224,133,17,1,39,1,3,0,0,1,3,2,3,0,2,1,5,514
105,"BURDPUR NO 14 NAUGAR",621,492,0,1113,310,228,0,538,538,0,287,91,81,14,0,55,0,3,0,0,0,2,0,2,1,1,1,0,538
106,BURDPURNO14,601,420,0,1021,330,268,0,598,596,0,92,304,63,34,7,75,1,4,0,0,1,3,0,1,0,7,4,2,598
107,"BURDPUR NO 14",586,458,0,1044,275,260,0,535,531,0,247,90,117,15,3,13,3,5,3,1,2,9,1,5,1,7,9,4,535
108,ROHUDEELA,691,551,0,1242,328,304,0,632,629,0,268,49,67,78,6,117,2,0,1,0,4,9,1,2,8,9,8,3,632
109,ROHUDEELA,494,437,0,931,225,245,0,470,470,0,170,32,85,27,5,115,1,1,0,1,3,8,6,1,6,8,1,0,470
110,RAMGARH,811,678,0,1489,412,386,0,798,793,0,180,36,187,17,4,299,9,8,3,2,6,12,6,7,2,9,6,5,798
111,RAMGARH,570,430,0,1000,290,287,0,577,577,0,144,22,87,3,3,290,4,3,1,1,1,4,1,6,4,2,1,0,577
112,PARSOHIYA,420,340,0,760,256,167,0,423,421,0,259,33,91,13,0,0,2,1,2,2,0,7,0,1,1,5,4,2,423
113,BELTEEKAR,440,379,0,819,246,204,0,450,448,0,312,34,66,6,1,11,0,1,0,0,0,2,0,3,0,8,4,2,450
114,BELTEEKAR,529,463,0,992,301,248,0,549,547,0,391,57,33,17,2,3,6,3,2,2,2,17,1,1,1,7,2,2,549
115,VELOHA,476,396,0,872,290,194,0,484,483,0,228,68,90,51,3,4,1,2,1,2,2,2,0,3,3,14,9,1,484
116,GUJRAULIYA,372,332,0,704,195,177,0,372,370,0,96,112,24,108,4,1,1,0,1,0,0,6,4,1,4,6,2,2,372
117,PANERI,620,454,0,1074,310,282,0,592,584,0,153,41,116,69,2,168,1,1,0,0,2,10,1,4,6,2,8,8,592
118,"SIKRI BAKHRIYA",616,467,0,1083,349,292,0,641,640,0,158,61,56,238,2,95,3,1,1,1,1,6,1,1,1,10,4,1,641
119,FULVARIYA,425,355,0,780,244,248,0,492,489,0,226,17,108,65,2,3,12,3,0,0,0,13,1,2,3,14,20,3,492
120,GARMOR,784,639,0,1423,489,379,0,868,864,0,303,216,78,195,4,10,0,2,0,0,7,15,2,3,4,20,5,4,868
121,MURDILI,471,389,0,860,259,205,0,464,459,0,202,90,27,93,3,2,4,0,1,1,1,4,2,1,5,17,6,5,464
122,MURDILI,507,437,0,944,327,274,0,601,591,0,299,213,28,15,1,8,0,0,1,0,3,4,0,1,1,3,14,10,601
123,LAKDEE,305,242,0,547,192,141,0,333,330,0,131,78,74,30,1,3,1,2,2,1,0,1,0,1,0,3,2,3,333
124,PANNI,709,579,0,1288,481,383,0,864,864,0,414,128,144,109,2,10,7,3,1,3,3,9,1,6,7,15,2,0,864
125,MAHTHAVAL,341,268,0,609,181,155,0,336,335,0,176,81,31,24,3,1,0,3,0,0,0,4,1,2,2,4,3,1,336
126,MAHTHAVAL,287,244,0,531,178,150,0,328,326,0,96,25,51,115,11,1,0,8,1,2,0,6,1,0,3,3,3,2,328
127,LAKDA,271,216,0,487,181,135,0,316,315,0,111,80,30,50,5,10,6,4,0,0,0,4,3,4,1,5,2,1,316
128,BASTIA,476,380,0,856,282,213,0,495,492,0,200,23,38,185,3,1,0,0,2,0,3,4,5,4,1,17,6,3,495
129,DAFALIPUR,272,242,0,514,146,165,0,311,309,0,68,11,39,173,5,1,1,0,0,1,0,1,1,1,2,3,2,2,311
130,PANERA,555,458,0,1013,307,270,0,577,576,0,185,134,30,146,7,48,1,0,0,3,4,2,1,3,2,8,2,1,577
131,PANERA,514,415,0,929,268,240,0,508,503,0,146,61,105,102,7,51,1,3,3,1,3,5,0,2,2,6,5,5,508
132,"DULHA JANUBEE",548,401,0,949,301,255,0,556,554,0,359,39,23,78,4,2,2,2,1,2,5,8,4,4,5,13,3,2,556
133,BARGADVA,549,429,0,978,261,226,0,487,487,0,116,61,30,18,4,223,7,1,2,2,3,7,1,1,2,4,5,0,487
134,"DULHA DARMAYANI",654,550,0,1204,305,374,0,679,674,0,264,57,139,55,6,63,1,8,3,6,4,14,5,6,6,23,14,5,679
135,"DULHA DARMAYANI",680,586,0,1266,384,288,0,672,668,0,264,81,68,74,3,125,3,5,5,2,2,11,2,1,3,14,5,4,672
136,"DULHA KHURD",584,475,0,1059,317,253,0,570,570,0,139,55,166,23,1,148,2,11,2,1,3,5,2,1,1,7,3,0,570
137,"DULHA KHURD",724,599,0,1323,437,343,0,780,779,0,356,66,162,24,3,111,2,4,1,2,4,12,6,4,3,11,8,1,780
138,"DULHA SHUMALI",633,447,0,1080,306,272,0,578,572,0,251,81,70,14,6,110,4,3,4,1,1,6,3,4,4,6,4,6,578
139,"DULHA SHUMALI",581,408,0,989,320,206,0,526,525,0,408,54,4,12,0,32,0,0,2,2,0,3,0,1,0,5,2,1,526
140,"DULHA SHUMALI",476,384,0,860,323,215,0,538,535,0,367,28,50,20,2,43,0,3,0,0,1,7,1,1,1,2,9,3,538
141,"DULHA SHUMALI",448,384,0,832,227,199,0,426,426,0,318,6,25,15,1,25,2,1,0,1,0,7,1,3,3,9,9,0,426
142,"DULHA SHUMALI",426,361,0,787,277,214,0,491,490,0,373,20,34,19,2,1,7,3,0,4,2,6,3,1,3,6,6,1,491
143,"DULHA SHUMALI",500,380,0,880,271,220,0,491,490,0,265,17,101,11,4,47,2,4,2,3,3,8,2,4,2,5,10,1,491
144,JHAGATI,495,427,0,922,279,243,0,522,514,0,338,23,24,20,3,30,1,2,0,3,2,19,5,6,0,19,19,8,522
145,BHUJAULI,507,426,0,933,277,233,0,510,510,0,399,33,24,24,4,12,2,1,0,0,0,2,0,1,1,0,7,0,510
146,BUDA,578,481,0,1059,282,294,0,576,575,0,318,118,90,28,2,2,4,1,0,1,2,2,2,0,2,2,1,1,576
147,PATILA,451,374,0,825,217,205,0,422,403,0,234,22,87,14,0,1,1,2,1,2,2,8,1,3,2,5,18,19,422
148,TIGHRA,572,453,0,1025,308,256,0,564,563,0,329,96,73,37,4,11,0,2,1,1,0,3,2,1,0,1,2,1,564
149,KEVTALIYA,424,314,0,738,232,179,0,411,410,0,210,22,66,55,3,24,0,0,3,1,0,6,3,5,2,10,0,1,411
150,KHERATEE,514,405,0,919,281,229,0,510,510,0,198,141,132,23,5,0,2,1,0,1,1,3,0,0,0,2,1,0,510
151,BARDAHVA,250,205,0,455,134,113,0,247,246,0,106,67,29,24,3,0,0,3,0,2,1,1,0,2,1,3,4,1,247
152,THOTHARI,514,439,0,953,323,334,0,657,652,0,195,84,30,39,11,258,1,6,0,3,1,7,0,2,4,5,6,5,657
153,ABHAYPUR,354,336,1,691,217,214,0,431,431,0,264,38,48,20,0,31,3,1,0,1,1,6,2,1,0,9,6,0,431
154,FUTUK,309,231,0,540,169,136,0,305,304,0,231,5,23,22,1,0,0,0,1,2,1,4,1,1,0,6,6,1,305
155,LOHRAULEE,407,379,0,786,259,197,0,456,452,0,299,14,37,43,2,7,2,0,0,0,3,9,1,2,1,19,13,4,456
156,KARMAINI,291,247,0,538,188,173,0,361,356,0,185,52,49,27,3,8,0,1,0,1,2,10,1,0,2,13,2,5,361
157,"RASIAVAL KALA",384,331,0,715,229,192,0,421,416,0,174,35,39,41,1,77,1,1,1,1,1,11,3,2,2,13,13,5,421
158,"RASIAVAL KHURD",434,372,0,806,284,265,0,549,542,0,327,53,90,22,0,10,5,1,1,1,1,8,1,2,1,9,10,7,549
159,HARIVANSHPUR,721,624,0,1345,374,381,0,755,754,0,289,53,248,40,4,49,5,8,1,3,6,9,3,7,1,24,4,1,755
160,"BHUSAULA ADAI",416,360,0,776,208,201,0,409,403,0,211,44,34,51,4,1,1,2,3,2,1,9,4,7,7,15,7,6,409
161,BARHARA,295,239,0,534,202,165,0,367,364,0,112,100,47,57,3,2,0,2,3,2,2,11,1,1,3,15,3,3,367
162,DHARMAULI,404,370,0,774,269,193,0,462,460,0,238,36,80,76,1,0,1,3,1,1,3,6,0,0,4,7,3,2,462
163,SAPAHI,589,487,1,1077,319,284,0,603,601,0,234,30,74,157,6,3,3,2,0,3,1,5,1,5,5,67,5,2,603
164,AHIRAWAL,596,424,0,1020,239,286,0,525,523,0,37,49,118,14,3,280,2,4,1,2,2,1,2,2,2,4,0,2,525
165,BHARMI,491,401,0,892,257,217,0,474,473,0,260,31,46,81,4,26,0,0,4,0,1,3,4,2,2,5,4,1,474
166,KANVANIA,303,250,0,553,176,147,0,323,322,0,201,39,15,37,1,0,0,1,1,0,3,3,1,0,1,5,14,1,323
167,BAGHAILI,541,475,0,1016,309,264,0,573,570,0,387,57,89,15,2,1,1,0,0,0,1,5,2,1,2,5,2,3,573
168,AMHAT,343,300,0,643,206,212,0,418,418,0,239,39,68,10,1,42,1,2,1,1,0,4,1,0,2,5,2,0,418
169,KHERIDEEHAAMHAT,658,567,0,1225,320,365,0,685,680,0,126,101,94,28,6,277,3,4,2,2,6,5,5,2,3,13,3,5,685
170,CHANRAIYA,528,407,0,935,295,229,0,524,519,0,204,97,74,107,2,1,1,0,0,0,1,6,2,3,4,11,6,5,524
171,AAJAN,472,392,0,864,244,226,0,470,469,0,242,52,77,73,1,1,0,1,0,0,1,6,2,1,0,4,8,1,470
172,MAHDEIYA,490,419,0,909,240,235,0,475,473,0,241,47,37,101,4,4,2,1,3,3,1,7,1,4,4,10,3,2,475
173,VIJDEIYA,312,265,0,577,165,176,0,341,339,0,95,64,127,26,6,10,1,2,2,0,0,1,0,2,0,2,1,2,341
174,LOTAN,686,591,0,1277,436,392,0,828,824,0,437,76,128,103,8,5,2,2,3,3,4,10,2,6,6,20,9,4,828
175,LOTAN,724,589,0,1313,367,271,0,638,635,0,306,105,79,95,4,10,0,3,2,4,2,9,0,0,6,4,6,3,638
176,BANIYADEEH,356,315,0,671,199,159,0,358,351,0,104,44,123,55,1,1,0,5,0,0,0,1,0,5,1,7,4,7,358
177,"BELVA DEORAVA",461,417,0,878,225,221,0,446,446,0,199,80,80,68,4,1,1,1,2,1,1,5,0,2,0,0,1,0,446
178,DHANDHRA,468,400,0,868,291,258,0,549,541,0,147,154,155,47,4,3,1,5,1,2,0,6,1,5,3,4,3,8,549
179,KARUAVALKALA,672,575,0,1247,299,311,0,610,607,0,278,92,55,112,9,10,5,3,1,4,3,11,1,0,6,8,9,3,610
180,EKDENGAVA,537,413,0,950,202,192,0,394,391,0,246,26,46,21,3,2,1,5,2,1,0,14,1,4,3,9,7,3,394
181,PATKHAULI,393,272,0,665,223,182,0,405,403,0,137,130,44,30,2,48,0,2,0,0,0,3,0,0,1,1,5,2,405
182,HARIGAO,342,320,0,662,206,215,0,421,418,0,79,110,132,69,5,0,2,1,1,0,1,1,3,0,4,8,2,3,421
183,NETVAR,462,422,0,884,283,292,0,575,572,0,184,26,183,126,2,3,1,4,3,0,1,12,3,1,6,13,4,3,575
184,NETVAR,332,308,0,640,179,184,0,363,360,0,201,15,37,71,2,1,1,2,1,3,0,4,3,1,2,10,6,3,363
185,KOLHUA,205,170,0,375,129,118,0,247,246,0,136,51,29,8,0,3,1,1,1,0,0,3,1,1,2,5,4,1,247
186,DHARNIHVA,401,316,0,717,183,167,0,350,348,0,118,65,33,25,2,88,2,0,0,0,0,4,0,1,0,6,4,2,350
