"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAPIL MUNI KARWARIYA","2 - KESHAV PRASAD MAURYA","3 - MOHD. KAIF","4 - DHARAM RAJ SINGH PATEL","5 - GYANENDRA KUMAR SRIVASTAVA GYANI BHAI","6 - GANESHJI TRIPATHI","7 - DAKKHINI PRASAD KUSHWAHA","8 - NATHU RAM BOUDHA","9 - PARVEZ ASHFAQUE SIDDIQUI","10 - SHIMALA SHRI","11 - SURENDRA KUMAR MISHRA","12 - ZIAOUL HAQUE","13 - DR. NEERAJ","14 - MITHILESH KUMAR","15 - MILAN MUKERJEE","16 - None of the Above","Total Votes Secured"
55,"KARYA SANSADHAN KENDRA PHOOLPUR",397,295,1,693,164,119,0,283,125,0,0,65,11,203,0,0,1,1,0,1,0,0,1,0,0,0,283
56,"JUNIOR HIGH SCHOOL PHOOLPUR EAST",822,671,0,1493,435,362,0,797,125,0,144,206,41,376,7,3,1,0,0,2,2,0,3,2,2,8,797
57,"JUNIOR HIGH SCHOOL WEST",534,434,0,968,318,272,0,590,587,0,12,246,10,314,2,2,0,1,0,1,0,0,0,1,0,1,590
58,"JUNIOR HIGH SCHOOL PHOOLPUR WEST",242,221,0,463,147,124,0,271,268,0,13,213,2,39,0,1,1,0,2,0,0,0,0,0,0,0,271
59,"JUNIOR HIGH SCHOOL PHOOLPUR MADHYA",816,657,1,1474,471,418,0,889,889,0,48,658,18,152,0,0,2,0,0,3,2,1,0,0,2,3,889
60,"PRATHMIK PATHSHALA PARASINPUR BHAG-1",178,144,0,322,89,73,0,162,38,0,36,95,3,25,0,0,0,0,0,0,0,1,1,0,0,1,162
61,"PRATHMIK PATHSHALA PARASINPUR BHAG-2",526,414,0,940,303,260,0,563,563,0,96,322,11,101,3,1,1,1,2,4,1,3,1,6,4,6,563
62,"PRATHMIK PATHSHALA CHAK MOHAMMAD URF PURE DUDI",525,417,0,942,394,256,0,650,14,0,51,349,14,202,4,0,0,0,0,4,0,2,3,3,12,6,650
63,"ZILA PARISHAD PRA0 PA0 SARAY GHURDAD URF MAHJUDVA EAST",845,658,0,1503,458,404,0,862,5,0,242,260,6,320,5,0,2,4,1,0,1,3,3,1,6,8,862
64,"PRATHMIK PATHSHALA SARAY MANOHAR URF BARJIBARA",437,374,0,811,245,202,0,447,44,0,85,297,13,30,0,3,1,1,0,3,0,2,1,1,6,4,447
65,"PRATHMIK PATHSHALA BAUDAI EAST",962,824,0,1786,307,254,0,561,10,0,93,415,11,2,0,0,1,0,2,0,2,2,5,1,12,15,561
66,"PRA0 PA0 BAUDAI WEST",234,218,0,452,147,139,0,286,286,0,71,138,4,65,0,1,0,1,0,1,1,1,0,0,1,2,286
67,"PRA0 PA0 BIRKAJI EAST",871,708,0,1579,555,453,0,1008,439,0,165,494,34,229,4,5,1,2,4,9,5,10,8,12,14,12,1008
68,"PRA0 PA0 BIRKAJI WEST",760,568,0,1328,374,261,0,635,292,0,35,305,38,224,4,0,0,2,1,7,2,2,2,1,6,6,635
69,"PHOOLPUR IFFCO BOYS SCHOOL WEST",297,229,0,526,110,91,0,201,201,0,25,141,5,18,0,0,0,0,0,11,0,0,0,0,0,1,201
70,"PRAIMRI PATHSHALA SARAI ABDUL MALIK",834,658,0,1492,570,438,0,1008,1007,0,80,308,32,543,3,3,3,1,1,8,4,5,6,1,2,8,1008
71,"CENTRAL BOYS SCHOOL PHULPUR IFFCO NORTH",488,377,0,865,212,185,0,397,8,0,30,263,17,47,0,0,0,0,0,35,1,1,0,0,1,2,397
72,"SENTRAL BWYAJ SCHOOL MADHYA BHAG",289,266,0,555,130,131,0,261,188,0,26,189,10,22,0,0,0,0,0,14,0,0,0,0,0,0,261
73,"ZILA PARISHAD PRA0 PA0 PURE BHULAI",754,617,0,1371,432,395,0,827,327,0,39,339,25,394,5,1,1,4,1,1,1,2,1,2,4,7,827
74,"ZILA PARISHAD PRA0 PA0 BABUGANJ NORTH",801,614,0,1415,517,357,0,874,874,0,40,568,24,214,3,2,2,1,0,1,0,2,1,3,6,7,874
