"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ARVIND KUMAR JAISWAL","2 - MULAYAM SINGH YADAV","3 - RAMAKANT YADAV","4 - SHAH ALAM ALIAS GUDDU JAMALI","5 - M. AMIR RASHADI","6 - KIRAN SHARAMA","7 - DURG VIJAY YADAV","8 - PRAKASH CHANDRA","9 - MADAN","10 - RAJDHARI RAJBHAR","11 - RAJESH YADAV","12 - SANJAY KUMAR CHATURVEDI","13 - SANTOSH KUMAR GAUTAM","14 - PRAMOD SINGH","15 - RAM SINGH CHAUHAN","16 - SHAMSHAD AHMAD","17 - SUGRIV CHAUHAN","18 - SANJAY CHAUHAN","19 - None of the Above","Total Votes Secured"
61,"P. V. KHETAPUR (R.N.-1)",753,620,0,1373,378,368,0,746,746,0,18,247,210,206,3,1,0,3,8,1,0,8,6,3,7,9,2,7,7,746
62,"P. V. KHETAPUR (R.N.-2)",634,539,0,1173,306,314,0,620,601,0,16,209,199,140,15,0,0,2,8,1,2,6,3,2,4,10,1,1,1,620
63,"P. V. KHETAPUR (R.N.-3)",686,588,0,1274,308,347,0,655,655,0,23,191,279,135,0,1,0,2,4,3,2,4,3,0,0,6,0,0,2,655
64,"P. V. MUSARIYAPUR (R.N.-1)",647,524,0,1171,248,216,0,464,464,0,11,216,90,112,6,1,0,1,3,0,0,4,2,5,1,8,0,1,3,464
65,"P. V. MUSARIYAPUR (R.N.-2)",740,614,0,1354,343,338,0,681,680,0,10,209,279,125,2,1,0,6,13,3,1,3,4,7,4,10,0,0,4,681
66,"J. H. S. MUSARIYAPUR",618,481,0,1099,347,280,0,627,627,0,4,86,189,289,7,1,4,2,5,1,6,3,4,1,4,16,2,0,3,627
67,"MOTILAL NEHRU I. C. KUCKRAUCHI (R.N.-1)",488,418,0,906,227,223,0,450,200,0,19,99,89,224,4,0,1,2,3,1,0,0,2,1,0,2,0,2,1,450
68,"MOTILAL NEHRU I. C. KUCKRAUCHI (R.N.-2)",374,347,0,721,157,184,0,341,336,0,8,148,62,105,3,1,0,1,0,0,1,2,1,5,0,2,0,2,0,341
69,"P. V. SETHAKOLI",844,691,0,1535,450,368,0,818,818,0,35,184,292,211,19,1,3,4,18,3,4,7,1,3,3,3,3,13,11,818
70,"P. V. BAIJABARI",672,562,0,1234,383,387,0,770,770,0,15,326,161,216,9,0,2,5,0,1,5,4,3,4,2,4,2,6,5,770
71,"P. V. BAGHAVAR TAHIRPUR (R.N.-1)",842,669,0,1511,431,367,0,798,798,0,15,93,372,277,8,1,0,4,5,2,3,2,1,1,1,3,5,0,5,798
72,"P. V. BAGHAVAR TAHIRPUR (R.N.-2)",915,690,0,1605,442,382,0,824,824,0,21,78,204,469,5,0,2,1,4,0,1,7,1,1,0,7,11,6,6,824
73,"P. V. KHOJAULI TA. NANIJOR",771,621,0,1392,416,380,0,796,796,0,15,169,370,179,22,1,0,1,7,0,4,4,4,5,5,5,0,1,4,796
74,"JAMIYA ISLAMIYA SCHOOL SONBUJURG (R.N.-1)",209,159,0,368,134,113,0,247,240,0,3,76,43,114,4,0,0,0,1,0,0,1,1,1,1,1,0,0,1,247
75,"JAMIYA ISLAMIYA SCHOOL SONBUJURG (R.N.-2)",724,558,0,1282,303,401,0,704,704,0,0,198,7,402,77,2,1,1,1,1,1,1,5,2,2,0,0,2,1,704
76,"S. S. S. CHILBILI DAN CHILBILI",750,625,1,1376,403,390,0,793,793,0,9,79,412,252,6,1,1,4,7,2,5,1,2,3,0,5,1,2,1,793
77,"P. V. SAPHA PATHAK",675,568,0,1243,396,354,0,750,720,0,39,148,323,182,11,1,2,0,12,1,2,6,3,7,2,2,2,4,3,750
78,"J. H. S. BANKATA URF. BAZAR GOSAI (R.N.-1)",647,528,0,1175,381,321,0,702,648,0,41,278,282,43,2,2,0,1,8,0,1,5,1,0,4,4,4,11,15,702
79,"J. H. S. BANKATA URF. BAZAR GOSAI (R.N.-2)",309,257,0,566,169,173,0,342,342,0,11,79,59,176,2,0,1,0,3,1,1,2,5,1,0,1,0,0,0,342
80,"P. V. BANAVE (R.N.-1)",322,261,0,583,161,164,0,325,219,0,17,46,184,48,12,1,1,0,6,1,0,1,0,0,1,0,3,3,1,325
81,"P. V. BANAVE (R.N.-2)",601,461,0,1062,321,254,0,575,555,0,26,84,305,132,7,2,0,0,3,4,3,2,2,0,1,0,0,0,4,575
