"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KARTAR SINGH BHADANA","2 - KANWAR HASAN","3 - NAHID HASAN","4 - HUKUM SINGH","5 - DIVAKAR KASHYAP","6 - PARDIP","7 - RAMKARAN KASHYAP","8 - SUNITA","9 - SUNIL KUMAR KASANA","10 - KRISHANPAL","11 - MOHANLAL","12 - None of the Above","Total Votes Secured"
81,"PRATHMIK VIDHALAY NAIN KHERI",430,376,0,806,370,321,0,691,691,0,18,71,23,567,8,0,0,1,1,0,1,1,691
82,"MAHIRISHI DAYANAD INTER COLLEGE KAMRA NUMBER-1 JANDKHERA",690,516,0,1206,609,429,0,1038,1038,0,17,1,30,978,8,0,0,0,0,0,1,3,1038
83,"MAHIRISHI DAYANAD INTER COLLEGE KAMRA NUMBER-2 JANDKHERA",734,555,0,1289,674,486,0,1160,1160,0,40,4,24,1078,8,0,2,0,1,2,0,1,1160
84,"MAHIRISHI DAYANAD INTER COLLEGE KAMRA NUMBER-3 JANDKHERA",810,623,0,1433,625,462,0,1087,1087,0,46,677,44,299,3,1,3,1,1,1,5,6,1087
85,"PRATHMIK VIDHALAY NAGAL GURJER",299,221,0,520,251,177,0,428,428,0,11,1,1,404,0,2,2,1,3,0,0,3,428
86,"PRATHMIK VIDHALAY SANTAUR",653,542,0,1195,505,422,0,927,26,0,4,205,153,542,10,1,2,0,3,3,1,3,927
87,"प्राथमिक विघालय जुखेडी",569,487,0,1056,522,438,0,960,190,0,43,62,25,805,18,0,0,0,2,0,1,4,960
88,"PRATHMIK VIDHALAY JANDHERA",339,317,0,656,289,243,0,532,532,0,3,105,7,410,2,0,0,0,3,0,1,1,532
89,"PRATHMIK VIDHALAY PURANA BHAWAN PURVI BHAG DAIDNOR",401,316,0,717,314,299,0,613,613,0,42,11,148,402,4,0,1,0,2,1,1,1,613
90,"PRATHMIK VIDHALAY PURANA BHAWAN PASCHIMI BHAG DAIDNOR",596,485,0,1081,514,388,0,902,902,0,1,194,44,634,12,2,2,3,6,1,2,1,902
91,"PRATHMIK VIDHALAY GUNGI",622,521,0,1143,449,368,0,817,817,0,57,63,249,421,8,0,2,0,9,3,3,2,817
92,"PRATHMIK VIDHALAY KHAIRSAL",720,641,0,1361,625,562,0,1187,1180,0,16,416,183,552,4,2,1,1,2,4,5,1,1187
93,"PRATHMIK VIDHALAY RAJPUR LATIFPUR",495,414,0,909,374,324,0,698,13,0,14,249,69,349,3,0,1,0,1,5,2,5,698
94,"PRATHMIK VIDHALAY HAIDERPUR",449,434,0,883,384,362,0,746,746,0,24,397,14,300,6,0,0,0,3,0,0,2,746
95,"PRATHMIK VIDHALAY SATSARA",271,240,0,511,253,212,0,465,398,0,0,9,228,222,2,0,1,0,0,2,0,1,465
96,"PRATHMIK VIDHALAY PEER MAZRA TOFEER",539,509,0,1048,439,449,0,888,837,0,31,314,317,199,7,2,0,2,1,8,5,2,888
97,"PRATHMIK VIDHALAY UTTERY BAHG SANGATHEDA",618,503,0,1121,534,444,0,978,976,0,8,121,815,16,2,0,0,0,0,6,1,9,978
98,"PRATHMIK VIDHALAY MADHYA BAHG SANGATHEDA",293,277,0,570,247,226,0,473,471,0,5,56,399,8,1,0,0,1,0,2,0,1,473
99,"PRATHMIK VIDHALAY DAKSHINI BAHG KAMRA NUMBER-1 SANGATHEDA",759,577,0,1336,619,500,0,1119,1119,0,22,47,591,438,6,2,0,1,2,2,1,7,1119
100,"PRATHMIK VIDHALAY DAKSHINI BAHG  KAMRA NUMBER-2 SANGATHEDA",736,612,0,1348,565,485,0,1050,1049,0,13,33,283,680,17,1,1,1,13,1,1,6,1050
101,"PRATHMIK VIDHALAY BHAG-1 MUBARAKPUR",455,399,0,854,403,317,0,720,21,0,16,1,5,691,4,0,0,0,2,1,0,0,720
102,"PRATHMIK VIDHALAY BHAG-2 MUBARAKPUR",459,380,0,839,429,337,0,766,300,0,2,34,14,698,8,2,0,1,3,0,3,1,766
103,"BLOCK KARYALAY UTTERI BHAG KAMRA NUMBER 1 NAGAR PALIKA PARISHAD GANGOH",732,584,0,1316,562,457,0,1019,1019,0,16,20,61,887,7,0,4,1,14,1,5,3,1019
104,"BALOCK KARYALAY UTTERI BHAG KAMRA NUMBER 2 NAGAR PALIKA PARISHAD GANGOH",145,124,0,269,118,107,0,225,121,0,1,1,4,209,5,0,0,1,1,0,0,3,225
105,"BALOCK KARYALAY UTTERI BHAG-1 KAMRA NUMBER -3 NAGAR PALIKA PARISHAD GANGOH",819,661,0,1480,425,318,0,743,500,0,59,98,566,9,2,0,0,1,4,2,1,1,743
106,"PRATHMIK VIDHALAY ELAHIBAKSH KAMRA NUMBER-1 NAGAR PALIKA PARISHAD GANGOH",755,595,0,1350,416,323,0,739,724,0,60,101,501,56,3,1,2,0,6,6,0,3,739
107,"PRATHMIK VIDHALAY ELAHIBAKSH KAMRA NUMBER-2 NAGAR PALIKA PARISHAD GANGOH",303,212,0,515,174,107,0,281,274,0,23,27,179,38,0,0,0,0,11,1,2,0,281
108,"PRATHMIK VIDHALAY ELAHIBAKSH KAMRA NUMBER-3 NAGAR PALIKA PARISHAD GANGOH",686,536,0,1222,403,312,0,715,596,0,49,37,443,163,2,1,2,0,14,3,0,1,715
109,"PRATHMIK VIDHALAY ELAHIBAKSH KAMRA NUMBER-4 NAGAR PALIKA PARISHAD GANGOH",287,230,0,517,147,143,0,290,278,0,34,61,164,22,0,0,0,0,7,0,1,1,290
110,"HIROJ MEMORIAL HIGHER SECOUNDRY SCHOOL UTTERI BHAG KAMRA NUMBER 1 NAGAR PALIKA PARISHAD GANGOH",550,431,0,981,309,218,0,527,474,0,69,48,389,6,1,0,2,1,1,7,2,1,527
111,"HIROJ MEMORIAL HIGHER SECOUNDRY SCHOOL UTTERI BHAG KAMRA NUMBER 3 NAGAR PALIKA PARISHAD GANGOH",332,264,0,596,162,135,0,297,209,0,49,24,208,3,1,1,2,0,1,4,2,2,297
112,"HIROJ MEMORIAL HIGHER SECOUNDRY SCHOOL UTTERI BHAG KAMRA NUMBER-2 NAGAR PALIKA PARISHAD GANGOH",796,697,0,1493,464,370,0,834,664,0,89,82,649,3,0,0,1,1,2,5,1,1,834
113,"HIROJ MEMORIAL HIGHER SECOUNDRY SCHOOL MADHYA BHAG KAMRA NUMBER-2 NAGAR PALIKA PARISHAD GANGOH",620,511,0,1131,401,320,0,721,389,0,41,35,582,54,0,0,1,0,2,3,3,0,721
114,"HIROJ MEMORIAL HIGHER SECOUNDRY SCHOOL DAKSHINI BHAG KAMRA NUMBER-1 NAGAR PALIKA PARISHAD GANGOH",708,559,1,1268,370,357,0,727,500,0,42,43,355,269,1,0,1,0,1,5,1,9,727
115,"HIROJ MEMORIAL HIGHER SECOUNDRY SCHOOL DAKSHINI BHAG KAMRA NUMBER-2 NAGAR PALIKA PARISHAD GANGOH",434,350,0,784,272,228,0,500,495,0,30,13,177,270,3,0,0,1,4,0,1,1,500
