"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKSHAY YADAV","2 - ATUL CHATURVEDI","3 - TH. VISHWADEEP SINGH","4 - PROF. S.P. SINGH BAGHEL","5 - UPENDRA SINGH","6 - KHAJAN SINGH","7 - JAY PRAKASH","8 - RAKESH YADAV","9 - RAJENDRA PRASAD","10 - RAHAT AFROZ","11 - LAXMI","12 - LAKSHMI  NARAYAN","13 - SHAMSHER KHA","14 - MIRJA MUKARRAM BAIG","15 - RAJVEER","16 - None of the Above","Total Votes Secured"
11,"J.H.S. SHEKHUPUR",311,281,0,592,211,200,0,411,303,0,115,1,3,289,0,2,0,0,0,0,0,0,0,0,1,0,411
12,"P.V. BHONDELA",573,493,0,1066,361,294,0,655,568,0,76,2,102,461,2,0,1,1,0,0,0,1,4,0,2,3,655
13,"P.V. BHAGHAI 2",390,321,0,711,246,183,0,429,409,0,104,5,52,257,2,0,1,0,2,0,0,0,3,0,3,0,429
14,"P.V. RAJAWALI",803,681,0,1484,522,420,0,942,710,0,67,4,55,795,8,0,1,1,3,0,1,1,1,1,1,3,942
15,"P.V. BHAINSABRAJPUR",509,436,0,945,309,238,0,547,547,0,133,0,185,210,3,0,2,1,0,1,0,0,1,4,2,5,547
16,"P.V. NAGALA PAR EAST",617,503,0,1120,495,384,0,879,609,0,206,1,75,583,2,0,0,0,0,0,0,2,1,1,1,7,879
17,"P.V. NAGALA PAR WEST",550,405,0,955,370,268,0,638,408,0,197,3,129,289,4,0,2,0,0,0,0,0,1,5,5,3,638
18,"J.H.S. KUTUKPUR",681,532,0,1213,508,392,0,900,800,0,208,5,141,515,7,1,1,3,3,1,1,1,5,3,1,4,900
19,"J.I.C. TAJAPUR R.N. 1",460,356,0,816,261,167,0,428,43,0,125,5,40,244,2,2,0,2,0,0,0,2,2,0,4,0,428
20,"J.I.C. TAJAPUR R.N. 2",698,593,0,1291,420,326,0,746,746,0,83,0,443,193,7,0,0,1,0,0,0,4,4,6,2,3,746
21,"J.I.C. TAJAPUR R.N. 3",562,504,0,1066,382,287,0,669,581,0,73,5,372,198,0,0,1,1,0,1,2,1,3,4,4,4,669
22,"P.V. RAMGHARH",380,303,0,683,281,200,0,481,1,0,83,6,13,367,4,1,0,5,0,0,0,0,2,0,0,0,481
23,"P.V. KAILASHPUR",337,258,0,595,244,149,0,393,391,0,239,4,9,124,4,1,2,0,0,0,0,0,4,1,0,5,393
24,"P.V. CHILASANI",752,574,0,1326,599,387,0,986,686,0,216,6,226,521,3,0,0,2,0,0,0,1,2,2,1,6,986
25,"P.V. HEMRAJPUR",483,410,0,893,345,273,0,618,5,0,134,6,233,224,5,0,0,1,0,1,0,1,5,3,1,4,618
26,"P.V. KESHORAY",313,246,0,559,203,145,0,348,197,0,70,0,2,267,2,0,2,0,0,1,0,1,0,0,3,0,348
27,"P.V. RUDHAU MUSTKIL",303,241,0,544,203,179,0,382,1,0,157,2,0,201,3,2,1,1,1,0,0,0,6,0,1,7,382
28,"P.V. GARHI VIJAY",398,292,0,690,279,195,0,474,300,0,44,4,78,333,3,0,2,0,0,0,0,1,5,1,0,3,474
29,"P.V. GARHI BHAKTI R.N. 1",414,323,0,737,264,202,0,466,56,0,69,0,27,356,2,1,2,2,0,1,0,0,2,1,0,3,466
30,"P.V. GARHI BHAKTI R.N. 2",432,350,0,782,257,186,0,443,11,0,74,1,120,235,2,0,8,1,0,0,0,0,0,0,1,1,443
31,"P.V. GARHI BHAKTI R.N. 3",275,219,0,494,133,97,0,230,228,0,32,0,23,164,1,0,1,1,0,1,0,0,2,0,3,2,230
32,"J.H.S. GARHI BHAKTI",417,282,0,699,253,164,0,417,330,0,59,3,14,336,1,0,0,0,0,0,0,1,1,0,0,2,417
33,"P.V. NAGALA ISMAIL R.N. 1",280,217,0,497,142,117,0,259,230,0,67,8,21,158,0,0,0,0,1,1,0,0,1,0,1,1,259
34,"P.V. NAGALA ISMAIL R.N. 2",596,511,0,1107,363,294,0,657,600,0,274,11,29,324,3,1,0,5,1,0,0,0,2,0,5,2,657
35,"P.V. CHHITARAI",779,628,0,1407,458,447,0,905,458,0,110,5,202,561,11,2,2,2,0,0,0,0,7,1,2,0,905
36,"P.V. NAGALA PUNU",533,477,0,1010,439,342,0,781,456,0,15,2,167,580,3,0,0,1,0,0,0,0,3,3,4,3,781
37,"P.V. BURJA WALE",462,375,0,837,419,304,0,723,7,0,633,1,26,61,1,0,0,1,0,0,0,0,0,0,0,0,723
38,"P.V. PAMARI R.N. 1",578,473,0,1051,372,301,0,673,334,0,200,4,208,237,6,1,1,0,1,1,0,0,1,3,1,9,673
39,"P.V. PAMARI R.N. 2",238,206,0,444,159,113,0,272,265,0,50,5,37,169,2,0,1,0,0,1,0,1,0,0,0,6,272
40,"P.V. NAGALA JAT",259,217,0,476,195,162,0,357,357,0,59,3,4,282,4,0,0,0,0,0,0,1,2,0,0,2,357
41,"P.V. MANI GARHI",737,622,0,1359,566,420,0,986,986,0,308,4,185,477,3,0,0,0,1,0,0,1,2,1,2,2,986
42,"P.V. GARHI USARA",390,314,0,704,284,234,0,518,365,0,29,3,338,134,2,0,0,0,1,0,0,2,3,2,0,4,518
43,"P.V. NIWAJPUR",393,318,0,711,310,245,0,555,28,0,20,2,181,335,2,2,0,0,0,0,0,1,6,1,0,5,555
44,"P.V. GARHI JADI",389,301,0,690,346,252,0,598,5,0,110,2,1,477,4,1,0,0,0,0,0,0,1,0,1,1,598
45,"P.V. GARHI HARRAY",501,398,0,899,329,238,0,567,7,0,44,6,145,357,5,0,0,3,1,0,0,3,2,0,0,1,567
46,"P.V. ETHA",517,393,0,910,402,260,0,662,600,0,64,3,189,401,1,1,1,0,0,0,0,0,1,0,0,1,662
47,"P.V. SALEMPUR",673,541,0,1214,464,367,0,831,723,0,183,5,351,277,2,0,0,1,0,1,0,1,0,2,6,2,831
48,"P.V. NAGALA DHAK",213,182,0,395,210,150,0,360,355,0,354,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,360
49,"P.V. NAGALA AJAB",370,304,0,674,357,260,0,617,604,0,437,1,170,6,0,0,0,0,0,1,0,0,0,0,0,2,617
50,"P.V. DEVKHEDA",578,438,0,1016,359,251,0,610,604,0,178,7,10,404,2,1,0,1,1,1,0,1,2,0,0,2,610
51,"U.P.V. DEVKHEDA",551,452,0,1003,387,296,0,683,679,0,90,1,477,106,0,0,1,0,0,0,0,0,0,5,0,3,683
52,"P.V. NAGALA MAHADEV (DEVKHEDA)",331,271,0,602,211,199,0,410,190,0,63,3,5,299,10,5,0,0,0,1,1,3,8,2,5,5,410
53,"P.V. JOGPURA",175,134,0,309,143,103,0,246,246,0,8,1,231,5,0,0,0,0,1,0,0,0,0,0,0,0,246
54,"P.V. BURJ NATTHU",732,547,0,1279,496,334,0,830,830,0,291,5,98,409,7,2,2,1,0,0,0,4,3,1,1,6,830
55,"P.V. BURJ BHAJAN",225,185,0,410,206,148,0,354,227,0,137,6,14,193,0,0,0,2,0,0,0,0,1,0,1,0,354
56,"P.V. MARSAINA",764,575,0,1339,494,372,0,866,860,0,283,4,20,537,7,1,0,0,0,4,0,3,0,0,3,4,866
57,"KRASHAK U.M.V. PACHOKHARA R.N. 1",534,440,0,974,274,316,0,590,560,0,102,7,164,297,3,3,0,2,1,0,0,0,4,1,2,4,590
58,"KRASHAK U.M.V. PACHOKHARA R.N. 2",534,451,0,985,355,291,0,646,11,0,59,6,221,336,5,0,1,4,2,0,1,0,6,3,2,0,646
59,"KRASHAK U.M.V. PACHOKHARA R.N. 3",509,416,0,925,378,312,0,690,680,0,323,4,228,123,0,0,0,0,0,0,0,0,1,1,1,9,690
60,"P.V. BURJ SATHI",293,228,0,521,215,202,0,417,412,0,187,2,185,38,2,0,0,0,0,0,0,0,0,0,1,2,417
61,"P.V. NAGALA GANGARAM",613,534,0,1147,459,358,0,817,817,0,245,4,111,432,4,2,2,2,1,0,0,0,6,0,2,6,817
62,"J.H.S. IMALIYA",505,429,0,934,407,351,0,758,113,0,324,5,230,185,4,1,0,0,0,0,0,0,1,2,5,1,758
63,"P.V. GALIB",348,310,0,658,312,203,0,515,441,0,185,1,266,49,1,0,1,0,1,3,0,0,1,2,2,3,515
64,"P.V. GARHI JORI",398,354,0,752,301,260,0,561,548,0,111,1,409,31,1,0,0,0,0,0,0,0,0,3,2,3,561
65,"P.V. NAGALA DAL",870,652,0,1522,538,391,0,929,3,0,117,16,137,613,4,2,8,2,1,2,0,1,10,3,2,11,929
66,"P.V. NAGALA SURAJ",597,471,1,1069,465,355,0,820,400,0,85,2,507,208,2,2,0,4,0,1,1,1,1,4,2,0,820
67,"P.V. NAGLA TULA",629,488,0,1117,355,261,0,616,310,0,187,1,37,374,0,1,0,0,0,0,2,1,2,3,4,4,616
68,"P.V. PAKHARPURA",722,534,0,1256,494,373,0,867,740,0,89,2,82,667,9,0,1,0,1,0,2,5,5,1,1,2,867
69,"P.V. GARHI MADARI",303,253,0,556,292,192,0,484,477,0,437,1,16,20,0,0,0,0,0,0,0,0,1,1,4,4,484
70,"P.V. HIMMATPUR R.N. 1",422,328,0,750,373,228,0,601,27,0,392,3,4,185,1,0,0,1,0,0,1,2,2,0,2,8,601
71,"P.V. HIMMATPUR R.N. 2",554,474,0,1028,398,295,0,693,304,0,152,2,283,239,3,0,0,3,0,0,0,1,2,1,2,5,693
72,"P.V. GHIRAULI",754,543,0,1297,510,359,0,869,69,0,268,2,5,574,3,0,1,3,0,1,1,1,2,3,0,5,869
73,"J.H.S. CHHIKAU",635,499,0,1134,474,341,0,815,752,0,272,6,2,523,3,0,1,0,2,0,1,1,2,0,0,2,815
74,"P.V. CHHIKAU",422,344,0,766,287,212,0,499,490,0,80,1,177,233,4,0,1,1,0,0,0,1,0,0,0,1,499
75,"P.V. GARHI THAKUR",278,258,0,536,229,215,0,444,15,0,45,2,176,213,1,0,1,0,0,0,0,0,2,2,1,1,444
76,"P.V. KATIKI",569,490,0,1059,446,350,0,796,752,0,273,1,151,354,1,0,0,4,0,0,0,3,2,1,2,4,796
77,"P.V. GARHI HATI R.N. 1",364,335,0,699,275,246,0,521,498,0,44,1,252,212,3,1,0,2,0,0,0,0,1,1,3,1,521
78,"P.V. GARHI HATI R.N. 2",543,455,0,998,375,316,0,691,629,0,101,5,66,499,6,0,2,1,0,1,0,2,3,0,2,3,691
79,"J.H.S. KHERA LANGAR",563,468,0,1031,319,279,0,598,546,0,213,2,283,89,1,1,0,1,0,0,0,0,1,1,3,3,598
80,"P.V. NAGALA SIKANDAR R.N. 1",572,497,0,1069,364,310,0,674,78,0,363,3,12,281,2,1,0,0,1,1,0,0,0,2,2,6,674
81,"P.V. NAGALA SIKANDAR R.N. 2",617,483,0,1100,389,293,0,682,44,0,209,4,345,106,3,0,1,0,0,1,0,1,6,2,3,1,682
82,"P.V. MOHAMMADI R.N. 1",646,536,0,1182,380,294,0,674,38,0,136,10,229,283,3,0,1,0,0,0,0,1,1,1,4,5,674
83,"P.V. MOHAMMADI R.N. 2",540,450,0,990,356,243,0,599,598,0,127,2,163,287,1,0,2,1,0,0,2,1,5,2,3,3,599
84,"P.V. NAGALA MAVASI",315,279,0,594,267,172,0,439,421,0,25,1,134,270,0,0,0,0,0,0,0,0,2,3,4,0,439
85,"P.V. RUDHAU R.N. 1",498,389,0,887,332,252,0,584,184,0,96,2,142,334,2,2,1,1,0,0,0,0,1,0,1,2,584
86,"P.V. RUDHAU R.N. 2",478,363,0,841,358,231,0,589,584,0,86,1,30,452,10,1,2,1,0,1,1,0,0,2,1,1,589
87,"P.V. PAHADPUR",593,444,0,1037,336,284,0,620,200,0,28,2,536,46,0,0,0,2,0,0,1,0,1,0,3,1,620
88,"NEHRU VIDYA MANDIR RATI GARHI R.N. 1",741,585,0,1326,463,336,0,799,778,0,125,11,123,527,4,0,1,0,0,0,0,0,4,1,0,3,799
89,"NEHRU VIDYA MANDIR RATI GARHI R.N. 2",408,338,0,746,300,191,0,491,400,0,133,0,9,328,4,0,2,4,0,0,0,1,3,1,3,3,491
90,"NEHRU VIDYA MANDIR RATI GARHI R.N. 3",559,485,0,1044,372,295,0,667,483,0,331,4,20,294,3,1,0,4,0,0,0,1,1,2,1,5,667
91,"P.V. PIPRAULI",670,545,0,1215,479,353,0,832,30,0,266,4,114,425,5,0,0,2,2,1,1,1,3,4,2,2,832
92,"P.V. KHUSHALPUR",243,201,0,444,197,127,0,324,324,0,4,3,259,53,2,0,0,1,0,0,0,0,0,0,1,1,324
93,"P.V. LALGARHI",268,265,0,533,236,211,0,447,123,0,26,0,196,215,2,1,0,0,0,0,0,0,2,1,0,4,447
94,"R.R.M.I.C. BACHHAGANVA R.N. 1",479,395,0,874,318,232,0,550,471,0,84,3,204,245,2,0,1,0,0,1,0,3,0,5,1,1,550
95,"R.R.M.I.C. BACHHAGANVA R.N. 2",471,414,0,885,276,241,0,517,517,0,112,5,73,317,2,0,1,0,0,1,0,1,2,0,1,2,517
96,"R.R.M.I.C. BACHCHAGANV R.N. 3",709,632,0,1341,467,378,0,845,678,0,171,5,54,588,10,1,2,2,0,0,0,0,3,1,4,4,845
97,"P.V. GARHI PURANI",407,323,1,731,299,255,0,554,468,0,141,1,272,130,0,0,0,2,0,0,0,1,0,0,2,5,554
98,"P.V. SAKHAVATPUR",374,294,0,668,274,211,0,485,282,0,182,3,17,278,1,0,0,2,0,0,0,0,0,0,1,1,485
99,"P.V. NAGALA SARAYNUR MAHAL",450,351,0,801,334,253,0,587,224,0,257,7,35,281,3,0,0,1,0,0,0,0,0,0,2,1,587
100,"P.V. NAGALA RAIYA",242,192,0,434,156,132,0,288,288,0,91,2,91,101,0,0,1,1,0,0,0,0,0,0,1,0,288
101,"P.V. SHIVSINGHPUR",519,410,2,931,491,381,0,872,872,0,736,4,17,92,2,0,0,2,0,0,1,0,0,3,6,9,872
102,"P.V. GARHI NIRBHAYA R.N. 1",716,617,0,1333,585,424,0,1009,797,0,924,6,2,58,2,3,0,0,0,0,0,1,0,0,2,11,1009
103,"P.V. GARHI NIRBHAYA R.N. 2",538,427,0,965,445,245,0,690,688,0,543,1,15,104,1,0,1,4,0,0,0,0,1,1,4,15,690
104,"J.H.S. JARAKHI",530,436,0,966,381,289,0,670,178,0,327,6,90,234,1,1,1,0,0,0,0,1,2,0,3,4,670
105,"P.V. KHERIYA JARAKHI",467,371,0,838,366,277,0,643,100,0,203,5,73,335,2,2,3,3,0,0,0,2,6,1,3,5,643
106,"P.V. GARHI BHUPAL",288,228,0,516,206,173,0,379,10,0,196,2,11,164,1,0,1,1,0,0,0,0,1,0,1,1,379
107,"J.H.S. KOTAKI",369,304,0,673,214,145,0,359,259,0,130,4,8,211,1,0,0,0,1,0,0,0,0,1,2,1,359
108,"P.V. KOTAKI R.N. 1",787,624,0,1411,517,414,0,931,915,0,140,4,333,429,4,4,1,0,0,1,1,0,3,1,3,7,931
109,"P.V. KOTAKI R.N. 2",663,490,0,1153,486,294,0,780,655,0,250,10,28,460,7,1,1,6,1,0,0,1,1,3,3,8,780
110,"P.V. SUJATNAGAR",417,359,0,776,359,280,0,639,639,0,161,6,165,295,1,0,0,8,0,0,0,0,1,1,1,0,639
111,"P.V. DHARMAPUR",406,309,0,715,322,256,0,578,507,0,289,6,70,204,2,0,0,0,0,0,0,0,3,0,1,3,578
112,"P.V. ANANDPUR",212,156,0,368,154,128,0,282,50,0,56,0,164,56,1,0,0,2,0,1,0,0,1,0,0,1,282
113,"P.V. NAGALA KALUA",561,458,0,1019,429,343,0,772,571,0,256,1,100,392,12,1,1,2,0,1,1,0,1,2,2,0,772
114,"P.V. SIKARARI R.N. 1",480,405,0,885,311,269,0,580,450,0,50,1,240,268,5,1,1,5,0,0,1,1,2,2,1,2,580
115,"P.V. SIKARARI R.N. 2",474,405,0,879,359,274,0,633,600,0,76,2,15,524,3,1,0,2,0,0,0,2,4,0,1,3,633
116,"P.V. ALAWALPUR",597,465,0,1062,422,292,0,714,713,0,74,5,16,606,3,0,0,6,0,0,0,0,2,0,1,1,714
117,"P.V. PRATAPPUR",283,223,0,506,210,163,0,373,290,0,68,2,59,236,1,0,0,1,1,0,0,1,1,1,1,1,373
118,"P.V. MOHAMMADABAD R.N. 1",348,279,0,627,218,150,0,368,354,0,121,11,58,170,2,0,0,1,0,0,1,0,1,1,0,2,368
119,"P.V. MOHAMMADABAD R.N. 2",699,597,1,1297,523,386,0,909,761,0,412,7,17,445,5,1,0,5,0,1,2,0,2,0,3,9,909
120,"P.V. MOHAMMADABAD R.N. 3",666,543,2,1211,466,342,0,808,700,0,175,9,181,432,0,0,3,4,0,0,0,1,2,0,0,1,808
121,"P.V. MOHAMMADABAD R.N. 4",765,646,0,1411,542,389,0,931,321,0,523,7,111,264,2,1,1,4,0,0,0,0,5,5,2,6,931
122,"P.V. BANNA",706,581,0,1287,559,430,0,989,15,0,304,10,93,559,5,0,0,5,0,0,1,0,6,1,2,3,989
123,"GANDHI J.H.S. TUNDLI R.N. 1",509,453,0,962,310,263,0,573,550,0,18,11,480,55,1,0,1,2,1,0,0,0,1,1,1,1,573
124,"GANDHI J.H.S. TUNDLI R.N. 2",682,562,3,1247,440,323,0,763,683,0,141,19,58,530,1,0,0,5,0,1,0,0,1,0,3,4,763
125,"P.V. TUNDLI",747,615,1,1363,476,391,0,867,700,0,268,11,107,460,4,0,0,4,0,1,0,0,1,1,3,7,867
126,"P.V. BASAI R.N. 1",373,352,0,725,343,249,0,592,591,0,82,2,212,278,3,2,0,2,1,0,1,1,2,1,1,4,592
127,"P.V. BASAI R.N. 2",401,340,0,741,317,276,0,593,500,0,67,1,302,213,1,0,0,1,0,0,0,1,2,3,1,1,593
128,"N.C.R.I.COLLEGE TUNDLA R.N. 1",562,465,0,1027,226,331,0,557,553,0,98,31,95,301,2,2,1,17,0,0,1,1,1,0,4,3,557
129,"N.C.R.I.COLLEGE TUNDLA R.N. 2",616,535,0,1151,289,231,0,520,510,0,111,96,70,220,2,1,1,9,0,1,0,1,0,0,2,6,520
130,"N.C.R.I.COLLEGE TUNDLA R.N. 3",575,464,0,1039,250,170,0,420,392,0,43,25,51,276,5,1,1,12,0,0,0,0,0,0,1,5,420
131,"N.C.R.I.COLLEGE TUNDLA R.N. 4",654,535,0,1189,405,292,0,697,693,0,135,23,66,426,4,0,1,18,1,0,2,3,3,0,8,7,697
132,"N.C.R.I.COLLEGE TUNDLA R.N. 5",618,504,0,1122,284,183,0,467,465,0,106,11,23,302,2,1,0,15,1,0,0,1,0,1,1,3,467
133,"P.V. KACHCHA TUNDLA R.N. 1",247,189,0,436,125,141,0,266,258,0,52,7,29,166,0,1,0,4,1,0,0,0,1,2,1,2,266
134,"P.V. KACHCHA TUNDLA R.N. 2",733,613,0,1346,469,344,0,813,811,0,268,34,104,362,2,2,1,11,2,0,0,0,5,3,6,13,813
135,"U.M.V. P.V. TUNDLA KHAM R.N. 1",308,258,0,566,135,86,0,221,174,0,79,13,60,62,0,0,1,3,0,0,0,0,0,0,1,2,221
136,"U.M.V. P.V. TUNDLA KHAM R.N. 2",327,259,0,586,131,91,0,222,175,0,20,16,86,86,2,0,0,8,0,0,0,1,0,1,1,1,222
137,"P.V. NAGALA RATI R.N. 1",760,735,0,1495,502,405,0,907,903,0,12,5,774,94,2,3,0,6,2,0,1,1,0,4,0,3,907
138,"P.V. NAGALA RATI R.N. 2",761,607,0,1368,446,311,0,757,742,0,333,10,347,45,1,0,0,3,0,0,0,1,2,4,4,7,757
139,"VEER KANYA J.H.S. TUNDLA R.N. 1",234,181,0,415,154,109,0,263,176,0,77,4,51,126,0,0,0,0,1,0,0,0,2,0,0,2,263
140,"VEER KANYA J.H.S. TUNDLA R.N. 2",796,644,0,1440,440,341,0,781,609,0,649,14,46,53,1,1,0,3,0,0,0,0,3,1,3,7,781
141,"VEER KANYA J.H.S. TUNDLA R.N. 3",594,467,0,1061,171,99,0,270,232,0,104,10,30,117,0,0,0,6,0,0,0,0,0,0,1,2,270
142,"VEER KANYA J.H.S. TUNDLA R.N. 4",648,508,0,1156,363,247,0,610,142,0,62,5,482,51,1,0,0,4,1,0,0,0,0,2,1,1,610
143,"P.V.  TUNDLA R.N. 1",723,626,0,1349,499,363,0,862,773,0,196,26,14,616,1,1,0,3,0,0,1,0,0,0,2,2,862
144,"P.V.  TUNDLA R.N. 2",662,547,0,1209,408,263,0,671,647,0,159,25,39,442,0,0,0,2,0,0,0,0,0,0,1,3,671
145,"P.V. TUNDLA R.N. 3",720,573,0,1293,415,294,0,709,601,0,188,19,50,429,5,1,1,3,0,1,0,0,4,0,2,6,709
146,"JILA PARISHAD J.H.S. TUNDLA R.N. 1",649,577,0,1226,420,310,0,730,420,0,262,26,18,415,2,1,0,1,0,0,1,1,0,2,1,0,730
147,"JILA PARISHAD J.H.S. TUNDLA R.N. 2",700,604,0,1304,410,321,0,731,691,0,87,15,15,598,1,0,0,8,0,0,1,0,1,0,2,3,731
148,"JILA PARISHAD J.H.S. TUNDLA R.N. 3",778,733,0,1511,470,401,0,871,358,0,78,23,29,718,4,0,1,16,0,0,0,0,0,0,0,2,871
149,"G.G.I.C. TUNDLA R.N. 1",689,570,0,1259,413,292,0,705,222,0,182,30,31,436,5,1,1,4,0,1,0,0,1,2,1,10,705
150,"G.G.I.C. TUNDLA R.N. 2",785,694,0,1479,440,382,0,822,815,0,121,14,15,656,2,1,0,8,0,0,0,2,0,0,0,3,822
151,"G.G.I.C. TUNDLA R.N. 3",559,491,0,1050,300,207,0,507,491,0,212,7,10,264,3,0,0,3,0,0,0,0,1,0,0,7,507
152,"G.G.I.C. TUNDLA R.N. 4",628,488,0,1116,333,218,0,551,33,0,112,18,15,402,1,0,0,1,0,0,0,0,0,0,0,2,551
153,"G.G.I.C. TUNDLA R.N. 5",662,599,0,1261,345,275,0,620,610,0,153,15,5,429,3,0,0,6,0,0,2,2,0,0,2,3,620
154,"G.G.I.C. TUNDLA R.N. 6",706,562,0,1268,403,286,0,689,415,0,148,9,31,483,5,0,2,6,0,0,1,0,1,0,0,3,689
155,"G.G.I.C. TUNDLA R.N. 7",760,654,0,1414,451,383,0,834,604,0,177,18,17,601,1,1,2,7,0,0,0,1,4,1,2,2,834
156,"P.GIRLS PATHSHALA TUNLDA",524,480,0,1004,324,252,0,576,576,0,100,19,8,430,3,1,0,6,0,0,0,0,0,0,3,6,576
157,"TH. BIRI SINGH INTER COLLEGE TUNDLA R.N. 1",675,610,0,1285,397,287,0,684,684,0,73,4,3,592,2,0,0,8,0,0,0,0,0,0,1,1,684
158,"TH. BIRI SINGH INTER COLLEGE TUNDLA R.N. 2",723,568,0,1291,433,342,0,775,770,0,76,15,2,673,3,0,0,4,0,0,0,0,1,1,0,0,775
159,"TH. BIRI SINGH INTER COLLEGE TUNDLA R.N. 3",512,436,0,948,319,276,0,595,28,0,118,6,44,416,4,0,0,4,0,1,0,0,0,0,0,2,595
160,"TH. BIRI SINGH INTER COLLEGE TUNDLA R.N. 4",835,713,0,1548,534,380,0,914,796,1,176,16,285,416,2,1,0,5,1,1,0,0,0,1,4,6,914
161,"TH. BIRI SINGH INTER COLLEGE TUNDLA R.N. 5",285,265,0,550,175,184,0,359,299,0,86,9,15,244,3,0,0,2,0,0,0,0,0,0,0,0,359
162,"TH. BIRI SINGH INTER COLLEGE TUNDLA R.N. 6",831,719,0,1550,461,364,0,825,755,0,172,13,12,614,4,1,0,8,0,0,0,0,1,0,0,0,825
163,"TH. BIRI SINGH INTER COLLEGE TUNDLA R.N. 7",366,332,0,698,177,190,0,367,367,0,61,5,36,259,2,0,0,2,0,0,0,0,0,0,0,2,367
164,"TH. BIRI SINGH INTER COLLEGE TUNDLA R.N. 8",654,526,0,1180,455,295,0,750,746,0,59,6,9,655,2,1,0,17,0,1,0,0,0,0,0,0,750
165,"TH. BIRI SINGH INTER COLLEGE TUNDLA R.N. 9",645,553,0,1198,395,285,0,680,100,0,86,4,81,494,4,0,0,6,0,1,0,0,0,0,1,3,680
166,"P.V. MOHAMMADPUR",298,244,0,542,230,190,0,420,400,0,143,1,164,109,1,0,0,0,0,0,0,0,0,2,0,0,420
167,"P.V. BADANPUR",195,145,0,340,153,113,0,266,262,0,34,0,77,150,1,0,0,2,0,0,1,0,1,0,0,0,266
168,"J.H.S. JAJPUR",531,432,0,963,432,338,0,770,759,0,46,3,19,692,7,0,2,1,0,0,0,0,0,0,0,0,770
169,"P.V. DINAULI",711,591,0,1302,513,395,0,908,188,0,147,5,247,490,5,2,4,1,0,0,0,0,3,2,0,2,908
170,"P.V. GARHI SINDHARI",573,467,0,1040,479,375,0,854,37,0,507,5,139,196,4,0,0,1,0,0,0,0,1,0,0,1,854
171,"P.V. GARHI RANCHHOR",323,234,0,557,176,223,0,399,1,0,107,0,14,276,1,0,0,0,0,0,0,0,0,0,0,1,399
172,"P.V. MAHARAJPUR",288,240,0,528,215,180,0,395,1,0,61,3,12,315,0,0,1,0,0,0,0,0,2,1,0,0,395
173,"J.H.S. JAUNDHARI",586,438,0,1024,398,275,0,673,54,0,203,5,32,425,2,0,0,0,0,0,0,0,5,0,1,0,673
174,"P.V. JAUNDHARI",241,194,0,435,183,108,0,291,1,0,46,1,142,95,1,0,0,0,1,0,0,0,0,1,1,3,291
175,"P.V. GARHI FATEH",237,194,0,431,165,147,0,312,280,0,125,0,31,148,2,1,1,0,0,0,0,0,1,0,0,3,312
