"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NAGMA","2 - RAJENDRA AGARWAL","3 - MOHD.SHAHID AKHLAK","4 - SHAHID MANZOOR","5 - MOHD.USMAN GHAZI","6 - MOHD. SAJID SAIFI","7 - DR. EX. MAJ HIMANSHU SINGH","8 - ATUL KHODAWAL","9 - ANIL","10 - APHAJAL","11 - IQRA CHOUDHARY","12 - MUKESH KUMAR","13 - SUNIL DUTT","14 - None of the Above","Total Votes Secured"
61,"PRATHMIK VIDHALYA ROOM NO 1 RAHDRA",490,390,0,880,367,237,0,604,604,0,2,508,6,83,0,0,1,1,0,0,0,0,1,2,604
62,"PRATHMIK VIDHALYA ROOM NO 2 RAHDRA",335,288,0,623,199,160,0,359,354,0,3,131,191,30,1,0,0,1,1,0,0,0,1,0,359
63,"PRATHMIK VIDHALYA ROOM NO 1 MURADGAONPUR URF KUAN KHERA",279,214,0,493,196,159,0,355,351,0,0,246,81,28,0,0,0,0,0,0,0,0,0,0,355
64,"PRATHMIK VIDHALYA ROOM NO 1 AMEENABAD URF BADA GAON",412,338,0,750,240,190,0,430,430,0,8,193,101,127,0,0,0,1,0,0,0,0,0,0,430
65,"PRATHMIK VIDHALYA ROOM NO 2 AMEENABAD URF BADA GAON",560,423,0,983,314,225,0,539,529,0,11,134,137,252,1,0,0,0,0,0,0,1,0,3,539
66,"ISLAMIA SCHOOL ROOM NO 1 RADHANA INAYATPUR",786,623,0,1409,478,375,0,853,849,0,11,12,384,436,2,0,1,0,1,0,2,2,1,1,853
67,"ISLAMIA SCHOOL ROOM NO 2 RADHANA INAYATPUR",706,546,0,1252,462,374,0,836,812,0,7,11,281,525,4,1,0,1,0,1,0,1,0,4,836
68,"ISLAMIA SCHOOL ROOM NO 3 RADHANA INAYATPUR",756,618,0,1374,493,435,0,928,926,0,5,0,291,615,10,2,0,0,1,0,0,1,2,1,928
69,"PRATHMIK VIDHALYA ROOM NO 1 RADHANA INAYATPUR",606,514,0,1120,420,362,0,782,782,0,4,3,179,583,7,0,3,1,1,0,1,0,0,0,782
70,"PRATHMIK VIDHALYA ROOM NO 2 RADHANA INAYATPUR",569,395,0,964,318,233,0,551,545,0,4,5,202,333,3,1,0,0,1,0,0,1,0,1,551
71,"PRATHMIK VIDHALYA ROOM NO 1 INDRAPURA MAJRA RADHANA INAYATPUR",286,246,1,533,240,192,0,432,430,0,2,264,71,93,1,0,0,0,0,0,1,0,0,0,432
72,"PRATHMIK VIDHALYA ROOM NO 1 BEHRORA",483,386,0,869,315,260,0,575,573,0,3,134,319,106,0,1,3,2,0,0,0,0,2,5,575
73,"PRATHMIK VIDHALYA ROOM NO 2 BEHRORA",521,417,0,938,314,279,0,593,593,0,5,22,348,215,0,2,1,0,0,0,0,0,0,0,593
74,"PRATHMIK VIDHALYA ROOM NO 3 BEHRORA",650,500,1,1151,431,368,0,799,799,0,3,123,254,412,2,1,0,0,0,0,1,1,1,1,799
75,"PRATHMIK VIDHALYA ROOM NO 1 NANGLI KITHORE",612,490,0,1102,359,307,0,666,666,0,8,334,173,128,1,2,1,3,0,0,1,1,5,9,666
76,"PRATHMIK VIDHALYA ROOM NO 2 NANGLI KITHORE",598,486,0,1084,355,285,0,640,636,0,9,320,162,139,0,1,0,2,0,0,3,1,0,3,640
77,"PRATHMIK VIDHALYA NO. 1 ROOM NO 1 KITHORE",720,661,0,1381,473,411,0,884,861,0,31,9,295,538,2,0,5,0,0,0,1,0,0,3,884
78,"PRATHMIK VIDHALYA NO. 1 ROOM NO 2 KITHORE",538,452,0,990,446,225,0,671,660,0,27,6,326,306,0,0,4,0,0,0,0,0,0,2,671
79,"PRATHMIK VIDHALYA NO. 1 ROOM NO 3 KITHORE",415,367,1,783,287,253,0,540,538,0,2,1,221,307,0,0,0,1,0,1,1,0,2,4,540
80,"PRATHMIK VIDHALYA NO 2 ROOM NO 1  KITHORE",418,343,0,761,302,230,0,532,400,0,9,70,224,217,0,0,5,0,0,0,0,0,2,5,532
81,"GANDHI SMARAK INTER COLLEGE ROOM NO 1 KITHORE",423,332,0,755,252,194,0,446,446,0,7,2,267,169,0,0,0,0,0,0,0,0,0,1,446
82,"GANDHI SMARAK INTER COLLEGE ROOM N02 KITHORE",440,350,0,790,317,217,0,534,534,0,2,0,332,191,3,0,2,1,0,0,0,1,1,1,534
83,"GANDHI SMARAK INTER COLLEGER ROOM N0-3 KITHORE",481,401,0,882,312,268,0,580,419,0,7,5,366,186,1,4,3,0,0,0,0,2,0,6,580
84,"GANDHI SMARAK INTER COLLEGER ROOM N0-4 KITHORE",552,447,0,999,333,271,0,604,601,0,27,15,226,327,2,1,1,1,1,0,0,1,1,1,604
85,"GANDHI SMARAK INTER COLLEGER ROOM  N0-5KITHORE",812,633,0,1445,455,400,0,855,828,0,3,4,442,394,3,0,2,1,0,0,0,2,1,3,855
86,"GOVT.KANYA INTER COLLEGE ROOM N01- KITHORE",536,509,0,1045,446,419,0,865,865,0,1,38,153,664,1,0,1,1,1,1,1,0,0,3,865
87,"GOVT.KANYA INTER COLLEGE ROOM N0-2 KITHORE",656,559,0,1215,469,371,0,840,824,0,5,46,264,511,1,1,2,1,1,0,0,1,0,7,840
88,"GOVT.KANYA INTER COLLEGEROOM-3 KITHORE",479,351,0,830,295,233,0,528,528,0,4,92,162,261,1,0,3,0,0,1,0,0,1,3,528
89,"GOVT. KANYA INTER COLLEGE ROOM N0-4 KITHORE",506,423,0,929,410,336,0,746,742,0,7,20,283,423,2,1,5,0,0,1,0,1,2,1,746
90,"LADO KANYA PRATHMIK VIDHALYA ROOM N0-1 KITHORE",443,354,0,797,329,241,0,570,564,0,9,75,159,316,4,0,3,0,0,0,0,1,1,2,570
91,"LADO KANYA PRATHMIK VIDHALYA ROOM N0-2 KITHORE",797,647,0,1444,566,441,0,1007,980,0,4,149,320,525,2,0,1,0,0,2,0,2,0,2,1007
92,"OFFICE TOWN AREAROOM-1 KITHORE",682,572,0,1254,512,437,0,949,935,0,3,33,323,578,1,0,0,1,0,0,0,2,2,6,949
93,"OFFICE TOWN AREA ROOM NO-2 KITHORE",441,326,0,767,283,211,0,494,494,0,11,21,229,226,2,0,0,0,0,0,1,2,0,2,494
94,"PRATHMIK VIDHALYA ROOM N0-1 SHAHZMAL",611,488,1,1100,383,324,0,707,593,0,16,16,453,199,3,2,4,1,2,1,1,5,1,3,707
95,"PRATHMIK VIDHALYA ROOM NO 1 JHIDIO MAJRA KITHORE DEHAT",159,132,0,291,124,95,0,219,219,0,4,88,37,85,0,0,0,0,0,0,0,2,1,2,219
96,"BHARAT SHIKSHA SADAN JR.HIGH SCHOOL  ROOM N0-1 SHAHJHANPUR",636,439,0,1075,384,315,0,699,679,0,6,107,473,104,1,0,0,0,0,0,0,4,0,4,699
97,"BHARAT SHIKSHA SADAN JR.HIGH SCHOOL ROOM NO-2SHAHJHANPUR",490,350,0,840,316,217,0,533,443,0,9,160,267,85,0,1,3,0,0,2,0,1,1,4,533
98,"BHARAT SHIKSHA SADANJR.HIGH SCHOOLROOM-3 SHAHJHANPUR",571,437,0,1008,344,270,0,614,614,0,14,156,286,145,4,0,1,0,0,0,0,2,0,6,614
99,"BHARAT SHIKSHA SADAN JR0HIGH SCHOOL ROOM N0-4SHAHJHANPUR",485,424,0,909,278,248,0,526,475,0,45,54,231,182,1,0,6,0,2,0,0,0,0,5,526
100,"BHARAT SHIKSHA SADAN JR.HIGH SCHOOL ROOM NO 5 SHAHJHANPUR",626,540,0,1166,395,335,0,730,47,0,16,36,405,265,0,0,7,0,0,0,0,0,0,1,730
101,"BHARAT SHIKSHA SADAN JR.HIGH SCHOOL ROOM NO 6 SHAHJHANPUR",992,677,0,1669,503,312,0,815,812,0,8,6,495,290,0,1,3,0,1,1,1,3,2,4,815
102,"PRATHMIK VIDHALYA NO.2 ROOM N0-1 SHAHJHANPUR",840,616,0,1456,412,295,0,707,645,0,10,158,276,249,2,1,3,1,0,0,1,0,4,2,707
103,"PRATHMIK VIDHALYA NO.1 ROOM N0-१ SHAHJHANPUR",682,537,0,1219,389,285,0,674,7,0,9,116,321,216,2,1,5,0,0,0,0,1,2,1,674
104,"PRATHMIK VIDHALYA NO.1ROOM N0-2 SHAHJHANPUR",649,508,0,1157,371,258,0,629,629,0,19,212,230,146,4,1,0,1,0,0,2,5,5,4,629
105,"PRATHMIK VIDHALYAROOM N0-1 NITYANANDPUR",740,605,0,1345,487,494,0,981,800,0,5,189,417,358,2,1,2,0,2,0,2,0,1,2,981
106,"KISAN VIDHALAY INTER COLLEGE ROOM N0-1 CHANDLAWAD URF MAHALWALA",465,393,0,858,307,243,0,550,548,0,6,148,160,227,0,0,1,1,0,0,2,2,1,2,550
107,"KISAN VIDHALAY INTER COLLEGEROOM NO-2 CHANDLAWAD URF MAHALWALA",405,350,0,755,187,170,0,357,354,0,3,248,43,59,0,0,0,0,0,0,0,0,1,3,357
108,"KISAN VIDHALAY INTER COLLEGE ROOM NO.3 CHANDLAWAD URF MAHALWALA",411,312,0,723,210,185,0,395,62,0,4,151,202,30,0,0,0,0,1,0,0,6,1,0,395
109,"KISAN VIDHALAY INTER COLLEGE ROOM N0-4 CHANDLAWAD URF MAHALWALA",404,325,0,729,195,168,0,363,363,0,1,132,142,81,1,0,1,0,0,0,0,1,2,2,363
110,"PRATHMIK VIDHALYA ROOM N0-1 ISAPUR",293,237,0,530,211,169,0,380,373,0,6,74,96,199,1,0,3,0,0,0,0,0,0,1,380
111,"PRATHMIK VIDHALYA ROOM N0-1 BHAGWANPUR BANGAR",570,447,0,1017,375,301,0,676,675,0,0,427,189,57,2,0,0,0,0,0,0,1,0,0,676
112,"PRATHMIK VIDHALYAROOM N0-1 GOVINDPUR SAKARPUR",687,473,0,1160,478,316,0,794,794,0,6,692,18,72,0,0,0,0,0,0,0,0,2,4,794
113,"PRATHMIK VIDHALYAROOM N0-2 GOVINDPUR SHAKARPUR",532,396,0,928,312,242,0,554,550,0,3,262,212,61,0,0,1,0,0,0,4,1,3,7,554
114,"PRATHMIK VIDYALAYA ROOM N0-1 JADAUDA",752,598,0,1350,453,333,0,786,612,0,9,18,311,425,3,0,2,0,1,2,0,3,4,8,786
115,"PRATHMIK VIDYALAYA ROOM N0-2 JADAUDA",797,607,0,1404,447,327,0,774,774,0,14,22,365,356,3,1,4,0,0,0,1,3,1,4,774
116,"PRATHMIK VIDYALAYA ROOM N0-1 BHADAULI",672,520,0,1192,482,317,0,799,78,0,0,518,13,262,1,0,0,0,1,0,1,0,2,1,799
117,"UCHCHA PRATHMIK VIDYALYA SADULLAPUR BHANGAR",563,470,1,1034,494,310,0,804,760,0,0,549,113,134,0,0,0,0,0,1,1,0,4,2,804
118,"SAMRAT CHANDRAGUPTA SUBHARTI INTER COLLEGE ROOM -3 FATEHPURNARAYAN",672,463,0,1135,439,314,0,753,753,0,1,535,68,121,1,1,4,1,0,0,1,0,15,5,753
119,"SAMRAT CHANDRAGUPTA SUBHARTI INTER COLLEGEROOM NO-4 FATEHPURNARAYAN",496,343,0,839,331,223,0,554,554,0,3,308,167,66,0,0,1,0,0,0,1,1,4,3,554
120,"SADHAN SAHKARI SAMITI FATEHPUR NARAYAN",290,198,0,488,175,118,0,293,293,0,4,61,218,5,0,0,0,1,0,0,0,0,3,1,293
121,"LAL BAHADUR SHASTRI INTER COLLEGEROOM N0-1 INCHAULI",716,529,0,1245,472,297,0,769,266,0,6,249,267,207,3,7,6,1,0,1,0,2,3,17,769
122,"LAL BAHADUR SHASTRI INTER COLLEGE ROOM N0-2 INCHAULI",470,388,0,858,260,201,0,461,461,0,4,23,206,188,2,25,8,0,0,1,0,0,1,3,461
123,"LAL BAHADUR SHASTRI INTER COLLEGE ROOM N0-3 INCHAULI",752,595,0,1347,461,275,0,736,736,0,13,72,315,329,2,0,0,0,0,1,1,1,1,1,736
124,"LAL BAHADUR SHASTRI INTER COLLEGE ROOM N0-4 INCHAULI",538,391,0,929,285,183,0,468,468,0,6,27,209,213,3,1,6,0,0,0,1,0,0,2,468
125,"UNCH PRATHMIK VIDHYALYA DISTRICT BOARD ROOM N0-1  INCHAULI",740,577,0,1317,436,345,0,781,710,0,2,237,238,279,2,0,0,1,1,2,2,3,5,9,781
126,"UNCH PRATHMIK VIDHYALYA DISTRICT BOARD ROOM N0-2INCHAULI",667,560,0,1227,498,330,0,828,625,0,10,176,524,107,0,4,5,0,0,0,0,0,0,2,828
127,"UNCH PRATHMIK VIDHYALYA DISTRICT BOARD ROOM N0-3  INCHAULI",765,562,0,1327,475,318,0,793,778,0,11,86,371,305,1,1,2,1,0,0,3,2,2,8,793
128,"PANCHAYAT GHAR INCHAULI",464,391,0,855,267,217,0,484,434,0,8,83,118,268,1,1,0,0,0,0,1,1,1,2,484
129,"PRATHMIK VIDHYALYA NAYA GAON MAJRA INCHAULI",467,328,0,795,343,210,0,553,553,0,1,30,501,7,1,2,1,1,0,0,2,5,0,2,553
130,"PRATHMIK VIDHALYA NO.2 ROOM NO.1 MUZAFFARNAGAR SAINI",575,478,0,1053,479,330,0,809,780,0,28,401,149,213,1,2,1,0,1,0,2,0,3,8,809
131,"PRATHMIK VIDHALYA NO.2 ROOM N0-2 MUZAFFARNAGAR SAINI",359,273,0,632,298,175,0,473,459,0,13,236,66,153,0,0,3,1,0,1,0,0,0,0,473
132,"PRATHMIK VIDHALYA NO.1 MUZAFFARNAGAR SAINI",819,627,0,1446,639,424,0,1063,1062,0,22,280,464,273,5,1,1,0,0,1,1,6,2,7,1063
133,"PRATHMIK VIDHALYA N0-1MASOORIE",811,615,0,1426,552,415,0,967,967,0,15,211,697,23,0,1,1,0,1,1,1,4,0,12,967
134,"PRATHMIK VIDHALYAN0-2 MASOORIE",681,553,0,1234,426,316,0,742,732,0,66,516,91,61,0,2,1,1,0,0,1,2,0,1,742
135,"PRATHMIK VIDHALYAROOM-3 MASOORIE",591,495,0,1086,390,252,0,642,576,0,22,429,70,100,0,0,13,0,0,2,2,1,2,1,642
136,"PRATHMIK VIDHALYAROOMN0-1 KHARDAUNI SHEIKHPUR",968,731,0,1699,626,461,0,1087,261,0,4,358,259,448,3,2,0,1,2,0,1,1,2,6,1087
137,"PRATHMIK VIDHALYAROOM N0-2 KHARDAUNI SHEIKHPUR",969,662,0,1631,653,485,0,1138,1134,0,4,47,374,686,5,0,0,0,1,2,6,1,3,9,1138
138,"PRATHMIK VIDHALYAROOM-1 PABLA",672,482,0,1154,462,295,0,757,757,0,0,204,425,121,1,1,0,0,0,1,1,1,2,0,757
139,"PRATHMIK VIDHALYAROOM N0-2 PABLA",684,522,0,1206,491,307,0,798,798,0,1,226,401,159,1,1,0,0,0,0,1,4,1,3,798
140,"NAVJEEVAN INTER COLLEGE ROOM NO.-1 KASTALA SHAMSHERNAGAR",502,414,0,916,346,264,0,610,430,0,3,449,45,110,0,0,0,0,0,0,0,0,1,2,610
141,"NAVJEEN INTER COLLEGE  ROOM NO 2 KASTALA SHAMSHERNAGAR",509,413,0,922,371,269,0,640,640,0,32,524,14,65,0,0,2,0,0,0,0,0,2,1,640
142,"NAVJEEN INTER COLLEGE  ROOM NO  3  KASTALA SHAMSHERNAGAR",413,303,0,716,287,202,0,489,47,0,32,425,11,16,0,0,0,0,0,1,0,2,0,2,489
143,"UNCH PRATHMIK VIDHYALYA NAGLI AZMABAD",588,475,0,1063,438,337,0,775,761,0,15,490,229,35,0,1,0,0,0,0,0,1,2,2,775
144,"PRATHMIK VIDHALYA  ROOM NO 1  KUNKURA",619,463,0,1082,437,310,0,747,16,0,11,361,229,138,0,3,0,1,0,0,0,1,2,1,747
145,"PRATHMIK VIDHALYA  ROOM NO 2  KUNKURA",482,378,0,860,338,260,0,598,84,0,17,372,139,57,0,0,0,0,0,1,4,2,3,3,598
146,"PRATHMIK VIDHALYA   ROOM NO 1  SADHARANPUR",472,363,0,835,377,270,0,647,647,0,8,470,6,156,1,0,0,0,0,0,0,0,4,2,647
147,"PRATHMIK VIDHALYA   ROOM NO 2 SADHARANPUR",469,321,0,790,363,251,0,614,100,0,11,269,197,131,0,0,0,0,0,0,0,1,3,2,614
