"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ATUL KUMAR SINGH ANJAAN","2 - DARA SINGH CHAUHAN","3 - RAJEEV KUMAR RAI","4 - RASHTRA KUNWAR SINGH","5 - HARINARAYAN RAJBHAR","6 - BADRI NATH YADAV","7 - MANISH KUMAR RAI","8 - MOKHTAR ANSARI","9 - RAVI SHANKAR BHARAT","10 - RAJKUMAR CHAUHAN","11 - VIJAY KUMAR UPADHYAY","12 - DR. SHAMEEM ABIDI","13 - HARINATH","14 - HARISH CHANDRA","15 - HEMANT KUMAR","16 - DOODHNATH CHAUHAN","17 - VISHUN DAYAL","18 - SURYA KUMAR","19 - None of the Above","Total Votes Secured"
43,"KANYA P.P.NASHOPUR EAST PART",717,569,0,1286,415,319,0,734,734,0,7,215,69,28,223,1,8,175,1,0,0,0,0,3,0,1,3,0,0,734
44,"KANYA P.P.NASHOPUR WEST PART",866,663,0,1529,536,388,0,924,924,0,4,329,190,6,289,6,4,83,2,0,2,1,0,1,1,1,2,0,3,924
45,"KANYA P.P.NASHOPUR EAST PART",107,87,0,194,37,35,0,72,72,0,0,17,5,0,45,1,0,3,0,0,0,0,0,0,0,0,0,0,1,72
46,"KANYA P.P.BHITI NORTH  PART",842,692,0,1534,459,346,0,805,805,0,4,40,70,16,622,1,2,38,0,2,1,1,0,0,0,2,2,1,3,805
47,"KANYA P.P.BHITI NORTH  PART",141,111,0,252,69,58,0,127,127,0,0,6,12,2,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,127
48,"KANYA P.P.BHITI SOUTH  PART",1176,906,0,2082,678,459,0,1137,1137,0,4,84,78,25,869,4,2,56,0,0,2,2,1,2,1,5,0,0,2,1137
49,"KANYA P.P.BHITI NORTH  PART",240,195,0,435,118,89,0,207,207,0,0,12,11,2,177,0,1,3,0,0,0,0,0,0,1,0,0,0,0,207
50,"KANYA P.P.BHITI SOUTH  PART-3",502,435,0,937,226,261,0,487,487,0,3,168,45,3,239,2,1,4,2,1,1,1,3,3,2,3,2,2,2,487
51,"KANYA P.P.BHITI SOUTH  PART-2",944,726,0,1670,510,446,0,956,956,0,7,768,12,8,108,5,2,4,2,4,5,0,3,0,9,6,1,10,2,956
52,P.P.RAGHOPATTI,881,691,0,1572,533,484,0,1017,1017,0,8,552,30,6,291,9,5,82,5,1,7,3,1,2,3,7,2,2,1,1017
53,"P.P.KHVAJAJAHAPUR SOUTH PART",1015,831,0,1846,616,457,0,1073,1073,0,21,107,96,12,739,6,9,66,0,0,0,3,3,0,1,3,2,2,3,1073
54,"P.P.KHVAJAJAHAPUR NORTH PART",245,211,0,456,164,122,0,286,286,0,5,12,33,2,214,3,0,7,0,1,0,0,0,1,1,4,0,0,3,286
55,"P.P.KHVAJAJAHAPUR NORTH PART",1087,751,0,1838,570,387,0,957,957,0,7,42,24,10,758,7,3,75,1,0,4,3,2,0,3,15,1,1,1,957
56,"KANYA I.C.SONIDHAPA NORTH PART",385,298,0,683,139,93,0,232,232,0,4,29,26,10,101,4,0,57,0,0,0,0,0,0,0,1,0,0,0,232
57,"D.C.S.K.D.C.NIZAMUDDINPURA MIDLE PART",401,306,0,707,208,162,0,370,370,0,1,50,57,4,121,0,4,128,0,0,0,2,0,0,0,0,1,1,1,370
58,"D.C.S.K.D.C.NIZAMUDDINPURA SOUTH PART",781,641,0,1422,371,265,0,636,636,0,6,38,34,9,361,1,0,175,0,2,2,0,0,0,2,4,0,1,1,636
59,"D.C.S.K.D.C.NIZAMUDDINPURA MIDLE PART-3",403,358,0,761,222,181,0,403,403,0,4,12,40,13,259,6,2,56,1,0,0,2,1,0,0,1,0,0,6,403
60,"D.C.S.K.D.C.NIZAMUDDINPURA MIDLE PART-3",895,754,0,1649,461,349,0,810,810,0,2,191,230,6,82,0,4,263,2,0,0,20,1,0,0,4,1,2,2,810
61,"P.P.BALNIKATEN NIZAMUDDINPURA WEST PART",612,507,0,1119,356,306,0,662,662,0,9,25,49,17,544,5,0,3,2,1,1,0,0,0,3,1,0,1,1,662
62,"P.P.BALNIKATEN NIZAMUDDINPURA WEST PART-1",707,567,0,1274,313,279,0,592,592,0,1,25,53,7,491,4,3,1,0,1,1,0,0,0,2,2,0,0,1,592
63,"P.P.BALNIKATEN NIZAMUDDINPURA WEST PART-2",507,447,0,954,264,238,0,502,502,0,7,25,47,4,395,6,6,6,1,1,0,0,0,1,0,2,0,0,1,502
64,"P.P.BALNIKATEN NIZAMUDDINPURA WEST PART-3",848,682,0,1530,378,298,0,676,676,0,4,69,85,14,486,1,4,5,1,0,0,0,0,0,0,2,1,1,3,676
65,"P.P.BALNIKATEN NIZAMUDDINPURA WEST PART-4",359,308,0,667,160,117,0,277,277,0,2,9,16,4,227,2,2,12,0,0,1,0,0,0,0,0,0,0,2,277
66,"P.P.BALNIKATEN NIZAMUDDINPURA WEST PART-5",360,307,0,667,142,119,0,261,261,0,3,21,36,2,189,0,1,2,1,0,0,0,0,0,1,3,0,0,2,261
67,"SONIDHAPA I.C.NIZAMUDDINPURA NORTH PART",671,557,0,1228,397,325,0,722,722,0,3,370,32,6,294,6,2,3,0,0,0,0,0,0,0,1,0,4,1,722
68,"SONIDHAPA I.C.NIZAMUDDINPURA NORTH PART-1",555,412,0,967,270,204,0,474,474,0,3,30,43,13,371,2,1,6,1,0,0,1,0,0,0,2,0,0,1,474
69,"SONIDHAPA I.C.NIZAMUDDINPURA MIDLE PART",589,490,0,1079,319,280,0,599,599,0,3,56,49,13,454,2,3,12,1,0,0,0,2,1,0,0,0,2,1,599
70,"SONIDHAPA I.C.NIZAMUDDINPURA MIDLE PART",688,579,0,1267,290,273,0,563,563,0,6,69,58,15,378,3,8,17,0,2,0,1,0,2,1,2,0,0,1,563
71,"SONIDHAPA I.C.NIZAMUDDINPURA MIDLE PART-2",987,851,0,1838,450,348,0,798,798,0,10,34,106,20,596,3,12,11,1,0,0,0,0,0,1,0,3,0,1,798
72,"SONIDHAPA I.C.NIZAMUDDINPURA SOUTH PART",711,551,0,1262,318,281,0,599,599,0,6,42,57,9,442,1,1,25,0,3,1,0,0,1,0,4,2,1,4,599
73,"TALIMUDDIN I.C.BADI KAMHARIYA",806,684,0,1490,495,422,0,917,917,0,13,136,42,10,349,6,4,335,5,1,2,7,0,2,1,3,0,1,0,917
74,"TALIMUDDIN I.C.BADI KAMHARIYA MIDLE PART",215,187,0,402,134,111,0,245,245,0,2,14,9,2,57,0,0,155,1,0,0,3,0,0,0,2,0,0,0,245
75,"P.P.SHADATPURA EAST RAILWAY",321,255,0,576,170,120,0,290,290,0,5,77,26,2,61,1,0,115,0,0,0,0,0,2,0,1,0,0,0,290
76,"P.P.SHADATPURA EAST RAILWAY",824,659,0,1483,461,319,0,780,780,0,6,27,121,11,272,4,4,316,5,1,1,7,2,1,1,1,0,0,0,780
77,"P.P.SHADATPURA MIDLE PART",882,730,0,1612,519,344,0,863,863,0,10,52,20,20,715,5,1,33,1,1,2,1,0,0,1,0,0,0,1,863
78,"P.P.SHADATPURA MIDLE PART -1",40,55,0,95,27,32,0,59,59,0,0,1,0,1,55,0,1,1,0,0,0,0,0,0,0,0,0,0,0,59
79,R.B.P.S.SHADATPURA,850,738,0,1588,445,363,0,808,808,0,10,30,244,22,10,0,5,466,1,0,0,18,0,0,0,0,1,0,1,808
80,R.B.P.S.SHADATPURA,258,214,0,472,127,129,0,256,256,0,2,7,36,2,20,0,3,179,0,0,0,5,0,0,0,2,0,0,0,256
81,"R.B.P.S.SHADATPURA EAST PART-1",881,703,0,1584,445,395,0,840,840,0,3,15,118,21,88,1,4,564,1,3,0,3,1,2,1,14,0,1,0,840
82,"R.B.P.S.SHADATPURA MIDLE PART-2",156,160,0,316,59,60,0,119,119,0,0,3,9,1,19,0,0,85,0,0,0,2,0,0,0,0,0,0,0,119
83,"R.B.P.S.SHADATPURA WEST PART-2",924,738,0,1662,487,393,0,880,880,0,2,6,116,9,82,0,6,631,3,0,0,14,0,0,0,3,2,0,6,880
84,"R.B.P.S.SHADATPURA WEST PART-3",706,593,0,1299,378,312,0,690,690,0,9,11,80,14,344,0,6,221,0,0,0,2,1,0,0,0,0,0,2,690
85,"R.B.P.S.SHADATPURA WEST PART-3",632,491,0,1123,338,263,0,601,601,0,6,16,57,6,147,2,1,354,1,0,1,8,0,1,0,1,0,0,0,601
86,"M.I.C.HATTHIMADARI NORTH PART",806,758,0,1564,462,360,0,822,822,0,1,42,175,17,276,3,3,286,4,1,0,1,1,1,0,2,1,2,6,822
87,"M.I.C.HATTHIMADARI MIDLE PART",598,558,0,1156,348,294,0,642,642,0,6,21,165,6,231,2,2,199,3,0,1,4,0,1,0,0,0,0,1,642
88,"M.I.C.HATTHIMADARI MIDLE PART -1",591,537,0,1128,349,286,0,635,635,0,67,49,141,12,43,1,1,309,2,0,0,9,0,0,0,1,0,0,0,635
89,"M.I.C.HATTHIMADARI MIDLE PART -2",579,581,0,1160,316,283,0,599,599,0,3,99,192,16,38,0,7,234,0,1,0,4,0,2,1,0,0,2,0,599
90,"M.I.C.HATTHIMADARI MIDLE PART -3",479,418,0,897,306,211,0,517,517,0,10,64,114,36,110,1,4,176,0,0,0,0,0,0,0,1,0,0,1,517
91,"M.I.C.HATTHIMADARI WEST PART",699,703,0,1402,440,354,0,794,794,0,8,35,186,14,205,1,4,336,1,0,0,1,0,0,0,1,0,2,0,794
92,"M.I.C.HATTHIMADARI MIDLE PART -2",627,548,0,1175,388,314,0,702,702,0,76,52,230,4,48,1,3,276,3,0,1,0,1,1,0,3,0,1,2,702
93,"M.DARULHADISH MADANPURA NORT PART",617,590,0,1207,396,378,0,774,774,0,90,102,237,19,17,1,8,287,0,0,1,5,0,1,0,1,1,0,4,774
94,"M.DARULHADISH MADANPURA MIDLE PART -1",451,423,0,874,227,256,0,483,483,0,17,32,184,3,2,0,1,237,3,0,0,1,0,0,0,0,1,0,2,483
95,"M.DARULHADISH MADANPURA MIDLE PART -2",493,458,0,951,284,249,0,533,533,0,75,24,215,3,26,0,7,181,0,0,0,1,0,0,0,0,0,0,1,533
96,"M.DARULHADISH MADANPURA SOUTH PART",400,376,0,776,228,232,0,460,460,0,107,87,173,3,0,0,4,82,0,1,0,1,0,0,0,0,0,0,2,460
97,"M.DARULHADISH MADANPURA MIDLE PART -2",545,538,0,1083,366,357,0,723,723,0,24,82,344,6,5,0,3,243,0,0,0,12,0,0,0,0,1,1,2,723
98,"M.I.C.HATTHIMADARI MIDLE PART -3",803,705,0,1508,543,407,0,950,950,0,121,86,240,9,22,0,4,346,0,0,1,110,0,1,2,2,0,1,5,950
99,"M.F.MALIKTAHIRPURA WEST PART",646,603,0,1249,406,352,0,758,758,0,13,106,156,9,139,5,2,312,1,0,1,1,1,1,1,2,2,1,5,758
100,"M.F.MALIKTAHIRPURA MIDLE PART -1",618,611,0,1229,429,373,0,802,802,0,18,64,403,2,9,0,3,296,1,0,0,0,0,0,0,0,0,1,5,802
101,"M.F.MALIKTAHIRPURA MIDLE PART -2",623,563,0,1186,368,273,0,641,641,0,24,56,184,4,114,1,0,255,0,0,0,1,0,0,0,0,0,1,1,641
102,"M.F.MALIKTAHIRPURA MIDLE PART -3",343,268,0,611,162,95,0,257,257,0,2,10,33,1,22,0,1,178,4,1,0,0,0,0,0,0,1,0,4,257
103,"M.F.MALIKTAHIRPURA MIDLE PART -3",872,790,0,1662,509,398,0,907,907,0,40,59,112,5,111,3,2,570,0,0,2,0,0,0,1,2,0,0,0,907
104,"M.F.MALIKTAHIRPURA MIDLE PART -4",346,302,0,648,224,137,0,361,361,0,3,9,3,3,338,4,0,0,0,1,0,0,0,0,0,0,0,0,0,361
105,J.A.B.S.M.V.MALIKTOLA,749,695,0,1444,503,393,0,896,896,0,7,26,184,5,173,2,3,481,3,1,0,9,0,1,0,1,0,0,0,896
106,"J.A.B.S.M.V.MALIKTOLA  MIDLE PART-1",572,495,0,1067,269,227,0,496,496,0,5,9,97,2,96,0,2,283,1,0,1,0,0,0,0,0,0,0,0,496
107,"J.A.B.S.M.V.MALIKTOLA EAST PART",656,570,0,1226,411,346,0,757,757,0,4,44,132,1,89,0,0,479,2,0,1,3,0,0,1,0,0,1,0,757
108,"J.A.B.S.M.V.MALIKTOLA WEST PART",947,813,0,1760,585,525,0,1110,1110,0,7,25,104,10,23,1,7,912,2,1,2,9,0,0,1,5,0,0,1,1110
109,"J.A.B.S.M.V.MALIKTOLA  MIDLE PART-1",73,28,0,101,44,11,0,55,55,0,0,0,4,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,55
110,"M.N.ISLAM CHANDPURA NORTH PART",673,683,0,1356,423,365,0,788,788,0,27,263,232,3,1,2,3,248,3,0,0,1,0,1,0,1,0,1,2,788
111,"M.N.ISLAM CHANDPURA NORTH PART -1",247,225,0,472,153,161,0,314,314,0,4,17,107,1,3,0,1,173,0,1,0,7,0,0,0,0,0,0,0,314
112,"M.N.ISLAM CHANDPURA SOUTH PART",588,591,0,1179,411,308,0,719,719,0,20,73,274,15,2,0,7,302,1,1,1,18,0,3,0,1,0,0,1,719
113,"M.N.ISLAM CHANDPURA MIDLE PART",470,473,0,943,288,271,0,559,559,0,3,33,267,3,20,0,8,221,1,0,0,3,0,0,0,0,0,0,0,559
114,"SARSWATI S.M.BRAHMANPURA NORTH PART",762,636,0,1398,437,394,0,831,831,0,5,26,95,19,455,3,4,215,0,0,1,2,0,0,0,3,1,1,1,831
115,"SARSWATI S.M.BRAHMANPURA SOUTH PART",712,589,0,1301,464,343,0,807,807,0,6,10,22,16,705,8,1,24,0,0,1,4,2,0,0,1,1,2,4,807
116,"SARSWATI S.M.BRAHMANPURA NORTH WEST PART",579,534,0,1113,362,287,0,649,649,0,22,26,107,23,230,0,8,220,1,0,0,1,1,0,0,2,1,1,6,649
117,"J.H.SCHOOL MUGALPURA SOUTH PART",370,332,0,702,260,208,0,468,468,0,2,33,79,11,84,0,4,248,0,0,0,5,0,1,0,1,0,0,0,468
118,"J.H.SCHOOL MUGALPURA MIDLE PART-1",605,556,0,1161,395,337,0,732,732,0,3,18,287,10,2,0,11,390,1,0,0,9,0,0,0,0,0,0,1,732
119,"J.H.SCHOOL MUGALPURA MIDLE PART-2",758,664,0,1422,400,359,0,759,759,0,7,9,222,32,31,0,5,414,3,1,0,33,0,0,0,0,0,0,2,759
120,"J.H.SCHOOL MUGALPURA MIDLE PART-3",314,272,0,586,203,172,0,375,375,0,7,10,141,5,25,0,1,161,1,0,0,22,0,0,0,0,0,1,1,375
121,"J.H.SCHOOL MUGALPURA MIDLE PART-3",898,739,0,1637,491,397,0,888,888,0,5,5,125,3,14,0,3,713,5,1,0,8,0,0,0,5,0,0,1,888
122,"D.A.V.I.C.PURABALLI EAST PART",550,455,0,1005,381,281,0,662,662,0,7,23,17,7,533,6,4,51,0,1,0,4,0,0,1,5,2,0,1,662
123,"D.A.V.I.C.PURABALLI EAST PART-1",772,578,0,1350,439,331,0,770,770,0,15,15,17,5,667,18,2,15,2,0,3,1,2,2,0,3,2,0,1,770
124,"D.A.V.I.C.PURABALLI NORTH EAST PART-1",511,428,0,939,280,273,0,553,553,0,71,21,71,0,47,1,0,335,1,0,0,4,0,0,0,2,0,0,0,553
125,"D.A.V.I.C.PURABALLI NORTH  PART",415,367,0,782,232,221,0,453,453,0,15,23,38,2,119,1,1,217,0,0,1,32,0,1,0,0,0,1,2,453
126,"D.A.V.I.C.PURABALLI WEST PART",834,696,0,1530,494,403,0,897,897,0,6,12,22,8,653,2,3,184,2,0,1,0,0,0,0,0,0,0,4,897
127,"D.A.V.I.C.PURABALLI MIDLE PART-3",835,639,0,1474,468,377,0,845,845,0,3,16,103,17,445,1,4,229,2,1,0,15,1,0,3,2,0,0,3,845
128,D.A.V.I.C.PURABALLI,724,642,0,1366,476,442,0,918,918,0,23,13,216,23,142,0,3,443,2,0,1,46,0,0,0,0,2,0,4,918
129,"D.A.V.I.C.PURABALLI MIDLE PART-1",840,686,0,1526,461,383,0,844,844,0,4,126,78,6,183,0,2,431,1,0,2,5,0,1,1,2,1,1,0,844
130,"D.A.V.I.C.PURABALLI MIDLE PART-2",678,589,0,1267,445,339,0,784,784,0,1,5,107,1,31,3,4,625,3,0,0,3,0,0,0,0,0,0,1,784
131,"D.A.V.I.C.PURABALLI MIDLE PART-3",862,737,0,1599,484,474,0,958,958,0,4,105,30,7,477,6,2,299,1,0,1,16,2,1,0,3,1,0,3,958
132,"KANYA P.P.ASTUPURA",930,771,0,1701,575,450,0,1025,1025,0,16,23,104,10,521,10,3,281,1,2,0,46,2,1,1,3,0,0,1,1025
133,"KANYA P.P.ASTUPURA",513,422,1,936,271,223,0,494,494,0,5,16,36,7,300,3,2,112,0,0,0,8,0,1,2,1,0,1,0,494
134,"M.D.U.MIRZAHADIPURA NORT PART",740,692,0,1432,590,402,0,992,992,0,52,56,252,4,77,3,9,526,1,0,0,7,0,0,0,1,1,0,3,992
135,"M.D.U.MIRZAHADIPURA MIDLE PART",567,526,0,1093,390,321,0,711,711,0,119,20,138,9,25,1,7,381,0,0,0,8,0,0,0,0,0,0,3,711
136,"M.D.U.MIRZAHADIPURA SOUTH PART",680,605,0,1285,410,343,0,753,753,0,31,252,80,5,91,4,2,256,1,1,3,5,1,5,3,5,5,2,1,753
137,"M.D.U.MIRZAHADIPURA SOUTH PART",708,654,0,1362,490,420,0,910,910,0,11,25,199,6,3,0,2,642,4,0,0,16,0,0,0,1,0,0,1,910
138,"M.TALIMUDDIN KHIRIBAG NORT PART",938,848,0,1786,410,208,0,618,618,0,0,33,148,20,0,1,2,405,1,1,0,7,0,0,0,0,0,0,0,618
139,"M.TALIMUDDIN KHIRIBAG NORT PART -1",205,198,0,403,153,144,0,297,297,0,0,17,111,15,0,0,0,147,2,1,0,3,0,0,0,0,0,0,1,297
140,"M.TALIMUDDIN KHIRIBAG MIDLE PART -1",953,811,0,1764,651,459,0,1110,1110,0,11,89,176,15,1,0,9,728,6,0,1,69,0,0,0,0,1,1,3,1110
141,"M.TALIMUDDIN KHIRIBAG MIDLE PART -2",389,345,0,734,252,192,0,444,444,0,4,30,78,6,2,0,2,296,2,0,0,21,0,0,1,1,1,0,0,444
142,"M.TALIMUDDIN KHIRIBAG MIDLE PART -2",875,799,0,1674,608,506,0,1114,1114,0,3,91,213,12,3,0,5,775,2,0,1,4,0,0,1,2,0,1,1,1114
143,"M.TALIMUDDIN KHIRIBAG MIDLE PART -3",645,716,0,1361,482,530,0,1012,1012,0,8,68,566,4,2,0,9,347,2,0,0,1,0,0,1,2,0,0,2,1012
144,"M.TALIMUDDIN KHIRIBAG MIDLE PART -4",378,397,0,775,298,299,0,597,597,0,16,14,252,23,52,0,19,217,0,0,0,1,1,0,0,1,0,0,1,597
145,"M.TALIMUDDIN KHIRIBAG MIDLE PART -5",767,646,0,1413,528,353,0,881,881,0,11,95,286,3,2,0,13,421,0,2,0,42,0,0,0,1,0,3,2,881
146,"M.TALIMUDDIN KHIRIBAG MIDLE PART -6",744,758,0,1502,500,437,0,937,937,0,38,188,299,7,4,1,20,364,2,0,1,10,0,0,0,0,0,1,2,937
147,M.H.A.S..V.U.KHIRIBAG,631,627,0,1258,453,404,0,857,857,0,6,47,362,5,2,0,3,408,1,1,0,18,0,1,0,2,0,0,1,857
148,M.H.A.S..V.U.KHIRIBAG,306,256,0,562,226,193,0,419,419,0,26,58,197,8,1,0,8,120,0,0,0,0,0,0,0,1,0,0,0,419
149,"M.H.A.S..V.U.KHIRIBAG MIDLE PART-1",433,440,0,873,279,250,0,529,529,0,3,48,192,4,1,0,2,272,1,2,0,1,0,2,0,1,0,0,0,529
150,"M.H.A.S..V.U.KHIRIBAG MIDLE PART-2",429,439,0,868,250,242,0,492,492,0,11,45,144,20,2,1,0,260,2,0,0,6,0,0,0,0,0,0,1,492
