"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KARTAR SINGH BHADANA","2 - KANWAR HASAN","3 - NAHID HASAN","4 - HUKUM SINGH","5 - DIVAKAR KASHYAP","6 - PARDIP","7 - RAMKARAN KASHYAP","8 - SUNITA","9 - SUNIL KUMAR KASANA","10 - KRISHANPAL","11 - MOHANLAL","12 - None of the Above","Total Votes Secured"
26,"PRATHMIK VIDHALAYE  KAMRA NUMBER-2 RAWANPUR BUJURAG",331,292,0,623,293,266,0,559,155,0,2,30,400,117,1,0,0,1,0,5,0,3,559
27,"PRATHMIK VIDHALAYE KAMRA NUMBER-1 CHAKBIBIPUR",200,183,0,383,167,169,0,336,303,0,4,4,253,69,3,1,0,0,0,2,0,0,336
28,"PRATHMIK VIDHALAYE KAMRA NUMBER-1 BHADHRA",168,167,0,335,119,140,0,259,259,0,1,47,103,92,4,5,1,2,0,2,0,2,259
29,"PRATHMIK VIDHALAYE PURVI BHAG KAMRA NUMBER -1 DANDOLI",369,331,0,700,299,284,0,583,583,0,6,0,39,529,2,0,1,1,3,1,1,0,583
30,"PRATHMIK VIDHALAYE PASHACHIMI  BHAG KAMRA NUMBER -2 DANDOLI",349,300,0,649,221,233,0,454,400,0,5,212,9,216,4,0,1,0,3,2,1,1,454
31,"PRATHMIK VIDHALAYEKAMRA NUMBER -1 KHERA MAWAT",493,427,0,920,311,330,0,641,611,0,2,257,300,58,5,13,1,0,0,2,1,2,641
32,"PRATHMIK VIDHALAYEKAMRA NUMBER -2 KHERA MAWAT",790,679,0,1469,490,502,0,992,992,0,30,130,733,72,2,0,3,0,1,9,3,9,992
33,"PRATHMIK VIDHALAYE   DAKSHINI  BHAG KAMRA NUMBER-1  ALIPURA",148,128,0,276,116,105,0,221,194,0,0,25,80,112,1,1,1,0,1,0,0,0,221
34,"PRATHMIK VIDHALAYE UTTRI BHAG KAMRA NUMBER-1 BADGHOW",715,586,0,1301,509,456,0,965,965,0,11,319,115,494,7,3,1,2,2,3,1,7,965
35,"PRATHMIK VIDHALAYE UTTRI BHAG KAMRA NUMBER-1  MAHESWARI KALA",506,371,0,877,346,261,0,607,2,0,14,191,367,17,2,0,0,0,2,4,2,8,607
36,"PRATHMIK VIDHALAYE UTTRI BHAG KAMRA NUMBER-3  MAHESWARI KALA",345,277,0,622,246,215,0,461,369,0,4,88,325,32,2,1,2,1,2,2,1,1,461
37,"PRATHMIK VIDHALAYE  DAKSHIN BHAG KAMRA NUMBER-2  MAHESWARI KALA",574,492,0,1066,421,390,0,811,811,0,37,146,615,0,2,1,1,0,1,4,2,2,811
38,"PRATHMIK VIDHALAYE KAMRA NUMBER-1 MALAKPUR",693,576,0,1269,620,453,0,1073,1024,0,9,424,618,9,2,1,0,0,1,4,0,5,1073
39,"PANCHAYAT GHAR UTTRI BHAG KAMRA NUMBER-1  FIROZABAD",748,711,0,1459,578,543,0,1121,1120,0,11,372,681,41,3,0,1,0,1,5,1,5,1121
40,"PANCHAYAT GHAR DAKSHIN BHAG KAMRA NUMBER-2 FIROZABAD",311,284,0,595,222,211,0,433,433,0,4,52,279,85,3,2,2,0,1,3,1,1,433
41,"PRATHMIK VIDHALAYE KAMRA NUMBEDR -1 SANGMORE",517,496,0,1013,482,458,0,940,411,0,6,47,705,166,4,0,0,0,2,4,2,4,940
42,"PRATHMIK VIDHALAYE  KAMRA NUMBEDR -1 BHOJPUR TAGA",569,510,0,1079,458,425,0,883,243,0,27,303,488,53,2,1,0,0,2,3,1,3,883
43,"RAJKIYA HAYAR SECOUNDERY SCHOOL KAMRA NUMBEDR -1  GUMTI",480,477,0,957,385,408,0,793,713,0,6,166,481,120,4,3,0,0,1,4,2,6,793
44,"PRATHMIK VIDHALAYE KAMRA NUMBEDR -1 DASAMAJRA",516,489,0,1005,402,365,0,767,742,0,7,402,102,247,5,1,0,0,0,1,1,1,767
45,"PRATHMIK VIDHALAYE KAMRA NUMBEDR -1 PARAGPUR",461,416,0,877,396,346,0,742,742,0,8,144,548,34,0,0,0,0,1,3,2,2,742
46,"PURV MADHAYMIK VIDHALAYE UTTRI BHAG KAMRA NUMBER-1  BUDHAKHERA",808,804,0,1612,589,476,0,1065,11,0,42,20,969,23,2,2,1,2,0,2,0,2,1065
47,"PURV MADHAYMIK VIDHALAYE UTTRI BHAG KAMRA NUMBER-2 BUDHAKHERA",503,472,0,975,356,327,0,683,83,0,40,36,569,28,1,1,0,0,3,2,1,2,683
48,"PURV MADHAYMIK VIDHALAYE UTTRI BHAG KAMRA NUMBER-4 BUDHAKHERA",445,421,0,866,330,323,0,653,653,0,10,34,533,69,1,2,0,0,1,0,1,2,653
49,"PURV MADHAYMIK VIDHALAYE UTTRI BHAG KAMRA NUMBER-3 BUDHAKHERA",680,692,0,1372,533,518,0,1051,16,0,57,374,446,146,9,1,1,1,1,5,3,7,1051
50,"PRATHMIK VIDHALAYE KAMRA NUMBER-1 GHATHERA",464,352,0,816,358,300,0,658,654,0,5,443,74,124,3,3,1,0,1,1,1,2,658
51,"PRATHMIK VIDHALAYE KAMRA NUMBER-2 GHATHERA",564,509,0,1073,416,434,0,850,850,0,2,271,556,1,0,0,0,0,8,7,1,4,850
52,"PRATHMIK VIDHALAYE KAMRA NUMBER-1 ABDULLAPUR",512,515,0,1027,439,392,0,831,831,0,2,237,5,570,5,1,1,0,1,4,3,2,831
53,"PRATHMIK VIDHALAYE KAMRA NUMBER-2 ABDULLAPUR",306,272,0,578,272,241,0,513,513,0,1,46,84,374,3,0,1,0,0,2,1,1,513
54,"PRATHMIK VIDHALAYE KAMRA NUMBER-1 KALUMAJRA",165,150,0,315,163,144,0,307,307,0,0,1,0,305,0,0,0,0,1,0,0,0,307
55,"PRATHMIK VIDHALAYE KAMRA NUMBER-1 PANJBANGAR",313,303,0,616,277,273,0,550,550,0,0,5,1,533,7,0,0,0,2,1,0,1,550
56,"KARYALAYA NAGAR PANCHYAT UTTRI BHAG KAMRA NUMBER-1 SULTANPUR CHILKANA NAGER PANCHAYAT",569,520,0,1089,454,387,0,841,841,0,5,96,307,422,2,1,2,0,1,4,0,1,841
57,"KARYALAYA NAGAR PANCHYAT DAKSHIN BHAG KAMRA NUMBER-2  SULTANPUR CHILKANA NAGER PANCHAYAT",861,697,0,1558,596,525,0,1121,132,0,7,271,534,285,5,0,1,2,5,2,3,6,1121
58,"J.J. INTER COLLEGE SULTANPUR UTTRI BHAG KAMRA NUMBER-1 SULTANPUR  CHILKANA NAGAR PANCHYAT",870,708,0,1578,693,578,0,1271,56,0,11,89,483,645,16,2,7,0,3,2,0,13,1271
59,"J.J. INTER COLLEGE SULTANPUR DAKSHIN BHAG KAMRA NUMBER-2 SULTANPUR  CHILKANA NAGAR PANCHYAT",216,181,0,397,170,137,0,307,307,0,4,7,255,35,1,0,0,0,1,3,0,1,307
60,"PRATHMIK VIDHALAYE UTTRI BHAG CHILKANA KAMRA NUMBER-1 SULTANPUR CHILKANA NAGER PANCHAYAT",718,631,0,1349,585,500,0,1085,1075,0,3,107,847,105,5,1,2,1,1,3,3,7,1085
61,"PRATHMIK VIDHALAYE DAKSHINI BHAG CHILKANA KAMRA NUMBER-2 SULTANPUR CHILKANA NAGER PANCHAYAT",580,556,0,1136,430,365,0,795,785,0,4,10,419,349,3,0,0,1,3,0,1,5,795
62,"PRATHMIK VIDHALAYE MADHYA BHAG CHILKANA KAMRA NUMBER-3 SULTANPUR CHILKANA NAGER PANCHAYAT",680,518,0,1198,484,375,0,859,816,0,10,3,667,157,3,3,1,0,0,5,6,4,859
63,"DHRAMSALA CHILKANA UTTRI BHAG KAMRA NUMBER-1 SULTANPUR CHILKANA NAGAR PANCHYAT",620,540,0,1160,495,437,0,932,22,0,2,119,274,516,3,0,1,0,3,1,1,12,932
64,"DHRAMSALA CHILKANA UTTRI BHAG KAMRA NUMBER-2 SULTANPUR CHILKANA NAGAR PANCHYAT",632,555,0,1187,456,426,0,882,2,0,5,47,689,123,3,0,1,2,3,5,0,4,882
65,"DHRAMSALA CHILKANA UTTRI BHAG KAMRA NUMBER-3 SULTANPUR CHILKANA NAGAR PANCHYAT",574,510,0,1084,465,431,0,896,706,0,7,118,665,88,0,1,0,0,1,11,4,1,896
66,"PRATHMIK VIDHALAYE KAMRA NUMBER-1 NALHERA",588,493,0,1081,444,391,0,835,632,0,12,278,459,69,2,4,0,0,1,4,3,3,835
67,"PRATHMIK VIDHALAYE KAMRA NUMBER-2 NALHERA",336,288,0,624,287,245,0,532,446,0,3,182,163,178,2,0,0,0,3,1,0,0,532
68,"PRATHMIK VIDHALAYE PURVI BHAG KAMRA NUMBER-1 DHUMJERA",586,540,0,1126,510,465,0,975,882,3,3,181,642,128,2,1,2,0,0,8,0,8,975
69,"PRATHMIK VIDHALAYE  KAMRA NUMBER-2 DHUMJERA",810,731,0,1541,695,646,0,1341,1341,0,3,402,793,112,6,2,2,0,2,8,7,4,1341
70,"PRATHMIK VIDHALAYE  PURANI IMARAT BAGH -1 DHUMJERI",640,543,0,1183,471,465,0,936,936,0,9,301,605,14,0,0,0,0,0,3,2,2,936
71,"PRATHMIK VIDHALAYE  PURANI IMARAT BAGH -2 DHUMJERI",551,523,0,1074,419,436,0,855,855,0,4,205,549,82,3,0,1,3,1,1,4,2,855
72,"PRATHMIK VIDHALAYE  KAMRA NUMBER-1 BANGNI",436,372,0,808,367,315,0,682,682,0,1,160,38,462,7,1,3,0,3,0,4,3,682
73,"PRATHMIK VIDHALAYE DAKSHINI BHAG KAMRA NUMBER-1 CHORI",620,566,0,1186,472,456,0,928,749,0,2,147,82,669,13,2,2,0,2,6,1,2,928
74,"PRATHMIK VIDHALAYE DAKSHINI BHAG KAMRA NUMBER-2 CHORI",639,552,0,1191,514,446,0,960,630,0,11,528,22,372,7,3,1,2,2,3,3,6,960
75,"PRATHMIK VIDHALAYE KAMRA NUMBER-1 CHORA KALA",403,369,0,772,363,328,0,691,691,0,1,65,611,5,0,1,0,0,1,6,0,1,691
76,"PRATHMIK VIDHALAYE KAMRA NUMBER-1 BEENAKHERI",495,490,0,985,421,414,0,835,835,0,1,357,18,447,3,2,1,2,0,0,2,2,835
77,"PRATHMIK VIDHALAYE KAMRA NUMBER-1 CHAPAR",581,548,0,1129,538,491,0,1029,1029,0,2,293,42,676,8,1,0,0,1,2,2,2,1029
78,"PRATHMIK VIDHALAYE KAMRA NUMBER-1 SHUAKHARI",597,502,0,1099,486,395,0,881,849,0,4,537,2,310,10,1,2,1,5,6,1,2,881
79,"PRATHMIK VIDHALAYE KAMRA NUMBER-1 KHALRI",81,72,0,153,62,61,0,123,98,0,3,0,2,117,0,0,0,0,0,0,0,1,123
80,"PRATHMIK VIDHALAYE KAMRA NUMBER-2 KHALRI",565,487,0,1052,486,407,0,893,893,0,2,148,243,483,4,2,0,0,3,7,0,1,893
81,"PRATHMIK VIDHALAYE KAMRA NUMBER-1 IBRAHIMPUR",723,681,0,1404,632,547,0,1179,1178,0,11,404,558,187,7,0,0,0,2,4,1,5,1179
82,"KISHAN SUGAR MEEL  HIGH SCHOOL SARSAWA UTTRI BHAG KAMRA NUMBER-1 SALEMPUR",760,643,0,1403,564,482,0,1046,1004,0,10,286,125,603,6,2,1,0,6,2,0,5,1046
83,"KISHAN SUGAR MEEL  HIGH SCHOOL SARSAWA UTTRI BHAG KAMRA NUMBER-2 SALEMPUR",651,563,0,1214,508,413,0,921,871,0,3,170,392,344,4,0,1,0,2,4,0,1,921
84,"KISHAN SUGAR MEEL  HIGH SCHOOL SARSAWA UTTRI BHAG KAMRA NUMBER-3 SALEMPUR",274,237,0,511,201,176,0,377,274,0,0,37,32,301,2,1,1,0,1,0,0,2,377
85,"PRATHMIK VIDHALAYE  KAMRA NUMBER-1 IBRAHEME",784,718,0,1502,631,539,0,1170,1170,0,5,482,518,147,6,1,2,0,2,4,1,2,1170
86,"PRATHMIK VIDHALAYE  KAMRA NUMBER-1 MEERPUR SEETAPUR",488,421,0,909,423,376,0,799,799,0,0,209,324,256,3,0,0,0,1,1,3,2,799
87,"PRATHMIK VIDHALAYE  KAMRA NUMBER-1 SALERE",597,536,0,1133,439,416,0,855,240,0,14,171,554,101,3,1,0,1,2,4,1,3,855
88,"PRATHMIK VIDHALAYE  KAMRA NUMBER-2 SALERE",581,572,0,1153,502,483,0,985,150,0,15,120,624,203,7,0,1,0,2,7,3,3,985
89,"PRATHMIK VIDHALAYE  KAMRA NUMBER-1 CHALAKPUR",414,343,0,757,298,250,0,548,416,0,12,306,213,9,2,0,0,1,0,4,0,1,548
90,"PRATHMIK VIDHALAYE  KAMRA NUMBER-2 CHALAKPUR",436,362,0,798,322,295,0,617,617,0,11,346,162,80,2,2,1,0,3,5,4,1,617
91,"PRATHMIK VIDHALAYE  KAMRA NUMBER-1 SUCHELA DEVA",361,319,0,680,263,267,0,530,198,0,1,281,212,27,1,1,0,0,0,2,4,1,530
92,"PRATHMIK VIDHALAYE  MANAKPUR SADAAT",476,442,0,918,401,345,0,746,746,0,8,233,456,39,2,0,0,1,0,2,2,3,746
93,"PRATHMIK VIDHALAYE  SHIKRI KURD",808,706,0,1514,571,513,0,1084,907,0,34,142,852,42,1,0,1,0,1,6,1,4,1084
94,"PRATHMIK VIDHALAYE  SHIKRI KALA",658,621,0,1279,603,536,0,1139,1139,0,3,479,9,638,4,1,0,0,0,0,0,5,1139
95,"PRATHMIK VIDHALAYE  PATNA URF NAYABAS",861,726,0,1587,579,558,0,1137,1000,0,12,166,510,427,4,3,2,0,6,5,1,1,1137
96,"PRATHMIK VIDHALAYE  UTTRI BHAG PATNI",668,597,0,1265,532,494,0,1026,1018,0,1,47,272,682,11,2,1,0,1,3,1,5,1026
97,"PURV MADAYMIK VIDHALAYE KAMRA NUMBER-1 PATNI",576,482,0,1058,446,367,0,813,810,0,4,296,387,109,0,1,0,0,2,3,1,10,813
98,"PURV MADHYAMIK VIDHALAYE KAMRA NUMBER-2 PATNI",445,409,0,854,341,306,0,647,647,0,7,26,439,166,1,1,0,0,2,2,1,2,647
99,"PRATHMIK VIDHALAYE ORANGJABPUR",361,335,0,696,339,260,0,599,599,0,32,21,535,9,0,0,0,0,0,2,0,0,599
100,"PRATHMIK VIDHALAYE KATLA KALA",233,197,0,430,209,165,0,374,306,0,6,118,213,28,1,0,0,0,2,2,2,2,374
101,"PRATHMIK VIDHALAYE KAMRA NUMBER-1 KATLA KURD",613,562,0,1175,465,457,0,922,918,0,65,183,587,79,1,0,2,0,1,3,1,0,922
102,"PRATHMIK VIDHALAYE PASCHAME MARODGADH URF  KATLA",353,323,0,676,330,302,0,632,619,0,17,182,415,11,0,0,0,0,1,2,1,3,632
103,"PRATHMIK VIDHALAYE PURVI BHAG MANOHERPUR KAMRA NUMBER-1",692,657,0,1349,666,444,0,1110,1110,0,8,256,661,164,7,2,0,1,1,2,4,4,1110
104,"PRATHMIK VIDHALAYE PURVI BHAG MANOHERPUR KAMRA NUMBER-2",344,325,0,669,296,261,0,557,535,0,8,152,392,2,1,0,0,1,0,0,0,1,557
105,"PURV MADHYAMIK VIDHALAYE  PURVI BHAG KAMRA NUMBER-1 HARDAKHERI",447,401,0,848,374,324,0,698,535,0,7,149,358,159,4,0,2,2,4,7,0,6,698
106,"PURV MADHYAMIK VIDHALAYE  PASHACHIMI  BHAG KAMRA NUMBER-2 HARDAKHERI",558,525,0,1083,463,428,0,891,890,0,9,431,257,174,7,3,0,0,1,6,1,2,891
107,"PRATHMIK VIDHALAYE MANDORA",276,248,0,524,243,214,0,457,457,0,1,353,6,91,0,1,0,0,0,3,1,1,457
108,"PRATHMIK VIDHALAYE TELIPURA",319,271,0,590,298,246,0,544,544,0,0,278,3,263,0,0,0,0,0,0,0,0,544
109,"PRATHMIK VIDHALAYE SALUNE",443,401,0,844,343,326,0,669,668,0,40,201,11,409,2,0,1,2,0,0,1,2,669
110,"JANTA INTER COLLAGE PAHALWANPUR",405,361,0,766,338,282,0,620,25,0,1,169,19,410,7,3,4,1,0,0,1,5,620
111,"PRATHMIK VIDHALAYE BONSA",700,623,0,1323,499,490,0,989,450,6,6,300,28,626,5,3,2,0,3,3,8,5,989
112,"PRATHMIK VIDHALAYE-1  KAMRA NUMBER-1 PILKHNI",571,479,0,1050,440,355,0,795,795,0,0,321,94,357,9,0,0,1,0,6,3,4,795
113,"PRATHMIK VIDHALAYE-1  KAMRA NUMBER-2  PILKHNI",334,284,0,618,258,225,0,483,482,0,1,14,220,244,1,0,0,0,0,1,1,1,483
114,"PRATHMIK VIDHALAYE-2 KAMRA NUMBER-2  PILKHNI",542,500,1,1043,371,346,0,717,716,0,3,397,6,277,8,2,2,0,1,5,7,9,717
115,"PRATHMIK VIDHALAYE-2 KAMRA NUMBER-2  PILKHNI",488,434,0,922,373,349,0,722,719,0,9,295,252,144,4,0,1,1,2,6,1,7,722
116,"PRATHMIK VIDHALAYE  AHMEDPUR BHRAMAN",249,224,0,473,215,192,0,407,407,0,7,64,4,327,1,1,0,0,2,0,1,0,407
117,"PRATHMIK VIDHALAYE  BEEDPUR",678,650,0,1328,598,503,0,1101,1101,0,5,557,250,277,1,3,0,0,0,4,2,2,1101
118,"PRATHMIK VIDHALAYE  UTTRI BHAG MERJAPUR",220,148,0,368,181,116,0,297,263,0,3,278,3,5,0,0,0,0,0,3,2,3,297
119,"PRATHMIK VIDHALAYE  UTTRI BHAG KAMRA NUMBER- 1 CHATARSAALI",279,258,0,537,247,222,0,469,469,0,4,216,6,234,0,0,0,1,0,4,2,2,469
120,"PRATHMIK VIDHALAYE  DAKSHINI   BHAG KAMRA NUMBER-2 CHATARSAALI",477,410,0,887,363,323,0,686,686,0,3,398,216,50,2,1,0,1,1,4,5,5,686
121,"PRATHMIK VIDHALAYE  SARGHATALBALA",575,500,0,1075,506,410,0,916,916,0,3,315,361,227,3,0,0,0,1,2,0,4,916
122,"PRATHMIK VIDHALAYE  KAMRA NUMBER-1 KUMHARHERA",539,534,0,1073,376,338,0,714,709,0,6,133,519,42,1,1,1,0,3,5,0,3,714
123,"PRATHMIK VIDHALAYE  KAMRA NUMBER-2 KUMHARHERA",344,302,0,646,259,244,0,503,495,0,2,342,43,102,5,1,1,1,0,2,1,3,503
124,"PRATHMIK VIDHALAYE  KAMRA NUMBER-3 KUMHARHERA",208,197,0,405,165,160,0,325,324,0,2,201,87,32,1,0,0,1,0,1,0,0,325
125,"PRATHMIK VIDHALAYE  NAYA BHAWAN KAMRA NUMBER-1 BEDVI",464,398,0,862,382,309,0,691,491,0,0,212,59,407,3,2,0,1,0,0,2,5,691
126,"PRATHMIK VIDHALAYE  NAYA BHAWAN KAMRA NUMBER-2 BEDVI",406,366,0,772,342,313,0,655,647,0,4,380,8,247,0,0,0,0,2,4,7,3,655
127,"PURV MADHAYMIK VIDHALAYE UTTRI BHAG ALIPURA",507,399,0,906,387,326,0,713,624,0,5,417,215,64,2,0,0,0,1,5,2,2,713
128,"PRATHMIK  VIDHALAYE DAKSHNI BHAG ALIPURA",455,378,0,833,338,257,0,595,508,0,0,68,514,10,0,0,0,0,0,1,1,1,595
129,"PURV MADHAYMIK VIDHALAYE DAKSHINI BHAG ALIPURA",767,640,0,1407,629,380,0,1009,899,0,5,34,474,476,5,1,0,1,5,1,1,6,1009
130,"PRATHMIK VIDHALAYE  KAJIPURA",511,440,0,951,472,393,0,865,865,0,3,211,19,609,5,0,0,0,3,6,3,6,865
131,"PRATHMIK VIDHALAYE  SAROORPUR GHADA",527,425,0,952,414,350,0,764,604,0,0,129,454,162,6,0,1,1,5,3,0,3,764
132,"PRATHMIK VIDHALAYE  UTTRI BHAG SORANA",676,586,0,1262,548,464,0,1012,950,0,2,293,162,529,8,2,2,0,1,4,2,7,1012
133,"PRATHMIK VIDHALAYE  DAKSHINI  BHAG SORANA",646,555,0,1201,519,432,0,951,719,0,10,167,170,577,11,1,1,0,2,3,1,8,951
134,"PRATHMIK VIDHALAYE  GOVINDPUR",265,220,0,485,218,171,0,389,389,0,3,70,4,304,1,1,0,0,1,0,2,3,389
135,"PRATHMIK VIDHALAYE  BHAG-1 SARSOHERI",653,529,0,1182,446,383,0,829,4,0,1,364,10,437,5,0,1,1,5,2,1,2,829
136,"PRATHMIK VIDHALAYE  KAMRA NUMBER-1 SEDPURA",455,370,0,825,303,239,0,542,542,0,3,28,9,489,2,2,0,0,8,0,0,1,542
137,"PRATHMIK VIDHALAYE  KAMRA NUMBER-2 SEDPURA",486,369,0,855,381,337,0,718,717,0,1,174,109,410,6,10,1,0,1,3,2,1,718
138,"D.C.JAIN INTER COLLEGE UTTRI BHAG KAMRA NUMBER -4 NAGAR PALIKA PARISAD SARSAWA",769,651,0,1420,552,471,0,1023,1023,0,5,304,40,642,5,3,1,0,5,2,2,14,1023
139,"D.C.JAIN INTER COLLEGE UTTRI BHAG KAMRA NUMBER -6 NAGAR PALIKA PARISAD SARSAWA",313,274,0,587,224,209,0,433,429,0,1,97,12,313,6,1,0,0,1,0,0,2,433
140,"D.C.JAIN INTER COLLEGE UTTRI BHAG KAMRA NUMBER -5 NAGAR PALIKA PARISAD SARSAWA",588,550,0,1138,421,376,0,797,797,0,4,127,217,436,7,0,0,0,3,1,1,1,797
141,"D.C.JAIN INTER COLLEGE UTTRI BHAG KAMRA NUMBER -7 NAGAR PALIKA PARISAD SARSAWA",779,656,1,1436,503,434,0,937,929,0,8,38,23,837,11,1,2,0,11,1,4,1,937
142,"D.C.JAIN INTER COLLEGE UTTRI BHAG KAMRA NUMBER -11 NAGAR PALIKA PARISAD SARSAWA",402,365,0,767,254,232,0,486,482,0,6,19,13,442,2,0,0,0,3,0,0,1,486
143,"D.C.JAIN INTER COLLEGE UTTRI BHAG KAMRA NUMBER -1 NAGAR PALIKA PARISAD SARSAWA",487,457,1,945,345,287,0,632,500,0,5,27,44,544,5,1,0,0,5,0,0,1,632
144,"D.C.JAIN INTER COLLEGE UTTRI BHAG KAMRA NUMBER -10 NAGAR PALIKA PARISAD SARSAWA",436,401,0,837,280,264,0,544,111,0,2,36,35,465,1,0,2,0,3,0,0,0,544
145,"D.C.JAIN INTER COLLEGE UTTRI BHAG KAMRA NUMBER -8 NAGAR PALIKA PARISAD SARSAWA",609,545,0,1154,429,369,0,798,147,0,8,9,154,608,6,0,1,0,5,1,0,6,798
