"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DHARMENDRA KUMAR","2 - SALEEM IQBAL SHERVANI","3 - KUNWAR SARVRAJ SINGH","4 - SUNITA SHAKYA","5 - IRSHAD ANSARI ADVOCATE","6 - OM VEER","7 - MOHD. ZARRAR KHAN","8 - JITENDRA SINGH YADAV","9 - NARESH SINGH SOLANKI","10 - PRAMOD KUMAR YADAV","11 - YOGENDRA KUMAR VERMA","12 - CAPTAIN P.C. SHARMA","13 - ARSHADURRAZA KHAN","14 - None of the Above","Total Votes Secured"
74,"PR. SCHOOL NASRULLAPUR R.NO. 1",490,364,0,854,297,159,0,456,456,0,102,22,195,120,1,1,2,0,0,1,6,2,0,4,456
75,"PR. SCHOOL NASRULLAPUR R.NO. 2",494,355,0,849,293,168,0,461,461,0,56,14,352,32,2,0,0,0,0,0,1,0,2,2,461
76,"PR. SCHOOL DHAMEI R.NO. 1",690,560,0,1250,574,413,0,987,987,0,209,22,735,12,1,0,0,0,1,0,1,2,2,2,987
77,"PR. SCHOOL SARKI R.NO. 1",459,335,0,794,322,237,0,559,559,0,220,3,56,267,0,0,0,0,0,1,4,2,1,5,559
78,"PR. SCHOOL SARKI R.NO. 2",468,370,0,838,301,226,0,527,527,0,389,6,46,75,2,0,0,1,0,1,0,0,2,5,527
79,"PR. SCHOOL SAINJANI R.NO. 1",434,259,0,693,353,220,0,573,573,0,195,5,336,15,1,1,1,1,1,1,1,1,3,11,573
80,"PR. SCHOOL DABRAI R.NO. 1",462,376,0,838,316,272,0,588,588,0,441,0,30,111,2,0,1,0,1,1,0,0,0,1,588
81,"PR. SCHOOL SIRSA R.NO. 1",338,292,0,630,243,214,0,457,457,0,423,3,2,27,2,0,0,0,0,0,0,0,0,0,457
82,"PR. SCHOOL MUJAHIDPUR R.NO. 1",373,292,0,665,312,220,0,532,532,0,57,12,445,8,1,0,0,1,0,1,2,3,0,2,532
83,"PR. SCHOOL PALIYA MEHNDI R.NO. 1",455,343,0,798,406,255,0,661,661,0,11,20,589,14,3,0,0,0,0,1,3,6,8,6,661
84,"PR. SCHOOL FIROZPUR IKLEHRI R.NO. 1",290,221,0,511,238,150,0,388,388,0,28,19,331,2,0,0,0,2,2,0,0,1,2,1,388
85,"KUNWAR RUKUM SINGH VAIDIK INTER COLLEGE NAGLA SHARKI R.NO. 2",633,532,0,1165,371,289,0,660,660,0,457,3,45,139,0,0,2,2,1,1,4,1,0,5,660
86,"KUNWAR RUKUM SINGH VAIDIK INTER COLLEGE NAGLA SHARKI R.NO. 4",731,618,0,1349,438,322,0,760,760,0,577,9,95,63,0,0,0,1,4,0,1,2,0,8,760
87,"SHIV SHAKTI BAL NIKETAN SCHOOL BUDAUN R.NO. 1",745,669,0,1414,372,322,0,694,694,0,391,19,59,218,1,0,0,0,1,0,1,1,0,3,694
88,"SHIV SHAKTI BAL NIKETAN SCHOOL BUDAUN R.NO. 2",680,629,0,1309,335,320,0,655,655,0,279,8,46,315,1,0,0,0,3,0,1,1,0,1,655
89,"PR. SCHOOL PADAUA R.NO. 1",740,616,0,1356,545,455,0,1000,1000,0,8,0,58,922,0,0,1,0,0,1,4,2,2,2,1000
90,"66 R.D.M. JASEVA PUBLIC SCHOOL A- ADARSH NAGAR NEAR MANDI SAMITI R.NO. 1",585,467,0,1052,348,292,0,640,640,0,351,15,166,92,0,1,0,0,1,0,3,0,4,7,640
91,"66 R.D.M. JASEVA PUBLIC SCHOOL A- ADARSH NAGAR NEAR MANDI SAMITI R.NO. 2",595,492,0,1087,299,259,0,558,558,0,329,14,127,86,0,0,0,0,0,0,0,0,1,1,558
92,"PR. SCHOOL BUDHWAI R.NO. 2",574,433,0,1007,403,288,0,691,691,0,379,55,142,101,1,0,1,0,0,0,5,2,2,3,691
93,"JR. HIGH SCHOOL MALLAHPUR R.NO. 1",469,379,0,848,402,302,0,704,704,0,15,2,671,14,0,0,0,0,0,0,1,1,0,0,704
94,"JR. HIGH SCHOOL KARAULIYA R.NO. 1",619,514,0,1133,503,463,0,966,966,0,99,1,580,271,1,1,0,0,5,0,1,5,0,2,966
95,"PR. SCHOOL KATHRA KHAGEI R.NO. 1",590,479,0,1069,380,303,0,683,683,0,207,1,155,295,6,2,0,0,0,0,6,1,2,8,683
96,"JR. SCHOOL MACHLAI R.NO. R.NO. 1",604,484,0,1088,258,178,0,436,436,0,63,114,165,69,11,0,0,0,0,0,1,1,1,11,436
97,"JR. SCHOOL MACHLAI R.NO. R.NO. 2",588,483,0,1071,307,228,0,535,535,0,124,44,140,219,2,1,1,2,0,0,1,0,0,1,535
98,"RASTRIYA INTER COLLEGE GULARIYA R.NO. 1",692,585,0,1277,450,317,0,767,767,0,420,68,90,161,1,0,2,0,5,0,9,1,5,5,767
99,"RASTRIYA. INTER COLLEGE GULARIYA R.NO. 2",680,564,0,1244,437,344,0,781,781,0,552,46,130,26,0,0,2,1,0,1,2,2,5,14,781
100,"RASTRIYA INTER COLLEGE GULARIYA R.NO. 3",768,597,0,1365,499,346,0,845,845,0,639,29,76,86,1,1,0,1,2,0,0,1,2,7,845
101,"PR. SCHOOL GIDHAUL R.NO. 1",815,637,0,1452,564,332,0,896,896,0,320,15,234,303,1,0,2,2,1,1,5,1,2,9,896
102,"JR. SCHOOL GIDHAUL R.NO. 1",397,338,0,735,236,182,0,418,418,0,299,10,55,35,1,1,0,0,1,0,2,4,3,7,418
103,"PR. SCHOOL PUNAU M. GIDHAUL R.NO. 1",324,238,0,562,257,149,0,406,406,0,17,2,362,5,0,1,0,0,0,0,2,3,2,12,406
104,"PR. SCHOOL BADA PARSURA MAJRA GIDHAUL R.NO. 1",620,487,0,1107,420,248,0,668,668,0,317,6,134,187,3,1,1,0,1,0,4,1,4,9,668
105,"PR. SCHOOL KAMALPUR R.NO. 1",267,200,0,467,247,177,0,424,424,0,39,0,312,64,2,0,0,0,3,0,0,1,0,3,424
106,"PR. SCHOOL MAHORA R.NO. 1",648,451,0,1099,432,251,0,683,683,0,163,6,244,254,2,1,1,0,0,0,5,4,2,1,683
107,"PR. SCHOOL ROOPPUR R.NO. 1",526,387,0,913,280,199,0,479,479,0,115,15,163,162,1,2,0,0,1,0,3,2,8,7,479
108,"PR. SCHOOL SALEMPUR R.NO. 1",511,372,0,883,350,229,0,579,579,0,419,10,91,34,2,1,0,1,0,2,6,2,2,9,579
109,"PR. SCHOOL VAMNI R.NO. 1",305,260,0,565,264,218,0,482,482,0,435,2,40,1,0,0,0,1,0,1,0,1,0,1,482
110,"PR. SCHOOL GURGAON R.NO. 1",775,598,0,1373,484,324,0,808,808,0,235,9,319,204,2,2,1,0,1,2,8,8,6,11,808
111,"PR. SCHOOL GURGAON R.NO. 2",505,383,0,888,288,236,0,524,524,0,237,5,27,233,1,0,0,0,0,0,4,1,4,12,524
112,"PR. SCHOOL ALIPURA MAJRA GURGAON R.NO. 1",249,206,0,455,142,125,0,267,267,0,110,2,73,78,1,0,0,0,0,0,1,0,0,2,267
113,"PR. SCHOOL SUNDAR NAGAR NO. 1",317,226,0,543,183,135,0,318,318,0,165,15,48,81,0,0,0,0,0,2,2,1,0,4,318
114,"PR. SCHOOL DARA NAGAR R.NO. 1",563,484,0,1047,306,211,0,517,517,0,349,11,34,106,0,1,1,0,1,0,5,1,0,8,517
115,"PR. SCHOOL NEW BUILDING KHIRIYA REHLU R.NO. 1",545,435,0,980,320,253,0,573,573,0,119,83,129,235,3,0,0,1,0,0,1,1,1,0,573
116,"PR. SCHOOL NEW BUILDING KHIRIYA REHLU R.NO. 2",576,418,0,994,335,254,0,589,589,0,283,19,58,216,3,0,0,0,0,2,1,2,4,1,589
117,"PR. SCHOOL NAITHU NO. 1",558,369,0,927,322,231,0,553,553,0,68,177,96,201,1,0,1,0,1,1,1,0,1,5,553
118,"PR. SCHOOL NAITHU NO. 2",489,471,0,960,325,302,0,627,627,0,62,44,49,450,4,2,1,1,1,1,3,2,3,4,627
119,"PR. SCHOOL BIBIPUR R.NO. 1",682,567,0,1249,518,321,0,839,839,0,200,16,570,40,0,0,0,0,5,0,1,1,1,5,839
120,"PR. SCHOOL FATEHPUR R.NO. 1",451,338,0,789,302,215,0,517,517,0,200,4,56,240,1,1,0,0,0,0,4,2,2,7,517
121,"PR. SCHOOL PACHTAUR R.NO. 1",375,280,0,655,302,210,0,512,512,0,72,2,398,38,0,0,0,0,0,0,1,1,0,0,512
122,"PR. SCHOOL HARNATHPUR URF TALGAON R.NO. 1",711,628,0,1339,338,288,0,626,626,0,36,32,288,258,1,2,1,1,0,2,2,3,0,0,626
123,"PR. SCHOOL UNAULA R.NO. 1",315,259,0,574,193,157,0,350,350,0,33,3,54,247,1,0,0,0,0,0,7,1,3,1,350
124,"PR. SCHOOL UNAULA R.NO. 2",681,529,0,1210,483,300,0,783,783,0,400,16,317,35,0,0,1,1,0,0,2,3,3,5,783
125,"PR. SCHOOL BUCHA NAGLA R.NO. 1",260,218,0,478,235,181,0,416,416,0,28,2,348,38,0,0,0,0,0,0,0,0,0,0,416
126,"PR. SCHOOL JAKHELI R.NO. 1",748,694,0,1442,533,359,0,892,892,0,405,25,110,322,2,2,3,0,0,3,3,2,2,13,892
127,"PR. SCHOOL ISLAMGANJ R.NO. 1",629,506,0,1135,436,315,0,751,751,0,319,27,197,195,4,1,0,1,0,0,1,0,1,5,751
128,"PR. SCHOOL KHARKHOLI KHURD R.NO. 1",480,432,0,912,293,275,0,568,568,0,45,12,21,466,5,0,0,2,1,1,6,2,1,6,568
129,"PR. SCHOOL HAYAT NAGAR R.NO. 1",145,104,0,249,111,94,0,205,205,0,3,0,19,181,1,0,0,0,0,1,0,0,0,0,205
130,"PR. SCHOOL JAGAT NORTH PART R.NO. 1",767,585,0,1352,385,311,0,696,696,0,230,115,53,270,7,0,0,0,0,1,3,4,4,9,696
131,"PR. SCHOOL JAGAT NORTH PART R.NO. 2",488,378,0,866,303,218,0,521,521,0,295,42,87,76,1,0,0,0,2,1,2,3,6,6,521
132,"PR. SCHOOL JAGAT WEST PART R.NO. 3",453,358,0,811,190,168,0,358,358,0,204,59,54,34,0,0,0,0,0,1,0,0,3,3,358
133,"JR. HIGH SCHOOL JAGAT R.NO. 1",792,606,0,1398,416,325,0,741,741,0,318,102,64,228,3,4,1,1,1,2,4,1,3,9,741
134,"JR. HIGH SCHOOL JAGAT R.NO. 2",494,363,0,857,178,174,0,352,352,0,24,234,35,44,1,0,2,0,0,1,2,2,4,3,352
135,"PR. SCHOOL BEHTA EMAN R.NO. 1",335,235,0,570,246,144,0,390,390,0,223,15,83,60,1,1,1,0,0,0,1,1,0,4,390
136,"PR. SCHOOL ISAPUR R.NO. 1",302,209,0,511,204,95,0,299,299,0,88,5,149,53,0,0,1,0,1,0,0,0,0,2,299
137,"PR. SCHOOL KUNDELI R.NO. 1",668,447,0,1115,449,224,0,673,673,0,151,4,318,180,1,0,0,0,0,1,6,1,2,9,673
138,"PR. SCHOOL PATSA R.NO. 1",586,415,0,1001,359,250,0,609,609,0,288,8,35,244,2,0,1,0,0,0,5,5,3,18,609
139,"PR. SCHOOL PATSA R.NO. 2",346,264,0,610,215,138,0,353,353,0,112,8,131,95,1,0,2,0,0,0,1,2,0,1,353
140,"PR. SCHOOL DALWA SHAHEEDA R.NO. 1",185,136,0,321,98,83,0,181,181,0,83,4,49,37,0,0,0,1,0,0,1,2,0,4,181
141,"PR. SCHOOL DALWA SHAHEEDA R.NO. 1 EAST PART",538,410,1,949,237,246,0,483,483,0,15,281,83,85,1,0,2,0,0,1,3,3,5,4,483
142,"JR. HIGH SCHOOL BHASRARA R.NO. 2 EAST PART",463,334,0,797,166,166,0,332,332,0,19,192,76,37,0,0,0,0,1,0,0,2,1,4,332
143,"JR. HIGH SCHOOL BHASRARA R.NO. 1 WEST PART",823,695,0,1518,316,357,0,673,673,0,44,375,182,53,0,0,2,4,1,1,2,2,5,2,673
144,"PR. SCHOOL KUPRI R.NO. 1",443,299,0,742,278,185,0,463,463,0,288,6,112,37,1,2,2,1,0,0,2,0,2,10,463
145,"PR. SCHOOL GUDHNI R.NO. 1",241,210,0,451,207,166,0,373,373,0,190,3,172,4,0,0,0,0,0,0,0,1,1,2,373
146,"PR. SCHOOL SAKHANU R.NO. 1",814,636,1,1451,502,400,0,902,902,0,497,28,96,253,6,2,1,0,0,1,3,1,3,11,902
147,"PR. SCHOOL SAKHANU R.NO. 2",712,548,1,1261,370,265,0,635,635,0,47,133,272,179,1,1,0,0,1,0,0,0,0,1,635
148,"PR. SCHOOL SAKHANU R.NO. 3",527,444,0,971,236,192,0,428,428,0,43,120,174,70,1,2,0,0,1,2,3,2,2,8,428
149,"PR. SCHOOL SAKHANU R.NO. 4",476,373,0,849,171,128,0,299,299,0,18,65,137,68,0,1,1,0,1,0,2,1,1,4,299
150,"GIRLS JR. HIGH SCHOOL SAKHANU R.NO. 1",520,373,0,893,267,193,0,460,460,0,88,50,97,207,0,2,1,0,2,0,4,0,3,6,460
151,"GIRLS JR. HIGH SCHOOL SAKHANU R.NO. 2",462,361,0,823,210,174,0,384,384,0,47,102,89,133,1,0,0,1,1,1,2,2,1,4,384
152,"NAGAR PANCHAYAT OFFICE SAKHANU",730,602,0,1332,390,312,0,702,702,0,20,80,409,176,0,1,1,0,1,0,3,0,1,10,702
153,"PR. SCHOOL NEW CONTSTUCTED BUILDING HASANPUR HURIYAI R.NO. 1",453,333,0,786,295,190,0,485,485,0,85,3,270,113,1,0,0,0,2,0,2,2,1,6,485
154,"PR. SCHOOL AASPUR R.NO. 1",254,230,0,484,144,139,0,283,283,0,8,73,150,48,0,0,0,0,2,0,0,1,0,1,283
155,"PR. SCHOOL IKRI R.NO. 1",1014,767,0,1781,455,359,0,814,814,0,102,261,276,140,2,2,5,2,2,0,7,4,5,6,814
156,"PR. SCHOOL VASIYANI R.NO. 1",708,458,0,1166,472,255,0,727,727,0,69,51,505,83,1,0,1,2,1,1,4,1,3,5,727
157,"PR. SCHOOL KHARKHOLI BUJURG R.NO. 1",283,259,0,542,184,160,0,344,344,0,204,4,70,58,1,0,0,0,1,0,3,0,1,2,344
158,"PR. SCHOOL KUNDAN NAGLA R.NO. 1",193,157,0,350,170,123,0,293,293,0,39,3,244,4,0,0,1,0,1,0,0,1,0,0,293
159,"PR. SCHOOL GABHIYAI R.NO. 1",855,762,0,1617,372,357,0,729,729,0,16,244,113,324,3,0,2,0,2,1,9,3,4,8,729
160,"PR. SCHOOL NAGLA MAJRA GABHIYAI R.NO. 1",574,444,0,1018,463,348,0,811,811,0,436,12,312,27,1,0,0,0,0,0,2,5,1,15,811
161,"PR. SCHOOL KUTRAI R.NO. 1",782,562,0,1344,339,317,0,656,656,0,59,83,307,187,5,0,1,0,0,0,5,3,0,6,656
