"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - IMRAN MASOOD","2 - JAGDISH SINGH RANA","3 - RAGHAV LAKHANPAL","4 - SHAZAN MASOOD URF SHADAN MASOOD","5 - YOGESH KUMAR","6 - RATAN SINGH","7 - RAJENDER KUMAR","8 - SHAHANAVAJ","9 - SHIV KUMAR","10 - MOHD. FIROZ AFTAB","11 - RAGHUVEER SINGH BODH","12 - CP VERMA","13 - SESHRAJ","14 - HANSRAJ SAINI","15 - None of the Above","Total Votes Secured"
32,"POORV MADHYMIK VIDYALYA ROOM NUMBER-2, PANIYALI KASIMPUR",650,571,0,1221,489,392,0,881,881,0,61,29,741,27,0,0,1,1,5,0,3,1,9,1,2,881
33,"PRATHMIK VIDYALYA ROOM NUMBER-1, BHIKKANPUR",238,219,0,457,180,159,0,339,339,0,1,115,214,1,1,0,0,0,0,0,0,1,3,2,1,339
34,"PRATHMIK VIDYALYA ROOM NUMBER-1, MAYAHEDI",250,219,0,469,197,176,0,373,358,0,3,170,124,65,0,0,1,0,0,1,4,2,2,0,1,373
35,"PRATHMIK VIDYALYA ROOM NUMBER-1, PAHUPUR",206,187,0,393,178,167,0,345,345,0,12,60,263,5,0,0,0,0,0,0,0,1,2,1,1,345
36,"PRATHMIK VIDYALYA UTTAR BHAG ROOM NUMBER-1, BHATAUL",749,582,0,1331,594,382,0,976,752,0,113,310,470,53,1,1,0,0,2,1,3,2,5,5,10,976
37,"PRATHMIK VIDYALYA UTTAR BHAG ROOM NUMBER-2, BHATAUL",269,214,0,483,211,145,0,356,86,0,61,8,249,29,3,0,0,0,0,0,0,0,3,1,2,356
38,"PRATHMIK VIDYALYA UTTAR BHAG ROOM NUMBER-1, TAIYABPUR BADA",638,566,0,1204,489,413,0,902,900,0,245,503,119,15,0,0,0,0,2,0,2,1,1,5,9,902
39,"PRATHMIK VIDYALYA UTTAR BHAG ROOM NUMBER-2, TAIYABPUR BADA",534,448,0,982,422,352,0,774,774,0,164,28,516,51,0,0,0,1,6,1,1,0,1,1,4,774
40,"PRATHMIK VIDYALYA ROOM NUMBER-1, JATAUL",500,461,0,961,424,365,0,789,675,0,206,35,468,54,1,1,2,1,0,0,3,5,9,1,3,789
41,"PRATHMIK VIDYALYA UTTAR BHAG ROOM NUMBER-1, CHAUNDAHEDI",636,506,0,1142,449,373,0,822,822,0,204,119,460,27,1,0,1,2,2,0,0,1,1,2,2,822
42,"PRATHMIK VIDYALYA UTTAR BHAG ROOM NUMBER-2, CHAUNDAHEDI",549,463,0,1012,428,311,0,739,739,0,46,210,436,28,2,0,0,0,0,0,1,5,1,7,3,739
43,"SARVODYA INTER COLLEGE ROOM NUMBER-1, MANJHOL JABARDASTPUR",449,415,0,864,325,286,0,611,611,0,124,12,291,169,2,0,0,0,1,0,2,0,4,1,5,611
44,"SARVODYA INTER COLLEGE ROOM NUMBER-2, MANJHOL JABARDASTPUR",386,325,0,711,251,190,0,441,441,0,18,2,326,88,1,0,0,0,2,1,0,0,1,0,2,441
45,"SARVODYA INTER COLLEGE ROOM NUMBER-3, MANJHOL JABARDASTPUR",492,378,0,870,328,248,0,576,576,0,6,10,489,60,2,0,0,0,2,0,0,0,6,1,0,576
46,"SARVODYA INTER COLLEGE ROOM NUMBER-4, MANJHOL JABARDASTPUR",484,387,0,871,341,300,0,641,641,0,4,590,30,0,0,0,0,0,0,0,0,1,0,12,4,641
47,"PRATHMIK VIDYALYA UTTAR BHAG ROOM NUMBER-1, KAPOORI GOVINDPUR",399,330,0,729,290,246,0,536,534,0,2,399,93,23,1,3,1,0,1,0,1,1,1,7,3,536
48,"PRATHMIK VIDYALYA DAXIN BHAG ROOM NUMBER-2, KAPOORI GOVINDPUR",636,554,0,1190,477,393,0,870,870,0,128,121,323,281,0,0,0,1,0,1,1,3,4,3,4,870
49,"PRATHMIK VIDYALYA ROOM NUMBER-1, MAYAPUR FUGANA",322,253,0,575,279,218,0,497,497,0,27,96,348,17,0,1,0,0,1,0,0,2,4,1,0,497
50,"PRATHMIK VIDYALYA ROOM NUMBER-1, JAGDAI",435,359,0,794,301,249,0,550,550,0,49,139,179,151,6,0,0,0,5,1,0,5,5,5,5,550
51,"PRATHMIK VIDYALYA ROOM NUMBER-1, DHARAMPUR GURJAR",150,124,0,274,139,114,0,253,253,0,3,3,245,2,0,0,0,0,0,0,0,0,0,0,0,253
52,"PRATHMIK VIDYALYA ROOM NUMBER-1, GANJHEDI",709,639,0,1348,523,477,0,1000,942,0,666,25,210,78,1,0,0,1,0,0,0,5,2,2,10,1000
53,"PRATHMIK VIDYALYA ROOM NUMBER-1, GANGDASPUR",728,640,0,1368,610,462,0,1072,1034,0,13,589,437,4,12,3,0,0,0,2,0,1,4,6,1,1072
54,"PRATHMIK VIDYALYA ROOM NUMBER-1, KAURVA",355,299,0,654,344,271,0,615,615,0,5,72,524,14,0,0,0,0,0,0,0,0,0,0,0,615
55,"PRATHMIK VIDYALYA ROOM NUMBER-1, ABDULLAPUR",370,321,0,691,272,241,0,513,445,0,30,85,283,101,5,1,0,0,2,0,0,0,2,1,3,513
56,"PRATHMIK VIDYALYA ROOM NUMBER-1, ALIPURA",178,156,0,334,162,124,0,286,286,0,7,62,203,4,0,0,0,0,0,0,1,2,4,0,3,286
57,"PRATHMIK VIDYALYA ROOM NUMBER-1, FARIDPUR",247,188,0,435,209,153,0,362,158,0,2,130,214,9,1,1,0,0,1,0,0,0,1,1,2,362
58,"PRATHMIK VIDYALYA ROOM NUMBER-1, ISMAILPUR GURJAR",631,494,0,1125,526,411,0,937,934,0,14,384,523,1,0,1,0,0,1,1,0,0,6,5,1,937
59,"POORV MADHYMIK VIDYALYA MADHEY BHAG ROOM NUMBER-3, TALHERI BUZURG",765,580,0,1345,538,418,0,956,309,0,538,6,132,259,2,1,1,0,5,1,0,0,0,4,7,956
60,"POORV MADHYMIK VIDYALYA NAYA BHAWAN ROOM NUMBER-4, TALHERI BUZURG",567,470,0,1037,388,341,0,729,729,0,272,4,311,129,1,0,1,0,0,1,1,1,2,2,4,729
61,"POORV MADHYMIK VIDYALYA MADHEY BHAG ROOM NUMBER-5, TALHERI BUZURG",754,561,0,1315,564,424,0,988,988,0,499,15,379,67,4,0,0,1,3,3,1,1,4,2,9,988
62,"POORV MADHYMIK VIDYALYA PASHCHIM BHAG ROOM NUMBER-1, TALHERI BUZURG",787,601,0,1388,537,397,0,934,552,0,410,3,472,35,0,0,0,0,4,0,2,2,0,0,6,934
63,"POORV MADHYMIK VIDYALYA PASHCHIM BHAG ROOM NUMBER-2, TALHERI BUZURG",835,647,0,1482,602,492,0,1094,1094,0,84,754,203,25,0,1,0,0,1,2,2,2,9,9,2,1094
64,"PRATHMIK VIDYALYA UTTAR BHAG ROOM NUMBER-1, BHAWANPUR",581,465,1,1047,448,366,0,814,814,0,19,441,279,57,1,0,0,1,4,0,1,0,2,5,4,814
65,"PRATHMIK VIDYALYA ROOM NUMBER-1, SALOONI",461,367,0,828,372,301,0,673,272,0,10,415,226,7,0,7,0,0,1,0,0,2,2,0,3,673
66,"POORV MADHYMIK VIDYALYA ROOM NUMBER-1, BANHEDA KHAS",705,613,0,1318,540,425,0,965,964,0,622,93,98,141,1,1,0,0,0,0,0,0,2,1,6,965
67,"POORV MADHYMIK VIDYALYA ROOM NUMBER-2, BANHEDA KHAS",552,419,1,972,458,330,0,788,788,0,602,12,149,20,1,0,0,0,1,0,0,1,1,0,1,788
68,"PRATHMIK VIDYALYA ROOM NUMBER-1, BANHEDA KHAS",795,643,0,1438,625,547,0,1172,1172,0,1000,9,90,53,2,0,1,0,6,0,1,1,1,1,7,1172
