"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - REKHA","2 - ANAND BHADAURIYA","3 - AJAY VERMA","4 - ANAND KUMAR","5 - KIRTI SINGH","6 - SWAMI DAYAL","7 - DAUD AHMAD","8 - KUWAR JITIN PRASAD","9 - LEKHRAJ","12 - RAM BALI","13 - RAJENDRA KUMAR SINGH","14 - SUKHVINDRA SINGH","15 - VIVEK MISHRA","16 - VIJAY KUMAR TIWARI","17 - MALA DEVI","18 - None of the Above","Total Votes Secured"
40,AKATHI,386,351,0,737,283,180,0,463,463,0,175,163,3,10,3,1,51,18,16,1,0,1,5,6,0,10,463
41,TEKIKUNDA,431,385,0,816,374,301,0,675,675,0,181,149,9,3,2,1,10,287,9,1,0,3,4,9,1,6,675
42,"TEJANPURWA H/0 TAKIKUNDA",368,320,0,688,301,255,0,556,556,0,24,66,1,6,3,0,98,349,0,0,4,0,0,4,0,1,556
43,"PRATAPPUR H/0 JANGALMATERA",550,412,0,962,295,153,0,448,448,0,49,190,4,12,0,3,17,146,6,2,0,1,2,4,0,12,448
44,"PRATAPPUR H/0 JANGALMATERA",526,408,0,934,280,208,0,488,480,0,145,58,4,3,4,2,17,227,7,0,2,4,1,5,1,8,488
45,"PRATAPPUR H/0 JANGALMATERA",526,404,0,930,343,240,0,583,583,0,67,145,2,23,3,1,58,267,7,0,1,3,0,1,1,4,583
46,"PRATAPPUR H/0 JANGALMATERA",565,345,0,910,270,132,0,402,401,0,36,98,0,11,1,2,89,129,2,2,2,4,3,5,1,17,402
47,"HAUKNA H/0 MATERA",439,385,0,824,313,242,0,555,555,0,111,135,2,15,5,3,218,41,5,3,0,4,3,2,3,5,555
48,"HAUKNA H/0 MATERA",498,458,0,956,369,352,0,721,720,0,148,57,4,9,2,2,436,35,2,3,2,6,2,1,4,8,721
49,"RANIPURWA H/0 MATERA",281,277,0,558,201,190,0,391,391,0,176,122,5,16,1,5,18,18,22,1,1,1,2,0,1,2,391
50,"BHATPURWA KALAN",818,690,0,1508,534,336,0,870,867,0,285,263,4,15,4,2,119,154,10,5,1,1,3,1,2,1,870
51,"BHATPURWA KALAN",314,259,0,573,193,100,0,293,293,0,51,117,0,2,2,2,97,11,3,1,2,1,1,0,1,2,293
52,"DHARIDAS PURWA H/0 BINJAHA",333,274,0,607,275,220,0,495,495,0,14,25,1,3,1,1,431,8,1,0,1,4,1,0,1,3,495
53,"RAMNAGAR LAHBADI",632,489,0,1121,454,328,0,782,782,0,192,81,11,2,1,2,179,278,11,2,7,1,7,1,1,6,782
54,"RAMNAGAR LAHBADI",631,460,0,1091,427,273,0,700,700,0,6,222,4,14,1,0,108,342,0,0,0,0,0,2,1,0,700
55,"RAMNAGAR LAHBADI",681,548,0,1229,330,443,0,773,773,0,16,334,2,24,0,2,229,142,3,1,3,2,4,1,1,9,773
56,"LALJIPURWA H/0 AMETHI",361,304,1,666,274,215,1,490,490,0,60,87,0,8,4,0,163,149,3,4,1,2,4,2,1,2,490
57,"LALJIPURWA H/0 AMETHI",452,404,0,856,341,242,0,583,583,0,203,66,13,7,3,1,82,170,6,3,3,5,5,2,1,13,583
58,"BHAKURAHIYA H/0 AMETHI",351,276,0,627,313,172,0,485,485,0,25,190,5,19,1,2,214,9,2,0,2,2,1,6,0,7,485
59,"BEHANANPURWA H/0 AMETHI",600,538,0,1138,435,385,0,820,820,0,39,296,8,27,4,0,310,117,2,0,2,5,3,3,4,0,820
60,"TAPARPURWA H/0 AMETHI",325,315,0,640,258,226,0,484,484,0,158,146,4,4,1,0,9,140,6,4,1,3,1,3,0,4,484
61,"MAHADEV H/0 AMETHI",436,380,0,816,361,331,0,692,627,0,159,245,1,20,3,0,30,220,6,0,4,0,1,0,3,0,692
62,AMETHI,472,410,0,882,384,310,0,694,694,0,157,182,5,8,1,0,147,163,5,2,2,7,5,4,2,4,694
63,AMETHI,412,393,0,805,304,229,0,533,531,0,186,149,6,2,1,0,57,119,6,0,1,2,2,2,0,0,533
64,"MUDI H/0 GURGUTTABUJURG",562,440,0,1002,435,256,0,691,689,0,142,205,7,13,1,2,127,161,9,0,1,5,3,6,4,5,691
65,GURGUTTABUJURG,583,472,0,1055,401,230,0,631,631,0,93,180,8,9,0,5,106,196,11,5,1,1,2,6,4,4,631
66,GURGUTTABUJURG,222,188,0,410,178,141,0,319,318,0,109,132,4,4,1,0,27,31,2,0,2,0,2,1,2,2,319
67,"LOHARIPUR H/0 GURGUTTABUJARG",442,375,0,817,317,253,0,570,570,0,87,172,0,10,1,3,237,32,8,1,1,2,4,3,1,8,570
68,"TULASIRAMPURWA H/0 DIHUAA KALAN",362,300,0,662,314,233,0,547,543,0,110,191,3,7,0,3,90,127,3,2,1,3,1,1,0,5,547
69,"DIHUAA KALAN",461,434,0,895,351,297,0,648,648,0,178,86,7,15,5,3,75,243,11,3,2,6,5,1,2,6,648
70,"DIHUAA KALAN",447,402,1,850,329,241,0,570,569,0,209,34,6,1,0,4,188,100,9,3,0,0,4,2,0,10,570
71,"BAJAHA H/0 SANKALPA",701,591,0,1292,525,335,0,860,856,0,422,147,5,12,7,4,159,72,12,2,4,3,5,2,2,2,860
72,"PRATAPI BEHAD H/0 SANKALPA",655,553,0,1208,482,262,0,744,743,0,84,291,2,10,2,1,241,99,3,1,0,3,2,2,1,2,744
73,"PRATAPI BEHAD H/0 SANKALPA",274,224,0,498,159,53,0,212,212,0,14,51,1,4,0,2,106,29,0,0,0,0,2,0,0,3,212
74,"SAINIPURWA H/0 BHUDA",522,406,0,928,386,230,0,616,616,0,141,135,8,8,3,4,77,214,5,2,2,2,2,4,3,6,616
75,"BHARATPUR H/0 BHUDA",535,415,0,950,382,251,0,633,633,0,234,95,4,8,3,2,67,196,7,0,1,3,4,1,1,7,633
76,"PAHADIYAPUR H/0 JANGALWALI",576,460,0,1036,413,253,0,666,665,0,129,243,3,17,3,0,191,55,10,1,0,3,1,1,2,7,666
77,"PAHADIYAPUR H/0 JANGALWALI",453,406,0,859,334,258,0,592,592,0,81,106,3,5,1,0,353,18,7,1,0,2,4,1,1,9,592
78,"NEWAJIPURWA H/0 SAMARDABADAL",624,580,0,1204,427,283,0,710,700,0,180,192,6,4,3,6,234,58,5,1,1,5,2,4,2,7,710
79,VALI,530,445,0,975,427,360,0,787,787,0,136,379,1,15,3,2,142,83,6,1,1,1,7,2,2,6,787
80,"HARIRAMPURWA H/0 VALI",271,222,0,493,234,178,0,412,412,0,69,188,1,14,1,3,106,15,2,2,0,3,2,2,0,4,412
81,RAIPUR,311,275,0,586,265,227,0,492,492,0,86,126,4,6,0,1,117,138,4,0,1,1,1,3,1,3,492
82,"MADHAUPURWA H/0 RAIPUR",254,218,0,472,199,165,0,364,350,0,82,182,1,5,0,1,73,14,2,0,1,0,0,1,0,2,364
83,SHAHPUR,445,378,0,823,364,280,0,644,642,0,172,187,9,16,1,2,104,136,6,4,0,1,2,1,1,2,644
84,KARAUNHA,678,619,0,1297,556,407,0,963,958,0,355,271,7,17,0,4,192,81,8,5,2,3,2,2,3,11,963
85,BASANTAPUR,790,669,0,1459,674,478,0,1152,1151,0,346,245,7,18,3,3,392,105,7,4,1,4,3,5,2,7,1152
86,KHARVAHIYA,472,430,0,902,375,276,0,651,651,0,448,50,2,4,4,2,63,49,8,3,1,4,6,2,3,2,651
87,KHARVAHIYA,368,332,0,700,260,178,0,438,434,0,150,85,2,10,0,2,118,51,9,0,1,3,1,1,1,4,438
88,"PACHAGHARA H/0 KHARVAHIYA",666,525,0,1191,545,330,0,875,869,0,422,151,13,16,5,1,127,115,5,0,2,1,4,4,6,3,875
89,"BELVA H/0 KHARVAHIYA",842,684,0,1526,630,378,0,1008,1006,0,660,27,10,3,4,3,199,47,25,1,1,2,14,2,0,10,1008
90,"BHAUVVAPUR KALAN",320,274,0,594,259,205,0,464,464,0,264,19,4,2,1,0,145,8,6,0,1,3,5,1,1,4,464
91,"BHAUVVAPUR  KHURD",356,305,0,661,275,193,0,468,468,0,128,44,20,3,2,1,115,132,6,1,1,7,4,0,0,4,468
92,CHAHAMALPUR,538,454,1,993,460,330,0,790,790,0,156,512,5,6,1,4,40,39,9,2,2,4,1,1,1,7,790
93,KHAGIYAPUR,327,313,0,640,288,228,0,516,500,0,280,144,7,12,1,3,24,14,15,2,1,0,6,3,4,0,516
94,CHIKANAJATI,609,503,0,1112,458,344,0,802,802,0,252,35,1,5,3,3,301,171,6,6,0,4,4,1,6,4,802
95,HARDI,584,523,0,1107,407,271,0,678,640,0,202,228,2,11,11,1,130,54,16,5,0,6,2,4,1,5,678
96,HARDI,648,552,0,1200,351,185,0,536,530,0,144,155,8,4,4,1,126,80,6,0,1,3,1,1,0,2,536
97,GUDARIYA,683,619,0,1302,439,383,0,822,822,0,342,181,9,21,1,2,194,60,3,0,1,2,3,1,2,0,822
98,GUDARIYA,779,673,0,1452,566,386,0,952,942,0,462,107,13,5,4,0,210,111,15,5,1,5,4,1,2,7,952
99,GUDARIYA,383,308,0,691,268,166,0,434,431,0,174,140,5,3,2,2,34,57,7,1,0,1,2,1,0,5,434
100,"RAMBATTI H/0 DHAURAHRA DEHAT",519,452,0,971,271,199,0,470,468,0,121,150,8,2,2,3,53,121,4,0,1,0,0,0,3,2,470
101,"RAMBATTI H/0 DHAURAHRA DEHAT",503,347,0,850,239,149,0,388,388,0,65,148,2,15,1,1,53,98,1,0,0,1,0,0,0,3,388
102,"RAMBATTI H/0 DHAURAHRA DEHAT",812,668,0,1480,467,316,0,783,780,0,210,269,4,26,3,4,170,71,5,1,2,4,2,1,4,7,783
103,"JUGUNUPUR H/0 DHAURAHRA DEHAT",511,420,0,931,373,178,0,551,551,0,214,102,6,7,1,0,60,148,7,1,1,0,0,1,0,3,551
104,"JUGUNUPUR H/0 DHAURAHRA DEHAT",464,405,0,869,291,217,0,508,505,0,169,115,7,7,5,3,77,83,12,2,1,4,5,3,0,15,508
105,HARSINGHPUR,496,405,0,901,403,241,0,644,644,0,225,174,8,8,2,3,79,125,4,1,1,3,2,3,0,6,644
106,"MANGARAULI H/0 SUJAIKUNDA",592,468,0,1060,469,299,0,768,768,0,177,261,2,24,2,1,199,73,6,4,1,1,2,2,3,10,768
107,"PANDITPURWA H/0 SUJAIKUNDA",438,353,0,791,312,144,0,456,456,0,144,165,4,12,2,7,81,15,8,3,0,2,1,1,3,8,456
108,"PANDITPURWA H/0 SUJAIKUNDA",428,349,0,777,234,92,0,326,326,0,118,120,1,4,1,1,45,19,7,1,0,0,2,2,1,4,326
109,"KATAILAPURWA FIRST H/0 DEVIPURWA",603,498,0,1101,348,303,0,651,648,0,231,206,9,14,5,2,26,128,16,2,3,2,1,1,1,4,651
110,DEVIPURWA,690,524,0,1214,410,159,0,569,569,0,164,126,6,5,8,1,75,167,10,0,0,3,0,1,2,1,569
111,DEVIPURWA,580,468,0,1048,370,193,0,563,560,0,146,179,3,12,4,3,66,121,7,1,1,1,4,0,4,11,563
112,DEVIPURWA,538,469,0,1007,349,132,0,481,481,0,105,84,2,4,0,2,32,203,30,2,0,5,3,2,2,5,481
113,DEVIPURWA,689,608,0,1297,519,347,0,866,400,0,576,25,9,1,2,3,49,127,42,1,2,4,8,3,3,11,866
114,"NARAYANPURWA H/0 PARSA",700,561,0,1261,546,380,0,926,926,0,65,315,5,25,4,3,206,269,7,5,2,2,2,5,2,9,926
115,"SONELALPURWA H/0 PARSA",414,326,0,740,241,175,0,416,416,0,66,78,5,3,1,0,124,107,6,5,1,4,3,3,4,6,416
116,CHAKLAKHIPUR,649,578,0,1227,480,396,0,876,876,0,276,78,6,7,4,1,325,142,10,1,2,9,3,2,2,8,876
117,"DHAKHINIYA H/0 RAMLOK",574,476,0,1050,379,336,0,715,715,0,262,130,5,2,1,0,76,222,5,1,1,3,2,2,1,2,715
118,"DHAKHINIYA H/0 RAMLOK",180,138,0,318,144,73,0,217,217,0,37,85,0,10,0,1,40,26,9,3,0,0,1,1,1,3,217
119,"BELAHAR H/0 RAMLOK",414,282,0,696,326,168,0,494,478,0,43,274,4,26,3,2,11,111,10,1,0,1,1,1,1,5,494
120,"AWASTHIPURWA H/0 RAMLOK",462,382,0,844,360,240,0,600,600,0,218,158,4,13,3,2,13,146,13,2,0,6,5,5,1,11,600
121,"AWASTHIPURWA H/0 RAMLOK",461,393,0,854,283,216,0,499,499,0,254,83,3,8,0,4,7,119,4,1,1,3,5,3,1,3,499
122,RAMLOK,432,369,0,801,367,264,0,631,624,0,82,365,3,15,1,8,59,69,5,0,4,5,3,6,2,4,631
123,"SISAIYAKHURD H/0 SISAIYA KALAN",619,529,1,1149,445,296,0,741,741,0,327,239,7,18,2,0,33,64,26,4,1,2,2,5,5,6,741
124,"SISAIYA KALAN",468,392,0,860,322,223,0,545,541,0,113,156,2,7,0,1,94,166,2,0,1,0,1,0,1,1,545
125,"SISAIYA KALAN",615,528,0,1143,390,291,0,681,678,0,201,94,4,8,4,1,155,202,4,0,1,2,1,0,2,2,681
126,"SISAIYA KALAN",587,464,0,1051,368,274,0,642,642,0,38,348,2,23,1,0,131,88,2,0,2,0,0,0,2,5,642
127,"SISAIYA KALAN",650,438,0,1088,357,201,0,558,551,0,51,332,1,7,0,4,71,78,5,2,0,1,1,0,0,5,558
128,"LONIYANPURWA H/O SISAIYA KALAN",568,444,0,1012,337,193,0,530,530,0,241,79,8,11,7,2,25,18,99,3,5,1,10,3,4,14,530
129,BABURI,533,483,0,1016,386,295,0,681,681,0,237,197,10,19,1,3,141,41,9,1,0,5,3,3,3,8,681
130,BABURI,550,471,0,1021,444,305,0,749,744,0,312,180,8,7,5,8,23,139,30,2,2,6,2,9,2,14,749
131,"LOKAIPURWA H/0 BABURI",690,591,0,1281,509,408,0,917,917,0,500,156,10,45,9,5,20,111,30,4,0,5,10,4,0,8,917
132,KONIYA,353,333,0,686,268,215,0,483,483,0,207,52,2,2,1,2,170,24,13,2,1,3,2,0,1,1,483
133,KUMHENA,625,527,0,1152,445,411,0,856,856,0,302,325,13,8,3,2,120,46,14,2,1,2,7,2,1,8,856
134,KUMHENA,429,370,0,799,361,231,0,592,592,0,179,296,3,17,0,0,33,55,3,0,1,0,1,1,2,1,592
135,KUMHENA,570,398,0,968,402,215,0,617,613,0,267,167,7,5,0,2,68,76,10,1,0,3,2,2,1,6,617
136,KUMHENA,510,456,0,966,393,307,0,700,700,0,354,121,10,8,3,2,111,31,25,0,4,4,13,5,1,8,700
137,NAYAGAON,785,643,0,1428,592,449,0,1041,1028,0,388,277,24,15,3,6,194,64,32,4,2,6,11,7,1,7,1041
138,"GULARIPURWA H/0 NAYAGAON",323,256,0,579,290,216,0,506,504,0,213,205,10,7,1,3,5,33,16,0,1,1,4,1,3,3,506
139,MAHARAJNAGAR,563,476,0,1039,426,315,0,741,741,0,152,180,1,5,0,0,336,55,3,1,0,2,2,2,0,2,741
140,MAHARAJNAGAR,570,505,1,1076,392,271,0,663,663,0,321,199,10,1,2,5,33,43,16,2,1,4,15,0,2,9,663
141,MAHARAJNAGAR,887,795,0,1682,582,366,0,948,948,0,383,226,5,15,1,1,252,33,16,1,2,2,3,1,1,6,948
142,"KESHWAPUR KALAN",465,394,0,859,332,253,0,585,585,0,245,109,6,9,3,2,104,68,15,6,0,4,8,2,2,2,585
143,"KESHWAPUR KALAN",447,378,0,825,346,234,0,580,579,0,307,66,11,5,0,2,132,28,16,1,3,3,2,2,2,0,580
144,"RAJAPUR BHAJJA",445,360,1,806,291,219,0,510,499,0,329,33,7,1,0,0,28,88,10,0,0,0,7,2,1,4,510
145,SAMDAHA,751,653,0,1404,503,316,0,819,812,0,296,243,9,24,3,8,144,45,22,0,2,5,3,5,1,9,819
146,BAMHAURI,629,540,0,1169,424,322,0,746,746,0,241,200,8,12,1,3,213,40,12,3,2,2,4,3,2,0,746
147,SARGADA,515,489,1,1005,445,393,0,838,838,0,225,409,7,21,2,0,115,25,16,2,0,2,2,3,2,7,838
148,AIRA,706,629,0,1335,588,406,0,994,800,0,329,292,16,9,2,0,241,59,22,2,0,9,3,2,1,7,994
149,AIRA,798,619,0,1417,555,382,0,937,931,0,158,269,5,12,3,5,404,47,8,5,2,4,2,4,3,6,937
150,BASAHIYA,302,261,0,563,230,166,0,396,393,0,77,116,7,2,1,2,34,76,73,0,0,3,3,0,1,1,396
151,MAHARIYA,321,291,0,612,223,181,0,404,404,0,69,61,2,1,2,2,203,27,18,3,2,4,2,3,1,4,404
152,MAHARIYA,580,500,0,1080,458,322,0,780,774,0,433,87,17,4,1,1,47,92,76,1,3,2,5,2,3,6,780
153,MADVA,512,434,0,946,416,318,0,734,734,0,167,175,5,14,2,2,160,178,11,1,3,2,5,4,2,3,734
154,LODHAUNI,530,459,0,989,420,317,0,737,737,0,189,241,9,8,4,7,184,46,12,2,2,6,5,6,1,15,737
155,MAHEVA,585,484,0,1069,468,428,0,896,896,0,433,307,5,12,0,6,92,18,9,1,1,3,4,0,0,5,896
156,JASVANTNAGAR,398,349,0,747,319,216,0,535,535,0,210,121,2,6,1,1,159,21,5,0,2,0,3,0,1,3,535
157,MAHAMDAPUR,482,426,0,908,403,327,0,730,730,0,345,91,4,8,4,2,236,10,10,0,3,4,2,1,3,7,730
158,MAHAMDAPUR,457,414,0,871,373,263,0,636,636,0,356,84,6,2,1,0,125,43,10,0,1,0,3,3,0,2,636
159,HARDASPUR,631,593,0,1224,485,343,0,828,828,0,235,232,6,11,3,7,65,208,23,2,2,9,6,8,2,9,828
160,"SAMARDA SAI S‍THIT GOPALPURWA H/0 SAMARDAHRI",461,405,1,867,364,250,0,614,614,0,129,252,2,7,2,1,95,68,45,4,0,2,2,1,1,3,614
161,BEHTA,742,664,0,1406,613,398,0,1011,1011,0,483,198,6,14,5,3,88,172,28,1,0,2,4,1,2,4,1011
162,ESHWARVARA,308,259,0,567,258,191,0,449,449,0,282,82,6,5,1,0,38,21,5,1,0,1,1,0,0,6,449
163,"KHAMARIYA PANDIT",488,395,0,883,344,248,0,592,592,0,335,138,3,8,0,0,9,88,4,0,0,1,2,1,1,2,592
164,"KHAMARIYA PANDIT",504,412,0,916,302,198,0,500,500,0,230,104,2,0,0,1,20,130,7,1,0,1,1,1,0,2,500
165,"KHAMARIYA PANDIT",499,399,0,898,327,247,0,574,564,0,271,109,2,3,1,2,82,91,4,1,1,1,2,0,1,3,574
166,"KHAMARIYA PANDIT",527,433,0,960,330,229,0,559,559,0,296,115,1,1,0,1,78,57,6,0,0,2,1,0,1,0,559
167,"KHAMARIYA PANDIT",920,617,0,1537,483,300,0,783,783,0,477,89,7,4,3,0,70,98,12,2,0,4,3,5,2,7,783
168,ALLIPUR,730,602,0,1332,574,385,0,959,958,0,627,149,7,5,3,2,31,88,18,1,1,2,9,9,2,5,959
169,BASADHIYA,519,465,0,984,423,322,0,745,745,0,319,156,6,7,6,6,174,40,17,0,1,2,4,1,2,4,745
170,BASADHIYA,566,445,0,1011,309,199,0,508,506,0,247,83,6,2,2,4,58,40,56,3,2,1,2,0,0,2,508
171,DILAVALPUR,380,374,0,754,322,254,0,576,576,0,152,199,0,15,0,3,117,58,19,0,3,3,3,1,1,2,576
172,MATARIYA,393,361,0,754,356,255,0,611,611,0,151,255,6,9,4,3,29,66,73,0,0,1,5,1,2,6,611
173,SARAINYA,494,478,0,972,407,304,0,711,711,0,374,136,2,13,8,2,68,72,14,4,2,4,4,1,1,6,711
174,PAIKAPUR,467,388,1,856,347,250,0,597,587,0,153,244,3,12,2,0,96,70,6,1,0,3,2,3,0,2,597
175,SHERPUR,585,553,1,1139,527,395,0,922,922,0,403,333,10,9,6,4,64,30,38,3,1,3,3,2,3,10,922
176,MATEHANI,491,430,0,921,387,277,0,664,650,0,306,146,8,9,4,4,73,70,18,4,2,3,6,0,3,8,664
177,MATEHANI,678,581,0,1259,503,254,0,757,757,0,355,218,7,6,3,3,97,34,11,2,3,2,3,1,6,6,757
178,BELVAMOTI,673,601,0,1274,508,359,0,867,866,0,261,369,3,37,1,2,136,30,15,0,0,4,2,2,3,2,867
179,"GURGUTTA KHURD",258,241,2,501,242,225,0,467,461,0,67,315,1,4,0,1,64,12,1,0,0,1,0,1,0,0,467
180,SARSAVA,420,374,0,794,357,267,0,624,620,0,227,249,7,5,1,2,79,36,7,1,2,2,0,2,1,3,624
181,SARSAVA,395,351,0,746,308,203,0,511,511,0,88,290,0,14,0,2,62,40,6,2,0,2,0,3,1,1,511
182,RASULPUR,554,512,0,1066,424,300,0,724,711,0,333,194,3,6,3,6,104,54,9,0,1,2,3,1,0,5,724
183,RASULPUR,475,470,0,945,341,283,0,624,568,0,347,60,8,5,0,1,140,47,9,0,0,1,4,1,0,1,624
184,UNCHAGAON,548,483,0,1031,451,370,0,821,802,0,323,309,26,16,5,4,35,50,27,2,6,2,7,2,2,5,821
185,UNCHAGAON,455,405,0,860,402,342,0,744,744,0,512,45,8,3,6,1,126,11,13,5,1,3,6,3,0,1,744
186,ADLEESPUR,607,491,0,1098,375,325,0,700,700,0,279,261,8,12,4,5,31,60,12,1,2,5,6,4,1,9,700
187,ADLEESPUR,717,604,0,1321,489,381,0,870,855,0,453,225,12,13,5,7,25,89,23,2,1,0,8,0,3,4,870
188,"NAURANGPUR H/0 ADLEESPUR",470,405,0,875,390,298,0,688,688,0,239,92,10,7,2,1,234,80,6,0,1,8,4,1,2,1,688
189,"BHARENHTA H/0 ADLEESHPUR",536,450,0,986,468,322,0,790,730,0,581,76,12,4,4,1,28,40,30,1,1,0,5,1,3,3,790
