"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKMAL KHAN URF CHAMAN","2 - DHARMENDRA YADAV","3 - VAGISH PATHAK","4 - AJEET PAL SINGH","5 - ANIL KUMAR SHARMA","6 - PAGLANAND","7 - MADAN LAL","8 - MAHENDRA PAL","9 - REENA","10 - VIRENDRA PAL GUPTA","11 - SANTOSH KUMAR GUPTA SATYMARGI","12 - HEMA MEHRA","13 - ATUL KUMAR","14 - MUNSHI LAL","15 - HAR BHAGWAN","16 - None of the Above","Total Votes Secured"
18,"PS R.N.-1 KARKORA",606,495,0,1101,414,275,0,689,689,0,226,323,126,3,0,2,0,0,2,0,0,0,0,2,1,4,689
19,"PS R.N.-2 KARKORA",665,538,0,1203,423,274,0,697,697,0,178,338,113,2,4,29,1,1,1,1,1,1,3,5,5,14,697
20,"PS BHOPATPUR",404,368,0,772,304,273,0,577,577,0,271,114,166,3,1,2,0,0,3,2,1,0,2,1,3,8,577
21,"PS R.N.-1 SINGHOLI KALLU",582,393,0,975,286,155,0,441,441,0,18,181,220,5,3,1,0,0,1,0,3,2,1,1,2,3,441
22,"PS R.N.-2 SINGHOLI KALLU",565,396,0,961,240,182,0,422,422,0,130,29,234,3,1,0,1,2,4,0,1,0,6,3,3,5,422
23,"PS R.N.-1 DEUPURA",589,512,0,1101,495,360,0,855,855,0,9,608,215,3,2,0,0,0,2,1,1,3,4,1,5,1,855
24,"PS KESARPUR",736,624,0,1360,568,368,0,936,936,0,273,507,135,2,0,2,0,0,1,1,3,0,1,4,3,4,936
25,"PS GAWANA",739,620,0,1359,392,252,0,644,644,0,11,187,416,4,2,1,1,1,0,0,0,1,9,9,0,2,644
26,"HARIBABA INTER COLLAGE RN-1 GAWANA",745,623,0,1368,384,324,0,708,708,0,258,191,232,3,1,4,2,0,2,0,1,3,5,1,4,1,708
27,"HARI BABA INTER COLLAGE RN.2 GAWANA",647,553,0,1200,392,266,0,658,658,0,6,236,395,0,0,1,1,4,3,2,1,2,3,2,0,2,658
28,"HARI BABA INTER COLLAGE RN.3 GAWANA",577,530,0,1107,252,342,0,594,594,0,7,266,298,1,1,0,1,1,1,0,1,4,3,3,0,7,594
29,"HARI BABA INTER COLLAGE RN.4 GAWANA",835,685,0,1520,422,318,0,740,740,0,16,208,483,1,1,2,0,1,0,2,1,1,5,6,6,7,740
30,"PS RN-1 UDARANPUR KHAGI PATTI CHET SINGH",535,498,0,1033,266,259,0,525,525,0,62,244,213,0,0,1,0,1,0,2,0,0,0,0,1,1,525
31,"PS RN-2 UDARANPUR KHAGI PATTI CHET SINGH",309,237,0,546,194,109,0,303,303,0,27,89,180,1,0,0,0,0,1,0,0,0,1,2,2,0,303
32,"PS EKONA",762,610,0,1372,411,211,0,622,622,0,71,366,163,2,1,3,0,0,0,1,1,3,4,4,0,3,622
33,"PS KHJURA ENAYATGANG",485,376,0,861,256,168,0,424,424,0,191,162,54,0,0,5,0,2,2,2,0,0,0,2,1,3,424
34,"PS SHERPUR",372,277,0,649,321,199,0,520,520,0,1,507,1,1,0,0,0,0,1,0,0,1,4,1,2,1,520
35,"PS SALEMPUR",278,228,0,506,175,96,0,271,271,0,1,210,48,1,0,1,0,1,2,0,0,2,2,0,0,3,271
36,"PS MADHAVALI",732,580,0,1312,519,298,0,817,817,0,14,769,33,0,0,0,0,0,0,0,0,0,0,0,1,0,817
37,"PS BHAWABALA",378,316,0,694,276,178,0,454,454,0,14,357,80,1,0,0,0,0,0,0,0,1,1,0,0,0,454
38,"PS BHESROLI",476,378,0,854,357,247,0,604,604,0,54,366,162,3,3,0,0,2,0,0,0,8,3,3,0,0,604
39,"PS ESAPUR",303,246,0,549,258,161,0,419,419,0,6,264,138,1,1,2,2,0,1,0,0,2,1,1,0,0,419
40,"PS MUTENA PATTE GIRDHARI SINGH",639,564,0,1203,317,190,0,507,507,0,35,219,224,3,3,2,0,2,2,2,1,2,2,3,4,3,507
41,"PS KHAGUPURA",532,501,0,1033,331,268,0,599,599,0,132,256,204,0,3,0,0,0,2,0,0,2,0,0,0,0,599
42,"PS VARORA",640,473,0,1113,346,179,0,525,525,0,25,292,164,1,4,0,0,2,1,1,1,8,6,7,6,7,525
43,"PS BHATKARAN",701,540,0,1241,453,291,0,744,744,0,189,320,216,2,0,2,0,0,8,0,0,2,1,1,0,3,744
44,"PS BHATKARAN",543,453,0,996,426,293,0,719,719,0,39,539,116,2,1,7,1,0,1,1,1,2,2,3,1,3,719
45,"PS JHANPUR",864,678,0,1542,698,407,0,1105,1105,0,1,1092,10,0,0,0,0,0,0,0,0,1,0,1,0,0,1105
46,"PS RN-1 BHEEKAMPUR JENI",676,517,0,1193,444,236,0,680,680,0,23,393,238,5,2,5,0,2,2,1,0,1,3,3,2,0,680
47,"PS RN-2 BHEEKAMPUR JENI",259,233,0,492,167,124,0,291,291,0,32,122,126,2,1,4,1,0,0,0,0,1,1,0,0,1,291
48,"PS RN -1 SISONA DANDA",544,461,0,1005,410,295,0,705,705,0,108,525,64,3,0,0,0,0,0,0,0,1,0,1,1,2,705
49,"PS DUPTA KALNA",565,493,0,1058,291,218,0,509,509,0,54,135,307,1,0,3,0,0,0,0,2,4,1,0,1,1,509
50,"PS RN-1 CHAUPUR DANDA",779,650,0,1429,507,329,0,836,836,0,66,250,480,4,3,1,0,1,5,0,2,4,2,2,6,10,836
51,"PS RN-2 CHAUPUR DANDA",635,512,0,1147,384,227,0,611,611,0,14,310,258,3,2,1,0,1,3,3,1,2,4,2,0,7,611
52,"PS SUNDARPUR",374,300,0,674,327,165,0,492,492,0,4,360,115,1,2,1,0,1,1,0,1,1,1,2,1,1,492
53,"PS DUPTA KHURD PATI CHITA",583,441,0,1024,441,246,0,687,687,0,203,455,21,0,1,0,0,0,0,0,0,6,0,0,0,1,687
54,"PS FAIZPUR",553,388,0,941,402,228,0,630,630,0,11,313,283,2,1,2,0,0,0,0,0,1,2,9,5,1,630
55,"PS KANHUA",421,352,0,773,284,180,0,464,464,0,9,243,150,2,2,39,0,0,6,0,1,1,4,4,2,1,464
56,"PS NIJAAMPUR",517,397,0,914,456,214,0,670,670,0,2,634,29,1,0,1,0,0,1,0,0,1,0,1,0,0,670
57,"JUNIOR HS SINGHAULI POORVI",861,670,0,1531,544,384,0,928,928,0,51,657,183,3,2,3,0,0,0,1,2,14,2,3,2,5,928
58,"PS R.NO.1 SAITUA",584,404,0,988,446,189,0,635,635,0,44,497,57,1,1,1,1,2,2,0,1,2,5,3,16,2,635
59,"PS R.NO.2 SAITUA",405,310,0,715,345,188,0,533,533,0,94,394,35,0,0,0,0,0,0,0,0,0,3,1,3,3,533
60,"PS MALUA MA0BHAIRAWATI",577,459,0,1036,432,263,0,695,695,0,3,634,47,1,1,1,0,0,2,0,1,2,0,3,0,0,695
61,"P.S. R.N.-1 NORTH PART BHIRAVATI",842,630,0,1472,552,275,0,827,827,0,39,506,217,3,3,5,0,0,5,1,6,2,8,8,8,16,827
62,"PS R.NO. 2 NORTH PART BHIRAVATI",794,590,0,1384,399,199,0,598,598,0,109,266,189,4,4,2,1,2,2,0,1,0,4,3,5,6,598
63,"PS R.NO.-3 SOUTH PART BHIRAVATI",695,478,0,1173,331,150,0,481,481,0,11,266,158,4,1,1,2,1,4,2,2,18,11,0,0,0,481
64,"NEW BUILDING PS R.NO.1 GURAITHA MA0 BHIRAVATI",484,416,0,900,424,278,0,702,702,0,10,637,47,1,2,2,0,0,0,0,0,0,0,2,0,1,702
65,"NEW BUILDING PS R.NO.2 GURAITHA MA0BHIRAVATI",452,346,0,798,383,287,0,670,670,0,5,645,17,0,0,0,1,0,0,0,0,0,0,0,1,1,670
66,"PS MUKATPUR",653,508,0,1161,411,174,0,585,585,0,31,455,74,1,1,0,1,0,1,1,1,2,1,2,6,8,585
67,"PS R.NO.1 AARTHAL",719,613,0,1332,261,148,0,409,409,0,69,169,152,2,1,1,0,1,3,0,1,0,3,0,2,5,409
68,"PS NEW BUILDING BHAIYAANPUR",596,455,0,1051,420,220,0,640,640,0,7,563,62,0,0,0,0,1,0,0,0,5,2,0,0,0,640
69,"PS BAAYBHOOD",463,376,0,839,369,232,0,601,601,0,5,394,185,1,0,1,0,1,1,1,2,2,2,4,2,0,601
70,"PRIMARY SCHOOL BAGDHER",740,551,0,1291,547,271,0,818,818,0,45,571,166,2,5,0,1,1,0,0,0,1,1,7,11,7,818
71,"PS R.NO.1 GADHAA",409,306,0,715,345,280,0,625,625,0,13,447,140,0,1,3,0,0,0,1,1,7,4,3,4,1,625
72,"PS R.NO.-2 GADAA",500,386,0,886,397,267,0,664,664,0,121,317,205,4,5,2,1,0,5,0,0,1,1,1,1,0,664
73,"PS SHAHPUR",576,423,0,999,259,69,0,328,328,0,5,137,152,1,4,1,1,0,6,0,1,2,5,6,3,4,328
74,"PANCHAYAT GHAR R.NO.1 HIRAUNI",790,602,0,1392,547,195,0,742,742,0,1,738,3,0,0,0,0,0,0,0,0,0,0,0,0,0,742
75,"PANCHAYAT GHAR R.NO.2 HIRAUNI",791,606,0,1397,472,294,0,766,766,0,38,716,7,0,0,0,1,0,0,0,0,1,1,1,0,1,766
76,"PS PAANIWAADA",440,387,0,827,320,212,0,532,532,0,103,281,83,2,1,48,0,1,1,0,0,0,10,1,1,0,532
77,"PS RAJAAWALI",787,642,0,1429,557,532,0,1089,1089,0,86,890,99,3,1,1,1,0,1,0,0,1,2,3,1,0,1089
78,"PS R.NO.1 SAINDORA SAINDORA",825,598,0,1423,534,241,0,775,775,0,44,545,163,0,2,2,2,0,3,1,1,3,0,2,5,2,775
79,"PS R.NO.2 SAINDORA SAINDORA",263,223,0,486,175,106,0,281,281,0,37,132,99,1,0,1,1,0,2,0,0,2,1,2,1,2,281
80,"PS R.NO-1 DOHARI",276,219,0,495,231,175,0,406,406,0,3,176,202,1,1,0,0,0,0,1,1,1,3,13,1,3,406
81,"PS R.NO.1 CHANDUNAGLA",786,643,0,1429,635,380,0,1015,1015,0,84,711,206,0,1,4,0,0,0,0,2,1,4,1,0,1,1015
82,"PS R.NO.2 CHANDUNAGLA",298,261,0,559,285,159,0,444,444,0,121,270,45,1,0,0,0,0,1,0,0,0,3,2,0,1,444
83,"PS RAMPUR MOHKAM",535,455,0,990,376,280,0,656,656,0,62,308,270,2,0,3,0,0,2,0,0,1,1,4,1,2,656
84,"PS SIKANDARPUR KHAAGI",777,620,0,1397,435,296,0,731,731,0,37,359,300,3,2,25,0,0,1,0,0,2,1,1,0,0,731
85,"PS R.NO.1 JIJAUDA DAANDA",680,503,1,1184,314,222,0,536,536,0,5,117,386,3,0,0,1,2,4,0,1,1,4,6,2,4,536
86,"PS R.NO-2 JAJAUDA DAANDA",425,344,0,769,157,121,0,278,278,0,100,54,111,2,1,2,1,0,1,0,1,2,1,0,0,2,278
87,"PS NEW BUILDING R.NO-1  BHEEKAMPUR JAAGIRPUR DAANDA",448,371,0,819,298,182,0,480,480,0,13,367,88,2,4,4,0,0,1,0,0,0,0,1,0,0,480
88,"PS NEW BUILDING R.NO-2 BHEEKAMPUR JAAGIR DAANDA",445,385,0,830,317,230,0,547,547,0,5,469,55,2,1,0,1,0,0,1,0,0,2,1,7,3,547
89,"PS RAMPUR KHADAR DAANDA",315,257,0,572,241,182,0,423,423,0,4,227,175,5,0,4,0,0,0,0,1,0,2,4,0,1,423
90,"PRIMARY SCHOOL R.NO.-2 BASANTPUR DAANDA",722,561,0,1283,526,353,0,879,879,0,67,702,77,3,0,0,1,0,1,1,3,7,4,1,2,10,879
91,"PS TUMARIYA KHAADAR",341,295,0,636,255,171,0,426,426,0,3,266,133,2,2,1,0,0,1,0,2,0,2,4,5,5,426
92,"PS KEHRAULA GARVI",686,600,0,1286,495,350,0,845,845,0,117,634,81,2,0,2,0,1,1,0,0,0,1,0,1,5,845
93,"PS R.NO.1 SAIMARY",546,455,0,1001,232,251,0,483,483,0,9,250,205,3,1,0,0,1,1,1,0,1,1,2,3,5,483
94,"PS R.NO-2 SAIMARY",556,428,0,984,313,241,0,554,554,0,105,101,332,2,0,1,0,0,1,1,1,1,0,4,0,5,554
95,"PS CHAMARPURA",399,314,0,713,372,253,0,625,625,0,2,532,87,1,0,1,0,1,0,0,0,1,0,0,0,0,625
96,"SIPAHILAL INT.COLLEGE. R.NO.1 RAJPURA",459,352,1,812,395,250,0,645,645,0,10,398,223,4,1,0,0,1,1,0,1,1,0,3,1,1,645
97,"SIPAHILAL INT.COLL. R.NO-5 RAJPURA",419,319,0,738,277,160,0,437,437,0,38,267,125,2,0,0,0,0,1,0,0,0,1,3,0,0,437
98,"SIPAHILAL INT.COLL. R.NO.2 RAJPURA",640,495,0,1135,428,233,0,661,661,0,10,310,328,0,0,2,0,0,1,1,0,2,2,1,2,2,661
99,"SIPAHILAL INT.COLL.R.NO.3 RAJPURA",453,346,0,799,353,209,0,562,562,0,60,472,23,0,1,0,0,0,0,0,0,1,1,1,3,0,562
100,"SIPAHILAL INT.COLL.R.NO.-4 RAJPURA",674,534,0,1208,380,290,0,670,670,0,54,447,148,3,1,1,0,0,1,0,1,1,2,5,1,5,670
101,"JUNIOR HIGH SCHOOL ROOM NO.1 NYAURA",582,467,0,1049,295,138,0,433,433,0,27,285,104,2,0,2,0,1,1,1,0,2,0,3,3,2,433
102,"JUNIOR HIGH SCHOOL R.NO.2 NYAURA",292,221,0,513,120,72,0,192,192,0,77,86,18,0,0,0,0,1,1,0,0,0,0,2,1,6,192
103,"JUNIOR HIGH SCHOOL R.NO-3 NYAURA",703,481,0,1184,309,133,0,442,442,0,5,283,131,5,2,2,2,0,0,1,2,0,2,3,1,3,442
104,"SA0SEH0SAMITI BYAURA R.NO.1 BYAURA",545,464,0,1009,319,184,0,503,503,0,14,214,246,3,4,1,2,0,3,1,0,3,3,2,4,3,503
105,"SA0SEH0SAMITI BYAURA R.NO.-2 BYAURA",264,236,0,500,186,148,0,334,334,0,3,130,180,2,3,2,0,0,2,0,2,0,2,3,1,4,334
106,"PS NEW BUILDING TUMARIYA GHAAT",408,317,0,725,270,149,0,419,419,0,22,213,148,4,3,0,2,0,2,0,4,5,4,6,4,2,419
107,"PS MAJHOLRA FATEHPUR",737,627,0,1364,444,292,0,736,736,0,78,280,357,1,2,0,3,1,1,0,1,2,4,2,3,1,736
108,"PS SINGHPUR",350,334,0,684,219,195,0,414,414,0,19,276,96,3,0,0,0,0,0,0,2,1,2,5,8,2,414
109,"PS R.NO.1 DHANARI PATTI LAALSINGH",712,600,0,1312,329,301,0,630,630,0,169,192,231,7,0,0,0,1,3,2,1,4,3,3,2,12,630
110,"PS R.NO.2 DHANARI PATTI LAALSINGH",628,460,0,1088,392,245,0,637,637,0,14,102,468,8,3,3,2,0,6,5,6,1,6,6,3,4,637
111,"PS CHANDPURA R.NO.-1CHANDPURA",544,429,0,973,380,235,0,615,615,0,217,165,33,0,2,169,2,2,0,0,3,3,13,1,4,1,615
112,"PS DHANAARI PATTI BAABUSHANKAR R.NO.-1 DHANARI PATTI BAALUSHANKAR",407,311,0,718,223,155,0,378,378,0,16,64,274,3,2,0,0,0,1,1,2,1,0,4,4,6,378
113,"NEW PS R.NO.3 DHANARI PATTI BAALUSHANKAR",471,361,2,834,187,117,0,304,304,0,27,96,147,2,1,2,1,0,2,3,0,1,5,6,4,7,304
114,"NEW BUILDING PS R.NO.-4 DHANAARI PATTI BAALUSHANKAR",430,372,0,802,238,112,0,350,350,0,25,35,238,5,1,0,1,1,6,0,3,1,7,13,4,10,350
115,"PS NEW BUILDING RAMNAGAR URF KANUA NAGLA",481,427,0,908,275,273,0,548,548,0,28,132,351,5,5,0,1,1,5,2,1,1,3,8,3,2,548
116,"PS DARAULI",468,396,0,864,226,182,0,408,408,0,90,59,246,3,2,1,0,1,0,0,0,0,0,4,0,2,408
117,"PS R.NO.-1 CHATURBHAANPUR",603,412,0,1015,340,219,0,559,559,0,5,414,135,0,2,0,0,0,0,0,1,1,0,0,0,1,559
118,"PS R.NO-2 CHATURBHAANPUR",472,371,0,843,306,152,0,458,458,0,30,335,87,1,1,1,0,0,0,0,0,0,0,1,2,0,458
119,"PS JIYANAGLA",660,514,0,1174,365,196,0,561,561,0,6,288,230,2,4,0,1,2,5,3,0,2,2,7,3,6,561
120,"PS HARPHARI",787,619,0,1406,612,386,0,998,998,0,13,884,87,1,2,1,0,0,2,0,0,0,1,1,4,2,998
121,"PS MAKSOODANPUR",467,404,0,871,304,185,0,489,489,0,5,279,187,2,1,1,0,0,1,0,0,1,5,4,3,0,489
122,"PS R.NO.-1 JAITAURA SAGARPUR",552,431,0,983,434,250,0,684,684,0,13,636,34,0,0,0,0,0,0,0,0,0,0,0,0,1,684
123,"PS R.NO.-2 JAITAURA SAGARPUR",364,271,0,635,301,148,0,449,449,0,0,427,20,0,0,0,0,0,1,0,0,0,0,0,0,1,449
124,P.S.DEVRABHOORA,541,461,0,1002,529,401,0,930,930,0,7,859,61,2,1,0,0,0,0,0,0,0,0,0,0,0,930
125,"P.S. PAVSARAA",760,561,0,1321,489,248,0,737,737,0,10,456,216,1,6,1,1,2,1,2,5,1,8,6,12,9,737
126,"PS R.NO-1 PATHAKPUR",431,341,0,772,197,115,0,312,312,0,62,85,152,2,3,1,0,0,1,1,0,2,1,0,0,2,312
127,"PS R.NO-2 PATHAKPUR",447,363,0,810,206,102,0,308,308,0,8,120,160,3,3,1,0,2,2,0,1,0,2,4,1,1,308
128,"P.S PEHELWADA",510,456,0,966,360,183,0,543,543,0,2,296,211,4,2,3,3,1,1,1,1,3,4,9,1,1,543
129,"P.S JAIDASPUR",395,367,0,762,252,199,0,451,451,0,53,222,153,4,0,2,0,0,0,0,2,0,3,6,2,4,451
130,"P.S DAADPUR",363,266,0,629,358,168,0,526,526,0,0,516,9,1,0,0,0,0,0,0,0,0,0,0,0,0,526
131,"PS R.NO.-1 PANWARI PANWARI",809,550,0,1359,419,207,0,626,626,0,33,266,319,1,1,0,0,0,1,0,0,3,0,1,1,0,626
132,"PS R.NO-2 PANWARI PANWARI",269,235,0,504,168,134,0,302,302,0,35,191,72,0,0,0,0,0,0,0,0,3,1,0,0,0,302
133,"RA0SE0SA0HA0SCHOOL R.NO-1 BHAKRAULI",706,592,0,1298,410,284,0,694,694,0,80,282,320,1,0,0,0,0,0,0,1,0,2,4,2,2,694
134,"RA0SE0SA0HA0SCHOOL R.NO0-2 BHAKRAULI",654,544,0,1198,386,236,0,622,622,0,21,343,239,4,1,1,0,0,2,1,3,1,4,1,1,0,622
135,"J.H.S.R.NO-1 MEUA HASANGANJ",844,669,1,1514,503,261,0,764,764,0,38,315,365,4,4,4,0,2,6,0,4,1,3,6,7,5,764
136,"J.H.S.R.NO-2 MEUA HASANGANJ",454,375,0,829,219,120,0,339,339,0,3,109,201,5,1,0,2,0,2,2,2,0,2,5,1,4,339
137,"J.H.S R.NO-3 MEUA HASANGANJ",447,380,0,827,200,86,0,286,286,0,4,171,99,1,3,1,0,0,2,0,0,0,2,1,1,1,286
138,"PS R.NO-1 BAGHAU",678,574,0,1252,349,264,0,613,613,0,48,183,359,3,2,2,0,0,1,1,1,3,0,2,4,4,613
139,"PS R.NO-2 BAGHAU",467,306,0,773,153,81,0,234,234,0,2,35,186,0,0,1,0,0,0,0,1,5,1,0,1,2,234
140,"P.S.R.NO-3 BAGHAU",746,534,0,1280,391,199,0,590,590,0,3,208,349,1,1,0,0,0,2,0,10,2,2,3,9,0,590
141,"PS R.NO-1 SINGHAWALI",654,531,0,1185,378,301,0,679,679,0,67,298,282,2,2,1,0,0,2,0,3,3,5,2,4,8,679
142,"PS R.NO-1 RAJAAPUR",264,204,0,468,211,124,0,335,335,0,1,230,96,5,2,0,0,0,0,0,0,0,0,0,0,1,335
143,"PS SINGHDALANPUR",544,476,0,1020,326,259,0,585,585,0,184,310,68,3,1,1,0,0,1,1,0,0,3,6,1,6,585
144,"PS MALIKPUR",644,564,0,1208,348,297,0,645,645,0,264,112,245,6,4,2,1,2,2,0,0,0,3,1,1,2,645
145,"PS PATEYI NASIR",410,309,0,719,290,228,0,518,518,0,69,368,67,1,2,0,0,0,0,1,2,2,0,3,2,1,518
146,"PS JAMAALPUR DAANDA",585,503,0,1088,565,376,0,941,941,0,9,865,43,1,2,16,0,0,0,0,0,0,3,0,1,1,941
147,"PS R.NO-1 SHAHJAHANABAD DANDA",611,503,0,1114,360,267,0,627,627,0,136,207,260,6,2,2,1,0,1,1,1,2,1,4,1,2,627
148,"PS R.NO-2 SHAHJAHANABAD DAANDA",622,472,1,1095,366,182,0,548,548,0,9,339,166,0,2,1,1,0,6,1,3,1,3,3,4,9,548
149,"PS NEW BUILDING KEVALPUR URF TIPEDA",741,561,1,1303,548,377,0,925,925,0,196,508,192,3,4,3,1,0,3,1,1,1,3,4,0,5,925
150,"PS BHAGTA NAGLA",520,404,0,924,341,185,0,526,526,0,4,429,79,0,2,0,1,1,0,1,1,0,2,5,1,0,526
151,"PRIMARY SCHOOL FIROZPUR",388,349,0,737,259,158,0,417,417,0,35,187,183,1,1,2,2,1,0,0,0,0,2,2,0,1,417
152,"PS MEERAMPUR",709,630,0,1339,544,336,0,880,880,0,267,425,155,6,4,1,2,1,2,0,1,1,1,2,4,8,880
153,"PS FAREEDPUR",668,522,0,1190,609,315,0,924,924,0,22,759,96,7,2,1,2,2,2,1,2,8,4,8,4,4,924
154,"P.S FATEHPUR",515,389,1,905,402,273,0,675,675,0,26,606,42,0,1,0,0,0,0,0,0,0,0,0,0,0,675
155,"P.S GANGAVAAS",693,543,0,1236,506,347,0,853,853,0,0,813,37,2,0,0,0,0,1,0,0,0,0,0,0,0,853
156,"P.S BICHPURI SAILAAV",540,454,2,996,417,269,0,686,686,0,2,562,102,0,1,3,1,0,1,1,0,2,1,3,5,2,686
157,"KANYA PR.S.GUNNAUR DAULAT KHAN",580,517,2,1099,320,302,0,622,622,0,43,423,135,0,3,1,1,0,0,1,1,1,2,3,5,3,622
158,"BABOORAM SINGH INT.COLL. R.NO-13 EAST PART BABRALA",600,540,0,1140,297,248,0,545,545,0,3,169,353,1,0,0,2,0,0,0,1,4,1,2,3,6,545
159,"BABOORAM SINGH INT. COLL.R.NO-14 EAST PART BABRALA",448,420,0,868,228,174,0,402,402,0,7,114,273,1,0,0,0,0,0,1,0,4,1,0,1,0,402
160,"BABOORAM SINGH INT.COLL. R.NO-15 EAST PART BABRALA",645,536,0,1181,336,230,0,566,566,0,40,155,353,4,1,0,0,0,1,0,1,1,0,4,3,3,566
161,"BABOORAM SINGH INT. COLL.R.NO-21 SOUTH PART BABRALA",673,560,1,1234,352,300,0,652,652,0,23,238,382,1,0,0,0,0,2,0,0,1,2,1,0,2,652
162,"BABOORAM SINGH INT. COLL. R.NO-22 SOUTH PART BABRALA",481,426,0,907,291,217,0,508,508,0,55,95,340,3,3,1,0,0,1,0,1,2,2,1,1,3,508
163,"BABURAM SINGH INT.COLL.R.NO-23 SOUTH PART BABRALA",769,673,0,1442,400,264,0,664,664,0,162,132,359,0,1,1,1,1,0,0,0,2,1,0,2,2,664
164,"BABURAM SINGH INT.COLL.R.NO-1 BABRALA",741,582,0,1323,354,205,0,559,559,0,12,234,302,2,0,0,0,0,0,0,0,1,4,3,1,0,559
165,"BABURAM SINGH INT.COLL. R.NO-2 BABRALA",420,340,0,760,231,125,0,356,356,0,12,184,147,0,3,1,0,0,1,2,0,0,2,3,1,0,356
166,"BHAAY SINGH DEGREE COLL. R.NO-1 WEST PART BABRALA",621,579,0,1200,324,206,0,530,530,0,63,153,307,0,0,0,0,0,0,0,0,5,0,0,0,2,530
167,"BHAAYSINGH DEG.COLL.R.NO-2 WEST PART BABRALA",197,203,0,400,118,109,0,227,227,0,16,97,112,1,0,0,0,0,1,0,0,0,0,0,0,0,227
168,"BHAAY SINGH DEG.COLL.R.NO-4 NORTH PART BABRALA",504,423,1,928,282,155,0,437,437,0,9,156,267,3,0,0,0,0,0,1,0,0,1,0,0,0,437
169,"BHAAY SINGH DEG.COLL.R.NO-5 NORTH PART BABRALA",474,402,0,876,218,172,0,390,390,0,45,79,253,0,0,0,0,0,0,1,0,0,3,2,0,7,390
