"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NAFISUDDIN","2 - BEGUM NOOR BANO URF MEHTAB","3 - HAJI MOHD YAQOOB","4 - KUNWER SARVESH KUMAR","5 - DR S T HASAN","6 - AMIT KUMAR","7 - KAMAR ALAM","8 - JAIPAL SINGH SAINI","9 - MOHD ZAFAR IQBAL","10 - TEAJ SINGH SAINI","11 - ENGINEER MOHAMMAD IRFAN","12 - VIMAL KUMAR","13 - SATISH CHANDRA SHARMA","14 - SANDEEP KUMAR","15 - SAURABH PRATAP SINGH","16 - HARIOM","17 - RAJ KUMAR GUPTA","18 - ROOPA CHANDRA SINGH","19 - None of the Above","Total Votes Secured"
33,"P.S. MISHRIPUR ROOM 2",517,437,0,954,383,319,0,702,702,0,0,3,5,631,8,2,1,0,1,39,0,2,1,1,7,0,0,0,1,702
34,"P. S. MOHDI HAJRATPUR MAJRA KHODTKHEDA ROOM 1",513,460,0,973,450,364,0,814,814,0,2,2,60,679,55,1,1,0,0,0,1,2,5,1,4,0,0,0,1,814
35,"P.S. MOHDI HAJRATPUR",340,302,0,642,299,269,0,568,568,0,0,2,0,546,17,0,0,0,0,0,0,0,0,1,0,1,0,0,1,568
36,"P.S. MANNAGAR ORF KANTH ROOM 1",859,747,0,1606,579,493,0,1072,1072,0,6,23,115,526,348,2,2,0,0,1,17,2,1,3,8,7,2,0,9,1072
37,"D.S.M.INTER COLLEGE KANTH ROOM 1",825,705,0,1530,516,456,0,972,972,0,0,15,70,3,752,1,2,0,0,0,124,1,2,0,0,0,1,0,1,972
38,"D.S.M.INTER COLLEGE KANTH ROOM 2",526,497,0,1023,364,359,0,723,723,0,7,3,14,535,122,2,1,0,0,0,12,15,1,1,8,1,0,0,1,723
39,"D.S.M.INTER COLLEGE KANTH ROOM 3",628,615,1,1244,427,385,0,812,812,0,1,18,49,4,664,2,0,0,1,1,64,1,0,2,0,1,0,1,3,812
40,"D.S.M.INTER COLLEGE KANTH ROOM 4",548,512,0,1060,367,307,0,674,674,0,2,15,86,297,242,2,0,0,0,0,19,3,1,0,1,2,1,0,3,674
41,"ADARSH VIHARI INTER COLLEGE ROOM 1",808,765,1,1574,437,599,0,1036,1036,0,2,6,300,612,76,2,0,0,1,2,1,20,2,4,1,2,1,0,4,1036
42,"ADARSH VIHARI INTER COLLEGE ROOM 2",399,376,0,775,280,230,0,510,510,0,2,15,4,439,38,0,0,0,0,0,0,5,0,1,2,0,0,0,4,510
43,"ADARSH VIHARI INTER COLLEGE ROOM 3",721,635,0,1356,533,451,0,984,984,0,3,12,459,362,125,4,0,0,0,1,1,6,0,1,0,5,0,0,5,984
44,"P.KANYA PATHSHALA KANTH ROOM 1",509,465,0,974,386,327,0,713,713,0,0,5,43,326,327,3,1,0,0,0,3,1,1,0,2,1,0,0,0,713
45,"P.KANYA PATHSHALA KANTH ROOM 2",608,516,0,1124,409,352,0,761,761,0,2,6,14,258,440,2,2,0,1,0,21,3,2,0,4,3,0,1,2,761
46,"P.KANYA PATHSHALA KANTH ROOM 3",775,666,0,1441,495,427,0,922,922,0,3,8,20,258,561,3,2,2,0,1,46,4,1,3,2,2,0,2,4,922
47,"P.S. GHOSIPURA ROOM 1",849,704,0,1553,528,417,0,945,445,0,4,5,84,164,573,2,0,1,0,1,100,2,1,2,2,0,1,1,2,945
48,"P.S. GHOSIPURA ROOM 2",765,678,0,1443,527,539,0,1066,1066,0,3,0,55,682,240,4,3,0,2,4,37,6,6,2,5,3,2,1,11,1066
49,"P.S. MEHMOODPURA ROOM 1",633,577,0,1210,474,417,0,891,891,0,4,1,14,644,197,1,0,0,2,0,1,1,4,0,8,5,0,2,7,891
50,"P.S. MEHMOODPURA ROOM 2",546,429,1,976,285,364,0,649,649,0,2,3,57,251,317,2,0,0,1,1,2,4,0,2,2,1,0,0,4,649
51,"P.S. MEHMOODPURA ROOM 3",429,338,0,767,283,227,0,510,510,0,0,2,63,52,381,4,0,0,2,0,3,2,0,0,0,0,0,0,1,510
52,"J,H,S. MEHMOODPUR MAFI ROOM 1",668,567,1,1236,445,369,0,814,814,0,2,9,363,258,94,1,1,4,1,1,61,3,2,4,3,3,0,1,3,814
53,"J.H.S. MEHMOODPUR MAFI ROOM 2",621,550,0,1171,355,302,0,657,657,0,0,4,19,12,475,3,1,1,0,0,135,0,1,0,2,3,0,0,1,657
54,"P.S. PELI VISHNOI ROOM 1",291,254,0,545,230,206,0,436,436,0,0,0,251,165,7,0,1,1,0,0,0,1,0,4,1,0,0,0,5,436
55,"P.S. PAHADMAU ROOM 1",368,315,0,683,310,280,0,590,590,0,0,2,36,517,31,0,1,0,0,0,0,0,0,2,1,0,0,0,0,590
56,"P.S. DUDELA ROOM 1",245,231,0,476,188,184,0,372,372,0,2,1,231,130,0,0,0,0,0,0,0,1,0,4,1,0,0,1,1,372
57,"P.S. RAYPUR KHURD ORF SYOHARA ROOM 1",625,561,0,1186,571,476,0,1047,1047,0,1,3,9,1015,8,3,0,0,0,1,0,1,1,0,0,0,0,1,4,1047
58,"SHRIKRISHNA INTER COLLEGE ROOM 1",311,267,0,578,197,205,0,402,402,0,0,0,36,161,195,1,0,0,1,0,0,5,1,1,1,0,0,0,0,402
59,"P.S. NASEERPUR ROOM 1",590,535,0,1125,389,414,0,803,803,0,2,1,271,422,80,0,1,1,0,2,2,1,3,0,2,5,1,4,5,803
60,"P.S. HARINOORPUR ROOM 1",491,455,0,946,270,372,0,642,642,0,2,0,59,3,448,1,0,0,1,0,124,2,0,0,0,0,0,0,2,642
61,"P.S. JAMNA AZAM ROOM 1",229,198,0,427,200,164,0,364,364,0,0,0,21,272,58,1,0,3,0,1,1,3,1,2,1,0,0,0,0,364
62,"P.S. KAJIPURA ROOM 1",416,355,0,771,378,298,0,676,676,0,1,0,9,533,103,2,3,1,0,3,5,3,4,1,5,2,0,0,1,676
63,"J.H.S. MOHAMMADPUR BHAGBANDAS ROOM 1",359,353,0,712,277,252,0,529,529,0,4,3,26,472,5,0,0,0,1,1,0,0,7,2,3,1,0,2,2,529
64,"P.S. KHATAPUR ROOM 1",387,344,0,731,337,302,0,639,639,0,1,1,141,403,86,0,0,1,0,0,2,0,0,0,1,0,1,0,2,639
65,"KANYA J.H.S. MUKHTYARPUR NAWADA ROOM 1",787,761,0,1548,604,560,0,1164,1164,0,0,7,54,716,223,1,0,0,0,2,146,2,1,2,2,3,0,1,4,1164
66,"KANYA J.H.S. MUKHTHYAR PUR NAWADA ROOM 2",737,712,0,1449,476,467,0,943,943,0,3,7,264,368,156,0,0,2,0,1,126,2,1,5,1,1,3,2,1,943
67,"P.S. RASOOLPUR GUJAR DHYAN SINGH ROOM 1",393,339,0,732,357,280,0,637,637,0,0,0,15,577,40,0,0,0,1,0,0,1,0,0,2,0,0,0,1,637
68,"P.S. SIRSA THAT ROOM 1",639,570,0,1209,514,401,0,915,915,0,1,1,150,653,90,0,0,2,1,0,0,0,1,0,14,1,0,0,1,915
69,"P.S. AHMADPUR NINGU NANGLA ROOM 1",419,387,0,806,356,309,0,665,665,0,1,1,71,553,31,0,0,0,0,5,0,1,0,1,1,0,0,0,0,665
70,"P.S. KHEMPUR SAIFULLAPUR ROOM 1",444,382,0,826,398,319,0,717,717,0,0,4,9,631,64,1,0,1,0,0,0,1,4,0,2,0,0,0,0,717
71,"P.S. MUJAFFARPUR TANDA ROOM 1",640,542,0,1182,511,469,0,980,980,0,0,13,151,389,395,0,0,2,0,2,3,1,5,3,2,6,4,2,2,980
72,"P.S. MEHDOOD KALMI ROOM 1",852,590,0,1442,470,393,0,863,863,0,1,5,8,75,739,7,0,2,4,3,12,1,0,0,0,3,0,0,3,863
73,"P.S. KUMHARIYA JUBLA ROOM 1",685,613,0,1298,607,443,0,1050,1050,0,5,1,76,806,104,5,5,2,2,3,3,0,6,4,7,7,0,1,13,1050
74,"P.S. KUMHARIYA JUBLA ROOM 2",741,581,0,1322,534,458,0,992,992,0,2,2,26,791,134,2,0,1,0,13,0,5,3,1,8,3,0,0,1,992
75,"P.S. HASANGHADI ROOM 1",263,243,0,506,211,202,0,413,413,0,0,1,20,37,350,2,1,0,0,0,0,0,0,0,0,0,0,0,2,413
76,"P.S. FARIDPUR BHAINDI ROOM 1",605,511,0,1116,447,367,0,814,814,0,11,11,21,630,84,2,1,0,1,12,3,3,2,5,12,6,2,5,3,814
77,"P.S. FARIDPUR BHAINDI ROOM 2",660,508,0,1168,508,373,0,881,881,0,4,3,98,719,40,1,1,1,0,3,0,0,1,0,6,3,0,0,1,881
78,"P.S. BHASLE JAMALPUR ROOM 1",896,724,0,1620,710,544,0,1254,1254,0,4,11,84,735,375,1,0,4,0,6,3,2,4,1,11,1,3,1,8,1254
79,"P.S.SHERPUR ROOM 1",501,447,0,948,447,311,0,758,758,0,3,4,195,447,74,2,1,0,0,1,0,1,2,5,6,2,2,0,13,758
80,"P.S. KHALILPUR KADDIM MAJRA CHETRAMPUR ROOM 1",610,529,0,1139,458,428,0,886,886,0,2,4,31,473,344,4,1,2,1,3,5,2,3,2,4,3,0,0,2,886
81,"P.S. KHALILPUR KADDIM MAJRA CHETRAMPUR ROOM 2",347,305,0,652,261,215,0,476,476,0,0,0,44,82,327,2,1,0,1,1,2,2,3,0,3,4,1,1,2,476
82,"P.S. MAGHPURI ORF INAYATPURI ROOM 1",636,595,0,1231,525,507,0,1032,1032,0,2,4,7,651,339,2,2,1,0,1,3,2,5,1,3,1,1,3,4,1032
83,"P.S. PHOOLPUR MITHANPUR ROOM 1",612,530,0,1142,414,367,0,781,781,0,2,1,149,520,71,0,5,2,1,1,2,0,2,1,2,0,1,2,19,781
84,"P.S. BAGIYA SAGAR ROOM 1",684,614,0,1298,547,458,0,1005,1005,0,3,6,162,651,106,8,2,2,2,2,0,3,6,8,21,10,3,1,9,1005
85,"J.H.S. MATHANA ROOM 1",621,546,0,1167,419,356,0,775,775,0,8,5,144,437,127,1,3,3,0,3,15,5,4,2,8,1,3,1,5,775
86,"P.S. KIRATPURI ROOM 1",340,307,0,647,296,256,0,552,552,0,2,0,13,505,9,1,1,0,0,2,1,1,3,0,6,3,1,2,2,552
87,"P.S. SADAKPUR MALOOKPUR ORF KHICHDI ROOM 1",364,334,0,698,309,284,0,593,593,0,4,3,105,437,17,0,2,1,3,4,1,1,6,3,1,1,1,0,3,593
88,"P.S. BHUDANPUR ORF BILAYATNAGAR ROOM 1",284,251,0,535,233,208,0,441,441,0,1,1,76,220,105,0,0,1,1,2,23,0,1,1,2,0,0,0,7,441
89,"PUBLIC INTER COLLGE OMRI KLA ROOM 1",654,528,0,1182,349,320,0,669,669,0,0,3,329,7,241,0,0,2,1,2,69,4,1,4,0,2,1,1,2,669
90,"PUBLIC INTER COLLEGE OMRI KLA ROOM 6",386,358,0,744,238,250,0,488,488,0,1,0,85,4,366,5,1,1,1,1,19,1,0,0,1,2,0,0,0,488
91,"P.S. OMRI KLA ROOM 3",735,564,0,1299,447,380,0,827,827,0,1,1,64,20,544,1,2,1,0,0,187,1,0,0,0,3,0,2,0,827
92,"P.S. OMRI KLA ROOM  1",422,378,0,800,301,258,0,559,559,0,1,1,22,2,177,1,0,5,2,3,338,2,0,1,1,3,0,0,0,559
93,"P.S. OMRI KLA ROOM  2",709,643,0,1352,481,453,0,934,934,0,0,8,59,31,738,1,1,0,1,1,89,2,0,0,3,0,0,0,0,934
94,"PUBLIC INTER COLLEGE OMRI KLA ROOM 2",837,701,0,1538,490,460,0,950,950,0,0,5,107,25,750,1,0,0,0,2,56,0,1,0,1,0,1,0,1,950
95,"PUBLIC INTER COLLEGE OMRI KLA ROOM 4",895,755,0,1650,480,474,0,954,954,0,3,11,66,4,673,7,1,6,0,3,151,4,0,6,15,0,0,1,3,954
96,"PUBLIC INTER COLLEGE OMRI KLA ROOM NEW",602,458,0,1060,350,346,0,696,696,0,1,4,93,8,462,7,0,1,1,1,110,3,1,1,3,0,0,0,0,696
97,"PUBLIC INTER COLLEGE OMRI KLA ROOM 3",391,323,0,714,258,249,0,507,507,0,0,0,114,19,334,1,0,2,0,0,32,1,0,2,0,0,0,1,1,507
98,"PUBLIC INTER COLLEGE OMRI KLA ROOM 5",748,614,0,1362,469,471,0,940,940,0,2,3,191,6,652,1,1,1,1,1,66,3,1,3,1,0,1,2,4,940
99,"P.S. DEHRA NIKAT OMRI KLA ROOM 2",618,508,0,1126,420,360,0,780,780,0,2,3,174,322,177,2,0,5,0,4,63,2,2,3,11,1,0,2,7,780
100,"P.S. DEHRA NIKAT OMRI KLA ROOM 1",464,364,0,828,292,258,0,550,550,0,2,3,20,149,320,3,0,1,1,1,36,1,1,0,4,4,0,2,2,550
101,"P.S. DADHI MEHMOODPUR ROOM 1",592,535,0,1127,384,513,0,897,897,0,2,2,78,648,148,1,1,0,1,3,3,2,1,1,3,1,0,1,1,897
102,"P.S. RANA NANGLA ROOM 1",283,243,0,526,250,215,0,465,465,0,1,0,29,402,28,0,0,0,0,0,0,1,0,0,0,1,0,0,3,465
103,"P.S. SAHUPUR ROOM 1",530,453,0,983,387,367,0,754,754,0,7,3,69,161,320,1,2,6,2,2,165,1,1,0,4,3,0,1,6,754
104,"P.S. DEHRI JUMMAN ROOM 1",366,309,0,675,311,270,0,581,581,0,2,6,69,390,48,1,0,3,1,3,48,0,3,0,4,2,0,0,1,581
105,"P.S. SUNDERPUR CHAUPURA ROOM 1",663,557,0,1220,498,421,0,919,919,0,1,2,49,723,116,2,1,1,1,2,0,3,9,0,7,0,0,1,1,919
106,"P.S. AABI HAFIPUR ROOM 1",787,630,0,1417,590,513,0,1103,1103,0,3,46,101,718,185,1,1,1,1,3,16,4,4,1,6,2,1,3,6,1103
107,"P.S. PAIGAMBARPUR SUKHBASI LAL ROOM 1",727,643,0,1370,478,427,0,905,905,0,1,4,137,152,570,0,0,0,0,0,24,4,0,2,2,4,1,1,3,905
108,"P.S. PAIGAMBARPUR SUKHBASI LAL ROOM 2",610,563,0,1173,453,385,0,838,838,0,2,10,398,316,67,0,1,0,1,1,4,5,2,0,1,4,4,1,21,838
109,"P.S. KAJIKHEDA ROOM 1",487,372,0,859,443,284,0,727,727,0,0,14,107,493,104,0,1,0,0,1,3,1,1,0,0,1,0,0,1,727
110,"P.S. MANKUA ROOM 1",400,371,0,771,297,303,0,600,600,0,4,0,54,455,51,1,1,1,1,2,10,4,3,1,3,2,1,2,4,600
111,"P.S. KUI ROOM 1",628,535,0,1163,442,379,0,821,821,0,3,9,179,612,3,1,1,0,0,1,0,0,3,2,2,1,0,1,3,821
112,"P.S. SEHDOLI ROOM 1",686,592,0,1278,569,482,0,1051,1051,0,5,8,466,446,84,4,3,0,5,1,9,5,2,5,1,1,0,2,4,1051
113,"P.S. JAMANIYA KHURD ROOM 1",239,218,0,457,230,201,0,431,431,0,1,3,2,409,14,0,0,1,0,0,0,0,0,0,1,0,0,0,0,431
114,"P.S. ADHAMPUR ROOM 1",281,239,0,520,234,210,0,444,444,0,0,5,61,73,282,6,0,2,0,0,8,0,0,1,1,1,2,0,2,444
115,"P.S. KHANKHANAPUR ORF BICHPURI ROOM 1",551,491,0,1042,445,387,0,832,832,0,4,5,127,229,440,8,1,0,0,1,3,2,6,1,1,0,1,0,3,832
116,"P.S. SHAHPUR ABDULBARI ROOM 1",454,429,0,883,346,315,0,661,661,0,3,3,229,241,144,3,2,0,2,1,16,0,4,1,2,4,3,0,3,661
117,"P.S. ASGARIPUR ROOM 1",316,308,0,624,294,273,0,567,567,0,0,1,14,549,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,567
118,"P.S. SHEKHUPURA INTJAM ALI KHAN ROOM 1",471,434,0,905,372,303,0,675,675,0,1,2,43,621,2,1,0,0,0,0,0,0,0,0,0,3,0,0,2,675
119,"P.S. SHERPUR ETMADPUR ROOM 1",378,328,0,706,311,256,0,567,567,0,0,6,188,354,11,1,0,0,0,0,2,0,0,1,3,1,0,0,0,567
120,"P.S. MADHUBA KHALSA ROOM 1",517,466,0,983,395,356,0,751,751,0,2,6,84,538,102,0,1,0,2,0,1,0,1,1,0,3,2,0,8,751
121,"P.S. FOLDA PATTI ROOM 1",739,621,0,1360,561,481,0,1042,1042,0,5,2,282,551,76,0,3,2,2,0,100,1,2,2,7,3,1,1,2,1042
122,"P.S. SANJERPUR SULTANPUR ROOM 1",304,278,0,582,253,226,0,479,479,0,0,0,61,210,199,2,1,0,0,0,1,0,3,0,1,0,0,0,1,479
123,"P.S. ADELPUR JOGI SIHALI ROOM 1",495,434,0,929,420,336,0,756,756,0,2,1,13,709,15,1,0,0,1,2,0,0,0,0,6,1,0,0,5,756
124,"P.S. SIMLA  ROOM 1",317,279,0,596,282,249,0,531,531,0,3,2,13,500,6,0,1,0,0,1,0,0,0,0,5,0,0,0,0,531
125,"P.S. MUNDHA KHEDI ROOM 1",596,544,0,1140,402,348,0,750,750,0,1,5,36,587,107,1,0,0,0,1,3,0,1,0,3,2,1,1,1,750
126,"P.S. NYA BHABAN TELIPURA KHALSA ROOM 1",294,304,0,598,256,254,0,510,510,0,0,4,134,364,1,0,0,0,0,0,1,0,0,1,0,0,0,1,4,510
127,"P.S. DHAKI ROOM 1",589,517,0,1106,449,406,0,855,855,0,4,5,147,461,204,2,2,1,0,2,2,1,2,5,10,3,0,1,3,855
128,"P.S. AKBARPUR SIHALI ROOM 1",442,378,0,820,321,273,0,594,594,0,1,0,119,227,224,0,0,0,1,1,0,1,1,1,4,0,2,4,8,594
129,"P.S. NYA BHABAN ALIPURA KHALSA ROOM 1",703,587,0,1290,510,426,0,936,936,0,3,5,89,430,225,4,0,4,1,7,132,2,8,3,10,4,3,1,5,936
130,"P.S. CHEJLEET ROOM 3",503,448,0,951,359,345,0,704,704,0,5,4,27,119,339,3,2,1,1,1,187,2,3,2,1,3,1,1,2,704
131,"P.S. CHEJLEET ROOM 1",350,325,0,675,224,206,0,430,430,0,0,8,20,102,228,0,0,1,0,0,64,1,1,2,2,1,0,0,0,430
132,"J.H.S RAMNAGAR ORF RAMPURA ROOM 1",412,378,0,790,376,342,0,718,718,0,0,0,3,708,4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,718
133,"JATAB DHARAMSHALA ROOM 1",810,687,0,1497,560,475,0,1035,1035,0,1,5,274,464,180,1,1,2,1,5,82,4,1,0,6,1,2,0,5,1035
134,"P.S. BHIKANPUR ASDALPUR ROOM 1",817,689,0,1506,534,472,0,1006,1006,0,9,6,34,328,307,1,0,3,2,3,284,18,0,1,3,1,1,3,2,1006
135,"P.S. MAHENDRY SIKANDARPUR ROOM 1",272,239,0,511,238,229,0,467,467,0,1,1,3,459,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,467
136,"P.S. RASOOLPUR CHOHRA ROOM 1",868,718,0,1586,604,551,0,1155,1155,0,2,4,135,19,946,4,0,0,0,1,31,2,0,2,0,5,0,0,4,1155
137,"P.S. RASOOLPUR CHOHRA ROOM 2",396,335,0,731,298,258,0,556,556,0,1,1,132,9,385,4,0,2,0,0,13,0,0,3,1,2,1,0,2,556
138,"P.S. SAMADPUR BUNIYADPUR ROOM 1",246,221,0,467,199,143,0,342,342,0,0,5,5,260,64,0,0,1,0,0,4,0,0,0,1,2,0,0,0,342
139,"KANYA P.S. SADARPUR MATLABPUR ROOM 1",625,577,0,1202,424,395,0,819,819,0,5,2,7,522,267,2,0,1,0,0,0,1,3,1,5,1,0,0,2,819
140,"KANYA P..S. SADARPUR MATLABPUR ROOM 2",665,575,0,1240,549,437,0,986,986,0,2,6,407,379,146,5,0,0,1,1,6,2,4,5,1,0,2,8,11,986
141,"J.H.S. KHALILPUR AMRU ROOM 1",532,494,0,1026,360,349,0,709,709,0,0,2,11,507,88,5,1,0,0,2,26,56,3,2,3,1,0,0,2,709
142,"J.H.S. KURIRABANA ROOM 1",566,516,0,1082,419,356,0,775,775,0,1,4,264,466,9,1,0,0,0,2,3,0,2,2,7,2,1,0,11,775
143,"J.H.S. KURIRABANA ROOM 2",671,578,0,1249,474,361,0,835,835,0,3,3,195,322,121,5,0,1,2,1,170,1,2,2,2,1,0,0,4,835
144,"J.H.S. KURIRABANA ROOM 3",842,732,0,1574,546,444,0,990,990,0,6,4,30,221,196,4,1,4,0,2,504,5,2,1,3,3,0,2,2,990
145,"P.S. KHUSHALPUR ROOM 1",752,694,0,1446,590,564,0,1154,1154,0,5,3,170,509,389,5,3,4,1,4,9,1,8,6,7,9,7,4,10,1154
146,"P.S. KARANPUR HARKISHANPUR ROOM 1",351,301,0,652,328,242,0,570,570,0,1,1,31,456,49,1,0,1,0,3,7,1,7,2,2,5,0,1,2,570
147,"J.H.S. BERAMPUR ROOM 1",696,607,0,1303,595,471,0,1066,1066,0,3,13,197,666,158,1,0,3,0,0,13,1,2,4,3,0,1,0,1,1066
148,"P.S. KISHANPUR ROOM 1",271,248,0,519,216,209,0,425,425,0,0,0,169,248,1,0,0,0,0,0,0,0,1,1,1,0,1,0,3,425
149,"P.S. PACHOKRA KHANPUR ROOM 1",653,559,0,1212,525,444,0,969,969,0,1,8,193,542,199,0,0,0,0,0,17,2,3,1,0,2,1,0,0,969
