"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANIL SHUKLA WARSI","2 - DEVENDRA SINGH BHOLE SINGH","3 - RAJARAM PAL","4 - LAL SINGH TOMAR","5 - AMAR SINGH","6 - ARVIND KUMAR","7 - DR. OMKAR NATH KATIYAR","8 - GOPI RAMAN","9 - JASWANT SINGH","10 - DR. BAJARANG PRATAP SONKAR","11 - RAMA KANT VERMA","12 - RAMENDRA SINGH TOMAR","13 - ASHOK YADAV","14 - NEERAJ KUMAR ADVOCATE","15 - BHARTI DEVI PASI ADVOCATE","16 - MUNNI DEVI","17 - RAM SEVAK","18 - VIJAY KUMAR SHARMA","19 - None of the Above","Total Votes Secured"
27,"SARSWATI GYAN MANDIR I.COLLAGE INDRA NAGAR KALYANPUR ROOM NO.6",627,521,0,1148,313,249,0,562,114,0,26,438,46,30,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,562
28,"SARSWATI GYAN MANDIR I.COLLAGE INDRA NAGAR KALYANPUR ROOM NO.7",579,518,0,1097,286,252,0,538,538,0,55,370,57,29,0,25,1,0,0,0,0,0,0,0,0,0,0,0,1,538
29,"PRA.VIDHYALAYA ROOM NO.1 BARRY AKBARPUR",662,529,0,1191,284,262,0,546,478,0,23,410,57,30,2,18,0,0,1,0,0,0,0,0,0,0,0,2,3,546
30,"PRA.VIDHYALAYA ROOM NO.2 BARRY AKBARPUR",667,667,0,1334,384,300,0,684,684,0,301,132,139,79,0,19,0,0,0,0,0,1,2,2,1,6,2,0,0,684
31,"PRA.VIDHYALAYA ROOM NO.3 BARRY AKBARPUR",679,559,0,1238,344,232,0,576,33,0,212,257,72,25,0,5,0,0,0,0,0,0,2,0,1,0,1,0,1,576
32,"SHATRUDHAN SINGH I.BOYS COLLAGE PURANA SHIVALI ROAD KALYANPUR ROOM NO.1",799,660,0,1459,405,259,0,664,201,0,51,463,61,71,0,7,0,0,1,0,0,7,1,0,1,0,0,1,0,664
33,"SHATRUDHAN SINGH I.BOYS COLLAGE PURANA SHIVALI ROAD KALYANPUR ROOM NO.2",552,487,1,1040,277,214,0,491,450,0,43,345,46,46,0,6,0,0,1,0,1,1,1,0,0,0,0,0,1,491
34,"SHATRUDHAN SINGH I.BOYS COLLAGE PURANA SHIVALI ROAD KALYANPUR ROOM NO.3",803,636,0,1439,411,295,0,706,405,0,92,464,47,75,0,11,0,0,0,0,0,5,0,0,1,3,1,4,3,706
35,"SHATRUDHAN SINGH I.BOYS COLLAGE PURANA SHIVALI ROAD KALYANPUR ROOM NO.4",534,457,0,991,246,203,0,449,434,0,40,305,28,51,1,4,0,0,0,0,1,3,0,0,0,0,1,11,4,449
36,"SHATRUDHAN SINGH I.BOYS COLLAGE PURANA SHIVALI ROAD KALYANPUR ROOM NO.5",381,328,0,709,196,153,0,349,256,0,34,264,16,23,0,3,0,0,1,1,0,3,1,0,1,1,0,0,1,349
37,"DR. NARENDRA SARASWATI SIKSHA NIKETAN ROOM NO.1",668,577,0,1245,307,289,0,596,589,0,36,448,42,49,0,1,0,0,1,0,0,6,1,1,0,1,0,8,2,596
38,"DR. NARENDRA SARASWATI SIKSHA NIKETAN ROOM NO.2",826,639,0,1465,407,272,0,679,248,0,71,453,73,61,0,7,0,0,0,1,0,4,0,0,1,1,1,5,1,679
39,"JAWAHAR LAL NEHRU I.COLLAGE KALYANPUR ROOM NO.1",498,386,0,884,259,185,0,444,362,0,17,268,87,52,0,6,1,0,1,0,0,1,1,0,2,3,0,0,5,444
40,"JAWAHAR LAL NEHRU I.COLLAGE KALYANPUR ROOM NO.2",632,485,0,1117,298,207,0,505,487,0,63,352,28,52,1,3,0,2,0,1,0,1,1,0,0,1,0,0,0,505
41,"JAWAHAR LAL NEHRU I.COLLAGE KALYANPUR ROOM NO.3",746,609,1,1356,373,282,0,655,437,0,60,373,134,66,2,6,0,0,0,0,2,2,0,1,4,2,1,2,0,655
42,"JAWAHAR LAL NEHRU I.COLLAGE KALYANPUR ROOM NO.4",723,587,1,1311,317,220,0,537,475,0,59,345,73,37,0,7,2,0,1,2,1,2,3,0,2,2,0,0,1,537
43,"JAWAHAR LAL NEHRU I.COLLAGE KALYANPUR ROOM NO.5",534,388,0,922,278,169,0,447,333,275,59,275,54,39,0,9,0,0,2,0,0,3,0,0,4,0,0,0,2,447
44,"LAXMI BAI SARASWATI VIDHYA MANDIR JU.HA. SCHOOL ROOM NO.1",428,370,0,798,216,194,0,410,245,0,52,262,51,18,0,22,0,0,0,0,0,0,0,0,0,0,0,0,5,410
45,"LAXMI BAI SARASWATI VIDHYA MANDIR JU.HA. SCHOOL ROOM NO.2",444,411,0,855,210,177,0,387,365,0,48,250,40,26,0,16,0,0,0,0,0,0,1,0,0,0,0,5,1,387
46,"LAXMI BAI SARASWATI VIDHYA MANDIR JU.HA. SCHOOL ROOM NO.3",624,498,0,1122,297,264,0,561,558,0,58,362,68,28,1,28,0,0,0,0,0,2,3,1,2,0,1,2,5,561
47,"CHANDRAWATI SARASWATI VI.NI. I. COLLAGE NAI BASTI NAYA SHIVALI ROAD ROOM NO.1",739,591,0,1330,309,215,0,524,450,0,63,359,36,39,1,7,0,0,0,0,0,11,0,0,3,1,1,0,3,524
48,"CHANDRAWATI SARASWATI VI.NI. I. COLLAGE NAI BASTI NAYA SHIVALI ROAD ROOM NO.2",791,615,0,1406,337,265,0,602,437,0,110,385,40,50,0,8,0,0,0,0,0,1,0,1,1,2,1,2,1,602
49,"SIDDHARTH PUBLIC SCHOOL ROOM NO.1",536,438,0,974,213,158,0,371,354,0,61,224,28,50,0,5,0,0,0,0,0,1,0,0,1,0,0,0,1,371
50,"SIDDHARTH PUBLIC SCHOOL ROOM NO.2",362,283,0,645,149,112,0,261,251,0,24,181,25,24,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,261
51,"CHANDRAWATI SARASWATI VI.NI. I. COLLAGE NAI BASTI NAYA SHIVALI ROAD ROOM NO.3",699,518,0,1217,265,154,0,419,151,0,67,263,32,48,1,4,0,0,1,0,0,1,0,0,1,0,0,0,1,419
52,"CHANDRAWATI SARASWATI VI.NI. I. COLLAGE NAI BASTI NAYA SHIVALI ROAD ROOM NO.4",348,283,0,631,140,94,0,234,200,0,29,149,24,23,0,7,0,0,0,0,0,1,0,0,1,0,0,0,0,234
53,"CHANDRAWATI SARASWATI VI.NI. I. COLLAGE NAI BASTI NAYA SHIVALI ROAD ROOM NO.5",626,457,0,1083,210,173,0,383,363,0,30,232,40,71,0,5,0,1,0,0,0,0,0,1,1,1,0,0,1,383
54,"CHANDRAWATI SARASWATI VI.NI. I. COLLAGE NAI BASTI NAYA SHIVALI ROAD ROOM NO.6",575,448,0,1023,262,203,0,465,400,0,68,297,49,36,1,5,0,0,0,0,1,1,0,1,0,1,1,1,3,465
55,"DR. NARENDRA SARASWATI SIKSHA NIKETAN ROOM NO.3",837,633,0,1470,339,244,0,583,562,0,92,409,37,35,0,5,0,0,0,0,0,1,0,0,2,0,0,1,1,583
56,"DR. NARENDRA SARASWATI SIKSHA NIKETAN ROOM NO.4",890,744,0,1634,364,244,0,608,381,0,77,413,46,60,0,4,2,0,0,0,1,0,0,0,2,0,1,1,1,608
57,"DR. NARENDRA SARASWATI SIKSHA NIKETAN ROOM NO.5",711,578,0,1289,330,256,0,586,134,0,60,390,55,53,0,7,0,0,0,0,1,9,1,2,1,1,1,1,4,586
58,"PRA. VIDHYALAYA BARASIROHI ROOM NO.1",712,544,0,1256,427,215,0,642,220,0,230,273,65,35,0,3,1,0,0,0,1,1,0,3,9,11,3,5,2,642
59,"PRA. VIDHYALAYA BARASIROHI ROOM NO.2",606,505,0,1111,254,187,0,441,434,0,88,243,63,26,1,9,0,0,0,0,0,2,1,1,2,3,0,1,1,441
60,"ONS OXFORD SCHOOL WAKEEL NAGAR BARASIROHI ROOM NO.1",790,603,0,1393,414,253,0,667,607,0,76,388,123,62,2,6,0,0,0,0,0,2,0,0,3,0,0,3,2,667
61,"ONS OXFORD SCHOOL WAKEEL NAGAR BARASIROHI ROOM NO.2",774,659,0,1433,297,231,0,528,528,0,74,293,111,38,1,3,0,0,0,0,0,1,0,1,2,1,1,0,2,528
62,"S.L. EDUCATION CENTER BARASIROHI ROOM NO.1",720,559,0,1279,389,256,0,645,89,0,123,277,144,76,0,16,0,0,0,0,0,0,0,2,1,2,0,2,2,645
63,"S.L. EDUCATION CENTER BARASIROHI ROOM NO.2",801,624,0,1425,325,263,0,588,576,0,62,350,127,31,1,5,0,0,0,0,1,0,1,3,3,2,0,0,2,588
64,"S.L. EDUCATION CENTER BARASIROHI ROOM NO.3",660,524,0,1184,297,227,0,524,522,0,74,348,48,37,0,8,0,0,0,0,0,0,0,1,0,3,2,0,3,524
65,"SHAHID CHANDRASHEKHAR AZAD I.KA.RATANPUR COLONY R.NO.1",765,595,0,1360,320,177,0,497,300,0,54,335,58,31,0,14,0,0,0,0,0,1,0,0,1,1,0,1,1,497
66,"SHAHID CHANDRASHEKHAR AZAD I.KA.RATANPUR COLONY R.NO.2",851,650,0,1501,448,295,0,743,430,0,80,480,74,63,0,13,1,0,0,1,0,14,4,2,1,7,0,0,3,743
67,"SHAHID CHANDRASHEKHAR AZAD I.KA.RATANPUR COLONY R.NO.3",693,534,0,1227,334,272,0,606,465,429,57,429,57,40,0,10,1,0,0,0,1,1,3,0,4,0,0,1,2,606
68,"SHAHID CHANDRASHEKHAR AZAD I.KA.RATANPUR COLONY R.NO.4",786,645,0,1431,377,270,0,647,627,0,63,426,57,52,0,24,1,2,1,1,0,7,2,0,1,5,0,3,2,647
69,"SHAHID CHANDRASHEKHAR AZAD I.KA.RATANPUR COLONY R.NO.5",675,583,0,1258,275,249,0,524,500,0,48,346,84,27,1,8,0,0,1,0,0,1,0,0,3,0,0,1,4,524
70,"SHAHID CHANDRASHEKHAR AZAD I.KA.RATANPUR COLONY R.NO.6",857,642,0,1499,456,329,0,785,676,0,119,486,77,82,0,9,1,0,0,0,0,1,1,1,2,5,0,1,0,785
71,"MA SARASWATI VIDHYALAYA SAINIK SCHOOL RATANPUR COLONY R.NO.1",866,584,0,1450,366,215,0,581,513,0,48,385,83,47,0,12,0,0,1,0,1,1,0,1,0,1,0,0,1,581
72,"MA SARASWATI VIDHYALAYA SAINIK SCHOOL RATANPUR COLONY R.NO.2",1061,807,0,1868,521,385,0,906,458,0,62,647,91,56,0,26,0,0,1,0,1,8,2,1,0,4,0,6,1,906
73,"KAILASHI DEVI PRAGATISHEEL U.MA.VI. RATANPUR COLONY PANKI R.NO.1",756,597,0,1353,307,240,0,547,543,0,52,382,63,33,0,11,0,0,0,0,0,0,2,0,0,0,0,4,0,547
74,"KAILASHI DEVI PRAGATISHEEL U.MA.VI. RATANPUR COLONY PANKI R.NO.2",559,443,0,1002,201,156,0,357,25,0,36,256,31,22,0,5,2,0,0,0,0,1,0,1,0,1,0,0,2,357
75,"KAILASHI DEVI PRAGATISHEEL U.MA.VI. RATANPUR COLONY PANKI R.NO.3",520,394,0,914,225,138,0,363,358,0,28,227,46,43,0,8,0,1,0,1,0,2,1,1,0,0,1,2,2,363
76,"KAILASHI DEVI PRAGATISHEEL U.MA.VI. RATANPUR COLONY PANKI R.NO.4",792,631,0,1423,389,301,0,690,606,0,202,380,40,17,1,14,1,0,4,1,0,4,2,4,4,7,2,5,2,690
77,"PRA.VIDHYALAYA GAMBHIRPUR R.NO.1",523,438,0,961,324,205,0,529,517,0,120,185,24,182,1,2,0,0,0,0,0,2,2,0,4,0,2,4,1,529
78,"PRA.VIDHYALAYA GAMBHIRPUR R.NO.2",771,636,0,1407,467,329,0,796,520,0,190,463,56,59,1,2,1,0,1,1,1,1,2,3,2,7,1,3,2,796
79,"CHAUDHARY MANBAHAL SIKSHA NIKETAN KAPILI",427,326,0,753,317,191,0,508,497,0,102,220,96,83,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,508
80,"POORVA MA. VIDHYALAYA PANKI KATRA R.NO.1",623,454,0,1077,375,230,0,605,590,0,103,394,61,18,2,8,0,0,0,1,2,0,0,2,4,2,4,1,3,605
81,"POORVA MA. VIDHYALAYA PANKI KATRA R.NO.2",391,313,0,704,192,120,0,312,284,0,56,184,31,30,0,4,1,0,0,0,1,0,1,0,2,0,1,1,0,312
82,"POORVA MA. VIDHYALAYA PANKI KATRA R.NO.3",594,470,0,1064,366,225,0,591,587,0,95,421,37,21,2,8,0,0,0,0,0,0,0,0,4,1,0,1,1,591
83,"BHOLA SINGH KANYA I.COLLAGE PANKI GANGAGANJ R.NO.1",782,606,0,1388,406,255,0,661,655,0,88,425,60,70,0,6,0,0,0,1,1,1,0,1,1,1,3,2,1,661
84,"BHOLA SINGH KANYA I.COLLAGE PANKI GANGAGANJ R.NO.2",791,619,0,1410,314,303,0,617,465,0,111,314,109,59,0,10,0,0,0,0,0,0,0,0,1,2,1,3,7,617
85,"BHOLA SINGH KANYA I.COLLAGE PANKI GANGAGANJ R.NO.3",547,443,0,990,236,195,0,431,163,0,34,300,53,30,0,8,0,0,0,0,0,0,1,1,0,3,1,0,0,431
86,"BHOLA SINGH KANYA I.COLLAGE PANKI GANGAGANJ R.NO.4",607,420,0,1027,313,180,0,493,360,0,48,358,31,44,0,5,0,0,0,0,0,0,2,0,2,0,0,1,2,493
87,"BHOLA SINGH KANYA I.COLLAGE PANKI GANGAGANJ R.NO.5",449,387,0,836,244,193,0,437,437,0,67,253,27,53,0,5,0,2,1,3,0,3,1,5,6,8,1,2,0,437
88,"BHOLA SINGH KANYA I.COLLAGE PANKI GANGAGANJ R.NO.6",633,478,0,1111,219,151,0,370,164,0,33,262,42,22,0,5,0,0,0,0,0,0,0,0,0,0,0,3,3,370
89,"BHOLA SINGH KANYA I.COLLAGE PANKI GANGAGANJ R.NO.7",496,372,0,868,223,155,0,378,370,0,22,264,47,38,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,378
90,"BHOLA SINGH KANYA I.COLLAGE PANKI GANGAGANJ R.NO.8",703,579,0,1282,293,270,0,563,541,0,34,374,51,88,1,2,0,0,0,0,0,0,0,1,1,1,1,7,2,563
91,"BHOLA SINGH KANYA I.COLLAGE PANKI GANGAGANJ R.NO.9",772,580,0,1352,402,293,0,695,695,0,55,511,56,40,0,6,2,0,0,0,0,2,0,0,4,3,2,5,9,695
92,"POORVA MA.VI. GANGAGANJ ROOM NO.1",704,595,0,1299,360,284,0,644,90,0,68,442,54,64,0,9,2,0,0,1,0,0,0,1,1,0,0,2,0,644
93,"POORVA MA.VI. GANGAGANJ ROOM NO.2",573,474,0,1047,300,242,0,542,276,0,92,346,54,38,1,7,0,0,0,0,0,0,0,0,2,0,0,0,2,542
94,"GAJANAN SARASWATI HA.SE. SCHOOL AWAS VIKAS YOJANA NO.3 ROOM NO.1",527,464,0,991,305,244,0,549,544,0,30,406,53,35,1,16,0,0,1,0,1,1,0,0,0,1,0,1,3,549
95,"GAJANAN SARASWATI HA.SE. SCHOOL AWAS VIKAS YOJANA NO.3 ROOM NO.2",454,400,0,854,262,220,0,482,471,0,54,312,51,44,0,7,1,0,1,0,0,4,2,0,2,1,1,1,1,482
96,"GAJANAN SARASWATI HA.SE. SCHOOL AWAS VIKAS YOJANA NO.3 ROOM NO.3",685,611,0,1296,402,333,0,735,734,0,48,528,96,39,0,14,1,1,0,0,1,3,0,0,1,1,0,0,2,735
97,"GAJANAN SARASWATI HA.SE. SCHOOL AWAS VIKAS YOJANA NO.3 ROOM NO.4",716,574,0,1290,491,256,0,747,740,0,81,470,132,36,0,19,2,0,0,0,0,2,0,1,1,2,0,1,0,747
98,"KANPUR SIKSHA NIKETAN AWAS VIKAS YOJANA NO.3 ROOM NO.1",477,392,0,869,299,182,0,481,477,0,71,359,26,8,0,13,0,0,0,0,0,0,0,0,1,0,1,2,0,481
99,"KANPUR SIKSHA NIKETAN AWAS VIKAS YOJANA NO.3 ROOM NO.2",457,429,0,886,261,223,0,484,481,0,50,354,49,9,0,15,0,0,1,0,1,0,0,0,0,0,0,0,5,484
100,"KANPUR SIKSHA NIKETAN AWAS VIKAS YOJANA NO.3 HAAL POORVI",413,357,0,770,259,203,0,462,368,0,51,289,63,24,0,22,1,0,0,0,0,1,1,1,1,1,0,3,4,462
101,"KANPUR SIKSHA NIKETAN AWAS VIKAS YOJANA NO.3 HAAL PASCHIMI",640,564,0,1204,353,312,0,665,527,0,31,502,66,41,0,13,0,0,0,1,0,0,0,0,1,0,1,5,4,665
102,"MOHANI B. MANWANI GIRLS DIGREE COLLAGE AWAS VIKAS YOJANA NO.3 R.NO.1",579,473,0,1052,313,239,0,552,452,0,94,335,74,37,0,7,0,0,0,1,0,0,0,0,1,0,1,0,2,552
103,"MOHANI B. MANWANI GIRLS DIGREE COLLAGE AWAS VIKAS YOJANA NO.3 HAAL POORVI",594,555,0,1149,338,276,0,614,515,0,76,395,67,44,0,21,0,0,0,0,1,0,0,0,1,2,0,1,6,614
104,"MOHANI B. MANWANI GIRLS DIGREE COLLAGE AWAS VIKAS YOJANA NO.3 R.NO.2",619,579,0,1198,292,230,0,522,516,0,61,359,53,18,1,24,1,0,0,0,0,0,0,0,1,1,0,0,3,522
105,"MOHANI B. MANWANI GIRLS DIGREE COLLAGE AWAS VIKAS YOJANA NO.3 R.NO.3",787,564,0,1351,339,246,0,585,562,0,50,415,65,22,1,21,0,0,0,0,0,4,1,0,0,1,1,3,1,585
106,"MOHANI B. MANWANI GIRLS DIGREE COLLAGE AWAS VIKAS YOJANA NO.3 R.NO.4",917,759,0,1676,434,340,0,774,744,0,135,479,85,32,0,35,1,0,0,0,0,0,1,1,2,1,0,0,2,774
107,"MOHANI B. MANWANI GIRLS DIGREE COLLAGE AWAS VIKAS YOJANA NO.3 HAAL PASCHIMI",1048,932,0,1980,536,491,0,1027,825,0,169,662,100,54,1,23,0,0,1,1,0,1,0,1,0,2,2,4,6,1027
108,"MOHANI B. MANWANI GIRLS DIGREE COLLAGE AWAS VIKAS YOJANA NO.3 R.NO.5",863,760,0,1623,406,346,0,752,731,0,101,502,88,27,1,21,0,0,1,0,1,0,0,1,1,0,0,2,6,752
109,"MOHANI B. MANWANI GIRLS DIGREE COLLAGE AWAS VIKAS YOJANA NO.3 R.NO.6",767,645,0,1412,402,310,0,712,650,0,79,467,77,35,1,32,0,0,1,0,2,8,2,0,3,1,0,0,4,712
110,"PRA. KANYA VIDHYALAYA KALYANPUR KHURD R.NO.1",454,392,0,846,262,205,0,467,451,0,51,357,19,34,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,467
111,"PRA. KANYA VIDHYALAYA KALYANPUR KHURD R.NO.2",596,486,0,1082,320,248,0,568,563,0,38,453,21,43,0,8,0,0,0,0,0,1,1,0,0,1,0,0,2,568
112,"PRA. KANYA VIDHYALAYA KALYANPUR KHURD R.NO.3",646,562,0,1208,245,209,0,454,349,0,35,341,23,37,0,12,0,0,0,0,1,3,0,0,0,1,0,0,1,454
113,"KAILASH SARASWATI I.COLLAGE KAILASH BIHAR KALYANPUR R.NO.1",629,500,0,1129,243,177,0,420,373,0,33,314,44,18,0,3,0,0,0,0,0,0,0,0,0,3,1,2,2,420
114,"KAILASH SARASWATI I.COLLAGE KAILASH BIHAR KALYANPUR R.NO.2",1145,846,0,1991,585,392,0,977,656,0,101,653,91,93,0,20,0,0,0,0,0,2,0,0,2,0,4,6,5,977
115,"KAILASH SARASWATI I.COLLAGE KAILASH BIHAR KALYANPUR R.NO.3",393,302,0,695,222,163,0,385,224,0,27,236,64,43,1,10,0,0,0,0,0,0,0,0,1,0,0,2,1,385
116,"KAILASH SARASWATI I.COLLAGE KAILASH BIHAR KALYANPUR R.NO.4",809,660,0,1469,373,371,0,744,679,0,78,527,52,55,1,19,0,0,0,0,1,3,0,1,0,2,0,2,3,744
117,"KAILASH SARASWATI I.COLLAGE KAILASH BIHAR KALYANPUR R.NO.5",623,499,0,1122,294,242,0,536,6,0,50,395,29,50,0,6,0,0,0,0,0,2,0,0,1,0,0,1,2,536
118,"KAILASH SARASWATI I.COLLAGE KAILASH BIHAR KALYANPUR R.NO.6",482,431,0,913,225,209,0,434,383,0,55,305,45,11,0,14,0,0,0,0,0,0,0,0,0,1,0,0,3,434
119,"MAHARANA PRATAP EDUCATION CENTER SATYAM VIHAR ROOM NO.1",960,774,0,1734,409,369,0,778,608,0,99,511,91,32,1,32,0,0,0,0,0,3,2,0,0,0,1,2,4,778
120,"MAHARANA PRATAP EDUCATION CENTER SATYAM VIHAR ROOM NO.2",976,869,0,1845,411,372,0,783,703,0,149,514,58,28,0,18,0,0,0,0,1,0,4,2,0,3,0,0,6,783
121,"MAHARANA PRATAP EDUCATION CENTER SATYAM VIHAR ROOM NO.3",969,797,0,1766,522,441,0,963,505,0,105,687,73,39,0,36,0,1,0,0,0,0,7,0,0,2,2,6,5,963
122,"MAHARANA PRATAP EDUCATION CENTER SATYAM VIHAR ROOM NO.4",894,789,0,1683,430,413,0,843,644,0,90,554,108,39,0,22,0,0,0,0,0,0,1,4,0,0,2,11,12,843
123,"MAHARANA PRATAP EDUCATION CENTER SATYAM VIHAR ROOM NO.5",709,568,0,1277,255,218,0,473,237,0,75,317,40,15,0,17,0,1,0,1,0,1,1,0,1,0,0,0,4,473
124,"MAHARANA PRATAP EDUCATION CENTER SATYAM VIHAR ROOM NO.6",596,530,0,1126,247,230,0,477,240,0,69,315,45,15,2,16,0,1,1,0,0,2,0,0,1,1,4,0,5,477
