"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANIL SHUKLA WARSI","2 - DEVENDRA SINGH BHOLE SINGH","3 - RAJARAM PAL","4 - LAL SINGH TOMAR","5 - AMAR SINGH","6 - ARVIND KUMAR","7 - DR. OMKAR NATH KATIYAR","8 - GOPI RAMAN","9 - JASWANT SINGH","10 - DR. BAJARANG PRATAP SONKAR","11 - RAMA KANT VERMA","12 - RAMENDRA SINGH TOMAR","13 - ASHOK YADAV","14 - NEERAJ KUMAR ADVOCATE","15 - BHARTI DEVI PASI ADVOCATE","16 - MUNNI DEVI","17 - RAM SEVAK","18 - VIJAY KUMAR SHARMA","19 - None of the Above","Total Votes Secured"
15,"JR. H. SCHOOL BAKUNTHPUR ROOM NO.2",585,441,0,1026,323,219,0,542,542,0,117,278,97,36,1,0,0,0,0,1,0,4,1,0,1,3,1,1,1,542
16,"JR. H. SCHOOL BAKUNTHPUR ROOM NO.3",308,233,0,541,167,108,0,275,275,0,49,93,48,75,0,1,0,0,0,1,0,0,1,0,3,3,1,0,0,275
17,"PR. SCHOOL ISHWARIGANJ ROOM NO.1",682,564,0,1246,473,354,0,827,827,0,333,194,64,200,2,2,0,2,0,1,2,0,1,1,6,15,2,0,2,827
18,"PR. SCHOOL HRIDEYPUR ROOM NO.1",443,359,0,802,307,221,0,528,528,0,83,137,164,126,1,0,0,1,0,1,0,1,2,2,3,6,0,0,1,528
19,"PR. SCHOOL CHIRAN ROOM NO.1",372,321,0,693,277,186,0,463,463,0,43,181,45,154,2,2,0,0,0,0,0,0,1,3,2,4,5,9,12,463
20,"PR. SCHOOL  KHYORA KATRI ROOM NO.",732,543,0,1275,500,400,0,900,900,0,97,253,254,257,2,5,1,0,1,1,0,4,3,3,7,7,1,2,2,900
21,"PR. SCHOOL KHYORA KATRI ROOM NO.2",701,578,0,1279,360,313,0,673,673,0,55,346,154,81,1,2,1,1,2,2,0,0,3,4,6,13,0,1,1,673
22,"PR. SCHOOL KATRI LODHWA KHERA ROOM NO.1",899,685,0,1584,599,420,0,1019,1019,0,383,140,32,421,3,5,1,0,1,0,3,0,1,1,3,14,6,1,4,1019
23,"PR. SCHOOL KATRI LODHWA KHERA ROOM NO.2",751,512,0,1263,437,226,0,663,663,0,134,200,13,296,0,1,1,2,0,1,0,0,2,0,4,9,0,0,0,663
24,"PR. SCHOOL SAMBHARPUR ROOM NO.1",495,360,0,855,284,189,0,473,473,0,71,241,93,47,2,1,1,0,0,0,0,1,2,2,5,1,3,2,1,473
25,"PR. SCHOOL HINDUPUR ROOM NO.1",313,266,0,579,205,134,0,339,339,0,14,200,31,79,3,0,0,0,1,0,0,0,2,2,5,2,0,0,0,339
26,"PR. SCHOOL HINDUPUR ROOM NO.2",652,496,0,1148,462,213,0,675,675,0,67,293,114,175,0,1,0,1,0,0,0,1,2,3,8,9,0,0,1,675
27,"PR. SCHOOL PRATAPPUR HARI ROOM NO.1",728,546,0,1274,503,285,0,788,788,0,172,265,106,212,2,1,3,0,2,1,0,2,0,2,6,8,4,1,1,788
28,"JR. H. SCHOOL SINGHPUR KACHHAR ROOM NO.1",657,558,0,1215,450,332,0,782,782,0,71,511,83,74,8,4,2,0,1,0,0,1,2,1,2,5,4,7,6,782
29,"JR. H. SCHOOL SINGHPUR KACHHAR ROOM NO.2",705,573,0,1278,468,300,0,768,768,0,118,451,73,82,2,17,0,1,1,1,0,0,0,3,4,2,1,8,4,768
30,"PR. VIDYALAY GHAMBHIRPUR KACHHAR ROOM NO.1",777,596,0,1373,468,318,0,786,786,0,154,340,30,237,3,1,1,0,1,0,1,0,2,2,8,4,1,0,1,786
31,"PR. SCHOOL HORA KACHHAR ROOM NO.1",685,543,0,1228,410,264,0,674,674,0,25,466,90,68,1,1,0,0,0,0,0,1,0,2,6,12,0,1,1,674
32,"JR. H. SCHOOL BAGDAUDHI BANGAR ROOM NO.1",964,736,0,1700,596,395,0,991,991,0,83,734,74,60,2,7,0,0,0,0,0,2,1,2,4,7,3,5,7,991
33,"JR. H. SCHOOL BAGDAUDHI BANGAR ROOM NO.2",437,412,0,849,273,219,0,492,492,0,9,156,123,190,2,4,0,0,0,1,0,3,0,1,1,2,0,0,0,492
34,"JR. H. SCHOOL BAGDAUDHI BANGAR ROOM NO.3",374,305,1,680,229,173,0,402,402,0,35,264,46,48,0,3,0,0,0,0,0,0,0,0,0,2,1,1,2,402
35,"JR. H. SCHOOL BAGDAUDHI BANGAR ROOM NO.4",728,631,0,1359,458,309,0,767,767,0,206,270,142,125,1,5,0,0,1,1,1,0,1,0,4,3,1,1,5,767
36,"PR. VIDYALAY MANDHNA (I) ROOM NO.1",322,269,0,591,240,160,0,400,400,0,62,83,222,24,0,0,1,0,0,1,1,0,1,0,3,2,0,0,0,400
37,"PR. VIDYALAY MANDHNA (I) ROOM NO.2",402,352,0,754,222,176,0,398,398,0,28,262,48,50,2,1,0,0,0,0,0,0,2,0,0,3,2,0,0,398
38,"PR. VIDYALAY MANDHNA (I) ROOM NO. 3",562,509,2,1073,394,221,0,615,615,0,67,347,67,101,1,1,0,2,2,0,0,1,1,0,1,3,4,8,9,615
39,"PR. SCHOOL PARGAHI BANGAR ROOM NO.1",446,375,0,821,307,218,0,525,525,0,46,284,164,20,0,2,0,0,0,1,0,1,0,2,0,1,0,0,4,525
40,"PR. SCHOOL PARGAHI BANGAR ROOM NO.2",425,378,1,804,266,197,0,463,463,0,38,281,57,80,0,3,0,0,0,0,1,0,0,0,2,0,1,0,0,463
41,"PR. SCHOOL HORA BANGAR ROOM NO.1",776,662,0,1438,499,419,0,918,918,0,250,417,157,23,1,14,0,1,0,0,0,0,0,5,3,10,15,9,13,918
42,"PR. SCHOOL LODHAR ROOM NO.1",543,417,0,960,341,210,0,551,551,0,46,203,132,156,0,7,0,0,0,0,0,0,1,0,0,2,3,1,0,551
43,"PR. SCHOOL KURSAULI ROOM NO.1",435,350,0,785,295,247,0,542,542,0,224,147,20,136,1,6,0,0,0,0,0,0,1,1,2,2,1,0,1,542
44,"PR. SCHOOL MAQSOODABAD ROOM NO.1",761,588,0,1349,524,290,0,814,814,0,105,392,171,121,0,5,1,0,0,1,2,5,1,2,3,1,0,1,3,814
45,"PR. SCHOOL MAQSOODABAD ROOM NO.2",735,613,0,1348,526,267,0,793,793,0,337,382,13,31,1,0,0,0,0,0,0,6,0,1,3,3,7,7,2,793
46,"PR. SCHOOL NAURANGABAD ROOM NO.1",529,459,0,988,352,273,0,625,625,0,138,235,141,92,1,2,0,1,0,0,0,5,1,0,2,0,4,2,1,625
47,"PR. SCHOOL LOHAR KHERA ROOM NO.1",294,223,0,517,223,155,0,378,378,0,73,208,12,64,1,0,0,0,0,0,2,0,2,6,4,5,0,1,0,378
48,"JR. H. SCHOOL TIKRA ROOM NO.1",552,476,0,1028,395,293,0,688,688,0,238,273,42,116,0,1,0,0,0,1,0,1,2,2,7,3,0,0,2,688
49,"JR. H. SCHOOL TIKRA ROOM NO.2",628,513,0,1141,431,293,0,724,724,0,181,293,72,135,1,2,2,0,1,1,0,1,0,2,7,11,3,7,5,724
50,"PR. VIDYALAYA NASENIYA ROOM NO.1",425,331,0,756,286,240,0,526,526,0,210,157,13,132,0,2,0,0,1,1,0,0,1,0,2,5,0,2,0,526
51,"POORV M. VIDYALAY RAIKEPUR ROOM NO.1",683,543,0,1226,423,207,0,630,630,0,105,240,121,130,1,3,1,0,1,0,1,0,1,2,5,4,3,4,8,630
52,"PR. VIDYALAY NIWARI  ROOM NO.1",268,251,0,519,172,164,0,336,336,0,122,54,7,147,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,336
53,"PR. VIDHYALAY JHARKHARA ROOM NO.1",292,251,0,543,210,158,0,368,368,0,120,114,40,85,0,0,0,0,0,0,0,0,1,1,2,2,0,1,2,368
54,"JR. H. SCHOOL RAUTEPUR ROOM NO.1",441,368,0,809,277,197,0,474,474,0,181,171,66,41,1,1,0,0,0,0,0,0,0,0,3,7,1,1,1,474
55,"JR. H. SCHOOL RAUTEPUR ROOM NO.2",467,395,0,862,206,127,0,333,333,0,212,77,2,34,0,0,0,0,0,0,0,0,0,1,0,2,0,2,3,333
56,"U.M.VIDYALAY SURAR ROOM NO.1",787,630,0,1417,496,316,0,812,812,0,342,303,26,127,1,2,1,0,1,0,0,0,1,0,3,2,1,1,1,812
57,"PR. VIDYALAY PIPRA ROOM NO.1",727,672,0,1399,528,413,0,941,941,0,232,135,304,246,3,1,0,0,3,1,0,1,2,0,0,4,3,2,4,941
58,"PR. SCHOOL BAHERA ROOM NO.1",418,350,0,768,302,180,0,482,482,0,188,150,39,94,2,5,0,0,1,0,0,0,0,0,3,0,0,0,0,482
59,"PR. SCHOOL LAU KA PURWA ROOM NO.1",178,155,0,333,137,111,0,248,248,0,19,37,133,53,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,248
60,"KANYA PR. PATHSHALA DOOL ROOM NO.1",611,475,1,1087,435,274,0,709,709,0,239,378,17,59,1,1,0,0,1,0,0,4,0,1,3,3,2,0,0,709
61,"KANYA PR. PATHSHALA DOOL ROOM NO.2",324,265,0,589,216,155,0,371,371,0,146,185,3,25,1,1,1,0,0,1,0,0,1,0,3,4,0,0,0,371
62,"PR. VIDYALAY HETPUR  ROOM NO.1",750,552,0,1302,547,360,0,907,907,0,185,59,122,511,4,0,0,0,1,1,1,1,2,1,4,9,3,0,3,907
63,"PR. SCHOOL BHOOL ROOM NO.1",510,376,0,886,269,217,0,486,486,0,202,213,14,46,1,1,0,0,0,0,0,0,0,2,2,4,1,0,0,486
64,"PR. SCHOOL MANGALIPUR ROOM NO.1",397,296,0,693,288,182,0,470,470,0,221,161,13,61,0,0,1,0,0,0,1,1,1,1,1,4,3,1,0,470
65,"JR. H. SCHOOL BHISIJARIGAON ROOM NO.1",681,577,1,1259,483,335,0,818,818,0,214,255,84,244,2,3,0,0,0,0,1,4,1,1,2,3,1,1,2,818
66,"PR. SCHOOL NAKTU ROOM NO.1",834,644,0,1478,496,271,0,767,767,0,282,308,64,66,1,2,2,2,2,1,0,1,1,1,6,7,11,7,3,767
67,"PR. PATHSHALA DHARMANGADPUR ROOM NO.1",676,567,0,1243,451,320,0,771,771,0,135,555,18,32,0,1,0,0,1,0,3,3,2,3,6,4,2,5,1,771
68,"PR. PATHSHALA DHARMANGADPUR ROOM NO.2",707,571,0,1278,447,280,0,727,727,0,232,394,10,55,1,2,0,1,3,3,0,4,2,3,7,4,2,2,2,727
69,"PR. PATHSHALA KATRA GHANSHYAM ROOM NO.1",674,587,0,1261,433,353,0,786,786,0,67,574,10,116,0,0,1,0,0,1,0,1,2,4,5,2,0,3,0,786
70,"PR. PATHSHALA PAKRI ROOM NO.1",538,422,0,960,394,313,0,707,707,0,122,368,25,165,0,0,1,0,0,0,1,12,0,1,5,6,1,0,0,707
71,"PR. SCHOOL BHISAR ROOM NO.1",561,455,0,1016,386,238,0,624,624,0,110,378,14,114,1,4,1,0,0,0,0,0,0,0,0,0,2,0,0,624
72,"PR. SCHOOL BHISAR ROOM NO.2",301,250,0,551,202,143,0,345,345,0,76,202,7,42,0,0,0,0,0,0,0,0,2,1,0,1,2,8,4,345
73,"PR. SCHOOL SACHENDI (II) ROOM NO.1",763,601,0,1364,402,255,0,657,657,0,186,382,26,53,1,0,0,1,0,0,0,0,1,0,1,0,1,3,2,657
74,"PR. SCHOOL SACHENDI (II) ROOM NO.2",251,175,0,426,114,78,0,192,192,0,52,107,13,15,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,192
75,"PR. VIDYALAY SINGHPUR  ROOM NO.1",463,304,0,767,293,168,0,461,461,0,22,138,10,280,5,0,1,0,0,0,0,0,1,0,1,1,0,2,0,461
76,"PR. SCHOOL SACHENDI (I) ROOM NO.1",699,602,0,1301,413,313,0,726,726,0,240,244,82,87,2,1,0,1,5,3,0,2,2,3,10,12,14,10,8,726
77,"PR. SCHOOL SACHENDI (I) ROOM NO.2",752,631,0,1383,469,327,0,796,796,0,234,386,33,108,1,1,1,1,2,2,2,2,2,2,3,9,3,0,4,796
78,"JR. H. SCHOOL SACHENDI ROOM NO.1",330,303,0,633,237,180,0,417,417,0,118,235,24,23,0,1,0,0,0,0,0,0,0,1,9,2,0,3,1,417
79,"JR. H. SCHOOL SACHENDI ROOM NO.2",614,479,0,1093,404,221,0,625,625,0,75,408,25,91,2,1,0,3,1,3,3,1,0,3,6,1,0,1,1,625
80,"JR. H. SCHOOL SACHENDI ROOM NO.3",479,383,0,862,330,239,0,569,569,0,63,417,21,41,0,0,1,0,0,0,0,1,0,5,3,0,2,12,3,569
81,"JR. H. SCHOOL SACHENDI ROOM NO.4",489,402,0,891,308,236,0,544,544,0,72,277,43,137,0,0,0,1,2,1,0,2,0,1,4,1,1,1,1,544
82,"JR. H. SCHOOL SACHENDI ROOM NO.5",582,379,0,961,335,179,0,514,514,0,72,241,104,90,0,0,1,0,0,0,0,0,0,0,1,0,0,2,3,514
83,"PR. SCHOOL CHAKARPUR ROOM NO. 1",376,279,0,655,192,129,0,321,321,0,65,184,34,34,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,321
84,"PR. SCHOOL JUGRAJPUR ROOM NO. 1",668,520,1,1189,437,293,0,730,730,0,73,445,24,145,2,4,1,1,2,1,0,4,0,2,6,3,2,12,3,730
85,"PR. SCHOOL JUGRAJPUR ROOM NO. 2",592,453,0,1045,399,253,0,652,652,0,77,405,18,139,1,1,0,0,0,0,0,4,2,1,3,1,0,0,0,652
86,"PR. SCHOOL BHAUTI PRATPUR ROOM NO. 1",737,646,0,1383,537,354,0,891,891,0,139,585,38,115,2,2,1,0,0,1,1,1,0,0,1,2,0,1,2,891
87,"PR. SCHOOL BHAUTI PRATPUR ROOM NO. 2",193,158,0,351,128,80,0,208,208,0,28,127,4,38,0,1,1,0,0,0,0,0,0,0,2,2,2,2,1,208
88,"PR. SCHOOL BHAUTI PRATPUR ROOM NO. 3",591,468,0,1059,328,238,0,566,566,0,145,275,19,114,0,1,0,0,0,0,0,0,3,0,1,4,1,1,2,566
89,"PR. VIDYALAY MAHENDRA NAGAR (BANGALI COLONEY) ROOM NO. 1",726,586,0,1312,438,341,0,779,779,0,175,202,235,119,1,2,0,2,2,7,1,1,3,2,10,7,2,1,7,779
90,"PR. SCHOOL PANKA BAHADUR NGAR ROOM NO. 1",866,676,0,1542,520,340,0,860,860,0,250,431,74,76,1,2,0,1,2,0,2,0,3,1,0,8,1,2,6,860
91,"PR. VIDYALAY CHHEETEPUR ROOM NO. 1",570,446,0,1016,324,350,0,674,674,0,294,155,10,176,1,0,0,0,0,0,0,1,1,4,5,4,10,8,5,674
92,"PR. SCHOOL BHAUTI KHERA ROOM NO. 1",524,435,0,959,353,261,0,614,614,0,210,206,127,36,2,0,0,1,1,1,0,0,0,2,4,7,4,8,5,614
93,"PR. SCHOOL BHAILAMAU ROOM NO. 1",776,669,1,1446,495,380,0,875,875,0,145,356,205,137,2,3,0,0,1,1,1,2,1,3,6,7,3,1,1,875
94,"BASIC PR. SCHOOL KALA KA PURWA ROOM NO. 1",643,487,0,1130,449,285,0,734,734,0,148,392,10,167,1,0,0,0,0,2,0,0,0,1,1,6,1,1,4,734
95,"BASIC PR. SCHOOL KALA KA PURWA ROOM NO. 2",283,227,0,510,186,117,0,303,303,0,77,81,25,90,2,1,0,0,0,4,0,3,1,0,2,1,6,6,4,303
96,"BASIC PR. SCHOOL KALA KA PURWA ROOM NO. 3",523,378,0,901,290,160,0,450,450,0,16,209,12,192,9,1,0,0,0,0,0,1,0,1,1,0,0,6,2,450
97,"JR. H. SCHOOL RAMPUR BHEEMSEN ROOM NO. 1",374,330,0,704,226,171,0,397,397,0,115,186,23,41,1,0,1,0,0,0,0,0,1,12,1,0,8,6,2,397
98,"JR. H. SCHOOL RAMPUR BHEEMSEN ROOM NO. 2",726,607,0,1333,442,336,0,778,778,0,201,354,38,164,5,4,0,0,2,1,0,0,0,4,2,2,0,0,1,778
99,"PR. SCHOOL SONA ROOM NO. 1",829,680,0,1509,497,385,0,882,882,0,292,291,40,206,8,2,2,3,3,3,3,0,2,2,7,14,2,2,0,882
100,"PR. SCHOOL SONA ROOM NO. 2",735,554,0,1289,396,278,0,674,674,0,182,253,21,161,36,5,3,0,2,0,0,2,2,3,1,1,1,0,1,674
101,"PR. SCHOOL GARHI KANPUR ROOM NO. 1",442,375,0,817,325,246,0,571,571,0,48,296,12,177,1,4,0,0,1,0,0,9,1,2,2,2,5,11,0,571
102,"KANYA JR. H. SCHOOL BINAUR ROOM NO. 1",606,436,0,1042,349,215,0,564,564,0,52,431,14,28,0,1,0,0,0,2,0,1,1,5,9,6,4,6,4,564
103,"KANYA JR. H. SCHOOL BINAUR ROOM NO. 2",444,270,0,714,222,126,0,348,348,0,47,258,8,18,0,0,0,1,1,0,1,0,1,5,2,3,1,2,0,348
104,"KANYA JR. H. SCHOOL BINAUR ROOM NO. 3",701,498,0,1199,334,170,0,504,504,0,44,389,19,24,0,1,0,0,1,0,0,1,0,2,4,2,1,13,3,504
105,"PR. PATHSHALA KATRA BHAISORE ROOM NO. 1",640,458,0,1098,429,296,0,725,725,0,406,188,44,69,1,0,0,0,0,1,2,0,0,3,4,6,0,1,0,725
106,"JR. H. SCHOOL ISHWARIGANJ M. BINAUR ROOM NO. 1",584,427,0,1011,346,225,0,571,571,0,101,332,9,117,1,0,0,0,0,1,1,0,0,3,2,1,2,1,0,571
107,"PR. SCHOOL PANDEY KHAND BINAUR  ROOM NO. 1",297,222,0,519,185,149,0,334,334,0,67,183,6,72,0,1,0,0,0,0,0,0,0,0,2,1,1,1,0,334
108,"PR. SCHOOL BHAGWANTPUR KHAND BINAUR ROOM NO. 1",304,240,0,544,202,154,0,356,356,0,158,105,6,53,0,1,0,1,1,1,0,1,0,4,7,3,8,1,6,356
109,"JR. H. SCHOOL HARI SINGH DEV KA PURWA ROOM NO. 1",707,459,0,1166,368,216,0,584,584,0,110,285,14,148,2,3,0,0,0,1,1,1,2,1,8,5,2,1,0,584
110,"JR. H. SCHOOL HARI SINGH DEV KA PURWA ROOM NO. 2",562,381,0,943,354,222,0,576,576,0,212,238,13,98,1,2,1,0,2,1,0,0,0,1,1,1,3,2,0,576
111,"PR. SCHOOL GOPALPUR ROOM NO. 1",792,685,0,1477,591,449,0,1040,1040,0,228,377,211,190,2,5,1,1,3,1,0,1,1,5,8,3,1,1,1,1040
112,"PR. PATHSHALA SINGHPUR KATHAR ROOM NO. 1",332,286,0,618,257,188,0,445,445,0,118,137,11,138,6,0,0,1,0,0,0,0,0,6,4,4,5,12,3,445
113,"POORV M. VIDYALAY PATARSA ROOM NO. 1",779,600,0,1379,558,289,0,847,847,0,474,233,86,33,0,1,0,5,1,0,0,2,0,2,3,4,1,2,0,847
114,"PR. SCHOOL RAM SINGH KA PURWA (RAMPUR KHAS) ROOM NO. 1",252,225,0,477,165,119,0,284,284,0,30,135,97,9,0,0,0,1,0,0,0,0,3,0,0,2,0,3,4,284
115,"PR. SCHOOL RAM SINGH KA PURWA (RAMPUR KHAS) ROOM NO. 2",723,563,0,1286,258,540,0,798,798,0,322,363,20,74,0,1,0,0,0,1,2,0,0,1,4,4,1,0,5,798
116,"JR. H. SCHOOL BHAIRAMPUR ROOM NO. 1",641,523,0,1164,414,251,0,665,665,0,120,243,163,121,0,1,0,0,0,0,0,3,2,2,4,2,1,2,1,665
117,"JR. H. SCHOOL BHAIRAMPUR ROOM NO. 2",775,545,0,1320,530,287,0,817,817,0,297,443,20,32,0,1,0,0,0,0,0,0,1,2,4,9,3,1,4,817
118,"PR. PATHASHALA DADHHIYA ROOM NO. 1",562,457,0,1019,331,253,0,584,584,0,240,254,43,25,0,3,0,0,1,1,0,0,1,2,3,6,3,1,1,584
119,"PR. PATHSHALAL SAKATPUR ROOM NO. 1",250,191,0,441,185,145,0,330,330,0,134,26,106,55,2,0,0,0,0,1,0,0,0,0,2,0,3,0,1,330
120,"PR. SCHOOL PALRA ROOM NO. 1",730,563,0,1293,505,369,0,874,874,0,250,517,20,45,2,0,4,0,1,1,2,0,1,3,10,14,1,2,1,874
121,"PR. SCHOOL AINTI ROOM NO. 1",530,400,0,930,338,227,0,565,565,0,130,234,13,170,2,0,0,0,0,0,0,0,1,1,1,0,3,9,1,565
122,"POORV M. VIDYALAY LALHEPUR ROOM NO. 1",397,250,0,647,249,166,0,415,415,0,136,33,2,229,0,0,1,0,0,0,1,1,2,1,1,3,3,1,1,415
123,"PAHA. VIDYA MANDIR INTER COLLEGE SAPAI ROOM NO. 1",620,493,0,1113,326,224,0,550,550,0,95,309,15,118,0,1,1,0,0,1,0,1,3,1,2,1,0,2,0,550
124,"PAHA. VIDHYALAY MANDIR INTER COLLEGE SAPAI ROOM NO. 2",475,314,0,789,266,138,0,404,404,0,61,224,48,57,0,0,0,0,0,0,0,0,0,0,0,3,2,4,5,404
125,"PR. VIDHYALAY KEERATPUR ROOM NO. 1",422,291,0,713,254,161,0,415,415,0,4,133,7,257,2,1,0,0,1,1,1,1,3,1,2,1,0,0,0,415
126,"PR. VIDHYALAY BABIPURWA ROOM NO. 1",470,380,0,850,336,274,0,610,610,0,358,47,11,165,4,1,1,1,3,0,0,0,2,2,3,6,5,1,0,610
127,"JR. H. SCHOOL UDAYPUR ROOM NO. 1",734,588,0,1322,445,295,0,740,740,0,196,363,6,114,1,0,0,0,1,13,0,0,0,1,2,7,10,19,7,740
128,"JR. H. SCHOOL UDAYPUR ROOM NO. 2",660,521,0,1181,401,277,0,678,678,0,224,272,3,160,0,0,1,0,1,2,1,0,1,3,1,7,0,2,0,678
129,"PR. SCHOOL SIRHI ROOM NO. 1",678,520,0,1198,452,344,0,796,796,0,308,329,13,108,1,0,0,2,0,1,0,0,0,1,5,6,3,15,4,796
130,"PR. SCHOOL SIRHI ROOM NO. 2",467,377,0,844,237,132,0,369,369,0,51,217,71,10,2,0,0,1,1,1,0,0,0,2,2,8,2,0,1,369
131,"PR. SCHOOL LALUPUR ROOM NO. 1",406,319,0,725,280,204,0,484,484,0,128,172,3,142,3,1,0,0,0,0,0,21,0,1,1,1,6,4,1,484
132,"PR. SCHOOL ITARA ROOM NO. 1",388,300,0,688,253,166,0,419,419,0,82,300,10,12,1,0,0,0,0,0,0,2,0,0,4,3,1,2,2,419
133,"PR. SCHOOL ITARA ROOM NO. 2",711,587,0,1298,486,351,0,837,837,0,214,534,46,28,0,1,0,0,1,2,1,0,0,0,2,5,1,0,2,837
134,"PR. SCHOOL ITARA DWITIY (GANESH PURWA) ROOM NO. 1",307,243,0,550,172,148,0,320,320,0,9,100,37,155,8,1,0,0,0,0,0,0,1,1,2,4,0,2,0,320
135,"JR. H. SCHOOL KAINDHA ROOM NO. 1",532,415,0,947,325,223,0,548,548,0,33,349,20,107,7,4,0,1,0,2,0,2,2,2,6,5,1,6,1,548
136,"JR. H. SCHOOL KAINDHA ROOM NO. 2",224,175,0,399,125,56,0,181,181,0,42,66,11,56,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,181
137,"JR. H. SCHOOL KAINDHA ROOM NO. 3",763,607,0,1370,454,314,0,768,768,0,218,307,85,126,3,10,0,2,1,0,2,0,3,3,4,3,0,0,1,768
138,"PR. PATHSHALA PATEHURI ROOM NO. 1",722,570,0,1292,495,371,0,866,866,0,674,121,17,29,0,0,0,0,0,1,0,5,1,1,3,5,8,0,1,866
139,"PR. PATHSHALA GHAMBHIRPUR DAKSHIN ROOM NO. 1",133,121,0,254,104,92,0,196,196,0,39,66,18,68,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,196
140,"PR. PATHSHALA MEHARBAN SINGH KA PURWA ROOM NO. 1",424,320,0,744,284,166,0,450,450,0,36,80,30,290,2,1,0,0,0,1,0,2,1,0,0,2,0,2,3,450
141,"PR. PATHSHALAL MARDANPUR ROOM NO. 1",766,613,0,1379,477,308,0,785,785,0,69,364,88,229,3,3,2,0,2,0,2,1,5,2,3,9,0,0,3,785
