"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJAY AGRAWAL","2 - PRAVESH SINGH","3 - SONIA GANDHI","4 - ARCHANA SRIVASTAVA","5 - ANJU SINGH","6 - KIRAN CHAUDHARI","7 - KAILASH KUMAR","8 - JAWAHAR LAL","9 - MOHAMMAD ASHRAF","10 - RATIRAM","11 - SHIV SEWAK","12 - SAHAR NAQVI","13 - SURESH CHANDRA","14 - PRAMOD KUREEL","15 - MANGAL SAIN","16 - SHAKIL AHAMAD","17 - SAHADAT ALI KHAN","18 - None of the Above","Total Votes Secured"
26,HARIYAWAN,484,444,0,928,281,238,0,519,519,0,147,7,304,5,4,3,2,5,4,2,2,0,5,6,6,9,4,4,519
27,PADRAI,281,236,0,517,180,147,0,327,327,0,30,17,255,5,0,2,0,1,1,2,0,2,2,0,2,4,2,2,327
28,SIDHAUNA,732,655,0,1387,342,252,0,594,594,0,72,7,468,6,4,0,0,2,2,3,0,2,0,7,8,8,1,4,594
29,SIDHAUNA,831,671,0,1502,466,332,0,798,798,0,99,41,598,15,3,3,0,1,3,1,2,7,5,4,4,11,0,1,798
30,SIDHAUNA,350,315,0,665,173,126,0,299,299,0,28,2,244,4,1,0,0,2,1,1,3,1,2,2,1,2,2,3,299
31,"THARIYA ANDAWAN",447,411,0,858,249,215,0,464,464,0,52,24,339,11,1,1,1,4,2,0,1,5,2,6,5,10,0,0,464
32,RASEHATA,536,499,0,1035,277,270,0,547,547,0,230,26,244,8,2,1,2,0,1,2,1,2,2,4,4,14,3,1,547
33,RASEHATA,508,432,0,940,260,236,0,496,496,0,209,40,210,2,3,0,0,1,1,2,2,0,3,1,5,13,2,2,496
34,"CHAKPEERA SHAH",530,434,0,964,295,224,0,519,519,0,112,24,332,4,4,1,1,2,1,3,1,3,2,5,2,6,5,11,519
35,"LALUPUR CHAHAN",406,384,0,790,223,182,0,405,405,0,214,8,159,3,0,0,1,1,1,0,0,2,0,2,3,8,1,2,405
36,JALALPUR,266,255,0,521,174,158,0,332,332,0,122,14,169,5,4,2,0,2,0,0,0,1,1,3,1,3,2,3,332
37,SANDINAGIN,408,337,0,745,244,210,0,454,454,0,98,19,299,4,2,2,3,1,2,1,1,3,2,3,2,4,2,6,454
38,BANDIPUR,323,290,0,613,203,188,0,391,391,0,74,20,268,3,3,1,0,1,1,0,2,1,1,3,2,7,3,1,391
39,SANDIRAM,780,656,0,1436,434,387,0,821,821,0,342,59,323,10,9,0,3,1,2,3,2,4,5,10,7,25,12,4,821
40,DIGHIYA,575,460,0,1035,365,303,0,668,668,0,141,5,485,2,3,4,0,1,1,1,0,0,1,3,1,11,4,5,668
41,RAJWAPUR,242,189,0,431,179,140,0,319,319,0,152,26,99,6,4,2,0,1,1,3,0,4,3,3,2,7,3,3,319
42,DAUDPUR,680,573,0,1253,385,289,0,674,674,0,263,11,357,5,4,1,1,0,1,2,0,0,4,4,4,10,3,4,674
43,KAUVADEEH,436,381,0,817,292,256,0,548,548,0,74,18,376,5,4,4,2,0,2,1,2,1,7,21,5,19,3,4,548
44,KAUVADEEH,323,286,0,609,222,187,0,409,409,0,30,18,322,4,1,0,1,1,2,0,3,1,3,7,5,9,1,1,409
45,"RAMPUR BAGHEL",221,178,0,399,157,109,0,266,266,0,41,1,207,1,0,1,0,1,0,0,0,2,1,4,2,1,1,3,266
46,KASEHATI,495,449,0,944,241,214,0,455,455,0,111,62,233,4,5,0,1,0,2,0,2,1,3,8,8,4,5,6,455
47,MAINUPUR,709,635,0,1344,409,319,0,728,728,0,154,99,383,12,5,1,2,5,3,5,5,5,10,14,4,8,1,12,728
48,MANCHITPUR,769,627,0,1396,414,323,0,737,737,0,163,62,412,8,6,5,1,2,4,3,2,3,9,18,14,15,1,9,737
49,"KODRAS BUJURG",556,494,0,1050,368,291,0,659,659,0,97,88,415,10,5,1,0,1,3,4,1,3,2,9,5,10,1,4,659
50,"KODRAS BUJURG",445,370,0,815,221,113,0,334,334,0,56,29,211,5,2,1,6,1,3,2,0,0,2,4,4,5,1,2,334
51,CKAKDADAR,211,189,0,400,150,144,0,294,294,0,50,69,158,2,0,2,0,0,1,1,1,1,2,2,1,2,0,2,294
52,UMRA,624,583,0,1207,372,339,0,711,711,0,86,30,548,12,2,0,1,0,1,1,3,2,3,4,4,7,3,4,711
53,"SARAY MUGLA",317,277,0,594,210,155,0,365,365,0,64,48,227,7,0,1,0,2,0,0,1,0,0,5,2,5,2,1,365
54,SIKANDARPUR,201,180,0,381,117,109,0,226,226,0,18,10,189,2,0,0,0,0,0,0,0,0,1,0,1,4,0,1,226
55,UFRAMAU,263,232,0,495,188,157,0,345,345,0,36,75,209,5,1,3,1,1,2,2,1,1,0,1,0,2,3,2,345
56,CHIVLAMAU,481,448,0,929,308,265,0,573,573,0,62,55,422,5,1,1,0,0,1,0,3,2,0,13,1,4,1,2,573
57,DAUDPUR,433,358,0,791,273,205,0,478,478,0,54,87,307,8,5,0,0,0,0,0,0,0,4,2,5,4,1,1,478
58,LOHANIPUR,831,692,0,1523,499,402,0,901,901,0,226,74,556,12,2,2,2,0,0,0,0,1,3,4,4,7,2,6,901
59,LOHANIPUR,340,295,0,635,212,165,0,377,377,0,47,34,277,1,1,0,1,1,0,1,1,3,1,0,1,6,0,2,377
60,AHIYAPUR,299,283,0,582,185,164,0,349,349,0,40,32,239,22,0,0,2,1,0,0,1,1,5,1,0,1,0,4,349
61,DAREEBA,543,503,0,1046,372,267,0,639,639,0,70,27,510,8,2,3,1,1,0,0,1,1,2,0,3,2,1,7,639
62,DAREEBA,549,478,0,1027,405,248,0,653,653,0,86,124,413,11,2,2,1,1,0,0,1,2,1,0,1,5,1,2,653
63,SALARPUR,652,597,0,1249,397,404,0,801,801,0,79,307,380,3,1,1,0,0,2,0,3,1,3,2,4,6,4,5,801
64,"RASOOLPUR GUNDA",219,172,0,391,141,119,0,260,260,0,24,7,207,3,2,0,0,1,0,1,0,1,1,4,3,4,2,0,260
65,CHANDAULI,295,248,0,543,200,176,0,376,376,0,20,31,303,2,0,7,1,0,1,0,0,1,0,1,3,3,0,3,376
66,NAGDILPUR,274,244,0,518,162,174,0,336,336,0,47,43,231,1,0,1,1,1,0,1,0,0,3,2,1,1,1,2,336
67,TIKRA,581,524,0,1105,353,312,0,665,665,0,110,25,487,14,1,1,0,5,0,2,2,1,3,1,2,10,0,1,665
68,"PADRI GANESHPUR",684,561,0,1245,390,343,0,733,733,0,179,21,479,13,1,2,1,1,2,3,0,1,3,7,6,10,1,3,733
69,NAKFULHA,806,690,0,1496,422,408,0,830,830,0,51,16,708,8,3,5,1,2,2,2,1,1,8,10,3,5,3,1,830
70,"RETI KHURD BUJURG",616,509,0,1125,247,335,0,582,582,0,26,27,492,9,1,2,1,4,0,2,2,2,5,4,1,2,1,1,582
71,DEVANANDPUR,466,371,0,837,238,176,0,414,414,0,64,7,317,5,0,1,0,0,0,0,3,0,2,4,4,3,1,3,414
72,DEVANANDPUR,589,468,0,1057,326,243,0,569,569,0,46,17,451,10,5,3,2,3,2,1,1,4,2,6,4,9,1,2,569
73,DEVANANDPUR,558,458,0,1016,294,235,0,529,529,0,118,17,347,15,1,2,3,1,0,1,1,4,1,6,5,4,1,2,529
74,DEVANANDPUR,516,434,0,950,260,201,0,461,461,0,98,6,339,5,1,0,1,0,0,0,1,0,0,1,2,4,1,2,461
75,DEVANANDPUR,640,483,0,1123,303,193,0,496,496,0,66,27,375,8,1,3,1,0,1,3,0,0,1,2,1,3,1,3,496
76,KHOR,667,613,1,1281,394,353,1,748,748,0,76,135,494,6,1,1,1,1,4,1,1,1,1,9,2,9,0,5,748
77,KHASPARI,596,533,0,1129,360,240,0,600,600,0,77,32,454,9,2,0,3,3,0,0,3,1,0,3,5,7,1,0,600
78,"KISHUNPUR RAE",468,392,0,860,285,242,0,527,527,0,36,3,441,17,2,0,1,0,2,1,4,3,4,5,2,3,2,1,527
79,"KISHUNPUR RAE",386,338,0,724,231,206,0,437,437,0,73,5,338,8,0,1,0,1,0,1,1,1,1,1,1,2,2,1,437
80,"RAEPUR STHIT AHIYAPUR",344,298,0,642,198,169,0,367,367,0,100,4,242,8,1,0,1,0,0,0,0,2,2,3,0,2,0,2,367
81,AHIYAPUR,670,637,0,1307,414,400,0,814,814,0,95,9,672,9,2,1,1,2,1,0,0,1,4,6,2,1,3,5,814
82,"RANA MANTESARI SCHOOL",435,400,0,835,246,173,0,419,419,0,39,3,371,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,419
83,"RANA MANTESARI SCHOOL",521,426,0,947,299,201,0,500,500,0,71,1,419,4,1,0,0,0,0,0,0,0,0,3,0,0,0,1,500
84,"RANA MANTESARI SCHOOL",756,648,0,1404,445,331,0,776,776,0,12,5,734,9,2,1,0,1,0,1,1,0,0,1,1,4,2,2,776
85,"RANA MANTESARI SCHOOL",606,484,0,1090,362,252,0,614,614,0,40,9,536,4,3,1,0,0,0,0,0,1,2,8,2,6,2,0,614
86,"WASI NAKVI N.I.C. PURANI IMARAT",624,529,0,1153,300,221,0,521,521,0,8,3,491,9,2,0,0,0,1,0,0,1,0,1,1,4,0,0,521
87,"WASI NAKVI N.I.C. PURANI IMARAT",379,333,0,712,163,118,0,281,281,0,10,2,262,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,281
88,"WASI NAKVI N.I.C. PURANI IMARAT",440,377,0,817,187,200,0,387,387,0,24,1,350,9,0,0,0,0,0,0,0,1,0,1,0,1,0,0,387
89,"WASI NAKVI N.I.C. PURANI IMARAT",505,467,0,972,266,200,0,466,466,0,57,2,389,4,1,0,0,0,0,1,1,0,1,1,1,4,2,2,466
90,"WASI NAKVI N.I.C. PURANI IMARAT",540,500,1,1041,322,216,0,538,538,0,12,2,505,9,2,1,0,0,0,0,0,1,0,4,1,0,1,0,538
91,KHATRANA,525,465,0,990,307,230,0,537,537,0,7,1,505,16,1,0,1,0,0,1,0,0,0,1,1,0,1,2,537
92,KHATRANA,343,278,0,621,208,150,0,358,358,0,36,1,308,3,1,0,0,2,0,0,0,0,0,2,0,1,1,3,358
93,"WASI NAKVI N.I.C. NAI IMARAT",654,632,0,1286,345,303,0,648,648,0,45,4,586,4,1,0,1,1,0,0,0,2,1,2,0,0,0,1,648
94,"WASI NAKVI N.I.C. NAI IMARAT",575,461,0,1036,276,216,0,492,492,0,5,2,474,8,1,0,0,0,0,0,0,0,0,1,0,0,0,1,492
95,"WASI NAKVI N.I.C. NAI IMARAT",701,613,0,1314,319,304,0,623,623,0,4,6,600,4,0,0,0,0,2,0,2,0,1,2,0,0,0,2,623
96,"WASI NAKVI N.I.C.PURANI IMARAT",459,432,0,891,249,204,0,453,453,0,8,0,425,8,0,0,0,0,1,2,0,0,2,2,1,1,0,3,453
97,"P.M.V. (BALIKA)",539,484,0,1023,247,198,0,445,445,0,9,1,420,5,0,0,0,1,0,0,1,0,0,3,1,1,0,3,445
98,"P.M.V. (BALIKA)",693,621,0,1314,325,244,0,569,569,0,7,11,542,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,569
99,KHALISAHAT,470,423,0,893,298,264,0,562,562,0,38,5,495,3,1,0,0,2,4,0,2,0,2,5,1,4,0,0,562
100,KHALISAHAT,546,446,0,992,269,221,0,490,490,0,19,5,442,6,1,0,2,0,0,0,0,1,2,8,0,1,1,2,490
101,KHALISAHAT,552,476,0,1028,296,229,0,525,525,0,45,3,464,4,0,0,1,0,0,0,0,0,1,3,1,0,2,1,525
102,KHALISAHAT,447,385,0,832,239,180,0,419,419,0,78,2,323,1,3,0,0,1,1,0,0,0,0,1,3,1,2,3,419
103,"LAL RISHI KANYA PATHSHALA",646,556,0,1202,402,362,0,764,764,0,97,8,624,6,6,1,0,0,0,0,0,1,3,6,4,3,0,5,764
104,"LAL RISHI KANYA PATHSHALA",254,216,0,470,158,109,0,267,267,0,69,3,179,3,0,0,0,0,1,0,0,1,1,4,2,1,1,2,267
105,"MAHTMA GANDHI INTER COLLAGE",758,630,0,1388,442,311,0,753,753,0,139,10,582,12,1,0,0,0,0,1,0,2,1,1,0,2,0,2,753
106,"MAHTMA GANDHI INTER COLLAGE",450,412,0,862,221,210,0,431,431,0,100,1,320,2,1,0,0,0,0,0,0,0,2,0,1,0,2,2,431
107,"MAHTMA GANDHI INTER COLLAGE",417,346,0,763,215,154,0,369,369,0,61,3,286,10,0,0,0,0,0,0,0,0,1,1,2,2,1,2,369
108,"MAHTMA GANDHI INTER COLLAGE",681,629,0,1310,317,259,0,576,576,0,128,4,421,12,1,2,0,1,0,1,1,0,1,0,0,1,0,3,576
109,"MAHTMA GANDHI INTER COLLAGE",686,600,0,1286,360,288,0,648,648,0,166,2,460,6,0,0,1,2,0,0,1,1,0,4,1,2,0,2,648
110,"ARYA SAMAJ MANDIR",482,402,0,884,314,200,0,514,514,0,70,0,433,6,0,0,0,0,0,0,0,0,0,0,0,2,0,3,514
111,"ARYA SAMAJ MANDIR",631,521,0,1152,266,200,0,466,466,0,69,18,357,16,0,0,0,0,0,0,0,0,0,3,1,0,0,2,466
112,"ARYA SAMAJ MANDIR",653,563,0,1216,377,287,0,664,664,0,93,9,553,3,1,0,0,0,0,0,1,0,0,0,1,2,0,1,664
113,"GURUNANAK NAGAR",754,692,0,1446,385,302,0,687,687,0,71,3,587,5,1,1,3,1,0,0,1,0,2,3,1,2,2,4,687
114,"GURUNANAK NAGAR",772,723,0,1495,407,317,0,724,724,0,50,2,658,3,1,0,0,0,0,0,0,0,0,5,1,2,0,2,724
115,KHATIKANA,331,289,0,620,155,107,0,262,262,0,36,0,220,2,0,0,1,0,0,0,0,0,0,2,1,0,0,0,262
116,KHATIKANA,561,467,1,1029,324,228,0,552,552,0,55,8,456,13,0,1,1,0,1,0,0,2,0,2,2,1,3,7,552
117,KHATIKANA,771,656,0,1427,406,346,0,752,752,0,108,3,628,1,2,1,0,0,2,0,1,0,0,2,1,2,0,1,752
118,"PURANA MAHILA DEEGRI COLLAGE",524,482,0,1006,308,226,0,534,534,0,69,0,448,11,0,0,0,0,0,0,0,1,1,1,0,2,0,1,534
119,"PURANA MAHILA DEEGRI COLLAGE",282,238,0,520,173,118,0,291,291,0,10,1,268,9,0,0,0,1,0,0,0,0,0,1,0,0,0,1,291
120,"PURANA MAHILA DEEGRI COLLAGE",812,674,0,1486,367,274,0,641,641,0,103,6,507,4,1,1,0,2,0,0,0,1,2,1,6,2,2,3,641
121,"RAJKIYA INTER COLLAGE",382,348,0,730,243,189,0,432,432,0,48,1,370,2,0,1,0,0,0,0,2,0,1,1,0,3,1,2,432
122,"RAJKIYA INTER COLLAGE",468,434,0,902,281,226,0,507,507,0,92,4,403,5,0,0,0,0,0,0,0,0,1,0,0,0,0,2,507
123,"RAJKIYA INTER COLLAGE",428,390,0,818,256,217,0,473,473,0,98,1,358,4,2,0,0,0,0,0,1,2,0,3,0,2,0,2,473
124,"ACHARYA DIWEDI INTER COLLAGE",460,407,0,867,239,196,0,435,435,0,140,21,258,6,1,0,0,0,1,0,0,0,0,0,0,0,0,8,435
125,"ACHARYA DIWEDI INTER COLLAGE",388,343,0,731,214,182,0,396,396,0,83,10,287,4,1,0,0,1,0,1,0,1,1,2,0,0,1,4,396
126,"ACHARYA DIWEDI INTER COLLAGE",715,606,0,1321,340,240,0,580,580,0,138,1,410,13,5,0,0,1,0,0,0,1,1,2,2,0,0,6,580
127,"S.J.S. SCHOOL",680,629,0,1309,356,261,0,617,617,0,157,3,436,6,1,0,0,1,0,0,0,1,0,1,1,3,5,2,617
128,"S.J.S. SCHOOL",329,286,0,615,158,111,0,269,269,0,106,2,155,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,269
129,"S.J.S. SCHOOL",334,286,0,620,153,103,0,256,256,0,64,0,179,8,1,0,0,0,0,0,0,0,0,0,3,0,0,1,256
130,"S.J.S. SCHOOL",385,348,0,733,238,167,0,405,405,0,145,0,251,2,2,0,0,0,0,0,0,0,0,0,0,1,1,3,405
131,"S.J.S. SCHOOL",530,490,1,1021,227,177,0,404,404,0,111,0,277,13,2,0,0,0,0,0,0,0,0,0,0,0,0,1,404
132,"S.J.S. SCHOOL",395,359,0,754,213,174,0,387,387,0,125,5,239,8,1,0,0,0,0,0,0,0,2,0,1,1,0,5,387
133,"S.J.S. SCHOOL",570,506,0,1076,267,249,0,516,516,0,125,5,374,3,0,0,2,0,0,0,0,0,0,2,0,3,0,2,516
134,"S.J.S. SCHOOL",786,658,0,1444,365,267,0,632,632,0,110,11,478,9,2,2,0,0,0,0,6,2,0,4,2,3,0,3,632
135,"CHANDRA NAGAR",684,645,0,1329,366,295,0,661,661,0,179,3,470,3,1,0,0,0,0,0,0,1,0,1,1,0,2,0,661
136,"CHANDRA NAGAR",594,555,0,1149,316,266,0,582,582,0,178,12,372,11,1,0,0,0,1,0,0,1,0,0,0,2,1,3,582
137,BARAIPUR,827,704,0,1531,529,292,0,821,821,0,69,7,701,14,1,2,0,0,0,0,0,1,4,8,1,6,3,4,821
138,BARAIPUR,748,595,0,1343,401,273,0,674,674,0,34,12,614,6,0,0,0,1,0,0,0,0,0,1,2,1,0,3,674
139,"SANT KANWAR RAM E.C.BARAIPUR",726,627,0,1353,429,329,0,758,758,0,72,5,652,9,2,0,0,0,0,1,0,1,1,9,1,4,1,0,758
140,"PURE KALLU",686,596,0,1282,393,353,0,746,746,0,131,27,560,7,1,2,3,2,0,0,1,1,1,0,1,5,1,3,746
141,"PURE KALLU",237,193,0,430,121,99,0,220,220,0,26,6,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,220
142,"PURE KALLU",670,514,0,1184,367,248,0,615,615,0,106,41,440,12,5,3,1,0,1,0,0,1,0,0,0,1,1,3,615
143,"PURE KALLU",706,562,0,1268,389,270,0,659,659,0,66,57,504,8,1,1,0,0,0,1,0,0,0,1,2,2,2,14,659
144,"RALWAY COLONY",491,409,0,900,196,158,0,354,354,0,54,16,272,3,0,0,2,0,0,0,1,1,0,2,1,0,1,1,354
145,BARKHAPUR,596,510,0,1106,307,220,0,527,527,0,111,46,332,6,1,5,0,0,0,0,1,0,2,5,4,8,1,5,527
146,BALAPUR,557,504,1,1062,364,286,0,650,650,0,65,50,500,6,0,1,1,0,1,1,2,0,4,7,4,2,3,3,650
147,BALAPUR,394,313,0,707,180,112,0,292,292,0,49,15,209,10,1,3,0,1,0,0,0,0,0,0,0,0,1,3,292
148,"CHATURBHUJ PUR",586,540,0,1126,356,286,0,642,642,0,60,48,503,9,2,2,1,0,0,0,2,0,0,5,1,4,1,4,642
149,CHAJLAPUR,576,514,0,1090,323,271,0,594,594,0,76,40,456,5,1,0,0,0,1,0,0,1,0,4,1,2,0,7,594
150,"KENDRIA VIDYALAYA DOORBHAS NAGAR",741,681,0,1422,359,340,0,699,699,0,249,20,410,10,2,0,0,0,0,0,0,0,0,1,0,0,1,6,699
151,"KENDRIA VIDYALAYA DOORBHAS NAGAR",478,388,0,866,172,140,0,312,312,0,84,12,192,19,0,0,0,0,0,0,0,1,1,0,1,0,0,2,312
152,"KENDRIA VIDYALAYA DOORBHAS NAGAR",590,509,0,1099,236,174,0,410,410,0,87,9,295,15,0,0,0,0,0,0,0,0,0,1,0,0,1,2,410
153,"KENDRIA VIDYALAYA DOORBHAS NAGAR",298,298,0,596,132,121,0,253,253,0,74,7,162,7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,253
154,RATAPUR,547,493,0,1040,283,201,0,484,484,0,91,21,349,1,1,2,3,2,1,0,0,0,0,4,0,3,1,5,484
155,RATAPUR,586,485,0,1071,326,248,0,574,574,0,70,11,462,17,0,0,1,0,0,0,0,1,3,2,1,2,0,4,574
156,RATAPUR,830,725,0,1555,378,322,0,700,700,0,184,17,461,16,1,0,1,0,0,1,0,0,1,1,3,3,3,8,700
157,"N.U.P. STATE SPINING MIL",259,248,0,507,115,90,0,205,205,0,41,33,120,6,0,0,0,0,0,1,0,0,0,2,1,1,0,0,205
158,"KENDRIA VIDYALAYA DOORBHAS NAGAR",526,462,0,988,191,167,0,358,358,0,106,4,216,24,1,0,0,0,0,0,0,0,0,0,0,0,0,7,358
159,"KENDRIA VIDYALAYA DOORBHAS NAGAR",720,657,0,1377,343,310,0,653,653,0,190,4,413,29,1,1,0,2,0,1,1,0,1,3,0,1,1,5,653
160,"KENDRIA VIDYALAYA DOORBHAS NAGAR",379,304,0,683,195,117,0,312,312,0,41,10,244,7,3,1,0,2,0,1,0,0,0,0,1,2,0,0,312
161,"MALIKMAU AIMA",679,556,0,1235,365,292,0,657,657,0,129,25,474,3,1,0,0,2,0,0,1,2,1,3,4,3,3,6,657
162,"MALIKMAU AIMA",499,434,0,933,220,189,0,409,409,0,98,41,251,8,0,0,0,0,1,1,0,0,1,1,1,0,2,4,409
163,"MALIKMAU AIMA",617,536,0,1153,258,209,0,467,467,0,109,13,327,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,467
164,BASTEPUR,736,602,0,1338,325,261,0,586,586,0,132,17,411,11,1,0,1,0,0,2,1,0,2,2,1,0,1,4,586
165,BASTEPUR,606,544,0,1150,198,170,0,368,368,0,79,16,251,14,0,0,0,0,0,1,0,0,0,1,0,1,2,3,368
166,"LUCKI MANTESARI SCHOOL",391,344,0,735,198,170,0,368,368,0,79,16,251,14,0,0,0,0,0,1,0,0,0,1,0,1,2,3,368
167,JAITUPUR,579,484,0,1063,392,260,0,652,652,0,66,7,531,8,2,0,0,3,0,1,3,0,5,9,6,7,2,2,652
168,"MADAR TARRESA",430,367,0,797,266,210,0,476,476,0,89,23,344,11,1,2,0,0,0,1,1,0,0,2,2,0,0,0,476
169,"MADAR TARRESA",555,457,0,1012,234,290,0,524,524,0,128,25,354,7,2,0,0,0,0,0,0,0,1,0,1,2,2,2,524
170,"MADAR TARRESA",369,345,0,714,205,176,0,381,381,0,45,7,302,2,1,1,1,0,0,2,2,2,1,4,2,2,0,7,381
171,"GORA BAJAR",666,562,0,1228,284,228,0,512,512,0,141,26,324,14,0,0,0,1,0,0,0,0,0,1,1,0,0,4,512
172,"GORA BAJAR",660,548,0,1208,456,177,0,633,633,0,71,54,488,4,2,1,0,0,4,0,0,0,0,5,1,1,0,2,633
173,"KRISHAK PRASHICHAD KENDRA",704,628,0,1332,387,246,0,633,633,0,113,23,476,6,3,1,1,0,0,0,0,0,2,0,2,3,0,3,633
174,"KRISHAK PRASHICHAD KENDRA",473,430,0,903,216,187,0,403,403,0,70,10,307,14,0,0,0,0,0,0,1,0,0,0,0,1,0,0,403
175,"KRISHAK PRASHICHAD KENDRA",753,641,0,1394,370,300,0,670,670,0,101,21,529,11,0,1,2,0,0,1,1,0,1,0,0,0,2,0,670
176,"KRISHAK PRASHICHAD KENDRA",542,447,0,989,262,185,0,447,447,0,66,5,352,5,0,1,0,0,0,3,0,1,0,3,3,0,2,6,447
177,MUNSHIGANJ,750,626,1,1377,429,312,0,741,741,0,74,7,631,11,1,2,1,0,0,0,0,1,0,4,1,4,0,4,741
178,MUNSHIGANJ,479,377,0,856,302,207,0,509,509,0,68,26,402,6,1,0,0,0,0,0,1,0,0,2,2,1,0,0,509
