"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - LALITESH PATI TRIPATHI","2 - SAMUDRA BIND","3 - SURENDRA SINGH PATEL","4 - ANUPRIYA SINGH PATEL","5 - AJAD","6 - JITTOO RAM RATNA","7 - JEERA BHARTI","8 - BRIJESH KUMAR RAI","9 - BHAGWAN DAS","10 - RADHESHYAM INSAN","11 - VINEET SAHAI","12 - SHIVRAJ SAHNI","13 - SANTOSH KUMAR","14 - SARVESH DUBEY","15 - SUKCHARA NAND URF AALOO BABA","16 - ASHOK KUMAR","17 - ADESH TYAGI","18 - DR. KARNAIL SINGH","19 - GIRJA SHANKAR URF CHUNMUN","20 - DEVI","21 - RAJA RAM","22 - RAM MURAT","23 - HINCHH LAL","24 - None of the Above","Total Votes Secured"
18,DHAURAHARA,624,486,0,1110,304,290,0,594,255,0,16,268,80,187,0,3,0,0,0,1,3,0,1,1,1,0,2,2,3,0,4,16,4,2,594
19,DHAURAHARA,252,240,0,492,108,116,0,224,96,0,5,63,30,108,2,1,0,0,0,0,0,2,0,0,1,0,0,1,2,2,0,4,1,2,224
20,KHULUA,304,269,0,573,163,140,0,303,130,0,9,6,110,152,1,4,0,2,1,0,0,1,0,1,4,5,0,2,0,0,0,1,2,2,303
21,KHULUA,541,451,0,992,318,292,0,610,262,0,12,276,37,205,4,0,2,0,0,1,0,3,3,1,6,8,3,17,5,10,2,6,2,7,610
22,SEMARA,645,496,0,1141,438,318,0,756,325,0,19,15,35,655,2,1,1,0,1,1,2,0,2,0,0,1,0,0,2,9,2,7,1,0,756
23,SEMARA,428,338,0,766,273,245,0,518,223,0,8,280,38,148,1,0,1,2,2,0,1,0,4,4,6,3,4,4,3,0,2,5,1,1,518
24,JAGAPATTI,750,628,0,1378,504,431,0,935,402,0,17,72,45,732,7,4,6,7,0,3,2,1,14,1,6,6,0,2,0,2,1,4,0,3,935
25,MANAUWA,460,458,0,918,344,336,0,680,292,0,41,142,10,447,6,2,3,2,0,2,1,0,3,2,1,2,4,2,0,1,1,6,0,2,680
26,MAJHALIPATTI,797,626,0,1423,442,381,0,823,354,0,12,234,164,341,11,3,3,2,5,2,3,0,2,1,3,5,2,3,3,5,5,9,2,3,823
27,"ANURUDHAPUR P. PATTI",799,665,0,1464,450,379,0,829,356,0,20,315,29,438,2,0,3,0,1,3,0,0,2,1,5,3,0,2,1,2,1,1,0,0,829
28,CHETGANJ,681,561,0,1242,359,298,0,657,283,0,14,315,134,137,0,4,2,1,1,0,1,1,4,3,8,14,0,2,1,0,0,8,2,5,657
29,GOBRAHA,529,433,0,962,219,183,0,402,173,0,17,145,49,170,2,2,0,0,1,1,2,0,1,0,2,3,1,2,0,1,0,0,2,1,402
30,GOBRAHA,478,364,0,842,259,196,0,455,196,0,4,59,227,116,2,4,2,0,0,0,1,4,1,0,3,8,0,2,4,4,1,9,2,2,455
31,MAHANGI[UR,432,351,0,783,221,220,0,441,190,0,19,54,84,252,1,1,0,2,0,0,3,1,4,1,1,4,1,1,1,0,1,4,3,3,441
32,MAHANGIPUR,413,324,0,737,250,201,0,451,194,0,8,69,152,187,1,4,3,1,1,1,1,0,0,1,1,1,0,3,3,8,0,3,2,1,451
33,"ANURUDHAPUR PU. PATTI",873,679,0,1552,452,368,0,820,353,0,18,517,113,102,3,2,3,1,2,0,1,4,1,4,8,12,5,9,1,2,4,3,3,2,820
34,TILATHI,419,341,0,760,267,246,0,513,221,0,7,404,37,15,1,0,2,1,2,1,2,2,4,6,7,8,2,4,1,0,1,0,3,3,513
35,TILATHI,437,344,0,781,259,193,0,452,194,0,16,242,146,19,1,1,2,1,1,2,0,1,1,2,5,5,2,2,3,0,0,0,0,0,452
36,TILATHI,713,528,0,1241,363,250,0,613,264,0,125,4,28,430,2,3,0,2,0,1,1,1,1,2,1,2,2,1,1,3,0,1,0,2,613
37,TILATHI,691,579,0,1270,366,282,0,648,279,0,48,8,51,500,6,3,0,0,0,1,3,0,3,2,3,3,1,1,0,7,3,1,1,3,648
38,MISHRADHAP,394,349,0,743,225,177,0,402,173,0,76,12,18,272,1,1,0,0,0,0,1,0,4,0,6,4,0,2,0,1,0,2,0,2,402
39,TILATHI,623,481,0,1104,363,272,0,635,273,0,71,121,226,172,3,0,2,2,2,0,5,0,1,2,4,8,1,1,2,2,0,2,3,5,635
40,HARSINGHPUR,471,397,0,868,276,229,0,505,217,0,23,74,44,339,0,0,1,1,3,1,0,2,1,0,0,3,0,4,1,4,2,0,0,2,505
41,HARSINGHPUR,410,312,0,722,232,197,0,429,184,0,55,176,67,92,4,2,0,2,7,0,1,2,3,4,1,5,0,1,0,1,2,4,0,0,429
42,MALLEPUR,750,586,0,1336,398,263,0,661,284,92,92,4,156,355,9,1,1,1,0,0,0,1,5,3,2,3,4,2,5,4,0,8,1,4,661
43,SRIPATTI,780,663,0,1443,419,372,0,791,340,0,156,53,100,435,2,3,0,3,1,2,3,0,3,2,6,10,1,2,0,2,0,2,3,2,791
44,VISHNUPATTI,810,643,0,1453,454,376,0,830,357,0,38,333,164,215,3,4,1,1,1,6,3,4,6,5,7,6,4,5,2,8,1,4,3,6,830
45,MAWAIYA,601,481,0,1082,313,248,0,561,241,0,38,50,107,295,3,4,3,2,2,1,4,2,5,2,4,12,0,0,1,0,2,7,1,16,561
46,MAWAIYA,527,386,0,913,266,194,0,460,198,0,27,122,104,169,3,1,1,1,0,1,2,0,2,1,4,9,0,0,1,1,1,7,1,2,460
47,JAGDISHPUR,618,514,0,1132,415,345,0,760,327,0,24,347,76,245,3,4,1,1,2,1,1,0,6,3,3,10,4,9,2,4,0,9,1,4,760
48,JAGDISHPUR,490,434,0,924,226,255,0,481,207,0,42,2,71,340,1,4,0,7,0,0,1,1,2,0,0,2,0,1,0,0,0,5,0,2,481
49,MAJHAGAWAN,795,589,0,1384,467,329,0,796,342,0,46,224,222,270,1,5,0,5,2,2,3,4,2,3,0,3,1,0,0,0,0,3,0,0,796
50,MAJHAGAWAN,826,652,0,1478,478,354,0,832,358,0,152,99,54,442,6,4,3,4,3,2,9,11,7,4,7,3,3,1,2,4,2,7,1,2,832
51,LAKHANPUR,660,583,0,1243,404,309,0,713,307,0,239,35,206,197,4,2,2,0,1,1,0,1,5,2,3,4,1,0,0,2,0,4,1,3,713
52,LAKHANPUR,788,611,0,1399,469,308,0,777,334,0,106,212,133,260,4,5,2,1,3,1,0,1,5,4,4,9,1,1,3,3,3,15,1,0,777
53,CHEKSARI,646,480,0,1126,307,221,0,528,227,0,76,34,115,255,2,4,3,3,1,1,3,7,0,2,2,0,2,0,1,2,3,11,1,0,528
54,CHEKSARI,522,418,0,940,307,233,0,540,232,0,13,299,90,118,1,0,0,1,0,0,0,0,0,4,2,3,1,1,2,1,1,1,1,1,540
55,CHEKSARI,414,303,0,717,239,112,0,351,151,0,35,67,118,121,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,351
56,CHEKSARI,638,493,0,1131,301,219,0,520,224,0,45,151,17,274,5,2,2,2,1,1,3,0,3,2,1,3,1,1,0,1,2,1,0,2,520
57,DEVPARWA,806,599,0,1405,440,306,0,746,321,0,32,115,151,391,8,4,2,2,1,3,3,0,2,4,0,4,0,2,2,3,1,9,4,3,746
58,DEVPARWA,733,618,0,1351,434,292,0,726,312,0,48,270,145,216,2,2,3,1,0,2,0,1,1,1,5,4,1,2,2,5,0,9,2,4,726
59,CHANDELDADIYA,686,544,0,1230,483,395,0,878,378,0,84,204,185,323,9,5,1,1,1,4,8,6,3,5,6,5,1,3,3,2,5,2,2,10,878
60,RAMPUR,552,427,0,979,323,272,0,595,256,0,46,274,163,91,2,1,2,0,0,0,1,0,3,1,0,1,3,2,0,1,0,2,1,1,595
61,"KOLHUA SHAHU",574,444,0,1018,343,256,0,599,258,0,139,114,138,167,5,1,2,2,1,1,1,1,1,4,3,8,1,1,1,1,1,4,0,2,599
62,KAMASIN,379,334,0,713,235,228,0,463,199,0,16,230,24,163,1,4,1,0,0,1,0,1,0,4,3,4,1,1,1,1,3,1,0,3,463
63,KAMASIN,595,448,0,1043,330,248,0,578,249,0,139,112,60,244,4,1,0,1,1,1,1,1,2,1,0,1,3,1,0,1,1,2,1,0,578
64,GADGEDI,605,482,0,1087,328,261,0,589,253,0,26,205,122,172,8,2,1,0,5,1,1,1,3,3,5,11,3,1,0,5,3,6,2,3,589
65,GAHIYA,531,435,0,966,307,235,0,542,233,0,68,202,93,155,1,1,0,1,1,0,1,0,1,0,0,1,2,4,3,6,0,1,0,1,542
66,DALLAPATTI,689,509,0,1198,439,281,0,720,310,0,187,160,120,193,5,3,2,6,3,0,5,2,5,5,2,15,0,0,1,2,1,1,0,2,720
67,DALLAPATTI,310,257,0,567,178,159,0,337,145,0,41,19,90,152,4,1,1,0,0,1,1,2,3,2,0,0,3,0,1,7,2,4,2,1,337
68,DINGURPATTI,602,473,0,1075,352,258,0,610,262,0,24,88,13,420,4,4,2,2,1,1,0,3,5,3,1,3,3,1,0,15,4,8,2,3,610
69,MADANPATTI,498,386,0,884,392,213,0,605,260,0,81,93,287,119,1,3,1,0,1,0,3,2,0,7,0,2,0,0,2,0,0,1,0,2,605
70,MUGALPATTI,370,277,0,647,191,155,0,346,149,0,37,24,67,194,1,2,0,2,0,1,0,2,1,1,1,5,0,0,0,2,2,3,1,0,346
71,CHILH,835,715,0,1550,574,304,0,878,378,0,45,126,210,429,6,3,0,3,1,1,2,2,1,5,0,10,4,5,4,3,2,9,5,2,878
72,CHILH,809,669,1,1479,421,350,0,771,332,0,144,142,143,304,2,6,1,1,1,0,2,2,1,2,0,6,4,4,1,0,0,2,0,3,771
73,BHATEWARA,554,446,0,1000,349,257,0,606,261,0,164,214,63,124,2,5,4,0,0,1,1,3,1,4,4,4,4,1,2,0,0,2,1,2,606
74,MALADHAPUR,663,522,0,1185,413,305,0,718,261,0,262,90,59,270,2,1,0,1,0,0,1,3,2,1,3,4,2,0,0,5,2,5,1,4,718
75,MALADHAPUR,708,570,1,1279,520,312,0,832,358,0,295,17,154,290,8,3,0,5,2,2,3,5,6,4,6,23,1,1,2,2,1,2,0,0,832
76,SHIVPUR,859,652,0,1511,531,374,0,905,389,0,89,148,86,476,10,4,2,3,0,1,5,4,21,12,5,12,4,0,3,7,3,6,1,3,905
77,GHAMAHAPUR,669,572,0,1241,330,280,0,610,262,0,33,105,86,317,3,4,2,4,0,1,2,3,5,3,2,10,3,5,3,6,0,4,3,6,610
78,GHAMAHAPUR,585,452,0,1037,404,272,0,676,291,0,39,132,195,257,4,8,1,1,2,1,5,1,8,3,1,3,1,1,0,5,1,5,0,2,676
79,AKORI,642,505,0,1147,276,194,0,470,202,0,65,5,29,333,2,1,5,3,1,0,1,4,7,1,2,3,0,0,0,3,0,4,1,0,470
80,AKORI,686,486,1,1173,370,270,0,640,275,0,45,188,26,313,4,2,4,2,1,1,3,2,3,3,3,5,4,5,1,10,1,5,3,6,640
81,AKORI,671,526,0,1197,339,231,0,570,245,0,142,2,16,401,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,570
82,AKORI,501,399,1,901,262,203,0,465,200,0,112,77,24,215,2,0,1,0,0,0,2,2,5,1,1,3,2,0,0,2,1,7,3,5,465
83,AKORI,362,289,0,651,191,137,0,328,141,0,68,6,4,236,0,0,3,1,0,0,0,0,0,0,0,6,1,0,0,3,0,0,0,0,328
84,"MADGUDA ISTHIT GOPALPUR",513,431,0,944,316,217,0,533,229,0,50,140,8,237,7,2,0,0,3,5,12,9,6,6,0,7,7,5,2,12,5,4,1,5,533
85,"MADGUDA ISTHIT GOPALPUR",469,284,0,753,221,141,0,362,157,0,42,53,5,212,2,2,0,3,1,0,6,7,1,6,3,5,1,2,2,4,0,5,0,0,362
86,"BAGHARA TIWARI",382,341,0,723,198,196,0,394,169,0,65,164,23,108,4,0,0,1,0,1,1,2,2,3,2,7,3,2,1,0,0,4,1,0,394
87,"BAGHARA TIWARI",305,234,0,539,165,128,0,293,126,0,144,41,31,55,4,2,1,1,0,1,1,1,0,1,0,6,1,0,1,0,1,1,0,0,293
88,MAHRAURA,743,575,0,1318,409,369,0,778,335,0,26,153,171,364,1,3,1,2,5,1,6,3,15,3,3,5,1,2,1,2,0,7,1,2,778
89,CHHILPI,554,417,0,971,351,229,0,580,249,0,22,42,8,479,5,2,0,0,1,0,2,1,1,1,4,5,0,2,0,1,1,3,0,0,580
90,VIROHI,785,643,0,1428,428,380,0,808,347,0,18,330,6,374,2,1,2,3,2,0,3,3,9,2,8,11,2,6,0,10,1,7,3,5,808
91,VIROHI,847,614,0,1461,357,277,0,634,273,0,60,120,108,303,4,2,0,1,1,1,2,2,5,4,2,8,0,2,1,2,1,2,0,3,634
92,PIYARIBHIT,754,626,0,1380,365,343,0,708,304,0,29,249,19,285,8,8,7,6,5,7,1,4,4,4,51,8,3,1,1,3,1,3,0,1,708
93,BHATEWARA,714,564,0,1278,329,224,0,553,238,0,41,81,56,304,1,1,0,0,10,2,2,0,2,0,32,4,1,1,1,4,1,5,1,3,553
94,BHATEWARA,540,445,0,985,302,247,0,549,236,0,50,301,49,88,1,5,2,1,21,1,1,2,1,3,1,1,3,12,1,2,0,1,0,2,549
95,BHATEWARA,471,332,0,803,244,164,0,408,175,0,18,148,124,91,2,0,2,1,1,0,0,1,1,1,0,1,1,6,2,2,2,2,0,2,408
96,KATHAWAIYA,496,355,1,852,252,171,0,423,182,0,140,57,37,145,0,3,0,0,0,2,0,1,2,2,25,5,0,1,0,0,0,1,0,2,423
97,GAZIPUR,354,332,0,686,246,210,0,456,196,0,12,272,38,96,2,4,1,4,0,0,0,0,0,2,11,2,1,4,0,0,0,2,3,2,456
98,"KALANA GAHARAWAR",340,258,0,598,171,115,0,286,123,0,3,161,17,86,3,6,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,5,0,1,286
99,"KALANA GAHARAWAR",880,701,0,1581,461,329,0,790,340,0,85,322,123,213,7,5,2,3,1,1,1,1,1,1,7,1,0,6,1,0,5,2,0,2,790
100,"KALANA DUBEY",462,386,0,848,321,222,0,543,233,0,29,43,113,320,2,0,0,0,1,0,3,3,2,3,13,2,2,0,2,0,0,2,2,1,543
101,"GODSAR SARPATI",748,596,0,1344,452,339,0,791,340,0,128,75,50,442,5,1,2,3,44,1,1,4,3,1,2,3,2,4,2,3,2,8,0,5,791
102,"GODASAR SARPATI",634,484,0,1118,309,192,0,501,215,0,28,40,247,112,2,4,1,0,27,0,3,2,2,5,0,10,1,1,2,4,2,2,2,4,501
103,SINDHURIYA,678,514,0,1192,392,306,0,698,300,0,30,248,78,287,4,2,0,2,2,2,1,4,2,1,2,7,3,1,1,3,1,8,5,4,698
104,"GODSAR PANDEY",537,461,0,998,290,266,0,556,239,0,33,60,145,257,4,1,1,2,3,1,4,0,6,8,4,9,0,0,3,5,1,4,0,5,556
105,"SIKARA KALAN",580,449,0,1029,299,266,0,565,243,0,29,213,22,227,3,5,1,1,1,1,2,1,2,3,3,4,4,17,1,11,1,4,1,8,565
106,"KAMHARIYA KALAN",627,506,0,1133,346,295,0,641,276,0,50,193,89,238,5,3,2,1,9,0,6,2,4,5,2,10,0,1,1,1,1,7,5,6,641
107,"KHAMHARIYA KALAN",638,495,0,1133,390,314,0,704,303,0,32,237,86,288,4,3,2,2,1,0,3,1,5,4,6,4,2,4,4,4,0,5,4,3,704
108,"BIRAURA PANDEY",457,425,0,882,237,211,0,448,193,0,29,65,49,280,4,1,0,1,2,0,1,0,0,2,0,3,1,2,1,2,0,3,0,2,448
109,"BIRAURA PANDEY",456,404,0,860,248,140,0,388,167,0,31,76,26,234,2,0,0,0,4,1,0,1,2,2,3,1,0,1,0,1,0,3,0,0,388
110,RAIPURI,567,433,0,1000,316,249,0,565,243,0,37,150,49,262,5,3,1,1,1,2,2,3,0,3,0,4,5,13,3,9,1,7,1,3,565
111,DUGRAHA,681,525,0,1206,318,296,0,614,264,0,29,174,100,285,5,0,1,2,0,0,2,0,0,0,3,0,0,2,1,3,2,3,1,1,614
112,TELIYANI,557,439,0,996,249,186,0,435,187,0,56,87,42,212,7,4,0,0,1,1,2,1,3,3,1,4,2,0,0,1,2,5,0,1,435
113,BHILAURA,285,221,0,506,161,135,0,296,127,0,13,98,41,134,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,2,0,296
114,"NIBI GAHARWAR",672,579,0,1251,345,297,0,642,276,0,20,110,134,328,3,5,3,3,2,1,1,0,4,2,2,9,3,1,1,1,2,3,2,2,642
115,"NIBI GAHARWAR",650,524,0,1174,275,290,0,565,243,0,13,183,22,313,1,3,2,5,0,2,1,3,3,1,3,5,2,0,0,3,0,0,0,0,565
116,NAUGAWAN,580,468,0,1048,305,279,0,584,251,0,58,273,119,90,4,8,0,4,1,1,1,0,2,3,5,12,0,0,0,0,0,2,1,0,584
117,NAUGAWAN,696,515,0,1211,347,282,0,629,270,0,108,205,45,236,2,0,1,1,0,0,0,0,1,3,4,4,2,5,0,5,0,3,2,2,629
118,"KURAUTHI PANDEY",652,542,0,1194,333,318,0,651,280,0,32,164,54,337,2,4,2,2,1,3,3,3,9,2,4,9,1,0,2,4,3,5,2,3,651
119,ADAMPUR,444,310,0,754,211,167,0,378,163,0,26,93,141,109,0,2,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,378
120,ARJUNPUR,287,246,0,533,171,170,0,341,147,0,6,234,20,61,1,0,0,0,0,0,1,0,1,2,7,1,0,1,1,1,0,1,2,1,341
121,"BABHANI MU PARWA",483,354,0,837,236,209,0,445,191,0,27,88,141,156,3,2,0,1,1,0,3,1,0,6,3,8,0,0,0,0,0,3,2,0,445
122,NADINI,787,583,1,1371,334,244,0,578,249,0,24,162,70,268,3,1,0,1,0,2,4,2,9,4,4,3,1,2,0,4,5,6,1,2,578
123,NADINI,708,568,0,1276,320,239,0,559,240,0,35,188,42,237,3,5,1,2,1,1,0,2,3,4,6,9,3,0,1,4,0,6,3,3,559
124,NIFARA,879,681,0,1560,420,388,0,808,347,0,30,237,162,322,8,6,1,1,0,0,3,0,3,4,6,4,0,1,2,8,2,4,2,2,808
125,JOPA,869,668,1,1538,445,365,0,810,348,0,22,156,81,487,5,3,3,2,1,3,1,7,13,1,1,12,1,1,1,3,0,3,1,2,810
126,JOPA,606,495,0,1101,353,265,0,618,266,0,20,38,211,304,3,4,2,0,0,2,1,0,2,4,1,2,1,1,4,7,2,8,0,1,618
127,PARWA,517,395,0,912,250,172,0,422,181,0,24,76,16,269,4,2,1,0,0,1,1,0,1,0,0,0,1,2,4,9,1,7,1,2,422
128,"DANTI PATTI",245,229,0,474,145,142,0,287,123,0,12,121,15,121,0,1,1,1,0,0,0,1,4,0,2,3,2,0,1,0,0,2,0,0,287
129,SUPANTHA,270,241,0,511,157,144,0,301,129,0,11,138,18,113,2,1,0,2,0,1,1,0,0,0,0,1,3,3,1,2,0,1,2,1,301
130,THANIPATTI,406,338,0,744,254,188,0,442,190,0,9,42,236,127,1,0,1,0,0,1,1,2,0,2,2,6,0,0,2,1,0,4,3,2,442
131,AGHAWAR,539,444,0,983,247,194,0,441,190,0,35,80,20,281,3,2,0,2,0,1,2,0,5,0,0,3,0,1,0,3,1,1,0,1,441
132,"TILAI CHAUHAN",362,307,0,669,216,170,0,386,166,0,10,148,33,167,1,1,1,1,2,2,0,1,5,3,4,3,0,1,1,1,0,1,0,0,386
133,"TILAI MAUAR",785,663,0,1448,402,385,0,787,338,0,157,187,31,351,3,4,1,6,0,1,0,3,7,3,4,9,5,1,0,5,1,4,1,3,787
134,BABURA,677,508,0,1185,318,298,0,616,265,0,45,172,83,243,3,1,2,1,4,2,4,4,5,2,0,14,7,4,0,3,2,5,2,8,616
135,BABURA,558,438,0,996,233,190,0,423,182,0,2,3,0,4,0,2,0,0,0,0,1,8,334,5,10,30,2,7,2,4,1,7,0,1,423
136,BABURA,683,536,0,1219,295,244,0,539,232,0,43,71,5,403,6,0,0,0,1,0,0,0,3,2,1,2,1,1,0,0,0,0,0,0,539
137,BIJARKALAN,685,558,0,1243,328,308,0,636,273,0,37,178,159,222,8,2,1,5,3,0,4,3,0,2,4,1,0,0,2,3,0,2,0,0,636
138,ASHWA,376,327,0,703,200,222,0,422,181,0,10,277,46,80,1,0,0,1,0,2,1,0,1,0,0,0,1,1,1,0,0,0,0,0,422
139,GADCHADAICHA,419,364,0,783,224,179,0,403,173,0,15,52,17,271,4,0,0,0,1,0,0,1,3,1,0,5,2,5,2,10,3,7,2,2,403
140,CHADAICHA,301,260,0,561,153,129,0,282,121,0,7,9,102,137,2,1,0,0,0,0,1,0,0,3,2,3,2,1,2,3,2,2,1,2,282
141,"PAKSEDA DADAWA",331,300,0,631,191,169,0,360,155,0,106,63,19,149,3,0,2,1,0,1,0,1,2,2,2,3,1,0,1,1,1,2,0,0,360
142,"BASANT PATTI",741,585,0,1326,341,276,0,617,265,0,107,192,71,149,2,5,2,1,6,1,15,26,3,0,1,9,5,5,2,6,2,4,2,1,617
143,"KATRA ISTHIT SAROI BABU",497,427,0,924,305,220,0,525,226,0,113,15,5,363,2,1,0,2,2,2,1,0,5,1,0,4,0,1,0,2,2,1,2,1,525
144,"ATRAILA URF BHAUSINGH KA PURA",744,638,0,1382,406,359,0,765,329,0,78,142,52,318,5,2,4,4,63,4,5,1,2,1,1,8,11,11,6,17,3,15,1,11,765
145,VIJAYPUR,549,447,0,996,315,274,0,589,253,0,32,367,23,82,1,5,0,5,1,0,2,1,4,3,5,9,5,17,3,11,1,2,2,8,589
146,VIJAYPUR,463,385,0,848,277,213,0,490,211,0,15,72,18,336,4,1,1,3,0,1,4,4,4,1,3,10,0,2,2,0,4,3,1,1,490
147,VIJAYPUR,654,565,0,1219,331,254,0,585,252,0,9,325,33,142,3,1,0,2,3,4,3,3,7,0,7,17,1,5,1,3,3,5,5,3,585
148,VIJAYPUR,658,510,0,1168,283,235,0,518,223,0,156,168,25,129,4,3,1,2,2,0,2,2,2,0,3,5,2,3,1,2,1,2,2,1,518
149,VIJAYPUR,677,586,0,1263,249,214,0,463,199,0,87,191,27,109,3,2,1,2,8,1,4,3,1,2,2,8,2,0,0,4,1,1,0,4,463
150,VIJAYPUR,768,673,0,1441,327,340,0,667,287,0,219,166,9,229,3,2,1,3,2,0,3,3,1,3,3,6,2,1,0,3,2,3,1,2,667
151,VIJAYPUR,324,289,0,613,155,147,0,302,130,0,58,61,11,145,1,0,2,0,1,0,1,3,4,2,1,4,1,0,0,2,2,1,0,2,302
152,VIJAYPUR,541,454,0,995,232,218,0,450,194,0,189,99,14,121,4,2,0,1,0,2,0,0,1,0,0,3,4,1,2,0,1,4,1,1,450
153,VIJAYPUR,590,481,0,1071,243,246,0,489,210,0,330,50,24,68,0,0,0,0,0,0,0,4,1,1,1,1,1,0,0,0,0,4,2,2,489
154,"MAHUARI KHURD",560,487,0,1047,289,264,0,553,238,0,6,120,102,235,6,3,1,3,5,1,1,1,1,3,0,4,4,11,10,10,2,11,5,8,553
155,"ARANGI SARPATI",525,421,0,946,285,237,0,522,224,0,20,162,59,232,4,1,1,0,3,0,1,3,4,4,7,6,1,2,1,2,0,4,3,2,522
156,VINDHYACHAL,826,623,0,1449,510,296,0,806,347,0,125,31,19,595,4,1,0,0,2,0,1,0,6,1,1,7,1,1,0,3,0,5,0,3,806
157,VIDHAYACHAL,758,564,0,1322,489,284,0,773,332,0,31,8,12,689,2,0,1,2,0,0,5,1,3,1,1,3,1,0,1,4,0,5,0,3,773
158,VINDHYACHAL,658,526,0,1184,469,285,0,754,324,0,46,27,5,595,5,4,2,1,2,0,4,2,9,1,3,5,5,1,0,14,5,12,1,5,754
