"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MUKUL","2 - RAJ BABBAR","3 - VIJAY KUMAR SINGH","4 - SUDHAN KUMAR","5 - NARESH GAUTAM","6 - SHAZIA ILMI MALIK","7 - SURESH PAL","8 - KESHAV CHOUDHARY","9 - NITIN","10 - RAMPHAL SHAKYA","11 - RINKU KUMAR TYAGI","12 - VINOD KUMAR TYAGI","13 - SALEEM MALIK","14 - SABIR","15 - SANJEEV KUMAR","16 - None of the Above","Total Votes Secured"
11,"PRI. SCHOOL SUTHARI.",774,657,0,1431,494,355,0,849,849,0,181,22,394,224,3,16,2,0,1,0,0,0,0,0,0,6,849
12,"PRI. SCHOOL KHORAJPUR",380,299,0,679,255,167,0,422,422,0,52,61,4,300,1,3,0,0,0,0,0,0,0,0,0,1,422
13,"PRI. SCHOOL NO. 1 NEKPUR SABITNAGAR",819,611,0,1430,489,333,0,822,100,0,232,371,85,119,2,8,0,1,1,1,1,0,1,0,0,0,822
14,"PRI. SCHOOL NO. 2	 NEKPUR SABITNAGAR",557,462,0,1019,314,260,0,574,558,0,104,70,368,13,0,7,2,1,0,0,0,0,0,0,3,6,574
15,"PRI. SCHOOL NO. 2	 NEKPUR SABITNAGAR",697,536,0,1233,434,304,0,738,734,0,93,453,49,108,1,17,0,1,0,3,1,1,3,1,2,5,738
16,"PRI. SCHOOL VIHANG",371,335,0,706,220,170,0,390,390,0,85,19,270,4,0,0,0,0,0,1,0,1,0,4,0,6,390
17,"J.K.M. . SCHOOL REWDI REWDA",592,434,0,1026,460,288,0,748,748,0,49,42,599,33,0,3,0,1,0,0,0,2,0,6,9,4,748
18,"J.K.M.  SCHOOL REWDI REWDA",606,486,0,1092,473,329,0,802,802,0,184,30,555,14,0,3,0,0,0,2,0,0,3,7,3,1,802
19,"PRI. SCHOOL MANOLI",511,424,0,935,311,231,0,542,300,0,143,75,299,0,1,7,2,0,1,0,0,0,0,4,6,4,542
20,"PRI. SCHOOL  SULTANNAGAR CHCHJUPUR",280,232,0,512,178,121,0,299,297,0,107,54,131,2,0,5,0,0,0,0,0,0,0,0,0,0,299
21,"PRI. SCHOOL MILAK CHAKARPUR",527,427,0,954,402,302,0,704,704,0,184,98,382,21,2,5,0,0,0,1,0,1,0,4,3,3,704
22,"JUNIOR HIGH SCHOOL BHADOLI",665,516,0,1181,494,323,0,817,22,0,149,101,528,27,0,4,0,0,0,0,1,2,0,1,2,2,817
23,"PRI. SCHOOL NAVIPUR",277,231,0,508,216,186,0,402,399,0,77,69,185,58,0,10,0,0,0,0,0,0,0,1,1,1,402
24,"JUNIAR HIGH SCHOOL SULTANPUR",486,395,0,881,350,246,0,596,596,0,88,110,371,20,1,1,0,0,0,2,1,0,0,0,1,1,596
25,"JUNIOR HIGH SCHOOL SULTANPUR",544,445,0,989,380,328,0,708,708,0,116,285,270,21,0,5,0,1,0,0,0,1,1,1,6,1,708
26,"JUNIOR HIGH JALALPUR DIDHAR",422,314,0,736,252,148,0,400,300,0,71,29,264,9,1,16,0,0,0,0,1,1,1,1,2,4,400
27,"JUNIOR HIGH JALALPUR DIDHAR",462,372,0,834,278,186,0,464,464,0,136,41,281,3,0,2,0,0,0,0,0,0,0,0,0,1,464
28,"JUNIOR HIGH JALALPUR DIDHAR",441,349,0,790,305,204,0,509,507,0,5,108,369,18,0,4,0,0,0,0,0,0,1,0,2,2,509
29,"JUNIOR HIGH JALALPUR DIDHAR",485,363,0,848,288,189,0,477,268,0,2,83,372,14,0,2,0,0,0,0,0,0,0,0,2,2,477
30,"JUNIOR HIGH SCHOOL MILAK RAWLI",470,392,0,862,310,218,0,528,518,0,32,19,440,18,0,12,0,0,0,0,1,0,0,3,3,0,528
31,"PRI. SCHOOL  KHARJIVANPUR KHIMAWATI",584,424,0,1008,400,260,0,660,95,0,263,39,322,17,1,4,0,0,0,0,0,0,2,3,6,3,660
32,"PRI. SCHOOL  KHARJIVANPUR KHIMAWATI",838,630,0,1468,572,368,0,940,901,0,56,148,674,36,0,6,0,1,0,0,0,2,1,6,9,1,940
33,"PRI. SCHOOL AMIRPUR GADI",379,314,0,693,237,190,0,427,425,0,223,6,131,37,0,27,0,0,0,0,0,0,0,0,1,2,427
34,"PRI. SCHOOL KUMHEDA",536,453,0,989,259,345,0,604,599,0,32,159,385,6,0,12,0,0,1,0,1,0,0,4,3,1,604
35,"PRI. SCHOOL KUMHEDA",418,328,0,746,264,190,0,454,452,0,75,59,313,2,0,2,0,0,0,0,1,0,0,1,1,0,454
36,"PRI. SCHOOL FIROJPUR",331,274,0,605,281,212,0,493,480,0,64,48,340,37,0,2,0,0,0,0,0,0,1,1,0,0,493
37,"PRI. SCHOOL KAITHWADI",301,249,0,550,259,187,0,446,442,0,58,6,364,9,0,2,0,0,0,0,0,0,0,3,3,1,446
38,"PRI. SCHOOL GYASPUR",868,630,0,1498,519,300,0,819,813,0,159,105,518,29,0,4,0,0,0,0,0,0,0,0,1,3,819
39,"PRI. SCHOOL GYASPUR",340,277,0,617,240,158,0,398,389,0,17,36,327,12,1,0,0,0,0,0,0,0,0,1,3,1,398
40,"PRI. SCHOOL ASADPUR NANGAL",439,339,0,778,267,201,0,468,37,0,252,15,185,11,0,0,0,0,0,0,0,0,0,1,2,2,468
41,"PRI. SCHOOL BANDIPUR",475,345,0,820,356,239,0,595,595,0,124,78,376,8,0,1,0,0,0,0,0,0,5,1,2,0,595
42,"PRI. SCHOOL  KAKRA",553,453,0,1006,382,251,0,633,42,0,29,56,513,20,0,8,0,0,1,1,1,0,0,1,0,3,633
43,"PRI. SCHOOL  KAKRA",445,352,0,797,331,230,0,561,556,0,220,31,288,7,0,8,0,0,0,1,0,0,0,2,1,3,561
44,"PRI. SCHOOL SHAHZADPUR",415,356,0,771,298,216,0,514,514,0,3,69,431,4,0,3,0,0,0,0,0,1,0,2,1,0,514
45,"PRI. SCHOOL SHAHZADPUR",405,400,0,805,278,242,0,520,520,0,211,50,246,2,0,3,0,0,0,1,0,0,1,4,0,2,520
46,"PRI. SCHOOL KHURAMPUR",447,369,0,816,376,255,0,631,631,0,39,61,497,20,0,9,0,0,1,0,0,0,0,1,2,1,631
47,"PRI. SCHOOL KHURAMPUR",460,391,0,851,393,286,0,679,23,0,68,109,450,24,0,11,1,0,0,0,0,0,2,5,6,3,679
48,"PRI. SCHOOL ROSHANPUR PATTI PRATAP SALEMABAD",615,500,0,1115,426,371,0,797,797,0,329,110,309,32,0,3,1,1,0,1,2,0,0,2,4,3,797
49,"PRI. SCHOOL ROSHANPUR PATTI JIRAM  SALEMABAD",359,328,0,687,263,237,0,500,483,0,19,87,357,26,0,2,0,0,0,1,0,1,1,5,1,0,500
50,"PRI. SCHOOL HUSAINPUR",736,606,0,1342,382,359,0,741,704,0,125,134,453,8,0,0,0,0,1,0,1,0,2,5,6,6,741
51,"PRI. SCHOOL SARNA MURADNAGR",617,530,0,1147,447,346,0,793,791,0,35,94,638,7,1,11,0,0,0,0,0,0,1,2,2,2,793
52,"PRI. SCHOOL SARNA MURADNAGR",407,343,0,750,282,212,0,494,32,0,200,51,233,2,0,2,0,0,0,0,0,0,0,0,1,5,494
53,"PRI. SCHOOL . JALALPUR RAGHUNATH",504,380,0,884,429,280,0,709,709,0,506,17,162,16,0,8,0,0,0,0,0,0,0,0,0,0,709
54,"PRI. SCHOOL . JALALPUR RAGHUNATH",589,555,0,1144,360,287,0,647,442,0,46,400,141,34,1,9,0,3,0,1,1,1,2,1,0,7,647
55,"PRI. SCHOOL . JALALPUR RAGHUNATH",652,549,0,1201,382,280,0,662,313,0,66,400,116,41,3,27,1,0,0,0,0,0,3,1,2,2,662
56,"PRI. SCHOOL SHOBHPUR",275,221,0,496,205,181,0,386,378,0,79,9,283,2,2,7,0,0,0,0,0,0,0,0,3,1,386
57,"PRI. SCHOOL BASANTPUR SAITHLI",578,498,0,1076,426,288,0,714,699,0,45,121,469,47,0,17,0,0,0,0,0,0,0,4,7,4,714
58,"PRI. SCHOOL . JALALPUR RAGHUNATH",534,404,0,938,282,212,0,494,349,0,15,69,374,15,2,5,0,0,0,0,2,0,1,1,6,4,494
59,"PRI. SCHOOL BASANTPUR SAITHLI",708,529,0,1237,494,265,0,759,717,0,252,83,384,25,0,3,0,2,0,0,0,2,1,2,2,3,759
60,"PRI. SCHOOL . JALALPUR RAGHUNATH",753,505,0,1258,475,275,0,750,676,0,202,115,372,26,0,16,1,3,0,0,1,0,1,5,4,4,750
61,"PRI. SCHOOL MAHIUDDINPUR HISALI",623,511,0,1134,471,331,0,802,795,0,143,51,536,51,0,11,0,1,0,0,0,0,1,3,5,0,802
62,"SMT. VIDYA PANT JUNIOR HIGH SCHOOL, ASALAT NAGAR",1097,876,2,1975,449,269,0,718,650,0,41,31,569,15,0,58,1,0,0,0,0,0,0,0,1,2,718
63,"SMT. VIDYA PANT JUNIOR HIGH SCHOOL, ASALAT NAGAR",813,705,1,1519,502,398,0,900,870,0,76,40,711,18,2,43,1,1,0,1,1,0,2,4,0,0,900
64,"SMT. VIDYA PANT JUNIOR HIGH SCHOOL, ASALAT NAGAR",824,668,0,1492,578,394,0,972,890,0,316,79,549,5,1,20,1,0,0,0,0,0,0,0,0,1,972
65,"PRI. SCHOOL MOHD. PUR DHEDA",566,468,1,1035,357,266,0,623,89,0,38,93,430,23,0,34,0,1,1,0,1,0,0,0,1,1,623
66,"PRI. SCHOOL MOHD. PUR DHEDA",878,722,0,1600,700,428,0,1128,1128,0,294,136,603,39,2,25,4,1,1,2,1,0,0,0,6,14,1128
67,"ADARSH SHIKSHA SADAN INTER COLLEGE MURADGRAMPUR PURSI",636,522,0,1158,442,325,0,767,760,0,142,36,521,19,0,27,2,1,1,0,0,0,0,0,3,15,767
68,"ADARSH SHIKSHA SADAN INTER COLLEGE MURADGRAMPUR PURSI",450,412,0,862,291,242,0,533,533,0,41,56,377,40,1,9,0,0,1,0,0,0,1,0,0,7,533
69,"ADARSH SHIKSHA SADANA INTER COLLEGE MURADNAGRAM PUR PURSI",868,700,0,1568,601,398,0,999,998,0,210,41,625,103,0,10,0,0,1,1,0,0,0,0,2,6,999
70,"JAWAHER MEMO. GIRL INT. CO. ORDNANCE FACTORY.",137,124,0,261,76,63,0,139,139,0,25,31,76,1,0,4,0,0,0,0,0,0,0,0,0,2,139
71,"JAWAHER MEMO. GIRL INT. CO. ORDNANCE FACTORY.",479,437,0,916,280,233,0,513,499,0,79,97,280,11,0,41,0,0,0,2,2,0,0,1,0,0,513
72,"JAWAHER MEMO. GIRL INT. CO. ORDNANCE FACTORY.",704,557,0,1261,332,279,0,611,605,0,68,67,410,11,1,51,0,0,0,0,0,0,0,0,2,1,611
73,"ORDINANCE FACTORY INT. COLLEGE MURADNAGAR",425,356,0,781,204,163,0,367,257,0,84,49,203,2,0,28,0,0,0,0,0,0,1,0,0,0,367
74,"ORDINANCE FACTORY INT. COLLEGE MURADNAGAR",210,190,0,400,132,122,0,254,248,0,26,19,176,6,0,26,0,0,0,0,0,0,0,0,0,1,254
75,"ORDINANCE FACTORY INT. COLLEGE MURADNAGAR",301,265,0,566,185,138,0,323,280,0,63,42,167,13,0,34,1,0,0,0,0,0,0,0,2,1,323
76,"ORDINANCE FACTORY INT. COLLEGE MURADNAGAR",591,519,0,1110,310,302,0,612,600,0,50,81,394,9,1,60,0,1,1,0,4,1,3,1,0,6,612
77,"DAYANAND MEMO. JUNIOR HIGH SCHOOL MOHD.PUR DHEDA",517,464,0,981,390,321,0,711,705,0,29,63,555,27,1,35,0,0,0,0,0,0,0,1,0,0,711
78,"DAYANAND MEMO. JUNIOR HIGH SCHOOL MOHD.PUR DHEDA",432,403,0,835,314,254,0,568,529,35,35,49,436,27,0,16,2,0,0,0,0,0,0,0,0,3,568
79,"DAYANAND MEMO. JUNIOR HIGH SCHOOL MOHD.PUR DHEDA",593,552,0,1145,412,360,0,772,737,0,207,45,480,15,0,25,0,0,0,0,0,0,0,0,0,0,772
80,"DAYANAND MEMO. JUNIOR HIGH SCHOOL MOHD.PUR DHEDA",625,549,0,1174,475,395,0,870,790,0,199,60,535,34,0,32,3,1,2,1,2,0,0,0,0,1,870
81,"DAYANAND MEMO. JUNIOR HIGH SCHOOL MOHD.PUR DHEDA",710,644,0,1354,435,352,0,787,787,0,60,39,646,29,0,10,0,0,0,0,0,0,0,0,1,2,787
82,"DAYANAND MEMO. JUNIOR HIGH SCHOOL MOHD.PUR DHEDA",610,549,0,1159,375,332,0,707,605,0,28,39,588,23,0,26,0,0,0,0,0,1,0,0,2,0,707
83,"DAYANAND MEMO. JUNIOR HIGH SCHOOL MOHD.PUR DHEDA",641,557,0,1198,411,327,0,738,382,0,142,31,525,20,1,14,0,0,0,0,0,0,0,0,4,1,738
84,"OMSON PUBLIC SCHOOL MURADNAGR",754,607,0,1361,397,312,0,709,556,0,60,41,584,5,0,13,0,1,0,1,0,0,1,0,1,2,709
85,"OMSON PUBLIC SCHOOL MURADNAGR",559,474,0,1033,356,315,0,671,150,0,36,163,434,20,0,13,0,0,0,0,0,0,0,3,1,1,671
86,"OMSON PUBLIC SCHOOL MURADNAGR",513,432,0,945,312,243,0,555,22,0,88,116,321,20,0,5,0,0,0,0,0,0,0,1,3,1,555
87,"OMSON PUBLIC SCHOOL MURADNAGR",432,370,0,802,302,266,0,568,563,0,89,61,396,11,0,1,2,1,0,1,0,0,0,2,3,1,568
88,"OMSON PUBLIC SCHOOL MURADNAGR",453,442,0,895,319,295,0,614,614,0,44,54,488,8,0,12,0,0,1,1,0,0,0,1,2,3,614
89,"OMSON PUBLIC SCHOOL MURADNAGR",556,509,0,1065,405,375,0,780,780,0,104,75,538,20,0,36,6,0,0,0,0,0,0,0,1,0,780
90,"OMSON PUBLIC SCHOOL MURADNAGR",704,526,0,1230,412,275,0,687,680,0,56,52,552,9,0,12,0,0,1,0,1,0,0,1,0,3,687
91,"OMSON PUBLIC SCHOOL MURADNAGR",425,381,0,806,254,198,0,452,449,0,15,40,370,7,0,13,1,1,0,0,0,1,0,0,2,2,452
92,"CHAMPA DEVI MEMO . SCHOOL UKHALRASHI",848,768,0,1616,557,485,0,1042,1007,0,119,107,755,15,0,27,0,0,0,0,0,0,1,5,5,8,1042
93,"CHAMPA DEVI MEMO . SCHOOL UKHALRASHI",478,386,0,864,314,244,0,558,513,0,66,67,405,10,1,5,0,0,1,0,0,0,0,0,1,2,558
94,"CHAMPA DEVI MEMO . SCHOOL UKHALRASHI",489,386,0,875,309,229,0,538,513,0,40,34,440,6,1,15,0,0,0,0,0,0,0,0,1,1,538
95,"PRI. SCHOOL. UKHALARASI NO. 2",473,446,0,919,321,281,0,602,602,0,59,41,450,14,1,28,5,0,0,0,0,0,0,2,2,0,602
96,"RAGHUNATH SAHAY MEMO. PUBLIC SCHOOL",550,459,0,1009,435,323,0,758,743,0,16,53,662,8,0,9,9,0,0,0,0,0,0,0,1,0,758
97,"RAGHUNATH SAHAY MEMO. PUBLIC SCHOOL",500,404,0,904,331,244,0,575,540,0,39,70,425,15,3,18,0,0,0,0,0,0,0,1,1,3,575
98,"RAGHUNATH SAHAY MEMO. PUBLIC SCHOOL",493,389,0,882,337,225,0,562,562,0,74,78,373,11,1,14,1,0,1,2,0,0,0,0,6,1,562
99,"RAGHUNATH SAHAY MEMO. PUBLIC SCHOOL",702,551,0,1253,439,322,0,761,752,0,43,382,170,87,1,56,1,0,1,3,1,5,0,2,6,3,761
100,"RAGHUNATH SAHAY MEMO. PUBLIC SCHOOL",707,548,0,1255,361,243,0,604,495,0,5,430,24,94,0,38,1,0,0,0,0,0,1,1,3,7,604
101,"OFFICE NAGAR PALICA PRISHAD MURADNAGAR",711,548,0,1259,359,232,0,591,30,0,38,311,69,145,1,19,0,0,0,0,0,1,0,0,1,6,591
102,"OFFICE NAGAR PALICA PRISHAD MURADNAGAR",741,572,0,1313,422,271,0,693,52,0,12,479,87,93,0,15,2,0,0,0,1,0,1,1,1,1,693
103,"OFFICE NAGAR PALICA PRISHAD MURADNAGAR",715,555,0,1270,470,371,0,841,20,0,16,57,725,20,0,17,0,0,0,0,0,0,0,3,3,0,841
104,"OFFICE NAGAR PALICA PRISHAD MURADNAGAR",338,283,0,621,234,183,0,417,353,0,2,33,351,7,1,16,1,0,0,0,0,0,1,0,1,4,417
105,"KISAN NATIONAL INTER COLLEGE MURADNAGAR",474,421,0,895,252,218,0,470,470,0,0,343,92,17,0,5,0,1,0,0,1,1,0,0,5,5,470
106,"KISAN NATIONAL INTER COLLEGE MURADNAGAR",487,410,0,897,321,264,0,585,571,0,7,143,405,16,0,7,0,0,0,0,0,1,1,1,1,3,585
107,"KISAN NATIONAL INTER COLLEGE MURADNAGAR",581,514,0,1095,410,271,0,681,681,0,39,345,233,45,3,11,0,0,0,1,0,1,0,0,2,1,681
108,"KISAN NATIONAL INTER COLLEGE MURADNAGAR",567,467,0,1034,318,223,0,541,537,0,74,336,42,69,0,16,0,0,0,0,0,0,0,1,1,2,541
109,"KISAN NATIONAL INTER COLLEGE MURADNAGAR",550,448,0,998,305,214,0,519,514,0,17,403,19,62,1,16,0,0,0,0,0,0,0,0,1,0,519
110,"KISAN NATIONAL INTER COLLEGE MURADNAGAR",848,627,1,1476,573,341,0,914,900,0,268,377,139,91,0,29,3,0,1,1,1,1,0,1,0,2,914
111,"KISAN NATIONAL INTER COLLEGE MURADNAGAR",753,684,0,1437,545,450,0,995,969,0,314,397,245,21,1,7,1,0,0,0,1,2,0,0,2,4,995
112,"KISAN NATIONAL INTER COLLEGE MURADNAGAR",732,597,0,1329,396,287,0,683,683,0,25,257,337,41,0,8,2,0,0,3,0,1,1,0,5,3,683
113,"KISAN NATIONAL INTER COLLEGE MURADNAGAR",678,482,0,1160,398,232,0,630,570,0,24,143,425,18,0,12,1,0,0,0,0,0,0,1,4,2,630
114,"JUNIOR HIGH SCHOOL MURADNAGAR",342,302,0,644,279,213,0,492,422,0,11,32,438,7,0,2,0,0,0,0,1,0,1,0,0,0,492
115,"JUNIOR HIGH SCHOOL MURADNAGAR",594,543,0,1137,453,371,0,824,100,0,26,329,425,28,0,11,0,0,0,2,0,0,0,0,2,1,824
116,"JUNIOR HIGH SCHOOL MURADNAGAR",868,774,0,1642,626,490,0,1116,430,0,138,721,137,85,0,28,1,0,0,0,0,0,0,0,2,4,1116
117,"BESIC PRI. SCHOOL NO. 1 MURADNAGAR",917,742,0,1659,508,340,0,848,750,0,9,647,13,145,0,21,0,2,0,0,1,2,0,2,1,5,848
118,"BESIC PRI. SCHOOL NO. 1 MURADNAGAR",689,531,1,1221,371,220,0,591,591,0,4,369,4,199,0,10,0,0,0,2,0,0,0,0,2,1,591
119,"BESIC PRI. SCHOOL NO. 2 MURADNAGAR",673,581,0,1254,453,333,0,786,780,0,24,604,28,95,1,23,0,2,0,1,2,0,0,0,3,3,786
120,"BESIC PRI. SCHOOL NO. 2 MURADNAGAR",815,761,0,1576,597,446,0,1043,871,0,11,193,796,28,0,7,0,1,0,0,1,0,0,2,2,2,1043
121,"FAIZ-A-AAM URDU MEDIUM MADRASA RAWLI ROAD",763,621,0,1384,498,341,0,839,72,0,27,218,494,62,0,22,0,1,0,0,0,0,1,1,2,11,839
122,"MATA RAJESHWARI DEVI PUBLIC SCHOOL MURADNAGAR",559,445,0,1004,388,275,0,663,652,0,13,370,150,101,1,20,0,0,1,2,1,1,1,0,0,2,663
123,"MATA RAJESHWARI DEVI PUBLIC SCHOOL MURADNAGAR",651,505,0,1156,450,313,0,763,752,0,54,373,237,79,2,9,0,0,0,2,0,0,0,0,3,4,763
124,"MATA RAJESHWARI DEVI PUBLIC SCHOOL MURADNAGAR",606,539,0,1145,418,379,0,797,796,0,115,296,243,125,0,13,1,0,0,1,1,0,1,0,0,1,797
125,"MATA RAJESHWARI DEVI PUBLIC SCHOOL MURADNAGAR",766,621,0,1387,462,350,0,812,812,0,117,374,226,65,1,23,1,0,0,0,0,1,0,1,1,2,812
126,"MATA RAJESHWARI DEVI PUBLIC SCHOOL MURADNAGAR",641,564,0,1205,447,343,0,790,632,0,6,77,680,12,0,10,0,0,0,0,0,0,0,1,2,2,790
127,"SHRI HANS INTER COL. MURADNAGAR",497,382,0,879,331,177,0,508,502,0,9,424,32,33,0,7,0,0,0,2,0,0,0,0,0,1,508
128,"SHRI HANS INTER COL. MURADNAGAR",518,395,0,913,367,194,0,561,560,0,7,441,34,67,1,2,1,0,0,2,0,0,0,1,1,4,561
129,"SHRI HANS INTER COL. MURADNAGAR",452,369,0,821,267,184,0,451,431,0,7,246,166,17,2,10,1,0,0,0,0,0,0,1,1,0,451
130,"SHRI HANS INTER COL. MURADNAGAR",498,393,0,891,248,205,0,453,422,0,33,75,328,7,1,6,0,0,0,0,0,0,1,0,0,2,453
131,"SHRI HANS INTER COL. MURADNAGAR",839,559,0,1398,452,276,0,728,721,0,65,282,328,36,2,7,0,2,0,0,0,0,0,2,1,3,728
132,"SHRI HANS INTER COL. MURADNAGAR",454,360,0,814,307,146,0,453,445,0,3,331,44,65,0,3,0,0,1,0,0,0,1,0,2,3,453
133,"SHRI HANS INTER COL. MURADNAGAR",400,298,0,698,276,119,0,395,395,0,1,325,37,27,1,1,0,0,0,1,0,0,0,0,1,1,395
134,"SHRI HANS INTER COL. MURADNAGAR",507,396,0,903,310,216,0,526,480,0,6,474,6,25,0,14,0,0,0,1,0,0,0,0,0,0,526
135,"SHRI HANS INTER COL. MURADNAGAR",509,440,0,949,283,169,0,452,437,0,2,368,7,56,1,13,0,1,0,0,0,2,1,1,0,0,452
136,"OFFICE BLOCK DEVLOPMENT OFFICER MURADNAGAR",627,515,0,1142,432,273,0,705,580,0,3,608,8,63,0,18,0,0,0,1,2,0,0,1,1,0,705
137,"OFFICE BLOCK DEVLOPMENT OFFICER MURADNAGAR",783,642,0,1425,525,335,0,860,860,0,2,755,28,58,0,12,0,0,0,1,0,0,1,0,2,1,860
138,"PRI. SCHOOL BADKA ARIFPUR",586,505,0,1091,477,389,0,866,866,0,265,117,269,201,0,4,0,0,0,0,0,0,0,2,2,6,866
139,"PRIMERY SCHOOL MAHMUDABAD R0 N0 1",187,158,0,345,127,106,0,233,233,0,172,3,53,1,1,0,0,0,0,0,0,0,0,1,0,2,233
140,"PRIMERY SCHOOL BHIKANPUR",656,532,0,1188,454,347,0,801,119,0,400,146,167,62,1,10,0,0,1,1,0,1,0,3,1,8,801
141,"PRIMERY SCHOOL BHIKANPUR",608,458,0,1066,395,267,0,662,635,0,41,67,494,41,0,6,0,0,0,2,0,0,1,5,5,0,662
142,"BHARITYA JUNIOR HAIGH SCHOOL BHAIKANPUR",825,635,0,1460,550,443,0,993,587,0,306,94,476,84,1,18,0,0,0,0,0,0,1,6,4,3,993
143,"PRIMERY SCHOOL MILAK DUHAI",231,200,0,431,167,157,0,324,324,0,4,3,298,12,0,2,0,1,0,0,0,0,1,0,2,1,324
144,"SARCHOTURAM KISHAN INTER COLLEGE DHUAI",552,467,0,1019,391,291,0,682,677,0,387,48,226,8,0,6,0,0,0,0,1,0,0,1,3,2,682
145,"SARCHOTURAM KISHAN INTER COLLEGE DHUAI",860,674,0,1534,568,453,0,1021,1021,0,257,64,632,24,0,15,2,1,2,0,0,0,6,5,4,9,1021
146,"SIRCHOTURAM KISHAN INTER COLLEGE DHUAI",781,643,0,1424,520,386,0,906,396,0,112,101,649,23,0,13,1,0,0,0,0,0,1,2,3,1,906
147,"SIRCHOTURAM KISHAN INTER COLLEGE DHUAI",697,596,0,1293,538,399,0,937,480,0,181,96,604,27,0,19,0,0,0,2,0,1,0,3,2,2,937
148,"V M H M SHIVBAL VIDHYA MANDIR MORTA",652,487,0,1139,462,325,0,787,787,0,485,36,241,2,0,10,0,0,0,2,0,0,0,3,3,5,787
149,"V M H M SHIVBAL VIDHA MANDIR MORTA",410,315,0,725,257,203,0,460,437,0,264,14,158,13,0,5,1,0,0,0,0,0,2,2,0,1,460
150,"V M H M SHIVBAL VIDHA MANDIR MORTA",517,390,0,907,353,241,0,594,594,0,287,53,216,17,0,7,0,0,0,0,0,0,0,1,6,7,594
151,"V M H M SHIVBAL VIDHA MANDIR MORTA",422,361,0,783,299,198,0,497,497,0,184,20,277,5,0,6,0,1,0,1,0,0,0,2,0,1,497
152,"V M H M SHIVBAL VIDHA MANDIR MORTA",460,373,0,833,298,241,0,539,539,0,45,56,427,5,0,2,0,0,0,0,0,0,1,0,2,1,539
153,"JUNIOR HAIG SCHOOL MORTA",468,383,0,851,371,233,0,604,36,0,18,153,396,25,0,4,0,1,0,0,0,1,0,2,1,3,604
154,"PRIMERY SCHOOL MORTA",440,371,0,811,314,266,0,580,576,0,17,80,437,29,0,12,0,0,0,0,0,0,1,1,2,1,580
155,"PRIMERY SCHOOL MORTA",421,357,0,778,324,251,0,575,350,0,68,38,414,25,0,19,0,0,0,0,1,0,0,2,5,3,575
156,"PRIMERY SCHOOL MAHIUDDINPUR MAINAPUR",587,411,0,998,390,227,0,617,617,0,30,117,439,9,1,14,0,0,0,1,0,0,0,2,4,0,617
157,"PRIMERY SCHOOL SHAHPUR NIJ MORTA",638,484,0,1122,457,269,0,726,188,0,157,36,473,53,0,1,0,1,0,0,0,0,2,0,2,1,726
