"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKBAR AHMAD DUMPY","2 - OM PRAKASH","3 - KIRTI VARDHAN SINGH","4 - NANDITA SHUKLA","5 - BENI PRASAD VERMA","6 - AJAY  KUMAR  PRABHAKAR","7 - PREM KUMAR","8 - MASOOD ALAM KHAN","9 - MAHESH KUMAR","10 - MASHOOQ AHMAD","11 - RAJENDRA PRASAD","12 - RAJESH  KUMAR  MAURYA","13 - SATYA PRAKASH","14 - TILAK RAM","15 - BRIJNANDAN TIWARI","16 - None of the Above","Total Votes Secured"
57,"P.P. DEWARIYA MAINAHA",710,603,0,1313,329,306,0,635,618,0,52,19,266,206,52,2,3,6,0,8,0,0,3,6,6,6,635
58,"P.P. JOGIBEER",523,430,0,953,301,225,0,526,50,0,30,6,247,188,29,0,1,5,0,2,1,0,5,6,2,4,526
59,"P.P. SEKHUIYA KASBA",704,515,0,1219,234,223,0,457,457,0,10,3,47,286,33,1,2,31,3,31,0,2,2,1,0,5,457
60,"B. I. COLEGE UTRAULA K0 N0-1",483,412,0,895,233,224,0,457,450,0,19,6,239,85,52,0,0,48,2,0,1,0,2,1,1,1,457
61,"B. I. COLEGE UTRAULA K0 N0-5",419,333,0,752,202,170,0,372,290,0,18,4,246,40,39,1,2,16,1,1,1,0,0,2,0,1,372
62,"B. I. COLEGE UTRAULA K0 N0-2",802,753,0,1555,397,368,0,765,560,0,3,9,369,141,132,1,0,101,0,4,1,0,2,1,0,1,765
63,"B. I. COLEGE UTRAULA K0 N0-3",424,426,0,850,232,199,0,431,425,0,7,7,305,43,56,0,1,11,0,0,0,0,0,0,0,1,431
64,"B. I. COLEGE UTRAULA K0 N0-4",482,415,0,897,265,220,0,485,400,0,2,3,453,8,7,0,0,0,0,2,0,0,3,2,2,3,485
65,"N. P. J. H. SCHOOL UTRAULA NORTH",711,665,0,1376,425,334,0,759,759,0,6,8,513,67,137,2,0,21,0,2,0,0,1,1,0,1,759
66,"N. P. J. H. SCHOOL UTRAULA SOUTH",536,447,0,983,220,185,0,405,405,0,22,2,3,77,266,0,0,26,0,8,0,0,0,0,0,1,405
67,"P.P. NIKAT POLICE CHAUKI UTRAULA K0 N0-1",694,648,0,1342,281,257,0,538,538,0,23,5,24,131,286,3,2,55,2,1,1,0,2,1,0,2,538
68,"P.P. NIKAT POLICE CHAUKI UTRAULA K0 N0-2",480,424,0,904,171,186,0,357,357,0,19,2,1,83,226,1,0,18,0,5,0,0,0,0,0,2,357
69,"RAJKIYE DIKSHA VI. UTRAULA K0 N0-1",799,714,0,1513,430,359,0,789,670,0,10,10,517,94,128,0,0,14,0,5,0,1,1,3,2,4,789
70,"RAJKIYE DIKSHA VI. UTRAULA K0 N0-2",510,398,0,908,255,175,0,430,383,0,3,6,229,59,90,0,2,36,0,0,0,0,2,3,0,0,430
71,"RAJKIYE DIKSHA VI. UTRAULA K0 N0-3",722,663,0,1385,241,254,0,495,495,0,5,3,64,118,269,1,2,28,0,3,0,0,1,0,0,1,495
72,"RAJKIYE DIKSHA VI. UTRAULA K0 N0-4",653,508,0,1161,289,207,0,496,496,0,11,4,317,37,102,1,0,11,1,6,0,0,0,2,1,3,496
73,"M. Y. U. I. COLEGE UTRAULA ROOM N0-1",758,565,0,1323,309,224,0,533,359,0,31,2,103,102,252,2,0,27,0,10,1,0,0,2,0,1,533
74,"M. Y. U. I. COLEGE UTRAULA K0 N0-2",821,700,0,1521,349,300,0,649,649,0,11,9,137,63,377,7,0,37,0,4,1,0,1,0,1,1,649
75,"M. Y. U. I. COLEGE UTRAULA K0 N0-3",738,658,0,1396,287,213,0,500,364,0,10,12,29,132,275,2,0,29,0,1,1,0,3,0,0,6,500
76,"M. Y. U. I. COLEGE UTRAULA K0 N0-4",467,376,0,843,233,132,0,365,364,0,12,2,152,52,126,0,1,16,1,2,0,0,0,0,0,1,365
77,"M. Y. U. I. COLEGE UTRAULA K0 N0-5",435,340,0,775,161,129,0,290,290,0,4,1,112,23,121,1,0,24,0,2,0,0,0,1,0,1,290
78,"PRAG DEVI RAMFAL D.C. UTRAULA K0 N0-1",732,636,0,1368,307,266,0,573,472,0,53,1,286,116,17,0,1,81,0,0,1,0,8,4,2,3,573
79,"PRAG DEVI RAMFAL D.C. UTRAULA K0 N0-2",521,426,0,947,295,207,0,502,466,0,11,2,315,47,75,0,1,44,0,1,0,2,0,0,2,2,502
80,"PRAG DEVI RAMFAL D.C. UTRAULA K0 N0-6",441,386,0,827,186,152,0,338,301,0,19,2,145,55,44,0,1,67,0,2,0,0,0,2,0,1,338
81,"PRAG DEVI RAMFAL D.C. UTRAULA K0 N0-3",714,573,0,1287,292,255,0,547,544,0,25,8,60,53,306,1,1,90,0,1,0,0,1,0,1,0,547
82,"PRAG DEVI RAMFAL D.C. UTRAULA K0 N0-5",460,364,0,824,212,142,0,354,312,0,5,1,215,17,82,1,0,33,0,0,0,0,0,0,0,0,354
83,"VIKAS KHAND UTRAULA EAST",623,475,0,1098,197,202,0,399,373,0,5,1,253,116,11,1,0,3,0,1,1,1,0,0,1,5,399
84,"VIKAS KHAND UTRAULA WEST",599,454,0,1053,211,202,0,413,413,0,31,3,105,120,25,0,2,102,6,2,2,0,3,2,2,8,413
85,"P.P. HARNIDEEH NORTH",616,524,0,1140,225,213,0,438,435,0,29,1,60,190,117,1,1,35,1,1,0,0,0,0,1,1,438
86,"P.P. HARNIDEEH SOUTH",488,388,0,876,223,207,0,430,430,0,55,8,85,107,134,1,1,31,0,1,0,1,0,3,1,2,430
87,"P.P GURDAYALDEEH",495,421,0,916,267,205,0,472,465,0,56,13,282,41,42,1,0,21,0,1,0,0,4,3,2,6,472
88,"P.P. LALGANJ K0 N0 -1",698,490,0,1188,284,207,0,491,424,0,13,8,163,95,163,1,2,30,1,1,1,0,2,5,2,4,491
89,"P.P. LALGANJ K0 N0-2",684,525,0,1209,222,172,0,394,394,0,45,8,155,46,106,0,1,18,0,13,0,0,1,0,0,1,394
90,"P.P. BAKSARIYA",808,669,0,1477,357,300,0,657,600,0,148,0,355,94,34,3,1,5,0,6,1,3,1,4,1,1,657
91,"P.P. MIRZAPUR  NORTH",346,292,0,638,152,138,0,290,63,0,4,6,169,62,27,1,0,8,0,3,1,0,3,2,1,3,290
92,"P.P. MIRZAPUR SOUTH",544,415,0,959,208,166,0,374,374,0,41,13,89,34,162,1,0,16,1,2,2,3,3,3,1,3,374
93,"P.P. MIRZAPUR ATI0 KACCH",391,258,0,649,112,96,0,208,191,0,22,9,20,15,134,1,0,2,0,1,0,0,1,2,1,0,208
94,"PANCHAYAT BHAWAN BAJARMUNDA",249,209,0,458,147,117,0,264,264,0,22,6,167,51,3,0,0,1,0,1,0,2,4,3,1,3,264
95,"P.P. CHAPRAHIYA",587,465,0,1052,227,225,0,452,452,0,80,11,116,36,177,2,0,15,0,6,1,1,1,2,2,2,452
96,"N. P. J. H. SCHOOL HABIBPUR",266,221,0,487,143,141,0,284,100,0,59,16,122,32,47,1,0,2,1,0,0,2,1,0,0,1,284
97,"P.P. MADHPUR",758,585,0,1343,378,259,0,637,636,0,32,15,180,143,207,0,0,37,0,2,2,2,5,2,3,7,637
98,"P.P. REHRAMAFI",609,537,0,1146,351,308,0,659,649,0,5,6,235,369,22,2,1,12,1,0,0,1,0,3,0,2,659
99,"P.P. GARIB NAGAR",587,409,0,996,335,212,0,547,547,0,4,3,229,237,42,0,0,19,1,2,2,2,4,0,0,2,547
100,"P.P. CHITI",671,587,0,1258,243,260,0,503,503,0,163,7,93,149,64,3,0,10,1,1,0,0,5,3,0,4,503
101,"P.P. NAYANAGAR VISHUNPUR EAST",559,530,0,1089,277,260,0,537,92,0,34,18,264,89,98,3,2,23,0,1,0,0,2,0,1,2,537
102,"P.P. NAYANAGAR VISHUNPUR WEST",482,391,0,873,201,160,0,361,361,0,49,11,112,99,75,1,0,4,0,1,1,0,1,0,1,6,361
103,"P.P. BETHUIYA EAST",612,598,0,1210,213,188,0,401,401,0,18,12,16,76,264,4,0,4,0,1,2,1,0,2,0,1,401
104,"P.P. BETHUIYA WEST",383,323,0,706,157,130,0,287,272,0,12,6,158,32,72,0,0,2,0,0,0,1,1,1,0,2,287
105,"P.P. MAHUA MADHAW",193,203,0,396,115,155,0,270,270,0,0,0,7,254,8,1,0,0,0,0,0,0,0,0,0,0,270
106,"P.P. GOGATHAR",396,376,0,772,142,152,0,294,292,0,43,6,26,145,59,1,0,10,0,1,0,1,1,0,0,1,294
107,"J. H. SHCOOL BADYA PAKDI",455,384,0,839,230,179,0,409,330,0,51,8,186,39,108,2,1,4,0,0,0,1,2,2,0,5,409
108,"P.P. MAJHAUWA KAND",462,422,0,884,161,202,0,363,363,0,113,2,8,174,17,1,2,32,0,8,0,1,1,2,0,2,363
109,"P.P. POHPA DEWAR",256,216,0,472,136,100,0,236,211,0,36,2,93,71,14,2,0,8,1,1,1,0,1,2,0,4,236
110,"P.P. JOGIYA KARAHIYA",684,549,0,1233,315,223,0,538,538,0,15,12,328,152,12,0,1,7,0,1,0,1,1,2,0,6,538
111,"HIGHER MADHYAMIK VIDYALAI GANWARIYA KHURD",291,271,0,562,130,148,0,278,276,0,6,0,24,227,15,0,0,3,0,0,0,0,0,1,1,1,278
112,"P.P. MAJHAUWA KURTHUA",641,450,0,1091,277,218,0,495,495,0,22,11,139,188,117,2,2,3,0,0,1,1,4,2,1,2,495
113,"P.P. DILAWALPUR",293,239,0,532,162,145,0,307,307,0,33,3,180,62,13,0,0,1,1,6,3,0,2,2,0,1,307
114,"P.P. BADALPUR CHAUKHADIYA",422,326,0,748,221,162,0,383,376,0,31,9,237,41,54,0,2,3,0,0,1,1,1,2,1,0,383
115,"P.P. IMILIYA BANGHUSRA",442,345,0,787,315,212,0,527,525,0,16,8,312,126,46,1,0,2,1,2,1,1,3,2,3,3,527
116,"P.P. BASUPUR EAST",690,534,1,1225,213,157,0,370,370,0,17,16,217,44,65,0,0,9,0,0,0,0,1,1,0,0,370
117,"P.P. BASUPUR WEST",505,402,0,907,255,183,0,438,438,0,39,20,255,62,35,3,0,11,0,2,0,0,3,4,0,4,438
118,"P.P. SHIVPUR GIRANT",313,264,0,577,159,147,0,306,306,0,47,11,168,60,15,1,0,1,0,0,0,0,0,3,0,0,306
119,"P.P. BHAIRAMPUR EAST",684,553,0,1237,229,201,0,430,430,0,5,17,184,90,111,0,2,17,0,1,1,0,0,0,1,1,430
120,"P.P. BHAIRAMPUR WEST",600,503,0,1103,257,225,0,482,482,0,57,12,233,82,75,4,2,1,0,1,2,1,3,3,0,6,482
121,"P.P. BARAMBHARI NORTH",650,593,0,1243,260,225,0,485,485,0,130,8,147,141,38,1,0,6,0,3,2,1,0,0,1,7,485
122,"P.P. BARAMBHARI SOUTH",637,571,0,1208,208,168,0,376,376,0,122,3,83,81,72,0,0,2,0,1,0,0,1,1,1,9,376
123,"J. H. SHCOOL MANAPAR BAHERIYA  EAST",887,584,0,1471,324,206,0,530,501,0,57,15,129,268,49,2,2,5,0,1,0,0,0,2,0,0,530
124,"J. H. SHCOOL MANAPAR BAHERIYA WEST",864,647,1,1512,287,260,0,547,547,0,31,14,194,254,22,4,0,14,2,1,0,1,2,4,2,2,547
125,"P.P. MUSAHEBGANJ",754,587,0,1341,257,236,0,493,482,0,14,9,158,169,25,2,3,94,1,2,0,1,6,3,2,4,493
126,"P.P. GOKULA MAFI",524,453,0,977,206,191,0,397,157,0,79,10,88,144,56,3,0,1,1,1,2,1,3,2,2,4,397
127,"P.P. TEDWA EMA",346,239,0,585,137,126,0,263,233,0,43,14,105,46,44,0,0,4,0,1,0,1,1,2,0,2,263
128,"P.P. GANWARIYA BUJURG",873,657,0,1530,340,250,0,590,500,0,99,22,235,96,76,3,1,41,0,1,1,0,7,4,1,3,590
