"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMEETA SINGH","2 - PAWAN PANDEY","3 - FEROZE VARUN GANDHI","4 - SHAKEEL AHMED","5 - GIRISH LAL","6 - DR. NAFEES AHMAD","7 - PITAMBAR NISHAD","8 - RAM MILAN","9 - MOHD SHAMIM","10 - SHIV SHANKAR","11 - SHAILENDRA PRATAP SINGH","12 - SARTAJ KHAN","13 - BRIJESH KUMAR","14 - VARUN GANDHI","15 - VIJAY","16 - None of the Above","Total Votes Secured"
91,"P.S. LAVDEHA  R.NO.1",810,720,0,1530,473,408,0,881,881,0,19,324,361,132,6,3,1,1,3,1,1,2,7,11,5,4,881
92,"JU.HIGH SCHOOL JAISINGHPUR R.NO.2",877,684,0,1561,517,394,0,911,911,0,16,326,424,118,2,2,0,0,5,0,3,1,2,6,2,4,911
93,"P.S. MOKALPUR R.NO.1",420,365,0,785,209,178,0,387,287,0,6,75,215,76,1,2,0,0,1,0,1,1,3,4,1,1,387
94,"P.S. MOKALPUR R.N.1",397,337,0,734,236,200,0,436,436,0,16,149,164,85,2,0,1,0,0,0,2,3,4,5,2,3,436
95,"P.S. SADARPUR R.NO.1",396,359,0,755,282,270,0,552,552,0,13,114,389,24,0,0,1,1,0,0,3,0,3,4,0,0,552
96,"P.S. JAISINGHPUR R.NO.1",429,341,0,770,211,201,0,412,412,0,5,93,93,203,4,1,1,0,1,0,4,1,1,1,4,0,412
97,"P.S.GOPALPUR R.NO.1",292,252,0,544,206,140,0,346,346,0,5,54,119,161,0,1,1,0,1,0,0,0,1,1,0,2,346
98,"P.S. KANDHAPUR R.NO.1",362,316,0,678,230,188,0,418,418,0,13,111,197,70,3,0,1,0,0,0,2,2,6,9,2,2,418
99,"PU.MA.VI.MAHAMUDPUR LAKHANPUR R.NO.1",582,490,0,1072,351,260,0,611,611,0,14,185,321,59,3,0,1,1,0,2,2,0,4,10,7,2,611
100,"P.S. DAULATPUR R.NO.1",355,313,0,668,212,210,0,422,422,0,17,80,236,74,1,3,0,1,0,1,2,1,2,4,0,0,422
101,"P.S. PADARTHPUR R.NO.1",236,203,0,439,138,118,0,256,256,0,9,63,116,62,0,1,0,0,0,0,0,1,0,3,0,1,256
102,"P.S. BASAYAKPUR R.NO.1",504,450,0,954,276,260,0,536,536,0,19,151,292,54,2,3,1,0,0,0,2,3,1,3,3,2,536
103,"P.S. MUGAR R.NO.1",903,807,0,1710,413,426,0,839,839,0,8,43,299,455,7,1,0,1,1,0,1,2,4,9,1,7,839
104,"P.S. MUNGAR R.NO.2",882,689,0,1571,376,391,0,767,767,0,21,151,153,410,1,1,3,1,2,0,7,5,1,7,1,3,767
105,"P.S. SARTEJPUR R.NO.1",372,329,0,701,183,167,0,350,350,0,23,92,208,9,0,0,0,1,0,0,11,1,1,2,1,1,350
106,"P.S. JAGATPUR R.NO.1",171,143,0,314,75,82,0,157,153,0,4,59,88,2,1,0,0,0,0,0,0,0,2,0,1,0,157
107,"P.S. ALAVALPUR R.NO.1",327,302,0,629,203,187,0,390,390,0,9,81,225,71,2,0,1,0,0,0,0,0,0,1,0,0,390
108,"P.S. RAMCHANDARPUR R.NO1",247,207,0,454,151,120,0,271,271,0,2,35,155,65,3,0,0,1,1,0,1,1,3,0,3,1,271
109,"P.S. SATA R.N. 1",634,543,0,1177,326,271,0,597,597,0,18,152,275,127,0,0,0,1,1,0,5,0,2,12,1,3,597
110,"P.S. SATA R.NO. 2",336,288,0,624,201,182,0,383,383,0,4,225,83,49,0,1,1,1,1,1,3,0,2,7,4,1,383
111,"P.S. MUILI R.NO.1",397,355,0,752,248,253,0,501,501,0,8,103,127,254,0,2,0,0,0,0,1,0,3,2,0,1,501
112,"P.S. PURSHOTTAMPUR R.NO.1",750,606,0,1356,350,343,0,693,693,0,23,238,357,41,2,0,0,1,1,0,4,0,5,10,7,4,693
113,"P.S. GANGEV R.NO.1",803,685,0,1488,420,435,0,855,855,0,25,244,252,256,3,3,2,3,4,5,15,16,7,16,0,4,855
114,"P.S. GANGEV R.NO.2",742,663,0,1405,378,343,0,721,721,0,14,43,281,362,1,2,0,0,2,0,0,3,2,5,1,5,721
115,"P.S. SEVTARI R.NO.2",641,522,0,1163,323,297,0,620,620,0,19,167,256,149,1,1,0,0,2,0,4,3,5,5,3,5,620
116,"P.S. RAVANIYA R.NO.1",737,649,1,1387,350,362,0,712,712,0,20,258,278,111,4,3,1,2,3,1,8,3,6,6,4,4,712
117,"P.S. SARAIYA HARDO R.NO.1",641,560,1,1202,354,315,0,669,669,0,12,250,301,77,1,2,2,3,0,2,3,1,3,6,3,3,669
118,"P.S. BINCHHE KOILAHA R.NO.1",334,289,0,623,210,169,0,379,379,0,4,102,174,87,1,3,3,0,1,0,0,1,1,2,0,0,379
119,"P.S. PARSA R.NO.1",441,351,0,792,263,222,0,485,485,0,76,109,130,138,0,2,2,0,1,0,12,2,3,1,3,6,485
120,"PANCHAYAT BHAVAN PARSADA R.NO.1",449,362,0,811,235,199,0,434,434,0,15,146,157,83,4,3,0,0,0,1,6,0,3,11,4,1,434
121,"P.S. BELGARA R.NO.1",681,567,0,1248,378,358,0,736,736,0,18,247,207,205,3,2,0,0,1,1,8,1,13,15,4,11,736
122,"P.S. BAGHANA R.NO.1",502,432,0,934,266,236,0,502,502,0,11,125,247,82,4,5,1,0,2,0,1,3,7,7,4,3,502
123,"P.S. BAGHANA R.NO.2",475,409,0,884,242,231,0,473,473,0,17,188,206,23,0,1,2,2,1,2,1,1,5,11,4,9,473
124,"P.S. NUMANVA R.NO.1",554,474,0,1028,323,308,0,631,631,0,29,155,259,153,5,2,0,2,1,4,6,1,4,8,2,0,631
125,"P.S. NUMANVA R.NO.2",576,479,0,1055,331,289,0,620,620,0,19,241,186,122,4,2,1,1,2,1,5,3,5,13,4,11,620
126,"JUNIYAR HIGH SCHOOL. KARSA R.N.2",544,510,0,1054,325,294,0,619,619,0,13,196,312,57,1,3,0,5,2,2,2,3,6,10,5,2,619
127,"JU.HIGH SCHOOL PIDHI R.NO.1",700,620,0,1320,451,424,0,875,875,0,29,305,422,72,3,6,1,0,1,0,10,1,3,9,6,7,875
128,"JU.HIGH SCHOOL PIDHI R.NO.2",451,405,0,856,265,248,0,513,513,0,18,238,155,77,3,3,0,3,1,0,7,0,2,1,1,4,513
129,"P.S.  BHIKHUPUR R.NO.2",444,365,0,809,243,224,0,467,467,0,9,32,278,119,1,1,0,1,3,1,6,2,2,10,0,2,467
130,"P.S. BHIDURA R.NO.1",459,380,0,839,243,219,0,462,462,0,6,127,220,87,1,2,1,1,3,0,2,3,2,5,1,1,462
131,"P.S. KAREVAN .R.NO1.",658,539,0,1197,343,319,0,662,662,0,15,208,240,141,3,2,2,1,1,1,4,4,13,12,5,10,662
132,"JU. HIGH SCHOOL  CHANDPUR R.NO.1",428,361,0,789,256,221,0,477,477,0,16,249,138,53,3,2,1,0,0,1,1,2,3,3,1,4,477
133,"PANCHAYAT BHAWAN CHIRANEDIH R.NO.1",225,171,0,396,101,136,0,237,237,0,8,133,53,38,0,0,0,1,0,0,1,0,0,0,1,2,237
134,"P.S. VISHUNDASHPUR",547,470,0,1017,319,284,0,603,603,0,15,167,170,219,6,2,0,1,1,0,0,0,5,6,2,9,603
135,"P.S.DEVPRAPAR R.NO.1",339,301,0,640,240,238,0,478,478,0,11,182,228,47,2,0,0,0,0,0,0,1,2,3,2,0,478
136,"ENTER COLLAGE .SAPAHI R.NO.1",468,395,0,863,223,255,0,478,478,0,21,133,278,26,2,2,1,0,0,2,4,0,1,6,1,1,478
137,"P.S PARSAUHAR.NO.1",795,663,0,1458,460,416,0,876,876,0,26,276,388,107,7,3,1,2,1,2,6,4,14,23,11,5,876
138,"P.S. BHABHOT R.NO.1",658,566,0,1224,348,327,0,675,675,0,16,236,278,104,5,1,0,1,2,0,3,2,5,5,9,8,675
139,"P.S. BHABHOT R.NO.2",787,683,0,1470,407,398,0,805,805,0,150,241,293,78,2,7,2,3,0,2,2,0,3,9,6,7,805
140,"JU.HIGH SCHOOL. PEMAPUR R.NO.2",576,499,0,1075,340,310,0,650,650,0,122,108,222,181,4,1,0,0,1,0,1,0,4,3,2,1,650
141,"P.S.  KHAJURI R.NO.1",552,484,0,1036,277,303,0,580,580,0,39,132,142,227,6,1,0,2,0,2,1,1,4,9,4,10,580
142,"P.S. BIBHARPUR R.NO.1",362,341,0,703,214,208,0,422,422,0,9,170,135,87,1,0,0,0,0,0,0,1,3,7,8,1,422
143,"P.S. BHAIROPUR  R.NO.1",732,645,0,1377,415,428,0,843,843,0,204,227,197,172,1,3,1,3,1,0,6,1,3,10,5,9,843
144,"P.S. BHAWANIPUR R.NO.1",335,308,0,643,204,213,0,417,417,0,29,147,180,31,2,2,1,1,0,1,2,4,0,11,4,2,417
145,"P.S. SARAIYA PARTHAM R.NO.1",245,221,0,466,147,146,0,293,293,0,28,45,88,115,0,3,0,1,0,2,3,0,3,2,2,1,293
146,"P.S. BINDVAN R.NO.1",598,527,0,1125,348,332,0,680,680,0,22,244,285,90,4,4,0,1,3,0,4,1,4,12,1,5,680
147,"P.S. RUPINPUR R.NO.1",316,279,0,595,145,144,0,289,289,0,19,9,119,137,0,1,0,0,0,0,1,0,1,1,0,1,289
148,"P.S. BHARSARE R.NO.1",550,527,0,1077,297,301,0,598,598,0,144,91,211,113,1,2,0,5,4,0,8,3,4,5,2,5,598
149,"JU.HIGH SCHOOL. BIRSINGHPUR R.NO.1",581,500,0,1081,314,303,0,617,617,0,15,158,235,189,3,0,1,1,1,0,4,0,2,3,2,3,617
150,"JU.HIGH SCHOOL BIRSINGHPUR R.NO.2",541,459,0,1000,301,265,0,566,566,0,106,53,251,110,0,7,2,2,1,0,1,0,2,14,5,12,566
151,"P.S. GAUHANIYA R.NO.1",480,403,0,883,219,240,0,459,459,0,18,180,196,49,1,2,0,0,1,0,2,0,1,7,1,1,459
152,"P.S. NIDURA R.NO.1",457,385,0,842,245,233,0,478,4780,0,34,105,217,73,2,2,3,4,1,2,1,4,6,12,5,7,478
153,"P.S. SIYRABHARI R.NO.1",284,253,0,537,151,170,0,321,321,0,30,79,101,98,1,1,1,0,0,0,4,0,3,2,1,0,321
154,"P.S. SABAI R.NO.1",796,628,1,1425,362,329,0,691,691,0,28,165,311,147,2,5,0,0,0,2,3,2,5,11,6,4,691
155,"P.S. SABAI  R.NO.2",409,321,0,730,195,140,0,335,335,0,21,52,215,39,0,1,0,1,0,0,0,1,1,4,0,0,335
156,"P.S. JAISINGHPUR KHURD R.NO.1",477,408,0,885,268,278,0,546,546,0,23,211,190,77,3,2,1,1,2,0,5,1,5,9,5,11,546
157,"P.S. CHORMA R.NO.1",774,658,0,1432,409,387,0,796,796,0,197,105,309,129,2,4,2,2,7,3,1,2,9,7,4,13,796
158,"P.S. CHORMA R.NO.2",354,325,0,679,189,160,0,349,349,0,8,133,147,50,0,0,0,0,0,1,0,0,2,2,3,3,349
159,"JU. HIGH SCHOOL MAHMUDPUR SEMARI R.NO.1",601,524,0,1125,388,324,0,712,712,0,15,96,465,109,3,1,0,0,0,0,5,0,1,10,3,4,712
160,"JU.HIGH SCHOOL MAHMUDPUR SEMARI R.NO.2",703,640,0,1343,395,410,0,805,805,0,49,224,328,126,3,3,1,7,5,3,3,6,12,16,6,13,805
161,"PANCHAYAT BHAWAN  MAHMUDPUR SALAHPUR R.NO.1",412,377,0,789,258,240,0,498,498,0,5,163,224,79,2,0,0,0,0,2,3,5,1,9,0,5,498
162,"P.S. SUMERPUR R.NO. 1",299,280,0,579,171,185,0,356,356,0,12,81,238,10,2,0,2,0,0,1,3,0,1,5,0,1,356
163,"P.S. GUDBAD R.NO. 1",794,720,0,1514,375,445,0,820,820,0,31,142,245,338,8,4,4,1,2,1,8,3,11,8,4,10,820
164,"P.S. VIJHURI R.NO. 1",703,563,0,1266,386,336,0,722,722,0,75,243,337,43,1,1,0,2,0,0,2,2,1,6,3,6,722
165,"P.S. SONAURA",747,645,0,1392,404,426,0,830,830,0,18,255,287,191,2,3,3,5,9,4,5,2,6,13,16,11,830
166,"PANCHAYAT BHAWAN . MAHMOODPUR R.NO. 1",403,338,0,741,197,224,0,421,421,0,5,127,91,185,0,2,0,1,1,1,0,1,3,3,0,1,421
167,"P.S. KHAPDADIH",204,195,0,399,108,141,0,249,249,0,50,41,84,45,0,2,0,0,1,0,5,2,6,6,2,5,249
168,"PANCHAYAT BHAWAN RAMNATHPUR R.NO. 1",371,310,0,681,185,196,0,381,381,0,32,165,129,33,0,0,2,0,2,1,4,1,2,5,3,2,381
169,"JU.HIGH SCHOOL TEHSA R.NO. 1",435,371,0,806,251,214,0,465,465,0,32,74,207,112,6,1,0,1,1,1,2,3,4,11,4,6,465
170,"P.S. KHAMPUR R.NO. 1",232,226,0,458,101,145,0,246,246,0,72,37,83,23,0,1,5,1,1,0,8,0,3,5,1,6,246
