"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKBAR HUSAIN","2 - NAWAB KAZIM ALI KHAN","3 - NASEER AHMAD KHAN","4 - DR. NEPAL SINGH","5 - JANNAT NISHA","6 - VIJENDRA SINGH","7 - SYED SALMAN ALI","8 - AKBAR MASOOD","9 - JAGDISH SARAN SAGAR","10 - JAGMOHAN","11 - TEJPAL SINGH","12 - NAVED MIAN","13 - None of the Above","Total Votes Secured"
42,"MADARSA FAIZUL ISLAM ROOM NO. 1 GHER BAZ KHAN",641,569,0,1210,307,230,0,537,537,0,2,161,361,5,0,0,0,0,0,1,2,1,4,537
43,"MADARSA FAIZUL ISLAM ROOM NO. 2 GHER BAZ KHAN",675,615,0,1290,325,295,0,620,620,0,1,151,456,5,0,1,1,0,2,0,1,0,2,620
44,"MADARSA FAIZUL ISLAM ROOM NO. 3 GHER BAZ KHAN",857,715,0,1572,404,268,0,672,672,0,0,222,420,17,1,0,1,1,1,0,4,2,3,672
45,"BABY GARDEN SCHOOL ROOM NO-1 GHER TONGA",552,521,1,1074,327,267,0,594,594,0,0,132,443,12,0,2,0,0,0,0,0,3,2,594
46,"BABY GARDEN SCHOOL ROOM NO-2 GHER TONGA",629,560,0,1189,283,210,0,493,458,0,4,83,385,9,0,1,5,0,1,1,3,0,1,493
47,"BABY GARDEN SCHOOL ROOM NO-3 GHER TONGA",594,527,0,1121,313,231,0,544,544,0,26,103,243,157,1,1,3,1,1,0,3,0,5,544
48,"BABY GARDEN SCHOOL ROOM NO-4 GHER TONGA",614,517,0,1131,316,254,0,570,555,0,0,171,390,4,1,0,0,0,0,0,1,3,0,570
49,"BALMIKI JUNIOR HIGH SCHOOL BAGH PUKHTA",816,696,0,1512,474,341,0,815,810,0,7,224,449,123,1,0,2,0,0,1,0,1,7,815
50,"JUNIOR HIGH SCHOOL GHER HASSAN KHAN",376,357,0,733,374,306,0,680,680,0,4,96,566,6,0,1,1,0,0,2,1,1,2,680
51,"MORDEN PUBLIC SCHOOL ROOM NO.-1 GHER HASSAN KHAN",557,520,0,1077,339,324,0,663,655,0,1,137,487,31,1,0,0,0,1,1,1,2,1,663
52,"MORDEN PUBLIC SCHOOL ROOM NO.-2 GHER HASSAN KHAN",632,552,0,1184,314,259,0,573,571,0,22,68,339,141,0,0,1,0,0,0,0,0,2,573
53,"SARASWATI SHISHU MANDI ROOM NO-1 CHIPIYAN",724,640,0,1364,385,330,0,715,711,0,39,140,338,181,1,2,2,1,0,3,4,2,2,715
54,"SARASWATI SHISHU MANDI ROOM NO-2 CHIPIYAN",843,748,0,1591,471,354,0,825,825,0,6,64,128,613,1,0,1,0,3,3,2,0,4,825
55,"PRIMARY SCHOOL BALIKA  ROOM NO-1 GHER NAJJU KHAN",433,423,0,856,224,191,0,415,402,0,13,81,295,21,0,0,0,0,2,0,0,1,2,415
56,"PRIMARY SCHOOL BALIKA  ROOM NO-2 GHER NAJJU KHAN",460,414,0,874,306,264,0,570,566,0,0,64,501,2,0,0,0,0,0,0,0,1,2,570
57,"HADI JUNIOR HIGH SCHOOL ROOM NO-1 BAJARIYA HIMMAT KHAN",475,470,0,945,202,135,0,337,330,0,2,152,172,0,0,2,0,0,0,2,0,0,7,337
58,"HADI JUNIOR HIGH SCHOOL ROOM NO-2 BAJARIYA HIMMAT KHAN",708,572,0,1280,284,178,0,462,453,0,1,117,331,3,0,1,1,0,0,0,2,1,5,462
59,"HADI JUNIOR HIGH SCHOOL ROOM NO-3 BAJARIYA HIMMAT KHAN",725,623,1,1349,323,195,0,518,508,0,3,206,287,10,0,0,6,0,2,1,1,1,1,518
60,"HADI JUNIOR HIGH SCHOOL ROOM NO-4 BAJARIYA HIMMAT KHAN",590,520,0,1110,260,183,0,443,440,0,3,206,224,5,0,0,1,0,0,0,0,3,1,443
61,"JEMS WATT PUBLIC SCHOOL ROOM NO-1 GHER KATE BAZ KHAN",512,538,0,1050,219,168,0,387,364,0,2,92,272,7,1,0,3,0,2,0,1,2,5,387
62,"JEMS WATT PUBLIC SCHOOL ROOM NO-2 GHER KATE BAZ KHAN",673,641,0,1314,407,237,0,644,610,0,3,205,414,6,1,2,3,0,2,1,0,3,4,644
63,"PRIMARY SCHOOL  ROOM NO-1 MAJAR SHAH DARGAI SDAHAB",620,544,1,1165,374,322,0,696,696,0,12,315,341,2,0,0,1,1,0,4,5,5,10,696
64,"PRIMARY SCHOOL  ROOM NO-2 MAJAR SHAH DARGAI SDAHAB",398,368,0,766,198,154,0,352,352,0,1,107,237,0,0,1,1,0,0,0,1,0,4,352
65,"GOVT CITY JUNIOR HIGH SCHOOL ROOM NO- 1 PILA TALAB",611,571,1,1183,305,261,0,566,566,0,2,196,360,2,1,0,1,0,0,0,1,0,3,566
66,"GOVT CITY JUNIOR HIGH SCHOOL ROOM NO- 2 PILA TALAB",503,408,0,911,202,136,0,338,338,0,0,121,215,0,0,0,0,0,0,0,2,0,0,338
67,"GOVT CITY JUNIOR HIGH SCHOOL ROOM NO- 3 PILA TALAB",608,555,0,1163,288,185,0,473,473,0,4,121,314,22,0,0,3,0,1,1,2,3,2,473
68,"GOVT CITY JUNIOR HIGH SCHOOL ROOM NO- 4 PILA TALAB",418,423,0,841,144,83,0,227,200,0,3,105,115,4,0,0,0,0,0,0,0,0,0,227
69,"GOVT CITY JUNIOR HIGH SCHOOL ROOM NO- 5 PILA TALAB",526,494,0,1020,162,63,0,225,119,0,1,98,117,6,0,0,0,0,0,0,0,1,2,225
70,"GOVT CITY JUNIOR HIGH SCHOOL ROOM NO- 6 PILA TALAB",678,543,0,1221,240,126,0,366,286,0,0,120,216,26,0,0,1,0,0,1,1,0,1,366
71,"GOVT CITY JUNIOR HIGH SCHOOL ROOM NO- 7 PILA TALAB",790,702,0,1492,369,236,0,605,605,0,1,215,320,57,0,0,0,0,0,2,1,3,6,605
72,"FURQANIYA GIRLS SCHOOL ROOM N0-1BAJARIYA KHANSAMA",661,591,0,1252,280,191,0,471,471,0,0,125,295,40,0,0,1,0,1,1,3,0,5,471
73,"FURQANIYA GIRLS SCHOOL ROOM N0-2 BAJARIYA KHANSAMA",294,249,0,543,140,118,0,258,252,0,2,67,142,45,1,0,0,0,0,0,0,0,1,258
74,"FURQANIYA GIRLS SCHOOL ROOM N0-3 BAJARIYA KHANSAMA",531,494,0,1025,236,146,0,382,376,0,4,161,179,29,1,0,0,2,0,2,0,1,3,382
75,"FURQANIYA GIRLS SCHOOL ROOM N0-4  BAJARIYA KHANSAMA",447,351,0,798,200,143,0,343,313,0,4,65,128,140,1,0,1,0,2,0,0,0,2,343
76,"AZAD PUBLIC SCHOOL ROOM NO-1 MASJID JAHURUDDIN KHAN",589,520,0,1109,250,179,0,429,426,0,2,139,263,18,2,0,1,0,2,0,0,2,0,429
77,"AZAD PUBLIC SCHOOL ROOM NO-2 MASJID JAHURUDDIN KHAN",484,359,0,843,214,122,0,336,336,0,0,141,187,1,0,0,0,0,0,0,1,4,2,336
78,"AZAD PUBLIC SCHOOL ROOM NO-3 MASJID JAHURUDDIN KHAN",527,406,0,933,259,165,0,424,423,0,9,193,203,5,0,0,0,0,0,0,3,5,6,424
79,"GOVT. HAMID INTER COLLEGE ROOM NO-1 KOTWALI ROAD",788,700,0,1488,376,224,0,600,593,0,1,260,267,59,0,0,2,0,2,2,1,3,3,600
80,"GOVT. HAMID INTER COLLEGE ROOM NO-2 KOTWALI ROAD",834,734,0,1568,433,303,0,736,696,0,2,132,292,300,0,0,4,0,2,0,1,2,1,736
81,"GOVT. HAMID INTER COLLEGE ROOM NO-3 KOTWALI ROAD",498,462,0,960,228,151,0,379,227,0,0,141,225,2,0,0,0,0,2,0,2,2,5,379
82,"JAI MONTESERY SCHOOL ROOM NO-1 KUNDA",345,307,0,652,142,109,0,251,248,0,1,43,70,132,0,0,1,0,0,0,0,1,3,251
83,"JAI MONTESERY SCHOOL ROOM NO-2 KUNDA",660,607,0,1267,390,282,0,672,655,0,1,214,426,24,0,0,4,0,0,1,0,0,2,672
84,"INDRA JUNIOR HIGH SCHOOL ROOM NO-1 KUNDA",754,627,1,1382,406,236,0,642,632,0,1,177,280,176,3,0,1,0,0,0,1,1,2,642
85,"INDRA JUNIOR HIGH SCHOOL ROOM NO-2 KUNDA",426,401,0,827,237,197,0,434,429,0,1,162,239,23,1,0,4,0,0,0,1,2,1,434
86,"INDRA JUNIOR HIGH SCHOOL ROOM NO-3 KUNDA",504,451,0,955,213,144,0,357,357,0,4,147,195,7,0,0,4,0,0,0,0,0,0,357
87,"SANATAN DHARM INTER COLLEGE ROOM NO-1 CHAH KHAIYATAN",653,646,1,1300,440,350,0,790,750,0,0,22,38,723,1,0,3,0,0,0,1,1,1,790
88,"SANATAN DHARM INTER COLLEGE ROOM NO-2 CHAH KHAIYATAN",755,695,0,1450,492,361,0,853,853,0,2,28,105,698,2,1,4,0,1,4,1,1,6,853
89,"JAIN INTER COLLEGE ROOM NO-1 CHAHSHOR",502,458,1,961,253,186,0,439,416,0,1,39,71,324,0,0,1,0,0,1,0,0,2,439
90,"JAIN INTER COLLEGE ROOM NO-2 CHAHSHOR",444,426,1,871,237,211,0,448,448,0,2,68,107,255,3,0,8,1,1,0,0,0,3,448
91,"JAIN INTER COLLEGE ROOM NO-3 CHAHSHOR",401,357,0,758,206,158,0,364,258,0,4,47,117,195,0,0,1,0,0,0,0,0,0,364
92,"KANYA INTER COLLEGE ROOM NO-1 CHAHSHOR",752,732,0,1484,409,235,0,644,644,0,0,178,278,176,0,0,6,0,2,1,0,1,2,644
93,"KANYA INTER COLLEGE ROOM NO-2 CHAHSHOR",799,731,0,1530,319,226,0,545,542,0,3,159,370,8,0,0,1,0,0,1,0,1,2,545
94,"KANYA INTER COLLEGE ROOM NO-3 CHAHSHOR",729,645,0,1374,363,247,0,610,610,0,6,177,342,78,1,2,1,0,0,1,1,0,1,610
