"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - REKHA","2 - ANAND BHADAURIYA","3 - AJAY VERMA","4 - ANAND KUMAR","5 - KIRTI SINGH","6 - SWAMI DAYAL","7 - DAUD AHMAD","8 - KUWAR JITIN PRASAD","9 - LEKHRAJ","12 - RAM BALI","13 - RAJENDRA KUMAR SINGH","14 - SUKHVINDRA SINGH","15 - VIVEK MISHRA","16 - VIJAY KUMAR TIWARI","17 - MALA DEVI","18 - None of the Above","Total Votes Secured"
33,"P.S. ISMAILPUR HEMLET JALALIPUR WEST",675,573,0,1248,431,296,0,727,4,0,28,244,1,3,0,2,116,328,1,0,0,1,0,3,0,0,727
34,"SANKUL BHAWAN ISMAILPUR",274,258,0,532,200,178,0,378,10,0,121,158,1,6,2,0,55,29,2,0,0,1,0,1,0,2,378
35,"J.H.S. SADULLAPUR",214,195,0,409,180,170,0,350,350,0,146,3,1,2,2,0,159,21,7,1,2,2,2,1,0,1,350
36,"SEED STORE MAHIMPUR R.N.1",374,329,0,703,254,210,0,464,10,0,124,127,7,1,3,5,139,44,5,0,0,2,2,2,0,3,464
37,"P.S. MAHANANDPUR",219,189,0,408,167,127,0,294,10,0,231,19,2,0,0,1,10,28,3,0,0,0,0,0,0,0,294
38,"P.S. MUDIKHERA",333,294,1,628,264,223,0,487,10,0,186,55,4,4,5,1,180,30,9,0,1,2,3,4,2,1,487
39,"P.S. BHADEVA NORTH",669,595,0,1264,516,347,0,863,834,0,277,148,4,6,0,1,106,277,4,3,1,6,3,7,2,18,863
40,"PS BHADEVA SOUTH",329,312,0,641,237,181,0,418,367,0,71,79,3,0,0,2,193,57,0,2,1,1,3,2,0,4,418
41,"PANCHAYAT GHAR BHADEVA",525,435,0,960,371,312,0,683,520,0,72,255,1,5,0,2,261,79,4,0,0,1,1,0,0,2,683
42,"P.S. MASOODPUR HEMLET FATTEPUR MEERABEHAD",498,436,0,934,371,284,0,655,20,0,273,75,7,3,4,2,99,156,16,0,0,2,5,3,4,6,655
43,"P.S. VAYAJPUR",410,367,0,777,323,258,0,581,17,0,318,77,3,3,3,1,46,108,9,0,2,1,2,6,1,1,581
44,"P.S. RICHIN R.N.1",477,444,0,921,342,284,0,626,626,0,292,155,2,8,3,0,49,112,1,0,1,0,1,1,1,0,626
45,"P.S. RICHIN R.N.2",605,560,0,1165,414,349,0,763,763,0,211,190,2,4,0,3,250,77,5,3,1,5,4,0,2,6,763
46,"P.S. KALYAANPUR",880,803,0,1683,566,450,0,1016,998,0,522,27,8,5,8,2,180,195,26,5,3,3,10,6,2,14,1016
47,"J.B.V.UCHEPUR  HARGAON",912,817,1,1730,566,452,0,1018,371,0,368,164,4,2,3,1,44,420,3,0,0,1,3,1,1,3,1018
48,"J.B.V. UCHEPUR HARGAON",586,532,0,1118,433,387,0,820,819,0,111,316,2,3,0,2,65,310,4,0,0,1,1,2,2,1,820
49,"P.S. FIROZPUR",391,352,0,743,262,249,0,511,426,0,323,144,3,7,0,2,9,13,6,0,1,0,2,1,0,0,511
50,"PANCHAYAT BHAWAN NAYAGAON",345,310,0,655,234,217,0,451,450,0,82,54,1,0,0,2,80,226,1,0,1,1,1,2,0,0,451
51,"J.H.S. SARAIPITTHU R.NO 1",534,493,0,1027,339,281,0,620,530,0,328,14,3,1,0,4,50,212,0,0,1,0,0,1,0,6,620
52,"J.H.S. SARAIPITTHU R.NO 2",522,478,1,1001,306,255,0,561,10,0,174,107,1,1,1,3,74,194,0,0,0,1,2,1,0,2,561
53,"J.H.S. SARAIPITTHU R.NO.4",793,686,0,1479,502,353,0,855,850,0,586,56,7,3,0,0,61,131,3,0,1,1,2,0,1,3,855
54,"J.H.S. SARAIPITTHU R.NO.5",581,517,0,1098,374,281,0,655,655,0,433,49,3,1,2,0,25,135,1,2,0,0,1,0,0,3,655
55,"P.S. KABEERPUR",450,396,0,846,386,274,0,660,660,0,251,114,4,3,0,3,215,53,7,0,1,1,2,2,1,3,660
56,"J.H.S. MADNAPUR",353,313,0,666,279,206,0,485,485,0,178,165,5,4,3,0,68,42,5,0,1,0,3,3,0,8,485
57,"P.S. PARSEHRANATH",675,605,0,1280,539,433,0,972,100,0,240,238,9,6,2,3,209,226,15,3,2,2,4,2,6,5,972
58,"P.S. GAURAPATTI R.N. 1",156,145,0,301,133,121,0,254,254,0,36,4,2,0,0,0,118,90,0,1,0,1,0,0,0,2,254
59,"P.S. BAKSOHIYA",456,391,0,847,371,269,0,640,573,0,186,225,1,4,1,1,115,97,2,2,0,2,1,0,3,0,640
60,"P.S. PIPRAGHURI",570,475,0,1045,401,317,0,718,636,0,169,93,4,3,0,0,306,127,1,1,0,3,3,0,1,7,718
61,"J.H.S. RAUNA",809,672,1,1482,605,457,0,1062,800,0,259,62,4,8,2,4,557,126,20,0,3,1,2,3,2,9,1062
62,"P.S. RUKNAPUR",593,511,0,1104,441,350,0,791,695,0,112,248,1,4,2,5,258,134,0,1,2,2,1,4,1,16,791
63,"P.S. AKHTIYARPUR R.N. 1",369,327,0,696,273,227,0,500,488,0,157,101,1,1,1,1,153,69,1,0,0,0,0,3,1,11,500
64,"P.S. JHARIYA",411,353,0,764,341,277,0,618,10,0,84,79,3,5,1,1,412,18,1,1,0,3,0,1,1,8,618
65,"P.S. KHAMHAUNA R.N. 1",536,468,0,1004,455,354,0,809,809,0,257,241,1,21,0,1,213,50,6,1,2,2,1,3,3,7,809
66,"P.S. NARHARPUR",530,471,0,1001,400,318,0,718,10,0,354,156,8,4,3,0,84,75,11,1,3,5,2,4,3,5,718
67,"P.S. RAIPUR",413,353,0,766,286,230,0,516,13,0,201,71,5,4,1,1,138,71,8,1,2,2,2,2,1,6,516
68,"P.S. SHEKHAPUR MUSEPUR",548,501,1,1050,402,425,0,827,16,0,334,57,4,5,0,2,267,123,10,0,3,6,3,2,2,9,827
69,"P.S. SEMRIBHAN R.N. 2",663,572,0,1235,488,421,0,909,214,0,58,475,0,8,2,1,117,214,1,1,1,2,0,6,1,22,909
70,"P.S. PARSEHRAMAAL",319,291,0,610,261,221,0,482,27,0,53,95,1,4,0,2,106,201,5,1,2,2,2,5,0,3,482
71,"P.S. KHAJUHA",275,240,0,515,228,178,0,406,10,0,40,54,0,4,0,0,191,109,1,0,0,2,0,2,0,3,406
72,"P.S. PICHAURA",363,319,0,682,269,209,0,478,478,0,91,156,4,3,1,4,143,57,1,1,1,2,4,4,1,5,478
73,"P.S. ARMI R.N. 1",506,429,0,935,399,275,0,674,103,0,188,324,1,8,2,3,54,81,2,0,1,0,0,6,0,4,674
74,"J.H.S. KUSIYARI",280,262,0,542,232,219,0,451,290,0,185,174,4,11,0,1,23,44,6,0,0,0,1,0,2,0,451
75,"P.S. NAUNAIR NORTH",525,465,0,990,421,303,0,724,398,0,237,46,3,7,0,7,268,51,8,2,0,6,5,6,5,73,724
76,"P.S. NAUNAIR SOUTH",612,559,0,1171,465,363,0,828,6,0,295,47,6,4,1,4,376,37,16,2,0,9,4,1,1,25,828
77,"P.S. BADELIYA",429,381,0,810,316,262,0,578,365,0,211,72,0,5,1,1,201,72,4,1,2,4,1,1,1,1,578
78,"P.S. SAKLANPUR",518,463,0,981,324,245,0,569,567,0,156,151,0,3,1,5,178,45,7,3,1,3,5,1,2,8,569
79,"P.S. MALIHABAD",492,446,0,938,349,291,0,640,466,0,122,123,4,7,1,4,178,165,1,2,0,4,3,3,0,23,640
80,"P.S. PACHEHRA R.N. 2",448,402,0,850,330,280,0,610,479,0,38,149,0,8,3,6,309,42,4,0,3,3,1,3,0,41,610
81,"P.S. NAROTTAMPUR",186,167,0,353,142,113,0,255,218,0,173,18,0,1,2,4,15,27,2,1,0,0,1,2,1,8,255
82,"P.S. BADKHERWA",329,296,0,625,250,221,0,471,385,0,74,242,0,11,1,4,68,61,3,0,0,0,2,1,0,4,471
83,"P.S. KALLAPUR",628,545,0,1173,431,341,0,772,20,0,211,291,8,6,0,4,160,63,11,1,1,2,2,4,1,7,772
84,"P.S. SIKANDARPUR",407,359,0,766,264,241,0,505,179,0,176,70,0,2,0,3,99,140,2,0,0,3,0,2,0,8,505
85,"P.S. SALEMPUR",242,215,0,457,216,170,0,386,20,0,61,180,1,2,0,1,87,52,0,0,1,0,0,0,0,1,386
86,"P.S. NIGOHA R.NO.1",477,433,0,910,345,270,0,615,20,0,228,15,1,3,1,1,238,98,8,1,1,1,2,3,3,11,615
87,"P.S. NIGOHA R.NO.2",455,409,0,864,347,269,0,616,30,0,65,61,3,1,0,1,405,67,2,0,1,5,1,1,1,2,616
88,"P.S. MUMTAJPUR EAST",654,549,0,1203,408,308,0,716,26,0,187,84,4,3,1,4,258,148,5,3,2,2,3,6,1,5,716
89,"P.S. FATTEPUR MATINPUR",424,378,0,802,316,245,0,561,22,0,110,12,3,3,0,0,207,162,3,0,2,4,0,6,2,47,561
90,"P.S. BELAMAU KALA R.N. 1",432,369,0,801,294,249,0,543,482,0,291,90,6,1,1,2,80,55,4,1,0,4,6,0,1,1,543
91,"PS BELAMAU KHURD",243,215,0,458,184,154,0,338,204,0,85,63,1,1,0,4,108,45,8,2,0,2,3,1,0,15,338
92,"P.S. SULTAANPUR",616,532,0,1148,422,314,0,736,149,0,270,182,2,5,1,2,160,91,11,1,1,1,1,2,1,5,736
93,"P.S.DHOLAI KALAN",393,345,0,738,333,252,0,585,115,0,79,208,1,5,0,2,279,5,1,0,0,2,1,0,0,2,585
94,"P.S. SEMRI MOTMADPUR",382,330,0,712,320,245,0,565,565,0,149,96,3,6,1,1,203,62,3,2,0,2,0,1,0,36,565
95,"P.S. ARROKHAMAJATPUR",693,632,0,1325,490,401,0,891,20,0,161,209,0,10,3,3,406,74,7,0,1,3,2,0,1,11,891
96,"P.S. BIRAHIMBAD",289,264,0,553,241,180,0,421,421,0,169,15,1,1,2,0,107,103,15,1,1,1,3,0,0,2,421
97,P.S.KANJA,325,287,0,612,255,232,0,487,415,0,147,34,7,6,2,3,123,137,7,3,2,4,0,0,1,11,487
98,"P.S. PAGROI",466,397,0,863,352,260,0,612,30,0,149,32,5,2,3,1,186,216,5,1,0,3,3,2,0,4,612
99,"P.S. SIHANIPARA",281,264,0,545,236,187,0,423,400,0,179,165,4,7,1,2,19,21,5,4,0,1,1,3,1,10,423
100,"P.S. DHOLAI KHURD",666,595,0,1261,505,345,0,850,745,0,314,69,9,10,6,7,205,133,63,0,3,3,5,5,1,17,850
101,"P.S. NAUWA MAHMOODPUR R.N.1",553,512,0,1065,370,306,0,676,40,0,328,90,5,4,8,4,74,86,35,2,0,7,2,12,5,14,676
102,"P.S. NAUWA MAHMOODPUR R.N.2.",445,401,0,846,303,192,0,495,25,0,280,35,5,3,3,2,69,56,31,3,0,2,2,1,0,3,495
103,"P.S. GAURIYA KALAN R.N 1",692,629,0,1321,510,353,0,863,16,0,410,81,10,2,3,4,150,168,16,4,1,1,5,3,1,4,863
104,"BARAAT GHAR RASULAPUR",421,376,0,797,319,225,0,544,19,0,126,110,2,5,0,2,189,76,6,0,2,2,2,1,3,18,544
105,"P.S. MIRZAPUR",371,355,0,726,299,249,0,548,347,0,273,28,3,3,5,0,189,23,16,0,2,1,1,0,2,2,548
106,"P.S. PIPRI",226,212,0,438,187,152,0,339,112,0,220,34,3,0,1,0,40,13,22,0,0,1,2,0,0,3,339
107,"P.S. GURAIPUR",598,537,0,1135,446,375,0,821,10,0,247,241,4,7,2,0,199,65,23,4,2,7,5,4,2,9,821
108,"P.S. KHAJURYA AWASI R.N. 1",347,297,0,644,294,223,0,517,10,0,206,9,1,1,1,0,201,72,12,0,0,1,2,4,1,6,517
109,"P.S. GAURA ARJUNPUR",668,572,0,1240,465,392,0,857,140,0,455,57,4,11,2,1,163,141,11,0,2,1,4,0,3,2,857
110,"P.S. NARSOHI",628,579,0,1207,470,360,0,830,38,0,414,96,6,9,6,7,151,82,19,2,3,9,5,4,3,14,830
111,"P.S. SHAHMAHOLI",658,593,0,1251,480,310,0,790,20,0,217,100,7,4,9,1,184,205,28,0,0,3,7,1,3,21,790
112,"P.S. BADAGAON",612,589,0,1201,455,360,0,815,50,0,369,98,6,3,3,2,282,37,7,0,0,0,1,0,2,5,815
113,"P.S. BHURJIHA",610,551,0,1161,389,255,0,644,580,0,200,54,9,2,4,2,105,155,86,1,2,1,5,2,1,15,644
114,"P.S. DHARNAG",264,248,0,512,206,185,0,391,20,0,81,23,1,1,0,2,84,189,3,1,0,1,2,0,0,3,391
115,P.S.NEWADA,279,257,0,536,240,198,0,438,10,0,208,6,4,2,3,0,107,83,11,1,0,5,2,4,0,2,438
116,"P.S. ULJAPUR",544,489,0,1033,423,332,0,755,615,0,525,91,7,8,2,4,50,37,10,2,1,2,8,2,2,4,755
117,"PS NEWADA PREAM SINGH",211,196,0,407,186,156,0,342,256,0,129,62,1,6,2,0,82,30,9,1,0,4,1,1,1,13,342
118,"P.S. SAILUMAU NORTH",840,708,0,1548,561,363,0,924,20,0,295,294,3,3,1,3,124,179,8,0,0,4,2,3,2,3,924
119,"P.S. SAILUMAU SOUTH",611,515,0,1126,448,307,0,755,505,0,142,219,4,11,1,3,264,83,8,2,0,2,1,2,1,12,755
120,"P.S. UMRI",464,424,1,889,257,376,0,633,6,0,147,85,6,7,3,2,198,88,77,4,3,4,0,2,5,2,633
121,"J.H.S. MANSOORPUR NORTH",123,112,0,235,98,84,0,182,30,0,42,33,1,3,2,2,62,32,0,0,2,0,0,1,1,1,182
122,"J.H.S. MANSOORPUR SOUTH",239,221,0,460,198,176,0,374,10,0,104,60,1,1,0,2,182,16,2,0,0,0,2,1,0,3,374
123,"P.S. SHADIPUR",276,233,0,509,225,185,0,410,220,0,173,93,2,1,4,3,106,22,2,0,0,0,0,2,0,2,410
124,"PANCHAYATGHAR MAHSINGHPUR",176,145,0,321,132,100,0,232,136,0,72,36,1,1,0,2,87,14,4,0,1,0,0,0,0,14,232
125,"P.S. SHAHPUR",482,420,0,902,374,290,0,664,404,0,136,222,6,8,3,6,203,46,7,2,1,4,2,5,2,11,664
126,"P.S. SHAHPUR DALAWALPUR",491,423,0,914,421,300,0,721,50,0,81,314,2,8,1,2,208,93,3,1,0,1,1,2,2,2,721
127,"P.S. PAKARYA DHAPUPUR",560,483,0,1043,439,327,0,766,42,0,256,54,0,8,3,5,316,49,13,3,2,7,3,1,3,43,766
128,"P.S. FATTEPUR MAFI",355,308,0,663,276,196,0,472,288,0,166,74,8,5,1,5,123,43,26,1,0,0,2,2,0,16,472
129,"P.S RIKHAUNA FIRST R.N. 1",487,419,0,906,347,270,0,617,616,0,243,133,4,0,3,3,126,84,8,3,3,2,1,3,0,1,617
130,"P.S. RIKHAUNA FIRST R.N. 2",478,371,0,849,307,211,0,518,10,0,53,201,0,2,0,1,84,169,2,1,0,3,1,1,0,0,518
131,"P.S. RIKHAUNA SECOND",412,312,0,724,254,158,0,412,411,0,72,91,1,4,0,2,176,58,3,0,0,2,1,0,1,1,412
132,"P.S. HARIBASPUR",232,216,0,448,192,163,0,355,355,0,117,72,1,2,0,1,130,9,4,1,1,2,1,1,1,12,355
133,"P.S. BELAHRI",232,189,1,422,191,149,0,340,340,0,81,58,0,2,1,1,99,83,9,0,0,4,1,0,0,1,340
134,"P.S. DASELIYA",634,566,0,1200,474,326,0,800,30,0,383,153,4,2,2,4,138,76,19,0,0,5,3,5,3,3,800
135,"P.S. MAJHIGAWAN",626,532,0,1158,545,311,0,856,6,0,370,187,9,6,2,0,204,49,13,4,1,2,5,1,1,2,856
136,"P.S. DENA",415,367,0,782,299,238,0,537,10,0,189,102,2,7,0,0,190,28,4,10,0,1,1,1,0,2,537
137,"P.S. BIHARIGANJ",534,490,0,1024,383,260,0,643,639,0,171,246,4,6,0,0,155,41,7,0,1,5,1,2,1,3,643
138,"P.S. SONARI",571,463,0,1034,433,332,0,765,10,0,171,51,3,4,3,3,313,133,59,3,4,1,2,4,2,9,765
139,"P.S. DHARMUPUR",433,376,0,809,351,258,0,609,59,0,164,95,5,4,3,2,256,55,6,5,0,2,4,2,2,4,609
140,"P.S. AHMADPUR KANJA",384,334,0,718,332,257,0,589,10,0,158,160,2,10,0,4,124,107,14,0,0,1,1,3,0,5,589
141,"P.S. SAIDAPUR",450,404,0,854,336,301,0,637,5,0,320,29,6,2,2,2,155,68,25,0,2,3,6,4,3,10,637
142,"P.S. GUJRA",409,374,0,783,319,239,0,558,30,0,168,51,5,12,3,0,126,154,23,1,3,1,4,1,2,4,558
143,"P.S. NASIRAPUR",492,443,0,935,425,337,0,762,10,0,451,102,3,6,1,4,27,113,25,7,3,7,5,4,1,3,762
144,"P.S. PEERPUR",525,464,0,989,436,339,0,775,50,0,210,158,5,0,3,3,215,124,35,4,2,2,4,1,7,2,775
145,"P.S. NANKARI",400,376,0,776,311,241,0,552,15,0,188,114,5,4,2,5,52,136,24,0,1,3,3,2,2,11,552
146,"P.S. MUBARKPUR",382,329,0,711,276,184,0,460,12,0,158,16,3,7,1,1,91,166,7,1,2,1,1,0,2,3,460
147,"P.S. FIROZPUR",313,270,0,583,244,167,0,411,410,0,161,51,5,6,4,5,114,24,30,2,1,3,2,1,1,1,411
148,"P.S. GADI",322,315,0,637,226,227,0,453,107,0,78,57,3,4,1,0,256,38,8,0,0,3,2,1,1,1,453
149,"P.S. BAHADURPUR",443,399,0,842,349,283,0,632,30,0,160,84,1,9,3,1,285,53,24,1,0,1,5,3,1,1,632
150,"P.S. RAMUWAPUR",319,289,0,608,244,234,0,478,478,0,207,11,11,1,0,0,78,21,128,1,2,3,4,1,3,7,478
151,"P.S. MURARPUR",234,218,0,452,195,170,0,365,10,0,70,98,2,3,0,3,124,51,6,1,0,1,1,1,0,4,365
152,"P.S. ADAWAL KHURD",625,548,0,1173,411,289,0,700,673,0,279,55,2,7,4,2,149,180,16,1,0,1,2,0,0,2,700
153,"P.S. MUSEPUR MUTWALLI",534,486,0,1020,425,316,0,741,16,0,181,92,10,4,6,1,167,80,168,1,2,6,4,6,2,11,741
154,"P.S. KHADANYA",574,509,0,1083,406,319,0,725,619,0,333,112,4,7,2,2,204,19,23,0,0,4,3,1,3,8,725
155,"P.S. BEDAURA R.N. 1",434,392,0,826,346,252,0,598,20,0,150,107,1,16,3,3,126,91,86,2,0,1,6,0,5,1,598
156,"PS KASRAILA R.N.1",473,417,0,890,334,263,0,597,10,0,309,89,7,6,0,2,86,61,21,4,0,2,4,3,0,3,597
157,"P.S. DEVERYA R.N. 1",469,411,0,880,404,311,0,715,10,0,92,45,11,2,5,2,43,43,444,7,0,1,11,1,3,5,715
158,"P.S. NAKURI",446,362,0,808,359,265,0,624,75,0,165,204,3,7,5,1,207,15,8,0,4,0,1,0,2,2,624
159,"P.S. SAHANIYAPUR HO KATIYARA",286,267,0,553,237,200,0,437,17,0,340,26,3,1,0,0,40,6,15,1,0,1,0,3,0,1,437
160,"P.S.  KATIYARA.",833,685,0,1518,591,402,0,993,28,0,563,211,1,13,7,0,161,18,13,0,2,0,0,0,2,2,993
161,"P.S. MAGARUWA",800,664,0,1464,517,389,0,906,20,0,189,405,4,7,2,10,191,61,7,2,1,6,2,2,2,15,906
162,"P.S. BARIYADEEH",415,373,0,788,331,228,0,559,10,0,258,78,4,3,2,0,131,72,5,0,0,1,1,1,1,2,559
163,"PS BISNUPUR",672,615,0,1287,541,421,0,962,23,0,211,485,6,11,4,4,165,45,9,2,1,4,1,4,2,8,962
164,"P.S. CHANDPUR",353,288,0,641,286,218,0,504,13,0,105,237,1,9,1,2,118,19,1,2,1,2,2,1,0,3,504
165,"P.S. SALARPR R.NO 01",581,486,0,1067,460,303,0,763,632,0,195,321,2,6,2,1,117,88,10,1,1,2,2,6,5,4,763
166,"P.S. SALARPR R.NO 02",567,468,0,1035,407,271,0,678,10,0,255,108,1,7,1,3,194,85,5,3,1,4,6,1,1,3,678
167,"J.H.S POKHRAPURWA.",353,296,1,650,264,192,0,456,60,0,335,26,4,5,2,0,29,47,5,0,0,1,0,2,0,0,456
168,"P.S. POKHRA",439,385,0,824,366,278,0,644,630,0,267,50,6,4,4,14,171,77,5,3,1,3,2,2,4,31,644
169,"P.S. HARIRAMPUR",340,299,0,639,256,192,0,448,7,0,43,57,1,2,0,6,139,176,6,0,8,1,3,0,0,6,448
170,"P..S.  PUNNAPUR",443,360,0,803,332,197,0,529,10,0,274,54,7,5,2,0,135,46,4,0,1,0,1,0,0,0,529
171,"P.S. MOHARSA",727,684,0,1411,637,426,0,1063,263,0,125,584,5,24,0,0,263,43,7,1,1,0,1,3,4,2,1063
172,"P.S. DEIRAMA",563,484,1,1048,374,336,0,710,18,0,178,333,3,7,2,6,122,32,14,0,2,4,1,1,2,3,710
173,"P.S. KAKRAHI R.N. 1",760,648,0,1408,604,430,0,1034,821,0,452,73,13,7,7,7,368,52,11,4,3,10,3,6,5,13,1034
174,"P.S. KAKRAHI R.N. 2",515,419,0,934,408,306,0,714,10,0,211,139,4,2,4,4,282,45,7,3,1,2,4,1,1,4,714
175,K.P.S.KAKRAHI,318,235,0,553,221,147,0,368,101,0,155,60,5,2,0,2,68,61,7,1,1,1,2,1,0,2,368
176,"P.S. CHANDNAPUR",306,249,0,555,204,164,0,368,10,0,248,16,3,5,0,1,53,24,8,1,1,1,3,2,1,1,368
177,"P.S. MAHADEV ATRA R.NO. 1",692,496,0,1188,445,326,0,771,10,0,35,169,1,1,0,3,80,458,4,0,15,0,1,3,0,1,771
178,"P.S. MAHADEV ATRA R.NO. 2",444,382,0,826,273,215,0,488,398,0,56,177,0,3,1,1,107,128,5,1,4,2,0,0,0,3,488
179,"J.H.S. MAHADEV ATRA R.NO. 1",464,350,0,814,290,207,0,497,68,0,237,74,4,1,0,0,135,39,2,1,2,1,1,0,0,0,497
180,"J.H.S. MAHADEV ATRA R.NO. 2",468,377,0,845,330,214,0,544,60,0,145,195,4,5,1,4,123,42,8,2,1,5,4,0,3,2,544
181,"P.S. SULTANPUR TAKIYA",606,483,0,1089,323,266,0,589,15,0,199,192,2,5,2,3,114,43,11,2,1,4,5,1,2,3,589
